"","United States of America","Canada","Bahamas","Cuba","Haiti","Dominican Republic","Jamaica","Trinidad and Tobago","Barbados","Dominica","Grenada","St. Lucia","St. Vincent and the Grenadines","Antigua & Barbuda","St. Kitts and Nevis","Mexico","Belize","Guatemala","Honduras","El Salvador","Nicaragua","Costa Rica","Panama","Colombia","Venezuela","Guyana","Suriname","Ecuador","Peru","Brazil","Bolivia","Paraguay","Chile","Argentina","Uruguay","United Kingdom","Ireland","Netherlands","Belgium","Luxembourg","France","Switzerland","Spain","Portugal","German Federal Republic","German Democratic Republic","Poland","Austria","Hungary","Czechoslovakia","Italy","Malta","Albania","Yugoslavia","Greece","Cyprus","Bulgaria","Romania","Russia","Finland","Sweden","Norway","Denmark","Iceland","Cape Verde","Sao Tome and Principe","Guinea-Bissau","Equatorial Guinea","Gambia","Mali","Senegal","Benin","Mauritania","Niger","Ivory Coast","Guinea","Burkina Faso","Liberia","Sierra Leone","Ghana","Togo","Cameroon","Nigeria","Gabon","Central African Republic","Chad","Congo","Democratic Republic of the Congo","Uganda","Kenya","Tanzania","Burundi","Rwanda","Somalia","Djibouti","Ethiopia","Angola","Mozambique","Zambia","Zimbabwe","Malawi","South Africa","Lesotho","Botswana","Swaziland","Madagascar","Comoros","Mauritius","Seychelles","Morocco","Algeria","Tunisia","Libya","Sudan","Iran","Turkey","Iraq","Egypt","Syria","Lebanon","Jordan","Israel","Saudi Arabia","Yemen Arab Republic","Yemen People's Republic","Kuwait","Bahrain","Qatar","United Arab Emirates","Oman","Afghanistan","China","Mongolia","Taiwan","North Korea","South Korea","Japan","India","Bhutan","Pakistan","Bangladesh","Myanmar","Sri Lanka","Maldives","Nepal","Thailand","Cambodia","Laos","Vietnam","Malaysia","Singapore","Brunei","Philippines","Indonesia","Australia","Papua New Guinea","New Zealand","Vanuatu","Solomon Islands","Fiji","Samoa"
"United States of America",0,3934.57,474.795,3.74,219.3283,741.9127,235.364,354.49,151.756,13.1355,15.7651,50.55,33.4151,60.2,25.95,9186.531,38.0055,109.7113,139.1,84.0752,18.742,311.647,4.224,576.2321,209.2783,17.38,39.2347,799.2091,7.77,6278.8308,7.1282,16.7548,327,650.9,187.197,581.528,1054.2435,2712,781.0098,43.189,831.7,1618.4001,1927.8,8.44,0,91.001,144.16,105.5006,112.29,32.7949,4585.2999,52.86,5.43,204.36,114.0366,47.8036,108.53,480.8867,2381.9199,42.79,1754.0002,17.36,198.17,76.882,0,9.77,2.09,0.33,17.94,17.49,60.5489,0.0793,1.4706,13.9066,232.4076,101.02,18.9897,57.9,37.1819,113.7098,21.715,191.5225,3113.7891,136.41,0.12,35.65,368.9239,279.5357,44.72,30.1192,10.35,2.4865,8.85,31.7,4.5191,60.747,1232,37.89,191.9943,71.2043,19.5996,115.7,13.4,32.3,17.5,37.0601,12.53,7.8096,0.89,229.5765,1195.268,216.09,65.359,67.623,64,448.28,338.95,791.199,99.5871,93.75,326.66,956.2002,2703.491,52.6656,12.5,250.1705,67.327,117.3571,193.7,111.4137,1.38,2628.2998,1.3,14207.1,0.11,8458.1,50860.602,1297.606,0,359.24,230.59,2.1719,306.3896,16.2,9.53,667.2946,0.4,2.54,2.148,922.7,1398.3599,63.7557,1074.0501,1750,4087.3999,96.609,76.91,6.87,0.2386,8.0954,7.9683
"Canada",3934.57,0,2.8398,121.2774,16.0598,1.1219,28.7365,8.2845,35.0225,0.4109,4.1122,11.2067,3.6978,9.9388,2.9782,785.6111,4.3177,17.187,18.3252,26.8563,26.5828,22.2117,20.6855,51.0351,6.9841,8.4756,1.0553,43.9886,28.0847,534.9853,17.7894,0.7511,32.7584,72.4265,4.2418,507.8176,49.0568,129.6724,80.47,4.4499,1254.9631,420.642,370.4759,60.7691,0,21.4345,63.0189,101.2585,36.0955,40.0406,773.3152,57.554,1.0196,66.2551,5.4335,2.6758,9.8168,5.8539,885.1216,155.35,483.2568,51.7143,113.0775,5.5944,0,0.0033,0.4275,0.0366,0.7632,6.1858,11.7311,0.9196,1.0814,9.0448,14.7048,5.8489,1.6907,0.8242,10.2784,19.1148,30.4225,5.2941,260.9456,3.1539,0.0269,0.2862,0.4768,4.4594,4.3396,4.9434,16.06,0.3341,1.4611,0.2433,0.012,18.0026,70.4549,15.6741,7.2313,0.332,0.6116,30.137,0.783,5.5202,30.4292,0.8066,0.8463,20.5438,0.0457,205.0461,162.3442,83.4593,44.4437,5.8836,16.1421,173.0055,163.6479,40.2699,7.7329,7.063,16.3564,19.248,55.5423,2.1243,1.21,39.7777,0.5545,5,16.7983,5.2937,0.3319,1001.6074,0,1209.4549,7.3132,835.2611,30.0742,91.8069,0.1764,30.1845,75.9295,2.0082,11.1167,0.3067,1.2968,39.9413,0.0093,0.3385,5.5865,84.6565,150.7565,1.1351,68.6991,134.0622,240.3234,15.3516,57.2006,0.0287,0.1544,9.4546,0.0211
"Bahamas",474.795,2.8398,0,0.075,0.1563,0.1447,1.72,0.144,0.466,0.0001,0.0002,0.0862,0.0718,0.224,0.0309,65.316,0.0345,2.001,0.245,0,4.584,0.197,4.584,0.788,19.569,0.0034,0.01,0.16,0.267,6.32,0.009,0.005,2.166,0.969,0.011,50.2906,0.2908,10.414,2.3879,0.1321,2.656,6.152,5.565,1.103,0,0,0.014,1.0012,0.278,0,0.009,0.001,0,0.187,1.2792,0.0084,0,0,0.022,0.004,1.991,29.102,12.161,0.011,0,0,9.003,0,9,9,0,0,0,9,0,0,0,2.295,0.0009,0.0001,0,0,278.4376,0,0,0,0,0,0,0,0,0,0,0,0,9,0.2464,0,0.035,0.011,0,0.002,0,0,0,9,0,10.7161,9,0,0,0,0,0,20.593,0.06,84.755,0.001,0,0,0,0.21,260.809,9,0,0,0,9,0,9,0,0.005,0,25.15,0.054,2.706,25.507,0.145,0,0.172,0.08,0,0,9,0,0.1333,0,0,0,0.093,0.277,0,0.179,0.081,3.669,9.0063,0.385,9,0.002,0.0033,0
"Cuba",3.74,121.2774,0.075,0,0,1.4069,0.0004,9.847,0.2305,0.001,0,0,0.0013,0,0,121.1144,0,0,0,0,10.1058,0.1219,2.9798,9.642,403.2204,2.4378,0.0011,0,13.627,25.509,0.0169,0,0,214.256,5.345,16.7129,0.323,21,21.2073,1.1727,16.31,20.08,149.097,8.753,0,77.5584,2.837,2.33,39.515,16.1592,47.93,0.02,0,35.588,0.073,0.2689,0,75.3792,0,11.928,14.87,0.443,10.846,0.012,0,0,0.5627,0,9,0,0.3662,9.0045,0.0375,0,0,9,9,0,9,4.209,0,0,1.0215,0.0142,0,0,0.0081,9,0,0,0,0,9,0,0,2.2942,9,9,0,0.0087,0,0,0,0,0,9,9,0,0,0,41.234,4.487,2.242,0,0,0.01,0,18.366,10.9681,0,0.1,0,0.4318,0,3.225,0,0,0,0,9.0052,0,121.95,0,0,0,0,9.21,11.5141,0,0.011,9,9,4.2501,0,0,30.6405,9,0,6.95,11.74,2.782,9,0,3.2,0.189,9,0.01,0,0,0,0
"Haiti",219.3283,16.0598,0.1563,0,0,3.2035,0.7939,16.8745,0.7175,0.0077,9.0076,0,0.0113,0.015,9.0132,0.5302,0,0.5619,0,0.0006,0,0.5258,1.9418,0.4037,67.2574,0,0.3189,0,0.4,3.571,0,0,0.0293,1.0154,0,2.1796,0.209,10.0725,7.7798,0.4302,4.6744,1.1093,0.8523,0.1369,0,0,0.1063,0.3933,0.0825,0.5919,14.6291,0,0,0.32,0.0348,0.0507,0,0.2428,0,0.1029,0.1837,1.6379,0.7735,0,0,0,0,0,0,9,0.0015,9,0,9,0,9,0,0,9,0,0,0,0.024,0,9,0,0,0,0,9,0,9,9,0,9,9,0,9,0.6533,0.3541,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0.252,0,0,0,0.09,0,0.9,9,9,0,9,0,0,0,0,0,3.8941,0,0,0,1.9078,18.9214,0.0852,0,0.03,0.09,0,0,0,0,0.2163,0,0,0,0,0.4151,0,0.12,0,0.26,0.0038,0.5961,9,0,9,9
"Dominican Republic",741.9127,1.1219,0.1447,1.4069,3.2035,0,1.7187,2.0878,0.89,0.761,0.817,0.825,0.979,0.104,0,145.5605,0.1862,7.2781,2.8986,2.2371,0.0941,3.6953,31.3481,7.9574,203.7024,0.0271,4.9267,0.0941,0.3293,30.2873,0,1.1524,5.082,7.6984,0.1828,3.2896,1.3084,13.5161,25.4809,1.4091,1.2323,4.6325,19.3529,4.6896,0,4.7861,0.0235,0.5922,0.047,0.1882,7.2657,0.1664,9,0.0088,0.1117,0.0021,0,0.0353,36.2057,30.6432,5.8951,5.8803,0.4899,0.3013,0,9,0,0,0,0,9,9,0,0,9,0,0,0,0,0,9,0,0,0,0,0,9,9,0,0,9,9,0,0,9,9,9,0,0,0.0975,9,3.9159,0,0,0,0,0,0,0,7.8035,5.821,2.37,0,9,0,0.0488,0.1646,0.029,9,0,0,1.5522,0.0368,0,9,9,0,9,0,0,0,0.5174,9,24.1303,0.929,8.355,205.5494,4.8305,0,0.0606,0,0,0.013,0,0,1.0426,0,9,0,0.0235,0.4939,0,0.0188,0.1411,2.2331,0,10.5752,9,0,0,0
"Jamaica",235.364,28.7365,1.72,0.0004,0.7939,1.7187,0,6.778,11.671,5.0331,1.0891,0.7166,0.6477,2.441,1.1077,51.0414,2.937,1.2615,3.87,0.805,0.008,1.913,0.977,0.638,61.5308,0.6651,1.8249,0.336,0.137,32.095,0.0213,0,0.113,2.512,0.546,57.0254,1.458,23.372,5.7614,0.3186,34.394,6.027,0.05,1.666,0,2.326,1.69,0.7802,0.474,0.349,17.561,0.161,0,0.035,0.2708,0.2387,0,0.029,31.0658,0.371,9.882,5.008,1.598,0.097,0,0,9,0,0.0088,0,0,0,0,9,0.045,0,0,0,0.0056,3.1873,0,0,0.007,0.034,0,0.005,0,0,0,0.0103,0.005,0,9.002,0,0,0.001,0,0,0.0015,0.001,0.026,0,0,0.019,0,0,0,0,0,0,0.039,0.04,0,0.15,0.007,0.257,0,0.127,0.023,0,0,3.244,0.449,0.001,0,0.002,0.002,0,0.005,0.0026,0,5.078,0,15.194,0.4487,12.055,37.823,0.3849,0,0.491,0.082,0,0.0767,0.004,9,2.5456,0,0,0,1.891,1.774,0.003,0.03,1.559,2.115,0.0127,9.128,0,0,0.0044,0
"Trinidad and Tobago",354.49,8.2845,0.144,9.847,16.8745,2.0878,6.778,0,40.021,6.5741,10.1867,0,10.7874,0,0,7.0146,1.94,4.8588,1.81,0.48,0.765,3.89,0.476,16.13,7.644,6.678,23.3236,2.67,0.32,31.293,0.0104,0.17,1.69,7.05,2.537,49.2481,6.7377,26.08,7.903,0.437,16.4,7.41,18.62,0.74,0,0.21,0.04,2.7831,0.07,0.47,8.01,0.01,0,0.02,1.4919,0.0962,0,0.01,5.48,0.5,2.51,4.24,5.95,0,0,0,0,0,0,9,0,0.01,0,0,0,0,0,0.001,0.01,0.06,0,0,47.0967,0,0,0,0,0,0,0.0399,0.01,9,0.08,0,0,0.01,0.01,0.033,0,0.0092,0.1,0.03,0,0,0.01,0,0,0,0,6.41,0,0.13,0.01,0,0,1.14,0,0,0,0,0,2.12,10.2474,0,0,0,0,0,0,0,0,1.81,0,0.07,0.03,8.1,35.88,1.57,0,0.09,0,0,0.22,0,0,1.22,0,9,0,1.39,1.53,0.01,0.41,6.08,9.32,0.0013,8.28,9,0,0.0001,0
"Barbados",151.756,35.0225,0.466,0.2305,0.7175,0.89,11.671,40.021,0,2.2045,3.2013,2.7464,2.532,0.395,1.5696,1.1531,1.016,0.672,4.739,0.044,0,0.672,0.069,0.568,19.7811,0.8035,0.1462,0,0.289,10.156,0.0198,0.049,0.364,1.337,0.666,31.8049,3.8535,5.372,2.1605,0.1195,7.972,5.726,2,0.081,0,0.223,0.123,1.0537,0.137,0.245,3.207,0.005,0.289,0.061,0.1256,0.002,0,0.013,0.302,2.249,0.865,2.067,1.121,0.048,0,0,0,0,0,0,0.005,0,0,0,0,0,0,0,0.001,0,0,0,0,9,0,0,0,0,0,0.003,0.012,9,0,0,0,0,0,0,0,0.0021,0.078,0,0,0,0,0.01,0,0,0,0.001,0,0.007,0,0,0.001,0.039,0,0.001,0,0.002,9,0.258,0.0632,0,0,0,0.004,0,0,0,0,2.904,0,9.389,0,8.787,29.85,0.895,0,0.02,0.037,0,0.1588,9,0,1.614,0,0,9,0.236,1.222,0,0.096,0.641,3.257,0,9.844,0,0,0.0014,9
"Dominica",13.1355,0.4109,0.0001,0.001,0.0077,0.761,5.0331,6.5741,2.2045,0,0.8927,5.9859,0.8532,0.0507,0.1742,0.0851,0.0091,0.0039,0.1593,0,9,0.0961,0.1049,0.0672,0.4233,0.0952,0.0343,0,0.0077,0.5243,9,0,0.0106,0.0578,0.0508,41.5502,0.0157,1.736,0.1421,0.0079,0.3786,0.2599,0.1555,0.0218,0,0.0007,0.0048,0.0291,0,0.074,19.2397,0,0,0.0266,0.6067,0.0375,0,0.001,0.2488,0.0573,0.0886,0.1421,0.3591,0.017,0,0,0,0,0,0,0.2857,0,0,0,0.0002,0,0,0,9,0.0029,0,0,0,0,0,0,0,0,0,0,0.0005,0,0,0,0,0,0,0,0,0.0197,0.0001,0,0,0,0,0.0002,0,0.0175,9,0,0,9,0,0,0,0,0,0,0,0,0,0,0.0142,9,0,0,0,0,0,0,0,0.7561,0,1.0721,0.369,0.2165,2.4202,0.037,0,0.0002,0.0033,0,0.0024,0,0,0.2915,0,0,0,0,0.126,0,0,0.0272,0.0114,9,0.0313,0,0,0,0
