"","United States of America","Canada","Cuba","Haiti","Dominican Republic","Mexico","Guatemala","Honduras","El Salvador","Nicaragua","Costa Rica","Panama","Colombia","Venezuela","Ecuador","Peru","Brazil","Bolivia","Paraguay","Chile","Argentina","Uruguay","United Kingdom","Ireland","Netherlands","Belgium","Luxembourg","France","Switzerland","Spain","Portugal","German Federal Republic","German Democratic Republic","Poland","Austria","Hungary","Czechoslovakia","Italy","Albania","Yugoslavia","Greece","Cyprus","Bulgaria","Romania","Russia","Finland","Sweden","Norway","Denmark","Iceland","Mali","Senegal","Benin","Mauritania","Niger","Ivory Coast","Guinea","Burkina Faso","Liberia","Ghana","Togo","Cameroon","Nigeria","Gabon","Central African Republic","Chad","Congo","Democratic Republic of the Congo","Somalia","Ethiopia","South Africa","Madagascar","Morocco","Tunisia","Libya","Sudan","Iran","Turkey","Iraq","Egypt","Lebanon","Jordan","Israel","Saudi Arabia","Yemen Arab Republic","Afghanistan","China","Mongolia","Taiwan","North Korea","South Korea","Japan","India","Pakistan","Myanmar","Sri Lanka","Nepal","Thailand","Cambodia","Laos","Vietnam","Republic of Vietnam","Malaysia","Philippines","Indonesia","Australia","New Zealand"
"Cyprus",4,0.6,9,0,0,0,0,0,0,0,0,0,0,0.2,0,0,0.6,0,0.1,0,0.1,0,18.7,0.3,3.5,1.8944,0.1056,4.4,0.8,1.6,1.4,0,0.1,0,1.3,0.08,0.6,7.4,9,0.6,3.2,0,0,0.35,0,0.7,1.4,0.3,1.1,0,0,0,0,0,0,0,0,0,0,0.1,0,0,0.1,0,0,0,0,0,0,0.1,0.2,0,0.1,0.5,0.3,0.1,0.4,0.3,0,0.2,0.5,0.1,1.5,0.4,9,0,0,0,0.1,0,0,1.9,0.8,0.2,0,0,9,0.6,9,9,0,0,0,0.4,0,1.2,0.4
"Bulgaria",1,0.3,0,9.139,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0.3,0.1,1.5,0,0.4,2.9364,0.1636,3.2,0.5,0.2,0,0,0,0,0.5,0,0,5.7,0,0.6,1,0,0,0.29,0,0.2,0.7,1,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,9,0,0,9,0.1,0,0.1,0.2,0.2,0,0,9.3,0.1,2.2,1.5,0,0,0.9,0,9,9,0,0,0,0,0,0.1,0.5,0,0,0,0,0,0,9,0,0,0,9,0,0.6,0
"Romania",4.93,1.3,0,0,0,0.02,0,0,0,0,0,0,0,0.7,0,0,0.86,0,9,0,0.02,0.03,8.43,0,2.03,0.8999,0.0501,12.92,4.73,0.35,2.02,0,3.14,4.53,0.76,13.68,7.6,13.51,1.14,3.76,1.16,0.35,0.29,0,11.09,1.41,3.83,0.35,0.5,0.1,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,9,0,0,0,0,0,0.2,1.5,0,0.1,0.82,0.1,0.24,1.86,0.74,2.16,0.9,1.22,0,0,9,7.37,0.04,0,2.07,0,0.2,4.26,0,0.2,1.61,0,0,0,0,0,0,0,0,0.06,1.1,0
"Russia",15,4.8,0,0,0,0.4,0,0,0,0,0,0,0,0,0,0,5.86,0,9,0,3.4,11.2,70.6,2.2,32.6,9.0933,0.5067,20.9,4.6,3.4,0.2,0,0,0,1.3,0,0,47.2,0,4.1,9.5,0,0,11.09,0,11,24.7,6.5,12.6,2.5,0,0,0,0,0,2.85,0,0,0,18.8,0,0.2,0,0,0,9,0,0,0,1.5,0,0.1,3,1.3,0.5,0.7,17.3,1,3.2,22.9,3,0,0.1,0,0,10.9,0,0,9,0,0,27,27.1,1,1.2,6.9,9,4.8,1,9,9,0,0,0,0,28.26,7
"Finland",9.9,4,0.2,0.03,0.33,1.8,0.3,0.1,0.1,0.1,0,0.4,0.8,1.4,0.12,1.2,12.33,0,0,1.9,6.8,1.1,127.3,11.4,17.1,6.0622,0.3378,4.2,15.8,5.5,0.5,0,1.5,11.5,5.8,0.87,2.8,5,0,0.5,3.6,0.7,0.2,1.41,11,0,65,0,10.7,0.4,9,0.3,0,0,0,0.13,0,0,0,0,0,0,0,0,0,0,0,0.4,0,0.1,3.8,0.1,1,0.8,0.1,0.2,8.1,1.2,1.3,3.8,2.3,0.1,5,0.1,0,0,2.1,9,0.1,0,0,1.2,5,0.1,0,0.4,9,0.7,0,0,0.6,0,0,1.4,1.7,7.79,0.9
"Sweden",171.7,2.1,0.9,0.06,2.17,10.7,4,0.7,0.5,1.6,0.2,0,0.6,22.4,3.74,4.9,8.62,1.6,0.372,12.4,5.4,2.4,84,8,91.1,7.483,0.417,5.9,13.5,2.4,2.7,0,11.8,3.8,9.1,1.7,0.9,6.2,0,3.4,12.7,1.4,0.7,3.83,24.7,65,0,121.4,55.1,0.5,0,0.7,0,0,0,0.01,0,0,32.8,3.1,0,0.7,0,0.2,0.1,0.1,0,1.5,0,0,17.8,0.8,0.4,0.7,0.2,1.2,17,1.3,8.4,4.2,4.7,1.4,2.1,7.7,0,0.3,7.4,0,0.4,0,1.2,20.7,19.5,0.2,0,0.8,9,1.6,0.3,0.1,0.9,0,0,11.7,1.4,33.39,1.46
"Norway",51.7,66.6,1.4,0.65,1.47,1.1,0.3,0.4,0.3,0,0.2,1.99,0.9,9.9,0.23,1.4,4.78,0.1,0.1,0.2,3.3,0,1.8,1.3,54,21.9754,1.2246,18.6,12.2,8.7,0.3,0,0.2,0.5,1.5,0.15,2,7.2,0,0.1,1.3,0.3,1,0.35,6.5,0,121.4,0,1.1,0.4,9,0.8,0,0,0,0.33,1.4,9,1,7.4,0,1.6,17.2,0,0,0,0,0.2,0,1,4.4,0.2,1.3,0.2,0.1,0.4,0.5,0.3,1.9,0.1,0.8,0.2,0.2,0.9,0,0,1,0,0.1,0,0.4,5.8,2.5,2.8,0.2,0.2,9,1,0,0,1.1,0,0,4.3,2,8.18,1.09
"Denmark",67.9,7.7,0.4,0.52,1.99,2.4,0.9,0.4,0.6,0.4,1,4.75,0.5,13.2,0.68,0.2,4.37,0.4,0,2.7,6.2,0.2,66.3,3.1,81.9,54.2755,3.0245,48.4,35.2,4.8,3.1,0,2.1,8.9,1.9,0.69,2.5,34.6,0,3.2,4.1,1.1,0.1,0.5,12.6,10.7,55.1,1.1,0,7.6,0,0.5,0.3,0,1,0.4,0,0,4.5,0.9,0,0.2,0,0.3,0,0.2,0,0.6,0,0.3,4.2,0.1,0.6,0.1,0.9,1.5,2.1,1.8,2,2.1,3,0.6,0.4,1.2,0,0.2,8.1,0,0.1,0,1.2,7.1,0.6,0.2,3.7,2.2,0,0,0,0.2,0.7,0,0,0.2,5.8,4.43,0.1
"Iceland",0.2,0.2,0.5,0,0,0,0,0,0,0,0,0.11,0,0.4,0,0,0.32,0,0,0,0,0,2.2,0.3,1.9,0.7578,0.0422,0.6,0.2,0.1,2.5,0,0.5,0.7,0.1,0,0.5,1.3,0,0,0.9,0,0,0.1,2.5,0.4,0.5,0.4,7.6,0,0,0,0,0,0,0,9,9,0,0,0,0,4.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3,0,0,0,0,9,0,0,0,1.4,0.1,0,0,0,0,0,0,0,0,0,0,0.2,0,0,0
"Mali",0,0,0,0,0,9,0,9,0,0,0,0,0,9,9,0,0,0,9,0,0,0,0,0,0,0,0,5.2,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,9,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,3.7,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,9,0,9,0,0,0,9,0,9,0,0,0,0,0,0
