"","United States of America","Canada","Cuba","Dominican Republic","Mexico","Guatemala","Honduras","El Salvador","Nicaragua","Costa Rica","Panama","Colombia","Venezuela","Ecuador","Peru","Brazil","Bolivia","Paraguay","Chile","Argentina","Uruguay","United Kingdom","Ireland","Netherlands","Belgium","Luxembourg","France","Switzerland","Spain","Portugal","Germany","Poland","Austria","Hungary","Czechoslovakia","Italy","Albania","Yugoslavia","Greece","Bulgaria","Romania","Russia","Estonia","Latvia","Lithuania","Finland","Sweden","Norway","Denmark","Liberia","Ethiopia","South Africa","Iran","Turkey","Saudi Arabia","Yemen Arab Republic","Afghanistan","China","Mongolia","Japan","Nepal","Thailand","Australia","New Zealand"
"United States of America",0,488.98999,202.84,6.5100002,124.53,15.3,18.27,3.71,5.96,6.02,3.76,101.76,4.79,7.1300001,20.77,220.66,2.52,0.050000001,75.160004,99.480003,10.63,348.42999,1.27,83.599998,75.099998,0,158.64999,42.880001,35.099998,2.6500001,222.13,2.1300001,10.63,0.88,34.639999,108.81,0.44999999,1.04,16.33,0.56,0,13.94,0.80000001,0.89999998,0.41,10.29,46.110001,21.84,3.9400001,0,0.02,7.8800001,0,0,0,0,0,140.03,0,384.34,0,0.40000001,31.65,0.87
"Canada",866.32001,0,4.9000001,1.8200001,0.62,0,0.23,0,0,0,0,0,0,0.17,6.4099998,0.83999997,0,0.029999999,0,7.4099998,0,193.63,0.050000001,8.9899998,11.99,0,26.16,7.79,2.8299999,0,20.75,0.050000001,0.64999998,0,3.1199999,4.25,0,0.02,0.37,0,0,0,0.000168,0.050000001,0.0099999998,0.039999999,0,1.16,0.14,0,0.02,0.27000001,0,0,0,0,0,3.0799999,0,12.89,0,0.0070783999,3.47,0.5
"Cuba",129.21001,4.75,0,0.58999997,1.74,0.17,0.050000001,0.58999997,0.12,0.029999999,0.0099999998,0.28999999,0.56999999,0.28,0.07,0.30000001,0,0,0.60000002,0.85000002,2.9300001,10.41,0.70999998,2.4000001,2.9200001,0,9.6099997,0.66000003,9.3699999,0.050000001,6.5700002,0,0.1,0,0.00030799999,1.53,0,0,0.00012700001,0,0.059999999,0.000061999999,0,0,0,0.00069299998,0.70999998,1.95,0.46000001,0,0,0,0.0099999998,0.0094959997,0,0,0,0.56,0,0.81,0,0.61000001,0.02,0
"Dominican Republic",16.370001,0.34,0.039999999,0,0.000045000001,0,0,0,0,0,0,0.000014,0,0,0.001846,0,0,0,0,0.000207,0,1.58,0,0.37,0.30000001,0,0.80000001,0,0.002838,0,1.4,0,0.002083,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Mexico",120.85,2.1800001,0.039999999,0.12,0,0.0099999998,0.0099999998,0,0,0,0,0,0,0,0,0.0085000005,0,0.090000004,0,0.11,0,13.14,0,1.12,2.9200001,0,8.4899998,1.84,3.3199999,0,15.69,0.07,0.37,0,0.77999997,1.27,0,0.0099999998,0.0099999998,0,0,0,0,0,0.029999999,0,0,0.22,0.090000004,0,0.0000060000002,0,0,0,0,0,0,0,0,0.70999998,0,0,0,0
"Guatemala",17.48,0,0.0099999998,0.0012159999,0.41,0,0.079999998,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.23,0,0.34999999,0.75999999,0,1.14,0,0.36000001,0,4.23,0,0.0096300002,0,0.00036400001,0,0,0.00019999999,0,0,0,0,0,0,0,0,0,0.0099999998,0.0099999998,0,0,0,0,0,0,0,0,0,0,0.54000002,0,0,0,0
"Honduras",11.56,0.0080000004,0.029999999,0,0.029999999,0.059999999,0,0.13,0.17,0,0.050000001,0,0,0,0,0,0,0,0,0.0020000001,0,0.82999998,0,0.0096389996,0.02,0,0.28999999,0,0.059999999,0,0.63,0,0.00091300003,0,0,0.16,0,0.000035000001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.003,0,0.07,0,0,0,0
"El Salvador",10.08,0.02,0.0044519999,0,0,0,0.38,0,0,0.0099999998,0,0,0,0,0.37,0,0,0,0.0099999998,0.001,0,2.48,0,0.090000004,0.41,0,0.02,0,0.25,0,0.25,0.000024999999,0.001984,0,0.13,0.52999997,0,0,0,0,0,0,0,0,0,0,0.28999999,0.11,0.0085000005,0,0,0,0,0,0,0,0,0.059999999,0,0.64999998,0,0,0,0
"Nicaragua",8.3000002,0,0,0,0,0,0.20999999,0,0,0.0099999998,0,0,0,0,0.30000001,0,0,0,0,0,0,1.47,0,0,0,0,0.43000001,0,0.07,0,1.16,0.000062999999,0.001151,0,0,0.23999999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0099010002,0,0.13,0,0,0,0
"Costa Rica",9.6800003,0,0.15000001,0,0,0,0,0.07,0.69999999,0,0.28,0.0099999998,0,0,0.22,0,0,0,0,0,0,2.55,0,0.25,0.37,0,0.5,0,0.23999999,0,3.53,0,0.00042900001,0,0.0014909999,0.40000001,0,0,0,0,0,0,0,0,0,0,0,0.02,0.02,0,0,0,0,0,0,0,0,0,0,0.11,0,0,0,0
"Panama",10.92,0,0.15000001,0,0,0,0,0,0,0.2,0,0,0,0,0.14,0,0,0,0,0,0,1.4400001,0,0.18000001,0.13,0,0.50999999,0,0.13,0,0.77999997,0,0.0048210002,0,0,0.15000001,0,0.000040999999,0.0000049999999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.97000003,0,0.14,0,0,0,0
