"","United States of America","Canada","Bahamas","Cuba","Haiti","Dominican Republic","Jamaica","Trinidad and Tobago","Barbados","Dominica","Grenada","St. Lucia","St. Vincent and the Grenadines","Antigua & Barbuda","St. Kitts and Nevis","Mexico","Belize","Guatemala","Honduras","El Salvador","Nicaragua","Costa Rica","Panama","Colombia","Venezuela","Guyana","Suriname","Ecuador","Peru","Brazil","Bolivia","Paraguay","Chile","Argentina","Uruguay","United Kingdom","Ireland","Netherlands","Belgium","Luxembourg","France","Liechtenstein","Switzerland","Spain","Portugal","Germany","German Federal Republic","German Democratic Republic","Poland","Austria","Hungary","Czechoslovakia","Italy","Malta","Albania","Yugoslavia","Greece","Cyprus","Bulgaria","Romania","Russia","Finland","Sweden","Norway","Denmark","Iceland","Cape Verde","Sao Tome and Principe","Guinea-Bissau","Equatorial Guinea","Gambia","Mali","Senegal","Benin","Mauritania","Niger","Ivory Coast","Guinea","Burkina Faso","Liberia","Sierra Leone","Ghana","Togo","Cameroon","Nigeria","Gabon","Central African Republic","Chad","Congo","Democratic Republic of the Congo","Uganda","Kenya","Tanzania","Burundi","Rwanda","Somalia","Djibouti","Ethiopia","Angola","Mozambique","Zambia","Zimbabwe","Malawi","South Africa","Namibia","Lesotho","Botswana","Swaziland","Madagascar","Comoros","Mauritius","Seychelles","Morocco","Algeria","Tunisia","Libya","Sudan","Iran","Turkey","Iraq","Egypt","Syria","Lebanon","Jordan","Israel","Saudi Arabia","Yemen Arab Republic","Yemen","Yemen People's Republic","Kuwait","Bahrain","Qatar","United Arab Emirates","Oman","Afghanistan","China","Mongolia","Taiwan","North Korea","South Korea","Japan","India","Bhutan","Pakistan","Bangladesh","Myanmar","Sri Lanka","Maldives","Nepal","Thailand","Cambodia","Laos","Vietnam","Malaysia","Singapore","Brunei","Philippines","Indonesia","Australia","Papua New Guinea","New Zealand","Vanuatu","Solomon Islands","Fiji","Samoa"
"Nicaragua",63.5,39.5717,0,2.5875,0.0509,0.0642,0.0436,0.0093,0.1535,0,0,0,0,0,9,3.9486,0,21.6047,3.3,0.64,0,12.9094,32.0431,3.7511,62.9,0,0,47.8,1.3513,4.1534,0.0041,0.0242,0,2.4,0.198,2.2512,0.7925,8.5829,1.6705,0.0995,2.6059,0,2.7325,0.7594,7.8756,10.0767,0,0,0,9.2503,0,3.6428,18.4396,0,0,3.546,0.0976,0,0.9184,0,45.1998,4.7019,8.1655,0.2349,4.9934,0.0916,0,0,0,0,0,9,0,9.0002,0,0,0,9,0,9,0,0,0,0,0,9,0,9,0,0,9,9,0,9,0,0,0,0,9,0,0,0.0227,9,0,0,0,0,0,0,9,0.0774,9,0,0,0.001,0,0,0,0.285,9,0,0,0,0,2.5,0,9,9,0,9,0,0,0,0,0,10.2,0,0,1.8364,2.4,26.6784,5.0807,9,0.5352,9.1408,0,0,0,0,0.2272,0,9,0,0.0393,0,0,0,0.1765,0.6043,9,1.318,0,0,0,9
"Costa Rica",282.4582,24.9685,0.8594,0.4161,0.4219,5.9407,3.2999,0.0574,0.9514,0.7426,0.0508,0.9741,0.0411,0.0661,0.0092,37.0063,1.439,42.8313,10.8162,14.4034,12.9094,0,1.1315,15.1627,160.2803,0.0248,0.3943,10.9487,10.2985,49.4993,0.8407,0.3893,18.5663,20.3067,0.1146,0.0315,15.0007,43.4099,0.6323,0.0377,4.2555,0,13.5113,22.89,6.0144,177.051,0,0,2.6535,34.0807,9.0556,2.3978,63.2722,0.9866,0.0006,4.168,2.1936,0.1126,0.0107,0.5274,1.7765,28.2729,24.6239,15.0845,6.8285,0.9882,0,9.0228,9,9,9,0,0.0209,9,0.0084,0,0.0072,0,9,0,0.0032,0,9,0,0.0049,9.2398,0,9,0,0,9,0,0,0,0,0,9,0,0,0,0,0.0074,9,0.0108,0,9.8791,0,0,0,0,0.0679,0,0.1811,0,0.0259,0.02,0,0,0.8694,0,0.003,0,0.1069,0.0966,3.7928,0.0452,0,0.0015,0,0.0198,0.3076,0,0.0092,0.8583,9,0.0957,9,53.8539,0.0621,31.7751,146.48,1.1019,0,0.0356,9,0,0.1096,9,0,4.2789,9,0.0049,9,1.161,1.0385,9,0.4689,0.1913,0.611,0.0064,0.1855,9,9,0,9
"Panama",269.1446,7.1591,0.1351,1.647,0.9317,21.2431,9.659,3.7421,0.071,0.0527,0.0299,0,0.1993,0,0,139.6873,0.0801,9.6406,1.7493,1.3311,32.0431,1.1315,0,51.0171,39.0505,0.1001,2.5613,156.6026,45.2184,8.8426,7.1456,24.6349,4.2874,3.9271,5.9609,7.8982,1.2745,63.9325,26.3226,1.5674,11.0754,0,153.0656,33.116,20.8064,233.1738,0,0,2.4834,27.182,0.0192,0.9246,79.336,0.11,9,20.7453,7.6527,0.0148,0.1014,1.4938,0.0806,20.3881,45.8736,446.7163,53.1781,2.0336,0,0,9,9,0,0,0.0279,0,2.4204,0,1.392,0,0,9,0,0,0,0,0.4321,0,0,0,0,0,0,0,9,9,0,9,0,0,0,9,0,0.0461,0,1.0388,0,0,0,0,9.4123,0,0.7359,9,0,9.447,1.026,0.01,0,0,11.9616,0,0.4799,0,0.1431,0.0007,8.5565,0.1023,0,0,0,0,0,9,0.1288,9,0,0.591,0,21.8487,0,72.9457,38.9932,0.4216,0,0.2585,0.0989,9,0.1625,9.003,0,1.2685,0,9,0,13.8987,95.3361,0,0.2873,0.2993,0.1148,0.0035,6.263,9,0,0,9
"Colombia",1430.0205,72.192,34.4961,21.4177,3.8824,13.1456,1.6483,11.601,0.699,1.4164,1.0667,1.4157,1.5833,0.1732,0.0663,82.0195,0.1353,8.1063,11.6667,6.4118,3.7511,15.1627,51.0171,0,173.9863,0.0584,3.7686,12.1766,21.4828,148.9373,1.8404,1.0742,70.788,108.1463,29.0022,4.6972,42.7784,174.5454,23.8971,1.4229,55.8143,0,102.3368,18.5515,30.9405,208.1528,0,0,3.9514,26.8697,2.2301,19.9811,22.6152,0.5005,0,33.1503,7.7819,7.807,5.7594,6.2947,6.3003,62.0736,50.4511,20.2102,98.5062,0.522,0,0,0,0,0.1285,0.0057,0.0351,0.0135,9,0.0144,0.0869,0.1264,0,0.0104,0.4036,0.1586,0.0059,0.1432,0.0914,0.109,0.0709,0,0.0037,0.0342,0,0.0309,0,0.0083,0.0801,0,0,0,0.0101,0,0.0065,2.921,0,1.292,0,0.0503,0.0956,0.1078,0.0001,0,0.8111,0,3.118,0.191,0.0099,2.698,0.2586,0.1349,11.3376,0,0.0722,0,0.1911,0.0404,60.4309,9.2134,0,0.0041,0,0.1226,0.1083,0.0781,0.1279,0,0.0044,2.6055,0,20.3409,0.5319,11.8535,219.1856,23.1636,0,0.1484,1.5774,0.051,11.9071,0.015,0.0504,11.4688,0,0,0.682,1.709,8.1591,0,0.0529,4.6726,1.9527,0.2102,0.4956,0.5631,0,0,0.2272
"Venezuela",6820.5193,335.0884,0,501.8244,4.5873,301.7163,99.2212,41.0931,27.9984,0.8671,1.146,1.7366,0.8841,0,0,51.2088,0.8635,118.738,49.882,79.5237,62.9,160.2803,39.0505,173.9863,0,4.4782,1.9843,90.2553,11.9739,170.7117,0.4202,0.6624,161.7267,119.2947,3.2315,20.8415,1.0506,20.6071,134.9636,8.0364,1.6581,0,56.2613,55.9688,2.3115,228.1917,0,0,0.7498,20.4717,4.7203,5.5777,96.8336,0.147,0.0445,1.9714,5.7006,0.0858,0.0911,8.267,3.1403,12.7029,102.785,14.1155,15.0612,0.0339,0,0,0,0,0,0,0.0508,0.0048,0,0,19.6464,2.53,9,0,0.0041,0,0,0.2277,0.0354,0,0,9,0,0,0,0,0,9,0,0,0,0.0188,0,0,0,3.777,0,0,0,0,0,0,0,0,0.0027,0,0.7718,10.418,14.2864,0.034,0,6.1367,26.2548,0.2958,3.8699,0.1405,0.0721,0.7923,19.2079,2.0968,0,0,0,0.01,0,0,0,0.1743,0,28.1916,0,4.55,0.0171,17.4863,323.611,13.8451,0,7.2439,0,0,0.0074,0,0,60.4755,0,0,13.891,8.6371,85.3848,0,1.7047,3.0782,18.0251,0,37.1604,0,0,0,9
"Guyana",31.5,12.9384,0.0265,3.6191,0,0.1004,2.1493,26.3874,1.6111,0.1549,0.2441,0.2868,0.5638,0.784,0.2587,0.3531,0.0024,0,0,0,0,0.0248,0.1001,0.0584,4.4782,0,4.7905,0.0578,0.0231,2.1109,0,0,0.3828,0.1088,0,66.5573,0.0814,5.2922,0.84,0.05,1.1738,0,0.7672,1.7222,0.3827,2.9948,0,0,0,0.3777,0,0,4.2101,0,0,0.6132,0.0176,0,1.6573,0,5.0284,0.2023,0.1286,1.7895,0.2499,0,0,0,0,0,0,9,0,0,9,0,0,0,9,0,0,0,9,0,0.0705,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0.0741,0,0,0,0.1089,0,0,0,0,0,0.0014,0.0187,0.3567,0,0.0005,0,0.0013,0,0.014,0,0,0,0,0,0,3.9464,0,0,0,0,0,0,0,0,9,0.7243,0,2.0316,1.2749,0.9777,3.518,0.1389,0,0.126,0,0,0.0535,0,0,0.3464,0,0,0,0.135,0.0066,0,0,0.0209,0.792,0.0012,0.2828,0,0,0,0
"Suriname",140.9766,0.0917,0,0.0022,0.1449,1.3187,2.55,34.193,0.2809,0.0121,0,0.0022,0.0241,0,0,0.612,0,0.0022,0.0011,0.0335,0,0.3943,2.5613,3.7686,1.9843,4.7905,0,0,0.1408,5.2759,0,9,0,1.1164,0.067,12.2705,0.0599,3.1084,16.2617,0.9683,44.2871,0,1.1119,0.4645,0.3358,41.4554,0,0,0,0.1007,0,0,1.0309,0,0,14.819,0.0373,0,0,0,0,0.0041,0.0274,216.9939,0.1784,0,0,0,0,0,0,0,0,11.7562,0,0,0,0,9,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0.0058,0,0,0,0,0,0,9,0,0.0001,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.563,9,4.4493,0,1.3608,4.2855,0.7525,0,0.2311,0,0,0,0,0,1.1777,0,0,0,0.3573,0.2258,9,0,0.6636,0.0071,0,0.0024,0,0,0,0
"Ecuador",963.5469,98.5294,0,0,0.0323,0.0322,4.7105,3.4071,0.0129,0.0034,9,0,9.0056,0,0,40.0292,0.095,21.6916,0.188,0.8322,47.8,10.9487,156.6026,12.1766,90.2553,0.0578,0,0,21.9565,128.4467,0.6749,0.2223,46.3745,13.8966,0.386,3.5941,10.1177,8.0081,6.3895,0.3805,8.6091,0,43.9161,56.2441,4.1103,20.4955,0,0,2.6479,1.19,0.2755,1.8423,44.962,0.5089,0,39.0663,10.2909,0.0413,1.5105,6.2646,1.0378,16.4,0.8425,0.5134,0.1413,0.0033,0,0,0,0,9,0,0,6.0827,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,9,9,0,9,9,9,9,0,0,0,0,0.0122,0.3115,9,10.5489,0,0,0,0,9,0,0.0054,0,0,0,3.7512,1.6498,0,0,7.515,0,0.088,0,0,0,15.6,2.8774,0,0,0,0,0,9,0,0,0,0.1891,0,29.9736,9,9.6,62.097,0.0807,0,0.4439,9,0,0,0,9,5.2729,0,0,9,1.1171,0.0358,0,0.004,1.6932,1.0772,0,26.2625,9,9,0,0
"Peru",28.4379,93.3641,4.2284,6.7122,0.052,1.6187,1.2409,0.1904,0.2441,0.323,0.0035,0,9.0011,0.0104,0,0.4961,0.017,2.8357,2.538,4.2061,1.3513,10.2985,45.2184,21.4828,11.9739,0.0231,0.1408,21.9565,0,5.3647,46.1648,3.9996,25.2568,212.7426,32.7934,91.3929,1.9331,35.3256,40.3003,2.3997,83.7458,0,144.5332,24.3958,14.7034,94.5772,0,0,0.2816,14.3747,32.5201,42.8257,167.1505,0.1016,0.0319,56.2197,1.7936,0.064,7.0301,2.8056,64.2708,0.2144,45.5269,2.1338,2.6917,0.0332,0,0,0,0,0,0.8162,0.6848,0,0,0,0.538,0,0,7.5779,0,0.7128,0,0.2314,0.4242,0,0,0,0,0.3178,0,0.118,0,0,9,0,0,0,0,0,0,0.7246,0,9.6707,0,0,9,0,0,0.0044,0.0066,0,2.428,10.242,4.8294,0,0,11.522,22.846,0.0671,0.001,0,0,0.2667,31.1562,0.4516,0,0.0297,0,0.133,0.0044,0.069,0.006,0.0231,0.0275,80.2491,0,50.211,0.9878,87.0495,492.687,19.7201,0,2.7877,0.3589,0,0.914,0.039,0.6684,15.1576,0.1749,0.4312,3.4584,2.24,6.8171,0,19.2496,3.1365,7.5336,0,30.5999,0,0,0.356,0.011
"Brazil",3630.167,209.9572,34.2331,19.5668,3.9396,19.5391,53.8384,44.7195,7.9461,0.6608,1.2578,1.7765,1.2104,9.945,5.6617,171.0434,1.003,24.4514,21.9,9.2808,4.1534,49.4993,8.8426,148.9373,170.7117,2.1109,5.2759,128.4467,5.3647,0,78.32,140.261,13.2142,947.9981,350.5045,763.8409,9.4079,799.8088,295.2778,17.5822,1036.8334,0,201.5082,702.7378,340.1195,953.508,0,0,150.1244,103.3144,109.2753,82.76,1187.8446,7.9888,0.0825,167.1762,174.1893,13.0495,28.1666,32.8953,86.9396,15.8681,1.2707,9.0623,168.047,0.6075,0,0.0792,0.2948,0.1518,0.7491,0.3586,11.256,1.8615,3.846,0.5362,20.0832,5.3405,11.5857,10.9131,7.6492,16.489,1.707,8.7216,103.2408,30.5536,1.155,0.1936,1.5793,7.9808,1.1814,14.4059,2.7428,0.612,0.76,1.3057,0.01,1.6031,48.774,14.6542,0.4646,13.6152,1.314,65.8231,0.152,9.024,1.652,9,5.0816,0.0902,7.78,0.1051,90.9505,181.0834,15.7132,92.065,1.375,477.2717,157.693,983.7476,133.1691,9.9234,25.9963,16.6933,87.7689,1564.3799,0,13.0735,0,166.1272,0,329.4563,39.851,52.6698,0.9317,289.8999,0,312.1451,0.0143,601.7181,1413.821,207.2308,9.0561,21.6765,1.2654,0.002,2.2219,9.001,1.8744,329.8727,0.0231,0.1573,2.981,189.627,273.003,1.1584,230.8188,175.4321,138.8693,1.0689,18.9943,0.2519,0.0054,0.577,0.0256
