"","United States of America","Haiti","Mexico","Guatemala","Colombia","Venezuela","Ecuador","Peru","Brazil","Bolivia","Chile","Argentina","United Kingdom","Netherlands","Belgium","France","Switzerland","Spain","Portugal","Germany","Austria-Hungary","Italy","Greece","Russia","Sweden","Denmark","Morocco","Tunisia","Iran","Turkey","Egypt","China","Japan"
"United States of America",0,0,4,0,1.14,0,0,0,39,0,1.84,2.9100001,172.94,1.6,3.1400001,73.970001,0,4.23,0.19,61,0,5.6399999,0,0,1.86,0,0,0,0,0,0,11.43,8
"Haiti",0,0,0,0,0,0,0,0,0,0,0,0,2.8099999,0,0,2.9300001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Mexico",6,0,0,0,0,0,0,0,0,0,0,0,5.8000002,0,0,5.6300001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Guatemala",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.81,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Colombia",0.54000002,0,0,0,0,0,0,0,0,0,0,0,14.94,0,0,7.6599998,0,0,0,0.75,0,0,0,0,0,0,0,0,0,0,0,0,0
"Venezuela",0,0,0,0,0,0,0,0,0,0,0,0,2.6300001,0,0,1.5599999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Ecuador",0,0,0,0,0,0,0,0,0,0,0,0,0.52999997,0,0,0.73000002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Peru",0,0,0,0,0,0,0,0,0,0,0,0,12.27,0,0.68000001,11.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Brazil",7,0,0,0,0,0,0,0,0,0,0,0.76999998,36.669998,0,1.46,17,0,0,3.8399999,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Bolivia",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Chile",2.04,0,0,0,0,0,0,0,0,0,0,1.36,15.38,0,0.68000001,12.04,0,0,0,4.0799999,0,0,0,0,0,0,0,0,0,0,0,0,0
"Argentina",5.0500002,0,0,0,0,0,0,0,2.9100001,0,0.090000004,0,18.120001,1.6,1.42,23.440001,0,2.8800001,0,3.1099999,0,0,0,0,0,0,0,0,0,0,0,0,0
"United Kingdom",347.45001,1.64,2.4200001,0,5.23,0.47,1.54,25.370001,35.970001,0,23.16,12.65,0,64.519997,46.689999,226.31,0,53.34,14.77,96.870003,4.2199998,21.33,8.4399996,100.68,32.400002,17.360001,4.7600002,0,0,6.0599999,0,56.66,2.72
"Netherlands",12.06,0,0,0,0,0,0,1,0,1,0,0,99.290001,0,25.450001,7.4099998,0,0,0.40000001,55.470001,0.13,1.2,0,14.34,1.4,0.16,0,0,0,0,0,0.1,0
"Belgium",26.219999,0,0,0,0,0,0,1.86,4.0700002,0,1.86,13.77,50.799999,34.549999,0,97.419998,0.28999999,4.2800002,0.23999999,33.099998,0,1.13,0,7.1199999,4.71,1.38,0,0,0,0,0,0,0
"France",38.049999,0,1.17,0.27000001,0,0,0,0,0,0,0,0,146.13,8.8299999,73.349998,0,66.269997,34.580002,3.51,80.629997,10.73,84.279999,1.23,36.32,7.9099998,0.050000001,0,0,0,45.139999,0,13.12,12.37
"Switzerland",0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.3299999,82.989998,0,0,0,0,0,30.809999,0,0,0,0,0,0,0,0,0,0,0
"Spain",9.6000004,0,0,0,0,0,0,0,0,0,0,2.54,18.16,0,2.1400001,34.290001,0,0,1.96,0.89999998,0,0.66000003,0,0,0.41,0,0,0,0,0,0,0,0
"Portugal",1.01,0,0,0,0,0,0,0,3.45,0,0,0,21.58,0.36000001,0.15000001,5.3400002,0,2.6900001,0,1.13,0,0.090000004,0,0.97000003,0.64999998,0,0.31999999,0,0,0,0,0,0
"Germany",62,0,0.76999998,0,2.45,0,0,0,0,0,0.47999999,0.38,132.57001,95.669998,50.360001,100.84,0,2.03,0.51999998,0,0,2.6600001,0,85.389999,4.8899999,0,0,0,0,0,0,0,0.20999999
"Austria-Hungary",0,0,0,0,0,0,0,0,0,0,0,0,7.21,0.07,0,4.3400002,0,0,0,0,0,42.77,0,19.780001,0,0,0,0,0,0,0,0,0
"Italy",9.6000004,0,0,0,0,0,0,0,0,0,0,0,283.64001,3.6099999,2.5,68.160004,7.9000001,7.8000002,0.25,4.5700002,43.490002,0,1.2,9.3000002,0.15000001,0,0,3.5799999,0,8.4099998,0,0,0
"Greece",0,0,0,0,0,0,0,0,0,0,0,0,4.8299999,0,0,3.55,0,0,0,0,0,3.3699999,0,0.38999999,0,0,0,0,0,0,0,0,0
"Russia",12.69,0,0,0,0,0,0,0,0,0,0,0,99.220001,4.0900002,3.6099999,19.389999,0,0,0.47999999,128.17999,15.32,8.6400003,1.91,0,2.3,0,0,0,0,11.58,0,3.1199999,0
