"","United States of America","Canada","Cuba","Haiti","Dominican Republic","Mexico","Guatemala","Honduras","El Salvador","Nicaragua","Costa Rica","Panama","Colombia","Venezuela","Ecuador","Peru","Brazil","Bolivia","Paraguay","Chile","Argentina","Uruguay","United Kingdom","Ireland","Netherlands","Belgium","Luxembourg","France","Switzerland","Spain","Portugal","German Federal Republic","German Democratic Republic","Poland","Austria","Hungary","Czechoslovakia","Italy","Albania","Yugoslavia","Greece","Bulgaria","Romania","Russia","Finland","Sweden","Norway","Denmark","Iceland","Liberia","Ethiopia","South Africa","Morocco","Tunisia","Libya","Sudan","Iran","Turkey","Iraq","Egypt","Syria","Lebanon","Jordan","Israel","Saudi Arabia","Yemen Arab Republic","Afghanistan","China","Mongolia","Taiwan","North Korea","South Korea","Japan","India","Pakistan","Myanmar","Sri Lanka","Nepal","Thailand","Cambodia","Laos","Vietnam","Republic of Vietnam","Philippines","Indonesia","Australia","New Zealand"
"Belgium",76.9804,12.3513,8.5693,8.2342,1.7713,9.0002,0.3255,0.8617,2.6809,0,1.0532,1.8288,5.7448,14.1705,2.5756,3.2554,11.3268,1.0532,1.0532,1.7234,17.1387,3.0639,49.7884,2.8724,262.6335,0,0,80.523,19.1494,12.8301,14.2663,159.7057,4.9788,5.5437,0.6702,6.7023,2.8341,19.1494,0,0.8617,12.5428,0.5362,0.4787,0.4787,7.947,3.1596,18.7664,40.5966,1.149,0,1.2447,27.9581,1.8192,0.4787,1.0532,0.383,19.2451,0.2872,12.3513,9.6704,1.7234,8.2342,1.6277,0.383,14.362,0,0.0957,15.7025,9,0,0,1.6277,1.8192,35.7136,9.5747,0.766,7.181,0,2.9682,0.2872,0,0,0,3.1692,14.6493,41.2381,8.531
"Luxembourg",3.4196,0.5487,0.3807,0.3658,0.0787,0.3998,0.0145,0.0383,0.1191,0,0.0468,0.0812,0.2552,0.6295,0.1144,0.1446,0.5032,0.0468,0.0468,0.0766,0.7613,0.1361,2.2117,0.1276,11.6665,0,0,3.5769,0.8506,0.5699,0.6337,7.0943,0.2212,0.2463,0.0298,0.2977,0.1259,0.8506,0,0.0383,0.5572,0.0238,0.0213,0.0213,0.353,0.1404,0.8336,1.8034,0.051,0,0.0553,1.2419,0.0808,0.0213,0.0468,0.017,0.8549,0.0128,0.5487,0.4296,0.0766,0.3658,0.0723,0.017,0.638,0,0.0043,0.6975,9,0,0,0.0723,0.0808,1.5864,0.4253,0.034,0.319,0,0.1318,0.0128,0,0,0,0.1408,0.6507,1.8319,0.379
"France",425.7,32.4,3.19,3.7,1.17,7.1,0.8,0.23,1.1,0.5,1.7,0.79,14.7,12,1.09,4.4,32.81,1.4,0.1,2.9,39.5,10.6,83.7,2.9,27.7,80.523,3.5769,0,102.3,15.3,11.5,86.6,7.1,11.83,6.3,14.1,3.66,22.9,0,5.3,0.9,2.02,2.6,9.8,3.7,42.8,9.4,14.9,0.1,0,1.1,33.1,23.4,63.6,2.8,3.4,45.3,2.7,192.3,6.6,7.1,16.2,2.7,5.5,54.7,0,0,8.1,0,0,0,0.5,9.8,15.6,23,0.4,7.6,0,1.6,5.4,5.4,0,15.3,2.47,6.1,151.16,50.26
"Switzerland",41,18.8,2.34,1.6,0.07,1.4,1.8,0.18,0.4,0.1,0.7,0.23,5.5,9.2,1.6,6.2,1.55,1.8,0.4,3.4,1.7,0.5,10.5,1.9,22,19.1494,0.8506,102.3,0,5.3,9.2,202.2,1.2,8.94,7.1,2.9,15.78,67.3,0.1,4.3,3.1,1.21,0.2,7.9,8.8,14.9,7.1,8.1,0.5,0,1.2,7.7,1.8,0.2,0.1,1.6,1.3,0.5,3,2.7,1,6.2,0.6,6.6,2.6,1.7,0.4,16.2,0,0,0,0.6,2.6,29.1,1.8,1.2,1.3,0,5.7,0.1,0.3,0,0.9,1.85,2.7,16.84,3.13
"Spain",126.8,2.1,1.02,0.1,0.19,4,0.44,0.11,0,0.1,0.4,0.22,2.7,7.4,0.01,0.8,6.36,0.1,0,9.7,0.6,0.4,62,2.2,5.3,12.8301,0.5699,15.3,5.3,0,0.9,25.7,0,0,0.3,0,0,1.8,0,0,3.6,0,0,0,0.1,2.8,3.6,7.4,0.8,0,0,6.7,6.3,3.1,0,0,10.2,0.4,7.2,1.3,0.1,0.9,0.1,0.2,47,0,0,0,0,0,0,0,6.5,0.4,2.8,0.1,0.1,0,0,0,0,0,9,3.84,0.1,1.41,0.16
"Portugal",12.7,0.7,0.45,0,0.11,1.7,0.11,0,0.1,1,0.1,0,0.3,1.7,0.01,0.7,0.02,0,0.1,0.3,1.9,0,11.5,1.3,4.4,14.2663,0.6337,11.5,9.2,0.9,0,44.9,0.2,0.46,1.5,0,0.3,0.7,0,0,1.1,0,0,3.1,0.1,5.7,5,2.6,3.3,0,0,3.2,3,0.6,0.1,0.1,0.9,0.2,14.7,0.7,0.1,0.3,0.1,1.4,8.7,0,0,0.1,0,0,0,0,2,0.2,1.9,0.2,0.1,9,0.2,0,0,0,9,0.27,0.3,0.84,0.35
"German Federal Republic",416,60.1,2.98,1,1.15,55.4,3.75,0.93,20.4,13,13.5,2.19,32.7,46.8,6.66,9.9,27.44,4.8,3,49.5,38.8,18.7,34.9,16.1,185.1,159.7057,7.0943,86.6,202.2,25.7,44.9,0,6.8,5.15,144.8,8,3.21,105.1,0,2.6,23,0.69,2,21.9,25.1,181.9,109.5,59.6,1.7,0,4.2,6,10.7,0.3,4.8,13,21.3,29,32.8,34.3,7.7,15.1,7,58.6,58,2,4,16,0,0,0,2.5,27.2,126.5,6.7,9.6,5,0,15.3,0.6,1.5,0,8.2,26.08,1.4,35.86,14.65
"German Democratic Republic",0.5,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.8,12.4,0.4,16.1,4.9788,0.2212,7.1,1.2,0,0.2,6.8,0,41.33,5.7,5.8,10.28,2.9,0,1.2,0.4,13.82,0,117.5,3.7,3.3,2,0.8,0.6,0,0,0,0.1,0,0,0,9,1.6,0,1.2,0.4,0.5,0,0,0,0,0,0,0,0,0,0,3.5,0,0,0,0.1,0,0,0,9,0,0,0,3.5,1.44,0.22
"Poland",27.25,12.58,0.77,0.8,0,1.88,0,0,0,0,0,0,0,0,0.1,0,7.37,0,9,0,1.31,0.68,47.83,0.1,15.53,5.5437,0.2463,11.83,8.94,0,0.46,5.15,41.33,0,3.78,2.01,28.49,0.78,0.58,1.89,0.2,3.96,3.48,67.13,20.42,13.29,0.89,9.47,0.83,0,0,0.89,1,0.4,0.3,0.65,0.13,4.86,0.6,2.39,0.49,0.5,1.1,0.11,0.3,9,0,11.58,0,0,0,0,0.3,2.18,4.32,2.3,0.2,0,0.4,0,9,0,0,0,0.89,37.62,0.11
"Austria",74.4,3.6,6.44,0.1,0.48,2,0.58,0,0.1,0.8,0.6,0,2.7,0.1,1.2,0.1,3.82,0.1,0,0.2,10.3,1.5,9.5,0.8,5.2,0.6702,0.0298,6.3,7.1,0.3,1.5,144.8,5.7,3.78,0,2.7,1.3,53.5,0,4.3,5.5,2.48,0.6,64,3.3,1.2,4.8,0.8,0,0,0.2,4,1.1,0.6,0.2,0,0.9,0.9,1.4,1.1,0.8,2.8,1.1,1.1,0.8,0,0.1,5.3,0,0,0,0,3.8,6.6,2.1,0.2,1.2,0,0.6,0,0,0,9.4,0.22,2.5,1.6,0.4
