"","United States of America","Haiti","Dominican Republic","Mexico","Guatemala","Honduras","El Salvador","Nicaragua","Panama","Colombia","Venezuela","Ecuador","Peru","Brazil","Bolivia","Paraguay","Chile","Argentina","Uruguay","United Kingdom","Netherlands","Belgium","France","Switzerland","Spain","Portugal","Germany","Austria-Hungary","Italy","Yugoslavia","Greece","Bulgaria","Romania","Russia","Sweden","Norway","Denmark","Ethiopia","Morocco","Iran","Turkey","China","Japan","Thailand"
"Germany",305.14001,0,0,4.73,5.0900002,0,0,0,0,0,0.77999997,0,1.97,47.25,3.73,0,0.029999999,106.1,6.1999998,165.8,54.900002,62.349998,99.910004,42.139999,27.360001,3.23,0,178.75999,56.119999,2.78,4.3800001,2.3,17.540001,31.389999,34.509998,6.9299998,28.77,0,0,0.050000001,11.31,16.809999,4.52,0
"Austria-Hungary",44.77,0,0,0,0,0,0,0,0,0,0,0,0,9.3000002,0,0,0,0,0,43.630001,3.5899999,8.7299995,16.52,13.73,0,0,200.89999,0,23.799999,3.1099999,5.3000002,1.25,6.2600002,25.690001,0,0.14,0,0,0,0.0014888,8.3199997,0,0.56,0
"Italy",78.510002,0,0,0.0099999998,0,0,0,0,0,0,0.11,0,0.02,5.04,0,0,0.56,12.73,0,97.099998,7.0300002,14.58,53.549999,15.59,6.4099998,0,100.99,58.279999,0,0.69,1.8,1.39,6.7600002,24.75,0,1.9,0,0,0,0.62,16.040001,13.96,4.2399998,0
"Yugoslavia",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.31,0.31,0.25999999,0,0,4.1399999,6.3800001,0.44999999,0,0,0,0,0.2,0,0,0,0,0,0,0.62,0,0,0
"Greece",1.41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.0799999,0.52999997,0.81999999,2.1199999,0,0,0,2.9000001,3.48,1.1799999,0,0,1.8099999,0.12,4.3699999,0,0,0,0,0,0,2.79,0,0,0
"Bulgaria",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.5999999,0,0.83999997,1.39,0,0,0,3.99,7.4400001,0.93000001,0,0.0099999998,0,0.69999999,1.11,0,0,0,0,0,0,3.8,0,0,0
"Romania",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.13,0,2.54,4.5799999,1.5,0,0,27.700001,18.68,4.23,0,0.28,0.34999999,0,2.5,0,0,0,0,0,0,2.8099999,0,0,0
"Russia",37.630001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60.57,5.8000002,7.4200001,18.040001,2.3099999,0,0,167.66,13.35,6.54,0.0046748999,0.44,0.039999999,1.55,0,5.0999999,4.2199998,4.4099998,0,0,22.809999,3.5799999,7.4299998,2.9000001,0
"Sweden",16.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44.5,4.1999998,2.21,5.1900001,0,0.80000001,0,58.82,0,0,0,0,0,0,7.5100002,0,6.0700002,12.62,0,0,0,0,0,0,0
"Norway",5.8000002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25.52,4.5100002,3.97,1.96,0.2,0.79000002,0.2,30.17,0.15000001,0.54000002,0,0.029999999,0,0.18000001,8.0799999,11.21,0,8.0299997,0,0,0,0.18000001,0,0,0
"Denmark",29.93,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29.01,4.7600002,2.54,4.3499999,0,0,0,63.220001,0,0,0,0,0,0,17.67,15.38,2.8399999,0,0,0,0,0,0,0,0
"Ethiopia",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.050000001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Morocco",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.3200002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Iran",0.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.3599999,0,0,1.25,0,0,0,0.56999999,0.36000001,0.1,0,0,0,0,17.74,0,0,0,0,0,0,1.17,0.029999999,0,0
"Turkey",1.83,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42.040001,2.8299999,3.8800001,15.05,0,0,0,8.6400003,16.780001,13.12,2.1700001,1.12,6.0500002,3.8,10.87,0,0.0069496999,0,0,0,3.7,0,0,0,0
"China",19.42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45.73,0,4.4499998,0,0,0,0,0,0,0.44,0,0,0,0,0,0,0,0,0,0,0.66000003,0,0,40.959999,0
"Japan",40.439999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,56.709999,0.52999997,3.8099999,2.6600001,1.36,0,0,24.040001,1.04,0.33000001,0,0,0,0,0,0.51999998,0,0,0,0,0,0,34.560001,0,1.39
"Thailand",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.3499999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.16,0
