"","United States of America","Canada","Cuba","Haiti","Dominican Republic","Jamaica","Trinidad and Tobago","Mexico","Guatemala","Honduras","El Salvador","Nicaragua","Costa Rica","Panama","Colombia","Venezuela","Ecuador","Peru","Brazil","Bolivia","Paraguay","Chile","Argentina","Uruguay","United Kingdom","Ireland","Netherlands","Belgium","Luxembourg","France","Switzerland","Spain","Portugal","German Federal Republic","German Democratic Republic","Poland","Austria","Hungary","Czechoslovakia","Italy","Albania","Yugoslavia","Greece","Cyprus","Bulgaria","Romania","Russia","Finland","Sweden","Norway","Denmark","Iceland","Mali","Senegal","Benin","Mauritania","Niger","Ivory Coast","Guinea","Burkina Faso","Liberia","Sierra Leone","Ghana","Togo","Cameroon","Nigeria","Gabon","Central African Republic","Chad","Congo","Democratic Republic of the Congo","Uganda","Tanzania","Burundi","Rwanda","Somalia","Ethiopia","South Africa","Madagascar","Morocco","Algeria","Tunisia","Libya","Sudan","Iran","Turkey","Iraq","Egypt","Syria","Lebanon","Jordan","Israel","Saudi Arabia","Yemen Arab Republic","Kuwait","Afghanistan","China","Mongolia","Taiwan","North Korea","South Korea","Japan","India","Pakistan","Myanmar","Sri Lanka","Nepal","Thailand","Cambodia","Laos","Vietnam","Republic of Vietnam","Malaysia","Philippines","Indonesia","Australia","New Zealand"
"Bulgaria",0,0.40000001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.3,0,0,0,0.69999999,0,3.5,0,1.4,4.7551141,0.2448857,9.8999996,1.9,0.80000001,0,0,0,0,13.3,0,0,13.4,0,6.1999998,3.3,0.2,0,11.74,0,0.60000002,1.5,1.1,0.40000001,0,0,0,0,0,0,0,0,0,0,0,0.40000001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.60000002,0,1,0,2.4000001,0,1.4,0.69999999,2.8,9.8999996,0,0,2.2,0,0,0,0,0,0,0,0,0,1.7,3.7,0,0,0,0,0,0.1,0,0,0,0,0,0,0.5,0
"Romania",2.3499999,0.28,6.5799999,0,0,0,0,0.02,0,0,0,0,0,0,0,0,0,0,3.3199999,0,0,0,5.1199999,0,48.389999,0,5.02,5.3162179,0.27378219,22.76,15.13,1.3200001,1.83,0,61.189999,38.599998,19.969999,40.099998,97.610001,51.310001,1.16,9.1899996,3.0799999,0.33000001,18.83,0,407.63,2.5899999,6.8899999,1.41,5.04,0.30000001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0.82999998,0.25999999,13.81,9.1000004,2,0,2.27,0,0,0,0,11.59,0.56999999,0,1.83,0,6.3400002,8.2299995,0.60000002,0.60000002,2.04,0,0,0,0,0,0,0,0,1.83,0,0
"Russia",20,3.4000001,0,0,0,0,0,5.5999999,0,0,0,0,0,0,0,0,0,0,39,0,0,0.40000001,8,12.8,161,0.1,32,24.346189,1.2538151,138.10001,7,0.40000001,0,0,0,0,53.900002,0,0,102.3,0,43.200001,19.200001,1.8,0,343.39001,0,196.3,78.699997,10.4,20.700001,10.9,1.4,0,0,0,0,0,0,0,0,0,13.5,0.2,0,0.1,0,0,0,0,0,0,0,0,0,0,0.80000001,0,0,4.6999998,0,2.3,0.2,10.3,0,5.5,3.2,64,5.0999999,0,0,0.30000001,0,0,0,23,0,0,0,0,0,149.39999,75.300003,3.5999999,9.3999996,7.6999998,0,5,1,0,0,0,0,0,34.900002,29.5,2.5
"Finland",62.900002,5.5,0.40000001,0.001,0,0,0,0.1,0.80000001,0,0.2,0.2,0.2,0.40000001,6.3000002,0.1,0.1,0.60000002,18.4,0.1,0,0.1,5.3000002,0.60000002,186.2,0.2,53.700001,27.674761,1.425235,64.300003,31.299999,5.1999998,2.5,0,16.700001,27,8.8999996,5.1999998,12.9,25.700001,0,1,4.5,0.30000001,0.89999998,3,168.10001,0,148.10001,17.200001,38.599998,2.9000001,0,0,0,0,0,0.1,0,0,0,0,0.1,0.1,0,0.2,0,0,0,0,0.2,0.80000001,0.1,0,0,0,0.1,2.3,0,1.6,0,0.1,0,0.40000001,0.1,1,0,0.1,0,0,0,5.1999998,0,0,0,0,2,0,0,0,0,4.8000002,0.30000001,0,0,0,0,0.1,0,0,0.0060000001,0,0,0,0,0.5,0
"Sweden",316.20001,23.6,4.1999998,0.2,2.8,2.5,14,2.9000001,5.0999999,0.40000001,1.7,0.2,1.5,0.40000001,13.1,20.5,2.0999999,4.5,47.099998,0,0.40000001,20.9,16.799999,2.0999999,447.29999,1.4,241.39999,93.200241,4.7997599,128.39999,71.599998,24.9,10.8,0,17.200001,33.700001,31.799999,6.8000002,13.3,114,0,8.1999998,3.2,1.1,1.3,4.1999998,63.599998,57.299999,0,135,148.60001,6.5,0,1,0.2,0,0.1,0.80000001,0,0.40000001,0,0,4.0999999,0,0.60000002,3.5,0.5,0,0,0.2,0.5,0.5,0.60000002,0,0,0,0.89999998,10.2,0.1,5.5,0.89999998,0.69999999,0,0.60000002,17.6,8.1000004,0.69999999,2.5999999,0.69999999,1.2,0,6.1999998,19,0,2.5999999,0.40000001,5.1999998,0,0.1,0,0.30000001,34.099998,4.8000002,2.9000001,2.8,3.8,0,1.7,0,0,0.2,0,0,6,2.3,7.5,4.3000002
"Norway",118.3,68.400002,0.40000001,0.60000002,1.1,10.9,1,1.2,3.3,0.1,0.40000001,0,0.1,0.60000002,2,44.599998,0.69999999,3.5,18.1,0,0,0.2,7.5,0.1,249.10001,0.5,79.5,43.46175,2.238255,62.700001,27.1,15.3,4.4000001,0,7.5999999,7.5,13.7,2.0999999,10.4,34.799999,0,1.2,2.0999999,0.2,1.1,0.69999999,18.299999,15.7,283,0,76.599998,3.4000001,0,1.7,0,0,0,0.1,7.3000002,0,14.4,0,5.8000002,0,0.2,2.7,0,0,0,0.1,0.30000001,0.1,0.40000001,0,0,0,1.3,6,0,2.2,0.30000001,0.2,0,0.2,0.60000002,1.3,0.1,1,0.2,0,0,3.2,0,0,0,0,1.5,0,0.1,0,0.1,18.799999,3.5,0.1,0.89999998,0.40000001,0,1,0,0,0.1,0,0,2.9000001,2,7.4000001,1.2
"Denmark",174.60001,3.5999999,0,0.69999999,0.1,0.1,0,0.5,0.30000001,0,0.5,0,0.2,19,2.5,3.5999999,0.1,1.4,26.5,0,0.1,0.60000002,10.7,1.1,376.39999,2.9000001,133,70.661003,3.6390021,84.099998,63.700001,13.6,10.3,0,16.299999,28.1,16.5,4.1999998,10.2,59.700001,0,2.2,0.80000001,0.1,0.40000001,0.40000001,23.5,42.299999,259.39999,90.5,0,2.7,0,0.2,0,0,0.1,1.3,0,0.1,0,0,0.60000002,0,0.2,0.60000002,0.40000001,0,0,0.1,0.1,0,2,0,0,0,0.1,2.3,0,3.8,0.1,0.2,0,0.2,4,4.6999998,1.4,2.3,2.4000001,3.5999999,0,3.8,0,0,0,0,3.8,0,0.40000001,0,0.1,22.1,3,0.60000002,6.4000001,0.80000001,0,2.5999999,0,0,0.27000001,0,0,1.5,0.30000001,1.7,1.6
"Iceland",12.5,0.2,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,1.4,0,0,0,0,0,11.6,0,3.7,1.23633,0.0636703,0.80000001,0.69999999,0.80000001,0.2,0,1.6,2.3,0.1,0.30000001,2.3,1.2,0,0,0.1,0,0,0.30000001,10.4,2.8,5.4000001,6.1999998,6.8000002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0.2,0,0,0,0,0,0,0,0,0,1.9,1.3,0,0,0,0,0,0,0,0,0,0,0.1,0,0,0
"Mali",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.60000002,0,0.40000001,0.7608183,0.039181702,12.4,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0,0,0,0,0,0,0,0,0,0.1,0,0,0.60000002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Senegal",6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.5,0,0,0,0,0,0,0,0,2.5,0,3.4000001,1.8069431,0.093056597,100.6,0.40000001,1.3,0,0,0,0,0.2,0,0,3.5,0,0,0,0,0,0,0,0.30000001,0.40000001,0,0.30000001,0,0,0,0,0,0,7.1999998,0,0.1,0,0,0,0,0,0.1,0,0,0.40000001,0,0,0,0,0,0,0,0,0.80000001,1.3,3.4000001,1.3,0.1,0,0,0,0,0,0.1,0,0,0,0.1,0,0,0,0,5.0999999,0,0,0,0,0.30000001,0.1,0,0,0,0,1.3,1.2,0,1.3,0,0,0,0,0,0
"Benin",0.60000002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0.60000002,0.4755114,0.0244886,15.9,0,0,0,0,0,0,0,0,0,0.40000001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.1,0,0.1,0,0,0,0.30000001,0,0.60000002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Mauritania",3.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0.1,0,0,25.9,0.2,0.1,0,0,0,0,0,0,0,0.60000002,0,0,0,0,0,0,0,0,0,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.1,0
"Niger",1.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0.40000001,0.19020461,0.0097954003,14.6,0,0.1,0,0,0,0,0,0,0,0.30000001,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0,0,0,0,0,0,0.2,0,0,0.2,0.1,0,2.0999999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Ivory Coast",6.6999998,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.7,0,0,0,0,0,0,0,0,3.4000001,0,4.1999998,2.0922501,0.1077497,97.800003,0.80000001,0.30000001,0.1,0,0,0,0.1,0,0,2.5,0,0,0,0,0,0,0,0,0.30000001,0,0.30000001,0,2.2,8.8000002,0.1,0,0,0,0,1.8,0,0,0.1,0.2,0,0.69999999,0,0,0,0,0,0,0,0,0,0,0,0.2,0,4.1999998,1.2,0.1,0,0,0,0,0.69999999,0,0,0,0,0.60000002,0,0,0,0,0,0,0,0,0,0.30000001,0.5,0.30000001,0,0,0,0,0,0,0,0,0,0,0,0,0
"Guinea",0,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.3,0,2.3,1.4265341,0.073465697,10.2,0.60000002,0,5,0,0,0,0,0,0,1.6,0,3.3,0,0,0,0,0,0,0.69999999,0,0.1,0,0.40000001,0.89999998,0,0,0,0,0,0,0,0.1,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.30000001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Burkina Faso",1.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.40000001,0,0,0,0,0,0,0,0,1.3,0,0.69999999,0.095102303,0.0048977002,18.1,0,0,0,0,0,0,0,0,0.2,0.30000001,0,0,0,0,0,0,0,0,0,0,0,0,0.5,2,0,0,0.2,3.5,0,0,0,0,1.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0.30000001,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0,0,0,0,0.80000001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Liberia",53,0.5,0,0,0,0,0,0.30000001,0,0,0,0,0,0,0,1.3,0,0,0.1,0,0,0,0.1,0,18.299999,0,6.3000002,21.30291,1.097088,4.3000002,0.69999999,0.30000001,0,0,0,0,0.2,0,0,5.5,0,7.9000001,0.2,0,0,0,0,0,20.200001,10.2,3.2,0,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0.30000001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.69999999,0,0,0,0,0,0,0,0,0,2.5999999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Sierra Leone",4.3000002,1.7,0,0,0,0,1.2,0,0,0,0,0,0,0,0,3.3,0,0,0,0,0,0,0.1,0,33.299999,1.1,6.6999998,0.66571599,0.034283999,2.5999999,0.2,0.1,0.40000001,0,0.69999999,0.80000001,0.1,0.30000001,0.80000001,1.6,0,0.30000001,0,0.2,0,0,0,0.1,0.40000001,0,0.60000002,0,0,0,0,0,0,0,0,0,0,0,0.40000001,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0,0,0,0.30000001,0,0,0,0,0.5,0,0,0,0,7.5999999,1.7,0,3.4000001,0,0,0,0,0,0,0,0,0,0,0.1,0.1
"Ghana",26.299999,6.4000001,0,0,0,0,0.60000002,0,0,0,0,0,0,0,0,4.4000001,0,0,0.30000001,0,0.2,0,0.69999999,0,113,0.89999998,26,2.4726591,0.1273406,7.3000002,3.5,3.2,0,0,2.4000001,4.8000002,0.40000001,1.5,4,24.200001,0,2.3,2,0.1,0.40000001,0.1,5.0999999,0.2,2.0999999,0.5,1.9,0,0.5,1,0.1,0.30000001,1,0.30000001,0.1,9.5,0,0,0,5.5,0,1.3,0,0,0,0,0,0,0,0,0,0,0,0,0,1.9,0,0,0,0,0,0,0,0.89999998,0,0.2,0,1.9,0,0,0,0,3.8,0,0,0,0,21.700001,5.6999998,0.30000001,0.1,0,0,0,0,0,0.1,0,0,0,0.1,1.2,0.5
"Togo",1.3,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0,0,0,0,0,0,0,3.5,0,1.6,0.4755114,0.0244886,9,0.1,0.30000001,0.1,0,0,0.1,0,0,0.1,0.40000001,0,0.80000001,0,0,0,0,0.40000001,0,0.1,0,0,0,0,0.69999999,0.5,0,0.1,0.1,0,0.1,0,0,1,0,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0.30000001,0.30000001,0,0,0,0,0,0.2,0,0,0,0,0,0,0,0,0,0.2,0,0,0,0,1.4,0.2,0.1,0,0,0,0,0.2,0,0,0,0,0,0,0,0
"Cameroon",5.6999998,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.69999999,0,0,0,0,0,0,0,0,2.5,0,1.8,0.85592061,0.044079401,55.700001,0.30000001,0.40000001,0.80000001,0,0,0,0,0,0,1.3,0,0,0,0,0,0,0,0,0.5,1,0.30000001,0,0,2.0999999,0,0,0,0,0,0,0,0,0,0,0,2.3,1.2,0,0.40000001,0,0,0,0,0,0,0,0,0,0,1.8,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Nigeria",41.900002,7.5999999,0,0,0,0,0,0,0,0,0,0,0,0,0,4.9000001,0,0,0.1,0,0,0,0.30000001,0,206.7,1.7,25.700001,7.8934898,0.40651029,18.799999,6.0999999,5.4000001,0.80000001,0,4.5,2.5,1.5,0.80000001,7.4000001,19.4,0,0.30000001,0.2,0,0,0,0.1,1.3,4.5,15.5,4.5,6,0,0.1,0.5,0,3.8,0,0,0,0,0.1,0.40000001,0,0.1,0,0.40000001,0,2.3,0,0,0,0,0,0,0,0,0.1,0,0.60000002,0.1,1,0,0,0,0,2.4000001,0.89999998,0.1,0.40000001,0,3.4000001,0,0,0,0,4.4000001,0,0,0,0,69.599998,14.3,3.9000001,0,0.1,0,0,0,0,0,0,0,0,0.1,0.60000002,0.5
"Gabon",3.8,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,1.2,0,0.89999998,0.38040921,0.019590899,24.200001,0.1,0.2,0.30000001,0,0,0,0,0,0,0.40000001,0,0,0,0,0,0,0,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0.80000001,0.1,0,0,0,0,0,0,0,0,0,0,0.1,0,0,0,0,0,0,0,0,0,0.1,0,0,0,0,0,0,0,0,0.40000001,0,0,0,0,0,0
"Central African Republic",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.60000002,0,0.40000001,0.19020461,0.0097954003,11.5,0.1,0,0,0,0,0,0.60000002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.69999999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Chad",1.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.89999998,0,0.5,0.66571599,0.034283999,15.5,0,0.30000001,0.30000001,0,0,0,0,0.1,0.1,0.30000001,0,0.1,0,0,0,0,0,0,0.1,0,0,0,0,0.40000001,0,0,0,0,0,0,0,0,0,0,0.40000001,1.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0.40000001,0,0,0.1,0,0,0.1,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0.5,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Congo",2.5999999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1.6,0,1.6,1.711841,0.088158898,45.700001,0.1,0,0.69999999,0,0,0,0,0,0,0.80000001,0,0,0,0,0,0,0,0,0.1,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0.2,0,0,0,0,0,0.40000001,0,0,0,0,0,0,0.40000001,0,1.2,0.40000001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.30000001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Democratic Republic of the Congo",70,0.80000001,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0,0,0,0,0,0.2,0,12.9,0,7.0999999,47.836449,2.4635501,11,3.0999999,2.4000001,1.4,0,0,0,0.69999999,0,0,5.4000001,0,0,0.2,0,0,0,0,0,1.4,0.40000001,0.40000001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0.1,0.80000001,0,7.6999998,4.1999998,0,0,0,0,0,0,0,0,0.1,0,0.69999999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.4000001,0.30000001,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Uganda",1.4,0.30000001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.3,0,1,0.57061368,0.029386301,1.5,0.40000001,0.1,0.1,0,0,0,0.2,0,0.1,1.2,0,0,0,0,0,0,0,0,0.30000001,0.30000001,0.30000001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.30000001,0,0,0,0,0,0,1.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.5,1.8,0.60000002,0,0,0,0.1,0,0,0,0,0,0,0,0.1,0
"Tanzania",6.4000001,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29.1,0.1,4.1999998,1.0461251,0.053874899,2.2,0.40000001,0.1,0.2,0,0,0,0.5,0,0.40000001,1.4,0,0.2,0,0,0,0,0,0.2,0.69999999,0.30000001,0.60000002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.30000001,0,0,0,0,0,0,1.1,0.30000001,0,0,0,0,0,5.3000002,0,0.1,0.2,0,0,0,0.40000001,0.2,0,0,0,0.1,0,0.30000001,0,0,9.1999998,6.3000002,0.5,0,0,0,0,0,0,0,0,0,0,0,0.69999999,0
"Burundi",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Rwanda",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Somalia",3.0999999,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.2,0,0.2,0.095102303,0.0048977002,0.5,0.1,0.1,0,0,0,0.1,0,0,0.5,11.4,0,0,0,0,0,0,1.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0.30000001,0,0,0,1.2,0,0,0,0,0,0.30000001,0,1.2,0,0.30000001,1.5,0,0,0,0,0.5,0,0,0,0.2,0,0,0,0,2.8,2.5,0.1,0.40000001,0,0,1.2,0,0,0,0,0,0,0,0.2,0
"Ethiopia",18.700001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.3000002,0,3.5,1.331432,0.068567999,2.2,0.89999998,0.1,0.1,0,0,0.40000001,1.9,0.89999998,2,16.1,0,0.69999999,0.1,0.1,0.1,0,1,0.1,0.5,0.40000001,0.60000002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.60000002,3.7,0,0.30000001,0.69999999,0,0.2,0,1.4,2.3,0,0,0,1.1,0,0,0,0,14.4,4.5999999,0.30000001,0,0.60000002,0,0.1,0,0,0,0,0,0,0,0.1,0
"South Africa",230,35.299999,0,0,0,0,0,2.2,0,0,0,0,0,0,0.60000002,1,0,0.80000001,6.1999998,0,0,0,3.2,1.4,443.89999,0.30000001,35.599998,19.971479,1.02852,36.299999,23.9,1.2,2.8,0,0,0,9.1000004,0,0,40.299999,0,0,0.1,0,0,0,0,4.5,25.700001,5.0999999,5.3000002,0,0,0,0,0,0,2.8,0,0,0,0,0,0.1,0,0.1,0.1,0,0,0.60000002,0,2.2,2.5999999,0,0,0,0,0,0,4,0,0.60000002,0,0,0,0,1.3,0,0,0,0,2,0,0,0,0,0,0,0,0,0,60.099998,0.2,18.4,1,16.299999,0,1.5,0,0,0.1,0,0,0.80000001,0,20.9,2.2
"Madagascar",2.9000001,0,0,0,0.050000001,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0,0,0,0,1.4,0,2.5999999,1.0461251,0.053874899,91.199997,0.2,0.1,0.2,0,0,0,0.1,0,0,1.2,0,0,0,0,0,0,0,0,0.5,0.1,0.1,0,0,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,1.2,1.5,0,0,0,3.5,0,0,0,0,0,0,0.2,0,0,0,0,0,0,0,0,0,1.9,1.4,0.1,0,0,0,0,0,0,0,0,0,0,0,0.1,0
"Morocco",57.299999,0.30000001,22.4,0.001,0.30000001,0,0,0,0,0,0,0,0,0,0.2,0.1,0.30000001,0,3,0,0.1,0,2,0,12.7,0,8.8000002,8.7494097,0.45058969,183,2.0999999,8.1000004,2.7,0,6.3000002,4.1999998,0.89999998,0.80000001,3.9000001,16.5,0,0.89999998,0.2,0,0.40000001,2.7,5.3000002,1.7,7.8000002,0.69999999,1.4,0,0,0.1,0,0,0,2.3,0.80000001,0,0,0,0.60000002,0.1,0.60000002,4.0999999,0.2,0.1,0.2,0.69999999,0.2,0,0,0,0,0,0,0,0,0,3.0999999,0,0.1,0.1,0.30000001,0,4.9000001,1.1,0,0.30000001,0,0,0,0,0,0,8.8000002,0,3.2,0,0,3.0999999,2.9000001,0.80000001,0,0.40000001,0,0,0,0,0.016000001,0,0,0.30000001,0.40000001,0,0
"Algeria",53,1.9,0,0.0020000001,0.23999999,0,0,0.2,0,0,0,0,0,0,0,0,0.1,0,0.5,0,0,0,5.4000001,0,5,0,4.6999998,3.138375,0.1616246,562.90002,1.1,2.3,2.2,0,0,0,0.5,0,0,9.3999996,0,2.3,0.1,0,0,0,0,0.5,2.0999999,0.5,0.30000001,0,0.1,2.8,0,0,0,13.3,0,0,0,0,0,0.5,0,0,0.30000001,0,0.2,0.1,0,0,0,0,0,0,0,0,5.1999998,16.4,0,2.8,0,0,0,0,0,0,0,0,0,0.1,0,0,0,0,0,0,0,0,0,2.0999999,0.30000001,1.8,0,0,0,0,0,0,0.026000001,0,0,0,0,0.69999999,0
"Tunisia",34.5,0,4.5999999,0,0.1,0,0,0.2,0,0,0,0,0,0,0.1,0,0,0,0.89999998,0,0.2,0,0,0,6.6999998,0,3.3,2.9481709,0.15182909,113.4,0.80000001,0.60000002,0.60000002,0,0.2,1.6,1.4,0.30000001,1.2,14,0,1.3,0.1,0,0.5,0,2.2,0.89999998,2.5,0.1,0.40000001,0,0,0,0,0,0,0.5,0,0.1,0,0,0,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0.60000002,1.1,0,0.1,0,0,0.80000001,0.2,0.2,0,0.2,0,0,0,0,0,0,0.60000002,0,0,0,0,1.1,0.1,0.1,0,3.9000001,0,0,0,0,0.001,0,0,0,0.1,0,0
"Libya",39.900002,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37.799999,0,9.8999996,5.3257279,0.27427199,6.0999999,0.80000001,0.40000001,0.5,0,0,0.5,0.80000001,0.89999998,1.7,49.5,0,1.7,0.89999998,0.1,0.5,1.1,1.5,0,0.30000001,0.1,0.89999998,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0,0.1,0,0,0,0,0,0,0,1.5,0,1.3,0,0.1,0.1,0.1,1.8,1.8,0.30000001,0.5,0,0,0,0,0,0,0.1,0,1,0,0,4.3000002,0.80000001,0,0,2.4000001,0,0,0,0,0,0,0,0,0,0.1,0
"Sudan",14.1,0.2,0.89999998,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,73.199997,0,9.1999998,7.9885921,0.41140789,3.9000001,1.9,0.1,0,0,0.69999999,3.5999999,1.5,1.6,4.5999999,14.7,0,3.0999999,0.40000001,0.1,2.4000001,1.7,8.3999996,0.2,1.8,0.60000002,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0.80000001,2.9000001,0.2,0,0,0,1,0,0,0,0,0,0,0,10.9,0.1,0.2,15.9,0,0.89999998,0,0,0.30000001,0,0,0,3.8,0,0,0,0,15,21.700001,1.1,0,0,0,0.1,0,0,0,0,0,0,0,1.1,0
