"","United States of America","Canada","Cuba","Haiti","Dominican Republic","Jamaica","Trinidad and Tobago","Mexico","Guatemala","Honduras","El Salvador","Nicaragua","Costa Rica","Panama","Colombia","Venezuela","Ecuador","Peru","Brazil","Bolivia","Paraguay","Chile","Argentina","Uruguay","United Kingdom","Ireland","Netherlands","Belgium","Luxembourg","France","Switzerland","Spain","Portugal","German Federal Republic","German Democratic Republic","Poland","Austria","Hungary","Czechoslovakia","Italy","Albania","Yugoslavia","Greece","Cyprus","Bulgaria","Romania","Russia","Finland","Sweden","Norway","Denmark","Iceland","Mali","Senegal","Benin","Mauritania","Niger","Ivory Coast","Guinea","Burkina Faso","Liberia","Sierra Leone","Ghana","Togo","Cameroon","Nigeria","Gabon","Central African Republic","Chad","Congo","Democratic Republic of the Congo","Uganda","Tanzania","Burundi","Rwanda","Somalia","Ethiopia","South Africa","Madagascar","Morocco","Algeria","Tunisia","Libya","Sudan","Iran","Turkey","Iraq","Egypt","Syria","Lebanon","Jordan","Israel","Saudi Arabia","Yemen Arab Republic","Kuwait","Afghanistan","China","Mongolia","Taiwan","North Korea","South Korea","Japan","India","Pakistan","Myanmar","Sri Lanka","Nepal","Thailand","Cambodia","Laos","Vietnam","Republic of Vietnam","Malaysia","Philippines","Indonesia","Australia","New Zealand"
"German Democratic Republic",2,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.6000004,0,0,0,2.7,2.2,26.9,0,9.1999998,13.21922,0.68078232,16,4.9000001,2.0999999,0,0,0,0,15.5,0,0,2.2,0,35.400002,4.5999999,0.1,0,46.639999,0,11.8,28.4,6.0999999,21.9,0.80000001,0,0,0,0,0,0,0,0,0,0,2.0999999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.4000001,0,0.2,0,2.9000001,0,1.3,0.1,15.9,1,0,0,0.30000001,0,0,0,0,0,0,0,0,0,0.40000001,17.9,0,0,1.8,0,0,0,0,0,0,0,0,0,0.40000001,0
"Poland",95,36.299999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.6,6.1999998,0,0,0.60000002,17,2.9000001,92.900002,0.5,8.8000002,7.322876,0.37712401,25,9.8000002,7.8000002,0,0,0,0,29.200001,0,0,28.200001,0,42.200001,5.5999999,0,0,40.110001,0,19.4,20.799999,6.8000002,18.6,1.1,0,0,0,0,0,0.1,0,0,0,0,3.9000001,0,0,3.0999999,0,0,0,0,0,0,0,0,0,0,0,0,0,6.0999999,0,1.5,0,2.5,0,4.5999999,0,8.8999996,4.8000002,0,0.1,1,0,0,0,0,0,0,0,0,0,2.7,23.6,4.9000001,2,6.8000002,0,1.2,0.69999999,0,0,0,0,0,0,16.6,0
"Austria",86.5,10.4,0.1,0,1.5,0,0,1.9,1.2,0.69999999,0.5,0.69999999,1.3,0.2,1.8,0.1,3.5,3.7,7.0999999,0.2,0.2,1,7.0999999,1.6,78.400002,0.30000001,48.200001,26.24823,1.351769,59.799999,77,8.3999996,3.0999999,0,19,32.599998,0,29.5,25.299999,127,0,25.200001,8.1999998,0.5,7.1999998,13.4,43.799999,2.2,22.5,7.1999998,14.3,0.1,0,0,0,0,0,0.30000001,1.3,0,0,0.2,4.4000001,0,0.1,2.5999999,0.69999999,0.60000002,0,0,0.40000001,0,0.1,0,0,0,0.2,7.1999998,0.1,3.2,0.5,0,0,1.2,3,7.3000002,0,1.6,0.5,0.69999999,0.2,2.7,0,0,0,0.80000001,3.5999999,0,0.1,0,0.69999999,6.5999999,3.5,1.8,0,1,0,1.1,0,0,0.30000001,0,0,2.9000001,0.80000001,7.0999999,0.69999999
"Hungary",1,0.2,0,0,0,0,0,0.2,0,0,0,0,0,0,0,0,0,0.40000001,3,0,0,0,7,1.7,19.6,0,10.1,8.1787968,0.4212034,28,8.1000004,1.2,0,0,0,0,28.200001,0,0,23.299999,0,11.1,6.4000001,0.2,0,38.34,0,2.9000001,5.1999998,2.3,2.8,0.2,0,0,0,0,0,0,0,0,0,0,2.0999999,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0,1.9,0,0,0,0.40000001,0,3.9000001,0.30000001,7.0999999,0.89999998,0,0,2.4000001,0,0,0,0,0,0,0,0,0,2,14.3,0.5,0,0,0,0.30000001,0,0,0,0,0,0,0,0.60000002,0
"Czechoslovakia",7,3.5999999,0,0,0,0.30000001,0,0.40000001,0,0,0,0,0,0,1.1,0,0,0,10.8,0,0,0.60000002,13.8,3.8,39.700001,1,11.2,19.400869,0.99913359,25.5,13.7,2,0,0,0,0,30.700001,0,0,27.5,0,21.4,8.3000002,0.5,0,58.34,0,9.6000004,13.4,9.5,6.9000001,2.2,2.4000001,0,0,0,0,0,0,0,0,0,1.7,0,0,1.2,0,0,0,0,0,0,0,0,0,0,0.40000001,0,0,5.9000001,0,1.1,0.1,3.2,0,9.1999998,0.60000002,32.099998,5.8000002,0,1,0,0,0,0,2.5999999,0,0,0,0,0,3.5999999,21.200001,2,1.9,0.30000001,0,0.1,1.5,0,0,0,0,0,0,8.6999998,0
"Italy",883.79999,72.800003,0.1,5.3000002,2.0999999,0.1,0,26.5,1.7,1,0.69999999,1.4,1.6,1.6,3.9000001,22.6,2.8,17.200001,50.099998,0.1,0.60000002,23.1,168.60001,9,384.89999,4,163.39999,158.34531,8.1546936,548.90002,166.8,54.299999,18.700001,0,5.0999999,45.5,189.10001,23.1,33,0,1.4,96.900002,21.299999,4,16,35.299999,166.3,35.400002,121.4,33.900002,56.099998,3.8,0,0.2,0,0.2,0.1,17.1,0.1,0,8.1999998,0.1,19,1,7,19.9,0.40000001,0,0.1,0.1,41.5,1.2,3.3,0,0,17.5,10.2,76,1.4,14.9,27,32.299999,27.700001,19.5,16.9,52.700001,134.2,42.299999,21.799999,3.7,0.1,10.1,109.2,1.1,176,0.30000001,14.1,0,0.40000001,0,1.7,47.700001,25.299999,10,3.8,7.3000002,0,9.6999998,1.1,0.1,1.4,0,0,6.0999999,12.6,120.6,31.1
"Albania",0,2.9000001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0,0,0,4,0,0,0,0,0,0,0,0,0,1,0,0.40000001,0,0,0,0.82999998,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Yugoslavia",182.89999,0.80000001,5,0,0,0,0,0,0,0,0,0,0,0,2,0.60000002,0,0.5,3.2,0,0,0,7.9000001,0.5,48.200001,0,12.7,7.2277741,0.3722263,26.200001,16,2.5999999,0,0,36.400002,32.099998,31.700001,21,25.6,104.6,0.5,0,17.5,0,10.5,3.7,59.099998,3.3,10.7,1.6,2.7,0,0,0,0,0,0,0,1.5,0,0.89999998,0,1.6,0.2,0,0.30000001,0,0,0,0,0,0,0,0,0,0,2.4000001,0.69999999,0,1.7,0.30000001,2.5999999,0,0.2,0,2.9000001,4.6999998,11.6,0.89999998,0.40000001,1.7,8.8000002,0,0,0,0,0,0,0,0,0,11.9,22.700001,2.5,1.7,0.2,0,0.80000001,0.30000001,0,0,0,0,0,5.5,13.3,0
"Greece",67.199997,5.4000001,5,0,0,0,0,0.1,0,0,0,0,0,1,0,0.1,0,0.40000001,4.0999999,0,0.30000001,0.2,11.1,0.40000001,83.699997,0.40000001,28.299999,31.76417,1.635837,55.599998,11.5,2.4000001,1.6,0,4,5.5,15,5.8000002,9.1000004,53.700001,0,10.4,0,0.2,4.0999999,5.9000001,20.299999,8.6999998,23.6,4.5,8.1999998,1.1,0,0.1,0,0,0,0.1,0,0,0,0,1.1,0.2,0,0.40000001,0.1,0,0,0,1.5,0.1,0.40000001,0,0,0.2,1.9,1.7,0.40000001,2,0.2,1,0.5,0.5,3.5,3.5,0.1,2.5,0,0.2,0,3.7,15.9,0,1.5,0,0.1,0,0,0,0,19.799999,0.89999998,1,0.30000001,0.2,0,0.1,0,0,0.0060000001,0,0,0.1,0.2,2.5999999,1.7
"Cyprus",9.3000002,0.30000001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.40000001,0,0.1,0,0.1,0,41.599998,0.60000002,4.3000002,3.804091,0.19590861,6.8000002,0.89999998,1.2,1.4,0,0.1,2.4000001,2.3,0.30000001,1,10.2,0,1.1,3.0999999,0,0.2,0.40000001,1.7,0.80000001,2.9000001,0.5,1.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0.2,0,0,0,0.1,0,0.1,0.2,1.1,0,0.60000002,0.30000001,1.8,0,2,0.30000001,0,0,0,0,0,0,0,0,1.1,1.3,0.2,0,0.1,0,0,0,0,0,0,0,0,0,0.5,0.60000002
