"","United States of America","Canada","Cuba","Haiti","Dominican Republic","Jamaica","Trinidad and Tobago","Mexico","Guatemala","Honduras","El Salvador","Nicaragua","Costa Rica","Panama","Colombia","Venezuela","Ecuador","Peru","Brazil","Bolivia","Paraguay","Chile","Argentina","Uruguay","United Kingdom","Ireland","Netherlands","Belgium","Luxembourg","France","Switzerland","Spain","Portugal","German Federal Republic","German Democratic Republic","Poland","Austria","Hungary","Czechoslovakia","Italy","Albania","Yugoslavia","Greece","Cyprus","Bulgaria","Romania","Russia","Finland","Sweden","Norway","Denmark","Iceland","Mali","Senegal","Benin","Mauritania","Niger","Ivory Coast","Guinea","Burkina Faso","Liberia","Sierra Leone","Ghana","Togo","Cameroon","Nigeria","Gabon","Central African Republic","Chad","Congo","Democratic Republic of the Congo","Uganda","Kenya","Tanzania","Zanzibar","Burundi","Rwanda","Somalia","Ethiopia","South Africa","Madagascar","Morocco","Algeria","Tunisia","Libya","Sudan","Iran","Turkey","Iraq","Egypt","Syria","Lebanon","Jordan","Israel","Saudi Arabia","Yemen Arab Republic","Kuwait","Afghanistan","China","Mongolia","Taiwan","North Korea","South Korea","Japan","India","Pakistan","Myanmar","Sri Lanka","Nepal","Thailand","Cambodia","Laos","Vietnam","Republic of Vietnam","Malaysia","Philippines","Indonesia","Australia","New Zealand"
"Italy",1028.4,84.400002,37.700001,4.5,1.7,0.2,0,46.299999,6,1.7,0.89999998,1.8,1.5,0.80000001,3.5,27.6,2.9000001,21.9,70.900002,0.1,0.89999998,22.1,214.8,12.8,462.60001,6.0999999,223.5,228.72211,11.67791,732.59998,183.7,67.5,34.599998,0,8.8000002,56.799999,209.89999,49,45,0,1.7,162,20.1,4.8000002,23.9,59,175.89999,54.299999,136.60001,33.599998,95.800003,4.3000002,0,0.2,0.30000001,2.7,0,24.4,0.69999999,0.30000001,8.8999996,0.2,21.4,2.2,7.5999999,25.9,1,0.30000001,0.30000001,0.5,34.799999,4.3000002,5.1999998,5.0999999,0,0,0,21.799999,10.4,75.800003,1.8,25.6,21.9,38.799999,43.299999,22.799999,20.799999,52.099998,156.2,49.700001,24.1,5.9000001,0.60000002,9.1000004,133.10001,1,195.10001,0.2,19.1,0,1.4,0,2.7,90.400002,25.200001,13.6,3.3,7.9000001,0,10.1,0.30000001,0,1.8,0,0,10,10.3,121.5,35.400002
"Albania",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0.5,0,0.1,0,0,0.80000001,0,0,0,0,0,0,0.1,0,0,2.2,0,0.1,0,0,0,1.52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.5,0
"Yugoslavia",186.2,18,0.40000001,0,0,0,0,0.30000001,0,0,0,0,0,0.1,2.7,1.4,0,2.7,8.3000002,0,0,0,13.2,1.1,52.200001,0,16.799999,8.7530909,0.44690859,47.5,21.5,0.80000001,0.30000001,0,49.200001,33,31.799999,25.299999,43.099998,113,0.69999999,0,12.5,0.30000001,9.6000004,6.5999999,72.800003,4.5,13.3,6.6999998,5,0,0.1,0,0,0,0,0,1.3,0,0,0,5.0999999,0.2,0.1,0.5,0,0,1.2,0,0,0,1.6,0,0,0,0,0,3.4000001,0.60000002,0.1,1.6,3.9000001,2.3,0,3.5,1,3.2,4.6999998,17.4,1.6,0.40000001,2.3,6.4000001,0,0.1,0.1,0,0,0,0,0,0,11.9,25.9,4.6999998,1.6,0.69999999,0,0.69999999,2.9000001,0,0,0,0,0.2,11.1,15.6,0.60000002
"Greece",84.599998,6.9000001,1,0,0,0,0,0.1,0,0,0,0.5,0,0,0,0,0.1,1.1,4.5,0,0.69999999,0.2,19.1,0.89999998,83.900002,0.30000001,34.400002,27.686411,1.413591,50,13,14.7,2,0,4.6999998,6.4000001,16.299999,8.1000004,8.8000002,60,0,20.1,0,0.40000001,5.6999998,6.4000001,28.4,10.6,25.5,3.5,9,0.80000001,0,0.1,0,0,0,0,0,0,1,0,1.4,0,0,0.60000002,0.1,0,0,0,2.2,0.1,0.69999999,0.60000002,0,0,0,0.2,2.2,1.7,0.40000001,2.9000001,0.69999999,1.7,0.1,1.7,6.4000001,3.4000001,0,4.6999998,0.1,1,0,4.5999999,22.799999,0,1.7,0,0.1,0,0.1,0,0,13.9,1.4,1.1,0.60000002,0.2,0,0.1,0,0,0.1,0,0,0.1,0.30000001,4.8000002,2
"Cyprus",5.6999998,0.60000002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.80000001,0,0,0,0,0,43.5,0.30000001,4.3000002,3.9008341,0.19916581,8.3999996,1,0.89999998,1.3,0,0.2,1,2,0.30000001,1,11.8,0,1.4,4,0,0.30000001,0.40000001,2,0.80000001,2.8,0.60000002,1.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0,0,0,0,0.1,0.2,0,0,0,0,0,0,0.1,1.3,0,0.80000001,0.40000001,2.5,0,2,0.30000001,0,0,0,0,0,0,0,0,3.5,2.5999999,0.40000001,0,0.1,0,0,0,0,0,0,0,0,0,0.60000002,0.80000001
"Bulgaria",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2,1.2,0,0,0,0.89999998,0,6,0,1.9,3.5202651,0.179735,17,2.7,3.4000001,0,0,0,0,15.7,0,0,15.7,0,8.8000002,4.6999998,0.2,0,11.77,0,0.2,1.6,3.4000001,1,0,0,0,0,0,0,0,0,0,0,0,0.40000001,0,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.30000001,0,1.2,0,1.9,0,2.0999999,0.40000001,4,1.3,2.4000001,0,1.8,0,0,0,0,0,0,0,0,0,2.2,5.4000001,0.1,0,0.2,0,0,1.6,0,0,0,0,0,0,0.40000001,0
"Romania",0.94999999,0.18000001,8.6400003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.0700002,0,0,0,2.55,0,54.959999,0,6.9699998,10.20877,0.52123141,26.129999,16.719999,5.5,1.8,0,70.709999,45.09,19.6,37.349998,111.73,53.860001,2.2,6.0500002,3.52,0.62,15.07,0,439.28,2.6600001,3.6099999,0.58999997,1.25,1.17,0,0,0,0,0,0,0,0,0,0,0.50999999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0.38999999,0,0,4.6799998,0,0.68000001,0.5,12.93,10.98,0.94999999,0,1.05,0,0,0,0,15.53,0.75,0,6.71,0,9.1499996,6.0900002,0.89999998,0,5.6700001,0,0.1,0,0,0,0,0,0,1.39,0,0
"Russia",23,139.2,0,0,0,0,0,2.9000001,0,0,0,0,0,0,0,0,0,0,40.099998,0,0,0.2,13.5,3.8,179.7,0.40000001,23.700001,12.55878,0.64121658,64.199997,11.7,0.69999999,0,0,0,0,61.700001,0,0,113.6,0,86.300003,22.4,1.3,0,412.97,0,185.2,54.400002,12.7,29,10.7,0.1,0,0,0,0,0,0,0,0,0,20.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.2,0,0,8,0,2.5999999,0.40000001,15.3,0,7.0999999,5.8000002,101.7,13.6,0.89999998,0,0.60000002,0,0,0,21.299999,0,0,0,0,0,158.3,103,9.5,9.1000004,7,0,1.9,0.5,0,0,0,0,0,25.1,52.5,0
"Finland",74.400002,9.1000004,7,0,0.1,0.30000001,0,0.60000002,2,0.1,0.40000001,0.1,1,0.1,6.1999998,0.60000002,0.2,1.9,18.700001,0,0,0.30000001,7.8000002,0.2,164,0.30000001,44,24.451571,1.2484289,51.299999,29,5,2.3,0,13.4,24.299999,9.1999998,5.0999999,8.8999996,27.5,0,0.60000002,4.3000002,0.60000002,1.2,2.8,195.2,0,134.60001,19.1,37.099998,3.5,0,0,0,0,0,0.1,0,0,0,0,0.5,0,0,0.30000001,0,0,0,0,0.30000001,0.30000001,0.69999999,0.1,0,0,0,0,0.2,3.7,0.1,2.4000001,0.1,0.30000001,0,0.5,9.1000004,1.3,0,1.4,0,0.2,0,5.5999999,0,0,0,0,3,0,0,0,0,6.8000002,1,0.30000001,0.2,0.2,0,0.1,0,0,1.7,0,0,1.7,0.69999999,1.8,1.9
"Sweden",340.70001,28.4,6.4000001,0.1,4.0999999,3.3,18.4,2.3,4.5,0.2,1.6,0.2,1.9,0.40000001,13.1,31,2.0999999,4.9000001,47.5,0,0.30000001,27.299999,18.1,1,506.79999,1.4,247.5,89.243477,4.5565238,130.89999,75.300003,23,12.9,0,18.5,30.6,35.700001,9,16.4,117.2,0,12.8,3.8,1,1.7,2.3,75.699997,56.900002,0,151.3,190.39999,6.9000001,0,1.6,0,0,0.2,1,0,0.40000001,0,0,3.3,0,0.5,3.3,0.5,0,0.1,0.30000001,0.30000001,0.5,3.0999999,1.1,0,0,0,0,0.89999998,8.1000004,0.2,6.5,2.0999999,0.5,0.1,0.60000002,19.700001,7.9000001,0.60000002,2.5999999,0.80000001,1.4,0,9.3999996,23.200001,0,2.2,0.5,7.6999998,0,0.30000001,0,0.5,35.599998,5.4000001,2.9000001,4.9000001,3.7,0,1.8,0,0,0.2,0,0,11.4,5,9.3000002,4.1999998
"Norway",125,67.900002,0.5,0.5,1.1,11.7,1,1.3,2.4000001,0.1,0.30000001,0.1,0.1,0,2.5,30.299999,0.89999998,1.4,19.700001,0,0.1,0.2,8.5,0.40000001,291.70001,1.5,92.599998,40.24519,2.0548079,66.400002,27.9,16.299999,4.4000001,0,6,7.8000002,12.3,3.4000001,11.1,32.900002,0,0.89999998,1.6,0.40000001,0.89999998,0.80000001,21.4,10.5,348.39999,0,108.9,4.8000002,0,1.1,0,0,0,0.1,8.1999998,0,0.5,0,5.1999998,0.1,0.2,3,0,0,0,0,0.2,0.1,0.40000001,0.60000002,0,0,0,0,1.1,5,0,2.9000001,0.80000001,0.30000001,0.89999998,0.2,0.60000002,1.7,3.9000001,1.1,0,0.1,0,4.1999998,15.1,0,1,0,2,0,0,0,0,13,3.0999999,0.2,1.8,0.30000001,0,1.1,0,0.1,0.169,0,0,4.3000002,1.4,9.3999996,2.0999999
"Denmark",176.2,4.6999998,0,0.60000002,0.2,0.1,0.1,0.60000002,0.30000001,0.1,0.60000002,0,0.1,7.0999999,3.0999999,2.3,0.1,1.5,30.200001,0,0.1,0.60000002,10.7,0.40000001,396.89999,0.5,118.6,60.510502,3.089498,79.199997,68.300003,12.1,9.8999996,0,17.1,28.4,17.799999,5.0999999,8.5,51.799999,0,3.7,1,0.1,0.60000002,0.5,24.799999,44.700001,264.60001,77.199997,0,2.5,0,0.80000001,0.1,0,0,2.4000001,0,0,0.1,0.1,0.69999999,0,0.1,0.69999999,0.60000002,0,0,0.1,0,0.5,1.5,3.3,0,0,0,0,0.1,1.1,0,3.5999999,0.1,0,0,0.2,19,5.4000001,0.80000001,1.9,1.3,4.5999999,0,5.8000002,0.1,0,3.8,0.1,4.1999998,0,0.30000001,0,0.1,12.4,5.0999999,0.30000001,8.3000002,0.60000002,0,1.3,0,0,0.059,0,0,2.3,0.60000002,1.9,0.80000001
"Iceland",13.1,0.30000001,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0,1.1,0,0,0,0.1,0,15.8,0.1,4.4000001,2.188273,0.1117271,1.4,0.80000001,0.80000001,0.1,0,1.3,2.5999999,0.1,0.30000001,2.2,1.3,0,0,0,0,0,1.3,11.9,2.9000001,7.3000002,11,8.8000002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0,0,0,0,0,0.1,0,0,0,0,0,0,0,0,0.30000001,0,0,0,0,0.2,0,0,0,0,0,0,0,0,0,2.8,0.2,0,0,0,0,0,0,0,0,0,0,0.1,0,0.2,0
"Mali",0.69999999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.80000001,0,0,0,0,0,0,0,0,0.5,0,0.5,0.47571149,0.0242885,11.5,0.1,0,0,0,0.1,0.40000001,0,0,1.6,0.1,0,0.30000001,0,0,0.1,0,5.1999998,0,0.1,0,0,0,0,0.1,0.1,0,0.2,3.4000001,0.2,0.1,0.2,0.2,0.30000001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.2,0.5,0,0,0,0,0,0.40000001,1.1,0,0,0,0,0,0,0.2,0,1.2,0,0,0,0,0.1,0.1,0.30000001,0,0,0,0,0,0,0,0,0,0,0.30000001,0.2,0
"Senegal",6.0999999,0,0,0,0,0,0,0,0,0,0,0,0,0,0.40000001,4.5,1.2,0,0.40000001,0,0,0,0,0,2.5,0,4.5999999,1.807704,0.092296302,102.5,0.5,1.3,0.30000001,0,0,0,0.1,0,0,3.8,0,0,0,0,0,0,0,0.1,0.5,0,0.60000002,0,1.9,0,0.30000001,0,0.2,3.0999999,0.1,0.1,0,0,0,0,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.89999998,2.2,2.9000001,0.80000001,0,0,0,0,0,0,1.3,0,0,0,0,0,0,0,0,2.3,0,0.69999999,0,0,0.30000001,0.1,0,0,0,0,0.40000001,3.9000001,0,7.5,0,0,0,0,0,0
"Benin",0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0,0,0,0,0,0,0,0,1.1,0,0.30000001,0.95142299,0.048576999,20.4,0,0.1,0,0,0,0.1,0,0,0,0.60000002,0,0,0,0,0,0,0,0,0.1,0.1,0.1,0,0,1.8,0,0,0.5,0.5,0,0.1,0,0,0,0.69999999,0,1.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0.1,0.1,0,0,0,0,0.30000001,0,0,0,0,0,0,0,0,0,0.1,0,0,0,0,0.1,0.1,0.1,0,0,0,0,0.40000001,0,0,0,0,0,0,0,0
"Mauritania",5.8000002,0.30000001,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0,0,0,0,0,0,0,0.40000001,0,0.1,0.095142297,0.0048576999,20.299999,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Niger",0.80000001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0,0,0,0,0,0,0,0.5,0,0.60000002,0.095142297,0.0048576999,11.7,0,0.1,0,0,0,0,0,0,0,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0.1,1.3,0.5,0,0,1,0,0.1,0,0,0,0.1,0,1.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0.1,0.2,0,0.1,0,0,0,0.1,0,0,0,0,0,0,0,0,0,0.2,0,0,0,0,0,0,0.1,0,0,0,0,0.1,0,0,0,0,0,0,0,0
"Ivory Coast",8.1999998,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.4000001,0,0,0,0,0,0,0,0,3.4000001,0,3,2.188273,0.1117271,109.9,0.40000001,0.30000001,0.1,0,0,0,0.1,0,0,3,0,0,0,0,0,0,0,0,0.40000001,0,0.2,0,2.5,6.3000002,0.1,0,0.1,0,0,2.4000001,0,0,0,0,0.1,1.5,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0.2,0.80000001,3.9000001,1,0.69999999,0,0,0,0,1.6,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0.30000001,0.1,0.40000001,0,0,0,0,2.5999999,0,0,0,0,0,0,0,0
"Guinea",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0,0,0,0,0,0.1,0,4.4000001,0,0.5,0.47571149,0.0242885,10.9,0.40000001,0,5.5,0,0,0,0,0,0,0,0,1.6,0,0,0,0,0,0,0,0,0.2,0,0.1,0.5,0,0,0,0,0,0,0,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.40000001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.40000001,0.2,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0
"Burkina Faso",0.69999999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,1,0,0.80000001,0.28542691,0.0145731,18.299999,0,0,0,0,0,0,0,0,0.1,0.2,0,0,0,0,0,0,0,0,0,0,0,0,1.6,1.7,0,0,0.80000001,6.9000001,0,0,0,0,1.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0.2,0.2,0,0,0,0,0,0.30000001,0,0,0,0,0,0,0,0.1,0,0,0,0,0,0,0.40000001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Liberia",38,1,0,0,0,0,0,0.2,0,0,0,0,0,0,0,0.80000001,0,0,0,0,0,0,0,0,19.5,0,3.9000001,1.902846,0.097153999,25.4,0.69999999,0.5,0,0,0,0,0.1,0,0,6.3000002,0,23.1,0.1,0,0,0,0,0.5,33.700001,13.4,3.3,0,0.1,0,0,0,0,0,0,0,0,0,1.2,0,0,0.30000001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0.1,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Sierra Leone",4.3000002,1.7,0,0,0,0,0,0,0,0,0,0,0,0,0,1.4,0,0,0,0,0,0,0.1,0,35.900002,0.89999998,6.9000001,0.76113838,0.038861599,3.5999999,0.2,0.89999998,0,0,1,0.5,0.1,0.30000001,0.69999999,2.5,0,0,0,0.2,0,0,0,0,0.5,0.1,0.60000002,0,0,0,0,0,0,0,0,0,0,0,0.2,0,0,0.60000002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0,0,0,0,0,0,0.2,0,0,0,0.1,0,0,0,0,0.40000001,0,0,0,0,5.4000001,1.5,0,2.5999999,0,0,0,0,0,0,0,0,0,0,0.1,0.1
"Ghana",23.4,4.3000002,0,0,0,0,0.1,0,0,0,0,0,0,0,0,4.3000002,0,0,0.2,0,0,0,1,0,119.9,0.40000001,22.6,2.5688419,0.1311579,7.1999998,3.4000001,1.1,0,0,4.4000001,5.8000002,1.8,3.5,8.6000004,22.6,0.2,6.0999999,0.2,0.1,0.2,0.1,9.1000004,0.40000001,2.9000001,0.69999999,1.6,0,3.4000001,0.1,0,0,1.6,0.2,0,6.6999998,0,0,0,1.2,0,6.4000001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.8,0,0,1.1,0,0,0,0,0.5,0.1,0.1,0,1.7,0,0,0,0,2.0999999,0,0,0,0,22.5,4.1999998,0.2,0,0,0,0,0,0,0,0,0,0,0.2,1.6,1.1
"Togo",1.2,0.30000001,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0,0,0,0,0,0,0,0,2.9000001,0,1.5,0.66599607,0.034003899,9.6999998,0.1,0.40000001,0,0,0,0.2,0,0,0.1,0.5,0,0.40000001,0,0,0.1,0,0.30000001,0,0.1,0,0.1,0,0,0.69999999,0.60000002,0,0.1,0.1,0,0,0,0,1.4,0,0,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0.2,0,0,0,0,0,0.30000001,0,0,0,0,0,0,0,0,0,0.30000001,0,0,0,0,2.5999999,0.2,0.1,0,0,0,0,0.2,0,0,0,0,0,0,0,0
"Cameroon",5.3000002,0.1,0,0,0.1,0,0,0,0,0,0,0,0,0,0,1.3,0,0,0,0,0,0,0,0,2,0,1.9,1.807704,0.092296302,61.700001,0.40000001,0.40000001,0.40000001,0,0.2,0,0,0.2,0.60000002,2.0999999,0,0,0,0,0,0,0,0.1,0.1,0.89999998,0.2,0,0.40000001,2.3,0,0,0,0.1,8.8999996,0,0,0,0,0,0,0.1,0.2,0.2,0.2,0.1,0,0,0,0,0,0,0,0,0,0.1,0,0.60000002,0.5,0.5,0,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0.2,0,0,0,0,3.2,0.30000001,0.30000001,0,0,0,0,0.30000001,0,0,0,0,0,0,0,0
"Nigeria",50.099998,2.5,0,0,0,0,0,0,0,0,0,0,0,0,0,3.8,0,0,0.1,0,0,0,0.2,0,198.39999,1.3,28.4,7.7065258,0.39347389,20.9,3.5999999,3.5999999,0.80000001,0,3.9000001,3.8,1.8,0.69999999,8.3000002,25.299999,0,0.60000002,0.1,0.1,0.40000001,0,0.30000001,1.6,4.9000001,15.8,3.9000001,4.1999998,0,0,0.2,0,0.1,0.2,0,0,0.1,0,0.69999999,0,0.1,0,0.30000001,0,3.0999999,0.2,0.1,0,0.1,0,0,0,0,0,0,0.1,0,0.80000001,0.1,0.60000002,0,0,0,0,2.5,0.5,0.1,0.2,0,2.5999999,0,0,0,0,4.4000001,0,0,0,0,75.5,8.8999996,4.0999999,0,0.1,0,0,0,0,0,0,0,0,0.1,1.2,0.5
"Gabon",5.6999998,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.60000002,0,0,0,0,0,0,0,0,1.8,0,1,0.76113838,0.038861599,28.700001,0.1,0.2,0.30000001,0,0,0,0,0,0,0.60000002,0,0,0,0,0,0,0,0,0.1,0,0.1,0,0,0,0,0.2,0,0,0,0,0,0,0,0,1.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0.60000002,0.2,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Central African Republic",1.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.30000001,0,0,0,0,0,0,0,0,1,0,1,0.66599607,0.034003899,15.9,0.1,0.30000001,0.40000001,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0.1,0,0.1,0,0,0.5,0,0,0,0.1,0,0,0,0,0,0,0.2,0,0,0,0,0,0.40000001,0,0,0,0,0,0,0,0,0.1,0,0.1,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Chad",2.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.80000001,0,0.60000002,0.38056919,0.019430799,15.4,0,0.30000001,0.2,0,0,0,0,0.1,0.1,0.40000001,0,0,0,0,0,0,0,0,0,0,0.1,0,0,0.60000002,0,0,0,0,0,0,0,0,0,0,0.30000001,0.89999998,0,0,0,0,0.30000001,0,0,0,0,0,0,0,0,0,0,0.2,0,0,0.1,0.1,0,0,0.1,0.2,0,0,0,0,0,0,0,0,0.30000001,0,0,0,0,0.40000001,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Congo",4.1999998,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.60000002,0,0,0,0,0,0,0,0,2,0,2,1.331992,0.068007797,37.599998,0.2,0.40000001,0.40000001,0,0,0,0,0,0,1.1,0,0,0,0,0,0,0,0,0.1,0,0.1,0,0,0.60000002,0,0.89999998,0,0.1,0,0,0,0,0,0,0.1,0,0,0,0,0,0.40000001,0,0,0,0,0,0,0,0,0.5,0.1,0.60000002,0.1,0.40000001,0,0.1,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.40000001,0.1,0,0,0,0,0,0.2,0,0,0,0,0,0,0,0
"Democratic Republic of the Congo",86.699997,0.89999998,0,0,0,0,0,0,0,0,0,0,0,0,0,2.0999999,0,0,0,0,0,0,0.2,0,10.8,0,6.3000002,51.66227,2.637732,11.7,2.8,1.2,2.2,0,0,0,0.60000002,0,0,4.8000002,0,0,0,0,0,0,0,0.1,1.2,0.40000001,0.69999999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.30000001,0,0.2,0.1,1,0,6.3000002,1.3,1,0,0,0,0,0,10,0,0.1,0,0,0,0.2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.9000001,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Uganda",1.8,0.30000001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0,16.4,0,0.89999998,0.57085383,0.0291462,1.8,0.30000001,0.30000001,0.1,0,0,0,0.40000001,0,0.30000001,1.1,0,0.1,0,0,0,0,0,0.1,0.30000001,0.2,0.60000002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0,0,0,0,0,0,0,0,0.69999999,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0,0,0,0.89999998,0,0,0,0,7.9000001,2.4000001,1.1,0,0,0,0.1,0,0,0,0,0,0,0.1,0.30000001,0
"Kenya",13.9,0.69999999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0,84.699997,0.30000001,6.3000002,4.1862612,0.2137389,8.3000002,1.2,0.40000001,0.5,0,0,0,1,0,0.89999998,9.5,0,0.30000001,0,0,0,0,0,1,3.4000001,1.7,1.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.3,0,0,0,0,0,0,0.1,0.30000001,6.8000002,0.30000001,0,0,0,0,1.3,19.799999,0,0.1,0.1,0,0,0,0.40000001,0.2,0,0,0,0.30000001,0,0.2,0,0,34.400002,11.1,2.2,0,0.1,0,0.30000001,0,0,0,0,0,0,0.1,2.7,0.30000001
"Tanzania",3.0999999,0.40000001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30.4,0,4.0999999,1.141708,0.0582924,2.4000001,0.60000002,0.1,0.1,0,0,0,0.40000001,0,0.69999999,2,0,0.30000001,0,0,0,0,0,0.1,0.69999999,0.30000001,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0,0,0.5,0,0,0,0,0,0,5.9000001,0,0,0.1,0,0,0,0.5,0,0,0,0,0.30000001,0,0.40000001,0,0,10.8,5.8000002,1.1,0,0,0,0,0,0,0,0,0,0,0,0.69999999,0
"Zanzibar",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Burundi",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Rwanda",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
