"","United States of America","Canada","Cuba","Haiti","Dominican Republic","Jamaica","Trinidad and Tobago","Mexico","Guatemala","Honduras","El Salvador","Nicaragua","Costa Rica","Panama","Colombia","Venezuela","Ecuador","Peru","Brazil","Bolivia","Paraguay","Chile","Argentina","Uruguay","United Kingdom","Ireland","Netherlands","Belgium","Luxembourg","France","Switzerland","Spain","Portugal","German Federal Republic","German Democratic Republic","Poland","Austria","Hungary","Czechoslovakia","Italy","Albania","Yugoslavia","Greece","Cyprus","Bulgaria","Romania","Russia","Finland","Sweden","Norway","Denmark","Iceland","Mali","Senegal","Benin","Mauritania","Niger","Ivory Coast","Guinea","Burkina Faso","Liberia","Sierra Leone","Ghana","Togo","Cameroon","Nigeria","Gabon","Central African Republic","Chad","Congo","Democratic Republic of the Congo","Uganda","Kenya","Tanzania","Zanzibar","Burundi","Rwanda","Somalia","Ethiopia","South Africa","Madagascar","Morocco","Algeria","Tunisia","Libya","Sudan","Iran","Turkey","Iraq","Egypt","Syria","Lebanon","Jordan","Israel","Saudi Arabia","Yemen Arab Republic","Kuwait","Afghanistan","China","Mongolia","Taiwan","North Korea","South Korea","Japan","India","Pakistan","Myanmar","Sri Lanka","Nepal","Thailand","Cambodia","Laos","Vietnam","Republic of Vietnam","Malaysia","Philippines","Indonesia","Australia","New Zealand"
"France",901.5,79.900002,4.0999999,3.4000001,1.1,0.2,20,32.200001,1.4,0.2,0.60000002,4.4000001,0.69999999,0.2,4.9000001,60.700001,4,22.1,78.199997,1.1,3.5,13,84.599998,9,522.20001,9.6999998,379.5,627.08289,32.017109,0,216.89999,104.7,22.299999,0,12.6,23.299999,34.400002,10.9,15.8,517.09998,0.30000001,13.1,12,2.0999999,12.8,34.299999,141.10001,67.199997,165.89999,41.5,56.299999,1.2,6.0999999,113.3,10.4,5.4000001,18.700001,130.7,8.1999998,2.0999999,8.8000002,0.89999998,3.5999999,11,77.099998,43.400002,51.5,9.6999998,12.3,7.4000001,30.9,0.60000002,4.6999998,3.5999999,0,0,0,0.80000001,2.9000001,69,54.5,210.7,570.70001,72.300003,31.299999,10,48.299999,18.700001,181.3,13.7,16.200001,1.8,0.30000001,10.1,36.900002,0.69999999,149.60001,1.5,21.1,0,2,0,0.60000002,40.099998,27.9,26.200001,1.7,5.8000002,0,5.9000001,10,0,21.1,0,0,6.8000002,8.5,160.39999,67.300003
"Switzerland",283.29999,32.099998,5,1.5,2.8,0.1,0.40000001,11.5,5.6999998,2.3,0.69999999,0.40000001,2.9000001,0,5.8000002,1.5,2.7,13,15,3,0.5,3.2,16.799999,4.4000001,215.7,1.9,120,124.4461,6.3538742,466.60001,0,26.6,8.3999996,0,5.4000001,10.9,84,15.2,15.9,338.29999,0,9.3999996,5.3000002,0.1,1.7,6.1999998,6.3000002,9.1000004,72.199997,9.6000004,46.900002,0.2,0,0,0,0,0,1,0,0,0.1,0,3.0999999,0,0.1,12.9,1.3,0,0,1.1,3,0.30000001,0.89999998,0.1,0,0,0,0,0.60000002,8.6999998,0.2,2.4000001,3.2,0.60000002,3.5999999,3.4000001,7,8.8000002,0,6.0999999,0.5,0.89999998,0,9.3000002,1.7,0,1.7,1.9,10.4,0,2,0,0.80000001,39.400002,12.6,1.9,0.60000002,2.8,0,0.69999999,0,0,0.001,0,0,2.3,3.9000001,7.9000001,0.60000002
"Spain",320.39999,20.5,21.700001,0,2.3,0,10.9,7.1999998,0.30000001,0.1,0,0,0.2,0.1,14.5,46.599998,0.2,9,15.1,0.80000001,2.3,8.8000002,55.400002,4.0999999,193.60001,2.5999999,57.799999,37.67635,1.92365,212,45.5,0,10.4,0,3.9000001,11,12.2,3.8,6.5,85.5,0,1.3,1.5,1.7,2.7,6.8000002,15,10.4,51.799999,14.8,17.700001,2,0,0.2,0,0.1,0.2,2.0999999,0,0.1,0,0.2,1.5,0,1.4,8.1000004,0.30000001,0,0,0,3,1.2,1.3,0.60000002,0,0,0,0,0.1,11.7,0.69999999,25.5,6,1.5,1.1,2.0999999,26,7.6999998,41,3.3,0,1,0,1.6,71.300003,0,16.5,0,1.5,0,0.5,0,0.1,25.700001,17.299999,5.6999998,0.2,1.8,0,4,0.80000001,0,0.40000001,0,0,5,0.2,10.9,4.0999999
"Portugal",58.099998,5.1999998,0,0,0.1,0,0.40000001,4,1,0,0,0.60000002,0,0,0,1.5,0,0.60000002,3.4000001,0,0,0.69999999,4.9000001,0.5,89.900002,0.30000001,24,22.548731,1.151275,52.700001,23.1,8.8000002,0,0,0,1.1,5.5999999,0,1.1,26.1,0,0,1.2,0,0,1.3,0,1.4,14.6,6.0999999,3.5,1.4,0,0.1,0,0,0,0.1,7.1999998,0,0,0,0,0,0,6,0,0,0,0,0.1,0,0,0,0,0,0,0,0,4.0999999,0.2,4.5999999,4,1.2,1.8,0.5,2.5999999,6.8000002,23.9,0.89999998,4.1999998,0,0,0.40000001,0,0,0.69999999,0,0.2,0,0,0,0,6.5999999,0.30000001,5,0,0.30000001,0,1.1,0,0,1.7,0,0,0.30000001,0.2,2.3,2.3
"German Federal Republic",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,800.14673,40.853271,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"German Democratic Republic",6,1.2,0,0,0,0,0,0,0,0,0,0,0,0,1.8,0,0,3.5,12.3,0,0,0,2,0.5,22.4,0.60000002,12.2,13.51021,0.68979359,18.1,5.5999999,1.6,0,0,0,0,19.4,0,0,8.8000002,0,37.599998,4.9000001,0.40000001,0,41.91,0,12,23.299999,7.3000002,14.4,1,0,0,0,0,0,0,0,0,0,0,6,0,0.1,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.69999999,0,0.2,0,2.7,0,5.6999998,0.60000002,15,1.5,0.80000001,0,0,0,0,0,0,0,0,0,0,0,0.5,18.700001,0,0,0.69999999,0,0,0.2,0,0,0,0,0,0,0.40000001,0
"Poland",109,25.200001,0,0,0,0,0,0.1,0,0,0,0,0,0,0,0,1.3,1.4,12.8,0,0,2.0999999,16.700001,2.4000001,79.300003,0.80000001,9.1000004,7.6113839,0.38861611,44,10.1,11.7,1,0,0,0,20.299999,0,0,33.799999,0,37.099998,8.6000004,0.1,0,33.189999,0,20.5,24.700001,9.1000004,25.200001,1.7,0,0.1,0,0,0,0,0,0,0,0,4.4000001,0,0,2.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.4000001,0,2,0,2.0999999,0,7.3000002,0,10.9,4.1999998,0.30000001,0.30000001,2.5,0,0,0,0.89999998,0,0,0,0,0,1.2,19.6,2.9000001,2.5999999,5.5,0,0.60000002,2.5999999,0,0,0,0,0,0,16.200001,2.5999999
"Austria",79.400002,10.3,0.1,0,1.1,0.1,0.2,2.7,2,1.5,0.40000001,0.40000001,1.3,0.1,2,0.1,3.3,4.1999998,11.8,0,0.2,1.2,7.0999999,2.5,90.099998,0.30000001,53.200001,28.54269,1.457311,71,86.099998,6.4000001,3.9000001,0,20.1,40.5,0,32.599998,28.200001,129.89999,0.1,29.9,5,0.80000001,6.8000002,21.700001,51.799999,3.5,27.700001,7.5,14.8,0.2,0,0,0,0,0,0.5,2.7,0,0,0.2,4.0999999,0,0.2,2.4000001,0.69999999,0,0,0.1,0.1,0.2,0.5,0.1,0,0,0,0,0.30000001,5.4000001,0.1,3.5,0.2,0,0,1,3.5,7.4000001,0,2.5,0.60000002,0.60000002,0,2.9000001,0,0,0,1,3.3,0,0.89999998,0,0.60000002,7.3000002,2.2,1.7,0.1,1.5,0,1.9,0,0,0.2,0,0,2.5,0.60000002,8.3000002,0.80000001
"Hungary",17,0.40000001,0,0,0,0,0,0.1,0,0,0,0,0,0,0.60000002,0,0,1.8,6,0,0,0.60000002,7.8000002,0.69999999,21,0,11.9,8.8482342,0.45176631,40.200001,8,0.89999998,0,0,0,0,38.099998,0,0,27.9,0,12.4,6.0999999,0.2,0,36.740002,0,4.8000002,11,3.5999999,3.5999999,0.30000001,0,0,0,0,0,0,0,0,0,0,0.80000001,0,0,0,0,0,0,0.2,0,0,0,0,0,0,0,0,0,0,0.30000001,3.4000001,0,0,0,0.89999998,0,2.7,0.30000001,12.2,5.4000001,0.2,0,3.8,0,0,0,0,0,0,0,0,0,2.5999999,13.3,0.40000001,0,1.3,0,0,0,0,0,0,0,0,0,2.0999999,0
"Czechoslovakia",10,12.3,0,0,0,0,0,0.60000002,0,0,0,0,0,0,1.8,0.1,0,1.2,13.6,0,0,0.1,9.3999996,3.5999999,33.599998,1,9.1999998,15.79362,0.80637848,21,13.2,2.5,1.8,0,0,0,27.200001,0,0,23.1,0,23.1,7.8000002,0.89999998,0,54.959999,0,10.2,14,9.6000004,5.9000001,1.5,0,0,0,0,0,0,0,0,0,0,1.8,0,0,0.2,0,0,0,0.1,0,0,0,0,0,0,0,0,0.1,0,0,5.9000001,0,1.6,0,3.5,0,9.6999998,0.69999999,50.700001,4.3000002,0.69999999,0.89999998,0,0,0,0,5.8000002,0,0,0,0,0,6.5,29.299999,4,3.8,0.69999999,0,0.80000001,5,0,0,0,0,0,0,13,0.5
