"","United States of America","Canada","Cuba","Dominican Republic","Mexico","Guatemala","Honduras","El Salvador","Nicaragua","Costa Rica","Panama","Colombia","Venezuela","Ecuador","Peru","Brazil","Bolivia","Paraguay","Chile","Argentina","Uruguay","United Kingdom","Ireland","Netherlands","Belgium","Luxembourg","France","Switzerland","Spain","Portugal","Germany","Poland","Austria","Hungary","Czechoslovakia","Italy","Albania","Yugoslavia","Greece","Bulgaria","Romania","Russia","Estonia","Latvia","Lithuania","Finland","Sweden","Norway","Denmark","Liberia","Ethiopia","South Africa","Iran","Turkey","Afghanistan","China","Mongolia","Japan","Nepal","Thailand","Australia","New Zealand"
"Belgium",45.98,11.58,2.86,0,2.68,0,0,0,0,0,0,0,0.43,0,1.29,1.28,0.67,0,6.99,46.74,6.95,31.89,1.63,20.63,0,0,32.69,8.3,17.51,0,10.51,0.86,0,0,0,0,0,0,3.46,0,0,3.14,0.46,4.96,0,5.4,4.08,1.39,6.92,0,0,4.24,3.21,4.48,0,5.19,0,4.15,0,0,0,0
"Luxembourg",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"France",142.65,2.58,5.68,2.25,4.07,0.64,0.13,0.78,2.67,0.06,0,2.18,0.94,0.58,1.28,52.1277,0.04,0,23.7259,37.16,7.26,143.84,1,16.66,32.69,0,0,59.53,29.18,7.16,25.3,12.47,4.4528,2.6182,13.85,12.32,0.0287,0.45,8.95,1.32,0.7343,23.4864,0.76,0.55,0.65,2.74,13.14,6.44,12.47,9,9,12.86,0.16,6.85,0,62.5132,0,3.21,0,0.02,96.47,1.54
"Switzerland",33.58,10.72,1.46,0,0,0,0,0,0,0,0,0,0,0,0,0.48,0,0,0,9.17,0,27.55,51.72,2.4,8.3,0,59.53,0,3.06,0,12.55,1.89,9.91,1.96,10.8,30.73,0,3.44,0.37,0,0.17,1.84,0,0.78,0.11,0,1.35,0.8,2.31,0,0,3.509,0,0,0,2.11,0,5.27,0,0,1.42,0
"Spain",38.43,0,11.1,0.2191,3.51,0,0,0,0.56,0.21,0,0,2.9,0,0.758,4.19,0,0.0022,0.37,11.33,2.34,10.23,0,4.34,17.51,0,29.18,3.06,0,3.78,19.8,0.6965,0.2,0,0.78,7.5,0,0.02,0.32,0,0,9.21,0.02,0.0014,0.23,0.12,13.29,0.16,0.42,0,0.05,0,0,9.1,0,0,0,0.09,0,0,0,0
"Portugal",9.48,0,0.06,0,0,0,0,0,0,0,0,0,0,0,0,4.34,0,0,0,0,0,23.59,0,0.36,0,0,7.16,0,3.78,0,13.91,0.1,0.1,0,0.33,0,0,0,0.38,0,0,0,0,0,0,0,0,1.2,0.7,0,0,0,0,0,0,0,0,0.1,0,0,0,0
"Germany",445.18,20.94,7.2,1.31,2.92,7.3,0.21,3.77,0.13,0.45,0,7.43,1.01,0.4,6.67,13.84,2.29,0.65,1.51,77.83,7.06,1.17,3.96,62.98,10.51,0,25.3,12.55,19.8,13.91,0,12.25,21.98,19.8244,84.69,28.97,0.0019,5.47,0.22,2.18,1.88,9.74,0.45,14.55,1.96,25.69,31.03,17.38,5.64,1.27,0.35,0.3,1.36,0.91,0,29.76,0,40.79,0,1.68,68.08,2.86
"Poland",38.31,0.78,0.02,0.0002,0.03,0.25,0.0014,0.04,0.01,0.02,0,0.0057,0.01,0.0098,0.0062,1.64,0.0016,0.009,2.5,1.32,0.0051,81.28,0.48,0.32,0.86,0,12.47,1.89,0.6965,0.1,12.25,0,6.44,7.0149,20.47,10.31,0.0003,0.63,0.33,2.35,7.52,5.32,0.1,1.22,0.34,0.98,1.89,0,3.72,0.0009,0.0005,0.0444,0.0694,1.39,0,0.58,0,0.07,0,0.0042,2.25,0.05
"Austria",25.36,0.17,0.09,0.11,0.16,0,0,0,0,0.0015,0,0.02,0.0041,0,0.008,4.36,0,0.1976,0.17,6.64,0.01,4.67,0,0.83,0,0,4.4528,9.91,0.2,0.1,21.98,6.44,0,10.94,49.41,3.55,0.0048,5.9,0.04,0.87,1.38,0.55,0.0016,0,0.0056,0.2,0.24,0.26,0.48,0,1.148,0,0.2329,1.13,0,0.59,0,2.71,0,0,2.78,0
"Hungary",3.15,0,0.0038,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.01,0,0.1385,0,0,2.6182,1.96,0,0,19.8244,7.0149,10.94,0,4.02,1.17,0,11.0665,0.19,0,6.48,0.0395,0,0,0,0,0,0.0093,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Czechoslovakia",12.37,1.27,0,0,0.41,0,0,0,0,0.003,0,0.2,0.08,0,0.1278,6.58,0,0,3.28,7.78,0.92,26.08,1.2,2.27,0,0,13.85,10.8,0.78,0.33,84.69,20.47,49.41,4.02,0,11.72,0.01,12.36,4.44,1.61,14.24,10.98,0.26,1.59,0.09,1.68,4.61,0.02,1.38,0,0.08,9,0.5,1.41,9,1.3685,0,0.46,0,0.0025,0,0.63
"Italy",170.3,12.21,2.54,0,0,0,9.1,0,0.12,0.255,0,0,0.67,0,2.97,15.95,1.003,0,1.46,8.94,2.79,34.53,0,2.65,0,0,12.32,30.73,7.5,0,28.97,10.31,3.55,1.17,11.72,0,1.23,3.05,1.9,1.82,0,26.24,0,0,0.15,0,0.56,2.25,0.62,0,0,11.85,0.55,3.85,0,2.89,0,1.97,0,0,0,0
"Albania",0.45,0,0,0,0,0,0,0,0,0,0,0,9,0,0,9,0,0,0,0,0,0.55,0,0,0,0,0.0287,0,0,0,0.0019,0.0003,0.0048,0,0.01,1.23,0,0.095,0.08,0,0,0,0,0,0,0,0,9,0,0,0,0,0,9.0089,0,9,0,0,0,0,0,0
"Yugoslavia",4.95,0.0886,0,0,0.0063,0,0,0.0001,0,0,0,0.0034,0,0,0,1.57,0.01,0,0.02,0.27,0.0092,10.24,0,2.4,0,0,0.45,3.44,0.02,0,5.47,0.63,5.9,11.0665,12.36,3.05,0.095,0,0.72,1.05,4.99,0.15,0,0,0.0002,0.0009,0.14,0.16,0.25,0,0.0027,0,0.04,0.15,0,0.01,0,0.0097,0,0,0,0
"Greece",2.3,4.94,0.0001,0,0.004,0,0,0,9,0,0,0.0015,0,0,0,0.89,9.0029,0,0.0035,1.4,0,14.25,0.21,2.05,3.46,0,8.95,0.37,0.32,0.38,0.22,0.33,0.04,0.19,4.44,1.9,0.08,0.72,0,3.53,9.03,3.55,0,0,0,0.0777,0.43,0.15,0.07,0,0.0299,9,0.01,2.95,9,0.05,0,0.9599,0,0,1.71,0.0004
"Bulgaria",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.8,0,0.36,0,0,1.32,0,0,0,2.18,2.35,0.87,0,1.61,1.82,0,1.05,3.53,0,4.9,0.22,0,0,0,0,0,0.05,0.14,0,0,0,0,0.18,0,0,0,0,0,0,0,0
"Romania",0,0,0.07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.78,0,10.09,0,0,0.7343,0.17,0,0,1.88,7.52,1.38,6.48,14.24,0,0,4.99,9.03,4.9,0,0,0,0,0,0,0,0.65,15.81,0,0,0,0,2.73,0,0,0,0,0,0,0,0
"Russia",47.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.35,0,47.37,0,7.28,3.14,0,23.4864,1.84,9.21,0,9.74,5.32,0.55,0.0395,10.98,26.24,0,0.15,3.55,0.22,0,0,1.63,0.6,0.23,9.76,7.49,0.16,12.69,0,0,0,7.84,3.24,0,25.99,0,4.75,0,0,17.65,0
"Estonia",1.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0002,0,0,0,0,0,3.3,0,0.1,0.46,0,0.76,0,0.02,0,0.45,0.1,0.0016,0,0.26,0,0,0,0,0,0,1.63,0,0.36,0.08,0.16,0.5,0.3973,0.87,0,0,0,0,0,0,0,0,0,0,0,0,0
"Latvia",1.97,0.0004,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0043,0,0,0,0.0017,0,18.04,0.29,0.84,4.96,0,0.55,0.78,0.0014,0,14.55,1.22,0,0,1.59,0,0,0,0,0,0,0.6,0.36,0,0.77,0.42,1.48,0.261,2.13,0,0,0,0,0,0,0,0,0,0,0,0,0
"Lithuania",0.72,0.0003,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,1.59,0,0.33,0,0,0.65,0.11,0.23,0,1.96,0.34,0.0056,0,0.09,0.15,0,0.0002,0,0,0,0.23,0.08,0.77,0,0.0489,0.58,0.0584,0.32,0,0,0,0,0,0,0,0,0,0,0,0,0
"Finland",13.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.02,0,0,0,0.68,0,28.65,0,5.24,5.4,0,2.74,0,0.12,0,25.69,0.98,0.2,0,1.68,0,0,0.0009,0.0777,0,0,9.76,0.16,0.42,0.0489,0,3.42,0.42,4.23,0,0,1.35,0,0,0,0,0,0.0084,0,0,0,0
"Sweden",20.06,0,0.36,0,0,0,0,0,0,0,0,0,0,0,0,8.02,0,0,0,20.83,0,19.79,0,0.77,4.08,0,13.14,1.35,13.29,0,31.03,1.89,0.24,0,4.61,0.56,0,0.14,0.43,0,0,7.49,0.5,1.48,0.58,3.42,0,4.67,10.92,0,0,3.88,0,0,0,0,0,4.37,0,0,4.16,0
"Norway",15.02,6.74,2.472,0,0.09,0,0,0,0,0.01,0,0.07,0,0,0.16,2.2,0,0,4.8068,3.94,0.15,15.24,0.33,8.4,1.39,0,6.44,0.8,0.16,1.2,17.38,0,0.26,0.0093,0.02,2.25,9,0.16,0.15,0.05,0.65,0.16,0.3973,0.261,0.0584,0.42,4.67,0,6.97,0,0,9,0,0.0052,0,2.53,0,1.34,0,0.0015,0.78,0.02
