"","United States of America","Canada","Cuba","Dominican Republic","Mexico","Guatemala","Honduras","El Salvador","Nicaragua","Costa Rica","Panama","Colombia","Venezuela","Ecuador","Peru","Brazil","Bolivia","Paraguay","Chile","Argentina","Uruguay","United Kingdom","Ireland","Netherlands","Belgium","Luxembourg","France","Switzerland","Spain","Portugal","Germany","Poland","Austria","Hungary","Czechoslovakia","Italy","Albania","Yugoslavia","Greece","Bulgaria","Romania","Russia","Estonia","Latvia","Lithuania","Finland","Sweden","Norway","Denmark","Liberia","Ethiopia","South Africa","Iran","Turkey","Afghanistan","China","Mongolia","Japan","Nepal","Thailand","Australia","New Zealand"
"United States of America",0,399.14001,361.72,5.8200002,167.08,12.32,11.07,12.66,7.3600001,7.2800002,2.6099999,56.240002,6.23,4.5599999,22.889999,179.33,7.8699999,0.67000002,98.279999,75.290001,5.6999998,229.31,1.03,74.040001,50.560001,0,148,35.580002,23.34,1.41,139.25,2.8399999,4.96,0,20.85,53.700001,0.43000001,0,27.719999,0.63,0.039999999,8.1400003,0.33000001,0.74000001,0.31,7.5100002,40.029999,18.33,4.8200002,0,0,5.79,5.5500002,7.9200001,0,117.88,0,340.06,0,0.66000003,32.860001,15.95
"Canada",496.32001,0,7.5900002,0,1.66,0,0,0,0,0,0,0,0,3.22,3.77,0.50999999,0,0,0,0,0,147.09,0.12,2.6199999,4.9299998,0,17.969999,8.1199999,0,0,6.5999999,0.0041780001,0.000002,0,0,1.87,0,0.000001,0.41999999,0,0,0,0,0,0,0,0,0.73000002,0,0,0,0.039999999,0,0,0,0.76999998,0,6.8000002,0,0,2.5599999,3.48
"Cuba",192.07001,7.6100001,0,0.60000002,7.8099999,0.13,0.039999999,0.66000003,0.18000001,0.050000001,0.039999999,0.16,0.66000003,0.13,0.00178,1.3,0,0,0.64999998,1.74,5.3299999,12.08,0.85000002,2.4100001,3.0999999,0,9.5,0.67000002,14.52,0.090000004,9.8400002,0,0.1,0.001909,0,2.3299999,0,0,0,0,0.050000001,0.00047900001,0,0,0,0,0.57999998,1.87,0.64999998,0,0,0,0.0075770002,0.02,0,1.51,0,0.91000003,0,0.44,0,0
"Dominican Republic",15.64,0.34,0.079999998,0,0.0099999998,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.8899999,0,0.090000004,0,0,0.0099999998,0,0.00097599998,0,0.18000001,0.000074000003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Mexico",113.09,1.0599999,0.029999999,0.1,0,0.079999998,0.0099999998,0,0,0,0,0,0,0,0,0.0099999998,0,0.000042,0,0.1,0,10.92,0,0.56999999,1.03,0,7.7800002,1.48,3.6199999,0,11.25,0.0043179998,0.20999999,0,0.97000003,0.83999997,0,0.0078370003,0.0029420001,0,0,0,0,0,0.0031020001,0,0,0.18000001,0.079999998,0,0,0,0,0,0,0,0,0.34,0,0,0,0
"Guatemala",9.1899996,0,0.0055160001,0,0.19,0,0.0070000002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.9299999,0,0.14,0.15000001,0,0.69,0,0.14,0,1.47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.31,0,0,0,0
"Honduras",10.26,0,0.50999999,0,0.23999999,0.059999999,0,0.0099999998,0,0,0.0020000001,0,0,0,0,0,0,0,0,0,0,0.79000002,0,0.0099999998,0,0,0.43000001,0,0.14,0,0.30000001,0,0,0,0,0.22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.029999999,0,0,0,0
"El Salvador",12.66,0,0.001603,0,0,0,0.001,0,0.02,0.02,0.0040000002,0,0,0,0,0,0,0,0.0099999998,0,0,3.6199999,0,0.25999999,0,0,0.0099999998,0,0.28999999,0,2.6900001,0,0,0,0,0.31999999,0,0,0,0,0,0,0,0,0,0,0.15000001,0.12,0.029999999,0,0,0,0,0,0,0,0,0.5,0,0,0,0
"Nicaragua",6.3600001,0,0.02,0,0,0,0,0.050000001,0,0.0099999998,0,0,0,0,0.17,0,0,0,0,0,0,1.03,0,0,0,0,0.19,0,0.029999999,0,0.38999999,0,0,0,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0029702999,0,0.029999999,0,0,0,0
"Costa Rica",6.2399998,0,0.029999999,0,0,0,0,0.02,0.27000001,0,0.57999998,0.02,0,0,0.11,0,0,0,0,0,0,1.8200001,0,0.2,0.059999999,0,0.19,0,0.15000001,0,0.87,0,0,0,0.0050940001,0.15000001,0,0,0,0,0,0,0,0,0,0,0,0.0099999998,0.0099999998,0,0,0,0,0,0,0,0,0.039999999,0,0,0,0
