"","United States of America","Canada","Cuba","Haiti","Dominican Republic","Jamaica","Trinidad and Tobago","Barbados","Mexico","Guatemala","Honduras","El Salvador","Nicaragua","Costa Rica","Panama","Colombia","Venezuela","Guyana","Ecuador","Peru","Brazil","Bolivia","Paraguay","Chile","Argentina","Uruguay","United Kingdom","Ireland","Netherlands","Belgium","Luxembourg","France","Switzerland","Spain","Portugal","German Federal Republic","German Democratic Republic","Poland","Austria","Hungary","Czechoslovakia","Italy","Malta","Albania","Yugoslavia","Greece","Cyprus","Bulgaria","Romania","Russia","Finland","Sweden","Norway","Denmark","Iceland","Equatorial Guinea","Gambia","Mali","Senegal","Benin","Mauritania","Niger","Ivory Coast","Guinea","Burkina Faso","Liberia","Sierra Leone","Ghana","Togo","Cameroon","Nigeria","Gabon","Central African Republic","Chad","Congo","Democratic Republic of the Congo","Uganda","Kenya","Tanzania","Burundi","Rwanda","Somalia","Ethiopia","Zambia","Zimbabwe","Malawi","South Africa","Lesotho","Botswana","Swaziland","Madagascar","Mauritius","Morocco","Algeria","Tunisia","Libya","Sudan","Iran","Turkey","Iraq","Egypt","Syria","Lebanon","Jordan","Israel","Saudi Arabia","Yemen Arab Republic","Yemen People's Republic","Kuwait","Afghanistan","China","Mongolia","Taiwan","North Korea","South Korea","Japan","India","Pakistan","Myanmar","Sri Lanka","Maldives","Nepal","Thailand","Cambodia","Laos","Vietnam","Republic of Vietnam","Malaysia","Singapore","Philippines","Indonesia","Australia","New Zealand"
"Switzerland",447.70001,42.400002,1.4,1.7,0.5,1.3,0.30000001,0,9.8000002,7.0999999,5.5,1.6,0.40000001,3.5,3.9000001,13.6,1.9,0.063000001,4.1999998,13.3,27.4,0.1,1,5.8000002,26.4,5.9000001,426.60001,7.5999999,190.39999,175.86169,8.6382828,640.70001,0,49.299999,19.799999,0,9.8999996,13.1,222.60001,20,29.6,512.09998,0.5,0.1,22.6,7.0999999,0.40000001,3.8,7.4000001,19.9,29.700001,160.5,27.5,68.900002,1.3,0,1.2,0.119,0.1,0.0020000001,0.40000001,0.1,4.5999999,1.1,0.30000001,0.1,0.1,7.5,0.30000001,1.6,12.8,0.89999998,0.5,0.2,1.5,1.5,1.8,2.5,3.4000001,0,0,0.5,1.1,14.4,3.5999999,0.30000001,9.1999998,0,0,0,0.40000001,0.2,3.2,25.700001,5.5999999,37.900002,2.9000001,10,15.8,0,5.9000001,0.30000001,2.5999999,0,17.299999,0,0,0.02,10.1,1.7,18.200001,0.30000001,6.1999998,2.0999999,1.4,93.800003,15.2,3.3,0.80000001,2.2,0,0.1,3.7,0.30000001,0,0,0,4.5,0.69999999,3.5999999,7.5999999,10.3,3.5999999
"Spain",728.19,59.130001,42.459999,0.1,2.5999999,0.039999999,0.039999999,0,11.74,0.2,0.5,0.046999998,0.1,0.2,1.1,29.48,40.130001,2.0999999,0.67000002,24.719999,74.57,2,1.6,34.720001,106.45,16.4,321.22,9.6400003,122.58,94.269508,4.6304941,429.59,98.559998,0,17.190001,0,3.1099999,18.52,21.1,6.77,10.33,253.03,0.22,0,5.6599998,16.620001,2.4000001,2.9100001,11.12,21.059999,25.549999,97.449997,21.43,26.799999,1.38,23.49,0.017000001,0,2.8199999,0.0049999999,1,0.1,16.34,2.8,0,0.94999999,0,5.4499998,0,7.3000002,21.35,2.895,0.149,0.057999998,1.4859999,5.8800001,1,0.97000003,2.4300001,0,0,0,0.40000001,13.63,0,0.40000001,55.119999,0,0,0,0.2,0,24.940001,9.5200005,1.65,117.53,3.9000001,20.809999,8.4200001,49.099998,17.370001,6.5500002,3.1600001,0,9.6199999,149.10001,0,7.54,33.130001,0,1.05,0,0.5,0,0.1,89.889999,6.8699999,7.3800001,0.88,1.89,0,0,5.0799999,0.2,0,0.31,0,28.17,1.33,7.3800001,4.6900001,17.5,7.29
"Portugal",60.900002,7.0799999,0,0,0.02,0.02,0.20999999,0,4.3499999,1.46,0.001,0,1.4,0.039999999,0.0099999998,2.3900001,0.38,0.029999999,0,1.8,14.71,0.44999999,0.0099999998,0.5,4,0.1,174.36,0.86000001,34.080002,34.104778,1.675218,90.029999,46.349998,52.860001,0,0,0.23999999,11.1,20.360001,0.27000001,2.7,72.379997,0.02,0,0.2,3.0899999,0.33000001,0.02,1.88,0.76999998,5.21,31.43,9.1700001,14.31,5.0100002,0,2.97,0.1,0.0040000002,0.039999999,0.20999999,0.44999999,0.090000004,0,0,0.0099999998,0,0,0,0,17.15,0.2,0,0.050000001,0.2,0.76999998,0,0.0099999998,0.029999999,0.2,0,0,0.0099999998,1.74,0,0.2,3.6600001,0,0,0,0.40000001,0.15000001,5.0999999,0.02,0,0,0.25999999,2.53,7.1300001,33.73,1.54,0,0.2,0.0099999998,0.87,1.16,0,0,0.20999999,0,0.25999999,0,0.029999999,0,0.0099999998,19.879999,0.23999999,4.1799998,0.039999999,0.33000001,0,0.2,1.11,0,0,0,0,5.5100002,0.2,0.38999999,0.34999999,5.4899998,2.1300001
"German Federal Republic",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2198.9861,108.0136,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"German Democratic Republic",32,1.8,0,0,0,0,0,0,1,0,0,0,0,0.0020000001,0,8.6400003,0,0,0.85000002,5.79,25.450001,0,0,0,8.1400003,1.178,30.6,0.2,36.700001,14.58365,0.71634543,26.700001,21.200001,5.8000002,0.76999998,0,0,0,23.5,167.39999,0,25.1,0,0,43.900002,7.5500002,1.993,0,121.31,0,13.1,54,8.9300003,21.719999,0.1,0,0,0,0,0,0,0,0,0,0,0,0.028000001,0.001,0,0,0,0.037999999,0,0,0,0,0.25,0,0.97000003,0,0,0,0,0,0,0,0,0,0,0,0,0,3.5,0,0.28999999,0,1.7920001,0,10.71,0.40000001,33.52,3.8299999,1.63,0,0.02,0,0,0,0,0,0,0,0,0,0,5.9000001,24.360001,0,0.428,2.286,0,0,0,0,0,0,0,0.1,0.70999998,0,0,1.36,0
"Poland",53,6.1999998,0,0.02,0,0,0,0,1,0.47299999,0.31200001,2.177,0,0,0,7.1100001,0,0,0.07,11.92,18.209999,0,0,0.50999999,18.440001,0.94099998,132.2,2.8099999,25.200001,22.87632,1.123679,81.699997,23.5,10.98,1.29,0,0,0,42.200001,87.589996,0,90.199997,0.079999998,0,46.799999,14.51,0.51499999,0,61.380001,0,31.93,37.900002,16.49,33.82,1.9119999,0,0,0,0.097000003,0,0,0,2.45,0,0,0,0,2.184,0,1.61,2.9000001,0.65499997,0,0,0,0,2.6760001,0.067000002,1.381,0,0,0,0,3.4189999,0,0,0,0,0,0,0,0,11.58,4.5,4.5,0,4.164,0,8.4399996,1.7,28.280001,6.5999999,1.52,0,0,0,0,0,0,0.075000003,0,0,0,0,0,14.1,29.690001,21.82,0.352,4.5710001,0,0,3.3599999,0,0,0,0,21.07,8.0500002,0,0,19.74,2.6099999
"Austria",84.400002,12.1,0.2,0,0,0.1,0.1,0,2.2,2,2.9000001,2.0999999,0.69999999,1.8,2,3.0999999,0.1,0,5.8000002,7.4000001,29.6,0.2,0.2,5.9000001,6.9000001,5.8000002,186.89999,1,92.199997,45.65733,2.242676,102.4,215.3,7.9000001,13.2,0,24.299999,46.099998,0,48.200001,61.400002,185.7,0.2,0.89999998,45.200001,8.3999996,1.1,10.6,15.1,66.199997,11.9,65.300003,13.7,43.599998,0.1,0.1,0,0,0,0,0,0,1.5,1.4,0,0,0.003,7.1999998,0,0.2,3.5,0.60000002,0.40000001,0.2,0.1,0.1,1.4,1.2,1.2,0,0,0,0.60000002,9.3000002,0,0,16.200001,0,0,0,0.1,0,1.3,0.2,0.89999998,1.8,2.0999999,5,14.7,4.1999998,2.9000001,0.89999998,1.7,0,8.6000004,0,0,0,0,0.2,9.3999996,0,1,0,2.3,21.799999,3,1.6,0.60000002,1.6,0,0,2.8,0,0,0,0,6.3000002,0.2,1.6,1.8,7.4000001,1.6
"Hungary",11.8,5.3200002,4.3600001,0,0,0,0,0,0.1,0.089000002,0,0.40700001,0,0,0,2.6600001,0,0,2.22,4.6799998,12.12,0,0,0,9.2600002,0.414,38.209999,0.51999998,25,11.97194,0.58805871,44.349998,22.01,8.2700005,0.36000001,0,185.42999,115.34,60.919998,0,139.78,72.949997,0,3.8800001,44.419998,7.8499999,0.003,32.689999,47.360001,697.15997,10.68,14.44,5.4400001,5.7800002,0.108,0,0,0,0,0,0,0,0,0,0,0,0,0.403,0,1.1569999,3.2,0.115,0,0,0,0,3.4779999,0.20900001,0,0,0,0,0,3.109,0,0,0,0,0,0,0.022,0,2.0699999,2.79,0.33000001,0,3.4300001,8.6599998,13.67,0.63999999,8.7200003,4.9699998,0.33000001,0,4.8499999,0,0,0,0,0,13.74,2.98,0,3.0699999,0,7.0900002,18.629999,4.46,0,0.23,0,0,0,0,0,0.67000002,0,5.5599999,0.02,0,0,8.1099997,0
"Czechoslovakia",14,3.5999999,0,0,0,0,0,0,0.2,0,0,0,0,0.235,0,2.0999999,0,0,1.0700001,1.38,10.48,0,0,0,7.2800002,6.0960002,43.599998,0.38,29.700001,17.25256,0.84744132,45,34,8.9200001,1.97,0,0,0,60.200001,148.75999,0,61.900002,0.0099999998,0,62.689999,12.28,0,0,140.78,0,11.34,20.5,7.2600002,13.01,0.63300002,0,0,0.046,0,0,0,0,0,0,0,0,0,1.91,0,0.001,0.30000001,0,0,0,0,0,0.048999999,0.778,0.70099998,0,0,0,0.31600001,2.2579999,0,0,0,0,0,0,0,0,5.3000002,0,0.94999999,0,2.326,0,13.84,1.3,35.130001,2.98,2.3,0.56999999,0.63,0,0,0,0,1.628,0,0,0,0,0,14.3,41.099998,7.3400002,0.127,0.60399997,0,0,0.56999999,0,0,0,0,7.1500001,1.6,0,0,8.29,1.76
"Italy",1411.4,150.89999,8.3000002,3.2,1.3,0.1,3.9000001,0,54.5,14.3,11.7,0.30000001,3.8,14.6,3.7,4.8000002,51.799999,0.89999998,11.9,27.1,161.89999,0.1,0.69999999,79.199997,269.89999,16.700001,499.39999,9.8999996,493.89999,422.4494,20.75061,1546.6,297.70001,98.800003,21.799999,0,28.9,103.8,232.8,109.8,70.5,0,4.0999999,4.5,234.8,60,6.0999999,50,99.199997,246.8,60.799999,184,54.599998,106.8,3.8,0,1,0.5,5.8000002,0.40000001,12.4,1.5,58.299999,0.2,1,20.700001,1.1,17.5,2,5.5999999,42.900002,2.0999999,1.9,1,5.1999998,80.300003,1.8,4.8000002,5.5,0.60000002,0.2,14.8,11.3,99.699997,0.1,0.80000001,68.400002,0,0,0,2.5,0.017000001,39.5,34.900002,30,436.39999,33.400002,63,53,304.70001,51.599998,14.4,9.3000002,0,12.5,228.3,0.30000001,2.4000001,293.70001,0.30000001,64.199997,0,9,0.2,5.0999999,118.2,29.5,23.5,3.0999999,7.0999999,0,0,18.6,2.5999999,0.1,0.40000001,0,52.599998,3.4000001,10,20.1,137.5,32.200001
"Malta",4.6599998,1.54,0.02,0,0,0.029999999,0.0099999998,0,0.27000001,0,0,0,0,0,0,0,0,0,0.02,0.17,0.64999998,0,0,0,0.31999999,0.001,62.869999,0.38,4.46,3.4695749,0.1704247,5.3099999,1.1799999,1.5,0.039999999,0,0.27000001,0.19,1.01,0.43000001,0.75999999,23.41,0,0.050000001,0.20999999,1.0700001,0.13,0.94,1.52,0.56999999,0.47999999,0.91000003,0.51999998,2.0699999,0.0020000001,0,0,0,0,0,0,0,0.14,0,0,0,0,0.23,0,0,0.1,0,0,0,0,0,0.0099999998,0.02,0,0,0,0,0,0.003,0,0.0099999998,0.22,0,0,0,0,0,0.14,0.039999999,0.22,0.12,0.11,0,0.02,0,0.14,0.58999997,0.31,0,1.36,0,0,0,0,0,1.74,0,0.07,0,0.0099999998,3.54,0.77999997,0.029999999,0.0099999998,0.22,0,0,0.0099999998,0,0,0,0,0,0.22,0,0.34999999,4.4699998,0.23
"Albania",0,3.4000001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.30000001,0,0.30000001,0,0.89999998,0,0,1,1.4,0,0,0,0,0,0.60000002,2.46,0,8.8000002,0,0,3.28,0,0,0,3.6199999,0,0.039999999,0.30000001,0,0.60000002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.49000001,0,0,0,0,0,0.029999999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Yugoslavia",92.660004,3.3399999,3.2,0,0,0,0,0,1.2,0,0.2,0,0,0.1,0.2,4.0799999,1.6,0.81,3.29,6.9000001,20.27,0.001,0,1.49,6.2800002,0.58999997,119.47,1.66,35.73,21.11294,1.037062,72.190002,77.419998,17.9,0.77999997,0,77.779999,47.009998,102.18,46.27,119.87,317.13,0.1,2.6800001,0,33.540001,0.19,23.040001,24.76,168.14,2.03,30.530001,4.4699998,8.2700005,0.02,0,0,1.2,0,0,0,0,0.36000001,1.83,0,0.40000001,0,4.5799999,0,0.30000001,0.5,0,0,2,0,0,1.4,1.8099999,1.7,0,0,0,1.65,3.2,0,0,1.13,0,0,0,0.20999999,0,3.4000001,4.1300001,6.3099999,1.7,4.0999999,17.780001,5.3400002,18.700001,29.74,3.9000001,2.7,4.4400001,6.8600001,0,0,0.1,0,0,0.86000001,0,0,0,0,17.99,35.240002,11.4,2.7,1.13,0,0.0099999998,1.14,0.33000001,0,0,0,12.66,5.6999998,0,2.1099999,25.77,2.51
"Greece",151.89999,13.68,0.0099999998,0.039999999,0,0,0,0,0.20999999,0.059999999,0,0,0,0.23,0.2,1.37,0.039999999,0.0099999998,1.03,0.86000001,9.0600004,0,0.27000001,0,31.870001,9.1400003,142.24001,2.8099999,56.27,50.785431,2.4945669,108.82,27.389999,13.32,2.71,0,7.3600001,12.73,25.4,9.04,13.54,143.31,0.28999999,0.0099999998,29.299999,0,0.50999999,10.85,12.65,30.33,15.79,33.549999,16.25,12.08,1.49,0.039999999,0.001,0.02,0.86000001,0,0.0099999998,0,2.1300001,0.19,0.07,8.2700005,0,2.22,0.19,0.15000001,3.1300001,2.1900001,0,0,1.4400001,5.79,0.035,0.57999998,0.57999998,0,0,0.47999999,1.73,6.98,0,0.16,6.25,0,0,0,0.46000001,0,4.8000002,1.28,4.3600001,1.5700001,2.3499999,0.029999999,9.0299997,28.370001,6.0100002,15.02,1.47,0,7.1100001,21.120001,0,0.07,0.0099999998,2.1800001,0.40000001,0,0.55000001,0,0.33000001,110.71,1,0.87,0.28,0.41,0,0,0.89999998,0,0,0,0,2.51,0.23,0.1,0.11,6.1999998,8.7799997
"Cyprus",9.8290005,0.62099999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001,0,0,0,1.337,0,0,0,2.0209999,0.245,63.139999,0.75,7.3109999,4.022419,0.1975802,9.427,1.795,1.801,1.575,0,1.101,0.54500002,1.7309999,0.23800001,3.881,20.205999,0.124,0,4.1669998,9.7690001,0,0.95999998,2.072,5.566,1.7970001,2.9170001,0.54000002,8.6289997,0.041000001,0,0,0,0,0,0,0,0.082999997,0,0,0,0.001,0.101,0,0,0,0,0,0,0,0,0.001,0.052000001,0.13699999,0,0,0,0.033,0,0,0.003,0,0,0,0,0,0,0.106,0,0,0.0040000002,0.12800001,0.20100001,0.71899998,0.021,0.77200001,0.764,2.7349999,0.001,3.829,0.001,0,0.0099999998,0.012,0,0.039999999,0,0.089000002,0,0.067000002,7.467,1.2130001,0.736,0,0.127,0,0,0.17200001,0,0,0,0,0.29699999,0.18700001,0,0,0.449,1.441
"Bulgaria",5,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0599999,0,0,0.61000001,0,16.15,0,0,0,1.27,0.39500001,12.2,0.029999999,7.5,4.28931,0.2106898,25,14.7,7.8600001,0.44,0,0,0,26.799999,24.67,0,50,0,0,23.17,12.19,0.505,0,20.82,0,1.35,10.9,4.6500001,2.49,0,0,0,0,0,0,0,0,0,0,0,0,0,0.64499998,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0060000001,0,0,0,0,0,0,0,0,0,5.8499999,8,8.1000004,0.1,0.39300001,0,4.8200002,0.69999999,10.2,1.23,1.23,0,2.2,0,0,0,0,0,0,0,0,0,0,11.8,13.71,6.77,0,0.33500001,0,0,0,0,0,0,0,2.22,4.5900002,0,0,0,0
"Romania",24.370001,1.0599999,10.8,0,0,0,0,0,0.1,0.384,0,0,0,0,0,0,0,0,1.1900001,0.23999999,3.96,0,0,0,2.8800001,0,112.08,0.2,47.27,35.83004,1.759962,103.42,45.790001,12.47,2.48,0,92.879997,75.050003,54.439999,47.07,119.47,102.8,0,3.0999999,26.129999,5.6500001,1.17,35.869999,0,511.39999,4.75,29.23,0.37,6.1199999,0,0,0,0,0,0,0,0,0,0,0,0,0,0.039999999,0,0.248,0,0,0,0,0,0,3.562,0,0,0,0,0,0.0040000002,0,0,0,0,0,0,0,0,0,0,5.54,0.43000001,7.1999998,5.7399998,24.879999,9.4300003,0.58999997,14.8,6.0300002,1.8,0,16.52,0,0,0,0,0,46.59,2,0,5.8699999,0,24.59,10.32,7.75,0,3.23,0,0,0,0,0,0,0,1.1799999,14.46,0,0,0.46000001,0
"Russia",106,9.1000004,0,0,0,0,0,0,0,0,0,0,0,3.3,0,4.3400002,0.30000001,0,5.6700001,0,43.669998,0,0,0,21.34,1.572,233.2,0.54000002,55.799999,48.7075,2.3924999,265.10001,35.900002,4.5799999,0,0,0,0,68.599998,537.35999,0,284.5,0.059999999,0,206.36,30.02,5.7839999,0,455.01001,0,277.42999,111.2,15.31,17.92,9.5459995,0,0,0.41,0,0.0020000001,0,0,1.8099999,0,0,0.147,0,3.9820001,1.038,10.218,23,0,0.011,0,0.796,0,2.5120001,0.97000003,2.609,0,0,0,1.675,0,0,0,0,0,0,0,0,0,14.52,51.599998,4.8099999,0,11.225,0,29.969999,4.0999999,246.17,35.59,2.3299999,0,0,0,0,0,0,29.906,0,0,0,0,0,268.29999,221.33,22.91,3.2550001,15.034,0,0,0.13,0,0,0,0,78.410004,42.169998,0,15.6,46.029999,14.46
"Finland",103.42,7.6999998,3.9200001,0,0.17,0.25999999,0,0,1.46,5.3499999,0.31999999,2.6099999,0.039999999,4.5500002,0.30000001,17.59,2.6300001,0,1.95,3.0999999,25.65,0.0099999998,0,2.26,4.4299998,0.25,270.32001,0.74000001,64.540001,38.946941,1.913064,72.300003,49.740002,7.6799998,12.49,0,16.219999,29.639999,25.98,6.75,11.54,46.490002,0.02,0,6.4899998,2.26,0.94999999,1.47,5.2399998,257.28,0,306.69,55.779999,62.27,2.4400001,0,0.0099999998,0,0.2,0,0,0.12,0.36000001,0.029999999,0,0.003,0.0099999998,2.1199999,0,0.0020000001,1.34,0,0,0,0,0.0099999998,0.2,3.4200001,0.15000001,0,0,0.0099999998,1.26,4.21,0,0.23999999,4.8000002,0,0,0,0.079999998,0,2.53,0.14,0.18000001,0.60000002,1.6799999,41.110001,0.98000002,0.02,3.6300001,0,0.25,0,7.5500002,0.0099999998,0,0,0,0,7.4299998,0,0,0,0.64999998,41.099998,1.12,0.64999998,0.30000001,0.13,0,0,0.2,0,0,0,0,4.0700002,1.84,0.86000001,0.86000001,6.96,2.3900001
"Sweden",505.39999,50.5,2.0999999,0.1,0,8.3000002,32.900002,0,2.5,2.3,0.30000001,0.40000001,0.30000001,4.0999999,1.1,25.4,42.700001,2.9000001,4.3000002,7.3000002,64,0,0.1,50.400002,14.6,1.3,815.40002,6.4000001,254.2,179.9604,8.8396082,253.3,152.3,54.700001,52.299999,0,40.400002,48.5,103,18.200001,29.6,193.60001,0.1,0.30000001,18.700001,12.3,0.80000001,2.8,10.2,125.9,271.20001,0,346.60001,452.20001,7.5999999,0,0.0020000001,0.1,1,0,0,0.60000002,0.80000001,0,0.40000001,4.9000001,0.0099999998,8.8000002,0,0.2,25.299999,1,0.0099999998,0.0040000002,0.1,0.40000001,2.0999999,6.3000002,2.5,0,0.1,0,0.60000002,27.799999,0,0.40000001,14.5,0,0,0.89999998,0.1,0.001,10.6,3.3,2.5999999,3.9000001,1,32.700001,12.6,4.3000002,2.2,0.40000001,1.5,0,13.6,2.3,0.1,0.40000001,6.9000001,0.5,18.6,0,3.8,0.2,8.8000002,87.300003,8.6999998,5,3.7,4.6999998,0,0,1.7,0,0,0,0,10.4,0.89999998,8.8000002,3.8,13.7,4.0999999
"Norway",230.11,112.1,0.74000001,0.30000001,1.4,23.049999,0.87,0,0.37,1.52,0.1,0.47999999,0.1,0.67000002,0.77999997,7.52,30.58,7.1900001,1.59,1.26,32.290001,0.0099999998,0.039999999,1.72,8.4099998,0.050000001,393.23001,1.4,105.75,70.792679,3.477318,110.96,61.279999,19.35,12.99,0,13.58,15.05,30.879999,5.79,12.27,61.970001,0.11,0,8.4200001,3.7,0.55000001,0.68000001,1.08,22.6,52.950001,557.98999,0,192.33,1.71,0,0,0,1.9,0,0,0,0.28999999,15.55,0,2.03,0.0099999998,7.4499998,0,0.1,7.5300002,0,0,0,0,1.61,0.5,0.55000001,0.27000001,0,0,0.02,0.89999998,1.645,0,0.36000001,8.8500004,0,0,0,0.029999999,0,4.8600001,0.54000002,0.15000001,15.75,0.60000002,0.81999999,6.1599998,0.2,0.92000002,0.1,0.81999999,0,4.9299998,18.809999,0.02,0.029999999,0.0099999998,0.059999999,5.9400001,0,0.60000002,0.30000001,0.2,91.360001,2.95,0.5,0.94999999,0.54000002,0,0,0.63,0,0,0.0099999998,0,1.74,0.2,2.6800001,1.59,10.52,2.76
"Denmark",292.70001,19.9,0.43000001,0.47999999,0.30000001,0.11,5.9699998,0,1.5700001,2.3900001,3.3299999,2.1099999,2.8299999,0.44999999,0.41999999,7.4400001,8.7399998,0.2,3.3,3.4100001,56.32,0.1,0.74000001,1.75,10.22,1.5700001,522.23999,1.1,161.39999,102.8005,5.0495319,160.89999,105.07,27.77,25.879999,0,19.91,39.849998,51.099998,10.61,20.5,119.62,0.30000001,0,7.1900001,2.2,1.04,2.03,2.1500001,35.790001,106.08,591.54999,157.69,0,7.5300002,0.02,0,0.30000001,0.31999999,0.001,0,0.1,3.1700001,0.0099999998,1.77,0.5,0.30000001,3.9000001,0.40000001,0.57999998,23.559999,0.52999997,0.024,0.14,0.69999999,0.30000001,0.1,0.85000002,1.72,0.029999999,0,0,0.60000002,0.5,0,0.2,5.1500001,0,0.1,0,0.55000001,0,4.8200002,4,0.60000002,23.82,0.93000001,14.06,11.88,1.51,1.77,1.88,2.8800001,0,6.4299998,13.11,0.13,0.80000001,48.43,0.13,9.1400003,0,0.56999999,0.02,0.44,57.23,6.5,2.0699999,7.8699999,1.72,0,0.029999999,1.51,0.0099999998,0.02,0,0,5.9099998,0.99000001,6.3099999,13.67,4.6500001,3.6099999
"Iceland",10.63,0.30199999,0,0,0,0.011,0.001,0,0,0,0.2,0,0,0.0099999998,0.028000001,0.0060000001,0,0,0.1,0.1,1.92,0,0,0,0.1,0,15.664,0.039000001,6.4640002,1.90636,0.093639903,2.3989999,5.1399999,0.75300002,0.40700001,0,0.62599999,2.043,0.27000001,1.1,1.503,2.3670001,0.0060000001,0,0.028000001,0.0089999996,0.0060000001,0.018999999,0.039999999,9.8879995,3.3199999,6,7.947,11.737,0,0,0,0,0,0,0,0,0.0040000002,3.217,0,0,0,0.02,0,0.0020000001,0.0020000001,0,0,0,0,0,0.014,0.001,0,0,0,0,0,0,0,0,0.206,0,0,0,0,0.017999999,0.017000001,0,0,0,0.011,0.017000001,0.0080000004,0.0070000002,0.016000001,0,0.001,0,0.322,0,0,0,0,0,0.141,0,0.0089999996,0,0.046999998,3.197,0.2,0.032000002,0.030999999,0.0049999999,0,0,0.039999999,0,0,0,0,0,0.003,0.0040000002,0.022,0.125,0.032000002
"Equatorial Guinea",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0.095317997,0.0046819998,0.1,0,7.9499998,0,0,0,0,0,0,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.574,0,0.17399999,0,0.032000002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.30000001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Gambia",0.43200001,0.183,0.001,0,0,0,0.001,0,0,0,0,0,0,0,0,0,0,0,0,0,0.171,0,0,0,0.0020000001,0,5.6630001,0.0099999998,0.324,0.066722602,0.0032774,0.50599998,0.0089999996,0.061000001,0.0040000002,0,0.142,0.60100001,0.0049999999,0.169,0.057999998,0.23999999,0.001,0,0,0,0.016000001,0.052000001,0.105,0.27500001,0.0040000002,0.066,0.0020000001,0.13699999,0,0,0,0,0.149,0,0,0,0.001,0,0,0.001,0.155,0.079999998,0,0,0.028999999,0,0,0,0,0,0,0,0.001,0,0,0,0,0,0,0.197,0.0020000001,0,0,0,0,0,0.029999999,0,0,0,0,0,0,0.219,0.34,0,0.003,0,0.17299999,0,0,0,0,0,1.416,0,0.118,0,0.0020000001,2.1059999,0.146,0.37400001,0.74299997,0.0020000001,0,0,0.138,0,0,0,0,0.015,0,0,0,0.003,0.017999999
"Mali",1.026,0.003,0.001,0,0,0,0,0,0,0,0,0,0,0,0,0,0.34999999,0,0,0,0,0,0,0,0.2,0,0.46399999,0,0.58700001,0.62909877,0.030901199,15.081,1.304,0.086999997,0.001,0,0,0.027000001,0.026000001,0,0.064000003,0.94099998,0,0,0.033,0,0,0,0,3.826,0,0.134,0.001,0.14399999,0.0049999999,0,0,0,3.2620001,0.001,0.153,0.016000001,3.339,0.055,0.015,0.02,0.011,0.104,0.0060000001,0.003,0.0020000001,0,0,0,0,0.001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.068000004,0.050999999,0.015,0.017000001,0,0,0,0,1.181,0,0,0,0.048999999,0,0,0,0,0,3.313,0,0,0,0,0.25299999,0.0099999998,0.26100001,0,0,0,0,0,0,0,0,0,0.001,0,0,0,0.001,0
"Senegal",13.15,0.69999999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.30399999,0,0,0,3.1760001,0,0,0,1.7,0,2.017,0.0099999998,5.4489999,3.2408121,0.1591879,84.261002,1.568,0.42500001,0,0,0,0,0.579,0,0,6.579,0,0,0.49000001,0.02,0,0,0,0,0.458,0.71700001,0.28999999,0.46599999,0,0,0.012,0.82300001,0,0.72899997,1.827,0.057,8.8999996,0.186,0.035999998,0.48199999,0.2,0.40400001,0.19499999,0.447,0.0040000002,5.0949998,0.003,0.0089999996,0,0.1,0,0,0,0,0,0,0.0040000002,0,0,0,0,0,0,0,4.3909998,0.017000001,2.0739999,5.2179999,0.1,0,0,0,0,0,0,0,0.090000004,0,0.07,0,0,2.3699999,0,0,6.7249999,0,0,0,0,1.1,0.16599999,0.28,0,0,0,0,0,4.7680001,0,0.0080000004,0,0,0,0,0,0,0
