"","United States of America","Canada","Cuba","Haiti","Dominican Republic","Jamaica","Trinidad and Tobago","Barbados","Mexico","Guatemala","Honduras","El Salvador","Nicaragua","Costa Rica","Panama","Colombia","Venezuela","Guyana","Ecuador","Peru","Brazil","Bolivia","Paraguay","Chile","Argentina","Uruguay","United Kingdom","Ireland","Netherlands","Belgium","Luxembourg","France","Switzerland","Spain","Portugal","German Federal Republic","German Democratic Republic","Poland","Austria","Hungary","Czechoslovakia","Italy","Malta","Albania","Yugoslavia","Greece","Cyprus","Bulgaria","Romania","Russia","Finland","Sweden","Norway","Denmark","Iceland","Equatorial Guinea","Gambia","Mali","Senegal","Benin","Mauritania","Niger","Ivory Coast","Guinea","Burkina Faso","Liberia","Sierra Leone","Ghana","Togo","Cameroon","Nigeria","Gabon","Central African Republic","Chad","Congo","Democratic Republic of the Congo","Uganda","Kenya","Tanzania","Burundi","Rwanda","Somalia","Ethiopia","Zambia","Zimbabwe","Malawi","South Africa","Lesotho","Botswana","Swaziland","Madagascar","Mauritius","Morocco","Algeria","Tunisia","Libya","Sudan","Iran","Turkey","Iraq","Egypt","Syria","Lebanon","Jordan","Israel","Saudi Arabia","Yemen Arab Republic","Yemen People's Republic","Kuwait","Afghanistan","China","Mongolia","Taiwan","North Korea","South Korea","Japan","India","Pakistan","Myanmar","Sri Lanka","Maldives","Nepal","Thailand","Cambodia","Laos","Vietnam","Republic of Vietnam","Malaysia","Singapore","Philippines","Indonesia","Australia","New Zealand"
"Ecuador",94.900002,5.29,0,0,0,0,0.69,0,1.24,0.07,0.0049999999,0.0099999998,0.0099999998,0.07,0.14,8.2700005,13.11,0,0,2.04,0.30000001,0,0.67000002,3.21,2.0899999,0.1,11.54,0.20999999,4,6.3291149,0.31088451,4.75,3.9400001,1.66,0.34999999,0,0.38999999,0.69999999,1.0700001,0.13,1.67,7.8600001,0,0,0.56,0,0,0,0,0.029999999,1.16,4.75,0.93000001,2.04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0099999998,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.23,0,0,0,0,0,0,0,0,0,0.23999999,0.090000004,0,0,0,0,0,0,0.02,0,0,0,0,0,0.38,0,0.090000004,0,0.02,20.99,0.31,0.22,0,0.1,0,0.02,0.1,0,0,0,0,0.43000001,0.0099999998,0.0099999998,0.029999999,0.50999999,0
"Peru",186.19,14.8,0,0.0020000001,0,0.16,0.02,0,6.5300002,0.0099999998,0.0099999998,0.039000001,0.02,0,0.63999999,13.27,9.3500004,0.0099999998,2.78,0,4.0300002,0.16,0.33000001,5.5799999,62.139999,2.4000001,26.360001,0.46000001,15.84,13.68766,0.67233461,13.09,12.19,8.0699997,0.61000001,0,0.050000001,0.80000001,2.23,0.07,1.08,16.459999,0,0,1.13,0.079999998,0,0.33000001,0.11,3.3099999,3.45,12.44,3.54,3.6500001,0.0099999998,0,0,0,0,0,0,0,0,0,0,0,0,0.090000004,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.16,0,0,0,0,0,0.02,0,0,0,0.02,0.95999998,0,0,0,0,0,0,0.50999999,0,0,0,0,0,4.0999999,0,0.31,0.0099999998,0.0099999998,43.25,0.63,2.3299999,0,0.23,0,0,0.02,0,0,0,0,1.25,0.98000002,0.23,0.83999997,19.620001,4.1100001
"Brazil",750.16699,42.558998,0,0.0040000002,0,0.0020000001,10.615,0,23.1,0.011,0,0.001,0.0089999996,0.001,6.9959998,2.145,66.924004,0.17399999,0.759,9.1960001,0,0.78100002,0.44,32.405998,171.52299,13.211,98.912003,0.59399998,41.91,37.90797,1.86203,73.864998,60.027,25.069,9.2620001,0,15.103,11.957,4.829,3.454,9.4049997,83.677002,0,0,3.7509999,0.50599998,0.013,10.395,12.375,17.775999,13.002,72.149002,25.586,51.865002,2.4749999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26.674999,0,0,0,0.23100001,1.232,0,0,0,0,0,0,0,12.485,0,0,6.2259998,0,0,0,0,0,0.66000003,14.817,0.088,6.3470001,0.011,15.521,0.20900001,48.895,3.52,0,0.02,0,3.0139999,46.618,0,0,20.625,0,0,0,0.95700002,0,0,116.226,0.50599998,0.121,0,0,0,0,0.19,0,0,0,0,3.905,2.8599999,0.28600001,0,1.551,0.50599998
"Bolivia",51.377998,2.8959999,0,0,0,0,0,0,0.98299998,0.035,0.0040000002,0.001,0.0040000002,0.003,1.377,0.493,0.035999998,0,0.106,2.2019999,3.122,0,0.026000001,1.999,16.937,0.155,8.3330002,0.027000001,5.73,1.839637,0.090362497,2.368,2.987,1.8200001,0.16599999,0,0.17200001,0.118,0.67199999,0.123,1.003,2.355,0,0,0.152,0.001,0,0.001,0.65200001,0,0.27599999,1.597,0.12,1.52,0.0040000002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001,0,0,0,0,0,0,0,0,0,0,0,0,0,0.76899999,0,0,0,0,0,0.079000004,0,0,0,0,0.027000001,0.003,0.013,0,0,0,0,0.162,0,0,0,0,0.0070000002,0.16500001,0,0.52499998,0,0.001,27.097,0.50700003,0.046999998,0,0.27500001,0,0,0.0040000002,0,0,0,0,0.0040000002,0.171,0.001,0,0.064999998,0.001
"Paraguay",20.464001,0.185,0,0,0,0,0,0,0.30399999,0.001,0,0,0,0,0.001,0.057,0.0070000002,0,0.088,0.027000001,1.771,0.0040000002,0,0.219,13.747,0.98799998,6.9320002,0.5,0.61400002,0.68628973,0.033710402,1.4119999,1.242,1.016,0.023,0,0,0,0.40099999,0,0,3.7690001,0,0,0.015,0.029999999,0,0,0,0,0.011,1.834,0.090999998,0.083999999,0.001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0049999999,0,0,0,0,0,0,3.1389999,0,0,0,0,0.001,0,0,0,0,0,0,0,0,0,0,0,0,0,0.68199998,0,0.046,5.1160002,0.20900001,0.19599999,0,0.0020000001,0,0,0,0,0,0,0,0,0,0.1,0,0,0
"Chile",348.98001,10.19,0,0,0.0099999998,0,0.0099999998,0,21.16,0.0040000002,0.001,0,0,0,3.1099999,6.9899998,35.939999,0,12.19,9.6300001,31.52,1.4400001,1.8099999,0,92.400002,3.9300001,48.16,1.15,12.95,9.8654137,0.4845866,27.879999,17.41,16.059999,1.12,0,0,3.8299999,1.41,0,1.62,28.83,0.029999999,0,0.28999999,0,0,0,0,0,1.37,10.79,1.6900001,7.0999999,0.0020000001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0099999998,0,0.029999999,0,0,0,0,0,0.20999999,0,0,0,0,18.17,0.54000002,1.35,0,0,0,0,0,0,0,0,0,4.4099998,1.16,0,0,7.3400002,0
"Argentina",346.39999,61.209999,0,0,0.30000001,0.0099999998,1.64,0,21.540001,0,0,0.0080000004,0.0099999998,0.0099999998,2.45,9.3900003,38.380001,0.34,5.1599998,14.14,174.47,11.71,15.88,71.559998,0,3.6800001,92.830002,0.61000001,32.459999,19.035009,0.93499452,51.34,31.58,38.529999,1.59,0,0.19,6.1300001,5.6799998,1.63,1.99,105.89,0,0,2.53,1.62,0.0020000001,0.30000001,4.6799998,8.9200001,22.24,33.23,10.32,6.1399999,0.003,0,0,0,0,0,0,0,0.0099999998,0,0,0,0,2.5,0,0,0.91000003,0,0,0,0,0,0.0099999998,0.13,0.02,0,0,0,0,0.44,0,0,6.4899998,0,0,0,0,0,0.1,0.0099999998,0.40000001,0,0.039999999,0,0.34999999,0,0,0,0,0,0.70999998,5.4899998,0,0,6.3299999,0,0.75999999,0,0.02,0,0.039999999,65.110001,0.55000001,6.3699999,0,0.17,0,0,0.0099999998,0,0,0,0,9.8299999,8.9700003,0.38,0,5.9200001,0.02
"Uruguay",26.858,3.6800001,1.571,0,0.68599999,0,0.32600001,0,1.766,0,0,0,0,0,3.003,0.185,1.896,0,0.045000002,1.044,26.364,0,3.1789999,2.8599999,20.837999,0,12.098,0.228,2.1210001,3.1931529,0.1568469,3.6099999,4.7950001,10.513,0.207,0,4.4109998,0.142,0.64399999,0.057,0.84899998,6.8099999,0,0,0.125,0.026000001,0,0.17299999,0.081,0.83700001,0.53799999,2.951,0.064000003,0.42199999,0,0,0,0,0,0,0,0,0,0,0,0,0.003,0,0,0,3.1240001,0,0,0,0,0,0.0020000001,0,0,0,0,0,0,0,0.0049999999,0,0.214,0,0,0,0,0,0.0020000001,0,0.75599998,0,0,0.51899999,0.046999998,1.752,0,0,0,0,0.32600001,0.90799999,0,0,11.753,0,0.072999999,0.0040000002,0.021,0,0.257,1.51,0.47799999,2.322,0,0.19,0.001,0,0,0,0,0,0,1.182,0.093000002,0.93699998,0.024,0.21799999,0.075999998
"United Kingdom",2702.5,1211.7,13,0.40000001,1.7,62.799999,52.099998,16,34.900002,1.9,0.80000001,0.40000001,2.4000001,0.89999998,6.5,18,136,31.6,1,33.400002,121.7,82.099998,5.0999999,173.2,189,31.5,0,704.70001,981.90002,428.3591,21.04089,778.70001,418.70001,276,184,0,35.099998,136.8,153.89999,22.6,51.599998,535,12.9,0,59.5,39.900002,45.5,17.6,59.900002,473.20001,416.70001,798.70001,431.20001,588.20001,16.200001,0,4.8000002,0.60000002,4.3000002,0.60000002,22.4,0.086000003,24.299999,0.1,0.47999999,20.9,86.800003,103.9,1.3,5.4000001,250.8,4,1.4,0.2,3.9000001,54.799999,41.900002,61.700001,57.5,2.3,0.89999998,0.2,4.6999998,253.2,0.2,25.6,814.59998,0,0,0,4.0999999,52.200001,37.700001,53,6.8000002,363.70001,17.5,177,37.599998,74.699997,22.299999,3,9.6000004,0.5,94.300003,208.3,0.1,35.099998,412.79999,17.4,90.599998,0,9.6000004,1.1,9.8000002,250.7,256.89999,95.300003,7.3000002,79.400002,0,1.7,13.7,1.6,0,1.5,0,80.5,73.400002,10.4,15.8,569.90002,518.79999
"Ireland",125.66,21.620001,0.50999999,0.241,0.050000001,0.15000001,0.1,0,0.23999999,0.1,0.2,0,0.41,0.11,0.050000001,1.65,0,1.78,1.63,3.04,4.3000002,0,0.02,0.43000001,6.3899999,0.30000001,744.25,0,34.200001,17.462259,0.85774171,40.200001,13.32,10.38,3.1900001,0,1.11,13.09,2.98,0.63,3.3299999,23.75,0.68000001,0.0099999998,1.04,0.63,0.75999999,0.23,1.41,4.2800002,19.120001,25.030001,6.0799999,12.14,0.38999999,0,0.16,0,1.03,0,0,0,1.11,0,0,0,0.31999999,7.6199999,0.0099999998,0.039999999,3.9400001,0,0,0,0.25999999,0.13,0.74000001,0.99000001,2.22,0,0.11,0,0,1.12,0,1.33,6.0999999,0,0.0099999998,0.25999999,0,0.1,5.8699999,1.53,1.6900001,3.03,0.34,12.92,1.8200001,7.2600002,0.15000001,0.0099999998,7.1799998,0.039999999,4.3299999,11.74,0,0,0,0,2.7,0.0099999998,0.25999999,0.029999999,0.28,14.7,9.3299999,3.4200001,0.02,3,0,0,0.12,0,0,0,0,2.26,0.12,0.40000001,0.60000002,8.96,5.3299999
"Netherlands",1066.7,92.800003,6.8000002,0.40000001,0.5,0.69999999,1.1,0,10.8,3.7,2.4000001,2.7,2.7,4.1999998,0.5,32,19.200001,0.5,2.5,40.299999,83.199997,0.40000001,2.3,14.8,95.5,6,625,12.2,0,1872.141,91.959084,850,139.2,57.200001,16.1,0,54.5,21.9,81.400002,24.799999,31.4,497.70001,0.89999998,0,20.5,20.299999,2.2,5.3000002,9.1000004,68.099998,93.199997,256,72.900002,71.5,1,3.7,5.4000001,0.2,4.1999998,2.0999999,2.5999999,0.147,23.6,0.2,0.0040000002,14.1,10.8,17.4,10.4,46.200001,88.699997,5.4000001,0.12800001,0.30000001,4.8000002,21.200001,2,5.3000002,5.4000001,0.2,0.1,0,1.7,9.1000004,0.2,2.5,26.4,0,0,0,0.80000001,0.40000001,14.3,2.9000001,0.2,168,4.3000002,93.699997,18.200001,13.1,14.5,41.5,39.599998,0.1,15.3,151,0,0.40000001,160.5,1.034,27.9,0,9.8000002,2.5999999,5.5,101.3,17.299999,11.4,1.7,5.5999999,0,0,29.9,1,0,0.2,0,13.7,11.8,17.5,52.099998,37.700001,11
"Belgium",733.56732,99.512001,2.0969961,2.1923139,2.4782679,0.47659001,0.857862,0,6.290988,2.3829501,1.239134,0.47659001,2.573586,2.3829501,0.38127199,14.67897,33.456619,1.42977,2.573586,36.22084,66.150703,7.434804,1.42977,18.872959,75.873131,6.4816251,662.93671,30.215811,1358.663,0,0,1527.8521,128.584,51.3764,23.73418,2212.6169,34.12384,18.39637,31.073669,11.43816,17.25256,384.03619,0.57190812,0,11.43816,19.15892,0.76254398,4.7659001,5.9097161,56.046989,52.996811,204.1712,48.802818,39.65229,0.66722602,0,0.095317997,0,1.143816,1.239134,10.10371,0.285954,12.39134,0.19063599,0.19063599,26.689039,0.66722602,7.6254401,5.6237621,5.147172,19.44487,1.715724,1.42977,2.85954,3.145494,408.1517,0.095317997,1.811042,5.5284438,1.525088,2.1923139,0.47659001,0.66722602,0.47659001,0.47659001,1.334452,92.935051,0,0,0,0.47659001,0.095317997,20.969959,26.40309,0.66722602,95.603958,3.717402,110.3783,15.06024,27.16563,6.862896,0.38127199,6.862896,0,37.650612,81.592209,0,1.143816,56.523571,0.095317997,11.81943,0.57190812,4.823091,2.7642219,0.76254398,93.221008,40.98674,20.20742,2.6689041,1.048498,0,2.0969961,4.6705818,0.19063599,0,0,0,13.2492,4.9565358,6.862896,19.44487,66.341331,24.687361
"Luxembourg",36.032639,4.8880038,0.1030039,0.1076859,0.1217319,0.02341,0.042137999,0,0.3090117,0.1170499,0.060865901,0.02341,0.1264139,0.1170499,0.018727999,0.72102737,1.643381,0.070229903,0.1264139,1.779158,3.249305,0.36519569,0.070229903,0.92703521,3.7268691,0.31837571,32.563278,1.484193,66.737167,0,0,75.047707,6.3160119,2.523596,1.165817,108.6832,1.676154,0.90362519,1.5263309,0.56183952,0.84744132,18.86376,0.028092001,0,0.56183952,0.94108123,0.037455998,0.23409981,0.29028371,2.7530141,2.6031899,10.02884,2.397182,1.94771,0.032774001,0,0.0046819998,0,0.056183901,0.060865901,0.49629161,0.014046,0.60865939,0.0093639996,0.0093639996,1.310959,0.032774001,0.3745597,0.27623779,0.25282779,0.95512712,0.084275901,0.070229903,0.1404599,0.15450589,20.048309,0.0046819998,0.088957898,0.27155581,0.0749119,0.1076859,0.02341,0.032774001,0.02341,0.02341,0.065547898,4.5649462,0,0,0,0.02341,0.0046819998,1.030039,1.296913,0.032774001,4.6960421,0.1825978,5.421751,0.73975527,1.3343689,0.33710369,0.018727999,0.33710369,0,1.849388,4.0077882,0,0.056183901,2.776423,0.0046819998,0.58056748,0.028092001,0.236909,0.13577791,0.037455998,4.5789919,2.013258,0.99258322,0.1310959,0.051502001,0,0.1030039,0.2294178,0.0093639996,0,0,0,0.65079743,0.2434638,0.33710369,0.95512712,3.2586689,1.2126369
"France",1465.9,158.89999,14.7,4.5999999,0.89999998,0.60000002,0.40000001,0,29,2.3,0.69999999,0.40000001,1.1,2.3,0.30000001,10.4,41.5,2.2,4.0999999,34.400002,131.2,2.2,5.3000002,81.5,86.800003,8.8999996,788.59998,35.5,1106.7,1888.059,92.740967,0,542.90002,218.8,45.700001,0,49.599998,58.200001,62.700001,30.200001,33.599998,1755.2,0.69999999,0.40000001,46.700001,42.099998,4.5999999,17.299999,53.5,205.2,99.5,345.20001,62.400002,76.199997,1.5,0.1,2.9000001,4.4000001,81.199997,12.2,22,30.299999,184.7,1,3.0999999,15.7,0.2,7.4000001,23.5,84.599998,85.800003,76,13.4,13.5,14.7,62.299999,0.60000002,4.0999999,4.0999999,0.30000001,0.2,0.69999999,5,98.800003,0,0.69999999,86.599998,0,0,0,45.200001,0.1,205.60001,599.59998,43.099998,230,8,79.400002,42.5,245.10001,19.6,6.0999999,3.8,0,34,84.699997,0.40000001,0.89999998,132.10001,1.3,76.900002,0.30000001,2.7,14.6,3.5,160.10001,46.400002,25.200001,2.5,7,0,0.69999999,15,9.6999998,0.0020000001,6,0,72.599998,4.9000001,11.3,23.4,164.39999,54.700001
