"","United States of America","Canada","Bahamas","Cuba","Haiti","Dominican Republic","Jamaica","Trinidad and Tobago","Barbados","Mexico","Guatemala","Honduras","El Salvador","Nicaragua","Costa Rica","Panama","Colombia","Venezuela","Guyana","Ecuador","Peru","Brazil","Bolivia","Paraguay","Chile","Argentina","Uruguay","United Kingdom","Ireland","Netherlands","Belgium","Luxembourg","France","Switzerland","Spain","Portugal","German Federal Republic","German Democratic Republic","Poland","Austria","Hungary","Czechoslovakia","Italy","Malta","Albania","Yugoslavia","Greece","Cyprus","Bulgaria","Romania","Russia","Finland","Sweden","Norway","Denmark","Iceland","Equatorial Guinea","Gambia","Mali","Senegal","Benin","Mauritania","Niger","Ivory Coast","Guinea","Burkina Faso","Liberia","Sierra Leone","Ghana","Togo","Cameroon","Nigeria","Gabon","Central African Republic","Chad","Congo","Democratic Republic of the Congo","Uganda","Kenya","Tanzania","Burundi","Rwanda","Somalia","Ethiopia","Zambia","Zimbabwe","Malawi","South Africa","Lesotho","Botswana","Swaziland","Madagascar","Mauritius","Morocco","Algeria","Tunisia","Libya","Sudan","Iran","Turkey","Iraq","Egypt","Syria","Lebanon","Jordan","Israel","Saudi Arabia","Yemen Arab Republic","Yemen People's Republic","Kuwait","Bahrain","Qatar","United Arab Emirates","Oman","Afghanistan","China","Mongolia","Taiwan","North Korea","South Korea","Japan","India","Bhutan","Pakistan","Bangladesh","Myanmar","Sri Lanka","Maldives","Nepal","Thailand","Cambodia","Laos","Vietnam","Republic of Vietnam","Malaysia","Singapore","Philippines","Indonesia","Australia","New Zealand","Fiji"
"Guatemala",42.347,0.664,0.02,0,0.124,2.897,0.018,1.799,0.131,13.367,0,13.003,2.315,16.867,15.863,3.182,2.227,26.464,0,0.321,0.06,1.427,0.09,0,0.295,1.25,0.008,3.349,0.4,0.542,0.7035,0.0365,2.886,4.951,0.302,0.032,0,0,0,2.003,0,0.966,5.012,0,9,0.033,0.059,0.007,0,0,0,10.559,2.085,3.864,6.082,0.034,0,0,0,9,0,9,0,0.28,0,0,0,0,0,9,0,0.027,9,0,0,9,0,9,0,0,9,0,0,0.09,0,0,0,0.082,9,0,0,0.012,0,0.01,1.53,0,0,0,0.127,0.007,9,0.001,0,0,0,0.009,0.096,0,9,0.7,0.56,9,0,9,9,0,9,6.5,0,0.013,7.531,0.028,0,0.002,0,9,0.105,0,0,0.859,0,0,0,0,0.022,0,0.081,0.001,0.163,0.015,0
"Honduras",52.561,13.709,0.031,2.152,0.121,10.552,7.181,2.818,2.503,4.822,13.003,0,0,2.174,3.94,0.173,1.981,20.676,0,0.004,0.839,0.431,0,0,0.058,0.371,0.012,5.504,0.053,0.784,3.1656,0.1644,0.334,2.634,3.579,0.212,0,0.107,0.41,3.033,0.334,0.953,1.465,0.001,0,2.636,0.215,0,0,0.03,0.008,3.148,0.184,1.233,2.55,0.082,0,0,9,0,0,0,0,9.02,0,0,0,9,0,0,0.014,0,0,9,0,0,0,9.001,0,9,9,0,0,9.001,0,9,0,0.051,0,0,0,0.002,0,0.02,0,0,0.1,0,0.029,0.005,9,0.001,0,0.159,0.411,0.028,0.053,9,0,0.9,0,9,9.045,9,0,0.759,9,1.733,0,0,16.108,0.008,0,0.049,0,1.319,0.043,0,0,0,0,0,9,0,0.076,0,0.029,0.015,0.033,0,9
"El Salvador",16.973,0.075,0.02,0,0.042,0.121,0.146,0,0.024,9.428,2.315,0,0,10.215,6.571,5.242,2.778,15.915,0,0.261,0.882,1.512,0.013,0,0.023,0.588,0.037,8.658,0.009,14.902,5.7989,0.3011,2.06,0.27,1.248,0.15,0,0,0.638,3.387,0.006,0.176,2.258,0,0,5.69,0.15,0,0,0,0,2.024,3.076,0.718,2.242,0.002,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0.023,0,0,0,0,0,0.639,1.88,0,0,0,0,0,0,0,0,0,0,0.24,0,9,0,1,0,0,0,9,0,0.068,0,0,0,0,12.214,0.112,0,0,9.03,0,0,0,0,0.07,0,0,0,0,0,0.008,0.013,0,0.014,0.22,0
"Nicaragua",3.451,0.388,0.01,0,0.152,0.024,0.361,0.368,0,5.81,16.867,2.174,10.215,0,3.715,0.738,2.046,16.891,0,0.012,0.042,0.861,0.004,0.003,0.932,0.998,0.008,6.121,0.048,1.131,4.0212,0.2088,1.314,0.762,0.977,2.701,0,0,2.002,1.161,0,0.355,3.8,0.01,9,0.007,0.003,0,0,0.018,2.477,0.947,1.165,0.621,4.925,0.031,0,0,0,0.002,9,0,0,0.07,0,0,0,0,0.443,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0.037,0,0,0,0,0,0.275,0.015,0,0,0,0,0.002,0,0,0.001,0.002,0,0.216,0,9,0,0,0,0,0,0,0,0,0,4.674,0,0.27,20.075,0.103,0,0.004,9.03,0,0.085,0,0,0.405,0.003,0,0,0,0.193,0.135,0.018,0,0.29,0,0
"Costa Rica",9.951,5.768,0.003,0,0.026,0.253,0.196,0.344,0,10.174,15.863,3.94,6.571,3.715,0,4.524,4.168,22.628,0,0.179,3.429,4.61,0.048,0,0.022,2.382,0.039,13.331,0.637,2.725,3.5174,0.1826,0.001,9.852,0.186,0.267,0,0.148,0.27,5.229,0.099,0.851,22.431,0.069,0.01,2.651,0.32,0,0.077,0.915,8.552,12.284,4.466,5.455,1.503,0.157,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.004,0,0,0,9,0,9,0,0,9,0,0,0.004,0,0,9,0.165,9.086,0.023,0,0.007,0,2.515,0.116,0,1.5,0.022,0.011,0.001,0,0,1.389,0.046,0,0.203,0.992,9,9,0.5,0,0,9,9,9,0.242,9,0.548,0.005,0.108,38.311,0.09,0,0.009,9.03,0,0.011,0,0,0.02,9,0.001,9,0,0.002,0.001,0.059,0.004,0.079,0.584,9
"Panama",101.005,2.615,0.148,0,0.171,0.223,0.345,0.072,0.006,7.305,3.182,0.173,5.242,0.738,4.524,0,0.579,29.796,0.009,51.159,0.674,37.828,0.002,0.002,1.907,3.89,0.042,4.734,0.072,60.068,0.7415,0.0385,4.516,16.424,2.756,0.174,0,0.201,1.112,4.946,0.084,0.475,25.294,0,9,9.108,0.18,0.027,0.002,0.014,0.175,2.684,5.382,1.618,0.537,0.069,9,0,0,0,0,0,0,0.46,0,0,9,0,0,0.003,0.008,0,0,0,0,0,0,0,0,9,0,9,9,0.51,0.001,0.001,0,0.07,0,0,0,9,0,0.005,0,0,0.2,0,0.097,0.029,0,0.013,0,0.014,0,0.125,12.956,0,0,0.3,0,9,0,9,0,0.158,0,2.898,0,0.91,23.353,0.535,0,0.123,0,0,0.021,0,0,0.177,9,9,0,0,0.002,1.971,0.022,0.051,1.256,0.85,0
"Colombia",11.34,3.35,3.16,0.02,0.426,4.22,0.022,0.15,0.306,21.58,2.227,1.981,2.778,2.046,4.168,0.579,0,5.7,0.049,3.73,26.9,10.732,1.783,0.315,0.21,6.13,4.184,18.76,4.77,24.65,1.8252,0.0948,27.82,15.79,10.36,0.46,0,2.97,2.76,3,1.88,0.86,6.99,0.01,0.02,2.19,0.07,0,0.04,1.6,16.51,20.33,9.13,3.45,5.92,0.019,0,0.01,0,0,0,9,0.014,0.01,0,0,0.03,0,0.003,0,0.025,0.08,0,0.01,0.04,0,0.01,0,0.01,0.01,0,9.002,0,0,0.0091,0,9,0.78,9,9,0,0.01,0,1.51,1.39,0.44,0.61,0.01,0.69,0,0.04,0.17,0,0.11,0,0.15,0,9,0,0,0,0.01,0.17,0,9,0.02,9,1.79,0.03,1.37,30.37,0.08,0,0.04,0.03,0,0.17,9,0,0.03,0,9,0.03,0,1.04,1.97,0.12,0,1.61,0.31,9
"Venezuela",754.5,476.9,13.42,0,0.731,27.2,46.746,39.01,6.467,51.7,26.464,20.676,15.915,16.891,22.628,29.796,5.7,0,0.003,7.01,10.71,0.633,0.14,0.048,11.1,16.61,1.731,42.6,0.65,39.3,32.5118,1.6882,35.6,51.2,9.25,6.52,0,0.7,2.7,7.7,0.5,8.2,44.4,0,9,1.42,0.3,0.397,0.3,0.2,3,3.58,6.2,3.19,6.15,0.5,0,0.2,0.642,0.429,1.103,0,2.203,1.26,0,9.349,0,0,0.04,1.887,0.043,0.8,0.002,0.001,9.008,0,0,0,0.4,0,0,0,0,0.088,0,0,0.1,0,0,0,0,0.1,0.007,0.1,4.08,0,0.3,0.5,0.8,0.5,9,1.9,0,0.1,0,1.13,0,9,9,0,0,0,0.1,0,0,5.4,0,2.2,1.4,4.8,202.4,0.03,0,0.2,0,0,0,0,0,0.1,9,0,0,0,6.1,1.1,0,2.2,4.7,0.6,0.029
"Guyana",7.383,6.467,0.02,0,0,0,2.739,25.94,1.737,0.187,0,0,0,0,0,0.009,0.049,0.003,0,0,0.09,0.385,0,0,0,0.855,2.14,2.699,0.272,6.193,1.2453,0.0647,1.59,0.554,1.495,0,0,0,0,0.108,0,0,0.035,0,0,0.46,0.09,0.002,0,0,7.939,0.089,0.349,0.57,0.532,0,0,0,9,0,0,0,0,0,0,9,0,0,0,9.017,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0.001,0,0,0,0,0,0.002,0.04,0,0,0,0,0,0,9,0.211,0,0,0,0,0,0,0,0.2,0,0,0,0,9,0.158,0,0.952,0,0.349,8.997,0.938,0,0.284,0,0,0,0,0,0,0,0,0,0,0.301,0.152,0,0,1.504,0.159,0.001
"Ecuador",61.02,10.67,0.48,0,0,0.06,0.004,53.2,0.002,2.9,0.321,0.004,0.261,0.012,0.179,51.159,3.73,7.01,0,0,10.89,4.219,0.25,0.307,12.36,5.39,0.024,16.27,2.14,0.81,1.7967,0.0933,4.46,1.89,2.87,0.56,0,4.61,0.09,2.52,2.14,0.39,0.27,0.38,9,6.75,24.94,0.001,0.07,0.2,0.66,1.61,1.64,0.27,0.29,0.018,0,9,9,0,9,0,0,0.01,0,0,0,0,0,0,0,9.03,0,9,0,0,9,9,0,9,0,9,9,0,0,0,9,1.76,0,0,0,9,0,1.27,0,0,2.4,0,0.59,0.03,9.1,0.03,0.01,0.03,0,0.13,1.5,0,0,0.3,0,9,0,0,0,0.44,0,1.16,9,0.05,7.94,0.07,0,0.01,9,0,0.13,0,9,0,0,0,0,0,2.24,0.01,0,0.76,0.54,5.98,0
