"","United States of America","Canada","Bahamas","Cuba","Haiti","Dominican Republic","Jamaica","Trinidad and Tobago","Barbados","Mexico","Guatemala","Honduras","El Salvador","Nicaragua","Costa Rica","Panama","Colombia","Venezuela","Guyana","Ecuador","Peru","Brazil","Bolivia","Paraguay","Chile","Argentina","Uruguay","United Kingdom","Ireland","Netherlands","Belgium","Luxembourg","France","Switzerland","Spain","Portugal","German Federal Republic","German Democratic Republic","Poland","Austria","Hungary","Czechoslovakia","Italy","Malta","Albania","Yugoslavia","Greece","Cyprus","Bulgaria","Romania","Russia","Finland","Sweden","Norway","Denmark","Iceland","Equatorial Guinea","Gambia","Mali","Senegal","Benin","Mauritania","Niger","Ivory Coast","Guinea","Burkina Faso","Liberia","Sierra Leone","Ghana","Togo","Cameroon","Nigeria","Gabon","Central African Republic","Chad","Congo","Democratic Republic of the Congo","Uganda","Kenya","Tanzania","Burundi","Rwanda","Somalia","Ethiopia","Zambia","Zimbabwe","Malawi","South Africa","Lesotho","Botswana","Swaziland","Madagascar","Mauritius","Morocco","Algeria","Tunisia","Libya","Sudan","Iran","Turkey","Iraq","Egypt","Syria","Lebanon","Jordan","Israel","Saudi Arabia","Yemen Arab Republic","Yemen People's Republic","Kuwait","Bahrain","Qatar","United Arab Emirates","Oman","Afghanistan","China","Mongolia","Taiwan","North Korea","South Korea","Japan","India","Bhutan","Pakistan","Bangladesh","Myanmar","Sri Lanka","Maldives","Nepal","Thailand","Cambodia","Laos","Vietnam","Republic of Vietnam","Malaysia","Singapore","Philippines","Indonesia","Australia","New Zealand","Fiji"
"Peru",89.24,8.98,0.08,1.48,0.005,0.16,0.066,0.25,0.042,9.45,0.06,0.839,0.882,0.042,3.429,0.674,26.9,10.71,0.09,10.89,0,15.949,7.324,0.378,6.49,8.73,0.449,10.63,0.5,5.79,10.5426,0.5474,20.69,12.25,6.96,0.52,0,21.62,8.91,1.74,4,3.83,6.06,0.01,0,15.17,0.4,0.015,0.08,5.29,13.65,4.96,15.01,2.3,0.51,0.03,0,0,0,0.004,0,0,0,5.46,0,0,0,0.001,0,0,0.01,0,0,0.05,0.01,0,0,0,0,0,0,9,9,0,0,0,0,0.32,0,9,0,0.01,0,0,1.41,0.01,0,2.17,0.34,9.1,0.1,0,0,0.44,0,0.22,0.4,0,0,0.6,0,0,0,0,0.01,37.24,0,1.83,5.35,3.86,123.11,1.3,0,0.56,0.25,0,0.13,0,0,0.01,9,0,0,0,2.24,0.18,0.02,0.45,4.89,23.09,0
"Brazil",935.741,42.834,7.992,0,0.354,1.552,3.685,3.999,0.739,19.612,1.427,0.431,1.512,0.861,4.61,37.828,10.732,0.633,0.385,4.219,15.949,0,5.207,8.308,6.145,172.64,28.273,86.901,2.825,180.777,38.786,2.0139,37.992,119.024,214.653,62.809,0,24.183,7.358,41.697,21.963,3.115,144.769,1.53,9,54.459,14.066,3.246,21.807,5.393,133.02,16.42,65.257,10.037,77.153,0.054,9,0,0,5.025,0.052,0,0.009,1.969,0,9.031,0.673,0.033,0.552,0.028,0.133,0.65,0.892,0.006,9,1.848,15.74,0.021,0.091,0.01,0,0.003,0.09,1.439,64.4849,0,0.009,13.833,0,9,9,0.022,0.048,19.196,28.479,5.688,67.073,32.498,12.319,11.337,174.675,3.855,16.738,16.401,2.26,13.013,423.226,0,0,108.499,0.01,0.1,0,3.733,0.13,64.635,9,51.943,7.155,0.112,152.973,11.084,0,5.826,11.107,0.001,16.983,0,0,4.611,9,9.106,13.465,0,3.901,8.194,0.918,8.38,9.255,5.504,0.159
"Bolivia",9.523,1.041,0,0,0,0,0,0,0.005,0.201,0.09,0,0.013,0.004,0.048,0.002,1.783,0.14,0,0.25,7.324,5.207,0,0.242,13.616,2.142,2.72,41.275,0.43,5.079,8.0899,0.4201,9.484,2.896,0.44,0.14,0,0,0,0.5,0,0,1.739,0,0,0,0.21,0,9,0,0,0.2,3.899,0.03,1.15,0,0,0,0,9,0,0,0,0,9,0,0,9,0,0,0,9,0,9,0,0,0,0,0,9,0,0,0,0,0,9,0,0,9,9,0,9,0,0.04,0,0,0,0,0,0.01,0,0,0,0,0,0.5,0,9,0,0,0,9,0,9,9,0,0,0,0,0,2.505,1.29,0,0,0.03,0,0,0,0,0,0,9,9,0,0,0,0,0,0,0.05,0
"Paraguay",2.673,0.835,0.01,9,0,0,0,0,0.095,0.802,0,0,0,0.003,0,0.002,0.315,0.048,0,0.307,0.378,8.308,0.242,0,0.384,9.407,0.994,1.032,0.035,11.3,5.1334,0.2666,11.301,6.108,3.878,2.765,0,9,9,0.622,9,9,4.314,0.09,0,0.277,0.076,0.031,0,9,9,0.039,1.767,0.31,2.657,0.001,0,0,9,0.086,0,0,0,0.11,0,9,9,0,0.001,0,0.113,0,0,0.007,0,0.04,0,0,9,0,9,0,0,0,9,9,0,0.091,0,0,0,0,0,0.42,5.047,0.77,0,0,0,0.003,9,0,9,9.02,0,0.113,0,0,0,0,0,9,0,0,0,0,0,0.506,9,0.002,1.36,0.091,0,0.015,0,9,0.001,0,0,0,0,9,9,0,0,0,0.001,0,0,0.01,0
"Chile",71.62,10.75,0.02,29.21,0,0.01,0.029,0,0.001,19.85,0.295,0.058,0.023,0.932,0.022,1.907,0.21,11.1,0,12.36,6.49,6.145,13.616,0.384,0,84.71,0.085,76.37,2.93,22,3.774,0.196,3.02,11.11,5.26,0.22,0,0.99,9.93,0.96,0.3,1.7,41.51,0,0,37.92,45.51,0,0.01,12.29,1.95,0.78,21.82,0.21,6,0.003,0,0,0,0.048,9,0,0,0.01,0,9.001,0.5,0,0,9,0,9,0,0,0,0,0,0,0.01,0,0,9,0,0,0.002,0,0,3.93,0,0,0,0,0,3.17,0,0.45,0,0.342,3,0,0,0,0,1.36,0,0.43,26.28,9,9,0,0,0,0,9,0,3.4,0,97.58,0.07,0.44,234.31,0.97,0,1.19,1.26,0,2.08,0,0,0.48,0,0,9,0,4.45,0.07,0,0.21,44.38,4.29,0.001
"Argentina",185.32,31.87,0.04,12.04,0.009,1.27,0.144,0.76,2.64,6.95,1.25,0.371,0.588,0.998,2.382,3.89,6.13,16.61,0.855,5.39,8.73,172.64,2.142,9.407,84.71,0,53.468,155.83,11.88,86.57,66.7158,3.4642,148.84,10.5,129.37,37.57,0,3.24,10.92,1.86,3.47,15.55,351.53,0.59,9.11,6.73,27.87,4.596,0.15,1.75,76.06,17.4,29.1,7.1,20.28,0.013,0,0,5.375,1.642,0,0.64,0,0.09,0,0.014,0.147,0.035,4.918,0.001,0.047,0.2,0,0.008,0.66,0,3.06,0,0.134,0.032,0.09,0.018,0.02,0.01,0.0109,0,0.011,6.21,0,0,9.02,0.01,0.006,10.63,18.47,2.83,1.85,0.007,9.92,0.03,5.47,0.38,1.08,5.79,0.28,42.83,66.76,4.108,0,9.4,0,0,0,0,0,16.05,0,5.47,35.22,0.21,87.76,63.48,0,4.32,11.96,0,4.4,0,0,0.11,0,0,7.14,0,6.01,12.71,0.49,5.97,17.04,0.15,0.008
"Uruguay",14.18,5.085,0,0,0,0.932,0.191,0.757,0,4.189,0.008,0.012,0.037,0.008,0.039,0.042,4.184,1.731,2.14,0.024,0.449,28.273,2.72,0.994,0.085,53.468,0,10.125,0.392,13.724,10.362,0.538,27.548,0.552,38.319,2.874,0,2.815,11.335,9.035,1.95,4.603,21.142,0.011,0,0.916,5.487,0.139,0.103,0.156,11.008,0.331,2.484,0.268,1.608,0.001,0,0,9,0.001,9,9,0,0.09,0,9.596,0,0.001,0,0,0.005,20.48,0,0,0,0,0,0.135,0,0.004,9,0,9,9,0,0.033,9.026,1.434,0,0,0,0.003,0,0.133,0,1.627,0,0.003,2,0.102,8.433,3.15,9,0.086,0.389,7.36,0,9,0,17.409,0,9,0,9,9,0.225,9.014,0.798,0,0.46,10.126,0.053,0,0.187,0.26,9,0.192,0,9,0.038,0,0,9,0,1.356,0.166,0.135,0.89,0.341,0.153,9
"United Kingdom",89.7,695.9,6.69,9.7,3.217,0.3,0.733,48.93,20.037,65.3,3.349,5.504,8.658,6.121,13.331,4.734,18.76,42.6,2.699,16.27,10.63,86.901,41.275,1.032,76.37,155.83,10.125,0,112.16,1001.4,340.2338,17.6664,639.2,715.8,37.77,108.86,0,30.8,171.98,72.1,19.38,29.3,282.9,39.41,0,104.66,81.66,40.56,9.7,61.36,574.7,372.44,499.9,158.89,311.27,2.79,0.2,1.493,0.094,3.039,6.012,32.083,2.952,24.26,1,0.313,0.291,62.874,43.758,6.608,3.839,1.3,19.187,0.193,0.048,6.048,12.9,22.657,49.536,3.501,1.5,0.564,4.869,11.258,82.0945,1.8,7.066,64.1,0.2,28.4,31.6,1.417,31.384,18.06,23.99,13.6,280,58.284,247.2,136.64,3.7,24.3,24.96,81.22,26.3,307.03,645,4.474,2.5,465.7,20.88,62.4,28.1,16.33,21.522,89.5,0.1,65.1,1.1,2.7,328,30.15,0,4.12,34.18,8.602,27.596,9,0.8,103.62,0.5,1.249,4.8,0,12.18,75.3,53.3,66.5,406.53,219.21,4.638
"Ireland",24.43,1.47,0.27,4.72,0.004,0.18,1.289,2.07,0.646,14.41,0.4,0.053,0.009,0.048,0.637,0.072,4.77,0.65,0.272,2.14,0.5,2.825,0.43,0.035,2.93,11.88,0.392,112.16,0,31.44,14.2976,0.7424,11.54,0.86,8.11,9.93,0,3.44,19.31,3.84,1.29,8.01,18.71,0.57,0,0.87,4.35,1.786,0.68,2.16,6.44,28.34,50.03,8.7,23.51,0.134,9,0.068,0,0.499,0.044,0,0.445,2.48,0.15,0.001,0.061,0.305,9.383,0,0.404,0.78,0,0.009,0,0.02,0.09,0.52,1.634,2.91,0,0.19,0,0.453,2.0973,0.01,4.557,0.35,9,0,0.02,0.01,0.336,8.23,0.33,0.52,1.89,0.14,22.59,2.65,0.2,0.15,1.86,0.16,0.08,6.4,15.22,0.055,2.67,14.87,0.14,0.07,0.27,0.01,0.27,3.31,0.01,2.66,0.43,2.67,13.3,13.59,0,0.94,1.07,0.72,0.63,0,9,0.46,0.01,0.01,0.01,0,6.54,0.3,1.55,1.26,3.13,13.14,0.042
"Netherlands",1138.9,25.9,3.15,7.3,0.778,2.4,9.95,7.89,4.375,37.4,0.542,0.784,14.902,1.131,2.725,60.068,24.65,39.3,6.193,0.81,5.79,180.777,5.079,11.3,22,86.57,13.724,1001.4,31.44,0,710.1269,36.8728,334.2,149,39.26,52.33,0,54.8,76.43,58.9,9.13,2.4,525.8,11.71,1.6,28.99,59.54,6.613,11.4,18.25,51.1,25.1,40.5,180.47,171.8,19.329,2.7,0.704,1.143,0.323,2.608,1.614,2.965,21.46,0.3,2.234,37.66,3.229,15.126,10.261,56.146,300.4,21.272,1.609,1.049,4.111,0.6,0.349,1.262,7.899,0,0.535,1.3,3.315,8.6727,0.2,0.365,66.1,9.4,9,0.8,1.326,1.936,4.45,50.04,12.3,28,5.61,464.9,56.85,5.2,12.06,4.75,23.26,10.15,131.35,809.2,5.383,0.2,461.4,5.22,164.86,74.6,1.86,0.483,33.1,0,25.7,3.1,20.1,154.2,23.27,0,26.31,5.48,2.962,2.5,0,0,58.13,0,0.27,6.4,0,54.67,18.73,22.8,11.2,59.67,5.7,2.445
"Belgium",99.437,92.4971,1.0362,8.1755,0.5609,6.8446,9.1071,3.4984,0.4183,22.5301,0.7035,3.1656,5.7989,4.0212,3.5174,0.7415,1.8252,32.5118,1.2453,1.7967,10.5426,38.786,8.0899,5.1334,3.774,66.7158,10.362,340.2338,14.2976,710.1269,0,0,212.1831,117.6891,68.9213,34.223,104.2847,3.8976,58.0554,87.0785,0.7225,0.8556,275.4952,6.3217,0.1901,15.9993,76.6215,9.0501,5.5137,29.8881,32.4168,27.54,13.0238,67.3622,174.5278,8.4797,0,0.9126,1.2643,4.0212,0.9316,8.3466,0.6369,9.8676,3.042,1.1693,28.8234,2.1199,2.3196,1.7016,3.6695,9.6015,2.5762,0.3422,0.5419,0.2377,423.2244,1.0172,1.1693,10.2384,6.1792,0.3707,0.2852,1.2929,0.6179,0.0951,0.5419,101.6232,0.0951,9,0,2.177,4.7722,17.9386,92.8299,9.2782,100.8628,3.5934,66.2595,42.8548,10.6472,2.5762,19.5356,26.6844,7.396,72.4672,305.5353,4.6771,1.521,107.0419,2.2815,6.7876,10.0768,12.6055,0.0951,7.9854,9,5.894,3.5174,3.042,67.4954,35.2117,0,4.506,12.7766,5.989,3.042,9,0.5704,1.8538,0,0.0856,0,0,8.2896,9.4208,2.2815,17.872,31.1049,41.8756,0.2377
"Luxembourg",5.1632,4.8028,0.0538,0.4245,0.0291,0.3554,0.4729,0.1816,0.0217,1.1699,0.0365,0.1644,0.3011,0.2088,0.1826,0.0385,0.0948,1.6882,0.0647,0.0933,0.5474,2.0139,0.4201,0.2666,0.196,3.4642,0.538,17.6664,0.7424,36.8728,0,0,11.0174,6.1109,3.5787,1.777,5.4149,0.2024,3.0145,4.5215,0.0375,0.0444,14.3049,0.3283,0.0099,0.8308,3.9785,0.4699,0.2863,1.5519,1.6832,1.43,0.6763,3.4977,9.0622,0.4403,0,0.0474,0.0657,0.2088,0.0484,0.4334,0.0331,0.5124,0.158,0.0607,1.4966,0.1101,0.1204,0.0884,0.1905,0.4985,0.1338,0.0178,0.0281,0.0123,21.9756,0.0528,0.0607,0.5316,0.3208,0.0193,0.0148,0.0671,0.0321,0.0049,0.0281,5.2767,0.0049,9,0,0.113,0.2478,0.9314,4.8201,0.4818,5.2372,0.1866,3.4405,2.2252,0.5528,0.1338,1.0144,1.3856,0.384,3.7628,15.8647,0.2429,0.079,5.5581,0.1185,0.3524,0.5232,0.6545,0.0049,0.4146,9,0.306,0.1826,0.158,3.5046,1.8283,0,0.234,0.6634,0.311,0.158,9,0.0296,0.0963,0,0.0044,0,0,0.4304,0.4892,0.1185,0.928,1.6151,2.1744,0.0123
"France",1253.3,37.1,3.67,16.9,2.474,7.5,9.824,6.79,1.628,69.9,2.886,0.334,2.06,1.314,0.001,4.516,27.82,35.6,1.59,4.46,20.69,37.992,9.484,11.301,3.02,148.84,27.548,639.2,11.54,334.2,212.1831,11.0174,0,631.6,177.05,107.06,0,25.2,120.38,126,1.6,1.2,778.4998,10.76,1.9,42.9,151.58,24.417,12.2,60.7,143.5,43.87,274.6,93.35,138.89,1.975,0.6,4.573,35.811,45.3,17.267,36.154,13.209,35.14,18.6,28.881,29.338,12.239,17.659,6.396,37.029,283.1,60.663,5.328,20.857,28.123,12,10.074,13.17,7.108,2.8,1.435,3.5,2.406,106.4373,0.5,1.481,22.4,0,0,1,17.417,6.994,10.97,250.42,125.2,44.9,17.442,149.2,41.4,413.4,44.82,24.62,66.21,7.71,56.81,764.9,7.762,2.4,368.7,4.59,86.77,308.6,52.97,0.976,57.5,0.8,4.9,43.2,22.1,6.5,32.5,0,4.27,5.69,0.331,20.381,0,0.9,9.09,7.3,43.369,16.2,0,117.19,10.3,20.7,11.2,235.47,105.16,1.794
"Switzerland",136.4,73.7,0.7,7.9,1.317,3.2,3.933,0.88,0.735,72.1,4.951,2.634,0.27,0.762,9.852,16.424,15.79,51.2,0.554,1.89,12.25,119.024,2.896,6.108,11.11,10.5,0.552,715.8,0.86,149,117.6891,6.1109,631.6,0,128.86,72.28,0,36.9,209.29,48.5,6.85,7,455.4,0.62,1,109,50.24,3.327,11.4,63.69,31.6,29.14,81.1,66.48,25.58,8.819,0,3.337,0.422,0.818,0.177,0.4,0.747,3.76,1.4,1.081,1.042,1.915,5.058,0.662,2.404,0.4,1.038,0.257,0.1,0.656,10,2.501,2.919,3.263,0.3,0.267,1.4,2.753,2.6773,4.2,0.011,88.7,0,1.8,0,0.498,0.48,2.25,3.51,3.58,54.5,3.021,36.6,91.21,6.5,3.26,11.49,50.39,0.75,48.1,12.3,0.086,0.5,3.2,2.94,6.01,29,0.6,1.998,12.8,0.8,22.9,0.1,12.2,85.1,1.01,0,1.72,17.69,1.002,2.2,9,0.1,23.11,0.1,2.793,3.3,0,7.53,41.24,6.9,3.5,91.36,14.13,1.221
"Spain",722.62,22.5,1.75,16.74,0.239,6.28,1.725,0.12,0.454,27.46,0.302,3.579,1.248,0.977,0.186,2.756,10.36,9.25,1.495,2.87,6.96,214.653,0.44,3.878,5.26,129.37,38.319,37.77,8.11,39.26,68.9213,3.5787,177.05,128.86,0,122.1,0,5.54,24.34,9.81,1.34,8.08,297.8,1.95,0.08,16.57,13.14,5.756,2.79,13.23,34.06,19.38,176.84,10.17,0.8,1.107,2.01,0.08,0.084,6.231,1.131,21.2,0,51.63,7.82,1.623,13.746,1.589,18.143,3.323,12.961,2.08,14.135,1.189,0.75,5.117,6.47,4.795,2.675,1.625,1.23,0.09,0.86,4.081,14.0327,0,0.463,48.42,0,0.05,0.27,0.952,0.141,1.01,31.67,9.44,37.43,7.961,95.34,9.93,40.45,5.26,5.47,15.59,2.77,0.68,500.4,0.011,0.01,58.5,0.32,0.18,0,78.5,0.08,14.04,0,6.91,0.14,1.56,162.86,21.19,0,15.57,3.04,0.296,2.96,0,0,4.14,1.01,0.003,0.19,0,48.06,1.54,8.13,19.28,14.39,6.42,0.079
"Portugal",34.75,8.93,0.03,0.17,0.015,0.3,0.078,1.05,0.028,0.22,0.032,0.212,0.15,2.701,0.267,0.174,0.46,6.52,0,0.56,0.52,62.809,0.14,2.765,0.22,37.57,2.874,108.86,9.93,52.33,34.223,1.777,107.06,72.28,122.1,0,0,0.18,19.76,7.16,0.49,1.11,95.66,0.06,0.08,9.53,2.56,1.062,0.68,1.37,0.57,21.81,15.17,16.33,40.85,12.308,9,1.154,0.09,0.82,0,0,2.419,0.96,3.32,0.15,0.008,0,0.032,0,0.089,0.15,0,0.131,0.41,1.51,3.34,2.91,0.04,1.73,0,0,0,0,1.7064,0,0.741,6.22,9,0.06,9.13,0.67,0.186,2.04,0.27,0.16,0.99,5,4.47,25.97,37.98,2.13,0.81,3.42,0.27,0.71,47.68,0,0.48,0,8.91,0,0,0.01,0.33,0.51,0,6.62,0.82,0.36,99.09,0.38,0,2.37,3.16,0.043,0.04,0,9,0.92,9,0.002,0.26,0,5.97,1.24,1.42,1.2,4.06,3.32,0.043
"German Federal Republic",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,104.2847,5.4149,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"German Democratic Republic",15.9,3.2,0,0,0,9,0.036,0,0.122,0.5,0,0.107,0,0,0.148,0.201,2.97,0.7,0,4.61,21.62,24.183,0,9,0.99,3.24,2.815,30.8,3.44,54.8,3.8976,0.2024,25.2,36.9,5.54,0.18,0,0,125.59,19.4,113.89,0,9,0.36,0,62,0.47,0.087,0,16.68,0,1.14,15.3,1.85,1.16,0.515,0,0.252,0.254,0,0.336,0,0.075,2.01,0,9.15,9.228,1.747,0.622,0.217,1.399,1.5,0,0.002,0,0.239,0.1,0.014,1.465,2.131,1,0.629,0.001,2.308,0.0805,0,9,0,0,0,0,0,0.127,2.51,29.57,0.56,0.9,1.502,9.5,2.8,30.3,0.81,8.39,3.46,0.72,0.01,1.2,0.01,0,1.9,9.04,9.03,9,9,0,0,0,0,0,0,22.8,3.45,0,0.92,0.8,0.215,0,0,0,1.46,0,9.004,9,0,0.36,1.1,0,0,2.02,4.86,0.239
"Poland",145.14,0.26,0,0,0.388,0,2.612,0,0.056,3.6,0,0.41,0.638,2.002,0.27,1.112,2.76,2.7,0,0.09,8.91,7.358,0,9,9.93,10.92,11.335,171.98,19.31,76.43,58.0554,3.0145,120.38,209.29,24.34,19.76,0,125.59,0,124.79,134.65,140.82,49.8,0.1,0,21.92,7.44,2.949,31.97,70.64,13.01,34.66,100.76,12,2.11,5.948,9,0.74,0.204,1.247,0.031,0,0.048,2.3,0,9.162,2.526,3.283,14.427,0.517,1.085,14,1.003,0.015,9,0.685,1.2,2.112,3.203,4.512,0,0.082,0,0.116,0.249,0,0.001,0,0,0,0,0,0.022,9.06,0.98,3.03,15.2,0.537,12.9,1.8,16.7,18.49,4.49,5.89,1.44,0,3.8,9.106,0,3.2,1.49,9.26,1.5,9.98,0.096,3.4,0,0,0,0,78.39,15.09,0,15.2,5.05,0.271,0,0,0,2.48,0,9.001,0,0,18.25,14.38,0.1,0,71.82,20.7,0.023
"Austria",25.7,39.2,0.09,1.8,0.162,0.7,0.348,0,0.116,0.7,2.003,3.033,3.387,1.161,5.229,4.946,3,7.7,0.108,2.52,1.74,41.697,0.5,0.622,0.96,1.86,9.035,72.1,3.84,58.9,87.0785,4.5215,126,48.5,9.81,7.16,0,19.4,124.79,0,24.76,11.7,43.2,2.18,2.3,135.64,40.52,2.655,14.3,45.81,44.1,31.02,1.2,30.78,53.93,1.349,0,0.9,0.11,0.473,0.031,0,0.02,6.41,0.3,0.089,0.019,0.246,5.742,0.873,0.071,5.2,0.9,0.135,0.2,0.219,2.2,1.783,0.085,0.696,0,0.031,0.5,0.14,6.0164,0,0.622,3,0,9,9,0.1,2.741,0.3,6.93,4.1,5.3,2.267,10.9,3.11,66.3,2.95,14.18,15.56,2.02,9.78,8.4,0.5,0,4.4,1.64,4.17,2.3,0.24,0.517,5.7,0.3,1.7,3.6,5.9,68.5,2.17,0,2.2,0.75,0.018,1.9,0,0.1,5.91,0,0.021,0,0,6.65,7.89,2,2.4,6.74,0.32,0.084
"Hungary",43.8,8.05,0,3.8,0.05,0,0,0,0.09,0.1,0,0.334,0.006,0,0.099,0.084,1.88,0.5,0,2.14,4,21.963,0,9,0.3,3.47,1.95,19.38,1.29,9.13,0.7225,0.0375,1.6,6.85,1.34,0.49,0,113.89,134.65,24.76,0,211.59,171.67,0.8,3.1,34.92,2.17,0.972,12.29,9.47,91.16,9.93,6,2.12,5.53,0.592,0,0.559,0.016,0.093,9.228,0,0.079,9.16,0,9.018,0.331,1.431,2.113,0.18,0.091,1.7,0.216,0.019,0,0.078,0,2.402,0.763,0.765,0,0.02,0.009,0.825,0.1891,0,9.02,0,0,0,0,0.058,0.173,2.26,1.32,0.57,8.9,0.374,5.89,5.3,9.96,2.44,0.43,6,2.47,4.09,0.7,9.017,0,8.3,0.14,9.54,0,0.01,0,9.57,5.2,0,0.36,0,1.96,6.96,0,0.54,0.51,0.844,0,0,0,0.73,0,0,21.77,0,6.13,1.15,0,0,17.51,0.44,0.13
"Czechoslovakia",34.7,37.3,0.01,0,0.603,9,0.006,9,9.1,4.8,0.966,0.953,0.176,0.355,0.851,0.475,0.86,8.2,0,0.39,3.83,3.115,0,9,1.7,15.55,4.603,29.3,8.01,2.4,0.8556,0.0444,1.2,7,8.08,1.11,0,0,140.82,11.7,211.59,0,46.7,1.31,0,60.61,8.62,0.284,0,1.08,0,7.14,1.6,8.9,14,1.598,0,0.255,0.076,0.076,9.102,0,0.052,0.81,0,9.046,0.947,11.315,3.693,9.397,0.426,10.1,0,0.034,9,0.118,2.3,0.168,1.328,0.985,0.5,0.074,0.175,2.351,1.2995,0,9.448,0,0,0,0,0,0.16,0.85,1.89,0.88,8.7,2.719,29.2,0.25,59,35.98,1.91,20.75,3.26,0.11,18.2,0.91,0,7.3,9.52,9.43,11.5,9.09,0.738,0,0,0,0,0,11.4,17.8,0,3.09,0.05,3.372,0,0,0,3.5,0,9.072,0,0,5.09,3,0.1,0,7.34,0.1,0.173
"Italy",176.1001,106.1,22.65,2,2.975,6,5.938,0.37,2.584,14.4,5.012,1.465,2.258,3.8,22.431,25.294,6.99,44.4,0.035,0.27,6.06,144.769,1.739,4.314,41.51,351.53,21.142,282.9,18.71,525.8,275.4952,14.3049,778.4998,455.4,297.8,95.66,0,9,49.8,43.2,171.67,46.7,0,26.03,0,33.82,171.68,30.166,22.1,47.44,90,9.76,97,32.72,111.87,4.256,0.5,1.378,0.009,0.618,0.658,15.129,0.68,99.61,2.2,1.808,54.196,3.276,16.814,0.16,0.496,25.4,3.337,1.153,1.087,12.301,84.7,4.24,10.292,14.266,2.3,0.935,21.06,8.15,93.1736,0.1,1.623,52.7,0,10.8,10.3,0.37,1.844,15.27,42.58,17.8,350.2,34.037,330.4,5.25,483.9,11.17,28.03,87.41,10.09,102.63,832.9,2.248,2.6,248.1,9.62,54.67,38.5,0.48,4.083,52.1,0.3,23.9,0.2,9.2,75.2,22.94,0,26.11,1.77,2.002,3.9,0,9,13.51,0.1,0.182,6.2,0,62.09,45.57,0.1,45.4,60.3,13.74,0.484
"Malta",11.48,2.17,0.05,0.04,0,0,0.02,0.01,0.02,0.66,0,0.001,0,0.01,0.069,0,0.01,0,0,0.38,0.01,1.53,0,0.09,0,0.59,0.011,39.41,0.57,11.71,6.3217,0.3283,10.76,0.62,1.95,0.06,0,0.36,0.1,2.18,0.8,1.31,26.03,0,9.29,0.19,4.15,0.18,4.71,2.92,1.1,0.46,0.81,0.18,1.03,0.038,0,0,0.01,0.006,0.035,0,0.036,0.62,9,0,0,0.01,0.68,0,0.114,0.8,0.06,0,0.02,0,0,0,0.04,0.01,0,0,0,0.032,0.0155,0,0.011,0.1,0,0,9,0.06,0.002,0.05,0,0.4,2.12,0,0,0.44,0,0.05,0.03,0.11,0.01,1.32,0.4,0.067,0.01,0.2,0.05,0.03,0.34,0.02,0,1.44,0,0.51,9.04,0.02,5.62,0.34,0,0.89,0.01,0,0.12,0,0,0,0,0,0,0,0.01,0.76,0.04,0.33,5.12,1,0.006
"Albania",1,21.3,0,0,0,0,0,0,0,0,9,0,0,9,0.01,9,0.02,9,0,9,0,9,0,0,0,9.11,0,0,0,1.6,0.1901,0.0099,1.9,1,0.08,0.08,0,0,0,2.3,3.1,0,0,9.29,0,3.04,0.5,9,0,1.07,0,0.01,0.4,0.01,0.39,0,0,0,0,9.046,9,0,0,9,0,0,9,0,0,0,0,9,0,0,0,9,0,0,0,0,9,9,0,0.048,0,0,0,0,0,0,0,0,9,0.85,0,0,9.5,0,9.1,0,9,0.18,0,0,0,0,0,9,0,0,0,9,0,0,0,0,0,0,0,0,0.3,9,0,0.01,0,0,0,0,0,0.05,0,9,0,0,0,9,0,0,0,9,0
"Yugoslavia",6.7,27.03,0,2.91,0.01,0.03,0.595,0,0.002,6.29,0.033,2.636,5.69,0.007,2.651,9.108,2.19,1.42,0.46,6.75,15.17,54.459,0,0.277,37.92,6.73,0.916,104.66,0.87,28.99,15.9993,0.8308,42.9,109,16.57,9.53,0,62,21.92,135.64,34.92,60.61,33.82,0.19,3.04,0,2.37,0.777,1.08,16.34,1.83,6.01,1.52,16.26,0.62,0.498,0,0,0.02,0.191,0.036,2.03,0,9.93,2.22,0.105,0.018,0.066,4.774,0,3.325,1,1.29,1.889,3.31,0.107,0.03,0.389,1.928,3.277,0,0.009,0.06,7.296,21.1491,0,0.057,0,0,2.96,0,0.232,0.004,20.19,7.72,5.43,31.76,3.203,105.82,2.06,18.92,4.6,1.68,3.86,0.23,7.61,2.9,0.024,0.06,6.65,0.03,0.06,2.3,0.01,0.023,32.64,0.12,0,1.88,0.16,35.06,15.22,0,3.06,1.63,0.361,1.83,0,0.12,0.15,0,0.042,0.09,0,17.35,0.17,0.37,3.16,64.1,16.06,0.001
