"","United States of America","Canada","Cuba","Haiti","Dominican Republic","Mexico","Guatemala","Honduras","El Salvador","Nicaragua","Costa Rica","Panama","Colombia","Venezuela","Ecuador","Peru","Brazil","Bolivia","Paraguay","Chile","Argentina","Uruguay","United Kingdom","Ireland","Netherlands","Belgium","Luxembourg","France","Switzerland","Spain","Portugal","Poland","Hungary","Czechoslovakia","Italy","Albania","Yugoslavia","Greece","Bulgaria","Romania","Russia","Finland","Sweden","Norway","Denmark","Iceland","Liberia","Ethiopia","South Africa","Iran","Turkey","Iraq","Egypt","Syria","Lebanon","Jordan","Israel","Saudi Arabia","Yemen Arab Republic","Afghanistan","China","Mongolia","North Korea","India","Pakistan","Myanmar","Sri Lanka","Nepal","Thailand","Philippines","Australia","New Zealand"
"Argentina",604,36,0.2,0.02,0.008068,3.8,0,0,0,0,0,0.1,2.7,40.700001,2.9000001,9.3000002,133.5,1.3,2.4100001,19,0,8.1000004,208.3,0.1,3.8706861,0,0,7.8751559,32.599998,11.6,1.5,0.76999998,0.30000001,2.3,131.3,0,3.2,0.050000001,0,4.6999998,0.60000002,14.4,36.900002,2.26,0.68000001,0,0,0.00134,7.4000001,0.2,0,0,0.050000001,0.050000001,0,0,0,7.4000001,0,0,0,0,0,9.1000004,0,0.60000002,0,0,0,0,0,0
"Uruguay",67.400002,5.3000002,0.34,0,0.0099999998,0.80000001,0,0,0,0,0.1,0,0,4.1999998,1.6,6.9000001,19.5,0,1.99,1.2,16.5,0,25.200001,0,1.46,0,0,3.49,4,0.80000001,0.40000001,0,0,0.88,6.1999998,0,0.0099999998,0.039999999,0,0,0,0.1,5.5,0.34,0.15000001,0,0,0,0.60000002,0,0.30000001,0,0,0,0,0,0,0,0,0,0,0,0,5.6999998,0,0,0.30000001,0,0,0.1,0,0.1
"United Kingdom",738.5,874.29999,117.81,3.0899999,25.83,19.6,1.5,0.1,0,0.2,0.2,0,2.3,12,0.60000002,31,95.699997,38,7.02,31.700001,490.89999,23.5,0,174.60001,178.66,0,0,185.07001,38.900002,70.400002,33.799999,36.200001,24.5,25.91,121.6,0,18.5,23.66,0.60000002,13.2,109.3,140.39999,223.8,74.360001,170.21001,13.1,0,0.56999999,130.3,145.5,26.5,29.200001,191.73,1.3,0,0,51.799999,21.4,0,0,33.299999,0,0,388.29999,45.5,24.5,103.8,0,5,3.9000001,680.70001,438.10001
"Ireland",45.799999,11.5,4.8000002,0,0,0.60000002,0,0,0,0,0,0,0,0.1,0,0.1,2.2,0,0,2.2,37.099998,0.69999999,296.20001,0,8.6300001,0,0,4.6100001,1.6,3.8,2,0.69999999,0.1,1.6799999,2,0,0,0.58999997,0.1,0,0,5.4000001,9.5,0.75,1.21,0.1,0,0,4.1999998,3.4000001,1.7,0.1,0.2,0,0,0,1.1,0.1,0,0,0.30000001,0,0,18.6,0.30000001,0.1,1.3,0,0.1,0.1,21.5,1.6
"Netherlands",324.19,50.099998,19.84,0.2,1.5,10.4,0.2,0.2,0.1,0.1,0.2,0,0.80000001,12.5,0.60000002,3,25.790001,0.2,0.30000001,5,99.129997,14.3,173.85001,8.1000004,0,0,0,89.839996,48.48,13.9,5.5999999,12,6.5999999,50.189999,21.02,0,19.700001,2.4000001,0.30000001,4.1999998,3.4000001,30.299999,73.82,27,14.5,4.0999999,0,0,6.1999998,7,0.80000001,0,3.0999999,2.4000001,0,0,2.5999999,0,0,0,2.5,0,0,21.4,0,0.5,5,0,1.7,1,9.21,5.0999999
"Belgium",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Luxembourg",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"France",384.51001,30.219999,21.549999,0.63,0.31,9.8000002,0.12,0.02,0.31,0.60000002,0.60000002,0,0.95999998,38.060001,0.1,2.9300001,21.790001,0.75999999,0.63,18.959999,54.439999,2.8,61.02,0.5,52.470001,0,0,0,44.419998,13.63,6,22.35,1.86,11.51,36.860001,0,2.49,3.5599999,0.89999998,0.19,6.9200001,14.81,30.82,16.440001,16.559999,1.78,0,0,23.540001,21.889999,5.25,32.099998,41.060001,3.3,0,0,0.30000001,48.599998,0,0,5.0100002,0,0,35.84,0,0,0,0,0.090000004,11.12,96.709999,23.790001
"Switzerland",222,22.9,14.9,1.22,0.30000001,2.8,0.69999999,0.1,0.5,0.1,2.5,0,1.2,2.4000001,0.80000001,5.6999998,22.299999,0,0.99000001,6.3000002,88.900002,7.5,82.699997,2.0999999,35.43,0,0,91.440002,0,16.5,5.0999999,14.64,6.4000001,34.290001,69.5,0,7.9099998,2.1300001,1.2,1.4,4.9000001,4.5,31.200001,3.8800001,23.280001,0.1,0,1.8,2.8,16.200001,6.4000001,0,9.2700005,0.1,0,0,0.60000002,1.2,0,0,9.6000004,0,0,9.1000004,0,0,2.3,0,4.4000001,6.1999998,9.1999998,0.89999998
"Spain",31.4,0.40000001,2.96,0,0.34,5.6999998,0,0,0,0,0.1,0,0,1.9,0,0.1,37.099998,0,0,5.1999998,114.8,0.1,42.299999,0.60000002,3.26,0,0,0.81999999,12.3,0,2.0999999,0,0,0.12,7.3000002,0,0.1,0.001187,0,0,0,0.5,11,1.6900001,1.1900001,0,0,0.005845,2.3,1.7,0.89999998,0,2.8199999,0,0,0,0.1,8.6000004,0,0,0.30000001,0,0,18.5,0,0,0,0,0,1.3,1.5,0
"Portugal",94.300003,4.1999998,2,0,0.0095229996,1.7,0,0,0,0,0,0.2,0.30000001,10.1,0.1,0.1,7.5,0,0.1,3.0999999,20.6,1.6,92.800003,0.1,9.6300001,0,0,14.07,11.3,3.2,0,0.0083179995,0,1.23,5.1999998,0.000079999998,0,0.0099999998,0,0,0,0.2,11.1,7.6799998,4.4099998,0,0,0,5.9000001,2.4000001,0,0,1.52,0,0,0,0,0,0,0,0.2,0,0,2.7,0.40000001,0.1,0.2,0,0,0.1,3.2,0.1
"Poland",55.669998,5.29,0.11,0,0,0.11,0,0,0,0,0,0,0,0,0,1.2,0.86000001,0,0,7.5799999,0,0.66000003,188.23,0,16.059999,0,0,0,1.83,0,0.00042500001,0,4.4000001,0,19.91,0,28.709999,0,6.5999999,6.27,129.69,8.9099998,11.45,2.4300001,14.52,1.98,0,0,2.75,0,0.33000001,0,2.53,0,0,0,0.22,0,0,0,0,0,0,0.11,0,0,0,0,0,9.2399998,4.5100002,2.3299999
"Hungary",8.6000004,0.1,0,0,0,0.1,0,0,0,0,0,0,0,0,0,0,0.1,0,0,0,0.5,0.1,23.200001,0,9.1999998,0,0,0,12.5,0,0,4.5999999,0,0,3.2,0,25.299999,0.1,1.5,4.1999998,24.700001,0.40000001,5.5,0.15000001,0.89999998,0.1,0,0,0.1,0,1.3,0,2.8,0,0,0,0.30000001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Czechoslovakia",36.5,13.32,0,0,0,0,0,0,0,0.000004,0,0,0,0,0,0,11.2,0,0,0,15.98,0,77.880508,0,40.82,0,0,18.67,35.790001,0.1,0,44.439999,20.799999,0,17.98,0,48.02,6.9499998,11.9,29.5,120.1708,0,40.029999,9.3900003,10.09,0,0,0,1.04,0,13.74,0,21.129999,0,0,0,2.6400001,0.76999998,0,0,0,0,0,17.379999,5.5999999,0,0.22,0,0,0,3.6700001,0
"Italy",553.70001,29.6,13.7,1.8,0.40000001,6.1999998,0.2,0,1.3,0.1,0.69999999,1.5,0.60000002,4.5999999,1.8,2.3,35.299999,0.1,0.30000001,14.4,180,8.3000002,56.299999,0.60000002,17.43,0,0,13.73,43.700001,9.1999998,5.1999998,18.4,1.9,18.610001,0,0.1,18.959999,10.97,2.2,0.2,4.0999999,1.4,23.200001,8.6499996,21.040001,1.4,0,10.5,17,36.400002,9.3000002,14,23.32,0.95999998,0,0,2.2,24.299999,0,0,1.9,0,0,37.099998,0,0,0.5,0,0.30000001,3.8,67.900002,4.6999998
"Albania",0.34,0.079999998,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.25999999,0,0,0,0,0,0.00026999999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000527,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Yugoslavia",8.0100002,2.05,0,0,0,0.2,0,0,0,0.000017,0,0,0,0,0,0.001419,0.02,0,0,0.059999999,0,0.40000001,48.560001,0.1,22.799999,0,0,0,12.8,0,0,23,13.6,0,33.5,0,0,0,5.1999998,5.3000002,34,1.9,5.0999999,0.029999999,0.40000001,0,0,0,0.12,0.60000002,2.4000001,0,5.8000002,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0.30000001,0.69
"Greece",238.46001,8.8100004,2.5,0,0,0.69999999,0,0,0,0,0,0,0,0,0,0.000018999999,0.38999999,0,0,2.4000001,0,0.2,221.14,0,3.8,0,0,0,0.40000001,0.0069840001,0.02,0.40000001,0.1,0,16.5,0,0.69999999,0,0,0.80000001,0,4.3000002,1.9400001,0.31,1.3,3.0999999,0,0,1.9299999,12.4,11.1,0,4.3000002,0,0,0,3.8,0,0,0,0,0,0,3.0999999,0,0,0,0,0,0,2.2,1.25
"Bulgaria",2,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.4200001,0,0.76999998,0,0,0,1.87,0,0,8.8000002,1.87,0,3.74,0,3.52,0,0,2.2,82.5,0,1,0.0099999998,0,0,0,0,0,0,1.1,0,0.33000001,0,0,0,1.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Romania",8,0.40000001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.7,0,0,0,18.1,0,3.9000001,0,0.80000001,0,0,0,3.9000001,0,0,5.4000001,2.3,0,3.7,0,1.9,0,0.69999999,0,0,0,0.80000001,0.1,0.2,0.1,0,0,0,0.89999998,1.2,0,0.89999998,0,0,0,0,0,0,0,0,0,0,0.1,0,0,0,0,0,0,0,0
"Russia",28,0.1,0,0,0,10.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.7,0,28.5,0,4.3000002,0,0,0,7.5999999,0,1,110.7,28.4,0,3.4000001,0,45.400002,0,64.300003,0,0,145.60001,16.9,3.9200001,18.6,0.89999998,0,0,0,2.8,0.1,0,49.799999,0,0,0,0,0,0,0,0,0,0,16.200001,16.6,0,1.2,0,0,0,0,8.5
"Finland",50.299999,2.2,0.1,0,0,0.30000001,0,0,0,0,0.2,0,1.7,1.7,0,0,7.0999999,0,0,1.5,21.299999,2.3,97.900002,0.5,27.9,0,0,0,4.8000002,1,0.30000001,34.5,0.40000001,0,3,0,1.4,3,0.60000002,0.2,51.200001,0,23,2.1300001,37.099998,0,0,0,1,4,4.1999998,0,0.30000001,0,0,0,0.1,0,0,0,0.2,0,0,0,0,0,0,0,0.1,0,1.4,0.40000001
"Sweden",192.5,9.8999996,2.72,0.1,0,3.8,0.60000002,0,0.2,0.1,0.30000001,2.2,3.5,16.700001,0.1,1.2,30.9,0,0,2.7,30.4,2.9000001,239.10001,0.30000001,70.129997,0,0,71.449997,24,14.6,5.1999998,80.690002,5.1999998,31.469999,46.799999,0,7.8000002,2.5799999,1.4,4.9000001,12.6,20.5,0,42.66,42.900002,2.2,0,0.19,7,17.4,6.6999998,0.30000001,7.5500002,0,0,0,1.5,10.9,0,0,3.5999999,0,0,19.1,0,1.5,0,0,1.4,2.5999999,16.6,5.1999998
"Norway",100.13,25.6,4.2199998,2.0699999,0.0070560002,0.79000002,0.003024,0.079999998,0.029999999,0,0.000202,0.81,0.000202,4.0599999,0.63999999,0.61000001,16.799999,0,0.1,0.16,12.86,0.28,137.38,0.039999999,25.190001,0,0,34.060001,7.3600001,6.1199999,2.29,23.07,1,8.9200001,29.450001,0,0.55000001,0.76999998,0.11,0.0099999998,27.200001,5.3099999,99.25,0,37.34,0.28999999,0.02,0.0099999998,4.9699998,15.26,0.92000002,0.1,0.22,0.0099999998,0.0052410001,0,0,0,0,0,2.6700001,0,0,3.4000001,0.40000001,0.1,0.69999999,0,0.31,3.9000001,5.1599998,1.51
"Denmark",102.94,4.1999998,0.006883,0.1,0,1.25,0,0,0,0.00026100001,0,0.69999999,0,0.029999999,0,0.60000002,15.15,0,0.1,0.0020860001,17.379999,0.80000001,185.35001,0.0099999998,16.879999,0,0,22.77,20.059999,4.0300002,1.75,39.66,1.23,10.75,23.75,0,0.40000001,0.18000001,0.44,0.25,28.77,29,47.16,31.02,0,2.8499999,0,0,0.60000002,0,0.30000001,0,1.12,0.1,0,0,0,0,0,0,0.89999998,0,0,4,0,0.2,0.46000001,0,0.69,7.9000001,1.6799999,1.03
"Iceland",13.2,3,0,0,0,0,0,0,0,0,0,0,0,4.0999999,0,0,0.30000001,0,0,0,0.60000002,0,20.9,0.1,3.8,0,0,0,0.2,0.1,0.1,2.0999999,0.1,0,1.9,0,0,0.1,0,0,0.1,1.8,3.4000001,0.16,6.1999998,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0,0,0,0,0,0,0
"Liberia",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0099999998,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Ethiopia",4.6700001,0.059999999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.67,0,0.2,0,0,0,0.029999999,0.001473,0.00044999999,0,0,0,2.8,0,0,0,0,0,0,0,0.050000001,0.001541,0,0,0,0,0.0099999998,0,0,0,0.1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
