"","United States of America","Canada","Cuba","Haiti","Dominican Republic","Mexico","Guatemala","Honduras","El Salvador","Nicaragua","Costa Rica","Panama","Colombia","Venezuela","Ecuador","Peru","Brazil","Bolivia","Paraguay","Chile","Argentina","Uruguay","United Kingdom","Ireland","Netherlands","Belgium","Luxembourg","France","Switzerland","Spain","Portugal","Poland","Hungary","Czechoslovakia","Italy","Albania","Yugoslavia","Greece","Bulgaria","Romania","Russia","Finland","Sweden","Norway","Denmark","Iceland","Liberia","Ethiopia","South Africa","Libya","Iran","Turkey","Iraq","Egypt","Syria","Lebanon","Jordan","Israel","Saudi Arabia","Yemen Arab Republic","Afghanistan","China","Mongolia","Taiwan","North Korea","South Korea","Japan","India","Pakistan","Myanmar","Sri Lanka","Nepal","Thailand","Cambodia","Laos","Philippines","Indonesia","Australia","New Zealand"
"Japan",473.5,112.5,46.4,0,0.99,81.6,0.1,1.32,0.5,2.49,1.4,0.8,3.4,11.5,1.23,11.2,26.89,0.09,0.1,0.5,39.6,13.3,23.1,2.3,9.1,1.6299,0.0701,11.9,0.7,11.8,2.8,0,0.1,0,2.6,0,0,4.2,0,0,2.1,1.7,0.3,1.3,0.5,0,0,3.2,8.6,0,0.3,3.8,11.4,20.2,0.3,0.4,1,0.2,95.6,0,0,25.2,0,0,0,98.3,0,49,90,20.9,12.4,0,32.1,0,0,40.59,78.3,164.38,8.6
"India",58.1,9.2,10.88,0.5,1.32,3.1,0.3,0.11,0.1,0.11,0.5,0.11,0,0.6,0.33,4,0.1,0.33,0.2,0.3,43.4,3.1,20.5,8,13.5,0.3835,0.0165,7.1,14.5,0,0.9,0.1,0.1,3.1,25.9,9,0,0.9,0,0,0.2,3.5,8.8,4.6,1.9,0,0,8.5,3.1,0,0,2.9,1.2,35.2,3,0.4,0.3,0.1,21,0,0,0.6,9,0,0,1.4,49,0,23.5,7.5,32,0,4.8,0,0,1.81,16.9,17.89,3.1
"Pakistan",10.5,0.2,0,0,0,0.1,0,0,0,0,0,0,0,0,0,0.1,0,0,9,0.1,0,0,28.4,1.4,0.4,12.7517,0.5483,31.3,1.5,9.6,0.7,2.6,0.3,0.4,12,0,0.6,1.4,0.7,0,7.3,0.3,3,0.9,0.1,0,0,0,2.5,0,6.7,0.2,0.8,0.6,0,0.1,0,3.1,3.6,0,0,3.9,0,0,0,0,90,23.5,0,0.1,0.4,0,0.1,0,0,0.22,0.1,4.7,0.01
"Myanmar",1.1,0.1,9,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,9,0,0,9,24.5,0.1,4.1,0.1918,0.0082,0.4,0.8,0.1,0,0,0,0,2.3,0,0,0,0,0,0,0.1,0.1,0.7,1,0,0,0,0.3,0,0.1,0,0.2,1.1,9,0.1,0,0,3,0,0,0.2,9,0,0,0,20.9,7.5,0.1,0,27,0,0.3,0,0,0,43.8,4.4,0.1
"Sri Lanka",22.1,12.7,0.11,0,3.7,0.4,0,0,0,0,0.5,0,0,0,0.11,0.2,0,0,0,0,0,0.3,9.6,0.7,5.2,0.2876,0.0124,1.8,0.7,0.3,0,0.6,0.1,0.2,1.9,0,0,0.1,0,0,0,0.5,1.5,0.2,0.1,0,0,1.5,12.7,0,0.3,0.9,10.7,10.8,0.9,0.4,0.7,0.1,1.8,0,0,6.9,0,0,0,0,12.4,32,0.4,27,0,0,1.3,0,9,0.66,0.5,6.68,5.84
"Nepal",0,0,0,0,0,9,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,9,0,9,0,0,0,0,0,0,9,0,0,0,9,0,0,0,0,0,0,9,9,9,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Thailand",21,0.5,0.11,0,0,0,0,0,0,0,0,0,0,0.1,0,0,0,0,0,0,0,0,37.5,0,5.7,4.0269,0.1731,4,4.5,0,0.1,0,0,9,4.2,0,0.1,0,0,0,0,0.3,2.9,0.5,2.6,0,0,0,0.3,0,0,0,0.6,0.7,0,0,0,0,0,0,0,0,0,0,0,0,32.1,4.8,0.1,0.3,1.3,0,0,0,0,0.2,9.2,4.09,0.11
"Cambodia",0,0,9,0,0,9,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,9,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Laos",0,0,0,0,9,9,0,0,0,0,0,9,9,0,0,0,9,9,9,0,0,0,0,0,0,0,0,0,0,0,0,9,0,9,0,9,0,0,9,0,9,0,0,0,0,0,0,0,0,0,0,0,9,0,9,9,0,0,0,9,0,0,0,0,9,0,0,0,0,0,9,0,0,0,0,0,0,0,0
"Philippines",110.21,9.13,0,0,0,0,0,0,0,0,0,0.11,0.5,5.7,0.2,0,0.3,0,0,0,0.66,0.22,1.58,0.6,4.13,2.0805,0.0895,0.79,4.23,2.91,0.11,0,9,0,0.82,0,0,0,9,0,0,0.11,1.13,1.59,0.99,0.1,0,0,0.76,0,9.68,0,0.1,0,0.2,0.1,0,0,7.05,0,0,0.28,0,0,0,1.5,40.59,1.81,0.22,0,0.66,0,0.2,0,0,0,10,1.21,0.1
"Indonesia",92,0.3,0.11,0,0,0.2,0,0,0,0,0,0,0.1,0,0,0.2,0,0,0,0,0,0,34.1,0.5,40.1,15.8198,0.6802,6.4,0.7,1.9,0.2,4,1.4,2.6,3.8,0,0,0.1,0,0,0,0.1,5.3,2.6,1.7,0,0,0,1.7,0,1.3,0.4,8.8,1.4,0.1,0,0,0,0,9,0,2.1,0,0,0,0,78.3,16.9,0.1,43.8,0.5,0,9.2,0,0,10,0,33.23,8.36
"Australia",30.08,19.56,0,0,0,3.59,0,0,0,0,0,0,0.4,2.33,0,0.01,2.75,0.22,0,0.04,1.1,0.56,151.06,13.16,3.35,58.1882,2.5018,154.4,11.57,0.06,1.03,11.39,0.35,6.64,96.05,0,1.7,1.79,0,0.5,31.33,0.41,8.34,2.78,0.71,0,0,0.01,1.99,0,0.16,6.99,0.05,0.13,0.01,0,0,0.29,17.99,0,0,0.17,0,0,0,13.5,164.38,17.89,4.7,4.4,6.68,0,4.09,0,0,1.21,33.23,0,59.62
"New Zealand",26.6,2.46,0.11,0,0,0.5,0,0,0,0,0,0.55,0,1.87,0,0.6,0.11,0,9,0.1,0.11,0.1,190.95,7.49,2.48,5.5513,0.2387,50.15,3.38,0.28,0.13,10.1,0,0.36,15.76,9,0,1.1,0,0.1,0.11,1.08,4.25,1.01,0.48,0,0,0.11,1.7,0,0,0.11,0.22,0.4,0,0.2,0,0.1,1.56,0,0,0.55,9,0,9,0.1,8.6,3.1,0.01,0.1,5.84,0,0.11,0,0,0.1,8.36,59.62,0
