"","United States of America","Canada","Cuba","Haiti","Dominican Republic","Mexico","Guatemala","Honduras","El Salvador","Nicaragua","Costa Rica","Panama","Colombia","Venezuela","Ecuador","Peru","Brazil","Bolivia","Paraguay","Chile","Argentina","Uruguay","United Kingdom","Ireland","Netherlands","Belgium","Luxembourg","France","Switzerland","Spain","Portugal","Poland","Hungary","Czechoslovakia","Italy","Albania","Yugoslavia","Greece","Bulgaria","Romania","Russia","Finland","Sweden","Norway","Denmark","Iceland","Liberia","Ethiopia","South Africa","Libya","Iran","Turkey","Iraq","Egypt","Syria","Lebanon","Jordan","Israel","Saudi Arabia","Yemen Arab Republic","Afghanistan","China","Mongolia","Taiwan","North Korea","South Korea","Japan","India","Pakistan","Myanmar","Sri Lanka","Nepal","Thailand","Cambodia","Laos","Philippines","Indonesia","Australia","New Zealand"
"Luxembourg",0.2061,1.0553,0.0359,0.2515,0.0136,0.5771,0.033,0.0066,0.0412,0.0251,0.0412,0.0453,0.0783,0.371,0.0091,0.033,0.9036,0.0693,0.0206,0.0701,1.7685,0.4493,1.7685,0.2927,2.865,0,0,4.3408,0.2927,0.0247,1.1089,0.4947,0.1443,0.0948,1.5665,0,0.4246,0.5565,0.0041,0.4287,0.0082,0.0866,0.0577,0.7544,1.2738,0.0618,0,0.0453,0.371,0,0.4246,0.8368,0.6761,0.1566,0.0412,0.2515,0.0247,0.4658,0.0082,0,0,0.2391,9,0,0,0.1195,0.0701,0.0165,0.5483,0.0082,0.0124,0,0.1731,0,0,0.0895,0.6802,2.5018,0.2387
"France",184.4,10,12.35,4.3,0.39,5.2,0.2,0.12,0.7,0.22,0.5,0.66,34.6,4.2,0.76,4.5,39.23,0.14,0.1,2.9,38.4,1,67.2,8.2,1.2,100.9592,4.3408,0,48.3,13.8,9.3,4.1,1.3,2.3,62.1,0,21.4,14.3,0.8,6.9,0.8,0.4,3.9,10.4,16.4,0.4,0,0.6,28,0,1,12.9,187.4,7.4,3.2,8.2,2.1,4.4,67.4,0,0,1.3,0,0,0,0,11.9,7.1,31.3,0.4,1.8,0,4,0,0,0.79,6.4,154.4,50.15
"Switzerland",28.7,24.1,1.19,1.1,0.56,2.8,2.1,0.01,0.3,0.12,1.9,0.22,6.1,8.4,0.2,0.5,1.11,1.65,0,0.3,0.6,11.5,15.7,3.3,18.7,6.8073,0.2927,48.3,0,2.4,8,0.6,1.7,3.5,5.7,0,0.1,1.1,0.3,2.1,1.2,5.6,14,7.4,7.2,0.3,0,1.4,5.1,0,0.3,7.4,1.2,1,1.1,3.1,0.2,7.3,1.1,0,0,10.3,0,0,0,0,0.7,14.5,1.5,0.8,0.7,0,4.5,0,0,4.23,0.7,11.57,3.38
"Spain",3.8,10.1,3.25,0,0.42,0.6,0,0.11,0.1,0.01,0.3,0.22,0.3,18,0.12,0.2,1.66,0.44,0.7,2.6,8.1,2.2,40,5.1,0.8,0.5753,0.0247,13.8,2.4,0,1.1,0,0,0,7.9,0,0,0.9,0,0,0,0.1,8.3,4.2,3.3,0.5,0,0,2,0,1.1,9,0.8,11.8,0.6,0.3,0.1,3.2,47.3,0,0,0,0,0,0,0,11.8,0,9.6,0.1,0.3,0,0,0,0,2.91,1.9,0.06,0.28
"Portugal",9.5,1.4,0.29,0,0,2.1,0,0,0,0,0,0,0.5,1.4,0,0.5,4.09,0,0,0.4,1.7,0.1,21.2,2.1,4.3,25.7911,1.1089,9.3,8,1.1,0,0.2,0.1,0.1,0,0,0,0.3,0,0.2,4.5,0.4,2.4,1.5,2.7,2.1,0,0,0.3,0,0.1,0.4,0.5,0.6,0.1,0.1,0,1.5,14.9,0,0,0.1,0,0,0,0,2.8,0.9,0.7,0,0,9,0.1,0,0,0.11,0.2,1.03,0.13
"Poland",15,0.1,0.1,0,0,0,0,0,0,0,0,0,0,0.3,0,0,0.49,0,0,0,2.7,0.2,44.5,0,0.4,11.5053,0.4947,4.1,0.6,0,0.2,0,0,9,6.6,0,0,0.2,0,0,0,24.4,0.1,2.7,9.5,0.9,0,0,2,0,0,0.1,0.1,1.1,0.8,0.3,0.1,0.3,0,9,0,0,0,0,0,0,0,0.1,2.6,0,0.6,0,0,0,9,0,4,11.39,10.1
"Hungary",2,0,0,0.1,0,0,0.1,0.11,0,0,0,0,0,0.1,0,0,0,9,0,0,1.7,0,3.4,0,3.6,3.3557,0.1443,1.3,1.7,0,0.1,0,0,9,2.6,0,0,0.5,0,0,0,0.8,0.3,0.1,0.4,0.1,0,0,10,0,0,0.1,0.5,2.5,0.8,0.3,0.3,0,0,9,0,0,0,0,0,0,0.1,0.1,0.3,0,0.1,0,0,9,0,9,1.4,0.35,0
"Czechoslovakia",2,2.8,0.77,0.2,0.33,0.5,0.4,0.11,0.1,0,0.1,0,0.8,1.2,0.12,0.3,0.12,0.11,0,0.1,3.3,0.2,15.7,0.5,1.4,2.2052,0.0948,2.3,3.5,0,0.1,9,9,0,1.6,9,0,0.6,9,9,9,13.6,4.3,2.9,0.5,0.7,0,0,3,0,9,3.5,1.8,0.2,1.1,0.9,0.4,0.1,9,0,0,9,0,0,0,0,0,3.1,0.4,0,0.2,0,9,0,9,0,2.6,6.64,0.36
"Italy",154.8,18.6,2.71,5.2,0.7,5,0.5,0.08,1.3,0.37,0.6,0.95,2,7.8,3.65,0.4,12.79,0.05,0.2,7.2,14.5,9.2,66.8,5.2,20.3,36.4335,1.5665,62.1,5.7,7.9,0,6.6,2.6,1.6,0,0.1,2.5,35.3,0.6,0.3,14,1,4.8,4.2,16.4,2.3,0,2.6,24.1,0,0.6,19,106.6,6.9,0.7,1.2,2,7,80.2,0,0,2.7,0,0,0,4.5,2.6,25.9,12,2.3,1.9,9,4.2,0,0,0.82,3.8,96.05,15.76
"Albania",0,9,0,0,9,0,9,0,0,9,0,9,0,9,9,0,9,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,9,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,9,0,0,0,9
"Yugoslavia",100.8,9.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3,1.2,0,0.4,0,0.2,0.1,0.6,0,9.1,9.8754,0.4246,21.4,0.1,0,0,0,0,0,2.5,0,0,4,0,0,0,0.1,4.6,0.7,0.4,0,0,0.1,0.8,0,0.1,12.7,8.5,0.8,0.5,0.2,0.3,1.9,0.2,0,0,0,0,0,0,0,0,0,0.6,0,0,0,0.1,0,0,0,0,1.7,0
"Greece",29.2,0.3,0.4,0,0,0.4,0,0,0,0,0,0,0,0.1,0,0,3.51,0.1,0.1,0.7,1.2,0.2,13.3,1.3,4,12.9435,0.5565,14.3,1.1,0.9,0.3,0.2,0.5,0.6,35.3,0,4,0,0.1,0.2,1.7,0.7,8,1.2,1.7,0.9,0,1.2,0.6,0,0,5.4,0.3,2.5,0.7,0.2,0.6,0.1,0.6,0,0,0,0,0,0,0,4.2,0.9,1.4,0,0.1,0,0,0,0,0,0.1,1.79,1.1
"Bulgaria",0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0.2,0,0.6,0.0959,0.0041,0.8,0.3,0,0,0,0,9,0.6,0,0,0.1,0,0,0,0.4,0,0.1,0.1,0,0,0.2,0,0,0,0.7,0,0.4,0.1,0.1,0,0.5,0,9,0,0,0,0,0,0,0,0,0.7,0,0,0,0,0,9,9,0,0,0
"Romania",0,0.1,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.6,0,3.9,0,1.5,9.9713,0.4287,6.9,2.1,0,0.2,0,0,9,0.3,0,0,0.2,0,0,0,19.4,2.3,0.1,0.3,0,0,0,0,0,0,0.2,0.1,1.5,1.8,0.9,0.1,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0.1
"Russia",12,0.9,0.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.3,0.2,77.3,0.8,8.6,0.1918,0.0082,0.8,1.2,0,4.5,0,0,9,14,0,0,1.7,0,0,0,55.9,11.8,1.8,12.4,3.9,0,0,0,0,0,2.3,0.1,0.3,0.1,0,9,1,0,0,0,0,0,0,0,0,2.1,0.2,7.3,0,0,0,0,0,9,0,0,31.33,0.11
"Finland",17.6,0.7,0.16,0,0.11,0.5,0.1,0,0,0,0.1,0,0.8,0.6,0.11,0.7,17.35,0,0,0.5,0.6,0.3,77.7,5.2,0.9,2.0134,0.0866,0.4,5.6,0.1,0.4,24.4,0.8,13.6,1,0,0.1,0.7,0.4,19.4,55.9,0,7.8,2.5,5.2,0.8,0,0,1.6,0,0.1,3.8,0.2,5.6,0.8,0.6,0.2,2.5,0.1,0,0,3.9,9,0,0,0.1,1.7,3.5,0.3,0.1,0.5,9,0.3,0,0,0.11,0.1,0.41,1.08
"Sweden",11,5.7,2.91,0.1,1.11,5.9,1.7,0.01,0.3,0.79,0,0.04,0.7,16.2,0.08,3.2,6.38,0.99,1.2,0.8,10.1,5,66.8,10,6.4,1.3423,0.0577,3.9,14,8.3,2.4,0.1,0.3,4.3,4.8,0,4.6,8,0,2.3,11.8,7.8,0,63.4,43.9,0.1,0,0.3,7.5,0,0.1,7.5,0.5,8.2,1.2,1.3,0.4,3.8,5.2,0,0,1.1,0,0,0,0.2,0.3,8.8,3,0.1,1.5,9,2.9,0,0,1.13,5.3,8.34,4.25
"Norway",5.5,36.5,0.92,0.5,0.11,0.8,0.1,0,0.1,0,0.1,1.5,0.3,7.6,0.01,0.7,8.17,0.11,0.4,1.1,2.9,0.8,82.5,1,22.4,17.5456,0.7544,10.4,7.4,4.2,1.5,2.7,0.1,2.9,4.2,0,0.7,1.2,0.1,0.1,1.8,2.5,63.4,0,7,0.6,0,0.2,1.6,0,0.1,0.1,0.4,4.8,0.2,0.1,0,0.1,0.1,0,0,2.7,0,0,0,3.9,1.3,4.6,0.9,0.7,0.2,9,0.5,0,0,1.59,2.6,2.78,1.01
"Denmark",1.7,1.9,0.12,0.1,0.22,0.6,0.1,0,0.3,0.44,0.1,0.22,0.4,3.4,0.19,1.3,1.77,0.22,0.2,0.5,1.2,0.9,76,3.9,53.2,29.6262,1.2738,16.4,7.2,3.3,2.7,9.5,0.4,0.5,16.4,0,0.4,1.7,0.1,0.3,12.4,5.2,43.9,7,0,4,0,0,0.6,0,0.1,4.4,0.9,1.2,0.5,0.5,0.1,0.8,0,0,0,1.7,0,0,0,0,0.5,1.9,0.1,1,0.1,0,2.6,0,0,0.99,1.7,0.71,0.48
"Iceland",10.1,0.5,0.05,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0.63,0,9,0,0,0,4,0.4,1.6,1.4382,0.0618,0.4,0.3,0.5,2.1,0.9,0.1,0.7,2.3,0,0,0.9,0,0,3.9,0.8,0.1,0.6,4,0,0,0,0,0,0,0,0,0.1,0,0,0,0.3,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0,0
"Liberia",0,0,0,0,0,0,9,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Ethiopia",28.5,0.1,0,9,9,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,9,3.2,0,0.2,1.0547,0.0453,0.6,1.4,0,0,0,0,0,2.6,0,0.1,1.2,0.2,0,0,0,0.3,0.2,0,0,0,0,0.1,0,0.6,0,0.1,0.1,0,0.5,0.3,0.6,0.5,18.8,0,0.1,0,0,0,0,3.2,8.5,0,0,1.5,9,0,9,0,0,0,0.01,0.11
"South Africa",108,46.5,0.11,0,0,0.1,0,0,0,0.1,0.1,0,0.3,5.1,1.7,0.4,5.9,0,0.2,0.1,1.8,0.3,242.1,1.8,6,8.629,0.371,28,5.1,2,0.3,2,10,3,24.1,0,0.8,0.6,0,0,0,1.6,7.5,1.6,0.6,0,0,0.1,0,9,0,1.7,0,1.2,9.4,0.5,0,2.9,28,0,0,0,0,0,0,0,8.6,3.1,2.5,0.3,12.7,0,0.3,9,0,0.76,1.7,1.99,1.7
"Libya",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Iran",19,0.4,2.5,0,0,0.9,0,0,0,0,0,0,0,0.1,0,0,0,0,0,0,0.1,0,5.8,0,1,9.8754,0.4246,1,0.3,1.1,0.1,0,0,9,0.6,0,0.1,0,0,0,0,0.1,0.1,0.1,0.1,0,0,0.6,0,0,0,0.1,1.4,0.2,0.8,0.9,0,0.1,0,9,0,0,0,0,0,0,0.3,0,6.7,0.1,0.3,0,0,0,0,9.68,1.3,0.16,0
"Turkey",30.7,1.3,0,0,0,0,0.1,0,0,0,0,0,0,0.2,0,0,8.09,0,0,0,0,1,51.4,1.1,13.7,19.4632,0.8368,12.9,7.4,9,0.4,0.1,0.1,3.5,19,0,12.7,5.4,0.7,0.2,2.3,3.8,7.5,0.1,4.4,0,0,0,1.7,0,0.1,0,0.5,5.5,2.8,0.8,0.2,3.6,15.9,0,9,0,0,0,0,0,3.8,2.9,0.2,0,0.9,0,0,0,0,0,0.4,6.99,0.11
"Iraq",11.5,1.2,0,0,0,0.1,9,0,0,0,0,0,0,0,0,0,0.8,0,9,0,0,0,108.3,0,8.6,15.7239,0.6761,187.4,1.2,0.8,0.5,0.1,0.5,1.8,106.6,0,8.5,0.3,0,0.1,0.1,0.2,0.5,0.4,0.9,0,9,0.1,0,0,1.4,0.5,0,1.7,0.5,6,2.1,0,1.4,0,0,2.7,0,0,0,0,11.4,1.2,0.8,0.2,10.7,0,0.6,0,9,0.1,8.8,0.05,0.22
