"","United States of America","Canada","Cuba","Haiti","Dominican Republic","Mexico","Guatemala","Honduras","El Salvador","Nicaragua","Costa Rica","Panama","Colombia","Venezuela","Ecuador","Peru","Brazil","Bolivia","Paraguay","Chile","Argentina","Uruguay","United Kingdom","Ireland","Netherlands","Belgium","Luxembourg","France","Switzerland","Spain","Portugal","Poland","Hungary","Czechoslovakia","Italy","Albania","Yugoslavia","Greece","Bulgaria","Romania","Russia","Finland","Sweden","Norway","Denmark","Iceland","Liberia","Ethiopia","South Africa","Iran","Turkey","Iraq","Egypt","Syria","Lebanon","Jordan","Israel","Saudi Arabia","Yemen Arab Republic","Afghanistan","China","Mongolia","Taiwan","North Korea","South Korea","India","Pakistan","Myanmar","Sri Lanka","Nepal","Thailand","Philippines","Indonesia","Australia","New Zealand"
"United States of America",0,2101,436,24,41,338,57,21,55,20,26,11,335,347,37,53,767,38,7,172,221,114,359,3,91,144.38741,5.612576,141,118,54,26,12,2,28,116,0,20,19,3,0,41,37,76,44,13,5,0,13,152,25,66,14,58,13,5,0,9,26,0,0,161,0,0,0,3,278,34,1,71,0,81,253,167,151,69
"Canada",2162.1001,0,4.1999998,1.8,1.1,33.200001,5.8000002,5.5999999,0.80000001,0.30000001,3.4000001,5.4000001,13.4,88.400002,1.4,4,28.6,2.4000001,0.30000001,1.3,11,2.8,409.60001,0.1,9,22.331921,0.86807841,14.9,14.6,3.5,2.0999999,0.30000001,0,6.0999999,9.5,0,0.1,0.1,0,0,0.1,0.1,5.1999998,1.4,1.4,0.2,0,0,5,0.1,1.2,1.2,0.69999999,0,0,0,0.40000001,28.4,0,0,5.3000002,0,0,0,0,37.599998,1.7,0,17.799999,0,1.1,6.5,0.69999999,33.599998,12
"Cuba",448.25,17.27,0,1.1,0.11,7.1500001,0,1.98,1.3200001,0.11,0,0,0.33000001,0.44,0.22,0,0.11,0,0.11,3.3,0.55000001,0,9.3500004,0.11,2.2,6.0353942,0.2346057,2.97,2.0899999,7.1500001,0.66000003,0.11,0,0.66000003,2.8599999,0,0,0,0,0,0,0.33000001,1.87,1.98,0.22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.11,0,0,0,0,21.120001,0,0,0,0,0,0,0,0,0
"Haiti",28.4,1.9,0.2,0,0,0.40000001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.7,0,0.2,0.77006632,0.0299337,0.60000002,0.2,0,0,0,0,0.1,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0,0,0,0.30000001,0,0,0,0,0,0,0,0,0
"Dominican Republic",35.310001,2.2,0.11,0.1,0,0.55000001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.1,0,0.11,0.52942061,0.0205794,0.22,0.22,0.33000001,0,0,0,0.11,0.33000001,0,0,0,0,0,0,0,0.11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.65,0,0,0,0,0,0,0,0,0
"Mexico",429.60001,11.4,0,0,0,0,0.30000001,0,0,0,0,0,0,0,0,0.1,0.1,0,0,0.2,0.80000001,0.40000001,11.6,0,1.7,3.946589,0.1534104,6,5.3000002,2.8,0.69999999,0,0,0.60000002,3.9000001,0,0,0,0,0,0,0.2,7.0999999,0.60000002,0.1,0,0,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0.2,0,0,0,0,0.30000001,0,0,0.5,0,0,0,0.2,4.0999999,0.60000002
"Guatemala",48.700001,2.2,0,0,0,4.5,0,0.1,1.5,0,0,0,0,0.30000001,0,0.30000001,0,0,0,0,0,0,2.2,0,0.30000001,1.251358,0.0486423,0.5,0.60000002,0.2,0,0,0,0.5,0.5,0,0,0,0,0,0,0,0.30000001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.60000002,0,0,0,0,0,0,0,0,0
"Honduras",28.16,0.33000001,0.55000001,0,0.11,1.1,0.11,0,1.76,0.11,0,0,0,0.11,0,0.33000001,0,0,0,0,0,0,0.88,0,0,0,0,0.11,0.11,0,0,0,0,0,0.11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"El Salvador",31.700001,1.3,0.2,0,0,1,0.2,2.0999999,0,0.40000001,0,0,0,0,0,0.80000001,0,0,0,0.2,0,0,1.6,0,1.2,0.5775497,0.0224503,0.40000001,0.5,0.1,0,0,0,0.1,1.1,0,0,0,0,0,0,0,0.60000002,0,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Nicaragua",22,0.33000001,0,0,0,0.55000001,0,0,0.22,0,0.11,0.11,0,0,0,0.11,0,0,0,0,0,0,0.76999998,0,0,0.1058841,0.0041159,0.11,0.11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Costa Rica",30.9,2.2,0,0,0,0.60000002,0,0.40000001,0.1,0.2,0,0.1,0,0,0.1,0.1,0,0,0,0,0,0,2.5,0,0.2,0.67380798,0.026192,0,0.40000001,0,0,0,0,0.1,0.60000002,0,0,0,0,0,0,0,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.30000001,0,0,0,0,0,0,0,0,0
"Panama",48.400002,2.0899999,0.33000001,0,0,1.1,0.22,0.22,0.11,0.1,0.22,0,0.66000003,0,0.55000001,0,0,0,0,5.2800002,0.33000001,0,2.4200001,0,0.33000001,0.63530469,0.0246953,0.66000003,0.44,0,0,0,0,0,0.33000001,0,0,0,0,0,0,0,0.44,0,0.11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.11,0,0,0.44
"Colombia",255.39999,10.1,0.30000001,0.2,0,0.80000001,0,0,0,0.1,0.5,0.5,0,0.80000001,3.3,7.5,1.1,0,0,1.1,2.3,0.69999999,16.9,0,2.5,7.1231132,0.27688709,5.8000002,6.9000001,0.30000001,0.5,0,0,0.60000002,3.4000001,0,0,0,0,0,0,1.4,7.9000001,0.1,0.60000002,0,0,0,0.30000001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.1,0
"Venezuela",404.79999,22.700001,3.3,0,0.2,1.8,0,0.2,0.1,0.2,0.2,0.30000001,1.7,0,2.0999999,3.2,1.4,0,0,0.40000001,4.0999999,0.30000001,43.5,0.1,7.6999998,9.3370533,0.36294651,11.3,6.0999999,3.2,1.3,0,0.1,1.9,14.4,0,0.30000001,0,0,0,0,0.30000001,4.3000002,0.60000002,4.5,0,0,0,2,0,0.1,0,0,0,0,0,0,0,0,0,0.80000001,0,0,0,0,0.69999999,0,0,0.1,0,0.1,4.0999999,0.40000001,0.1,0
"Ecuador",30.25,1.3200001,0,0,0,0.2,0,0,0,0,0,0,0.11,0,0,0.55000001,0,0,0,0.55000001,0,0,3.6300001,0,0.11,1.1647249,0.045274802,0.66000003,1.1,0,0,0,0,0.22,0.88,0,0,0,0,0,0,0.11,0.99000001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.11,0,0,0,0,0,0,0,0,0
"Peru",98.599998,3.8,0.30000001,0,0,0.40000001,0,0,0,0.2,0.1,0,0.30000001,0,4.5999999,0,0,0,0,2.2,6.8000002,0.30000001,30.9,0,3.3,2.310199,0.0898012,3.4000001,4.5999999,0.30000001,0.1,0,0,1,2.9000001,0,0,0,0,0,0,0.2,3.0999999,0.40000001,0.40000001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0.1,0,0,0,0,5.1999998,0
"Brazil",416.45999,13.97,0,0,0,1.1,0,0,0,0,0,0,0,18.92,0,0.55000001,0,0.11,0,16.719999,120.67,8.9099998,148.94,0,27.610001,67.130524,2.609473,56.209999,18.370001,8.25,7.6999998,0.66000003,0,9.1300001,15.62,0,1.54,0.55000001,0,0,0,6.5999999,52.470001,15.62,9.0200005,0.22,0,0,3.4100001,0,0.33000001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.54,1.98,0,0,0,0,0,0,0.99000001,0
"Bolivia",25.85,2.0999999,0,0,0,0,0,0,0,0,0,0,0,0,0,6,1.21,0,0,3.1900001,10.78,0,4.29,0,0.22,1.482378,0.057622399,0.22,1.21,1.1,0,0,0,0,0.22,0,0,0,0,0,0,0,0.76999998,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Paraguay",3,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0.60000002,1.5,0,0.40000001,1.347616,0.052384,0.30000001,0.69999999,0,0,0,0,0,0.60000002,0,0.1,0,0,0,0,0,0.60000002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0,0,0,0,0,0,0,0
"Chile",118.5,2.2,9.1999998,0,0,0.30000001,0,0,0,0,0,0,0,0,1.7,17.9,11.2,0.1,0,0,13.4,0.1,28.6,0,1.7,3.7540729,0.145927,5.0999999,3.7,6.5,0.2,0,0,0,2.8,0,0,0,0,0,0,0.30000001,4.5999999,1,1.2,0,0,0,0.40000001,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0,0,0,1.7,0,0,0,0,0,0,0,0.69999999,0
"Argentina",146,12.2,0,0,0,0,0,0,0,0,0,0,0,0,0.5,9.3999996,75.699997,2.0999999,0,17.6,0,1.3,108.9,0,16,9.6258287,0.3741717,0,14.9,12,0.60000002,0,0,0,64.5,0,8.1000004,0,0,0,0,10.5,21,4.4000001,2.8,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23.1,3.4000001,0,0.40000001,0,0,0,1.6,0.1,0
"Uruguay",39.200001,1.8,1.2,0,0.1,0.5,0,0,0,0,0,0,0.60000002,5.3000002,0.60000002,5.6999998,17.200001,0,5,0.40000001,3.0999999,0,45.700001,0,0,8.566987,0.33301279,14.5,3.2,1.7,0.30000001,0.40000001,0,1.3,7.3000002,0,1.1,0,0,0.2,0,1.3,6.6999998,0.30000001,0,0,0,0,1.4,0.30000001,0.2,0,0,0,0,0,0,1.4,0,0,1.9,0,0,0,0,1.7,0,0,0.5,0,0,0,0,0,0
"United Kingdom",592.29999,504.60001,105.5,1.4,40.700001,15.8,0,0.60000002,1,0.60000002,0,0,0.5,45.099998,0.60000002,37.900002,113.7,31.6,3.8,16.1,267.60001,38,0,175,240.10001,117.2426,4.5574112,307.29999,35.5,69.699997,33.400002,53.400002,1,24.5,143,0,31.6,9.8000002,0.1,1.5,95.800003,94.5,184.5,78,282.5,2.4000001,0,2.3,144.60001,133.7,32.599998,24.299999,112.2,5.5999999,0.69999999,0,14.3,22.9,0,0,30.1,0,0,0,0.69999999,275.29999,73,7.0999999,77.800003,0,10.6,4.3000002,35.599998,615.09998,374.89999
"Ireland",61.799999,17,5.3000002,0,0.40000001,0.2,0,0,0,0,0,0,0,0.2,0,0.2,1.4,0,0.1,0.1,3.2,0.5,236.2,0,8.1000004,6.5455632,0.25443679,7.0999999,1.9,2.7,1.3,2.8,0,1.3,2.7,0,0.2,4.5999999,0,0,0,7.0999999,10.2,0.80000001,1.5,0.1,0,0,2,1,1.5,0.89999998,0.60000002,0.1,0,0,0.60000002,0.30000001,0,0,1.6,0,0,0,0,13.5,0.60000002,0,1.2,0,0.30000001,1.2,0.69999999,2.5,1.9
"Netherlands",237,8.6999998,26.5,2.2,0.89999998,4.5,1.7,0.2,0.1,0.40000001,2.0999999,0.1,0.69999999,15.2,0.30000001,1.9,18.799999,0.40000001,1.5,1.7,44.900002,6.4000001,203.2,5.9000001,0,363.1825,14.1175,100.2,28.5,11.6,5.3000002,6.6999998,6.9000001,23,20.1,0,5,0.80000001,0.1,1.8,2.3,31.9,68.599998,18.299999,10.3,2.5999999,0,0.1,15.7,10.9,4.6999998,11.1,6.1999998,1.7,0,0,1.5,18,0,0,12.5,0,0,0,0.5,15.2,4,0.69999999,2.7,0,11.2,1.9,134.10001,24.1,6.9000001
"Belgium",293.68399,56.599869,3.5615571,5.2942061,0.86632448,18.38533,2.310199,0.096258298,0.48129141,1.636391,0.3850331,0,2.0214241,4.1391058,2.0214241,10.29964,39.17712,1.058841,1.732649,2.117682,28.20368,13.76493,181.4469,1.925166,188.18491,0,0,214.3672,64.974342,11.16596,10.01086,6.6418209,4.235364,11.26222,30.41762,0,5.486722,0.67380798,0.096258298,0.1925166,10.58841,15.78636,44.471329,9.7220869,9.144537,0,0,0.096258298,18.770361,17.42275,6.4493051,5.0054312,6.2567878,6.4493051,0,0,0.96258283,2.0214241,0,0,7.5081458,0,0,0,0,17.615259,8.0856953,1.347616,2.2139399,0,2.0214241,5.0054312,6.6418209,80.856956,8.0856953
