"","United States of America","Canada","Cuba","Haiti","Dominican Republic","Mexico","Guatemala","Honduras","El Salvador","Nicaragua","Costa Rica","Panama","Colombia","Venezuela","Ecuador","Peru","Brazil","Bolivia","Paraguay","Chile","Argentina","Uruguay","United Kingdom","Ireland","Netherlands","Belgium","Luxembourg","France","Switzerland","Spain","Portugal","Poland","Hungary","Czechoslovakia","Italy","Albania","Yugoslavia","Greece","Bulgaria","Romania","Russia","Finland","Sweden","Norway","Denmark","Iceland","Liberia","Ethiopia","South Africa","Iran","Turkey","Iraq","Egypt","Syria","Lebanon","Jordan","Israel","Saudi Arabia","Yemen Arab Republic","Afghanistan","China","Mongolia","Taiwan","North Korea","South Korea","India","Pakistan","Myanmar","Sri Lanka","Nepal","Thailand","Philippines","Indonesia","Australia","New Zealand"
"Yugoslavia",48.599998,0,1.3,0,0,0.89999998,0,0,0,0,0,0,0,0,0,0,2.5999999,0,0.2,0,13.5,0,0,0,8.3999996,3.657815,0.1421852,5.8000002,6,0,0,0,0,0,25,0,0,0,0,0,0,0.80000001,3.0999999,0.1,0.80000001,0,0,0,1.6,4.4000001,0.89999998,1,10.4,0,0,0,0.2,0.69999999,0,0,0,0,0,0,0,0.30000001,3.9000001,0,0.2,0,0,0,0.2,6.6999998,4.4000001
"Greece",138.89999,1.2,4.8000002,0,0,1.9,0,0,0,0,0,0,0.5,0,0,0,2.2,0,0,0.60000002,1.2,0.69999999,53,0.1,8.6000004,19.54043,0.75956851,15,2.0999999,0,0.40000001,0,0,0.89999998,26.299999,0,0.89999998,0,0,0.40000001,0,3.3,15.9,3.8,4.5999999,1.9,0,0,0,14.9,10.8,0,1.1,0,0,0,0,0,0,0,0,0,0,0,0,2.4000001,0,0,0,0,0,0,0,7.5,0
"Bulgaria",1,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.3,0,0,0.3850331,0.0149669,0.30000001,1.6,0,0,0,0,0,1.9,0,0,0,0,0,0,0.2,0.60000002,0,0.1,0,0,0,0,0,0.89999998,0,0,0,0,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Romania",2,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.8,0,0.60000002,1.443874,0.0561257,0.40000001,5.0999999,0,0,0,0,0,3.0999999,0,0,0,0,0,0,2.2,0,0,0.40000001,0,0,0,0,0,0.30000001,0,0.89999998,0,0,0,0.30000001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.40000001,0
"Russia",1,0.1,0.1,0,0,0.89999998,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39.700001,0,0.5,19.73295,0.76705199,2.5999999,3.9000001,0,1.1,0,0,0,20,0,0,0,0,0,0,64.5,21.799999,8,1,0,0,0,0,0,0.40000001,0,25.200001,0,0,0,0,0,0,0,0,0,0,0,0,2.9000001,11.4,0,0,0,0,0,0,23.6,2.9000001
"Finland",22.700001,0.5,0.89999998,0,0,0.40000001,0,0,0,0,0,0,2.4000001,1,0,0,13.7,0,0,0,15.9,0.60000002,63.5,0.1,27.4,15.11255,0.58744961,20.700001,3,1.4,0.1,27.4,1.8,7.9000001,11.8,0,0.69999999,3,0.40000001,2.7,23.6,0,24,6.3000002,26,0,0,0,0.89999998,1.5,2.0999999,0,1.6,0,0,0,1.3,0,0,0,0.1,0,0,0,0,0.89999998,1.5,0,0.40000001,0,0,0,1.7,7.3000002,0.5
"Sweden",101.2,3.9000001,1.2,0,0,7.1999998,0,0,0.2,0.1,0,0,4.6999998,6.9000001,0,0.30000001,38.700001,0,1.3,3.3,29.1,7,234.60001,1.5,52.799999,44.567581,1.732415,75,14.7,10.4,4.8000002,39.900002,1.1,21.1,32.900002,0,4.6999998,1.6,0.60000002,0.30000001,5.9000001,13.1,0,35,41.299999,1.6,0,0.40000001,8.5,27.6,5.3000002,0.30000001,4,0.2,0.1,0,2.0999999,11.4,0,0,4.5999999,0,0,0,0,5.3000002,2.5,0.5,5.3000002,0,1.4,1,3.7,16.700001,2.5999999
"Norway",82.5,12.3,3.8,0,0,0.40000001,0,0,0,0,0,0,0,2.2,0,0,16.1,0.30000001,0.40000001,0.5,6.9000001,0.1,150.2,0,30.6,13.3799,0.52009863,43.900002,6,7.4000001,2.2,11.9,1,8.6999998,11.5,0,0.30000001,0.69999999,0,0,10.3,5.5,98.099998,0,26,0.5,0,0.30000001,1.6,14.8,0.69999999,0.80000001,0.69999999,0,0,0,1.2,0.2,0,0,2.5999999,0,0,0,0,3.2,0.2,0.30000001,0.5,0,0.5,2.5999999,2.0999999,7,2.3
"Denmark",78.800003,0.5,0,0,0,0.2,0,0,0,0,0,0,0,0,0,0.60000002,16.200001,0,0,0.2,6.5999999,0.2,269,0.2,28.9,14.43874,0.56125748,72.900002,14.3,11.7,5.4000001,25.799999,0,6.4000001,16.6,0,1.1,0,0,1.2,3.8,29,68.199997,29.700001,0,0.80000001,0,0,1.1,0.30000001,3.9000001,0,2.8,0.1,0.30000001,0,5.0999999,0,0,0,2.8,0,0,0,0,3.4000001,0,0.40000001,0,0,0.5,0.80000001,0.1,3.0999999,1.3
"Iceland",7.4000001,0.69999999,0.30000001,0,0,0,0,0,0,0,0,0,0,0,0,0,0.69999999,0,0,0,0,0,8.8000002,0,1,0.48129141,0.0187086,0.40000001,0.2,0.69999999,0,2.5,0,1.3,0.69999999,0,0,0,0,0,0,1.2,1.1,0.60000002,2.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
