"","United States of America","Canada","Cuba","Mexico","Guatemala","Honduras","El Salvador","Nicaragua","Costa Rica","Panama","Colombia","Venezuela","Ecuador","Peru","Brazil","Bolivia","Paraguay","Chile","Argentina","Uruguay","United Kingdom","Netherlands","Belgium","Luxembourg","France","Switzerland","Spain","Portugal","Germany","Poland","Austria","Hungary","Czechoslovakia","Italy","Albania","Yugoslavia","Greece","Bulgaria","Romania","Russia","Estonia","Latvia","Lithuania","Finland","Sweden","Norway","Denmark","Liberia","Ethiopia","South Africa","Iran","Turkey","Afghanistan","China","Mongolia","Japan","Nepal","Thailand","Australia","New Zealand"
"Sweden",34.98,0,0,0,0,0,0.83,0,0,0,0,0,0,0,4.72,0,0,0,5.09,0,32.35,1.24,2.37,0,2.5512,0.83,1.18,0.73,47.6964,0.1,0.72,0,0.21,1.21,0,0.01,0.4,0,0,5.03,0.17,24.3,0.0783,1.74,0,9.53,0.1705,0,0,5.37,0,0,0,0,0,6,0,0,4.82,0
"Norway",26.73,4.82,0.3185,0.03,0,0,1.259,0,0.0001,0,0,0,0,0.1,0.87,0,0,2.6835,3.31,0.0099,16.44,7.2,3.44,0,0.6472,1.29,2.46,1.63,27.87,0.0742,0.29,0.02,0.34,5,9,0.03,0.07,0.009,0.31,1.5,0.0151,0.01,0.0383,0.17,9.53,0,3.3782,0,0,9,0,0.18,0,1.69,0,0.04,0,0.0497,1.2,0.0045
"Denmark",84.2391,0,0,0.08,0.0013,0,0.157,0,0.0068,0,0,0.62,0,0.0479,5.2738,0,0,5.5715,9.2836,0,74.974,11.3858,3.42,0,7.6429,7.7662,0.75,0.57,86.213,0.22,0,0,0.75,0.24,0,0.03,0.01,0.01,0,3.3246,0,70.5,0.0185,0.282,0.1705,3.3782,0,0,0,0,0,0,0,4.0287,0,0.37,0,0.39,9.84,0
"Liberia",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.06,0,0,9,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Ethiopia",0.01,9,0,0.03,0,0,0,0,0,0,0,9,0,9,0,0,0,0,0,0,0.8,0.0014,0,0,9,0,0.0034,0,9,0,0,0,0,0,0,0,0.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"South Africa",31.54,7.93,0,0,0,0,0,0,0,0,0,0,0,0,2.68,0,0,0,0.21,0,120.54,0.71,2.4,0,1.26,2.2751,0,0,6.24,0,0,0,9,0,0,0,9,0,0,0,0,0,0,0,5.37,9,0,0,0,0,0,0,0,0,0,2.25,0,0,6.08,0.16
"Iran",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0.01,0,0,0.23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Turkey",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.79,0.53,5.66,0,17.8617,0,0,0.1286,9,0,0,0,0,0,9.12,0.02,0.83,3.66,2.39,0.13,0,0,0,0,0,0.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Afghanistan",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.9549,0,0,0,0,0,0,9,0,0,0,9,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"China",37.44,8.4,0,0,0,0,0,0,0,9.54,0,0,0,0,0,0,9,0,0,0,95.52,0.53,6.91,0,15.6646,3.05,0,0,4.11,0,0,0,0,2.26,9,0.0026,0.02,0,0,6.88,0,0,0,0,0,1.69,4.0287,0,0,0,0,0,0,0,0,73.35,0,3.96,3.97,0
"Mongolia",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Japan",25.87,2.72,0,0.5,0.14,0.17,0,0,0.0078,0.3,0,0.0007,0,1.36,0.72,0,0,2.1959,3.33,0.14,55.2,4.62,3.72,0,2.6706,2.74,0.03,0.14,21.85,0,0.03,0,0,4.37,0,0.0033,0.0197,0,0,0.21,0,0,0,0.0016,6,0.04,0.37,0,0,2.25,0,0,0,73.35,0,0,0,3.91,7.9,2.79
"Nepal",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Thailand",2.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.24,0.41,0.38,0,0.68,0,0,0,0.46,0,0,0,0,0,0,0.0026,0,0,0,0,0,0,0,0,0,0.0497,0.39,0,0,0,0,0,0,3.96,0,3.91,0,0,0,0
"Australia",152.91,20.61,0,0,0,0,0,0,0,0,0,0,0,1.58,0,0,0,0.39,0,0,58.1,0.45,12.45,0,30.94,6.21,0,0,19.07,0,0,0,0,34.56,0,0,0.0132,0,0,0,0,0,0,0,4.82,1.2,9.84,0,0,6.08,0,0,0,3.97,0,7.9,0,0,0,21.85
"New Zealand",24.55,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,72.78,0.04,1.77,0,0.82,0,0,0,0.11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0045,0,0,0,0.16,0,0,0,0,0,2.79,0,0,21.85,0
