"","United States of America","Haiti","Dominican Republic","Mexico","Guatemala","Honduras","El Salvador","Nicaragua","Panama","Colombia","Venezuela","Ecuador","Peru","Brazil","Bolivia","Paraguay","Chile","Argentina","Uruguay","United Kingdom","Netherlands","Belgium","France","Switzerland","Spain","Portugal","Germany","Austria-Hungary","Italy","Yugoslavia","Greece","Romania","Russia","Sweden","Norway","Denmark","Ethiopia","Morocco","Iran","Turkey","China","Japan","Thailand"
"Romania",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.67,0,2.75,3.98,1.27,0,0,28.860001,20.59,4.02,0.23,0.11,0,1.84,0,0,0,0,0,0,3.6300001,0,0,0
"Russia",26.639999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,57.139999,5.77,4.52,14.29,2.4300001,0.49000001,0,155.69,11.8,6.52,0.61000001,0.37,1.11,0,5.6199999,3.96,2.6900001,0,0,20,3.23,7.9099998,2.8099999,0
"Sweden",17.030001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49.549999,4.5999999,2.74,6.4099998,0,0.82999998,0,66.839996,0,0,0,0,0,8.5,0,6.5300002,14.03,0,0,0,0,0,0,0
"Norway",6.8400002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28.33,4.77,4.0599999,1.79,0.18000001,0.74000001,0.20999999,27.41,0.11,0.56999999,0,0.02,0,9.1999998,12.69,0,8.04,0,0,0,0.94999999,0,0,0
"Denmark",32.990002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35.880001,6.0900002,2.6300001,4.5900002,0,0,0,68.529999,0,0,0,0,0,20.32,21.48,3.8199999,0,0,0,0,0,0,0,0
"Ethiopia",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Morocco",0.0039487001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.27,0,0.58999997,3.5899999,0,0.23999999,0,0.77999997,0.13,0.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Iran",0.0099999998,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.4000001,0,0,0.98000002,0,0,0,0.69999999,0.47,0.28999999,0,0,0,18.870001,0,0,0,0,0,0,1.17,0.039999999,0,0
"Turkey",1.41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36.98,0,0,0,0,0,0,19.370001,22.049999,14.14,0.85000002,1.2,6.0500002,9.0600004,0,0.0001082,0,0,0,3.8699999,0,0,0,0
"China",29.59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,62.189999,0,8.4799995,2.53,0,0,0,12.97,0,0.47999999,0,0,0,0,0,0,0,0,0,0.28999999,0,0,46.07,0
"Japan",41.240002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,59.41,0.61000001,6.8400002,3.5899999,1.59,0,0,24.360001,1.3,0.47999999,0,0,0,0.93000001,0,0,0,0,0,0,0,34.75,0,1.39
"Thailand",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.3400002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.17,0
