"","United States of America","Canada","Cuba","Haiti","Dominican Republic","Jamaica","Trinidad and Tobago","Barbados","Mexico","Guatemala","Honduras","El Salvador","Nicaragua","Costa Rica","Panama","Colombia","Venezuela","Guyana","Ecuador","Peru","Brazil","Bolivia","Paraguay","Chile","Argentina","Uruguay","United Kingdom","Ireland","Netherlands","Belgium","Luxembourg","France","Switzerland","Spain","Portugal","German Federal Republic","German Democratic Republic","Poland","Austria","Hungary","Czechoslovakia","Italy","Malta","Albania","Yugoslavia","Greece","Cyprus","Bulgaria","Romania","Russia","Finland","Sweden","Norway","Denmark","Iceland","Equatorial Guinea","Gambia","Mali","Senegal","Benin","Mauritania","Niger","Ivory Coast","Guinea","Burkina Faso","Liberia","Sierra Leone","Ghana","Togo","Cameroon","Nigeria","Gabon","Central African Republic","Chad","Congo","Democratic Republic of the Congo","Uganda","Kenya","Tanzania","Burundi","Rwanda","Somalia","Ethiopia","Zambia","Zimbabwe","Malawi","South Africa","Lesotho","Botswana","Swaziland","Madagascar","Mauritius","Morocco","Algeria","Tunisia","Libya","Sudan","Iran","Turkey","Iraq","Egypt","Syria","Lebanon","Jordan","Israel","Saudi Arabia","Yemen Arab Republic","Yemen People's Republic","Kuwait","Bahrain","Qatar","United Arab Emirates","Oman","Afghanistan","China","Mongolia","Taiwan","North Korea","South Korea","Japan","India","Bhutan","Pakistan","Bangladesh","Myanmar","Sri Lanka","Maldives","Nepal","Thailand","Cambodia","Laos","Vietnam","Republic of Vietnam","Malaysia","Singapore","Philippines","Indonesia","Australia","New Zealand","Fiji"
"El Salvador",24.304,0.148,0,0.005,0.102,0.121,0,0.033,5.502,1.922,0,0,2.928,10.114,4.124,0.673,10.538,0,0.138,0.498,1.571,0.001,0,0.425,0.29,0.011,5.72,0.009,7.11,4.3591,0.2109,1.647,0.891,1.029,0.108,0,0,1.665,1.946,0.01,0.068,4.477,0,0,2.48,0.377,0,0,0,0,2.183,2.408,0.969,1.493,0.031,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0.148,0,0,0,0,0,1.145,0,0,0,0,0,0,0,0,0,0,0,0.14,0,9,0,0,0,0,0,9,0,0.012,0,0,0,0,10.858,0.012,0,0,9,0,0,0,0,0,0,0,9.01,0,0,0.838,0.008,0,0.05,0.05,0
"Nicaragua",17.782,0.181,0,0.144,0.012,1.925,0.109,0,4.263,12.289,3.776,2.928,0,7.354,1.507,1.079,11.222,0,0.054,0.092,0.738,0.004,0,0.007,0.354,0.007,6.439,0.014,0.252,3.2812,0.1588,0.595,0.226,0.009,2.061,0,0,1.546,0.237,0,0.255,0.78,0,9.669,0.051,0.003,0,0,0.006,0,0.121,0.321,0.103,3.34,0,0,0,0,0.001,9.025,0,0,0,0,0,0,0,0.554,0,0,0.052,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0.026,0,0,0,0,0,0.261,0.497,0,0,0,0,0,0,0.002,0,0.006,0.002,0.124,0,9,0,0,0,0,0,0,0,0,0,2.829,0,0.054,33.767,0.028,0,0.004,9,0,0.086,0,0,0.585,0,0,9.007,0,1.912,1.828,0.007,0,0.098,0,0
"Costa Rica",14.98,3.524,0,0.007,0.273,0.275,0.46,0,7.608,15.181,3.342,10.114,7.354,0,4.029,2.393,12.672,0,0.044,0.013,0.554,0.016,0,0.011,0.931,0.01,18.507,0.051,3.529,2.6708,0.1292,0.983,3.583,3.491,0.493,0,1.463,0.184,3.054,0.164,0.441,12.375,0.03,0,0.036,0.016,0,0.025,0.026,3.19,7.979,3.374,2.796,0.097,0.127,9,0,0,0,0,0,0,0,0,0,0,0.002,0,0,0,0,0,0,0,9,0,9,0,0,9,0,0,0,0,0,9,0.078,9.093,0.009,0,0.004,0,0.967,0.07,0,0.4,0.014,0.007,0.138,0,0.001,0,0.003,0,0.302,0,9,9,1.1,0,0,9,9,9,0.051,9,0.397,0,0.03,32.132,0.093,0,0.022,9,0,0.013,0,0,0,9,0,9,0,0.012,0,0.081,0.007,0.085,0.035,9
"Panama",93.279,2.556,0,0.019,0.201,0.257,0.253,0.002,8.433,2.148,0.022,4.124,1.507,4.029,0,0.314,56.697,0.01,10.024,1.512,24.023,2.029,0,1.409,2.863,0.044,4.776,1.776,3.327,0.2098,0.0102,5.036,9.054,0.537,0.108,0,0.138,0.438,3.03,0.148,0.447,14.149,0,9,1.286,0.097,0.001,0.02,0.04,0.026,1.462,4.066,2.521,0.967,0.054,9,0,0,0,0.002,0,0,0,0,0,9,0,0,0.003,0,0,0,0,0,0,0,0,0,9,0,9,9,0.004,0,0,0,0.397,0,0,0,9,0,0.01,0.006,0,0.1,0,0.001,0.158,0,0,0.063,0.013,0,0.057,3.847,0,0,0,0,9,0,9,0,0.077,0,1.907,0,0.213,35.59,0.48,0,0.277,0,0,0.011,0,0,0.222,9,9,9.026,0,0.021,0.043,0.45,0.004,2.155,1.322,0
"Colombia",22.13,3.71,0,0.309,3.1,0.742,1.31,0.241,15.68,1.648,1.817,0.673,1.079,2.393,0.314,0,7.68,0.012,8.45,30.41,5.649,1.398,0.684,3.02,1.03,2.684,24.88,4.1,9.34,5.3415,0.2584,9.26,16.06,9.66,0.5,0,0.92,7.21,2.35,1.69,0.52,11.17,0,0,3.68,0.3,0,0.47,0.46,0.06,11.58,9.36,3.98,4.9,0.007,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0.008,0.01,0,0,0,0,0,0,0,0,0,9,0,0,0,0,9,0.36,9,9,0,0,0.001,0.9,0.44,0.06,1.8,0,0.87,0.01,0,0,0,0.02,0,0.47,0,9,0,0,0,0,0,0,9,0.49,9,0.28,0.05,0.63,24.65,0.05,0,0.02,0,0,0.34,9,0,0.04,0,9,0,0,1.07,0.16,0.01,0,0.9,3.63,9
"Venezuela",363.4,374.9,0,0.04,0.82,29.429,39.7,3.439,1.3,15.904,12.424,10.538,11.222,12.672,56.697,7.68,0,0.149,2.65,11.18,36.49,0.115,0.036,4.63,21.43,0.247,15.8,1.86,25.8,33.1939,1.6061,49.2,46.2,14.39,5.4,0,0,0,5.8,0,6.3,84.6,0,9,1.21,0.14,0.513,0,0.18,0,0.36,15.3,1.45,6.6,0.014,0,0,1.069,0.289,1.442,0,1.662,0,0,9.623,0.001,0,0.084,2.146,0.076,4.1,0,0,9.012,0,0,0,0,0,0,0,0,0.036,0,0,0.006,0,0,0,0,0,0,0.05,0,0,1.1,0,0,0.05,9,0.97,0,0.02,0,1.94,0,9,9,0,0,0,0,0,0,0,0,0,0,0,184.3,0.18,0,0.08,0,0,0,0,0,0.02,9,0,0,0,0.18,3.05,0.1,1,2.27,1.15,0
"Guyana",12.046,10.232,0,0,0,4.226,12.339,2.22,0.815,0.001,0,0,0,0,0.01,0.012,0.149,0,0,0,0.259,0,0,0.13,0.677,0.024,6.572,3.341,4.095,0.4865,0.0235,1.921,0.37,0.317,0,0,0,0,0.16,0,0,2.87,0,0,0.323,0,0,0,0,8.065,0.133,0.31,0.307,0.569,0,0,0,9,0,0.006,0,0,0,0,9,0,0,0,9,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0.002,0.38,0,0,0,0,0,0,9,0.156,0,0,0,0,0,0,0,0.2,0,0,0,0,9,0,0,0,0,0.434,4.427,1.388,0,0.314,0,0,0,0,0,0,0,0,0,0,0.389,0,0,0,1.166,0.264,0.001
"Ecuador",13.85,3.31,0,0.001,0,0.008,16.59,0,3.4,0.148,0.002,0.138,0.054,0.044,10.024,8.45,2.65,0,0,4.94,0.212,0.123,0.212,12.16,2.1,0.152,16.83,0.48,2.16,0.4578,0.0222,2.9,2.76,3.55,0.27,0,0.02,0.33,2.87,2.66,0.43,1.33,0.29,9,4.02,1.21,0,0.14,1.5,1.52,0.89,0.99,1.37,0.59,0.029,0,9,9,0,9,0,0,0.02,0,0,0,0,0,0,0.013,9,0,9,0,0,9,9,0.01,9,0,9,9,0,0,0,9,0,0,0,0,9,0,1.12,0.01,0,1.3,0.01,0.1,0,9.1,0,0,0.26,1.14,0.13,0.2,0,0,0.8,0,9,0,0.09,0,0.35,0,0.37,9.01,0.02,33.39,0.11,0,0.03,9.05,0,0.15,0,9.01,0,0,0,0,0,0.68,0.27,0.16,0.47,0.42,3.79,0
"Peru",115.56,21.32,6.94,0.006,0.22,0.063,0.01,0.005,2.05,0.299,0.237,0.498,0.092,0.013,1.512,30.41,11.18,0,4.94,0,4.397,7.84,0.323,0.32,1.63,0.436,1.35,2.09,20.87,17.856,0.864,20.4,8.71,12.13,0.03,0,7.76,12.73,5.21,3.88,4.45,7,0.18,0,7.24,0.33,0.01,4.49,1.59,5.98,1.92,13.4,0.18,1,0.04,0,0,0,0.003,0,0,0,0.09,0,0,0,0,0.02,0.02,0,0,0,0.12,0.01,0,0,0,0,0,0,9,9,0,0,0,0,0.46,0,9.14,0,0.04,0.09,0,1.98,0,0,0.06,1.46,0,0,0,0,0.48,0.01,1.11,0.01,0,0,0.5,0,0,0,0.36,0,42.38,0,0.8,1.24,0.81,127.15,2.26,0,1.16,1.57,0,0.53,0,0,0.02,9,0,0,0,0.93,0.15,1.58,1.14,8.61,32.16,0
"Brazil",472.0629,41.654,0,0.149,2.91,4.799,7.312,0.524,17.746,0.881,0.214,1.571,0.738,0.554,24.023,5.649,36.49,0.259,0.212,4.397,0,0.141,4.543,13.7,64.393,22.068,25.661,6.146,85.924,8.0791,0.3909,4.825,62.972,84.056,34.545,0,22.199,7.09,19.2,14.956,7.031,36.731,1,9,21.214,12.497,1.631,7.187,0.139,69.48,2.947,22.22,11.676,35.05,0.108,9,0,0.5,1.921,0.056,0,0,0.3,0,9.01,0.119,0.031,0.76,0.002,0.172,24.502,5.17,0,9,2.254,8.925,0.016,0.039,0.012,0,0,1.641,0.594,53.783,0,0.02,20.418,0,9,9,0.009,0.019,14.103,43.096,7.877,21.459,5.465,3.359,7.94,93.809,1.523,9.58,3.375,4.42,9.604,241.392,0,0,43.692,0,5.115,0,7.986,0.11,62.808,9,27.813,3.58,1.485,148.749,1.341,0,25.736,1.24,0.53,10.78,0,0,7.386,9,9.022,12.155,0,0.393,2.027,2.28,0.88,1.167,2.841,0.07
