"","United States of America","Canada","Cuba","Haiti","Dominican Republic","Jamaica","Trinidad and Tobago","Barbados","Mexico","Guatemala","Honduras","El Salvador","Nicaragua","Costa Rica","Panama","Colombia","Venezuela","Guyana","Ecuador","Peru","Brazil","Bolivia","Paraguay","Chile","Argentina","Uruguay","United Kingdom","Ireland","Netherlands","Belgium","Luxembourg","France","Switzerland","Spain","Portugal","German Federal Republic","German Democratic Republic","Poland","Austria","Hungary","Czechoslovakia","Italy","Malta","Albania","Yugoslavia","Greece","Cyprus","Bulgaria","Romania","Russia","Finland","Sweden","Norway","Denmark","Iceland","Equatorial Guinea","Gambia","Mali","Senegal","Benin","Mauritania","Niger","Ivory Coast","Guinea","Burkina Faso","Liberia","Sierra Leone","Ghana","Togo","Cameroon","Nigeria","Gabon","Central African Republic","Chad","Congo","Democratic Republic of the Congo","Uganda","Kenya","Tanzania","Burundi","Rwanda","Somalia","Ethiopia","Zambia","Zimbabwe","Malawi","South Africa","Lesotho","Botswana","Swaziland","Madagascar","Mauritius","Morocco","Algeria","Tunisia","Libya","Sudan","Iran","Turkey","Iraq","Egypt","Syria","Lebanon","Jordan","Israel","Saudi Arabia","Yemen Arab Republic","Yemen People's Republic","Kuwait","Bahrain","Qatar","United Arab Emirates","Oman","Afghanistan","China","Mongolia","Taiwan","North Korea","South Korea","Japan","India","Bhutan","Pakistan","Bangladesh","Myanmar","Sri Lanka","Maldives","Nepal","Thailand","Cambodia","Laos","Vietnam","Republic of Vietnam","Malaysia","Singapore","Philippines","Indonesia","Australia","New Zealand","Fiji"
"Bolivia",16.891,0.949,0,0,0.113,0.004,0.002,0,0.028,0.099,0.006,0.001,0.004,0.016,2.029,1.398,0.115,0,0.123,7.84,0.141,0,0.146,5.494,0.842,0.307,35.848,0.143,4.331,4.4068,0.2132,4.84,2.129,3.152,0.045,0,1.148,0.066,0.982,0.079,1.017,1.426,0.03,0,0.025,0.004,0,9.004,1.335,3.603,0.538,3.362,0.186,0.972,0,0,0,0,9,0,0,0,0,9,0,0,9,0,0,0,9.015,0,9,0,0,0,0,0,9,0,0,0,0,0,9,0,0.254,9,9,0,9.013,0,0.074,0,0,0,0,0.095,0,0,0,0,0.05,0,0.434,0,9,0,0,0,9,0,9,9,0.029,0,1.551,0,0.001,0.631,0.126,0,0.018,0.01,0.006,0.308,0,0,0.001,0,9,0,0,0.008,0.106,0,0.002,1.425,0,0
"Paraguay",0.927,1.463,9,0,0,0,0,0.119,0.489,0.002,0,0,0,0,0,0.684,0.036,0,0.212,0.323,4.543,0.146,0,2.176,7.977,0.233,5.953,0.002,6.075,4.2542,0.2058,5.44,2.997,3.748,0.06,0,9,9,0.195,9,9,0.857,0.01,0,0.32,1.252,0.004,0,9,9,0.044,1.13,0.087,0.449,0.001,0,0,9.002,0.07,0,0,0,0,0,9,9,0,0.008,0,0.011,0,0,0.022,0,0,0,0,9,0,9,0,0,0,9.0073,9,0,0.066,0,0,0,0,0.001,0.02,3.213,0.293,0,0,0,0.004,9,0,9,9.061,0,0.01,0,0,0,0,0,9,0,0,0,0,0,0.554,9,0.002,1.815,0.236,0,0.015,0,9,0.007,0,0,0.01,0,9,0,0,0,0,0.017,0,0,0,0
"Chile",73.22,4.84,2.86,0,0.08,0.034,0,0.001,18.12,0.014,0.964,0.425,0.007,0.011,1.409,3.02,4.63,0.13,12.16,0.32,13.7,5.494,2.176,0,88.31,4.961,35.65,0.37,11.41,8.0982,0.3918,4.71,12.4,15.06,0.71,0,0.59,0.64,2.98,0.03,1.57,37.8,0.07,0,18.63,0.16,0,0.2,0.39,3.56,1.16,17.96,0.99,4.58,0,0,0,0,0.039,9,0,0,0.01,0,9,0.01,0,0.017,9,0,9,0,0,0,0,0,0,0,0,0,9,0,0,0.038,0,0,3.85,0,0,0,0,0.001,0,0,0,0,0.169,7.47,0.34,0,0,0,0.29,0,0.44,34.89,9,9,3.1,0,0,0,9,0,20,0,20.9,0.03,1.9,149.43,1.19,0,0.92,1.8,0,1.39,0,0,0.41,0,0,9.005,0,3.45,1.43,0.18,0.64,23.04,13.84,0
"Argentina",174.1,48.54,0,0.004,0.54,0.281,0.25,1.256,3.28,0.594,0.184,0.29,0.354,0.931,2.863,1.03,21.43,0.677,2.1,1.63,64.393,0.842,7.977,88.31,0,21.88,62.07,7.87,41.73,31.973,1.547,58.74,20.83,53.92,10.27,0,0.55,2.34,1.69,1.9,5.55,153.62,0.08,9,8.41,17.19,0.42,0.27,9.38,21.5,12.79,22.18,5.25,4.69,0.036,0,0,0,1.315,0,0,0,0.02,0,0,0.156,0.519,8.538,0,0.017,0.1,0,0.005,0,0.07,3.2,0.001,0.067,0,0.01,0,0,0,0.0218,0,0.006,2.24,0,0,9.07,0,0.002,1.08,7.53,0.31,1.06,0,2.91,0.41,0.49,0.01,0.49,0.04,1.58,12.89,1.75,0,0,7.36,0,0,0,0,9,2.12,0,2.12,0,0.1,63.3,5.75,0,1.89,6.25,0,3.96,0,0,0.55,0,0,0.21,0,4.23,8.32,0.86,0.02,6.36,0.07,0.001
"Uruguay",10.435,3.131,0,0,0.544,0,0.368,0,1.227,0.014,0.003,0.011,0.007,0.01,0.044,2.684,0.247,0.024,0.152,0.436,22.068,0.307,0.233,4.961,21.88,0,4.082,0.248,7.616,2.9188,0.1412,22.221,1.02,22.996,6.335,0,4.711,0.495,6.964,2.338,3.239,11.166,0.045,0,0.861,4.357,0.047,0.083,0.011,2.449,0.152,1.903,1.727,0.964,0,0,0,9,0.001,9,9,0,0,0,9,0,0.001,0,0,0,7.714,0,0,0,0,0,0,0,0,9,0,9,9,0.0164,0.015,9,0.508,0,0,0,0.003,0,0.002,0.002,1.911,0.302,0.58,0.334,0.571,3.074,1.71,9,0.15,0.395,2.917,0.034,9,0.001,13.638,0,9,0,9,9,0.047,9,0.034,0,0.341,1.061,0.501,0,0.425,0.88,9,0.161,0,9,0.028,0,0,9,0,0.954,0.014,0.09,0.18,0.491,0.04,9
"United Kingdom",219,460.7,29.6,2.791,5.3,20.163,48.99,20.021,75.6,8.8,5.969,5.72,6.439,18.507,4.776,24.88,15.8,6.572,16.83,1.35,25.661,35.848,5.953,35.65,62.07,4.082,0,40.7301,643.4,190.8651,9.235,112.6,304.8,117.68,32.72,0,16.7,95.01,4.6,22.69,21.7,207.8,31.58,0,108.83,120.35,34.181,6.1,93.94,341.7,241.07,231.1,38.45,250,11.34,1.2,4.182,0.322,2.598,4.147,22.754,1.373,13.24,2.6,0.747,1.999,44.772,36.32,7.251,5.131,53.2,2.282,0.635,0.557,2.928,8.6,8.755,68.872,8.651,0.2,0.7,4.35,12.282,16.7018,1.5,5.636,31.7,0.3,7.3,23.9,0.501,43.044,5.55,20.19,9.52,269.1,48.519,20.5,124.21,16.3,3.9,24.9,51.47,22.51,222.26,376.5,3.986,5.9,360.6,27.3,61.59,49.6,2.89,20.1,11,0.3,31.5,0.4,48.6,276.7,0.91,0,26.47,35.05,5.697,19.88,9,0.9,59.59,1.3,0.646,3,0,89.76,127.1,38.8,40.4,284.72,232.79,2.387
"Ireland",0.36,7.19,0.61,0.002,0.01,1.59,2.05,0.529,4.14,0.199,0.091,0.009,0.014,0.051,1.776,4.1,1.86,3.341,0.48,2.09,6.146,0.143,0.002,0.37,7.87,0.248,40.7301,0,24.29,13.9166,0.6734,2.18,0.46,2.63,7.29,0,2.28,16.64,4.43,1.1,6.37,17.62,0.71,0,0.05,2.27,0.545,0.85,1.49,5.72,24.09,39.5,4.26,15.23,0.164,9,0.046,0.04,0.161,0,0,0.03,0.85,0.01,0,0.021,0.056,4.34,0.024,0.112,1.52,0,0,0,0.3,0.05,0.999,2.53,2.711,0,0.01,0.01,0.028,1.15,0,3.867,2.94,9,0,0.19,0,0.131,4.75,2.85,0.16,1.08,0.01,10.3,1.22,0.5,0.21,0.32,1.18,0.03,3.8,9.48,0.214,0.93,30.48,0.09,0.04,0.53,0.02,0,3.25,0.05,0.81,0.09,2.84,10.22,12.4,0,1.78,0.4,0.283,0.73,0,9.04,0.11,0,0.001,0.448,0,3.59,1.04,0.55,1.19,0.15,7.49,0.02
"Netherlands",730.1,32.8,4.7,0.237,3.9,7.183,8.17,4.717,29.6,2.943,0.889,7.11,0.252,3.529,3.327,9.34,25.8,4.095,2.16,20.87,85.924,4.331,6.075,11.41,41.73,7.616,643.4,24.29,0,640.7,31.0001,288.9,93.7,26.83,24.43,0,28.5,40.81,33.9,16.48,2.9,203.4,5.72,0.9,9.92,48.68,7.924,4,3.33,24.4,4.45,5.1,88.39,105.39,13.588,0.3,0.565,0.083,2.367,3.107,0.24,2.757,7.95,0.7,1.521,9.34,2.996,1.714,10.062,43.365,226.6,11.002,0.941,2.11,2.2,10,0.727,4.466,2.667,0.9,0.2,0.694,0.985,4.3109,0.3,0.361,40.1,9.3,9,0.3,2.088,2.39,2.41,19.54,7.8,64.5,3.378,249.1,16.41,9.1,13.06,10.68,6.37,6.64,51.93,574.5,2.094,1.4,361.9,1.8,85.97,34.6,19.91,1.3,35.1,0.1,19.9,2.1,7.5,115.1,18.33,0,4.33,4.45,0.708,1.2,0,0.2,38.12,0.1,0.356,2.7,0,26.11,26.74,8.3,14.6,47.75,0.56,1.173
"Belgium",146.511,45.2124,7.9169,1.8505,4.5785,4.6929,3.1286,0.4292,26.517,1.8028,0.0668,4.3591,3.2812,2.6708,0.2098,5.3415,33.1939,0.4865,0.4578,17.856,8.0791,4.4068,4.2542,8.0982,31.973,2.9188,190.8651,13.9166,640.7,0,0,47.5022,90.234,50.2297,16.5397,274.136,17.5508,17.6748,52.0801,0.5532,5.8185,119.4218,2.5945,0.6677,19.9736,56.3915,6.4862,4.0062,14.9849,12.6861,1.6406,55.0371,56.5632,87.5633,2.5182,0,0.2957,0.6486,1.2114,1.0492,12.6862,0.5055,1.7646,8.8708,0.3815,23.4647,1.2495,2.6803,1.5071,1.5071,0,4.1302,2.5277,1.1446,2.4705,153.5696,0.9443,7.3351,8.556,6.1046,0.5723,0.5628,0.1049,2.6326,0,0,75.0679,0.9538,9.2862,0,1.5166,0.6295,15.872,5.9043,6.4957,11.8277,0.5723,67.7232,8.6991,10.1108,2.8234,11.017,5.3225,3.1382,74.5432,247.7144,0.5055,0.1908,117.0372,0.8585,5.7326,0.5723,10.8166,0.5723,10.3016,9.0954,3.8154,2.9569,17.5508,67.3417,17.8942,0,10.5019,0,2.5945,0.8585,9.1908,4.1969,0.8299,0,0.0286,0,0,1.9172,5.3415,4.5785,29.9508,25.8398,27.5281,0.0572
"Luxembourg",7.0889,2.1876,0.3831,0.0895,0.2215,0.2271,0.1514,0.0208,1.283,0.0872,0.0032,0.2109,0.1588,0.1292,0.0102,0.2584,1.6061,0.0235,0.0222,0.864,0.3909,0.2132,0.2058,0.3918,1.547,0.1412,9.235,0.6734,31.0001,0,0,2.2984,4.3659,2.4303,0.8003,13.264,0.8492,0.8552,2.5199,0.0268,0.2815,5.7782,0.1255,0.0323,0.9664,2.7285,0.3138,0.1938,0.725,0.6138,0.0794,2.663,2.7368,4.2367,0.1218,0,0.0143,0.0314,0.0586,0.0508,0.6138,0.0245,0.0854,0.4292,0.0185,1.1353,0.0605,0.1297,0.0729,0.0729,0,0.1998,0.1223,0.0554,0.1195,7.4304,0.0457,0.3549,0.414,0.2954,0.0277,0.0272,0.0051,0.1274,0,0,3.6321,0.0462,9.0138,0,0.0734,0.0305,0.768,0.2857,0.3143,0.5723,0.0277,3.2768,0.4209,0.4892,0.1366,0.5331,0.2575,0.1518,3.6068,11.9856,0.0245,0.0092,5.6628,0.0415,0.2774,0.0277,0.5234,0.0277,0.4984,9.0046,0.1846,0.1431,0.8492,3.2583,0.8658,0,0.5081,0,0.1255,0.0415,9.0092,0.2031,0.0402,0,0.0014,0,0,0.0928,0.2584,0.2215,1.4492,1.2502,1.3319,0.0028
"France",727.4001,53.5,14.7,2.511,2.1,8.927,5.18,1.839,60.8,3.389,0.092,1.647,0.595,0.983,5.036,9.26,49.2,1.921,2.9,20.4,4.825,4.84,5.44,4.71,58.74,22.221,112.6,2.18,288.9,47.5022,2.2984,0,506.2,129.69,67.9,0,56.7,42.98,108.3,15.25,1.2,281.5999,6.67,0,56.76,108.33,14.086,5.9,67.67,45.6,18.11,166.6,38.47,101.65,2.691,1.8,0.412,21.767,3.483,18.205,4.32,4.099,4.17,25,23.158,23.407,7.581,10.636,8.488,64.485,260.4,42.666,1.058,15.891,43.083,12.2,6.749,17.142,7.496,1.9,0.8,0.419,0.445,63.3909,20.2,0.194,55.7,0,0,0.3,44.902,6.581,6.9,104.86,96.05,179.4,1.014,68.2,35.53,277.4,41.57,19.42,61.24,6.38,33.86,516.6,6.116,0.7,357.9,5.7,51.92,140.8,73.52,2.2,45.1,0.6,14.1,8.2,37.7,61.6,25.9,0,14.98,5.79,0.322,3.975,0,3.2,1.42,6.7,3.202,26.8,0,52.19,14.98,17.7,7,147.02,65.82,1.116
"Switzerland",76.9,65.6,10.2,0.9,2.1,3.577,1.22,0.678,58.6,3.163,3.838,0.891,0.226,3.583,9.054,16.06,46.2,0.37,2.76,8.71,62.972,2.129,2.997,12.4,20.83,1.02,304.8,0.46,93.7,90.234,4.3659,506.2,0,96.31,44.56,0,13.2,99.68,59.3,3.1,0.5,403.6,0.53,1.2,100.32,33.84,2.71,12.1,71.53,38.8,27.26,52.9,53.24,3.95,1.052,0.1,2.946,0.032,1.763,0.144,0.3,1.18,1.12,2.9,0.348,2.576,2.883,1.991,0.38,0.907,5,0.684,0.067,0.1,0.046,8.4,0.477,0.571,0.826,0.2,0.2,0.306,2.027,1.5336,1.4,0.161,73.8,0,1.6,0,1.388,0.708,7.38,1.67,0.97,25.9,2.165,62,51.89,10.5,12.35,8.03,15.6,1.84,46.91,11,0.035,0.5,0.7,0,0.17,6.7,0.32,1.3,0.2,0.1,5.4,0.5,0.3,17.6,1.57,0,2.28,0.01,0.675,0.1,9,0.1,17.6,0.6,0.528,3.7,0,3.69,26.36,4.6,0.1,75.79,8.32,0.939
"Spain",429.75,21.94,31.13,0.13,8.06,3.172,2.89,0.41,32.21,1.728,0.814,1.029,0.009,3.491,0.537,9.66,14.39,0.317,3.55,12.13,84.056,3.152,3.748,15.06,53.92,22.996,117.68,2.63,26.83,50.2297,2.4303,129.69,96.31,0,78.02,0,13.6,11.69,11.96,14.57,1.82,216.91,1.61,0.07,17.7,9.61,1.683,2.2,6.85,0.71,17.74,121.31,11.64,10.02,4.283,3.46,0,1.247,2.414,0.535,9.703,0.688,26.08,9.93,0.075,12.595,0.474,5.371,0.516,6.187,23.92,7.232,0.365,0.15,2.768,2.87,5.484,3.176,3.653,0.29,0,0.108,3.008,16.3745,0,1.295,45.22,0,0.23,0.08,0.682,0.121,12.61,51.67,1.72,72.21,5.688,48.37,8.63,27.63,13.78,3.27,12.43,2.29,4,335.84,0.086,0.06,55.22,1.23,1.85,0,29.34,0.06,14.69,0,0.08,0.26,1.57,119.17,7.42,0,5.74,6.8,0.814,2.47,0,0,2.4,0,0.012,0.35,0,30.19,1.67,3.37,11.11,8.72,4.54,0.023
"Portugal",32.78,7.51,0.01,0.031,0.28,0.375,0.42,0.017,3.7,0.377,0.187,0.108,2.061,0.493,0.108,0.5,5.4,0,0.27,0.03,34.545,0.045,0.06,0.71,10.27,6.335,32.72,7.29,24.43,16.5397,0.8003,67.9,44.56,78.02,0,0,0.17,8.61,8.04,0.63,1.09,79.19,0.03,0,2.39,0.93,1.881,0.68,3.49,0.19,17.07,20.18,0.64,15.04,9.09,9.15,2.626,0.2,0.87,0.19,0,3.51,1.25,0.5,0,0.01,0.01,0.005,0,0.018,0.49,0.09,0.16,1.97,1.18,2.08,1.63,0,0.54,0.21,0,0.002,0.009,0.6482,0,0.718,2.83,9,0,9.05,0.27,0.113,0.61,0,13.9,0,9.46,7.54,16.35,38.26,1.91,0.07,2.8,0.45,3.62,29.16,0.01,0.01,0,12.72,0,0,0,0.3,0.45,0,0.8,0,0.03,51.15,0.36,0,5.97,4.74,0.016,0.44,0,9,1.72,9,0.008,0.546,0,2.68,0.83,1.46,0.08,0.94,1.33,0.038
"German Federal Republic",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,274.136,13.264,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"German Democratic Republic",7,4.7,0,0,9,0.007,0,0.063,0.3,0.028,0.158,0,0,1.463,0.138,0.92,0,0,0.02,7.76,22.199,1.148,9,0.59,0.55,4.711,16.7,2.28,28.5,17.5508,0.8492,56.7,13.2,13.6,0.17,0,0,245.27,5.2,6.59,0,21,0.37,0,18.82,8.59,0.109,0,34.93,0,3.35,13.6,9.04,1.88,0.238,0,0.261,0.149,0,0.607,0,0.069,0,0,9.081,9.242,1.367,0.337,0.207,1.262,0.8,0,0.006,0,0,0.6,0.078,0.517,0.889,1,0,0.933,0.004,0.0235,0,9,0,0,0,0,0,0.069,1.42,3.99,0.38,0.9,1.226,0,0.23,33.1,2.4,0.77,2.01,2.15,0.03,1.3,0.22,0,11.6,0,9.02,9,9,9,0,0,0,0,0,24.5,6.44,0,2.91,9.01,0.687,0,0,0,1.11,0,9.01,0,0,0.35,0.59,0,0,4.21,3.36,0.033
"Poland",26.72,6.8,0,0.352,0,0.415,0,0.089,1.1,0,1.157,1.665,1.546,0.184,0.438,7.21,0,0,0.33,12.73,7.09,0.066,9,0.64,2.34,0.495,95.01,16.64,40.81,17.6748,0.8552,42.98,99.68,11.69,8.61,0,245.27,0,10.65,130.94,143.24,66.93,0.45,0,40.95,0.15,2.1,4.69,2.25,65.7701,18.86,36.41,21.81,5.48,2.324,9,0.462,0.04,0.945,0.062,0.17,0.043,0.1,0,9.09,2.543,1.982,6.104,0.149,0.023,8.8,1.149,0.041,9,0,2.8,10.44,1.835,3.861,0,0,0.139,0.728,0.3904,0,0.001,0,0,0,0,0,1.364,4.59,1.43,2.24,6.5,1.316,0,1.99,18.5,28.42,1.68,3.38,1.58,0,2.2,9.185,0,3.1,0,9.18,0.9,9.02,0.3,9.26,0,0,0,0,54.06,7.86,0,2.46,9.89,0.119,0,0,0,2.08,0,9.001,0,0,9.58,8.56,0.1,0,25.59,12.56,0.018
"Austria",14.2,30.1,1,0.268,0.7,0.482,0,0.127,0.9,1.223,3.077,1.946,0.237,3.054,3.03,2.35,5.8,0.16,2.87,5.21,19.2,0.982,0.195,2.98,1.69,6.964,4.6,4.43,33.9,52.0801,2.5199,108.3,59.3,11.96,8.04,0,5.2,10.65,0,15.38,15.4,24.1,1.06,0.2,90.88,22.3,2.19,8.1,42.07,17.2,25.39,19.9,29.38,14.11,0.558,0,0,0.065,0.309,0.291,0,0.057,3.1,1.6,0,0.493,0.227,4.953,0.08,0.53,2.6,0.8,0.317,0.82,0.74,2.8,0.969,0.013,0.075,0,0,0.303,0.794,4.9782,0,1.298,1.3,0,9,9,0,1.301,1.81,5.7,6.47,7.1,0.135,4.1,6.82,16.5,2.95,11.24,7.22,1.87,0.92,7.8,0.016,0,3.8,0.1,8.05,2,0,0.5,5.4,0.3,0.6,2.4,2.3,62.1,0.04,0,0.66,0,0.209,1.3,0,0.1,6.53,0,0.025,0,0,4.4,4.39,2.3,1.6,3.42,0.57,0.088
"Hungary",18.92,4.73,0.46,0.094,0,0.002,0,0.112,0.2,0,0.325,0.01,0,0.164,0.148,1.69,0,0,2.66,3.88,14.956,0.079,9,0.03,1.9,2.338,22.69,1.1,16.48,0.5532,0.0268,15.25,3.1,14.57,0.63,0,6.59,130.94,15.38,0,168.09,124.18,0.46,2.86,31.62,3.17,0.119,14.2,27.17,73.48,4.38,6.85,2.42,0.75,0.301,0,0.442,0,0.076,9.203,0,0.133,0.8,0,9,0.336,1.09,0.286,0.112,0.075,0.1,0.257,0.004,0,0,0,3.976,0.66,0.189,0,0,0.027,0.726,0.2482,0,9.02,0,0,0,0,0.076,0.113,1.53,0.52,1.12,5.5,0.092,1.1,1.56,1.44,4.82,1.06,3.88,1.17,2.62,0.6,9.001,0,6.6,0,9.15,0,0,0,8.97,3.15,0,0.08,0,2.75,6.05,0,2.15,2.01,0.044,0,0,0,0.53,0,0,12.36,0,6.18,0.15,0,0,7.44,0.36,0.016
"Czechoslovakia",19.6,33.2,0,0.569,9,0.031,9,9.125,3.9,0.398,0.86,0.068,0.255,0.441,0.447,0.52,6.3,0,0.43,4.45,7.031,1.017,9,1.57,5.55,3.239,21.7,6.37,2.9,5.8185,0.2815,1.2,0.5,1.82,1.09,0,0,143.24,15.4,168.09,0,0.5,0.69,0,22.17,4.08,1.033,0,42.59,0,0.36,0.6,5.91,8,0.841,0,0.163,0.111,0.065,9.146,0,0.061,0,0,9.059,0.787,11.093,2.177,9.334,0.329,9.1,0,0.033,9,0,1.7,0.611,2.733,0.346,0.1,0,0.247,4.055,0.2721,0,9.479,0,0,0,0,0,0.124,1.58,3.71,0.41,8,2.417,0,1.38,58.6,18.55,11.69,13.23,1.81,0.57,9.9,1.308,0,13.9,0,9.17,10.6,9,11.824,0,0,0,0,0,1.9,39.42,0,0.47,14.87,4.052,0,0,0,2.58,0,9.04,9,0,4.22,1.39,0,0,0.78,1.22,0.153
"Italy",276.5,16.2,1.3,1.429,7,7.312,0.45,1.945,17.3,8.56,2.417,4.477,0.78,12.375,14.149,11.17,84.6,2.87,1.33,7,36.731,1.426,0.857,37.8,153.62,11.166,207.8,17.62,203.4,119.4218,5.7782,281.5999,403.6,216.91,79.19,0,21,66.93,24.1,124.18,0.5,0,27.48,1.1,22.32,160.16,6.188,2.9,15.06,56.6,14.16,39.8,0.29,6.21,4.728,0,2.777,0.702,3.532,1.482,14.829,2.11,42.97,4.3,0.223,54.058,1.539,8.866,1.312,9.928,2.8,0.854,0.661,0.082,12.5,35,1.371,12.265,23.31,0.3,0.5,9.114,20.167,54.74,0,1.178,26.6,0.1,9.2,9.9,3.928,1.587,16.07,61.68,54.43,215.3,29.762,229.8,89.01,226.4,15.08,10.35,66.46,7.3,104.49,533.8,1.442,0.2,264.6,4.8,35.16,13.3,0.08,0.4,7.4,0,11.6,4,3.9,89,15.01,0,4.14,4.9,0.62,1.8,0,9,14.33,0.7,0.119,7.5,0,48.37,31.5,2.4,21.3,55.7,8.57,0.296
"Malta",6.99,0.51,0.02,0,0,0.007,0.01,0.01,0.01,0,0,0,0,0.03,0,0,0,0,0.29,0.18,1,0.03,0.01,0.07,0.08,0.045,31.58,0.71,5.72,2.5945,0.1255,6.67,0.53,1.61,0.03,0,0.37,0.45,1.06,0.46,0.69,27.48,0,9,0.14,1.7,0.123,0.75,1.19,1.98,0.38,0.44,0.55,1.86,0.029,0,0,0,0.005,0,0,0,0.25,9,0,0,0,0.28,0,0,0.36,0,0,0,0,0,0,0.04,0,0,0,0,0.12,0.0318,0,0.027,0.09,0,0,9,0.01,0.003,0.17,0.02,0.03,2.01,0.003,0.03,0.08,0,0.01,0.52,0.02,0,1.53,0.2,0.14,0.05,0.1,0.05,0.01,0.15,0.01,9,0.98,0,0.18,9.01,0,4.34,0.32,0,1.58,0,0,0.15,0,0,0.01,0,0,0,0,0.01,0.66,0.02,0.06,7.32,0.09,0
"Albania",1,13.2,0,0,0,0,0,0,0,9.005,0.001,0,9.669,0,9,0,9,0,9,0,9,0,0,0,9,0,0,0,0.9,0.6677,0.0323,0,1.2,0.07,0,0,0,0,0.2,2.86,0,1.1,9,0,1.12,1.19,9,0,2.12,0,0.01,0.9,0,0.08,0,0,0,0,9.037,9,0,0,9,0,0,9,0,0,0,0,9,0,0,0,9,0,0,0,0,9,9,0,0.004,0,0,0,0,0,0,0,0,9,0.78,0,0,9.2,0,0,0,9,0.04,0,0,0,0,0,9,0,0,0,9,0,0,0,0,0,0,0,0,0,9,0,0.01,9,0,0,0,0,0,0,9,0,0,0,9,0,0,0,9,0
"Yugoslavia",39.5,4.39,5.07,0.005,0.03,0.522,0,0.018,5.75,0.248,3.174,2.48,0.051,0.036,1.286,3.68,1.21,0.323,4.02,7.24,21.214,0.025,0.32,18.63,8.41,0.861,108.83,0.05,9.92,19.9736,0.9664,56.76,100.32,17.7,2.39,0,18.82,40.95,90.88,31.62,22.17,22.32,0.14,1.12,0,8.91,1.154,5.76,1.14,46.39,6.93,8.05,12.04,3.82,0.071,0,0,0.01,0.155,0.023,0,0.02,4.06,2.64,0.01,0.268,0.095,5.118,0.005,0.644,0.12,0.85,1.389,0.87,0.41,0.11,0.208,0.953,2.148,0.14,0,0.045,1.661,23.9645,0,0.034,0,0.01,2.51,0.02,0.148,0.01,13.62,0.69,2.95,20.84,0.722,16.86,2.21,11.83,1.69,2.65,0.87,0.03,11.35,3.3,0.023,0.09,3.38,0.03,0.02,0.5,0,0,11.26,0.21,0,0,0.01,35.08,19.04,0,5.99,1.75,0.698,1.8,0,0.19,1.1,0,0,0,0,6.01,0.39,9.85,1.89,27.65,4.61,0.006
"Greece",50.39,10.16,9.04,0,0,0.177,0,0.027,0.17,0.009,0.017,0.377,0.003,0.016,0.097,0.3,0.14,0,1.21,0.33,12.497,0.004,1.252,0.16,17.19,4.357,120.35,2.27,48.68,56.3915,2.7285,108.33,33.84,9.61,0.93,0,8.59,0.15,22.3,3.17,4.08,160.16,1.7,1.19,8.91,0,14.573,4.69,6.22,6.64,16.75,12.66,16.87,10.17,1.048,9,0.02,0.392,0.61,1.006,0.07,0.15,5.54,0.02,0.08,2.183,0.042,3.514,0.115,0.563,0.54,7.017,0.135,0,2.68,2.65,0.002,0.373,0.049,0.2,0.39,0.964,2.054,7.5166,0,0.232,18.65,0,0,9,1.24,0.063,3.69,3.11,2.59,15.96,0.191,2.53,7.24,27.59,3.42,29.36,6.74,1,8.18,37.16,0.17,0,3.7,0.04,0.02,0,0.18,3.7,0.51,0,2.38,0.06,0.17,155.49,1.39,0,2.67,0.36,0.11,0.34,0,0,0.11,0,0.01,0.115,0,2.85,0.2,0.01,0.87,34.74,26.08,0.002
"Cyprus",17.017,0.858,9,0,0,0.076,0,0.054,0,0,0,0,0,0,0.001,0,0.513,0,0,0.01,1.631,0,0.004,0,0.42,0.047,34.181,0.545,7.924,6.4862,0.3138,14.086,2.71,1.683,1.881,0,0.109,2.1,2.19,0.119,1.033,6.188,0.123,9,1.154,14.573,0,1.125,1.023,0.819,0.535,4.461,0.272,2.569,0.009,0,0,0,0,0,0,0,0.192,0,0,0,0.178,0.177,0,0,0.1,0,0,0,0,0,0.075,0.002,0.153,0,0,0,0.153,0.2455,0,0.055,0,0,9,0,0,0.007,0.083,0.01,0,3.395,0.008,0.141,1.441,5.243,0.118,0.145,2.746,0.304,5.274,7.113,0,0,1.265,0.225,0.22,0,0,0,0.115,0,0.407,0,0.13,15.665,2.559,0,0.989,0.18,0,0.093,0,9,0.194,9,9,0.01,0,1.126,0.605,0,0,0.421,2.596,0.004
