"","United States of America","Canada","Cuba","Haiti","Dominican Republic","Mexico","Guatemala","Honduras","El Salvador","Nicaragua","Costa Rica","Panama","Colombia","Venezuela","Ecuador","Peru","Brazil","Bolivia","Paraguay","Chile","Argentina","Uruguay","United Kingdom","Ireland","Netherlands","Belgium","Luxembourg","France","Switzerland","Spain","Portugal","Germany","Poland","Austria","Hungary","Czechoslovakia","Italy","Albania","Yugoslavia","Greece","Bulgaria","Romania","Russia","Estonia","Latvia","Lithuania","Finland","Sweden","Norway","Denmark","Liberia","South Africa","Iran","Turkey","Iraq","Egypt","Saudi Arabia","Yemen Arab Republic","Afghanistan","China","Mongolia","Japan","Nepal","Thailand","Australia","New Zealand"
"Ireland",1.9,0,0.01,0,3.11,0,0,0,0,0,0,0,0,0,0,0,10.16,0,9,0,0.48,0,97.85,0,2.2,0.66,0,1.92,0.07,0,0,3.06,1.07,0.22,0,1.05,9.31,0,0.01,0.39,0,0,0,0,0.6,0,0,0.11,0.47,1.77,0,9.12,0,0,0,0.2,0,0,0,0,0,2.54,0,0,0.0402,0
"Netherlands",21.37,7.51,0.23,0.11,0.43,0.56,0.59,0.37,0.09,0.08,0.01,9.38,1.46,3.42,0.05,0.01,2.68,3.49,0.1,1.44,40.87,0.45,78.28,2.2,0,21.53,0,16.63,5.2,6.05,1.7,91.77,2.73,1.9,2.24,2,0.4,0.0094,1.68,0.25,0.56,3.24,1.29,0.23,0.75,0.1,0.22,11.56,4.77,6.15,0.08,3.58,1.07,0.19,0.2,1.24,0,0,0.0084,4.41,0,3.06,0,0.37,1.2,0.63
"Belgium",5.52,12.95,0.56,0.65,0.214,9.54,0.08,0,0.08,0.0226,0.09,9.15,0.54,3.86,0.01,0,2.77,0.14,0.14,0.82,29.69,0.08,30.68,0.66,21.53,0,0,26.33,7.11,4.86,6.58,26.04,2.4,5.8,0.65,2.14,3.17,0,10.03,0.42,1.64,7.87,11.95,0.4,0.99,1.49,1.47,5.92,2.21,4.59,0,5.5,0.6,2.9,0.0022,7.35,0,0,0,6.06,0,7.01,0,0.06,27.58,0.61
"Luxembourg",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.97,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"France",110.8,17.86,0.6,0.79,2.58,0.22,0.07,0.2058,0.46,0.16,0.07,0.66,1.25,12.3733,1.94,8.5833,20.3,1.23,0.0974,7.97,26.16,1.53,38.61,1.92,16.63,26.33,0,0,18.31,5.09,0.66,88.88,10.98,1.93,2.35,1.26,0.98,0.0339,1.84,0.3,1.06,9.49,28,0.27,0.16,0.7,4.73,22.08,0.86,2.19,9,14.05,2.54,4.19,47.1494,16.63,9,0,0.0073,10.86,0,7.72,0,0.15,54.43,6.9726
"Switzerland",1.95,1.94,0.11,0.0747,0,2.347,0,0,0,0,0,0,0.841,9.19,0,9.13,0.87,0.01,0.0547,0.24,14.16,0,8,0.07,5.2,7.11,0,18.31,0,1.17,1.51,54.57,2.34,1.19,5.5,4.62,5.3,0,1.04,0.02,0.04,7.12,1.68,0.12,0.01,0.4,1.99,3.3,0.4,0.72,0,2.26,0,1.09,0,4.29,0,0,0,1.72,0,1.26,0,0.97,1.76,0.7061
"Spain",8,9.9,1.24,9,0.004,0.5,9.03,0,9.03,9.0005,0.028,9.03,9.03,0.34,9.05,0,1.72,0,0.0055,0.265,2.41,0.28,25.52,0,6.05,4.86,0,5.09,1.17,0,1.43,35.2,0.37,0.11,0,1.0037,15.36,0,0.05,0.0098,9.19,4.31,13.94,0.07,9,0.001,0.11,0.35,0.57,0.9,0,0,0,0.148,0,0.16,0,0,0,0,0,0.7,0,0,0,0
"Portugal",6.66,0.03,0.07,0,0.02,0.16,0,0,0,0,0,0,0,0,0,0,1.24,0,0.0298,0,0.27,0.1,2.02,0,1.7,6.58,0,0.66,1.51,1.43,0,9.83,0.49,0.01,0,0.52,0.23,0,0.03,0.0053,0,0,0,0.0896,0.0176,0.009,0,0.6,1.4,0.37,0,0,0,0,0,0.81,0,0,0,0,0,0.02,0,0,0,0
"Germany",20.44,7.71,2.71,0.4,0.63,1.22,2.62,0.84,1.37,1.12,0.5,1.02,2.44,0.99,0.41,0,5.05,3.51,0.6,4.44,69.9,4.68,46.93,3.06,91.77,26.04,0,88.88,54.57,35.2,9.83,0,7.12,39.1,9.15,3.08,46.46,0.05,14.05,14.21,6.89,29.75,13.38,0.92,5.73,2,11.16,28.03,15.92,25.61,0.86,8.5,1.51,1.11,1.0657,1.61,0,0,0.09,5.59,0,40.22,0,1.91,11.32,0.18
"Poland",9.12,0.96,0.33,0.0017,0.008,0.18,0.213,0.0197,0.0081,0.0097,0.04,0.01,0.69,0.12,0.229,0.44,1.95,0.01,0.1093,1.8194,2.63,0.05,24.27,1.07,2.73,2.4,0,10.98,2.34,0.37,0.49,7.12,0,11.03,0.02,1.5,9.52,0.0035,0.25,0.75,0.22,0.95,1.86,0.14,0.69,0.1376,4.29,12.24,1.97,0.53,0.0069,0.75,0.07,1.69,0,1.7,0.0048,9.0024,0.0098,0.21,0,1.13,0,0.0053,7.1,1.59
"Austria",22.83,0.58,0.12,0,0.0087,0.67,0.22,0,0,0,0.01,0,0.06,0.09,0,0.01,0.93,0,0,2.6438,1.61,0.37,0.12,0.22,1.9,5.8,0,1.93,1.19,0.11,0.01,39.1,11.03,0,17.99,36.4,18.14,0.219,9.24,0.83,0.38,16.06,0.48,0,0,0,1.61,1.6,0,0.74,0,1.91,0.8,0.79,0.0223,3.28,0,0,0,1.46,0,6.32,0,0,5.86,0.23
"Hungary",1.23,0.09,0.08,9,9,0.126,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,5,0,2.24,0.65,0,2.35,5.5,0,0,9.15,0.02,17.99,0,3.04,11.87,9,3.75,1.65,0.15,7.26,0.46,9,9,9,0,1.76,1.54,1.45,0,0,0,0.33,0,2.04,0,0,0,0.47,0,0.3,0,0,0.15,0
"Czechoslovakia",5.32,1.5,0.63,0.055,0.01,1.31,0.01,0,0.05,0.04,0.0284,0,0.74,0.13,0.4,0.37,3.09,0.0016,0.228,2.59,2.44,1.41,9.88,1.05,2,2.14,0,1.26,4.62,1.0037,0.52,3.08,1.5,36.4,3.04,0,5.67,0.02,1.09,1.26,0.45,5.09,1.72,0.13,0.07,0.01,3.95,2.03,4.74,0.51,0,3.37,0.93,2.44,0.003,3.7,0,0,9.31,1.24,0,0.88,0,0.22,2.74,0.39
"Italy",31.52,0.09,0.26,0.07,0.05,0.67,0.07,0.085,0.21,0.01,0.08,9.14,0.77,0.71,0.25,0,3.29,0.1689,0.33,7.23,29.71,1.25,8.33,9.31,0.4,3.17,0,0.98,5.3,15.36,0.23,46.46,9.52,18.14,11.87,5.67,0,2.51,3.45,1.81,0.45,14.17,4.44,0.18,0.01,0.12,1.24,2.53,1.73,1.31,0,1.43,6.25,0.32,0.0055,4.15,0,0,0,0.05,0,0.42,0,0.02,20.91,0.65
"Albania",0.01,0.0024,0,0,0,0.0042,0,0,0,0,0,0,0.001,0,0,0,9.0053,0,0,0,0.002,0,0.9348,0,0.0094,0,0,0.0339,0,0,0,0.05,0.0035,0.219,9,0.02,2.51,0,0.06,0.34,0.0011,0.0013,0,0,0,0,0,0,9,0,0,0,0,0,0,0.0051,0,0,0,9,0,0,0,0,0.0001,0
"Yugoslavia",0.49,0.0521,0.0079,0,0.0033,0.139,0.0004,0.0011,0.0005,0.0025,0,0.0001,0.22,0.0796,0.02,0.3076,1.13,0,0.03,0.0399,0.16,0.48,1.29,0.01,1.68,10.03,0,1.84,1.04,0.05,0.03,14.05,0.25,9.24,3.75,1.09,3.45,0.06,0,8.21,0,1.25,0.14,0.01,0.0012,0.0001,0.0293,0.71,0.03,0.13,0,0.18,0.0043,0.18,0,0.62,0.0006,0,0,0.01,0,0.0985,0,0.0001,0.24,0.0935
"Greece",11.23,1.75,0.005,0,0,0.0184,0,0,0.0007,9,0.0004,0,0.09,0.0033,0.0012,0.0095,1.16,9,0,0.04,10.97,0.0285,9.03,0.39,0.25,0.42,0,0.3,0.02,0.0098,0.0053,14.21,0.75,0.83,1.65,1.26,1.81,0.34,8.21,0,0.02,18.48,2.12,0.02,0,0,0.89,0.53,0.18,1.12,0,0.04,0.0026,1.97,0,4.17,0,0,9,0.0099,0,0.12,0,0,4.39,0.1
"Bulgaria",1.18,0,0.0092,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.95,0,0.56,1.64,0,1.06,0.04,9.19,0,6.89,0.22,0.38,0.15,0.45,0.45,0.0011,0,0.02,0,1.78,9.01,0.0697,0.0005,0.001,0,0.28,0.24,1.35,0,0,0,0.06,0,0.95,0,0,0,0,0,0.02,0,0,0,0
