"","United States of America","Canada","Bahamas","Cuba","Haiti","Dominican Republic","Jamaica","Trinidad and Tobago","Barbados","Grenada","Mexico","Guatemala","Honduras","El Salvador","Nicaragua","Costa Rica","Panama","Colombia","Venezuela","Guyana","Suriname","Ecuador","Peru","Brazil","Bolivia","Paraguay","Chile","Argentina","Uruguay","United Kingdom","Ireland","Netherlands","Belgium","Luxembourg","France","Switzerland","Spain","Portugal","German Federal Republic","German Democratic Republic","Poland","Austria","Hungary","Czechoslovakia","Italy","Malta","Albania","Yugoslavia","Greece","Cyprus","Bulgaria","Romania","Russia","Finland","Sweden","Norway","Denmark","Iceland","Cape Verde","Sao Tome and Principe","Guinea-Bissau","Equatorial Guinea","Gambia","Mali","Senegal","Benin","Mauritania","Niger","Ivory Coast","Guinea","Burkina Faso","Liberia","Sierra Leone","Ghana","Togo","Cameroon","Nigeria","Gabon","Central African Republic","Chad","Congo","Democratic Republic of the Congo","Uganda","Kenya","Tanzania","Burundi","Rwanda","Somalia","Ethiopia","Angola","Mozambique","Zambia","Zimbabwe","Malawi","South Africa","Lesotho","Botswana","Swaziland","Madagascar","Comoros","Mauritius","Morocco","Algeria","Tunisia","Libya","Sudan","Iran","Turkey","Iraq","Egypt","Syria","Lebanon","Jordan","Israel","Saudi Arabia","Yemen Arab Republic","Yemen People's Republic","Kuwait","Bahrain","Qatar","United Arab Emirates","Oman","Afghanistan","China","Mongolia","Taiwan","North Korea","South Korea","Japan","India","Bhutan","Pakistan","Bangladesh","Myanmar","Sri Lanka","Maldives","Nepal","Thailand","Cambodia","Laos","Vietnam","Republic of Vietnam","Malaysia","Singapore","Philippines","Indonesia","Australia","Papua New Guinea","New Zealand","Fiji"
"Austria",23.6,21,0,27.8,0.21,0.3,0.587,1.01,0.118,0,0.9,3.221,3.555,2.865,3.209,6.577,6.014,6.55,9.3,0.165,0.321,4.27,0.42,32.427,3.1,0.665,6.69,21.9,2.167,78.8,3.67,72,82.4026,3.6973,174.4,54.3,22.64,1.77,0,46.3,358.99,0,63.44,1.6,161.6,2.69,0.3,234.87,50.96,2.842,42,133.49,101.5,63.8,95.5,66.23,85.54,1.183,0,0,1.196,0,0.1,0.142,0.82,1.041,2.1,0,3.38,0.4,0.135,6.921,0.143,8.661,0.193,1.092,42.4,0.386,0.159,1.1,0.409,3,1.714,0.221,1.403,0,0.1,0.5,0.323,0.9,2.584,3.8455,0,0.847,7.3,0,9.4,9,0.2,0,0.62,1.7,19.56,6.48,65.4,3.227,7.7,19.57,216,19.32,34.36,22.7,6.05,5.42,5.2,0.299,0,8.4,3.8,8,21.8,2.24,0.43,15.9,0.6,13.4,23.3,6.9,88.8,2.54,0,4.53,0.14,0.067,2.5,0,0.1,4.12,0.3,9,0.6,0,8.91,15.92,2.4,1.3,24.85,0.523,2.28,0.196
"Hungary",62.49,0.41,0,5.39,0.104,0,0.021,0.18,0.07,9,0.1,0,0.311,0.015,0,0.332,0.373,5.81,0,0,0.214,8.97,4.34,37.438,0,9,0.39,4.04,0.212,37.21,1.31,9.37,11.3986,0.5114,10.98,29.71,0.98,1.28,0,69.1,25.95,63.44,0,25.57,57.27,0.86,5.09,45.25,2.89,0.12,12.23,29.24,130.55,0.59,16.47,6.82,3.36,0.186,0,0,0.003,0,0.727,0,0,9.293,0,0,1.5,7.86,9,0.106,2.023,12.497,0.331,2.18,3.14,0.067,0.026,0,0.123,0,6.251,0.932,4.01,0,0.3,0,1.32,0,0,0.2027,0,9,0,0,0,0,0.886,9,0.205,3.27,5.35,3.31,10.9,0.962,7.25,5.28,56.6,0.24,5.67,10.53,2.63,1.42,4.1,9.003,0,15,0.29,10.37,0,0.03,0,11.36,1.2,0,0.36,0,31.58,5.88,0,1.38,1.93,0.073,0.2,0,0,1.06,0,0,27.31,0,11.37,1.73,0,1.3,10.26,9.171,0.98,0.068
"Czechoslovakia",14.7,40.6,0.01,0,0.534,9,0.134,9.72,9.153,0,5.3,0.463,0.263,0.266,0.344,0.997,0.53,0.95,6.3,0,0.199,0.31,0.36,16.276,0,9,0.05,0.47,5.863,18.1,10.12,4,16.9399,0.7601,56.8,38.3,2.12,1.75,0,0,80.62,1.6,25.57,0,4.2,4.32,0,73.82,0.74,2.25,0,50.47,0,0.89,1.1,14.53,10.46,0.037,0,0,0,0,0.682,0.391,0,9.754,0,0,2.85,0,9,5.702,13.509,8.091,9.913,1.608,27.6,0.275,0.061,9,0.071,1.9,0.135,0.405,0.006,0.739,0.1,0.079,2.316,0,0.001,1.8106,0,9.004,0,0,0,0,0,9,0.154,7.21,2.8,6.82,16.1,2.346,47.9,20.39,69.9,44.49,38.51,0,0.6,4.71,9,0.782,0,11.1,0.69,9.61,16.6,9.35,0.765,0,0,0,0,0,18.6,7.29,0,2.6,4.95,6.292,1.053,0,0,4.42,0,0,0,0,2.97,3.35,1,3.6,3.56,0.319,0.39,0.352
"Italy",703.1999,147.8,7.43,73.4,3.821,17.1,7.502,9.73,1.599,0.144,37.3,26.857,0.045,6.273,2.365,14.219,34.413,3.09,173.6,0.201,1.055,1.91,11.29,241.86,9.361,1.374,67.95,146.96,5.155,517.8,5.53,575.4,18.184,0.8159,369.7998,436.7,546.75,119.47,0,0.3,153.3,161.6,57.27,4.2,0,59.93,1,528.23,192.97,14.973,66,9.88,146.8,90.75,34.6,3.1,142.3,1.495,0,0,1.168,0.1,4.241,2.145,2.377,3.124,30,1.657,72.49,2.5,0.44,68.744,2.792,1.736,4.807,14.89,300.9,33.391,4.252,4.507,36.126,109.2,0.138,14.638,11.791,0.042,4.298,39.795,17.41,1.8,8.364,66.9573,0,3.052,205.6,0.1,9.5,10.8,2.562,0.1,4.528,43.31,92.99,2.77,320.9,4.69,802,254.84,1498.8,69.09,169.63,174.9,29.94,143.24,2186.3,5.982,3.9,252.1,28.78,116.77,110,5.94,1.594,15.9,0.4,36.4,9.6,35.9,90.3,26.01,0,30.6,11.28,0.182,7.154,0,9.4,43.91,0.1,0.4,21.9,0,59.75,65.15,22.2,22.5,2.93,3.487,8.77,1.184
"Malta",28,4.93,0.13,0.03,0,0,0.178,0.01,0.017,0,0.1,0,0,0,0.48,0.01,0,0.03,0.01,0.01,0,0.26,0.14,2.474,0,0,0.01,1.25,0,61.96,0.72,11.03,9.6089,0.4311,14.07,3.71,3.45,0.09,0,0.36,0.5,2.69,0.86,4.32,59.93,0,9.66,0.21,4.39,0.214,0.5,3.35,2.81,0.3,3.75,1.27,2.89,0.09,0,0,0,0,0.01,0,0.02,0,0,0,0.33,9,0,0.004,0.039,0.249,0,0.42,1.35,0,0,0.06,0,0.06,0,0,0.14,0,0,0,0.05,0.01,0.01,0.0082,0,0.02,2.92,0,0.03,9,0.01,0,0.002,0.03,0.33,0.34,11.01,0.08,0.03,0.18,0.05,0.17,0.03,0.27,0.04,1.67,0.28,0.12,0,1.99,0.36,9.31,3.38,0.25,0,3.01,0,1.49,9,0.09,9.53,0.27,0,1.15,0.05,0,0.29,0,0,0.01,0,0,9,0,0.01,0.55,0.01,3.52,2.88,0,4.97,0
"Albania",3,19.1,0,0,0,0,0,0,0,0,0,9,0,0,9,0,9,0,9,0,0,9,0.03,9.35,0,0,0,9.05,0,1.3,0.01,0.8,0.8614,0.0386,1.1,1,0.33,0.05,0,0,0,0.3,5.09,0,1,9.66,0,7.07,0.32,9,0,0.07,0,0.05,1.2,0.23,0.61,0,0,0,0,0,0,0,9,9,0,0,9,0,0,9,0,0,0,0,9,0,0,0,9,0,0,0,0,9,9,0,0.019,0,0,0,0,0,0,0,0,0,0,0,9,5.68,0,0,10.2,0,9,0.46,9,0.69,0,0,0,0,0,9,0,0,9,9,0,0,0,0,0,0,0,0,7,9,0,0.06,0.19,0,0,0,0,0.02,0,0,0,0,0,9.06,0,0.1,0,0,9,0
"Yugoslavia",136.66,36.79,0,10.07,0.001,0.55,0.977,0.05,0.022,0,5.06,0.111,0.019,2.66,0.457,5.422,8.556,0.57,1.72,0.47,0.28,13.01,8.11,76.378,0.04,3.53,33.39,3.35,2.775,183.89,3.57,56.63,51.4323,2.3077,231.92,165.93,29.32,0.19,0,34.15,1.22,234.87,45.25,73.82,528.23,0.21,7.07,0,50.63,0.851,11.29,2.11,205.77,3.05,74.7,11.1,26.06,2.519,0,0,0,0,0.02,0.981,0.02,0,0.01,0.01,14.02,6.86,0.002,18.604,0.055,22.902,0.072,0.151,16.85,2.584,1.787,0,0.322,0.28,7.279,2.528,6.854,0,2.16,0.01,4.567,0.03,0.069,31.1882,0,0.011,0,0.01,5.62,0.32,1.225,0,0.13,54.15,17.15,1.34,8.47,19.556,47.49,8.52,372.22,34.73,6.22,7.33,0.98,1.89,5.7,0.038,0.24,6,0.24,0.36,9.6,0.51,0.28,6.09,0.01,0,10.16,13.41,163.02,33.12,0,0.28,0.61,1.068,2.02,0,0.04,0,0,0.08,0.87,0,24.2,3.43,5.33,7.94,46.89,1.079,9.91,0.007
"Greece",270.26,27.69,28.1,9.01,0.006,0.03,0.039,1.2,0.035,0,2.42,0.055,0.495,0.009,0.007,0.295,0.852,2.3,0.26,0,0.047,8.94,0.02,19.9,1.31,0.027,0.67,10.67,15.409,112.86,2.93,110.33,89.7816,4.0284,106,62.86,36.18,20.85,0,14.58,2.29,50.96,2.89,0.74,192.97,4.39,0.32,50.63,0,34.107,11.76,17.73,15.58,25.36,60.2,30.96,24.87,5.345,0,0,0.37,0.39,0.02,0.16,15.34,1.2,0.62,0.27,11.81,0.38,0.15,1.438,0.011,3.263,0.016,1.07,65.88,10.397,0.001,0.73,0.652,9.03,1.832,3.296,1.935,0.164,0.15,0.01,2.659,0.49,0.571,11.7945,0,0.24,8.82,0,0,9,1.5,0,0.039,6.43,0.3,87.83,133.46,6.447,24.03,0.24,32.06,18.08,152.61,25.56,3.05,53.96,431.16,0.374,0,10.69,0.2,0.51,3.3,0.42,1.43,0.66,0.01,11.92,0.03,1.43,403.88,4.36,0,1.12,0.66,0.04,0.7,0,0,0.42,0,9,0,0,8.48,1.31,0.64,53.43,48.78,9.257,46.47,0.003
"Cyprus",8.086,1.655,0.014,9.065,0,0,0.001,0,0.006,0,0.006,0,0,0.009,0.018,0,0.001,0.017,0.001,0.001,0.002,0,0,2.945,0,0,0.022,0.682,0.792,6.708,2.098,1.466,3.12,0.14,19.27,3.14,0.985,3.267,0,0.753,0.423,2.842,0.12,2.25,14.973,0.214,9,0.851,34.107,0,2.315,0.859,13.564,1.597,0.137,0.048,2.434,0.021,0,0,0.005,0.001,0.029,0,0,0,0,0.001,0.299,0,0,0,0.162,0.014,0,0,3.1,0.005,0,0,0.001,0.012,0,0.067,0.004,0.01,0,0.015,0.113,0,0.048,0.0636,0.003,0.001,0.011,0,9,0,0,0,0.015,0.058,0,0,8.696,0.204,0.403,5.278,17.45,0.136,9.506,2.71,0.64,5.378,0.305,0.064,0.003,1.387,0.61,9.33,2.658,0.403,0,0.265,0,0.972,0,0.549,11.858,0.791,0,0.371,0.01,0,0.103,0,9.001,0.053,9,9,0,0,0.038,0.443,0.103,0.001,0.197,0,3.019,0
"Bulgaria",9,1.7,0,0,9.092,9,9,0,0.001,9,0,0,0.003,0,0,0.241,0.009,0.13,0,0,0,0.04,2.14,21.076,9,0,3.58,0.59,0.108,36.3,0.61,28.6,25.6492,1.1508,87.1,28.7,9.47,4.65,0,0,64.85,42,12.23,0,66,0.5,0,11.29,11.76,2.315,0,23.61,0,0.39,29.7,1.38,4.88,0.049,0,0,0,0,9,9,0,9,0,0,7.21,0,0,9.2,9,2.835,0.011,0.029,7.8,0.031,9.57,9,0.139,9,9,0.005,1.881,0,9,0,0.076,0,10.072,9,0,0,0,0,0,0,0,9,0.004,10.46,4.41,1.43,1.3,0.324,50.4,19.46,33.4,3.59,2.88,0,2.52,0.89,0.9,9,0,14.3,0.02,9.1,9,9.25,0.12,0,0,0,0,0,40.1,7.83,0,2.86,3.28,0.001,0,0,0,0.65,0,0,0,0,3.7,4.83,9,19.1,2.15,9,0.72,0
