"","United States of America","Canada","Bahamas","Cuba","Haiti","Dominican Republic","Jamaica","Trinidad and Tobago","Barbados","Grenada","Mexico","Guatemala","Honduras","El Salvador","Nicaragua","Costa Rica","Panama","Colombia","Venezuela","Guyana","Suriname","Ecuador","Peru","Brazil","Bolivia","Paraguay","Chile","Argentina","Uruguay","United Kingdom","Ireland","Netherlands","Belgium","Luxembourg","France","Switzerland","Spain","Portugal","German Federal Republic","German Democratic Republic","Poland","Austria","Hungary","Czechoslovakia","Italy","Malta","Albania","Yugoslavia","Greece","Cyprus","Bulgaria","Romania","Russia","Finland","Sweden","Norway","Denmark","Iceland","Cape Verde","Sao Tome and Principe","Guinea-Bissau","Equatorial Guinea","Gambia","Mali","Senegal","Benin","Mauritania","Niger","Ivory Coast","Guinea","Burkina Faso","Liberia","Sierra Leone","Ghana","Togo","Cameroon","Nigeria","Gabon","Central African Republic","Chad","Congo","Democratic Republic of the Congo","Uganda","Kenya","Tanzania","Burundi","Rwanda","Somalia","Ethiopia","Angola","Mozambique","Zambia","Zimbabwe","Malawi","South Africa","Lesotho","Botswana","Swaziland","Madagascar","Comoros","Mauritius","Morocco","Algeria","Tunisia","Libya","Sudan","Iran","Turkey","Iraq","Egypt","Syria","Lebanon","Jordan","Israel","Saudi Arabia","Yemen Arab Republic","Yemen People's Republic","Kuwait","Bahrain","Qatar","United Arab Emirates","Oman","Afghanistan","China","Mongolia","Taiwan","North Korea","South Korea","Japan","India","Bhutan","Pakistan","Bangladesh","Myanmar","Sri Lanka","Maldives","Nepal","Thailand","Cambodia","Laos","Vietnam","Republic of Vietnam","Malaysia","Singapore","Philippines","Indonesia","Australia","Papua New Guinea","New Zealand","Fiji"
"Romania",5.35,17.56,0,7.49,0.108,0,0.026,0.09,0.014,0,5.59,0,0.042,0,4.809,1.537,0.093,0.87,1.09,0,0.032,1.64,8.87,12.23,0,9,0.98,33.6,0.078,115.41,2.1,14.88,38.6077,1.7323,33.25,267.17,66.63,7.44,0,77.78,12.23,133.49,29.24,50.47,9.88,3.35,0.07,2.11,17.73,0.859,23.61,0,48.77,7.93,7.11,3.22,26.34,0.107,0,0,0.013,9,0.25,0.137,0,0,0,0,0.76,9.85,9,1.253,0.822,2.7,0.001,0.066,10.2,0.102,0.38,9,0.193,2.3,0.682,0.327,1.143,0.444,0.2,0,0.51,0,0.939,0.8591,0,9,0,0,0,0,0,9,0.015,16.96,14.28,10.84,20.38,11.78,47.6,51.91,27.7,64.33,52.07,59.84,20.66,3.24,4.7,0.566,0,63.83,1.08,9.59,15.4,4.2,9.16,16.78,0.21,0,5.72,0,139.12,0.58,0,15.59,3.44,0.234,5.519,0,0,1.47,0,0,5.33,0,2.13,16.74,5.7,32.08,5.05,0.082,1.49,0.012
"Russia",1568.4,369.7,4.18,0,0,9,23.309,9.12,0.018,0,0.5,0,0.06,0,0.132,1.251,0.015,1.29,0,32.114,0.048,11.52,121.5,370.085,0,9,0.04,266.36,12.064,436.2,15.64,91.5,51.2026,2.2974,373.1,60.2,68.01,37.29,0,0,254.7002,101.5,130.55,0,146.8,2.81,0,205.77,15.58,13.564,0,48.77,0,135.83,238.8,11.54,106.7,17.55,0,0,6.195,11.918,9.521,0.109,16.695,2.818,0,0,5.6,0,0.295,0.934,10.663,46.906,3.615,43.697,97.7,0.016,0.705,9,0.608,1.1,2.123,0.26,0.383,0,2.808,6.931,3.427,0,0,0.1909,0,0,0,0,0,0,0,9,0.008,27.07,24.91,3.73,22.3,5.861,240.1,0.02,112.1,373.31,2.59,0,14.15,0.08,3.8,8.517,0,5.2,0.41,9.31,15.5,9.81,2.999,0,0,0,0,0,457.1,117.1,0,20.3,44.52,3.756,1.351,0,0,0.92,0,0,0,0,97.38,45.89,10.1,11.8,346.07,0.068,34.12,0.009
"Finland",258.77,6.17,0.01,29.93,0.105,35.29,0.436,0.25,0.132,0,13.24,10.448,1.534,2.996,0.617,18.4,4.136,32.84,10.06,6.306,0.021,4.97,4.47,0.782,0.15,0.027,0.41,38.77,2.303,226.93,35.61,51.35,54.5523,2.4477,96.37,94.79,17.45,17.41,0,12.79,97.62,63.8,0.59,0.89,90.75,0.3,0.05,3.05,25.36,1.597,0.39,7.93,135.83,0,210.36,82.45,43.14,6.872,0,0,0,0,0.01,0.1,6.05,0,0.02,0.18,1.47,0.05,0.02,1.164,0.441,4.028,0.12,1.087,7.64,0.359,0.007,0.04,0.177,0.7,0.126,4.818,5.351,0.08,0.01,10.06,3.217,0.82,0.449,0.5245,0,0.69,17.11,0,9.44,2.65,0.16,0,0.372,9.64,17.32,3,3.79,2.363,83.03,6.96,0.99,10.11,1.86,5.46,0.82,13.37,119.74,0.48,0.34,2.61,0.16,0.11,0.73,2.98,0.46,8.1,9.09,4.04,0.46,7.09,141.52,1.43,0,2.76,0.2,0.349,0.48,9,9.01,0.65,0.1,9.02,0.35,0,5.63,1.03,29.34,2.68,38.25,0.02,1.32,0.003
"Sweden",254,171,10.48,11.9,0.309,28.2,10.739,0.28,0.476,0.092,63.5,1.782,0.138,3.106,0.235,8.63,3.689,29.63,62.9,0.61,4.251,3.58,50.68,248.917,6.422,2.655,20,29.13,4.682,0.1,45.77,157.4,112.55,5.05,189,70.2,190.4,67.06,0,4.4,277.14,95.5,16.47,1.1,34.6,3.75,1.2,74.7,60.2,0.137,29.7,7.11,238.8,210.36,0,675.53,198.65,21.159,0,0,1.105,9,1.454,0.105,1.068,0.214,1.1,0.2,2.12,0.2,0,11.719,0.47,5.744,0.606,1.518,168.9,2.377,0.073,0.1,0.069,9.2,1.793,10.186,11.683,0.156,1.194,0.9,4.526,6.1,5.609,8.11,0,0.476,100.4,9.2,9.1,0.4,0.57,0,1.321,18.75,64.21,16.9,29.5,5.013,154.8,17.72,81.4,31.55,18.24,18.5,10.68,39.49,178.3,0.186,1,11.2,1.46,70.39,105.3,10.15,1.3,6.2,0.1,20.8,66,36.2,304.3,54.34,0,4.75,14.75,2.91,2.377,0,9.3,9.95,9,9.1,31.2,0,16.48,17.22,10.6,4.9,186.92,1.987,35.84,1.245
"Norway",274.3,83.45,9.13,9.71,0.179,3.52,48.228,2.49,1.719,0.014,4.33,2.219,0.963,0.606,0.922,5.167,2.683,8.21,0.29,5.966,29.491,1.54,6.06,23.71,0.16,0.216,5.15,4.11,1.473,362.84,10.79,200.35,80.2971,3.6028,72.71,110.15,14.21,10.66,0,15.23,10.09,66.23,6.82,14.53,3.1,1.27,0.23,11.1,30.96,0.048,1.38,3.22,11.54,82.45,675.53,0,58.16,45.2,0,0.21,0.078,9,0.013,0.017,1.04,0.03,0.21,0.1,2.65,1.83,0,45.96,0.226,15.297,0.173,0.662,17.71,15.131,0.005,0.47,0.109,7.68,0.813,2.426,2.976,0.02,0.03,0.93,0.343,4.04,1.323,4.0009,0,0.264,8.53,9,9,0.02,0.02,0.11,0.147,4.69,0.17,0.76,21.5,0.455,169.94,8.15,1.24,3.99,0.93,2.14,0.5,8.53,33.4,0.003,2.41,16.87,1.44,11.68,81.13,55.56,0.06,100.19,0,1.79,1.2,4.38,516.76,1.62,0,0.33,5.27,2.218,0.45,9.6,9.01,2.66,0.04,0,20.29,0,2.73,7.35,1.32,1.4,12.66,0.117,3.07,0.27
"Denmark",133.3,40.36,6.75,17,0.035,1.63,1.495,3.95,0.985,0.377,1.56,3.321,0.971,4.913,6.146,4.383,3.747,8.58,10.78,5.597,4.753,1.93,4.22,68.522,3.66,1.792,7.15,15.62,0.556,315.08,17.87,363.52,207.7868,9.3232,99.24,54.86,14.51,14.85,0,33.86,21.56,85.54,3.36,10.46,142.3,2.89,0.61,26.06,24.87,2.434,4.88,26.34,106.7,43.14,198.65,58.16,0,35.692,0,0.31,0.061,0.01,0.347,0.383,0.108,1.736,0.03,0.033,2.71,0.78,1.901,2.636,0.828,0.331,0.508,0.012,25.11,0.576,0.083,0.14,0.815,3.55,1.212,2.302,10.925,0.542,0.39,1.16,1.312,7.95,4.196,2.9408,0.07,0.402,17.67,9,0.25,0.01,0.4,0.09,0.672,0.45,20.7,9.72,2.33,4.782,245.45,4.47,24.53,4.71,9.6,8.77,6.44,4.6,134.68,0.653,4.92,50.26,11.12,8.93,4.12,43.29,2.46,0.73,0.03,3.76,20.12,15.08,69.44,5.73,0,6.07,9.14,4.026,1.908,0.06,0.19,6.68,0.06,0.04,3.56,0,3.72,18.73,8.11,12.35,32.63,3.005,3.52,0.306
"Iceland",45.344,0.688,4.69,0,0.003,0.007,0.003,0.059,0.013,9,0.097,0,0.065,0.011,0.052,0.247,0.137,0.066,0.079,0,0,0.081,0.015,1.475,0,0,0.067,0.026,0.001,16.114,0.255,31.594,9.0633,0.4067,9.932,0.173,11.671,34.038,0,0.634,0.741,1.183,0.186,0.037,1.495,0.09,0,2.519,5.345,0.021,0.049,0.107,17.55,6.872,21.159,45.2,35.692,0,0,0,0,0,0,0,0,0,0,0,0.003,9.05,9,0,0,0.093,0,0.014,2.18,0.119,0,0,0.038,0.214,0,0.004,0.004,0,0,0,0.023,0.026,0.035,0.0009,0,0,0.823,0,0,0,0.006,0,0,0.074,0.014,2.033,0,0.063,0.05,0.031,0.009,0.002,0.039,0.022,0,0.363,0.5,0,0,0,0.002,0,0,0,1.21,10.662,9,0.845,0,1.187,6.763,0.694,0,0.063,0.001,0.069,0.006,0,0,0.129,0,0.004,0,0,0.038,0.13,0.021,0.033,27.731,0.001,0.176,0.001
"Cape Verde",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.6699,0.0301,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Sao Tome and Principe",0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0,1.7,0.1914,0.0086,0.3,0.1,0.1,2.75,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.21,0.31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0.2,0,0,0,0,9,0,0,0,9,0,0,9,1.4,0.136,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,9,0,0,0,9,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,9,0,0
"Guinea-Bissau",0.205,0.155,0,0,0,0,9,0,0,0,9,0,0,0,0,0,9,9,0,0,0,0,0,0.005,0,0,0,1.839,0,0.553,0,0.247,1.694,0.076,0.972,0.832,0.975,10.735,0,0.464,9,1.196,0.003,0,1.168,0,0,0,0.37,0.005,0,0.013,6.195,0,1.105,0.078,0.061,0,0,0,0,0,0.18,0,0.333,9,0,0,0,0.02,0,0.051,9,9,0,0,0,0,0.546,9,0,0,0,0,0,0,9,9,9,0.012,0.061,0,9,0.309,0.004,0,0,0,0,0,0,0.001,0.324,0,0,0,0,9,0,0,0,9,0,0,0,9,0,0,0.01,0,0,9,0,0.864,0,0,9,0,0.497,0,0,0.567,0,0,0,0,0,0.06,0,0,0,0,0,9,0,0,0,9,0,0
"Equatorial Guinea",2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,9,0,0,0,0,0,0,9,0,0,0,0,0,0.074,0,1.918,0.0957,0.0043,2.4,1.6,14.28,9.01,0,0,9,0,0,0,0.1,0,0,0,0.39,0.001,0,9,11.918,0,9,9,0.01,0,0,0,0,0,0,9,0,0,9,0,0.26,0,0,0,0,0,0,0.439,0.764,0.008,0,9,0,0,0,0,0,0,9,0,0,0,0,0,9,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,9,0,9,0,0,0.2,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Gambia",1.734,0.282,9,9,0,0,0,0.332,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0.05,0.01,0,0,0,0,0,3.202,0.029,2.099,0.335,0.015,1.551,10.263,0.39,7.712,0,0.519,1.566,0.1,0.727,0.682,4.241,0.01,0,0.02,0.02,0.029,9,0.25,9.521,0.01,1.454,0.013,0.347,0,0,0,0.18,0,0,0,1.227,0,0,0,0.02,0,0,0.023,0.975,0.183,0.001,0,0.104,0,9,0,9,9,0,0,9,0,0,0,0,0,0,0,0,0.729,9,0,0,0,9,0,0,0,0,0,0,0,9.1,9,0,0,0,0,0,9,0.1,9,0,0,0,0,0,0,0,8.076,0,0.358,0,0,3.607,0.874,0,0,0.12,1.582,0,0,0,0,9,0,0,0,9,9,0,9,0,9,0.01,0
"Mali",4.306,0.1,9,8.285,0,0,0.009,9,0,0,9,0,9,0,0,0,0,0,0.736,9,0,9,0,0,0,9,0,0.361,9,2.383,0.02,1.892,2.1342,0.0958,55.281,0.046,0.182,0,0,0.673,0.171,0.142,0,0.391,2.145,0,0,0.981,0.16,0,9,0.137,0.109,0.1,0.105,0.017,0.383,0,0,0,0,9,0,0,15.134,0,0.19,0.467,28.09,0.028,0.9,0.205,0.103,0.204,2.786,0.005,0.002,0.018,0,0,0,0,0,0,9,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0.001,0.084,0.093,0,0,9,0,0,0,0.833,0,0,0,0,0.1,9,9,9,0,0,9,0,0,20.124,0,0,0.044,0,1.691,0,0,0.059,0,9,0,0,0,0,9,0,9,0,0,9,0,0,0,0,0,0
"Senegal",40.996,5.2,0,0,0,9,0,0,0.002,9,0,9,0,0,0,0,0,0,0,0,0,0,0,0.209,9,0,0.04,1.47,0.001,19.97,0.1,3.604,10.0491,0.4509,1.181,1.87,2.057,2.51,0,0,0,0.82,0,0,2.377,0.02,9,0.02,15.34,0,0,0,16.695,6.05,1.068,1.04,0.108,0,0,0,0.333,0,1.227,15.134,0,1.598,24.347,1.138,6.123,0.705,0.868,0.057,1.123,0.78,1.22,2.379,21.408,2.525,0.501,2.843,2.872,0.597,9,0,0,0,0,0,0.009,0,0.003,0.0027,0,0,0,0,9,0,0.532,0,0.016,1.104,0,0.6,0,0,0,0,0,0.05,9,0,0,0.01,0.1,9,0,0,0,0,0,0,9,8.651,0,0,0,0,5.979,3.24,0,11.855,0.29,0,0,0,0,6.73,0,0,0,0,0,0,0,0,0,9,0.77,0
"Benin",12.186,1.939,0,9,9,9,0,0.01,0,0,0,0,0,0,9,0,0,0,0.661,0,0,9,0,0.02,0,0,9,0,9,24.121,0.004,8.391,4.5556,0.2044,41.613,1.246,2.589,0,0,0.246,0.197,1.041,9.293,9.754,3.124,0,9,0,1.2,0,9,0,2.818,0,0.214,0.03,1.736,0,0,0,9,0,0,0,1.598,0,0,2.449,5.168,9,0.024,0.037,0,1.073,0.654,0.222,5.237,0.071,0.001,9,0.034,0.007,0,0,0,0,0,0,0,0,0,0,9,9,9,0,0,0,0,0,0,0.588,6.886,0.107,0,9,0.109,0,0.211,0.011,9,0,0,0.35,0,9,9,9,9,0,0,0,0,7.092,0,0,9,0,5.239,6.229,0,0.021,0.2,9,0,0,9,0.1,0,0,0,0,0,9,0,9,0.088,0,0,0
"Mauritania",14,2.4,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,9,9,0,0,0,0,11.64,0,0,0,0,9.001,29.3,0,7.4,11.7718,0.5282,52.4,0.6,20.2,0.04,0,0,0,2.1,0,0,30,0,0,0.01,0.62,0,0,0,0,0.02,1.1,0.21,0.03,0,0,0,0,9,0,0.19,24.347,0,0,0,0.89,0,0,1.969,0,0.089,0,0,0,0,0,0,1.782,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.99,3.84,0,0,0,0,0,9,0,0,0,0,0,0.2,0,9,0,0,9,9,0,0,0,0,0,0,0,22.9,0.6,0,0.03,0,0,0,0,0,0.02,0,0,0,0,0,0,0,2.2,0,9,0,0
"Niger",10.13,1.588,0,0,9,0,9,0,0,0,0,0,0,0,0,0,0,0,1.263,0,0,0,0,0.01,0,0,0,0,0,0.716,0.468,2.573,0.1436,0.0064,23.776,0.046,2,0,0,0,0,0,0,0,1.657,0,0,0.01,0.27,0.001,0,0,0,0.18,0.2,0.1,0.033,0,0,0,0,0,0,0.467,1.138,2.449,0,0,12.22,0,0,0,0.007,1.607,0.057,0.258,1.897,0.015,0,0,0.609,0,9,0,0,0,0,0,0.003,0,0,0,0,0,9,0,0,0,0,0,0.001,0.051,7.733,0,0.054,0,0.079,0,0,0,0,0.034,0,0.6,0,0,0,9,0,0,0,0,0,1.876,0,0.535,9,0,0.574,0,0,0.803,0.59,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0
"Ivory Coast",91.41,0.74,0,0.02,0.01,9,0,3.82,0,0,1.18,0,9.01,9,0.15,0,1.33,0.3,2.45,0,0,0.07,0.01,8.979,0,0.11,0.05,0.34,0.664,1.75,1.37,49.32,3.6464,0.1636,60.02,2.56,50.86,6.73,0,5.66,3.13,3.38,1.5,2.85,72.49,0.33,9,14.02,11.81,0.299,7.21,0.76,5.6,1.47,2.12,2.65,2.71,0.003,0,0,0,0.26,0.02,28.09,6.123,5.168,0.89,12.22,0,0.07,27.991,0.739,0.453,2.325,1.696,4.342,48.52,3.797,0.209,1.32,0.221,0.84,0,0.06,0.56,0.04,0,0.04,0.004,0,0,0.2755,0,0,0,0,0,0,0.042,9,0.033,10.59,12.16,0.54,0.21,0,30.74,0.1,16.17,0.3,0.51,3.4,0,0.26,14.51,9,0,0,0.03,9,0,0,9,5.8,0,15.88,0,0.89,28.07,6.81,0,0.37,0.05,4.23,0.17,0,0,0.92,0,0,0.03,0,0.02,0,0.38,0,0.01,0.007,0.06,0
"Guinea",24.5,16.2,0,0,0,0,9,0,0.001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.13,9,0,0,0.97,0,8,0.01,3.5,11.2933,0.5067,28.4,4,19.64,0.28,0,0,0,0.4,7.86,0,2.5,9,0,6.86,0.38,0,0,9.85,0,0.05,0.2,1.83,0.78,9.05,0,0,0.02,0,0,0.028,0.705,9,0,0,0.07,0,0,0.266,0.075,0.016,0,3.36,0,0.009,0,0,0.233,9,0,0,0,0,0,0,9,0,0,0,0,9,0,0,0,0,0,0,0,12.27,2.26,0,0,0,0,0,9,0.86,9,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,2.7,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,9,0,0
"Burkina Faso",9.672,0.782,0,9,0.02,0,0,0,0,0,9,0,0,0,0,0,0,0,10.025,9,9,0,0,9.07,0,9,9,0,9,2.449,0.002,3.66,3.0913,0.1387,55.136,1.258,0.612,0.15,0,9,9,0.135,9,9,0.44,0,0,0.002,0.15,0,0,9,0.295,0.02,0,0,1.901,9,0,0,0,0,0,0.9,0.868,0.024,0,0,27.991,0,0,0,9,0.853,0.043,0,0,0,0.001,0,0.023,9.001,0,0,0,0,0,0,9,0,9,0,9,0,0,0,0,0,0,9,0,0.216,0,0.034,0,0,9,0,9,0,0,0,0,0.09,0,0,0,9,9.01,0,0,0,9,2.454,0,2.103,0,0.004,2.058,0.1,0,9.736,9.12,9,0.001,0,0,0,0,0,9,0,0.03,0,0,0,0,0,0,0
"Liberia",12.848,2.563,0.726,0,0.004,0,0.002,0.001,0,0,0.399,0,0,0,0,0,9,0.15,0,0,9,0.1,0.07,0.591,0,9,0.06,0.23,0.026,15.132,0.196,7.123,21.7922,0.9778,42.654,1.105,27.896,0.029,0,9.07,2.706,6.921,0.106,5.702,68.744,0.004,9,18.604,1.438,0,9.2,1.253,0.934,1.164,11.719,45.96,2.636,0,0,9,0.051,0,0.023,0.205,0.057,0.037,1.969,0,0.739,0.266,0,0,0.347,0.73,0.018,0.009,1.558,0.084,0,0,0.004,0.009,0.001,0.06,0,0,0,0,0.007,0,0,0,0,0.728,0,0,9,0,0,9,0,0.445,0,0,0.006,9,0,0.004,0,0.238,0,0.99,0,2.284,44.129,9,9,0,0,0,9,0.06,0,5.445,0,4.669,9,0,2.965,1.111,0,0.042,0.06,0,0,0,0,0.03,0,0,0,0,0.311,0.341,0,0.005,0.24,0,0.014,0
"Sierra Leone",34.611,3.677,0.006,9,0,9.017,0.015,0.085,0,0,0,0,9,0,0,0,0,0.04,0.928,0,0,0,0,0.126,9,0,0,0.032,0.001,27.707,0.77,6.135,2.8712,0.1288,9.064,0.652,3.204,0.002,0,1.906,2.517,0.143,2.023,13.509,2.792,0.039,0,0.055,0.011,0.162,9,0.822,10.663,0.441,0.47,0.226,0.828,0,0,0,9,0,0.975,0.103,1.123,0,0,0.007,0.453,0.075,9,0.347,0,0.35,0.034,0.007,43.891,0.038,9,9,0.206,0.001,9.001,0.017,9.002,0,0,0,9.011,0,9,0.0023,0,2.602,0,9,9,0,9,0,0.002,0.133,0,0,0,0,0,0.011,9.002,0.456,9.003,0.417,0,0.232,0.2,9,0,9,0,0,0,0,9,10.723,0,2.197,9.272,0.715,0.82,3.841,0,0.746,9.601,0,0.039,9.002,0,0.017,9,0,0,0,0.118,1.11,0.033,0.001,0.055,0.001,0.147,0
"Ghana",32.378,10.67,0,0,0,0,9.795,0.005,0,0,0.006,0,0,0,0.301,0,0,0.165,2.623,0,0,0,0,0.487,0.001,0,0.065,13.211,0.673,10.215,12.495,29.405,6.9291,0.3109,20.489,3.431,27.356,0.19,0,3.342,24.441,8.661,12.497,8.091,1.736,0.249,0,22.902,3.263,0.014,2.835,2.7,46.906,4.028,5.744,15.297,0.331,0.093,0,0,9,0,0.183,0.204,0.78,1.073,0.089,1.607,2.325,0.016,0.853,0.73,0.35,0,1.939,0.001,50.749,9,9,0,0.002,0.002,0.093,0.523,0.015,0,0,0.005,0.03,0.018,0.001,0.005,0,0.007,0.014,0,2.496,0.278,0,0,0.001,0.16,1.156,0,42.677,0.001,0.098,1.125,7.248,6.775,0.209,2.388,0,1.666,0,9,0.004,0,0.019,9,0,9,0,3.066,0,4.248,0,1.558,18.756,2.488,0,4.251,2.28,0,0.059,0,0,0.069,0,0,0,0,5.3,2.71,1.998,2.811,19.242,0,1.829,0
"Togo",6.907,0.494,0,0,0.001,9,0.001,0,0,0,0.003,9,0,0,0,0,0.012,0,5.248,9.026,0,0,0,0.114,0,0,9,0.316,0,19.289,0,26.831,9.7428,0.4372,6.099,1.191,1.992,0.02,0,0.216,0.9,0.193,0.331,9.913,4.807,0,0,0.072,0.016,0,0.011,0.001,3.615,0.12,0.606,0.173,0.508,0,0,0,0,0,0.001,2.786,1.22,0.654,0,0.057,1.696,0,0.043,0.018,0.034,1.939,0,0.031,1.655,0.028,0.031,0.001,0.221,0.061,0,0,9,9,0,9,0,0,9,9.129,9,0.065,0.104,0,0,0,0,0,0,0.344,0.604,0.021,0.184,0,1.156,0,0.539,0.021,9,0.001,0,0.019,0.394,0.43,9.012,0.314,0,0,0,9,9.001,6.475,0,0.905,0.277,0.029,0.088,0.236,0,0.027,0.14,9,0,0,0,0.001,9,9,0,0,0.218,0,0,0,0.039,9,0,0
"Cameroon",19.408,0.172,0,0.014,0,0.029,0.069,1.043,0,0,0.059,0,0.027,0,0.101,0,0,0.053,2.96,0,0,0.01,0,1.439,0,0,0,0.039,0,10.625,1.891,71.921,4.1536,0.1864,127.998,0.238,18.666,3.065,0,1.361,3.381,1.092,2.18,1.608,14.89,0.42,0,0.151,1.07,0,0.029,0.066,43.697,1.087,1.518,0.662,0.012,0.014,0,0,0,0.439,0,0.005,2.379,0.222,0,0.258,4.342,3.36,0,0.009,0.007,0.001,0.031,0,2.206,32.424,5.37,6.028,1.243,4.943,0,0.032,0.01,0,0,0,0,0,0,0.0282,0,0.248,0,0,0,0,0.006,0,0,0.366,1.064,0.376,0,0,0.156,0.053,0,2.24,0.143,0.005,0,0.456,0.005,0,0,0.131,0,0,0,0,0,5.567,0,4.945,0.117,0.306,8.801,1.35,0,1.033,2.21,0,0.01,0,0,0.585,0,0,0,0,0.242,0,0.024,0.029,0.322,0,0.263,0
"Nigeria",2984.5,45.4,472.75,0,0,9,0.024,0.37,0,0,0.6,0.003,0,0,0.005,0,1.495,0.09,7.6,0,0,9.02,0.01,58.201,9,0,9,5.7,16.95,702.2,11.01,450.9,31.2958,1.4042,348.2,54.1,67.95,2.35,0,4.2,24,42.4,3.14,27.6,300.9,1.35,9,16.85,65.88,3.1,7.8,10.2,97.7,7.64,168.9,17.71,25.11,2.18,0,0.2,0,0.764,0.104,0.002,21.408,5.237,0,1.897,48.52,0,0,1.558,43.891,50.749,1.655,2.206,0,0.261,0.66,3.872,0.081,4.5,0,2.075,0.2,0,0,0,0.002,5.5,0,0.0381,0,0,0,0,0,9,0.2,0.1,0.053,5.8,0,0.06,0,0.011,5.4,4.1,0.1,0.01,0,13.8,0,15.97,0.4,9,2.3,0,0,0,0,0,0,62.1,0,0,0,33.4,316.1,36.62,0,2.3,2.8,0.4,0.1,0,0,1.6,0,0,0,0,1.9,6.51,0.5,0.3,5.2,0.002,4.7,0.001
"Gabon",197.074,27.259,36.44,0.074,0,0,0,0,9,0,0.029,9,0,0,0,0,0,0.02,0,0,44.992,0,8.188,112.939,0,0,0.04,3.201,3.56,8.064,0,14.435,9.6471,0.4329,51.765,0.585,141.843,0.55,0,0,0.358,0.386,0.067,0.275,33.391,0,0,2.584,10.397,0.005,0.031,0.102,0.016,0.359,2.377,15.131,0.576,0.119,0,0,0,0.008,0,0.018,2.525,0.071,0,0.015,3.797,0.009,0,0.084,0.038,9,0.028,32.424,0.261,0,0.096,1.676,10.701,0.287,0,0,9,0,0,0,0,2.937,0.012,0.5941,0,0.102,0,0,2.567,0,0.331,9,0.003,5.094,1.022,0.127,0.005,9.03,0,6.761,0,0,0,1.949,0,2.659,0,9,0,0,9,0,0,9,0,5.161,0,4.256,0.004,0.004,3.218,0.01,0,0,0,0,0,0,0,0,9,9,0,0,0,0.093,0,0,0,9,0,0
"Central African Republic",2.643,0.037,0,9,9,0,0,0,0,9,0,0,9,0,0,0,0,0,0,0,0,9,0,0.006,9,0.031,0,0,0,0.541,0.019,1.37,4.0675,0.1825,14.144,0.668,1.592,0.675,0,0.028,0.042,0.159,0.026,0.061,4.252,0,0,1.787,0.001,0,9.57,0.38,0.705,0.007,0.073,0.005,0.083,0,0,0,0.546,0,9,0,0.501,0.001,0,0,0.209,0,0.001,0,9,9,0.031,5.37,0.66,0.096,0,1.047,0.704,1.267,0,0,0,9,0,0,0.001,9,9.106,9.467,0,0,2.168,0,0,0,0,0,0.002,0.066,0.067,0.125,0,0.073,0.1,0,0,0.184,0,0.083,0,5.845,0.3,9,0,0,0,0,0,9.02,9,0.261,0,0.086,0,0,1.491,0.086,0,0.003,2.54,0,0,0,0,0.04,0,9,9,0,0.028,0,0,0,0,0,0.07,0
