"","United States of America","Canada","Bahamas","Cuba","Haiti","Dominican Republic","Jamaica","Trinidad and Tobago","Barbados","Dominica","Grenada","Mexico","Guatemala","Honduras","El Salvador","Nicaragua","Costa Rica","Panama","Colombia","Venezuela","Guyana","Suriname","Ecuador","Peru","Brazil","Bolivia","Paraguay","Chile","Argentina","Uruguay","United Kingdom","Ireland","Netherlands","Belgium","Luxembourg","France","Switzerland","Spain","Portugal","German Federal Republic","German Democratic Republic","Poland","Austria","Hungary","Czechoslovakia","Italy","Malta","Albania","Yugoslavia","Greece","Cyprus","Bulgaria","Romania","Russia","Finland","Sweden","Norway","Denmark","Iceland","Cape Verde","Sao Tome and Principe","Guinea-Bissau","Equatorial Guinea","Gambia","Mali","Senegal","Benin","Mauritania","Niger","Ivory Coast","Guinea","Burkina Faso","Liberia","Sierra Leone","Ghana","Togo","Cameroon","Nigeria","Gabon","Central African Republic","Chad","Congo","Democratic Republic of the Congo","Uganda","Kenya","Tanzania","Burundi","Rwanda","Somalia","Djibouti","Ethiopia","Angola","Mozambique","Zambia","Zimbabwe","Malawi","South Africa","Lesotho","Botswana","Swaziland","Madagascar","Comoros","Mauritius","Seychelles","Morocco","Algeria","Tunisia","Libya","Sudan","Iran","Turkey","Iraq","Egypt","Syria","Lebanon","Jordan","Israel","Saudi Arabia","Yemen Arab Republic","Yemen People's Republic","Kuwait","Bahrain","Qatar","United Arab Emirates","Oman","Afghanistan","China","Mongolia","Taiwan","North Korea","South Korea","Japan","India","Bhutan","Pakistan","Bangladesh","Myanmar","Sri Lanka","Maldives","Nepal","Thailand","Cambodia","Laos","Vietnam","Malaysia","Singapore","Philippines","Indonesia","Australia","Papua New Guinea","New Zealand","Solomon Islands","Fiji","Samoa"
"Gambia",1.371,0.046,9,9,0,0,0,3.558,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,2.847,0,0,0,1.13,0,17.641,0.129,2.314,2.002,0.088,4.974,7.505,3.156,1.226,0,0.367,0.809,0.3,1.51,0.783,0.509,0,0,0.758,0.01,0.013,9,0.668,10.385,0.24,1.206,0.468,0.455,0,0,0,0.071,0,0,0.004,1.813,0,0.081,0,0,0.079,0,0.156,1.534,1.092,0,14.982,0.165,0,9,0,9,9,0,0,9,0,0,0,0,0,0,0,0,0,3.974,9,0,0,0,9,0,0,0,0.03,0,0.04,0,0,9,9,0,0,0,0,0,9,0.2,9,0,0,0,0,0,0,0,10.859,0,1.105,0,0.1,1.603,0.404,0,0.007,0.01,0,0,0,0,0,9,0,0,9,9,0.02,9,0,9,0.02,0,0,0
"Mali",6.779,0.898,9,0,0,0,0,9.108,0,0,0,9,0,9,0,0,0,0,0.01,1.004,9,0,9,0,0.022,0,9,0,0.057,9,1.01,0.31,4.445,3.4868,0.1532,31.25,0.662,0.809,1.165,0,1.155,0.088,0.125,0,0.091,2.314,0,0,1.061,0.027,0,9,0.928,6.979,0,0.425,0.027,2.777,0,0,0,0,9,0.004,0,20.461,0.001,0.05,1.316,24.553,0.386,0.646,1.693,0,0.516,0.714,0.037,0.099,0.005,0,0,0,0,0,0,9,0,0.017,0,9,9,0,0,0,0,0,0,0,0,0,0,0,0,9,0.118,0.192,0.02,0,9,0,0,0,0.059,0,0,0,0.49,0.2,9,9,9,0,0,9,0,0,0.384,0,0,0.759,0,0.789,0.036,0,2.947,0.579,9,0.011,0,0,3.874,9,0,9,0,9.038,0,0.2,0.01,0,0,0,0,0
"Senegal",56.665,4.511,0,0,0,10.56,0,0,0,0,9,0,9,0,0,0,0,0,0,2.154,0,0,0,0,14.461,9,0,0,3.585,0,2.96,4.27,3.604,9.311,0.4091,99.1,4.487,11.083,4.6,0,0.926,2.291,2,0,0,20.489,0.02,9,4.86,0.13,0,0,0,1.201,4.52,2.936,0.98,3.921,0.006,0,0,0.186,0,1.813,20.461,0,3.491,18.525,3.462,5.383,0.842,1.245,0.759,0.745,0.199,1.711,2.813,0.076,1.464,0.124,9,2.599,0,9,0,0,0.009,0,0,0,0,0,0,0.0518,0,0,0,0,9,0,0.656,0,0.001,9,2.269,25.558,0.229,0,0,0,0,35.184,0.03,9,0.009,0,0.93,0,9,0,0,0,0,11.616,0,9,11.337,0,0,0,1.9,2.626,1.84,0,21.053,0.04,0,0,0,0,10.495,0,0,0,0,0,0.13,0.3,0.763,9,0.03,0,0,0
"Benin",12.996,0.239,0,9,9,9,0,0,0,0,0,0,0,0,0,9,0,0,0.01,0.26,0,0,9,0,2.48,0,0,9,0.54,9.681,39.974,0.01,14.685,3.9849,0.1751,76.115,5.331,1.519,0,0,3.629,0.253,3.73,9.215,9.901,11.781,0,9,0.02,0,0,9,0.003,3.698,0.01,0.317,0.3,0.139,0.268,0,0,9,0,0,0.001,3.491,0,0,21.546,3.732,9,0.006,0,0,2.362,1.182,0.028,1.317,0.074,0,9,0.006,0.007,0,0,0,0,0,0,0,0,0,0,0,9,9,9,0,0,0,0,0,0,0,0.143,2.335,0.001,0,9,0.001,0,0.003,0.07,9,0,0,0.25,0,9,9,9,9,0,0,0,0,18.588,0,4.129,9,0.4,8.412,30.082,0,0.015,0,9,0,0,9,0.33,0,0,0,0,9,0.03,9,0.02,0,0,0,0,0
"Mauritania",5.7,3.7,0,0,0,0,0.001,0,0,0,0,0,9,0,0,0,0,0,9,9,0,0,0,0,0.459,0,0,0,0.06,9,8.7,0,3.8,13.5066,0.5934,18,0.1,5.24,4.34,0,0,0,0.1,0,0,20.5,0,0,0.26,0.16,0,0,0,0,0.11,0.4,0.1,0.03,0,0,0,0,0,0.081,0.05,18.525,0,0,0,1.76,0,0,0.248,0,0,0,0,0,0,0,0,0.851,0,0,0,0,9,0,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,2.68,0,0,0,0,9,0,9,0,0,0,0,0,1.3,0,9,0,9,0,0,0,0,0,0,0,0,3.8,12.9,1.43,0,0.09,0.02,0,0,0,0,6.03,0,0,0,0,0,0,0,0.04,9,0.05,0,0,0
"Niger",14.983,0.679,0,0,9.001,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0.027,0,0,0,0,0.31,0,0,0,0,0,2.545,0.006,13.311,2.9983,0.1317,1.476,0.908,0.25,0.027,0,0,0.055,0.296,0.068,0.265,0.906,0,0,0,0.41,0,0,0,0.012,0.091,0.112,0.042,1.322,0,0,0,0,0,0,1.316,3.462,21.546,0,0,21.009,0,2.473,0,0,0.3,3.046,0.027,27.775,0.056,0,0.024,0.001,0,9,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0.016,9,0.341,0.712,0.01,0.116,0,0,0,0,0,0,0,0,0,0.2,0,0,9,0,0,0,0,0,6.834,0,1.116,9,13.899,7.941,0.03,0,1.748,0,0,0,0,0,3.48,9,0,0,0.18,0,0,0,0.442,0,0,0,0,0
"Ivory Coast",317.68,17.34,2.1,0,0,9,0.147,0,0,0,0,3.5,0,9,9,0,0,0,0,51.75,0,0,0,0,7.603,0,0,0,5.13,0.646,55.68,6.84,150.44,38.5466,1.6934,191.44,3.15,43.08,16.06,0,0,23.75,9.18,21.47,0,158.76,2.72,9,4.13,30.08,0.83,0,6.87,74.92,1.43,0.98,3.93,4.32,0.025,0,0,0,0,0,24.553,5.383,3.732,1.76,21.009,0,0,24.13,0.786,0,3.43,4,4.902,43.91,4.835,0.113,0,0.871,0,0,0,0,0,0.008,0,9,0,0,0,0.01,0,0,0,0,0,0,1.136,9,0.061,0,16.34,48.88,0.99,0.3,0,15.26,0,39.69,2.47,0,1.08,0,0.82,1.2,9,0,0,9,9.02,6.6,0,9,0,0,24.66,0,1.8,112.1,0.93,0,3.88,0.44,0,0.002,0,0,0.64,0,0,0,0.59,0.67,1.76,0,2.9,0,0.2,0,0,0
"Guinea",53.2,22.6,0,0,0,0,9.156,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,9.5,0.04,2.1,12.8361,0.5639,36.4,7.3,38.28,0.3,0,0,0,2.1,11.65,0,21.9,9,0,4.65,0.09,0,0,2.45,0,0.38,0.6,0.1,0.28,9.002,0,0,0.5,0,0.079,0.386,0.842,9,0,0,0,0,0,0.911,9,0.008,0,8.981,0,0,0,0,0,9,0,0,0,0,0,0,0,9,0,0,0,0,9,0,0,0,0,0,0,0.012,9,10.96,0,0.03,0,0,9,0,9,0,9,0,0,0.05,0.2,9,0,0,9.01,0,0,0,0,0,0,0,0,0.1,0.4,0.3,0,0,0.06,0,0,0,0,0,0,0,0,0,9,0,0,0,9,0,0,0,0
"Burkina Faso",27.048,0.745,0,9,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,9.678,9,9,0,0,10.84,0,9,9,0.97,9,2.737,0.004,8.176,11.8494,0.5206,83.39,1.423,2.928,0.07,0,9.643,9.168,0.199,9,9,2.1,0,0,0.39,0.18,0,0,9.235,0.199,0,0.1,0.47,3.179,9,0,0,0,0,0,0.646,1.245,0.006,0,2.473,24.13,0,0,0,9,1.038,3.766,0.104,0.075,0,0,9,0,9,0,5.115,0,0,0,0,0,9,0,0,0,9,0,0,0,0,0,0,9,0,0,0.285,0,0.03,0,0,9,0,9,0.191,0,0,0,0.1,0.1,0,0,9,9,0,0,0,9,0.51,0,3.762,0,0.736,2.644,0.279,0,10.507,9,9,0,0,0,0,0,0,9,0,0,0,0,0.248,0,0,0,0,0
"Liberia",34.379,0.926,0,0,0.002,0,0.048,1.778,0,0,0,9.1,0,0,0,0,0,9,0.03,4.803,0,9,0,0,1.944,0,9,0,1.64,0,19.392,0.79,30.745,45.7501,2.0099,40.352,5.738,26.313,0.51,0,9,3.442,9.898,0.75,0.63,50.06,0,9,5.884,8.995,0,9,0,0.755,0.048,8.992,6.239,3.367,0,0,0,0,0,0.156,1.693,0.759,0,0.248,0,0.786,0.911,0,0,0.879,3.235,0.585,0.072,1,0,0,0,0,0.492,0,0,0,0.002,0,0,0,0,0,5.685,0,0,1.419,0,0,9,0,0,9,0,0,0.641,0,0.02,0,9,0,0.88,0,0.068,0,0.334,0,4.96,29.152,9,9,0,0,0,9,0.32,0,16.536,0,0,10.916,41.1,154.11,1.665,0,4.59,10.53,0,0.008,0,0,1.04,0,0,0,0.39,92.89,7.3,0,0.7,0,0.03,9,0,0
