"","United States of America","Canada","Bahamas","Cuba","Haiti","Dominican Republic","Jamaica","Trinidad and Tobago","Barbados","Dominica","Grenada","Mexico","Guatemala","Honduras","El Salvador","Nicaragua","Costa Rica","Panama","Colombia","Venezuela","Guyana","Suriname","Ecuador","Peru","Brazil","Bolivia","Paraguay","Chile","Argentina","Uruguay","United Kingdom","Ireland","Netherlands","Belgium","Luxembourg","France","Switzerland","Spain","Portugal","German Federal Republic","German Democratic Republic","Poland","Austria","Hungary","Czechoslovakia","Italy","Malta","Albania","Yugoslavia","Greece","Cyprus","Bulgaria","Romania","Russia","Finland","Sweden","Norway","Denmark","Iceland","Cape Verde","Sao Tome and Principe","Guinea-Bissau","Equatorial Guinea","Gambia","Mali","Senegal","Benin","Mauritania","Niger","Ivory Coast","Guinea","Burkina Faso","Liberia","Sierra Leone","Ghana","Togo","Cameroon","Nigeria","Gabon","Central African Republic","Chad","Congo","Democratic Republic of the Congo","Uganda","Kenya","Tanzania","Burundi","Rwanda","Somalia","Djibouti","Ethiopia","Angola","Mozambique","Zambia","Zimbabwe","Malawi","South Africa","Lesotho","Botswana","Swaziland","Madagascar","Comoros","Mauritius","Seychelles","Morocco","Algeria","Tunisia","Libya","Sudan","Iran","Turkey","Iraq","Egypt","Syria","Lebanon","Jordan","Israel","Saudi Arabia","Yemen Arab Republic","Yemen People's Republic","Kuwait","Bahrain","Qatar","United Arab Emirates","Oman","Afghanistan","China","Mongolia","Taiwan","North Korea","South Korea","Japan","India","Bhutan","Pakistan","Bangladesh","Myanmar","Sri Lanka","Maldives","Nepal","Thailand","Cambodia","Laos","Vietnam","Malaysia","Singapore","Philippines","Indonesia","Australia","Papua New Guinea","New Zealand","Solomon Islands","Fiji","Samoa"
"Sierra Leone",55.1,4.6,0,0,0,9,0.001,0,0,0,0,0,0,9,0,0,0,0,0.02,0,0,0,0,0,1.11,9,0,0,0.11,0.001,13.3,0.69,34.6,0.7663,0.0337,11.5,11,4.5,0.08,0,9,0,0.7,0,0,4,0,0,0.58,0.36,0,0,0,0,0.38,0.8,1.66,1.06,0,0,0,9,0,1.534,0,0.745,0,0,0,0,9,9,0.879,0,0.265,0,0,23,0,9,0,0,0,9,0,9,0.029,0,0,0,9,0,0,0.0264,9,2.128,9,0,0,0,9,0,0,0,0.04,9,0,0,0,9,0,0,0,9,9,0,0.07,0.2,9,0,9,9,0,0,0,9,0,0,9,0,3.1,22.7,2.72,0,0.22,9.47,0,0.09,0,0,0.01,0,0,0,0.04,0,0.21,0,0.03,0,0,0,0,0
"Ghana",121.49,15.044,0,0.003,0,0,27.247,0.64,0.1,0,0,0.017,0,0,0,0,0,0,0.06,0.008,0,0,0,0,2.844,0,0,0,4.144,0.001,24.057,24.788,100.185,0.6322,0.0278,12.128,16.263,39.647,1.26,0,0.124,4.864,7.25,1.315,2.67,15.441,0.07,0,14.487,13.998,0.549,10.519,3.2,84.768,7.296,5.789,8.006,2.522,0.079,0,0,9,0,1.092,0.516,0.199,2.362,0,0.3,3.43,0.008,1.038,3.235,0.265,0,3.587,0.018,90.812,9,9,0,0.002,0.094,0.05,0.076,0.003,0,0,0.001,9,0.034,0.001,0.002,0.012,0,0,0,0,3.377,0.096,0,0,0.129,0,0.001,11.09,1.816,0.001,0,0.017,0.91,0.288,9.823,0.259,2.07,0,0.454,0,9,0,0,0.03,9,0,9,0,1.804,0,0,0.006,2.119,59.124,1.508,0,2.522,1.89,0,0.031,0,0,0.283,0,0,0,1.1,2.99,0.4,1.78,17.847,0,12.646,0,0,0
"Togo",3.54,1.688,0,0,0,9,0,0.421,0,0,0,0,9,0,0,0,0,0,0,0.165,9,0,0,0,7.3,0,0,9,0.79,0,30.17,0.059,34.704,6.7341,0.2958,95.56,36.9,2.23,0.03,0,0,11.522,11.424,0.371,9.34,0.43,0,0,22.7,0.27,0,0,0,3.87,0.014,4.64,3.599,0.562,0,0,0,0,0,0,0.714,1.711,1.182,0,3.046,4,0,3.766,0.585,0,3.587,0,4.898,50.91,0.13,0,0,0.23,0.082,0,0,9,9,0,9,0,0,0,9,9,9,0.018,0,0,0,0,0,0,0,0,0.103,0.017,0.1,0.057,0,0,0,0,0,9,1.399,0,2.69,3.839,0,9,0,0,0,0,9,9,7.658,0,1.306,0,0.9,10.61,0.612,0,0.125,0.19,9,0,0,0,0.01,9,9,0,0,0,0.03,0,0.002,9,0,0,0,0
"Cameroon",25.913,1.051,0,0.022,0,0.037,0.317,7.981,0,0,0,0.592,0,0,0,0,0,0,0.031,0.142,0,0,0,0,2.838,0,0.004,0,1.511,0,29.717,3.195,181.564,2.548,0.1119,159.602,3.585,8.166,0.862,0,7.75,4.499,2.384,0.859,2.781,44.628,0.705,0.045,9.197,3.395,0,0.076,0.77,13.838,1.731,10.928,1.084,3.863,0.03,0,0,0.001,0.963,14.982,0.037,2.813,0.028,0,0.027,4.902,8.981,0.104,0.072,0,0.018,4.898,0,1.519,44.116,8.99,10.775,2.013,0.141,0,0.108,0.017,0.401,0,0,0,0,0,9,0.0055,0,0.691,0,0,0,0,0.004,0,0,0,0.215,0.987,0.731,0,0.025,0.004,0.24,0,0.151,0.17,0,0,0.509,0.009,0,0,0,0,0,0,0,0,28.255,0,16.975,0.021,1.286,30.183,1.596,0,4.53,1.28,0.017,0.005,0.004,0,0.887,0,0,0,0.403,0,0.352,1.702,0.092,0,0.281,0,0,0
"Nigeria",3916.9999,29.4,274.52,0,0.006,0,0.028,0.63,0.001,0,0,0,0.003,0,0,0.002,0,0.354,0.43,0.7,0.016,0,9,2.82,102.398,9,0,9,4.12,38.683,2264.3,29.23,627.8,25.5763,1.1236,5.8,195.3,223.85,4.99,0,12,64.6,16.4,11.69,32.4,706.1,0.26,9,7.73,66.81,2.169,6.2,8.44,31.8,47,8.2,37.87,52.57,23.877,0,9,0.199,0,0.165,0.099,0.076,1.317,0,27.775,43.91,0,0.075,1,23,90.812,50.91,1.519,0,0,0.347,0,3.041,1.7,0.168,2.256,0.045,0.046,0.013,0.017,0,0.003,2.5,3.3,0.0177,0,0,0,0,0,9,0.6,0,0,0,22.29,2.1,2.9,0.5,0,0.4,0.5,0,0.87,0,8.7,0,20.4,0.9,9,0.2,0,0.03,0,0,0.01,0,198.2,0,0,0,45.5,1364.5,66.08,0,3.9,8.1,0.08,0.391,0,0,178.73,0,0,0,5.16,35.52,0.1,0.5,17.88,0,6.4,0,0.003,0
"Gabon",170.861,54.117,3.4,0.072,0,0,0,0,9,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,101.889,0,0,67.9,127.131,0.006,9.936,0.202,21.11,17.7119,0.7781,15.124,2.974,3.632,1.575,0,0,0,13.562,0.108,0.111,17.336,0,0,0.781,12.852,0,0,1.121,0,0.168,0.226,6.514,8.297,0.002,0,0,0,0,0,0.005,1.464,0.074,0,0.056,4.835,0,0,0,0,9,0.13,44.116,0,0,0.28,0,8.035,0,0,0,9,0,0,0.002,0,0,0.125,0,0,0,2.421,0,0,0,0,0,9,0.004,0,4.908,0.051,0.862,0,9,0,0,0,0,0,0,0,6.8,0,9,0,0,9,0,0,9,0,2.367,0,3.047,0.247,3.01,16.763,0.03,0,0.119,0,0,0,0,0,0.03,9,9,0,0,0.897,0.06,0,0.07,9,0,0,0,0
"Central African Republic",4.677,0.046,0,9,9,0,0,0,0,0,9,0,0,9,0,0,0,0,0,0.006,0,0,9,0,0.148,9,0,0,0.054,0,0.016,0.02,0.783,23.0571,1.013,8.969,0.432,3.851,0.075,0,0.033,0.05,0.056,0.023,0.05,7.624,0.007,0,5.384,0.001,0,9,1.246,0.936,0.06,0.118,0.008,0.095,0,0,0,0.53,0,9,0,0.124,0,0,0,0.113,0,0,0,9,9,0,8.99,0.347,0.28,0,1.36,0.003,1.157,0,0,0,9,0,0,0,0,9,9,9.033,0,0.043,0.635,0,0,0,0,0,0,0,0.174,0.285,0.118,0,0.139,0,0,0,0.009,0,0.021,0,2.75,0,9,0,0,0,0,0,9,9,0.36,0,0,0,0.093,0.967,0.011,0,0.008,1.04,0,0,0,0,0,0,9,9,0.05,0,0.2,2.7,0,0,0.14,0,0,0
"Chad",5.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,9.08,0,0,0,9,0,9.9,0.08,6.1,1.4369,0.0631,57.3,0.4,6.41,9.02,0,0,9,0.1,0,0,1.4,0,0,0,0.11,0,0,0,0,9.05,0.1,9.76,0.64,0,0,0,9,0,0,0,9,9,0,0.024,0,0,9,0,0,0,0,10.775,0,0,1.36,0,0.402,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,9,0,0,0,0.01,4,0,0,0,0,0,0,0,0,0.14,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,11,0,0,9,9.04,0,0.003,0,0,0.2,0,0,0,0,0,0,0,0.23,0,0,0,0,0
"Congo",73.92,2.183,0,0,0,0,0.004,0,0,0,0,0.2,9,0.002,0,9.003,9,0.002,0.001,0.5,0,9,0.033,0.013,46.404,0,0.058,7.114,0.677,0.614,3.627,0.145,2.432,3.9179,0.1721,94.025,0.054,31.533,7.023,0,0.243,0.274,0.054,0.041,0.125,25.487,0,9.04,0.31,1.369,0,0.069,0.299,0.791,0.003,0.886,1.362,1.274,0.15,0,0,1.285,0.028,9,0,2.599,0.006,0.851,0.001,0.871,0,0,0,0,0.002,0.23,2.013,3.041,8.035,0.003,0.402,0,0.357,0,0.005,0,0,0.05,0.005,9,0,0.053,0.102,0.34,0,0.365,0.218,0,3.948,0,0.003,0,0.037,0,0.034,0.686,0.264,0.1,0.037,0.001,0.007,0,0.002,9,0,0,0.729,0.791,9,0,0,0,0,0,0,9,0.922,9,3.187,0.011,0.112,1.979,1.339,0,0.043,0.1,9,0.001,9.003,0,0.777,9,9,0.001,0.054,0.023,0.033,0.008,0.002,9,0,0,0,0
"Democratic Republic of the Congo",175.5,4,69.34,9,0,9,0.031,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,10.834,0,0,0,0.3,0.593,158.6,2.69,17.4,506.3547,22.2454,107.7,15.3,11.62,5.89,0,0.7,0.4,3.4,0,1,119.4,0,0,0.15,48.17,0,9,28,0,2.57,4.2,3.04,2.31,9.992,0,9,0,0,9,0,0,0.007,0,0,0,9,9,0.492,0,0.094,0.082,0.141,1.7,0,1.157,0,0.357,0,0,0.205,1.071,0.478,0.184,0,9,0.65,0,0,6.7,5.5,0.2,40.3,0,0,0,0,0,0,0,4.22,0,0.11,0.1,0,0.2,0.4,0,0.05,0,0,0,1.5,1.4,0,0,0,9,0,0,0,9,0.6,0,0.3,0,0.7,75.6,17.24,0,0.09,9.09,9,0,0,0,0.05,9,0,0,2.46,0,1.4,0,1.34,9,0.42,0,0,0
"Uganda",81.116,1.213,0,0,0,0,0,0,0,0,9,0,9,9,0,0,9,0,0,0,0,0,9,0,1.311,0,0,0,0,0.005,34.153,0.11,1.966,6.6671,0.2929,35.463,0.939,28.355,0.23,0,0,0,0.1,9.024,0,1.289,1.71,0,5.454,0.481,0.002,9,0,0,0.057,0.45,0.186,0.918,0,0,0,0,0,0,0,9,0,0,9,0,0,0,0,9,0.05,0,0,0.168,0,0,0,0,0,0,48.869,0.087,0.327,1.09,0.244,0,0.002,0,0,0.012,0,0.129,0,0,0,9,0,0,0,0,0.73,12.909,0,8.193,0.29,0.128,0.003,0,1.718,0,0,0.005,0,1.1,9,0,0,0,1.5,0,0,0,0,0,0.122,0,3.029,19.463,8.079,0,0.193,7.15,0,0.009,0,0,0.023,0,0,0,0.687,0.283,0,0.016,11.89,0,2.124,0,0,0
"Kenya",49.231,7.203,0,0,9,0,0.005,0.11,0.242,0,9,0.1,0,0,0.002,0,0,0,0.01,0,0.028,0,0,0,2.341,0,9,0,0.019,0.005,161.662,6.914,3.078,40.6444,1.7856,47.128,12.659,1.866,0.187,0,9.018,1.14,1.012,0.039,3.267,40.125,0.04,0,11.084,0.758,0.035,0.012,0.786,1.226,15.99,3.84,3.81,0.737,0,0,0,0,0,0,0,0,0,0,0,0,0,5.115,0,0,0.076,0,0.108,2.256,0,0,0,0.005,0.205,48.869,0,1.842,6.516,11.927,11.172,0,6.186,0,2.196,4.6433,0,0.752,0,0,0,1.172,2.138,1.2,11.825,6.599,0.21,7.434,0.06,0.1,17.03,111.836,0.791,1.56,11.174,0.884,0.673,3.615,7.325,38.949,7.955,5.377,1.171,15.857,66.83,0.8,6.71,9,4.777,0,14.083,9.109,2.718,159.221,36.15,0,26.838,2.584,0.021,0.385,0,0,2.401,0,0,0,4.945,37.771,0.66,2.753,16.85,0,0.032,0,0.02,0
"Tanzania",45.914,9.356,0,0,0.005,9,0.037,0.08,0.002,0,9,0,0,9,0,0,0.001,9,0,0,0,0,9,0,12.782,9,0,0,0.003,0.017,119.391,5.413,54.747,29.2931,1.2869,10.15,5.812,2.392,2.12,0,0.11,0.919,2.931,0.852,1.07,38.917,0,0,7.676,2.917,0.284,0.119,0.343,2.43,2.99,22.214,6.855,37.792,0.004,0,0,0,0,9,9,0,0,0,0,0,0,0,0,9,0.003,9,0.017,0.045,9,0,0,0,1.071,0.087,1.842,0,3.923,2.342,2.329,0,0.304,0,6.864,1.3866,0,0.034,0,0,0,1.493,0.077,0,0.145,0.203,1.61,0.21,0.12,0,0.124,40.86,0.503,0.01,3.092,0.1,0.042,0.822,7.375,1.46,9.139,0.072,5.106,28.434,0.51,0,0.09,0,15.974,0,6.464,0.172,0.262,113.354,17.064,0,1.756,4.071,0.132,0.593,0,0,0.218,0,0,9,5.4,4.132,0.22,3.198,2.8,0,1.474,0,0.006,0
"Burundi",27.209,0.016,0,0.04,0,0,0,9,9,0,0,0,9,9,0,0,9.002,0,0,0,9,0,0,0,0.201,0,9,0,0.001,9,1.924,0.044,0.6,5.0578,0.2222,4.416,0.056,0.42,1.334,0,0.496,0.049,0,0.47,0.216,1.581,0,9.011,0.036,1.102,0,0.066,1.273,0.901,1.17,1.288,0.166,0.003,0,0,9,0,0,0,0,0.009,0,9,0,0,0,0,0.002,0.029,0,9,0.401,0.046,0,9,9,0,0.478,0.327,6.516,3.923,0,0.818,0,0,0.001,0,0,0.799,0,0,0,9,0.008,0,9.001,0,0,9,9,0.003,0,0,0,6.846,0,0.034,0.024,0,0,9,0.056,0.1,0,0,9,0.016,9,0,0,9,0.831,0,0.179,0.027,0,6.996,0.078,0,0.246,0.086,0.182,0.262,0,9.339,0,0,0,0.077,0.003,0.023,0,9,0.242,9,0,0,0,0
"Rwanda",41.708,0.595,0,9,9,0,9,0.01,0,0,0,9,0,0,9,0,0,9,9.01,0,0,0,9,9,0.06,0,0,9,0,0,1.317,0.439,1.709,26.7738,1.1762,7.992,0.672,1.017,0.035,0,0.245,0.017,0.812,0.062,0.115,2.113,0,9,0.006,0.02,0,9,0.214,3.855,1.894,0.307,0.067,0.858,0,0,0,9.016,9,0,0.017,0,0,0,0,0.008,0,0,0,0,0,0,0,0.013,0,0,0,0.05,0.184,1.09,11.927,2.342,0.818,0,0.002,0,0.018,9,0,0.311,0,0.002,9,9,0,0,0.026,0,0,0,0,0,0.01,0.002,0,12.285,0,0,0,9,9,0,0,0.233,0.092,0.087,0,9,9.002,0,0,9,10.609,0,0.076,0.307,0.01,14.083,0.7,0,0.285,0.054,0,0.039,9,0,0.331,0,9,0,2.516,0,0,9,0.021,9,0,0,0,0
"Somalia",5.834,0.658,0.01,9,0,0,0.01,0,0,0,0,0,0,0,0,0,0,9.003,0.01,0.005,0,0,9,9,6.069,0,0,0,0.02,9,23.023,0.025,9.383,0.5556,0.0244,1.124,2.516,0.3,0.011,0,0.212,0.01,0.08,0.037,0.048,58.317,0,0,0.052,0.163,0.201,0.002,0.424,1.449,0.036,1.184,0.02,0.279,0,0,0,9,0,0,0,0,0,0.01,0,0,0,0,0,0,0.001,9,0,0.017,0.002,0,0,0.005,0,0.244,11.172,2.329,0,0.002,0,5.339,4.795,0,0,0.015,0,0,0,0,0,0,0,9,0,0,0,0,0.004,0,0.145,0.176,0.02,11.459,0.257,0.06,0.008,0,9,80.043,6.438,1.338,0.07,0.18,0.1,0.638,0.019,0,7.094,0,0.036,9.279,0.207,3.917,4.531,0,3.642,0,0,0.78,0,9,3.52,0,0,0.009,0,6.226,0.015,0.026,0.156,9,0,0,0,0
"Djibouti",4.3,0,0,0,9,9,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0.09,0,0,0,9,0,14,0,4.1,2.9695,0.1305,36,9.2,1.11,0,0,0,0,0.1,0,0,4.3,0.01,0,0,0.49,9.931,0,0,0,0,0.1,0.04,2.75,0,0,0,0,0,0,9,0,0,0,0,9,0,0,0,0,9,0,0,0,0,0,0,9,9,0,0,0,0,0,5.339,0,2.776,0,0,9,0,0,0,0,0,0,0,0,0,0,9.03,9,0,9.7,0,9,0,0,0.22,0,0,0,0,2.8,23.65,0,0,0,9,0,0,0,0,0,0,0,2,15.6,0,0,3.16,9,0,0.037,0,0,0.44,0,0,0,0,0,0,9,0.02,0,9,0,0,0
"Ethiopia",72.696,1.156,0,0,9.002,9,0.008,0,0,0,0,0,0.118,9,0,0.001,0,0,0.02,0,0,0,0,0,1.468,0,0,0,0.009,9,32.61,0.315,1.265,1.389,0.061,3.495,12.782,1.181,0.1,0,10.723,0.782,2.35,7.127,3.28,45.281,0.77,0,21.122,0.941,0.033,0.402,0.517,2.504,5.046,10.832,0.032,4.615,0.008,0,9,9,0,0,9,0,0,0,0,0,9,9,0,9,0.034,0,0,0.003,0,0,0,0,0.65,0.002,6.186,0.304,0.001,0.018,4.795,2.776,0,9,1.675,0.004,0,0.025,9,0,9,0,0,9,0,0,0.17,0,0.16,0.1,0.092,0.259,0.192,0,0.068,0.172,0.082,0.013,3.456,23.592,4.32,0.416,0.139,0,0,0,0,0,7.607,0,8.126,3.155,8.949,58.371,8.441,0,0.18,9.03,0,0.258,0,9,2.692,9,0,9,0.219,3.415,0,0.1,0.406,0,0.04,0,0,0
"Angola",400.6,1.4,276.18,0,0,9,0.003,0,0,0,9,0,0,0,0.025,0,0,9,0,0,0,0,0,0,22.59,9,0,9,11.02,0,46.3,0.85,5.8,31.1323,1.3677,23.4,9.8,23.58,58.38,0,0,0,2.2,0,0,28.2,0,0,17.73,1.88,0,0,6.29,0,1.09,24.9,5.76,4.66,0,0,0,4.21,0,0,0,0,0,0,0,0,0,0,0,0,0.001,0,0,2.5,0.125,9,0,0.053,0,0,0,0,0,9,0,0,9,0,0,4.054,0,0,0,0,0,0,9,0,9,0,0.01,0,0,0,0,9,0,9,0,0,0,0,0,0.1,0,0,0,9,9,0,9,0,0,0,0,0,0,30.3,0.11,0,0,9.01,0,0,0,0,3.49,0,0,0,0.04,0,0,0,0.13,0,0,0,0,0
"Mozambique",21.6,3.2,0,0,9.235,9,0,0.94,0.024,0,9,0,9,0,0.007,0,0,0,0,42.3,0,0,0,0,5.02,0,0,0,3.4,0,4.6,0.55,0.5,6.1307,0.2693,23.3,22.5,2.22,13.94,0,0,0,1.3,0,0,1.7,0,0,0.29,0.15,0,0,9,0,0.65,6.6,4.64,3.16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.685,0,0.002,9,9,3.3,0,9,0,0.102,0,0,2.196,6.864,0,0,0,0,1.675,0,0,0.0711,0,1.693,0,0,0,0,0,0,0.005,9,0,0,0.93,0,0,9,0,9,0,0,0,0,0,1.4,13.889,0,9,10.51,9.21,12.3,1.57,0,3,0,0,0,1.6,12.3,0,0,0,26.59,0,0.077,0,0,1.6,0,0,0,2.4,26.51,1.2,5.4,5.94,0,2.04,0,0.007,0
"Zambia",72.8809,9.8533,0.0018,0,0.088,0,0.0045,0.0082,0,0,0,0.0409,0.0545,0,0,0,0.0055,0,0.0073,0,0.016,0,0,0,0.3682,0,9,0,0.0273,0,22.0891,0.0327,8.5664,14.1101,0.6199,63.0264,7.4255,0.21,0.9273,0,0.814,0.1327,3.7827,0.0327,1.0192,52.6664,0.5518,0,26.15,7.6027,0.3399,9.0009,0.5973,2.4747,1.0855,8.5791,4.97,0.9509,0.7564,0,0,0,0,0,0,0.0518,0,0,0,0.01,0,0,0,0.0264,0.012,9,0.0055,0.0177,0,9.033,0,0.34,6.7,0.012,4.6433,1.3866,0.799,0.311,0.015,9,0.004,4.054,0.0711,0,0.0082,1.9256,38.9032,0.0027,0.5047,1.8496,0,9,0.8635,0,0,0,1.45,0,0,0.2159,0.0122,0.0127,3.8326,0.0018,0,0,2.1145,83.7127,0.0224,0,0,0,0.1082,0,0.89,0,24.0636,0,0.8791,9.07,0.0991,141.5591,44.1464,0,0.4536,0.4982,0.117,0.0125,0,9,0.1091,0,9,0.0045,1.9582,1.1909,0.0018,3.2782,8.9309,0,3.6236,0,0.002,0
"Zimbabwe",0.6,0,0,0,9,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,9,9,0,0,0,1.6,0.01,0,0.0958,0.0042,0.1,9.1,0,0,0,0,0,0,0,0,0.2,0,0,0,0,0,0,0,0,0,0,0,0.06,0,0,0,9,0,0,0,0,9,0,0,0,0,9,0,9,0,9,0,0,0,0,0,0,5.5,0,0,0,0,0,0,0,0,0,0,0.0082,0,5.52,0,0,0,0,0,9,0,0,0,0,0,0,0,9,0.01,9,0,0,0,0,0,0.1,9,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001,0,0,0.2,0,0,0,0,0,0,0,0,9,0,0,0,0
"Malawi",2.694,8.763,0,0,0,9,0,0,0,0,9,9,0,0,0,0,9,0,9,0,0.079,0,9,0,0.09,0,0,0,0,9,21.941,4.415,8.545,0.0287,0.0013,2.011,0.24,1.412,0.432,0,9,0,0.096,9,9.001,5.375,0.08,0,0.001,0.59,0.636,0,9,0,0.23,1.702,0.276,0.914,0.005,0,0,0.048,0,3.974,0,0,9,0,0,0,9,0,1.419,2.128,0,0.018,0.691,0,2.421,0.043,0,0.365,0.2,0.129,0.752,0.034,0,0.002,0,0,0.025,0,1.693,1.9256,5.52,0,121.221,9,0,0,0,0,0.038,0,0,0,0,0,0,1.481,8.49,0,2.88,0,9,9,4.809,0.2,9,9,0,0,0,0,9,0,0,0,0,9,0.3,32.078,4.956,0,0.135,0.13,0,0.018,0,0,0,0,0,9,0.57,1.741,0,0,4.695,0,0.741,0.3,0.391,0
"South Africa",1264.3,44.4,0,0,0,1.86,0,0,0,0,0,5.8,1.705,0.522,0.245,1.767,0.003,0.171,3.87,0,0,0.001,8.73,6.42,90.164,0,0.381,3.8,11.45,0.764,175.7,5.12,14.2,179.3219,7.878,145,145.3,94.67,38.23,0,0,0,54,0,0,752.8,3.43,0,0,25.36,0.01,0,0,0,18.2,51.1,7.5,12.74,1.249,0,0,0.226,0,9,0,0,9,0,9,0,0,0,0,9,0,0,0,0,0,0.635,0,0.218,40.3,0,0,0,0,9,0,0,9,0,0,38.9032,0,121.221,0,0,0,0,0,0.4,51.792,14.9,0,0,9,9,0,9,6.8,9,0,9,0,0,42.87,0,9,0,0,9,0,0,0,0,0,0,0,0,10.7,71.2,0,0,0,9,0,6.471,0,0,23.39,0,0,0,0.3,0,0.11,0.3,8.25,9.017,3.75,0,0.223,0
"Lesotho",14,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,9,0,9,0,0,0,0,0,0,9,0,0,0,0,0.3,9,10.3,1.0537,0.0463,0.1,0,2.49,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.3,9,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,9,0,0,0,0,0,0.0027,0,9,0,0,0,0,0,0,9,0,0,0,0,9,9,0,9,0,0,0,0,0,0,0.1,0,9,0,0,0,0,9,0,0,0,0,0,0,0,0.05,0,10.11,9,0,0,0,0,0,0,0,0,0,0,0,0,0.02,9,9,0,0,0
"Botswana",61.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,9,9,9,0,0,0.04,0,4.1,0,9.1,10.4369,9.0631,11.3,0.8,0.29,0.02,0,0,0,9.5,0,0,12.3,0,0,7.93,0,9,0,0,0,9.02,9,9.11,0.03,0,0,0,0,0,0,0,9,0,0,0,0,0,0,9,0,3.377,0,0,0,0,0,0,3.948,0,0,0,0,0.008,0,0,0,9,0,0,0.5047,0,0,0,0,0,0,9,10.4,0.066,9,0.11,0,0,9,0,0,9,9.8,0,0,0,9,0,2.4,0,0,0,9.14,9,5.5,0.82,0,0,0,0,0,0,0.1,0.39,0,0.62,9,0,0,0,0,0.1,0,0,0,0,0,9,0,0.01,9,9,0,0,0
"Swaziland",14.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,9,0,40.5,0.23,10.9,1.2453,0.0547,4.7,0,20.06,9.04,0,0,0,9,0,0,12.9,9,0,2.54,9,0,0,0,0,0.69,0.4,0.15,0.49,0,0,0,0.001,0,0,0,0,0,0,0,0,0,0,0,0,0.096,0,0,9,0,0,0,0,0,9,1.172,1.493,0,0,0,0,0,0,0,1.8496,0,0,0,0,0,0,9,0,9.001,9,2.63,0,0.34,0,0,0,9,9.1,0,0,0,0,0,5,9,0,10.4,0,9,0,0,0,0,0,0,0,5.2,21.4,3.09,0,0.05,0.79,0,0,0,0,0.74,0,0,0,0.08,0,2.04,0,0.52,0,0.02,0,0,0
"Madagascar",96.911,0.924,0,9,0.008,0,0,0,0.014,0,9,9,0.011,0,0,0,0.002,9,0,0,0,9,9,0,0.451,9,1.834,0,0,0,1.496,0.028,6.708,4.0807,0.1793,59.92,4.403,21.482,0.23,0,0,0,0.2,0,0,0.156,0.05,0,1.71,0.67,0,0,0,0,0,0.209,0.07,1.693,0,0,0,0,9,9,0,0.656,0,0,0,1.136,0,0,0,9,0,0,0.004,0.6,0,0,9,0.003,0,0,2.138,0.077,9.001,0.026,0,0,0,9,0,0,0,0,0,0,9,9,0,1.849,2.116,0,2.035,7.851,0.09,0.3,0,0.327,0.05,25.592,0,0,0,0,0,4.125,9,0,7.8,0,4.945,15.333,0.07,0,22.149,0,0,0,0.1,3.053,0.058,0,9.46,0.08,6.394,0,0,9,0.26,9,9,0,2.442,8.08,0.06,48.092,0.37,9,0.14,0,0.025,0
"Comoros",0.3,0,0,9,9,0,0,0,0,0,0,9,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0.1,0.0958,0.0042,1.2,0.2,0,0,0,0,0,0,9,9,0.9,0,0,0,0,0,9,9,9,0,0,0,0.02,0,0,0,0,0,0,0,0,0,0,0,9,0,9,9,0,0,0,0,0,9,0,0,0,0,0,1.2,0,0,0,9,0,9,0,0,9,9,0,0.4,0,10.4,0,1.849,0,1.5,9,0.02,0,0.01,0,0,0,9,0,0,0,9,0,9,0,0,9,0,9,0,9,0,0,0.3,0,0,0,0,0.1,0.3,0,0,9,10,0,0,0,0,0,0,0,9,0,0,0,0.4,0,0,0,0,0
