"","United States of America","Canada","Cuba","Dominican Republic","Mexico","Guatemala","Honduras","El Salvador","Nicaragua","Costa Rica","Panama","Colombia","Venezuela","Ecuador","Peru","Brazil","Bolivia","Paraguay","Chile","Argentina","Uruguay","United Kingdom","Ireland","Netherlands","Belgium","Luxembourg","France","Switzerland","Spain","Portugal","Germany","Poland","Austria","Hungary","Czechoslovakia","Italy","Albania","Yugoslavia","Greece","Bulgaria","Romania","Russia","Estonia","Latvia","Lithuania","Finland","Sweden","Norway","Denmark","Liberia","Ethiopia","South Africa","Iran","Turkey","Saudi Arabia","Yemen Arab Republic","Afghanistan","China","Mongolia","Japan","Nepal","Thailand","Australia","New Zealand"
"France",108.89,7.93,3.18,2.76,0.51,0.68,0.25,0.74,0.89,0.44,0.03,6.31,0.43,0.16,1.41,19.92,0.67,0.46,34.71,41.69,7.72,27.94,0.73,19.09,38.81,0,0,52.3,4.95,5.24,106.13,12.14,0.33,2.27,13.02,47.58,0.0133,0.27,7.1,2.53,0.66,30.47,0.02,2.24,0.23,8.05,17.56,4.85,15.28,9,9,20.65,5.69,6.11,9,0,0.0001,37.59,0,1.56,0,1.35,80.88,3.15
"Switzerland",8.13,8.49,0.88,0,1.7765,0,0,0,0,0,0,0,0,0,0,1.05,0,0.0863,9.97,10.57,0,28.83,0.02,0.13,6.9,0,52.3,0,2.13,1.18,58.94,6.13,9.68,2.21,1.98,10.32,0,0.84,0.64,0.57,1.18,0.56,0,0.76,0.11,0.93,3.73,1.23,0.99,0,0,13.02,0,0,0,0,0,2.65,0,6.25,0,0.88,2.81,0
"Spain",27.97,3.26,6.85,0.23,0.67,0.25,0,0.04,0.1,0.23,9.2,1.73,2.34,0.81,0.42,0.06,0.1893,0.0166,3.29,1.31,2.8,36.29,0.0691,1.31,1.58,0,4.95,2.13,0,0.4,17.69,0.33,1.08,0,1,1.85,0,0.13,0.0665,0,0,8.34,0.01,0.0177,0.65,2.31,8.83,0.95,0.33,0,0,0,0,1.61,0,0,0,0.9456,0,0.5,0,0,0.111,0
"Portugal",11.72,0,0.05,0,0,0,0,0,0,0,0,0,0,0,0,4.04,0,0,0,1.92,0.0559,11.84,0,2.31,6.11,0,5.24,1.18,0.4,0,11.78,0.42,0.36,0,0.69,0.85,0,0.0473,0.41,0,0,0.09,0,0,0,0,0.2,2.11,0.06,0,0,0,0,0.01,0,0,0,0,0,0,0,0,0,0
"Germany",170.97,50.34,5.22,0.23,7.97,16.02,2.77,4.3,0.2,1.56,0.13,15.05,10.73,1.1,4.05,2.14,2.79,0.27,0.31,81.75,4.59,115.41,7,171.28,81.16,0,106.13,58.94,17.69,11.78,0,14.49,47.29,15.79,33.73,34.8,0.05,6.4,8.53,0.45,11.16,81.3,5.32,11.19,13.23,40.31,63.44,35.64,69.73,0.28,0.38,13.28,6.36,0.96,0,0,0,45.92,0,62.19,0,4.03,52.76,1.95
"Poland",39.52,0.15,0.2387,0.0001,0.43,0.38,0.0004,0.0697,0.0699,0.11,0,0.11,0.09,0.01,0.05,3.51,0.0189,0.0007,4.21,3.63,0.0589,3.25,0.18,3,0.54,0,12.14,6.13,0.33,0.42,14.49,0,20.7,5.21,12.96,4.32,0.0056,2.16,0.02,3.57,4.19,3.46,0.33,0.31,0.1,2.73,2.51,1.85,3.84,0.0035,0.0071,0.02,0.01,0.04,0,9,0,0.04,0,1.64,0,0.0032,5.72,0.12
"Austria",17.18,0.8,0.11,0.0012,0.1,0.15,0.0014,0.0367,0.0081,0.0174,0.0061,0.18,0.0648,0.04,0.03,4.22,0.0004,0.0154,0.56,1.99,0.43,0.18,0.04,2.93,2.56,0,0.33,9.68,1.08,0.36,47.29,20.7,0,21.65,36.62,8.32,0.0151,4.67,2.99,2.02,2.14,5.08,0,0.09,0.01,0.27,1.09,0.09,0.3,0,0.029,0.81,0.24,0.1,0,0,0.0003,0.1,0,0.46,0,0.0343,3.23,0.22
"Hungary",6.56,0.01,0.0002,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.21,0,1.25,0,4.49,0.37,0,2.27,2.21,0,0,15.79,5.21,21.65,0,11.26,1.67,0.01,0.77,1.79,0.37,8.56,0.45,0.003,0.0103,0.0031,0,0.13,0.18,0.1,0,0.0001,0,0,1.5,0,0,0,0.1262,0,0.0147,0,0,0.0076,0
"Czechoslovakia",11.34,2.09,0.0089,0,0.24,0.0064,0,9.09,0,0.0023,0,0.05,0.18,0,0.24,7.51,0,0,5.3,10.22,1.23,6.13,0.49,3.85,3.7,0,13.02,1.98,1,0.69,33.73,12.96,36.62,11.26,0,0.48,0.4569,13.32,0.14,3.21,28.03,2.64,0.09,1.29,1.46,2.2,3.27,0.02,3.6,0,0.13,3.56,0.57,3.13,0,0,9,0.53,0,1.69,0,0,2.01,0.2
"Italy",69.52,31.55,1.91,0.23,0.58,0,0.244,1.09,0.05,0.38,0.139,3.4,1.13,0.33,2.88,4.43,9.98,0.6,1.65,5.5,2.19,30.48,0.79,3.5,17.78,0,47.58,10.32,1.85,0.85,34.8,4.32,8.32,1.67,0.48,0,1.73,18.9,3.78,1.58,1.94,12.58,0,0.44,0.3184,0.11,1.51,3.54,1.32,0,0,1.18,0.85,6.49,0,0,0,2.73,0,1.76,0,0.91,19.75,0
"Albania",0.32,0.0012,0,0,0.0006,0,0,0,0,0,0,0,9,0,0,9,0,0,0,0,0,0.75,0,0.0046,0,0,0.0133,0,0,0,0.05,0.0056,0.0151,0.01,0.4569,1.73,0,0.0423,0.7572,0.0005,0,0,0,0,0,0,0,9,0,0,0,0,0,0.0093,0,0,0,9,0,0,0,0,0.0002,0
"Yugoslavia",4.12,0.04,0.0002,0,0,0.0002,0,0.0003,0,0.0007,0.0001,0.11,0.0006,0.0073,0.005,3.69,0,0.006,0.26,0.33,0.1971,4.51,0.0003,0.78,0.3,0,0.27,0.84,0.13,0.0473,6.4,2.16,4.67,0.77,13.32,18.9,0.0423,0,8.99,2.16,1.56,0.1786,0.0052,0.0001,0.0013,0.0003,0.29,0.15,0.04,0.0005,0.0003,0.01,0.0005,0.12,0,0,0,0.2691,0,0.17,0,0.0005,0.01,0.0001
"Greece",9.25,8.94,0.0694,0.03,0.0092,0,0,0,9,0,0.0083,0.01,0.0024,0,0.09,1.45,9,0.004,0.0112,3.35,0.0098,107.37,0.25,0.17,3.99,0,7.1,0.64,0.0665,0.41,8.53,0.02,2.99,1.79,0.14,3.78,0.7572,8.99,0,2.44,10.08,3.6292,0,0,0,0.32,1.49,0.13,0.15,0,0.1096,0.06,0.0082,4.09,0,0,9.0001,0.1895,0,0.3399,0,0,2.02,0.01
"Bulgaria",1.2,0,0.0003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.0072,0,4.61,0,0.63,0.46,0,2.53,0.57,0,0,0.45,3.57,2.02,0.37,3.21,1.58,0.0005,2.16,2.44,0,6.9,0.1828,0.01,0.002,0.0099,0,0,0.0596,0.1,0,0,0,0,0.2,0,0,0,9.1,0,0,0,0,0,0
