"","United States of America","Canada","Cuba","Dominican Republic","Mexico","Guatemala","Honduras","El Salvador","Nicaragua","Costa Rica","Panama","Colombia","Venezuela","Ecuador","Peru","Brazil","Bolivia","Paraguay","Chile","Argentina","Uruguay","United Kingdom","Ireland","Netherlands","Belgium","Luxembourg","France","Switzerland","Spain","Portugal","Germany","Poland","Austria","Hungary","Czechoslovakia","Italy","Albania","Yugoslavia","Greece","Bulgaria","Romania","Russia","Estonia","Latvia","Lithuania","Finland","Sweden","Norway","Denmark","Liberia","Ethiopia","South Africa","Iran","Turkey","Saudi Arabia","Yemen Arab Republic","Afghanistan","China","Mongolia","Japan","Nepal","Thailand","Australia","New Zealand"
"United States of America",0,266,90.050003,3.4200001,48,5.3600001,11.88,1.6900001,3.5,3.28,2.3099999,78.660004,25.030001,5.23,9,110,0.99000001,0.15000001,33.290001,36,2.3800001,135,2,34.950001,34,0,79.169998,23,17,1.5599999,127.03,1.45,3.5,0.69,23.16,63,0.14,0.86000001,10.98,0.36000001,0,13,0.44999999,0.82999998,0.2,9.8699999,34,16.82,1.88,0,0.039999999,3.9000001,5.8099999,5.98,0,0,0,67,0,206.34,0,0.17,13,0.22
"Canada",350.98999,0,0.99000001,0.5,0.14,0,0,0,0,0,0,4.1500001,0.31,0.00019999999,4.1900001,0.74000001,0,0.02,0.039999999,2.5899999,0,106.18,0.14,5.7800002,4.9899998,0,13.57,0,0,0.12,11.67,0.079999998,0.41999999,0.0099999998,2.79,4.1900001,0,0.0099999998,0.090000004,0,0,0,0.00019000001,0.0051560001,0.00034900001,0.23,1.01,0.55000001,0.090000004,0,0.02,4.29,0,0,0,0,0,3.6900001,0,5.98,0,0,5.6799998,1.09
"Cuba",45.939999,1.6799999,0,0.050000001,1.4400001,0.0026229999,0.0047889999,0.0099999998,0,0.00044199999,0.003914,0.2,0.0099999998,0.11,0.029999999,0.050000001,0,0.0022430001,0.47999999,0.15000001,0.41999999,3.98,0.23999999,1.28,1,0,2.8499999,0.27000001,4.1799998,0.02,3.02,0.00091200002,0.039999999,0.000325,0.15000001,0.62,0,0.000489,0.001252,0.000204,0.0059290002,0.0086449999,0,0,0,0.14,0.28,1.33,0.13,0,0,0,0.0014449999,0.0061949999,0,0,0,0.25,0,0.80000001,0,0.88999999,0,0
"Dominican Republic",5.8800001,0.31999999,0.090000004,0,0.000114,0,0,0,0,0,0,0,0.000047000001,0,0,0,0,0,0.000183,0.0000049999999,0,0.5,0,0.51999998,0.11,0,0.2,0,0.0036220001,0.000012,0.46000001,0,0.00043499999,0,0,0.12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Mexico",51.310001,0.41999999,0.039999999,0.029999999,0,0.13,0,0,0,0,0,0,0,0,0,0,0,0.000067000001,0,0.20999999,0,5.5300002,0,0.93000001,0.94999999,0,4.1409731,0.69999999,1.63,0,6.9374952,0.029999999,0.19,0,0.25999999,0.74000001,0,0.0034719999,0.0021599999,0,0,0,0.00134,0.000183,0.0062640002,0,0,0.15000001,0.039999999,0,0,0,0,0,0,0,0,0.17,0,0.47999999,0,0,0.029999999,0
"Guatemala",5.5100002,0,0.0099999998,0.000344,0.19,0,0.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.88999999,0,0.20999999,0.19,0,0.34999999,0,0.12,0,1.28,0.0025500001,0.0099999998,0,0.0099999998,0,0,0.000039999999,0,0,0,0,0,0,0,0,0,0.0041060001,0.0069530001,0,0,0,0,0,0,0,0,0,0,0.22,0,0,0,0
"Honduras",6.3699999,0.0020000001,0.02,0,0.0070000002,0.02,0,0.029999999,0.14,0,0.2,0,0,0,0,0,0,0,0,0,0,0.33000001,0,0.02,0.11,0,0.0061670002,0,0.02,0,0.30000001,0,0.00081100001,0,0,0.050000001,0,0.000102,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0040000002,0,0.039999999,0,0,0,0
"El Salvador",3.6400001,0,0.0061949999,0,0,0,0.19,0,0,0,0,0,0,0,0.41,0,0,0,0,0,0,0.88,0,0.059999999,0.079999998,0,0.37,0,0.079999998,0,0.61000001,0,0.0012460001,0,0,0.18000001,0,0,0,0,0,0,0,0,0,0,0.25,0.0078880005,0.0059159999,0,0,0,0,0,0,0,0,0,0,0.17,0,0,0,0
"Nicaragua",3.6800001,0,0.008316,0,0,0,0.14,0,0,0,0,0,0,0,0.28,0,0,0,0,0,0,0.54000002,0,0.0088780001,0,0,0.005225,0,0.039999999,0,0.079999998,0,0.000059000002,0,0,0.090000004,0,0.000081999999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0080000004,0,0,0,0,0,0
"Costa Rica",4.4899998,0,0.0099999998,0,0,0,0,0,0.23999999,0,0,0,0,0,0.17,0,0,0,0,0,0,0.95999998,0,0.18000001,0.11,0,0.22,0,0.13,0,0.89999998,0.00025899999,0.0045139999,0,0.0099999998,0.15000001,0,0.000244,0,0,0,0,0.0027679999,0,0,0,0,0.17,0.039999999,0,0,0,0,0,0,0,0,0,0,0.11,0,0,0,0
"Panama",8.1499996,0,0.30000001,0,0,0,0,0,0,0,0,0.12,0,0,0.090000004,0,0,0,0,0,0,1.03,0,0.22,0.20999999,0,0.02,0,0.28999999,0,0.12,0,0.0043500001,0,0,0.16,0,0.000082999999,0.000012,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.70999998,0,0.27000001,0,0,0,0
