"","United States of America","Haiti","Dominican Republic","Mexico","Guatemala","Honduras","El Salvador","Colombia","Venezuela","Ecuador","Peru","Brazil","Bolivia","Paraguay","Chile","Argentina","Uruguay","United Kingdom","Netherlands","Belgium","France","Switzerland","Spain","Portugal","Germany","Austria-Hungary","Italy","Yugoslavia","Greece","Romania","Russia","Sweden","Denmark","Ethiopia","Morocco","Iran","Turkey","China","Korea","Japan","Thailand"
"Russia",3.94,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25.56,78.11,15.91,16.8,4.87,8.5,0,51.52,6.6,14.48,9.12,0,0.27,0,0,5.37,0,0,0,3.77,10.76,0,0.47,0
"Sweden",11.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,57.42,0,20.73,0,0,13.05,0,39.06,0,0,0,0,0,0,0,24.41,0,0,0,0.07,0,0,0,0
"Denmark",20.09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33.7,2.66,1.89,2.54,0,0,0,19.55,0,0,0,0,0,5.37,24.41,0,0,0,0,0.0002,0,0,0,0
"Ethiopia",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Morocco",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Iran",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.67,0,0,0,0
"Turkey",2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.56,0.72,2.47,7.77,0,9.0001,0,0.16,2.36,1.47,0.06,0.27,0.05,3.77,0.07,0.0002,0,0,2.67,0,0,0,9.14,0
"China",4.12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19.13,0,0,0,0,0,0,0,0,0,0,0,0,10.76,0,0,0,0,0,0,0,0,2.37,0
"Korea",0.1396,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.64,0
"Japan",11.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28.31,0.48,4.14,19.09,1.27,0,0,11.24,0.47,2.72,0,0,0,0.47,0,0,0,0,0,9.14,2.37,1.64,0,0.59
"Thailand",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.59,0
