"","United States of America","Canada","Bahamas","Cuba","Haiti","Dominican Republic","Jamaica","Trinidad and Tobago","Barbados","Grenada","Mexico","Guatemala","Honduras","El Salvador","Nicaragua","Costa Rica","Panama","Colombia","Venezuela","Guyana","Suriname","Ecuador","Peru","Brazil","Bolivia","Paraguay","Chile","Argentina","Uruguay","United Kingdom","Ireland","Netherlands","Belgium","Luxembourg","France","Switzerland","Spain","Portugal","German Federal Republic","German Democratic Republic","Poland","Austria","Hungary","Czechoslovakia","Italy","Malta","Albania","Yugoslavia","Greece","Cyprus","Bulgaria","Romania","Russia","Finland","Sweden","Norway","Denmark","Iceland","Cape Verde","Sao Tome and Principe","Guinea-Bissau","Equatorial Guinea","Gambia","Mali","Senegal","Benin","Mauritania","Niger","Ivory Coast","Guinea","Burkina Faso","Liberia","Sierra Leone","Ghana","Togo","Cameroon","Nigeria","Gabon","Central African Republic","Chad","Congo","Democratic Republic of the Congo","Uganda","Kenya","Tanzania","Burundi","Rwanda","Somalia","Djibouti","Ethiopia","Angola","Mozambique","Zambia","Zimbabwe","Malawi","South Africa","Lesotho","Botswana","Swaziland","Madagascar","Comoros","Mauritius","Seychelles","Morocco","Algeria","Tunisia","Libya","Sudan","Iran","Turkey","Iraq","Egypt","Syria","Lebanon","Jordan","Israel","Saudi Arabia","Yemen Arab Republic","Yemen People's Republic","Kuwait","Bahrain","Qatar","United Arab Emirates","Oman","Afghanistan","China","Mongolia","Taiwan","North Korea","South Korea","Japan","India","Bhutan","Pakistan","Bangladesh","Myanmar","Sri Lanka","Maldives","Nepal","Thailand","Cambodia","Laos","Vietnam","Malaysia","Singapore","Philippines","Indonesia","Australia","Papua New Guinea","New Zealand","Fiji","Samoa"
"United States of America",0,30868.9,1102.9,0.1,176.3,670.09998,376.20001,1754.9,33.5,0.1,4769.6001,430.89999,292.89999,462.29999,198.5,328.20001,179.39999,860.79999,4319.7998,63,139.3,673.90002,544.70001,2384.7,162.89999,26.200001,303.10001,431.10001,93.900002,5470.3999,250.60001,1592,1483.963,63.937481,3260.2,1230.2,1107.8,166.3,0,18.200001,355.29999,298.39999,50.299999,41.599998,3286.1001,4.3000002,6.6999998,371.20001,188.2,5.5,18.700001,253.89999,472.10001,305.29999,1060.3,814.40002,615.70001,166.5,0,0,0,0,0.2,0.1,2.0999999,0.106,0.1,15.1,313,76.5,0.69999999,124.3,64.599998,223,0.30000001,39.5,6828.2002,252.3,3.5,0.2,33.900002,179.2,254.2,97.800003,83.199997,27.6,35,1.9,0.40000001,96.699997,481.60001,72.800003,105.4,51.700001,20.6,1334.7,0,50.400002,14.4,80,1.9,24.1,0.2,23.9,3269.8999,12.3,4474.8999,19.6,4104.8999,157.10001,466.89999,188,17.200001,43.299999,3.3,591.79999,7100.3999,0.80000001,3.5,238,82.099998,483.10001,2277.8999,473.10001,16.5,224.39999,2.2,4039,0,3162.2,20202.801,865.29999,0,62.400002,70.300003,1.2,74.900002,0,4.5999999,379.5,0.1,1,0.40000001,1390,922.40002,1235.7,3737.8999,1338.7,85.300003,413.10001,10.108,1.3
"Canada",30819.801,0,11.2,46.900002,3.5999999,25.6,57.299999,41.200001,6.0999999,0.315,202.10001,24.200001,19.299999,15.3,15,26.700001,13.4,66.300003,1405.8,13.1,12.1,71,38.5,221.3,11.7,4.1999998,23.799999,23.799999,4.1999998,1322.8,41.700001,197.10001,159.0473,6.8526559,539.29999,227,118.2,27.299999,0,5.8000002,48.599998,64.400002,21.200001,44.900002,412.79999,0.30000001,0,18.6,32.299999,0.2,2.3,22.9,57.700001,39.799999,269.70001,71.699997,84,1.3,0,0,0,0,0.0089999996,0,0.89999998,0.017999999,0,0.017999999,12.6,23.200001,0.090000004,5.5,3.9000001,4.8000002,0.147,0.833,38.700001,18.5,0,0,0.090999998,7.8000002,2.5999999,21.1,9,3.033,0,0.003,0,1.5,0,5.4000001,0.054000001,0,0.40000001,154.2,0,0,0,1.337,0,6.5999999,0,3.7,49.599998,0.15000001,0,0.115,556.20001,7.1999998,114.2,33.900002,0.079999998,0.2,0,43.799999,738.79999,0,6.0999999,20,0,0,14.4,0,0.097999997,85,0,332.39999,0.5,334.5,1853.5,57.400002,0,6.8000002,7.4000001,0.235,17.4,0,0,12.7,0,0,0.1,55.400002,96.800003,40.700001,25.4,365.60001,5.2719998,74.599998,1.4,0
"Bahamas",214.28999,12.41,0,0.07,0.13,0.0099999998,1.3099999,5.0100002,0.090000004,0.0099999998,0.56,0.001,0,0.0099999998,0.0099999998,0.001,0.13,6.2399998,63.23,0.0099999998,0.059999999,0,4.0999999,38.91,0,0,0,0.37,0.18000001,60.779999,0.31,0.23999999,0.2396735,0.0103265,2.8900001,0.72000003,0.82999998,0.079999998,0,0,0.0099999998,0.02,0.23999999,0,1.09,0,0,0,0.11,0,0,0,4.3899999,0.0099999998,0.090000004,12.74,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,449.14001,95.099998,0,0,12.87,17.08,0,0,0,0,0,0,0,0,153.5,0,0,0,0,7.5999999,0,0,0,0,0,0,0,0,13.01,13.46,362.85001,0,386.45001,0,16.73,0.0099999998,1.67,0,0,0.0099999998,1274.26,0,0,0,0,0,12.6,0,0,0,0,0.0099999998,0,0.1,2,0.029999999,0,0,0,0,0,0,0,0.02,0,0,0,0.0099999998,0,0.090000004,85.440002,0.039999999,0,0.37,0,0
"Cuba",1.5,173.60001,0,0,0,0,1.081,0,0.016000001,0,34.400002,0,0,0,0,0.461,0.028000001,3.4300001,0,0.0020000001,0.396,0,19.620001,0,0,0,0,167.64,0,47.900002,0.02,18.6,73.723572,3.1764269,56.5,25.700001,154.57001,0.44999999,0,0,28.16,9,28.5,0,32.299999,0,0,41.5,0,0,0,8.6899996,0,1.63,31,1.4,82.440002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.28,0,0.62,0,0,0,0,0,0.77999997,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,364,0,0,0,0,0,0,0,0,0,0,0,0,1.66,1.8,0.0099999998,0,16.02,0,0,0,0
"Haiti",105.718,14.409,0.092,0,0,2.3929999,2.168,0.27399999,0.0099999998,0,0.62900001,0.189,0,0.097999997,0.35800001,0.003,0.064000003,0.61199999,0.046999998,0,0.28,0.033,0,2.0450001,0.075000003,0,0.15800001,0.039000001,0,4.9679999,0.093000002,4.4640002,2.454257,0.1057432,6.6830001,0.745,0.87900001,0.024,0,0,0.40400001,0.115,0.47999999,0.53299999,2.46,0,0,0,0.023,0,0.2,0.58200002,0,0.071000002,1.5190001,0.829,0.79100001,0.0020000001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.27399999,0,0,0,0,0,0,0,0.0089999996,0,0,0,0.0020000001,0,0,0,0,0,0.016000001,0,0,0,0,0,0.0020000001,0,0,0,0,0,0,0,0,0,3.4360001,0,0,0,0.039000001,14.607,0.145,0,0.017999999,0,0,0,0,0,0,0,0,0,0,0.551,0.0099999998,0,0.063000001,0,0.050000001,0,0
"Dominican Republic",411.03,21.629999,0.19,0,1.15,0,1.26,1.12,0.0099999998,0.012,10.93,2.75,8.2600002,0.63999999,1.02,3.71,8.1099997,4.9299998,140.39,0.0099999998,0.38999999,0,0.2,13.73,0.02,0,1.96,11.06,0,16.120001,0.25,9.0699997,6.0972939,0.2627058,7.8000002,5.6399999,29.639999,0.44,0,0.050000001,0.25999999,0.63,0.1,0.27000001,14.17,0,0,0.13,0,0,0,0.0099999998,0,0.61000001,1.74,5.9000001,1.1799999,0.029999999,0,0.0099999998,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.30000001,0,0,0,0,0,0,0,0,0,0,0,0,0.0099999998,0,0,0,0,0,0,0.31999999,0,0,0,0,0,0,0,0,0,0.059999999,0,9.6199999,0.0099999998,1.2,73.339996,0.85000002,0,0,1.04,0,0,0,0,0,0,0,0,0,0.039999999,0.050000001,0,3.22,0,0.60000002,0,0
"Jamaica",317.444,48.145,0.068000004,0.043000001,0.14,0.42300001,0,22.6,2.6010001,0.226,3.7449999,1.472,4.803,0.088,0.0070000002,0.028999999,0.37400001,0.58099997,138.07201,13.1,0.001,0.204,0.48199999,5.3600001,0,0.53100002,0.028999999,1.109,0.37099999,82.079002,0.74000001,8.3109999,4.9660349,0.21396481,8.0839996,4.3010001,0.801,0.097000003,0,0.030999999,1.174,0.29899999,0.028000001,0.011,3.451,0,0,0.40000001,0.22,0.0020000001,0,0.108,0.0070000002,0.204,5.8369999,2.346,1.694,0.0060000001,0,0,0,0,0,0,0,0,0,0,0.001,0,0,0,0,0.0049999999,0.001,0.186,0,0,0,0,0.052000001,0.052999999,0,0.096000001,0,0.081,0,0.0060000001,0,0.001,0.0049999999,0,0.0049999999,0,0,0,0,0,0,0.001,0,0,0,0.028000001,0,0.050000001,0,0.015,0.0049999999,0.0049999999,0.017999999,0.017999999,0.017999999,0,0,0.122,0.013,0,0,0,0,0,0,0,0.024,0.55800003,0,6.993,0,0.78299999,19.370001,0.148,0,0.093000002,0.112,0,0.117,0,0,0.0070000002,0,0,0,0.53399998,0.296,0.123,0.505,7.381,0,11.247,0,0
"Trinidad and Tobago",371.39999,62.119999,0.0099999998,0,0.090000004,0.56,23.35,0,10.17,0.56999999,1.85,0.25999999,5.4099998,0.40000001,1.78,0.22,0.80000001,7.54,17.110001,16.379999,0.28999999,2.6600001,2.4300001,6.3000002,0,0,0.050000001,1.88,1.09,187.52,2.51,14.91,6.2794461,0.27055401,9.3400002,2.5699999,3.5799999,0.56999999,0,0.31999999,0.34,0.85000002,0.23,1.42,9.2299995,0,0,0.090000004,0.090000004,0,0,0.41,0.15000001,0.54000002,6.02,5.29,6.6399999,0,0,0,0,0,0.075999998,0,0,0,0,0,0,0,0,0.02,0,0.029999999,0,0,0,0,0,0,0.0099999998,0,0,0.16,0.059999999,0,0.27000001,0,0,0,0,0.20999999,0,0,0,0.02,0,0,0,0.02,0,0,0,0.20999999,0,0,32.700001,0,163.67,0.0099999998,0.050000001,0.050000001,0,0,0,0.38,430.20999,0,0,0,0,0,18.700001,142.88,0,5.0599999,0,9.3299999,0.1,0.63999999,80.949997,3.8099999,0,0.050000001,0.079999998,0,0.029999999,0,0,0.12,0,0,0,0.43000001,2.5699999,0.43000001,187.47,7.5500002,0,14.97,0,0
"Barbados",71.092003,19.371,0.028999999,0.90100002,0.345,0.074000001,7.915,27.101,0,0.021,0.373,0.13699999,2.47,0.109,0.015,0.0060000001,0.046,0.77700001,18.684,5.197,0.31900001,0.012,0.02,4.3309999,0.0080000004,0,0.96600002,1.854,0.43200001,51.338001,1.002,2.559,1.188781,0.0512194,3.579,1.201,0.99000001,0.108,0,0.041999999,0.29499999,0.123,0.079999998,0.44299999,2.312,0.0049999999,0,0.039000001,0.013,0.037,0.0040000002,0.041999999,0.021,0.139,0.60699999,2.302,1.962,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0049999999,0,0,0,0,0,0,0,0,0,0.19599999,0,0,0,0,0,0,0,0.041000001,0,0,0,0.0080000004,0,0,0,0.011,0,0,0,0.0060000001,0,0,0,0,0.0060000001,0.014,0.0040000002,0,0,0,0,0.066,0,0,0,0,0,0,0,0,0,0.31099999,0,1.404,0.0060000001,0.153,9.0810003,0.40599999,0,0.20299999,0,0.016000001,0.25,0.024,0,0.017999999,0,0,0,0.428,0,0.059,0.044,2.527,0,6.2490001,0,0
"Grenada",0,0,0,0,0.001,0,0.57300001,6.6300001,0,0,0,0,0.34299999,0,0,0,0,0,0,0.78100002,0.138,0,0,0.029999999,0,0,0,0,0.039000001,7.5999999,0.18000001,0.30000001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.029999999,0,0,0.17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.02,0,0,0,0
"Mexico",3493.1001,165.89999,1.3,2.5999999,0.0049999999,0.029999999,0.072999999,5.8200002,0.0049999999,0,0,5.3000002,0.40000001,2.5999999,7.5,1.2,20.200001,9,13.1,0.80000001,0,1.6,15.3,107.5,0.1,2.5,10,80.099998,4.9000001,128.3,14.6,39,45.05862,1.94138,156.89999,96.900002,87.099998,1,0,1,1.6,6.5,1.5,4.8000002,104.9,0.0099999998,0,1.2,0.2,0,0,8.6000004,1.5,6.1999998,79,35.299999,6.3000002,0.052999999,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0.12800001,0,0,0.1,0,0,0,0,0.30000001,0,0,0,0,0,0,0,0.259,0,0,0,0,0,3.3,0,0,0,0,0,0,0,0.89999998,0,0,0,0.198,0.1,0.050000001,0,1.34,0,0,0,0.5,0,0,0,0,0,0,0,0,0,9,0,0,0,9.6999998,295.5,1.1,0,0.30000001,1.01,0,4.5999999,0,0,0,0,0,0,5.5,15.3,0.30000001,0.69999999,12.2,0,6,0.0020000001,0
"Guatemala",366.94901,17.464001,4.6729999,0,0.050000001,0.028000001,1.2029999,5.618,0,0,41.083,0,19.058001,45.042,15.857,25.448999,3.651,4.6960001,87.129997,0,0,0.147,0.55299997,8.4289999,0.001,0,0.99299997,3.4089999,0.079000004,31.195,0.82599998,13.89,10.421,0.44899559,15.332,14.719,14.562,1.938,0,0.28,0.80199999,1.6109999,0.77700001,1.784,18.044001,0,0.003,1.033,0.001,0,0.245,3.457,0.38,0.551,3.9430001,2.0120001,2.7149999,0.0080000004,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0040000002,0,0,0,0,0,0,0,0,0,0,0,0.0049999999,0,0,0,0,0.085000001,0,0,0,0,0,0.99000001,0,0,0,0.003,0,0,0,0,0,0,0,0,0.016000001,0.0040000002,0,0,0,0,0.76700002,1.697,0,0.0070000002,0,0,0,0,0,0,0,0.93000001,0,6.9190001,0,3.7950001,120.926,0.079999998,0,0.017999999,0,0,0.29899999,0,0,0.391,0,0,0.001,0.022,0.52600002,0.059,0.018999999,3.075,0,0.222,0,0
"Honduras",248.69,7.1929998,0.079999998,0,1.959,0.094999999,0.65700001,27.297001,0,0,14.182,32.951,0,0,18.851999,19.392,6.1760001,3.437,31.207001,0,0,0,0.95200002,8.3070002,0,0,0.0060000001,2.2650001,0,14.389,0.050000001,6.756,6.356142,0.2738584,4.322,4.382,4.454,0.414,0,0.53799999,0.17200001,1.031,0.39500001,1.104,5.3559999,0,0,0.0060000001,0.029999999,0,0,1.999,0.066,0.377,3.313,0.19400001,0.82200003,0.211,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.456,0,0,0,0,0,0,0,0.0099999998,0,0,0,0,0,0,0,0,0,0,0,0.31799999,0,0,0,0,0,0,0,0,0,2.4230001,0,0,0,2.25,63.578999,0.061000001,0,0,0,0,0,0,0,0,0,0,0,0.048,0,0.0099999998,0,0.115,0,0.050000001,0,0
"El Salvador",277.241,11.663,0.025,0,0.0049999999,0.0060000001,0.30399999,0.80000001,0,0,18.32,127.565,0,0,35.480999,47.291,21.620001,3.7539999,87.508003,0,0.001,0.44600001,1.8,5.3759999,0.0060000001,0,1.38,1.721,0.088,28.927999,0.035999998,26.614,9.4623098,0.40768969,10.049,5.737,17.201,0.20299999,0,0,0.02,0.82300001,0.154,0.46000001,8.6190004,0,0,0.0099999998,0.016000001,0,0,0.50800002,0,0.0049999999,3.425,2.1259999,2.576,0.25799999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.241,0,0,0,0,0,0,0,0.077,0,0,0,0,0.0020000001,0,0,0,0,0,0,0.67199999,0,0,0,0,0,0,0,0,0,0,0,4.7140002,0,3.6919999,104.424,0.066,0,0.027000001,0.44,0,0.184,0,0,0.419,0,0,0,0.023,0.25799999,0.0040000002,0.0020000001,3.076,0,2.5150001,0,0
"Nicaragua",219.731,5.5120001,0.029999999,0,0.028000001,0.0049999999,0.98100001,0.44400001,0,0,15.332,52.313,15.492,38.349998,0,58.301998,8.0240002,3.003,86.561996,0,0,0.015,0.061000001,5.0819998,0,0,1.277,0.89200002,0.061999999,16.374001,0.11,7.7989998,3.7772551,0.1627454,4.9130001,7.0949998,37.481998,0.215,0,0,0.34,0.76999998,0,0.38999999,8.125,0,0,0.63999999,0.0070000002,0,0,1.319,0.20100001,1.2309999,1.607,0.30899999,3.2420001,0,0,0,0,0,0,0,0.052000001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0049999999,0,0,0,0,0,1.4299999,0,0,0,0,0,0,0,0.0060000001,0.003,0,0,0,0.001,0,0,0,0,0.001,0,0.221,0,0,0,0,0,0,0,0,0,1.4349999,0,2.908,0,3.6240001,77.064003,0.78899997,0,0.0049999999,0.41,0,0.088,0,0,0.55400002,0,0,0,0,0.046999998,0.039999999,0.003,2.036,0,0.001,0,0
"Costa Rica",343.65399,16.059999,0.0060000001,0.001,0.071999997,0.054000001,0.13500001,2.7079999,0.035999998,0,23.409,58.639999,9.3559999,51.353001,48.543999,0,12.159,6.724,35.551998,0.003,0.017000001,0.059,5.1329999,9.1070004,0,0,3.8380001,3.6760001,0.054000001,23.24,2.286,6.664,7.5736828,0.32631701,14.33,8.493,17.495001,0.19400001,0,0.050999999,0.31200001,4.6570001,0.79500002,1.642,13.319,0,0.0020000001,1.562,0.109,0,0.86900002,1.822,0.58099997,0.51300001,8.1490002,1.092,3.1270001,0.003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.013,0,0,0.0020000001,0,0.003,0,0,0,0,0,0.037,0,0,0.244,0,0,0,0.001,0,0,0,0.079999998,0,0,0,0.037999999,0.0060000001,0.001,0,0,0,0,0,0.465,0,0,0,0,0,0,0,0,0,0.162,0,2.704,1.015,1.518,136.429,0.098999999,0,0.061999999,0,0,0.012,0,0,0.0049999999,0,0,0,0.032000002,0.061000001,0.027000001,0.02,2.069,0,5.4510002,0,0
"Panama",264.12201,10.586,0.003,0.153,0.26100001,0.093000002,0.95200002,3.8770001,0.0080000004,0,10.932,9.1739998,0.87,4.7849998,3.516,20.799,0,7.2670002,72.435997,0.0070000002,0,128.334,1.076,7.1950002,0.0099999998,0,2.151,2.3940001,0.098999999,12.086,0.15899999,8.0229998,5.0619049,0.21809541,4.9879999,3.783,5.776,0.191,0,0.092,1.179,1.082,0.20999999,0.47999999,6.71,0,0,0.421,0.066,0,0,0.108,0.024,0.198,10.019,0.62800002,13.217,0.215,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.19,0,0,0,0,0,0,0,0,0,0,0,0,5.6669998,0.003,3.2379999,0.0089999996,0,0.0060000001,0,0.114,64.352997,0,0,0,0,0,0,0,0,1.091,0,7.013,0,3.9920001,39.766998,0.53799999,0,0.141,0.0099999998,0,0.037,0,0,0.093999997,0,0,0,0.156,0.20900001,0.97299999,0.0049999999,2.01,0,3.1730001,0,0
"Colombia",713.40997,65.419998,0.07,0,0.029999999,0.07,0.0020000001,1.24,0.093000002,0,34.169998,0.052000001,1.36,0.17,0.2,0.63,9.3199997,0,92.25,0.15000001,1.15,57.68,16.620001,51.950001,3.46,0.86000001,34.970001,51.419998,5.6700001,73.910004,0.69999999,25.129999,16.757971,0.72202802,74.650002,39.98,63.490002,0.30000001,0,9.3100004,11.12,5.3200002,1.54,6.1100001,51.240002,0,0,5.46,0.11,0,0.43000001,4.5599999,2.9200001,6.6100001,21.309999,1.1,12.29,0.16,0,0,0,0,0,0,0,0,0,0,0.12,0,0,0,0,0.41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.4899998,0,0,0,0.11,0,0.044,0,0.1,0,0,0,0,1.73,0.27000001,0,0.0099999998,0,0,0,1.01,0,0,0,0,0,0,0,0,0,0.44999999,0,0,1.66,5.98,211.66,0.56,0,2.55,0.0099999998,0.046999998,0.22,0,0,5,0,0,0,6.5799999,4.6500001,1.49,0.15000001,0.91000003,0.1,1.39,0,0
"Venezuela",3927.5,291.10001,0.28999999,0,0.41999999,15.1,15.9,5.0999999,0.30000001,0.003,103.5,1,9.5,0.5,7.6999998,24.6,59.200001,152,0,4.5320001,7.4970002,6.4000001,34.099998,278.29999,3.3,0.5,55.099998,193.7,0.80000001,272.39999,8.8299999,156.60001,181.5766,7.8233461,211.89999,109.9,266.29999,50,0,0,0,16.700001,0,11.3,591.70001,0,0,7.4400001,1.48,0,0,2.01,0,22.299999,60.700001,28.700001,41.299999,0.061999999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.33,0,0,0,0,0,0.23999999,0,0.0099999998,0,0,0,7.8499999,0,0,0,0,0,0,1.3,0,0,0,0,0,0,16.799999,1093.7,1.78,0,0.28,0,0,0,0,0,0.16,0,0,0,2.6700001,10.07,0.30000001,3.0999999,38.400002,0,16.690001,0.001,0
"Guyana",84.848999,11.627,0.11,0.139,0.14399999,0.017999999,6.487,72.122002,1.4400001,0.054000001,1.189,0,0,0,0,0.001,0.0040000002,0.183,0.35100001,0,0.33000001,0,0,1.355,0,0,0.0099999998,0.55900002,0,64.867996,0.245,10.924,1.428454,0.061545901,2.3540001,0.94300002,0.741,0.14300001,0,2.286,0.0080000004,0.089000002,0,0.041999999,1.536,0,0,0.39199999,0.003,0,0,0.0020000001,0.11,0.139,0.66500002,2.7030001,0.77700001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.092,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.28299999,0,0,0,0,0.0060000001,0,0,0.037999999,0,0,0,0.011,0,0,0,0,0,0,0,0,0,2.2,0,0.052999999,0.013,0.477,10.453,2.668,0,0.037,0.003,0,0,0,0,0,0,0,0,0.47099999,1.074,0.0080000004,0.0080000004,0.65600002,0,1.043,0,0
"Suriname",123.555,2.414,0.001,0.73400003,0.146,0.495,1.397,54.289001,0.55199999,0.46200001,0,0.141,0,0.22499999,0.0020000001,0.55900002,3.8729999,1.668,1.434,0.82200003,0,0,0.043000001,10.417,0,0,0.012,0.079000004,0.003,14.75,0.052999999,85.097,4.9468608,0.2131387,3.612,1.3099999,2.7030001,0.104,0,0.19,0.075999998,3.49,0.486,0.28200001,3.757,0,0.117,0.0060000001,0.0099999998,0.0020000001,0.0080000004,0.090999998,0.029999999,0.016000001,1.152,1.002,1.938,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.025,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0070000002,0,0,0,0,0,0.0060000001,0,0.032000002,0,0,0,0,0,0.018999999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.892,0,0,0,0.96200001,28.069,0.52399999,0,0,0.0099999998,0,0.0089999996,0,0,0.003,0,0,0,1.012,0,0.142,0.132,0.068999998,0,0.039999999,0,0
"Ecuador",451.04999,16.43,0.0099999998,0,0.29100001,0.0099999998,0.093999997,0,0.0040000002,0,21.91,0.69999999,0.25,0.12,0.0099999998,0.62,2.6600001,41.75,6.21,0.003,0.001,0,12.15,18.120001,0.41999999,0.02,20.27,18.690001,0.25,44.830002,0.68000001,10.21,6.0972939,0.2627058,16.549999,44.5,23.16,1.0599999,0,4.3899999,0.75,4.4200001,0.37,2.96,32.5,0.0099999998,0,5.1900001,0,0,0.61000001,0.25999999,1.12,1.27,10.31,1.98,2.9100001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.9899998,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.9299998,0,0,0,0,0,0,6.9000001,0,0,1.76,0,11.79,0,5,219.19,0.14,0,0.02,0,0,0,0,0,0.2,0,0,0,6.9699998,1.28,1.29,0.43000001,6.23,0,1.1900001,0,0
"Peru",508.75,42.48,2.23,0,0,0.0099999998,0.13699999,0,0,0,16.15,0.25999999,0.37,0.0060000001,0.12,0.050000001,0.34999999,31.639999,165.73,0.23,0,170.97,0,57.849998,6.5100002,0.86000001,12.24,55.52,3.72,74.980003,2.47,28.299999,14.94604,0.64395982,50.110001,33.299999,10.48,0.66000003,0,0.079999998,0.69999999,12.03,5.3499999,1.72,26.74,0.0099999998,0,0.80000001,0.029999999,0,0.94999999,11.58,2.3099999,14.86,56.700001,3.1500001,3.0799999,0,0,0,0,0,0,0,0,0,0,0,0.0099999998,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.5999999,0,0,0,0,0,0,0,0.0099999998,0,0,0,0,0.17,0.0099999998,0,0,0,0,0,0.079999998,0,0,0,0,0,0,0,0,0,0.33000001,0,4.9200001,0,0.059999999,129.98,1.51,0,0.0099999998,0.31999999,0,0,0,0,0,0,0,0,6.5700002,0.33000001,0.0099999998,0,11.55,0,23.190001,0,0
"Brazil",2861.4851,335.78601,19.382,0,0,0.0099999998,0.041000001,1.98,0.0040000002,0,251.097,0.176,0.046,0,0.011,0.055,39.083,6.4899998,178.70599,1.793,2.7060001,5.7639999,75.712997,0,23.396999,36.827999,369.84201,554.47699,108.119,316.14001,23.792999,273.823,131.0822,5.6477618,435.215,211.81599,137.313,29.688999,0,42.977001,131.923,40.875999,4.3340001,41.316002,364.70499,0.044,0,27.268999,0.792,0,1.881,71.093002,10.186,47.080002,198.91299,82.181,36.52,1.452,0,0,0,0,0,0,0,0,0,0,0.079999998,0,0,0,0,4.829,0,0.055,104.225,168.685,0,0,3.8610001,0.92400002,0,0.121,0,0,0,0,0,0,1.452,0.055,0,0,0,133.87,0,0,0,13.508,0,0.001,0.044,41.91,1.3200001,7.7880001,175.054,0,460.80099,0.44,1267.959,3.267,0.033,0,0,16.148001,1573.209,0,0,537.85602,1.21,0.69300002,102.608,0,0,0.53899997,0,3.971,0,8.7229996,1029.248,2.178,0,0.20900001,0,0,0.077,0,0,0.37400001,0,0,0,5.1149998,59.686001,0.42899999,0,14.619,0,0.055,0,0
"Bolivia",141.00101,3.474,0,0,0,0,0,0,0.003,0,2.3770001,0.375,0,0.0040000002,0.048999999,0.12899999,0,3.128,0.252,0,0,0.34400001,13.763,66.127998,0,4.0500002,16.705999,78.869003,2.75,14.704,1.5599999,8.5609999,6.1068811,0.26311889,6.7969999,7.9299998,6.9499998,0.31999999,0,0,0,2.5,0,0,10.984,0,0,0.029999999,0,0,0,0,0,2.3399999,9.684,0.37,4.73,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.07,0,0,0,0,0,0.059999999,0,0,0,0,0,0.69,0,0,0,0,0,0,0,0,0,0,0,0,0,1.9,78.518997,0.31,0,0,0.090000004,0,0,0,0,0,0,0,0,0,0,0.039999999,0,0.079999998,0,0,0,0
