"","United States of America","Canada","Bahamas","Cuba","Haiti","Dominican Republic","Jamaica","Trinidad and Tobago","Barbados","Grenada","Mexico","Guatemala","Honduras","El Salvador","Nicaragua","Costa Rica","Panama","Colombia","Venezuela","Guyana","Suriname","Ecuador","Peru","Brazil","Bolivia","Paraguay","Chile","Argentina","Uruguay","United Kingdom","Ireland","Netherlands","Belgium","Luxembourg","France","Switzerland","Spain","Portugal","German Federal Republic","German Democratic Republic","Poland","Austria","Hungary","Czechoslovakia","Italy","Malta","Albania","Yugoslavia","Greece","Cyprus","Bulgaria","Romania","Russia","Finland","Sweden","Norway","Denmark","Iceland","Cape Verde","Sao Tome and Principe","Guinea-Bissau","Equatorial Guinea","Gambia","Mali","Senegal","Benin","Mauritania","Niger","Ivory Coast","Guinea","Burkina Faso","Liberia","Sierra Leone","Ghana","Togo","Cameroon","Nigeria","Gabon","Central African Republic","Chad","Congo","Democratic Republic of the Congo","Uganda","Kenya","Tanzania","Burundi","Rwanda","Somalia","Djibouti","Ethiopia","Angola","Mozambique","Zambia","Zimbabwe","Malawi","South Africa","Lesotho","Botswana","Swaziland","Madagascar","Comoros","Mauritius","Seychelles","Morocco","Algeria","Tunisia","Libya","Sudan","Iran","Turkey","Iraq","Egypt","Syria","Lebanon","Jordan","Israel","Saudi Arabia","Yemen Arab Republic","Yemen People's Republic","Kuwait","Bahrain","Qatar","United Arab Emirates","Oman","Afghanistan","China","Mongolia","Taiwan","North Korea","South Korea","Japan","India","Bhutan","Pakistan","Bangladesh","Myanmar","Sri Lanka","Maldives","Nepal","Thailand","Cambodia","Laos","Vietnam","Malaysia","Singapore","Philippines","Indonesia","Australia","Papua New Guinea","New Zealand","Fiji","Samoa"
"Myanmar",13.627,1.058,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.018999999,0,0,0,0,0,21.424999,0.0070000002,9.9809999,2.6172349,0.1127652,12.401,1.652,0.044,0.075000003,0,0.13699999,0.075000003,0.597,0.030999999,3.072,1.091,0,0,1.062,0.027000001,0,0.001,0.023,1.773,0.066,1.294,0.090000004,2.819,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.214,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.5039999,0.003,0,0,0,0,0,0,0.248,0,0,0,0,0,0,0,0,0,17.584999,0,0,0.083999999,17.34,64.915001,10.961,0,3.1040001,3.033,0,0.048,0,0,3.1589999,0,0,0,12.672,32.105999,0.050999999,0.075999998,5.6479998,0,0.028000001,0,0
"Sri Lanka",58.721001,7.7350001,0,0,0,0,0,0.0099999998,0.013,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.8520002,0,0,0,2.9200001,0,35.742001,0.29800001,11.717,7.5928569,0.3271431,25.214001,2.427,0.30899999,0.090000004,0,1.261,3.0599999,2.4000001,0.77700001,0.87,15.166,0,0,1.081,0.050000001,0,0,6.2140002,14.285,0.1,3.648,0.88,0.96399999,0.012,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.14399999,0,0,0,0,0,0,0,0,0,0,0,1.0549999,0,0,0,0,0,0.074000001,0,0,0,0,0,0.296,63.969002,0,0.0020000001,0.0099999998,0.70999998,0,0.25,0,81.092003,0,0,0.64099997,6.8600001,0,0,0,0,31.035,0,0,0,5.9710002,43.450001,39.066002,0,29.865,0.41999999,18.246,0,0.46900001,0,31.313,0,0,0,3.1700001,13.74,0.081,0.044,32.724998,0,2.5639999,0,0
"Maldives",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.30000001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0,0.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.3000002,0.66000003,0,0.2,0.029999999,0.81199998,0.52100003,0,0,0.029999999,0,0,0,0,0,0,0,0.18000001,0,0,0,0
"Nepal",7.8000002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.8000002,0,0.89999998,2.396735,0.1032649,1.2,0.69999999,0,0,0,0,0,0.30000001,0,0,0.5,0,0,0.1,0,0,0,0,0,0.02,0.89999998,0.039999999,0.27000001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0099999998,0,0,0,0,0,0,0,0,0,0,0,0,0,4.5999999,13.7,53.790001,0,0.059999999,0.22,0,0,0,0,0.61000001,0,0,0,0,1.58,0.02,0,0.38,0,0.38999999,0,0
"Thailand",571.96997,62.57,0,0,0,0,0,0.0099999998,0,0,8.0500002,3.3299999,0,0.66000003,8.9399996,0.0049999999,0.25,0.38999999,0.050000001,0.22,0,0,0,25.389999,0.57999998,0.62,1.58,1.72,0,186.66,1.9299999,58.27,28.406099,1.223895,60.77,41.119999,10.71,2.48,0,0.88999999,8.7799997,14.95,2.03,6.7399998,58.23,0.0099999998,0.18000001,3.0899999,0.62,1.11,1.75,8.8599997,14.76,6.2399998,44.540001,17,17.27,0.13,0,0,0,0,0,0.83999997,0,0.63,0,0,0,0,0,0,0,0.44999999,0,0.050000001,1.5,0,0,0,0.02,0.23,0.090000004,2.9100001,2.03,0,0,0.1,0.02,0.02,0,0.0099999998,0.02,0,0,30.35,0,0,0.23999999,4.77,0,0.0020000001,0,0.14,0,0,0,12.14,10.31,16.16,16.459999,1.03,2.5899999,0,0,8.1800003,381.79001,0.37,0,64,12.93,242.94,4.7600002,0,1.83,67.169998,0,114.52,0.88,46.93,1493.6,32.959999,0,9.3100004,2.4300001,2.3399999,2.5699999,0.0099999998,0,0,0.63,2.3900001,0.079999998,43.970001,136.7,8.7700005,8.0200005,92.230003,0,20.34,0,0
"Cambodia",0.5,0.69999999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0,0,0,0,1.9,0,0,0,0,0,0,0,0,0,0.2,0,0,3.4200001,0,0,0,0,0,0.059999999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.9000001,0.02,0,0.090000004,0.46000001,0,0,0,0,0.47999999,0,0,0,0,1.5700001,0,0,0.34999999,0,0,0,0
"Laos",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.60000002,0,0.1,1.1504329,0.0495671,1.7,0.40000001,0.0099999998,0,0,0,0,0,0,0,0.69999999,0,0,0.12,0,0,0,0,0,0,2,0.31,0.0099999998,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.30000001,14.7,0.23,0,0.02,0,0,0,0,0,14.27,0,0,0,0,5.46,0.079999998,0.2,0.039999999,0,0,0,0
"Vietnam",0.1,10.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17.66,0,8.5,0,23.700001,1.6297801,0.070220098,43.599998,0.80000001,0.11,0,0,0,22.77,0,15.32,0,29.799999,0,0,2.97,4.1199999,0,0,8.1099997,0,5.5900002,34,6.21,19.540001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.017,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.3000002,176.2,6.79,0,1.22,0,3.767,0,0,0,15.59,0,0,0,1.21,25.9,0.85000002,0.2,45.66,0,0.31,0,0
"Malaysia",560.37,54.599998,0,7.4299998,0,0,0.0099999998,0,0.001,0,1.23,0.52100003,0,0,0.94999999,0,0.31999999,0.039999999,0.12,0,0,0.23999999,0.079999998,20.690001,0,0,0.039999999,16.120001,0,344.01999,3.0599999,36.59,30.419359,1.310638,63.720001,23.700001,4.3400002,1.78,0,0.2,4.6999998,4.75,0.16,1.83,45.860001,0.0099999998,0,0.68000001,1.08,0.0060000001,0.51999998,5,10.84,3.46,44.82,5.8499999,12.6,0.0020000001,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001,0,1.268,0,0,0.58999997,0,0,0,0,0,0.36000001,2.47,11.11,0,2.9790001,0,0,0.28,0,2.97,0,0,0,0.039999999,0,0,0,0.16,0,0.079999998,0,0.63999999,0,0.039999999,0,3.77,80.489998,2.4200001,0.51999998,0.68000001,0.23999999,0.039999999,1.09,0,193.84,0.0049999999,0,75.239998,16,1.01,0,0,1.51,140.52,0,112.68,2.7,35.720001,1064.99,56.830002,0,2.9400001,0.68000001,16.139999,1.58,0,0,210.81,0,2.3399999,1.09,0,380.44,27.120001,45.41,274.70999,0.079999998,44.75,11.28,0
"Singapore",1323.5699,45.029999,0.0099999998,0.039999999,0,0,0.113,0,0,0,3.6800001,0.45500001,0,0,0.17299999,0.037,2.45,1.79,5.2399998,0.012,0,0.75999999,0.090000004,44.080002,0,0.28999999,1.24,35.720001,0.1,392.91,4.1999998,99.110001,34.08157,1.468426,127.48,89.32,11.21,2.3699999,0,3.4100001,6.0100002,11.37,1.33,5.8400002,99.980003,0.11,0,1.77,9.4200001,0.0049999999,1.55,10.51,26.139999,5.54,47.810001,31.120001,28.459999,0.02,0,0,0,0,0,0,0,0,0,0,0.0099999998,0,0,0,0,1.34,0,0,0.039999999,0.0040000002,0,0,0,0,1.1,37.689999,14.82,0,0,0,0,0.034000002,0,11.19,0.059999999,0,0.088,0,0,0,0,8.5,0,0.090000004,0,2.1400001,0.22,0.0099999998,0.0099999998,4.46,403.84,3.2,224.17,3.3699999,0.83999997,0.15000001,0,31.450001,1552.34,0.0070000002,0,126.82,103.96,0,17.950001,0,1.17,274.85999,0,239.47,7.5,106.65,1836.25,77.940002,0,18.43,4.48,33.240002,12.6,0,3.76,233.89999,0.14,2.5599999,19.629999,1421.1801,0,68.309998,1003.6,265.79001,3.52,36.32,13.42,0.050000001
