"","United States of America","Canada","Cuba","Haiti","Dominican Republic","Mexico","Guatemala","Honduras","El Salvador","Nicaragua","Costa Rica","Panama","Colombia","Venezuela","Ecuador","Peru","Brazil","Bolivia","Paraguay","Chile","Argentina","Uruguay","United Kingdom","Ireland","Netherlands","Belgium","Luxembourg","France","Switzerland","Spain","Portugal","Germany","Poland","Austria","Hungary","Czechoslovakia","Italy","Albania","Yugoslavia","Greece","Bulgaria","Romania","Russia","Estonia","Latvia","Lithuania","Finland","Sweden","Norway","Denmark","Liberia","Ethiopia","South Africa","Iran","Turkey","Iraq","Saudi Arabia","Yemen Arab Republic","Afghanistan","China","Mongolia","Japan","Nepal","Thailand","Australia","New Zealand"
"United States of America",0,376,127,1.8099999,4.5999999,49,8.9499998,8.5600004,5.7800002,0.73000002,3.6800001,3.5899999,39.73,34.650002,6.3899999,9,102,0.47,0.54000002,26,66,6.27,200,1,50,59,0,65,21,19,3.3,80,12.13,4.0999999,2.6300001,30.18,40,0.12,4.9099998,9.9300003,1.21,1.83,21,0.82999998,2.0899999,1.12,14.47,48,22,3,0,0.58999997,6,4.2600002,10.68,0.0099999998,0,0,0,74,0,172,0,0.34,23,11.34
"Canada",365.59,0,0.49000001,0.090000004,0,0.02,0.050000001,0.0099999998,0.0011964,0,0,0,0,1.51,0.0023809001,5.4400001,0.87,0,0.090000004,0.0099999998,10.69,0.039999999,121.83,0.090000004,4.4499998,6.04,0,6.4299998,2.5699999,1.08,0.25,11.09,0.25999999,0.37,0.050000001,2.1700001,1.1799999,0.00062000001,0.079999998,0.059999999,0,0,0.090000004,0.02,0.0099999998,0.0099799996,0.039999999,1.6799999,0.68000001,0.15000001,0,0.006854,2.0799999,0,0,0,0,0,0,3.6600001,0,4.25,0,0.15000001,8.8100004,4.5500002
"Cuba",66.43,0.97000003,0,0.001223,0.02,1.14,0.002626,0.0024929999,0,0.00030399999,0.0000049999999,0.0072460002,0.059999999,0.1,0.090000004,0.1,0.02,0,0.0069169998,1.01,0.31,0.0040369998,5.0900002,0.1,1.3200001,1.02,0,2.5999999,0.25,3.48,0.0099999998,4.79,0.059999999,0.050000001,0.039999999,0.41999999,0.18000001,0,0.0099999998,0.000001,0,0.039999999,0,0.000085,0,0,0.039999999,0.46000001,0.47999999,0.25,0,0,0,0,0.0099999998,0,0,0,0,0.11,0,0.63999999,0,5.8499999,0.0099999998,0.005165
"Haiti",4.6900001,0.16,0.002931,0,0,0.000036000001,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000026,0.0056369998,0,1.64,0,0.059999999,0.25,0,0.0099999998,0,0,0.000002,0.16,0.00085399998,0.00056499999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0078530004,0,0,0,0,0,0,0,0,0,0,0,0,0.63999999,0,0,0.0099999998,0
"Dominican Republic",4.7600002,0.16,0.029999999,0,0,0.00012,0,0,0,0,0,0,0,0,0,0.000031,0,0,0,0.000094000003,0.002512,0,0.63,0,0.15000001,0.1,0,0.0099999998,0,0,0.000029999999,0.28,0.000036000001,0.001025,0,0.0099999998,0.039999999,0,0,0,0,0,0,0,0,0,0,0,0.001237,0,0,0,0,0,0,0,0,0,0,0.0060000001,0,1.27,0,0.34999999,0.02,0
"Mexico",76.199997,1.38,0.02,0.0000049999999,0.0063370001,0,0.0089999996,0.0060000001,0,0,0,0,0,0,0,0,0,0,0.000028,0.001,0.51999998,0.039999999,6.5700002,0,1.52,2.0799999,0,4.6599998,1.74,6.3200002,0,19.82,0.18000001,0.23,0,0.63999999,0.55000001,0,0.00028099999,0.0066450001,0,0,0,0.0065040002,0.0082289996,0.004617,0,0,0.23,0.13,0,0,0,0,0,0,0,0,0,0,0,2.03,0,0,0,0
"Guatemala",4.8699999,0.059999999,0.0040759998,0,0,0.37,0,0.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.05,0,0.07,0.12,0,0.20999999,0,0.07,0,3.5599999,0.0099999998,0.004005,0,0.07,0.18000001,0,0,0.000074000003,0,0,0,0,0.000126,0,0,0.2,0.029999999,0.0099999998,0,0,0,0,0,0,0,0,0,0,0,0.059999999,0,0,0,0
"Honduras",6.02,0.13,0.029999999,0,0,0.0040000002,0.0099999998,0,0.25,0.039999999,0,0.02,0,0,0,0,0,0,0,0,0.0099999998,0,0.34,0,0.19,0.029999999,0,0.0051529999,0.0099999998,0.02,0,0.25999999,0.001495,0.00070700003,0,0,0.02,0,0.000062999999,0,0,0,0,0,0,0,0,0.02,0.001608,0,0,0,0,0,0,0,0,0,0,0.0020000001,0,1.51,0,0,0,0
"El Salvador",3.0899999,0.039999999,0.002165,0,0,0,0,0.15000001,0,0,0.0040000002,0,0,0,0,0.16,0,0,0,0.0015952,0.0011964,0,0.88999999,0,0.0099999998,0.07,0,0.0095189996,0,0.090000004,0,2.6900001,0.001175,0.0013070001,0,0.039999999,0.07,0,0.000073000003,0,0,0,0,0,0,0,0,0.029999999,0.0051845,0.27000001,0,0,0,0,0,0,0,0,0,0.00079760002,0,0.0067797001,0,0,0,0
"Nicaragua",0.75,0,0.0043500001,0,0,0,0,0.0076569999,0,0,0.02,0.079999998,0,0,0,0.039999999,0,0,0,0,0,0,0.2,0,0.0054609999,0.059999999,0,0.0099999998,0,0.0076569999,0,0.38999999,0.0022780001,0.00031800001,0,0,0.0099999998,0,0,0,0,0,0,0,0,0,0,0,0.00098899996,0,0,0,0,0,0,0,0,0,0,0.0002945,0,0.14,0,0,0,0
"Costa Rica",3.6600001,0,0.0099999998,0,0,0,0,0,0.0089999996,0.23999999,0,0.20999999,0.0040000002,0,0,0.02,0,0,0,0,0,0,0.63999999,0,0.07,0.02,0,0.1,0,0.059999999,0,1.98,0.0047889999,0.0048850002,0,0.0099999998,0.15000001,0,0,0,0,0,0,0.00058599998,0,0,0,0,0.02,0.0099999998,0,0,0,0,0,0,0,0,0,0,0,0.64999998,0,0,0,0
"Panama",9.7700005,0,0.11,0,0,0,0,0.001,0,0.02,0.02,0,0,0,0,0,0,0,0,0,0,0,1.16,0,0,0,0,0.72000003,0,0,0,1.1799999,0.0096829999,0.0065359999,0,0,0,0,0.0000070000001,0,0,0,5.98,0,0,0,0,0,0.38,0,0,0,0,0,0,0,0,0,0,0.72000003,0,2.98,0,0,0,0
"Colombia",26.49,0,0.51999998,0.000166,0.0000030000001,0,0,0,0,0,0.07,0,0,0.70999998,0.22,0,0,0,0.007495,0,0,0,12.08,0,1.28,0.94999999,0,2.01,0,0.44999999,0,14.27,0.11,0.1,0,0.76999998,0.25,0,0.0061750002,0.029999999,0,0,0,0.0086820005,0.001814,0.00029,0,0,0.20999999,0.13,0,0,0,0,0,0,0,0,0,0,0,0.079999998,0,0,0,0
