"","United States of America","Canada","Bahamas","Cuba","Haiti","Dominican Republic","Jamaica","Trinidad and Tobago","Barbados","Grenada","Mexico","Guatemala","Honduras","El Salvador","Nicaragua","Costa Rica","Panama","Colombia","Venezuela","Guyana","Suriname","Ecuador","Peru","Brazil","Bolivia","Paraguay","Chile","Argentina","Uruguay","United Kingdom","Ireland","Netherlands","Belgium","Luxembourg","France","Switzerland","Spain","Portugal","German Federal Republic","German Democratic Republic","Poland","Austria","Hungary","Czechoslovakia","Italy","Malta","Albania","Yugoslavia","Greece","Cyprus","Bulgaria","Romania","Russia","Finland","Sweden","Norway","Denmark","Iceland","Cape Verde","Sao Tome and Principe","Guinea-Bissau","Equatorial Guinea","Gambia","Mali","Senegal","Benin","Mauritania","Niger","Ivory Coast","Guinea","Burkina Faso","Liberia","Sierra Leone","Ghana","Togo","Cameroon","Nigeria","Gabon","Central African Republic","Chad","Congo","Democratic Republic of the Congo","Uganda","Kenya","Tanzania","Burundi","Rwanda","Somalia","Ethiopia","Angola","Mozambique","Zambia","Zimbabwe","Malawi","South Africa","Lesotho","Botswana","Swaziland","Madagascar","Comoros","Mauritius","Seychelles","Morocco","Algeria","Tunisia","Libya","Sudan","Iran","Turkey","Iraq","Egypt","Syria","Lebanon","Jordan","Israel","Saudi Arabia","Yemen Arab Republic","Yemen People's Republic","Kuwait","Bahrain","Qatar","United Arab Emirates","Oman","Afghanistan","China","Mongolia","Taiwan","North Korea","South Korea","Japan","India","Bhutan","Pakistan","Bangladesh","Myanmar","Sri Lanka","Maldives","Nepal","Thailand","Cambodia","Laos","Vietnam","Malaysia","Singapore","Philippines","Indonesia","Australia","Papua New Guinea","New Zealand","Fiji","Samoa"
"Mauritania",19,0.7,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,9,9,0,0,0,0,5.93,0,0,0,2.13,9,15.8,0.11,2.6,14.6349,0.6651,39.7,0.1,8.67,3.1,0,0,0,3.4,0,0,21.7,0,0,0,0.01,0.016,0,0,0,0.39,0.7,0.01,0.12,0,0,0,0,9,0,0.012,17.214,0,0,0,0.9,0,0,0.645,0,0.009,0,0.004,0,0.001,0.002,0,0.192,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,2.73,0.35,0,0,0,0,0,9,0,0,0,0,0,0.1,0,9,0,0,0,0,0,0,0,0,0,0,0.1,26.2,0.16,0,0.25,0,0,0,0,0,3.37,0,0,0,0,0,0.46,0,0.01,9,0,0,0
"Niger",7.968,0.494,0,0,9,0,9,0,0,0,0,0,0,0,0,0,0,0,0.816,0,0,0,0,0.01,0,0,0,0,0,1.395,0.081,3.623,1.9896,0.0904,23.578,0.375,0.721,0,0,0.647,0.046,1,0.098,0.2,0.358,0,0,0.07,0.69,0,0,0,0.035,0.004,0.696,0.08,0.009,0,0,0,0,0,0,0.048,1.883,0.426,0,0,8.961,0,0.079,0.022,0.134,0.639,0,0.577,3.049,0.007,0,0,0.002,0,9,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0.002,0,0.073,9,0.189,7.268,0.03,0.857,0.003,0.043,0,0,0,0,0,0,0.81,0,0,0,9.009,0,0,0,0,0,3.688,0,0.319,9,0.2,3.402,0,0,0.15,0.34,0,0,0,0,0,9,0,0,0,0,0,0,0.003,0,0,0,0
"Ivory Coast",165.96,0.67,8.2,0,0,9,0,0,0,0,1.5,0,9,9,0,0,0,0.19,3.77,0,0,0,0.01,2.18,0,0,0,4.88,0.088,40.27,3.9,63.31,0.3061,0.0139,16.06,0.06,107.65,23.93,0,0,8.61,2.64,14.47,0,144.22,1.15,9,11.92,13.95,0.447,0,3.5,0.84,1.51,3.14,5.34,7.02,0.016,0,0,0.039,0,0,16.223,2.955,4.597,0.9,8.961,0,0,22.629,0.003,0.267,5.544,2.486,9.905,24.93,3.713,0.164,0,2.04,0,0,0,0,0,0.001,0,0,0,0,0.1591,0,0,0,0,0,0,0.057,9,0.093,0,14.98,20.39,1.58,0.14,0,52.53,0,12.74,0.23,0,0.05,0,0.63,7.1,9,0,0,0.01,9,22.9,0.04,9,0,0,19.09,0,1.02,22.22,2.45,0,0.73,0.41,0,0,0,0,1.03,0,0,0,0,1.98,0.41,0,3.51,0,0.21,0,0
"Guinea",46.6,8.4,0,0,0,0,9,0,0.001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0.27,0,8,0.16,0.7,3.6348,0.1652,9.2,1.3,27.87,0.9,0,0,0,0.3,7.58,0,7.3,9,0,3.05,0.13,0,0,7.1,0,0.1,1.4,0.41,0.24,9,0,0,0,0,0,0.011,0.853,9,0,0,0,0,0,0.426,0.006,0.021,0,11.333,0.1,0,0,0,0,9,0,0,0,0,0,0,9,0,0,0,0,9,0,0,0,0,0,0,0,9,1.34,0.64,0.04,0,0,0,0,9,0.01,9,0,0,0.64,0.1,9,0,0,0,0,0,0,0,0,0,0,0,0.2,1.3,0.03,0,0.35,0.37,0,0,0,0,0,0,0,0,0,9,0,0,0,9,0,0,0
"Burkina Faso",8.474,0.234,0,9,0,0,0,0,0,0,9,0,0,0,0,0,0,0,9.285,9,9,0,0,9.4,0,9,9,0.02,9,8.094,0.008,3.662,4.8113,0.2187,50.622,0.724,0.581,0,0,9.318,9.226,0.527,9,9,0.232,0,0,0,0.59,0,0,9.205,0.063,0,0,0.07,1.645,9,0,0,0,0,0,0.75,1.577,0.005,0,0.079,22.629,0,0,0,9,0.881,0.227,0.061,0.163,0,0.007,9,0.027,9,0,0,0,0,0,0,9,0,0,0,9,0,0,0,0,0,0,9,0,0,0.398,0,0,0,0,9,0,9,0.021,0,0,0,0.02,0,0,0,9,9,0,0,0,9.317,3.097,0,0.498,0,0.121,1.149,0.05,0,9.946,9.02,9,0,0,0,0,0,0,9,0,0,0,0,0.03,0,0,0,0
"Liberia",3.138,0.641,12.896,0,0.001,0,0.001,0.71,0,0,2.646,0,0,0,0,0,9,0.05,0,0,9,0,0,1.291,0,9,0.02,0.037,0,11.965,0.117,8.866,33.3828,1.5172,45.87,2.382,38.151,0.633,0,9.089,3.246,13.262,0.294,2.444,68.923,0,9.013,0.506,0.032,0.004,9.034,2.891,1.888,0.1,9.529,11.842,0.794,0.006,0,9,0.042,0,0.028,0.644,0.113,0.001,0.645,0.022,0.003,0.426,0,0,0.416,0.078,0.014,0.049,0.743,0.199,0,0,0.035,0.033,0,0.067,0.004,0,0,0,0.034,0.2,0,0.005,0,1.09,0,0.288,9,0,0.002,9,0,0,0.595,0,0,0,9.002,0.006,0.29,0,0.622,0,0.29,0,5.439,52.912,9,9,0,0.031,0,9,0.27,0,9.597,0,2.967,9,80,39.179,0.799,0,0.035,0.05,0,0,0,0,0.59,0,0,0,0.152,0.646,0.42,0.002,0.28,0,0.001,0,0
"Sierra Leone",37.379,1.215,0.009,9.009,0,9.029,0.036,0.003,0,0,0,0,9.128,0,0,0,0,0.002,0.937,0,0,0,0,0.292,9,0,0,0.034,0.001,31.238,0.863,3.029,4.62,0.21,10.959,0.494,0.492,0.026,0,0.719,1.201,0.249,2.402,12.311,2.647,0.019,0,0.073,0.098,0.184,9.031,0.808,11.295,0.34,0.842,0.195,1.778,0,0,0,9,0,0.969,0.002,0.108,0,0,0.134,0.267,0.006,9,0.416,0,0.317,0.014,0.005,20.949,0.223,9.006,0,0.003,0.003,9.001,0.014,9.001,0,0,0,9,0,9,0,0,2.679,0,9,9,0,9,0,0,0,0.024,0,0,0,0,0.017,0.18,9.073,0.345,9.017,0.032,0,4.118,0,9,0,9,0,0,0,0,9,5.602,0,2.049,9.09,0.903,12.635,1.844,0,0.231,9.394,0,0,9.004,0,0.005,9,0,0,0.129,0.864,0.417,0.013,0.13,0,0.153,0,0
"Ghana",26.782,16.728,0.001,0.006,0.001,0,1.909,0.393,0.001,0,1.36,0,0,0,0,0,0,0.195,0.314,0,4.128,0,0,3.159,0,0,0.015,2.86,1.883,5.999,14.045,42.717,2.267,0.103,21.834,0.274,39.951,0.277,0,1.877,18.274,3.915,11.636,1.486,0.797,0.279,0,9.006,2.947,0.117,1.829,1.385,72.651,5.65,7.697,12.516,0.681,0.08,0,0,9,0,0.565,0.079,0.291,1.115,0.009,0.639,5.544,0.021,0.881,0.078,0.317,0,1.16,0.175,76.96,9.046,9,0,0.011,1.041,0.003,0.105,0.056,0,0,0.001,0.017,0.002,0.053,0.008,0,0,0,0,3.279,0.023,0,0,0.002,0,0.523,0.41,0.071,8.631,0,0.003,0.854,9.879,0.399,0.696,1.843,0,0.66,0,9,0,0,0.023,9,0.4,9,0,5.901,0,7.311,0,0.495,36.263,6.122,0,4.724,3.48,0,0.014,0,0,0.794,0,0,0,6.975,1.44,2.17,0.789,6.864,0,4.483,0.002,0
"Togo",8.259,5.813,0,0,0,9,0,0.091,0,0,0,9,0,0,0,0,0,0,6.228,9,0,0,0,5.71,0,0,9,0.14,0.472,22.525,0.003,25.047,3.1852,0.1448,3.513,0.32,4.941,0.04,0,0.28,6.365,0.346,0.333,9.647,0.866,0,0,6.17,2.83,0,0,0,1.044,0.004,0.288,0.186,0.92,0,0,0,0,0,0,2.281,1.499,0.082,0,0,2.486,0,0.227,0.014,0.014,1.16,0,0.082,3.307,0.134,0.001,0,0.091,0.005,0,0,9,9,0,9,0,0,9,9,9,0.113,0,0,0,0,0,0,0,0,0.192,0.062,0.01,0.428,0,0.067,0,0.055,0,9,0,0,0.23,0,0,9,0,0,0,0,9,9,5.48,0,0.915,0,0.8,5.645,0.32,0,0.723,0.24,9,0,0,0,0.86,9,9,0,0,0,0,0,0.024,9,0,0,0
"Cameroon",21.955,0.899,0,0.012,0,0.036,0.157,2.054,0,0,0.008,0,0,0,0,0,0,0.048,1.537,0,0,0,0,0.335,0,0.048,0,0.03,0,4.311,1.475,58.057,5.7679,0.2621,104.941,5.981,16.517,3.455,0,0.963,2.461,1.903,0.031,0.821,16.986,0.49,0,0.554,5.087,0.004,0.289,0.669,32.4,0.461,1.735,1.059,0.796,0.033,0,0,0,0.233,0,0,2.593,0.099,0.004,0.577,9.905,11.333,0.061,0.049,0.005,0.175,0.082,0,0.622,20.537,5.589,5.163,2.695,0.103,0,0.008,0,0,0,0,0.012,0.013,9,0,0,0.004,0,0,0,0,0.007,0,0,0,0.545,3.217,2.797,0,0.004,0.657,0.012,0,1,0,0,0,0.079,0,0,0,0.004,0,0,0.1,0,0,11.896,0,5.436,0.045,0.216,10.37,0.328,0,2.412,0.91,0,0,0,0.051,0.179,0.004,0,0.012,0.302,0,0.04,0.02,0.024,0,0.294,0,0
