"","United States of America","Canada","Bahamas","Cuba","Haiti","Dominican Republic","Jamaica","Trinidad and Tobago","Barbados","Grenada","Mexico","Guatemala","Honduras","El Salvador","Nicaragua","Costa Rica","Panama","Colombia","Venezuela","Guyana","Suriname","Ecuador","Peru","Brazil","Bolivia","Paraguay","Chile","Argentina","Uruguay","United Kingdom","Ireland","Netherlands","Belgium","Luxembourg","France","Switzerland","Spain","Portugal","German Federal Republic","German Democratic Republic","Poland","Austria","Hungary","Czechoslovakia","Italy","Malta","Albania","Yugoslavia","Greece","Cyprus","Bulgaria","Romania","Russia","Finland","Sweden","Norway","Denmark","Iceland","Cape Verde","Sao Tome and Principe","Guinea-Bissau","Equatorial Guinea","Gambia","Mali","Senegal","Benin","Mauritania","Niger","Ivory Coast","Guinea","Burkina Faso","Liberia","Sierra Leone","Ghana","Togo","Cameroon","Nigeria","Gabon","Central African Republic","Chad","Congo","Democratic Republic of the Congo","Uganda","Kenya","Tanzania","Burundi","Rwanda","Somalia","Ethiopia","Angola","Mozambique","Zambia","Zimbabwe","Malawi","South Africa","Lesotho","Botswana","Swaziland","Madagascar","Comoros","Mauritius","Seychelles","Morocco","Algeria","Tunisia","Libya","Sudan","Iran","Turkey","Iraq","Egypt","Syria","Lebanon","Jordan","Israel","Saudi Arabia","Yemen Arab Republic","Yemen People's Republic","Kuwait","Bahrain","Qatar","United Arab Emirates","Oman","Afghanistan","China","Mongolia","Taiwan","North Korea","South Korea","Japan","India","Bhutan","Pakistan","Bangladesh","Myanmar","Sri Lanka","Maldives","Nepal","Thailand","Cambodia","Laos","Vietnam","Malaysia","Singapore","Philippines","Indonesia","Australia","Papua New Guinea","New Zealand","Fiji","Samoa"
"Nigeria",4745.7999,128.6,389.63,0,0,9,0.095,3.4,0,0,0.4,0,0,0,0,0,0.096,0.15,2.3,0,0.218,9,0.01,19.528,9,0,9,1.7,38.368,1336.5,17.89,649.1,65.7134,2.9866,139.2,49.4,108.29,4.89,0,6.3,25.1,57.3,4.18,21.5,427.9,1.34,9,24.08,46.05,1.7,8.5,20,19.7,24.07,95.9,12.76,21.07,8.193,0,0.5,0.228,0.993,0.017,0.1,2.823,2.288,0,3.049,24.93,0.1,0.163,0.743,20.949,76.96,3.307,0.622,0,4.654,1.205,0,0.386,8,0.002,1.332,0.001,0.042,0,0.008,0.009,0.4,1.1,0.0128,0,0,0,0,0,9,0.1,0,0.1,0,12.81,2.2,2.02,3.1,0.014,3.1,3.27,0,0.86,0.1,2.8,0,18.3,0,9,0,0,0,0,0.3,0,0,139.8,0,0,0,24.2,654.4,56.6,0,2.4,5.3,0.314,0,0,0,13.24,0,0,0,2.6,12.66,0.43,0.1,9.13,0.001,4.59,0.001,0
"Gabon",208.792,66.6,15.75,0,0,0,0,0,9,0,0.083,9,0,0,0,0,0.004,0,0.035,0,18.52,0,0,115.168,0.002,0,0,66.53,0,8.518,0.01,1.823,9.7088,0.4413,50.947,1.19,88.076,1.592,0,0,0.493,20.774,0.002,0.241,6.507,0,0,0.767,11.578,0,0,0.001,0.008,0.09,3.836,15.876,0.416,0.087,0,0,0,0.008,0,0,3.175,0.059,0.001,0.007,3.713,0,0,0.199,0.223,9.046,0.134,20.537,4.654,0,0.034,0.054,12.431,0.104,0,0.006,9.091,0,0,0,0,1.498,0,0.1261,0,0.408,0,0,0.181,0,0,9,0,0,2.941,0.155,0.433,0,9,0.219,0.003,0,0,0,0.367,0.001,3.171,0,9,0,0,9.02,0,0,9,0,6.414,0,1.25,0.003,0.066,6.287,0,0,0.023,0,0,0,0,0,0.008,9,9.001,0,0,0.059,0,0,0.006,9,0.01,0,0
"Central African Republic",0.011,0.077,0,9.003,9,0,0,0,0,9,0.2,0,9,0,0,0,0,0,0.001,0,0.024,9,0,0.001,9,0,0,0.023,0,1.57,0.006,2.722,6.1218,0.2782,9.125,0.634,3.468,0.738,0,0,0.06,0.066,0.028,0.025,8.898,0,0,0.124,0.035,0,9,0.609,0.04,0,0.059,0.513,0.099,0,0,0,0.808,0,9,0,0.118,0.002,0.002,0,0.164,0,0.007,0,9.006,9,0.001,5.589,1.205,0.034,0,1.448,1.329,1.625,0,0,0,9,0,0,0,9,9,9.279,0,0,1.857,0,0,0,0,0,0.001,0,0.048,0.009,0.341,0,0.097,0.1,0,0,0.151,0,0.089,0,7.65,1.498,9,0,0,0,0,0,9.01,9,0.073,0,0.054,0,0.7,4.021,0.067,0,0.004,1.09,0,0,0,0,0,0,9,9,0.042,0,0,0,0,0,0.13,0,0
"Chad",3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,9,0,0,0,9.01,0,0.9,0,1.8,2.2957,0.1043,35.5,0.8,11.67,5.04,0,0,9,1.9,0,0,1,0.04,0,0,0.85,0,0,0,0,9,0,9,0.07,0,0,0,9,9,0,0,9.05,9,0,0,0,0,9,0,0,0,0,5.163,0,0.054,1.448,0,0.175,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,9,0,9,0,0.57,0,0,5,0.064,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.8,0,0,9,9,0,0,0,0,0,0,0,0,0,0,0,0,0.67,0,0,0,0
"Congo",75.84,0.111,0,0.01,0,0,0.023,0.01,0,0,0.001,9,0,0,9,9,0,0.047,0.007,0,9,0,0,2.75,0,0.033,0,0.867,0,0.065,0.067,1.65,4.5339,0.2061,26.612,0.217,21.764,3.613,0,0.356,0.036,0.182,0.245,0.075,27.953,0,9,0.387,1.55,0,0.016,0.042,0.013,0.098,0.049,0.059,0.57,0.003,0,0,0,0,9,0,2.297,0.037,0.192,0.002,2.04,0,0.027,0.035,0.003,0.011,0.091,2.695,0.386,12.431,1.329,0.175,0,2.716,0,0,0,0.002,0.001,0,0,0.175,0,0.427,0,0,4.054,0,0,0,0.003,0,0.068,0,0.068,0.626,0.853,0,0.006,0.001,0.082,0.001,0.049,9,0.004,0,0.358,0.007,9,0,0.002,0,0,0,0,9,4.833,9,0.822,0.03,0.084,0.804,0.197,0,0.009,0.037,9,0.001,9.001,0,0.22,9,9,0.001,1.051,0.127,0.23,0.001,0.094,9,0.001,0,0
"Democratic Republic of the Congo",76.5,6.7,0,9,0.002,9,0.038,0,0,0,0.7,0,0,0,0,0,0,0,0,0,0,9,0,1.504,0,0,0,2.35,1.777,30.6,0.25,8.4,467.4547,21.2453,22.6,9.6,17.17,2.89,0,0.3,0.9,4.3,0,0.5,74.2,0.18,0,0.44,6.05,0,9,20.95,0,0.36,8.2,4.37,1.24,0.962,0,9,0,0,9,0,0.289,0.022,0,0,0,9,9,0.033,0.003,1.041,0.005,0.103,8,0.104,1.625,0,2.716,0,0.458,1.019,3.165,0.705,0.899,0,0,0.4,0,10.4918,34.2,0.284,49.6,0,0,0,0,0,0.016,0,3.5,16.5,3.62,19.8,0,4.4,0.84,0,0.23,0,0,0,0.9,8.7,0,0,0,9,0,0,0,9,3.4,0,0,0,0,63,38.96,0,0.04,9.16,9,0,0,0,0.14,9,0,0,0,0,0,0,0.68,9,0.01,0,0
"Uganda",106.703,1.696,0,0,0,0,0.005,0,0,9,0,9,9,0,0,9,0,0.03,0,0,0,9,0,0.174,0,0,0,0.005,0.039,33.798,0.017,1.191,1.4922,0.0678,20.886,0.782,13.535,0.01,0,0.01,11.398,0.919,2.842,0.015,16.63,0,0,8.355,2.041,0,9,0.001,1.618,0.177,4.766,0.005,0.61,0,0,0,0,0,0,0,9,0,0,9,0,0,0,0,9.001,0.003,0,0,0.002,0,0,0,0,0.458,0,77.546,0.86,0.004,0.938,0.04,0.054,0,0,0.037,0,0.029,0,0,0,9.044,0,0,0.004,0.003,1.02,0,0,2.092,11.73,0.2,0,0.414,4.905,0.011,0.144,0.031,0.037,0.094,9,0.345,0.012,0,0,0,0,0,0.493,0,0.364,0,1.589,18.015,2.495,0,0.014,0.429,0,0.158,0,0,0,0,0,0,0.348,0.524,0,0.2,7.341,0,2.38,0,0
"Kenya",9.609,1.313,0,0,9,0,0.26,0.156,0.205,9,7.6,0,0,0,0,0,0,0,0,0.255,0,0,0,0.027,0,9,0,0.45,0.023,76.197,3.105,11.466,13.1905,0.5995,12.329,5.676,1.524,0.045,0,0.212,0.418,2.064,0.216,3.754,0.837,0.02,0,1.195,2.267,0.144,0.008,0.432,2.5,13.855,13.006,1.489,1.921,0.009,0,0,0,0,0,0,0,0,0,0,0,0,0,0.067,0.014,0.105,0,0.008,1.332,0.006,0,0,0,1.019,77.546,0,49.633,3.021,9.012,11.135,3.866,0,0.552,11.6936,0,0.914,0,0,0,1.068,2.249,1.5,8.38,6.241,0.01,0.07,0,0.1,1.696,162.152,0.021,0.87,7,0.151,0.077,1.115,4.136,60.761,9.957,5.307,1.357,0.808,0.09,0.8,2.28,9,6.332,0,3.463,9.118,0.849,83.719,10.512,0,14.11,0.117,0.216,0.018,0,0,3.174,0,0,0,3.199,26.484,1.47,0.416,0.441,0,1.144,0.007,0
"Tanzania",12.362,0.863,0.01,0,0,0,0.005,0.02,0,9,0,0,9,0,0,0,9,0,0,0,0,9,0,1.221,9,0,0,0.009,0,21.615,4.464,1.904,3.1852,0.1448,5.956,6.256,3.3,3.683,0,1.294,0.19,0.434,0.577,0.122,14.397,0.01,0,0.219,0.266,0.04,0.6,0.08,4.511,2.887,0.739,3.722,16.874,0.002,0,0,0,0,9,9,0,0,0,0,0,0,0,0.004,9.001,0.056,9,0,0.001,9.091,0,0,0,3.165,0.86,49.633,0,0.764,0.682,0.702,0.007,0,0.561,1.4435,0,0.111,0,0,0,0.005,0.038,0.4,0.02,0.034,0.91,0.057,0,0,0.029,69.589,1.087,0.563,1.188,0.103,0.011,3.21,3.642,29.506,9.042,1.055,0.27,0.399,4.09,0.4,0,0,27.948,0,8.691,0.574,0.013,38.509,14.098,0,1.542,2.984,0.168,0.015,0,0,0.996,0,0,9,5.247,7.225,0.44,39.453,4.186,0,1.971,0.001,0
"Burundi",20.192,0.524,0,0,0,0,0,9.002,9,0,0,9,9,0,0,9,0,0,0,9,0,0,0,0.158,0.541,9,0,0,9,0.417,0.017,1.373,6.1505,0.2795,5.37,0.523,0.045,0.748,0,0.085,0.066,0,0.106,0.277,1.608,0,9,0.005,0.176,0,0.026,0.161,0.433,0.39,1.533,0.024,0.147,0,0,9,0,0,0,0,0.005,0,9,0,0,0,0,0,0,0,9,0,0.042,0,9,9,0.002,0.705,0.004,3.021,0.764,0,0.8,0.043,0.186,0,0,0.0101,0,0,0,9,0,0,9,0,0,9,9,0,0,0.009,0,4.759,0,0,0.243,0,0,9,0.044,0,0,0.001,9,0,9,0,0,9,0.564,0,0.085,0.86,0,2.252,0.125,0,0.19,0,0.158,0,0,9,0,0,0,0,0.035,0.041,0,9,0.139,9,0,0,0
"Rwanda",51.974,0.191,0,9,9,0,9,0,0,0,9,0.001,0,9,0,0,9,9,0,0,0,9,9,0.07,0,0,9,0,0,4.034,0.103,2.437,12.0714,0.5486,1.554,0.741,0.308,0.009,0,0.429,0.242,0.17,0.432,0.128,2.953,0.002,9,0.021,0.001,0,9.003,0.311,2.107,0.022,1.398,0.018,0.388,0,0,0,9,9,0,0,0,0,0,0,0.001,0,0,0,0,0,0,0,0,0,0,0,0.001,0.899,0.938,9.012,0.682,0.8,0,0,0.901,9,0,0,0,0.006,9,9,0,0,0.001,0,0,0,0,0,0.004,0,0,7.715,0.014,0,0.003,9,9,0.005,0,1.913,0.492,0.118,0,9,9,0,0,9,3.68,0,0,0.089,0,11.332,0.054,0,0.02,0.436,0.085,0,9,0,0.271,0,9.004,0,1.104,0,0,9,0.02,9,0,0,0
"Somalia",9,0.245,0,9.695,0,0,0.004,0,0,0,0,0,0,0,0,0,9,0,0,0,0,9,9.001,0.008,0,0,0,0,9,7.8,0.04,3.5,0.4209,0.0191,3.087,2.498,0.13,0,0,0.017,0,1.717,0.002,0.082,24.38,0,0,3.83,0.69,0,0.248,0,12.391,2.203,2.315,2.25,0.001,0.001,0,0,9,0,0,0,0.001,0,0,0,0,0,0,0,0,0.001,9,0,0.008,0,0,0,0,0,0.04,11.135,0.702,0.043,0,0,0.141,0,0,0.008,0,0,0,0,0,0,0,9,0.001,0,0,0,0.004,0.003,0.01,0.408,0,1.4,0.866,0.22,0,0,9,21.043,0.613,0.679,12.7,0.33,0.07,0.66,0.09,0,0,0,8.992,9,0.976,8.548,0.4,0,2.301,0.003,0,0.001,0,9,6.421,0,0,0,0,1.154,0,0.011,0.226,9,0,0,0
"Ethiopia",62.144,2.791,0,0,9,9,0.001,0,0,0,0.033,0.047,9,0,0.002,0,0,0.01,0,0,0,0,0,0.457,0,0,0,0.01,9,4.123,0.05,2.056,0.2583,0.0117,6.659,5.152,2.831,0.02,0,0.183,1.97,0.243,1.475,1.168,8.546,0.243,0,0.099,0.784,0.045,0.121,2.134,3.989,3.657,4.434,0.105,0.103,0.023,0,9,9,0,0,9,0,0,0,0,0,9,9,0.034,9,0.017,0,0.012,0.009,0,0,0,0,0,0.054,3.866,0.007,0.186,0.901,0.141,0,9,0,0.0025,0,0.649,9,0,9,0,0.01,9,1.92,0,0,0,0.3,0,1.756,2.899,0.056,0.008,9.957,0.022,0.096,0.589,1.884,32.397,4.319,5.703,0.473,0.14,0,0.1,0,0,2.498,0,5.05,0,0.998,21.927,5.416,0,0.728,9.88,0,0.309,0,9,2.372,9,0,9,0.421,3.812,0.02,0,3.501,0,0.12,0,0
"Angola",290.5,0.3,95.7,0,0,9,0,0,0,9,0,0,0,0,0,0,9,0,0,0,0,0,0,21.992,9,0,9,0.76,0,3.3,1.33,3.1,4.2087,0.1913,2,2,1.98,12.71,0,0,0,1.6,0,0,14.1,0,0,3.03,0.59,0,0,0.57,0,0.56,13,0.57,1.68,0.149,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0.2,0,0.002,0,0.013,0.4,1.498,9,0,0.175,0.4,0,0,0,0,9,0,9,0,0,0.0149,0,0.029,0,0,0,0,9,0,9,0,2.63,15.52,0,0,0,9.1,0,9,0,0,0,0,0,0,0,0,0,0,9,0,9,0,0,0,0,0,0.2,36.2,0,0,0,9.23,0,0,0,0,0,0,0,0,0,0.05,0,0,0.62,0,0,0,0
"Mozambique",32,4.9,0,0,9.326,0,0.001,1.86,0.022,9,8.6,9,0,0,0,0,0,0,0,0,0,0,0,3.901,0,0,0,0.07,0,11.8,0.35,14,7.4609,0.3391,2.5,2.3,3.03,22.76,0,0,0,2.5,0,0,5.8,0,0,0.01,0.95,0,0,9,0,0.36,3.6,0.57,1.98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0.053,9,9,1.1,0,9,0,0,0,0,0.552,0.561,0,0,0,0,0,0,1.0862,0,2.867,0,0,0,0,0,0,0.117,9,6.77,0,0,0,0,9,0,9,0,0,0,0,0,19.4,9,0,12.6,11.24,9,2.5,0,0,0,0,0,0,0.1,22.3,0,0,0,29.28,0,0,0,0,0.32,0,0,0,0.29,1.93,2.29,0,2.33,0,2.54,0,0
"Zambia",97.1291,6.6536,0.0055,0,0,0,0.0869,0.0255,0,0,0.0018,0.0318,0,0,0,0,0.1136,0.0009,0,0,0,0,0,0.4336,0,9,0,0.0736,0,26.3073,7.16,6.2009,18.1071,0.8229,56.8055,2.5982,1.3964,1.1127,0,0.8284,0.2,1.3309,0.2555,0.3993,56.7555,0,0,22.37,13.3455,0.1593,9.0009,0.4536,0.2209,1.6709,7.11,2.6764,3.4455,0.0009,0,0,0,0,0.0009,0,0.0018,0,0,0,0.1591,0,0,0.005,0,0.008,9,0,0.0128,0.1261,9.279,0,0.427,10.4918,0.037,11.6936,1.4435,0.0101,0,0.008,0.0025,0.0149,1.0862,0,0.404,2.4736,47.4022,0.0255,0.2935,1.9115,0,9,0.0329,0,0.0164,0,0.84,0,0.001,1.1945,0.0009,2.3927,2.4474,0,0.0155,0,2.2564,87.9027,0,0,0,9.65,0,0,0,0,13.8038,0,5.2746,9.0073,0.4845,137.21,36.7482,0,0.7173,1.4682,0,0.16,0,9.0155,1.5045,0,9.0073,0,1.0518,1.8455,0.0673,0.8285,9.2345,0,0.5473,0.004,0
"Zimbabwe",48,0,0,0,9,9,0.001,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,9,9,0,0,0,1.9,0,0.1,0,0,0,5.8,0,0,0,0,0,0,0,0,0.1,0,0,0,0.01,0,0,0,0,0,0,0,0.12,0,0,0,9,9,0,0,0,9,0,0,0,0,9,0,0,0,9,0,0,0,0,0,0,34.2,0,0,0,0,0,0,0,0,0,0.404,0,6.859,0,0,0,0,0,9,0,0,0,0,0,0,0,9,0,9,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.02,0,0,9,0,0,0
"Malawi",4.988,9.454,0,0,0,9,0.012,0,0,9,9,0,0,0,0,9,0,9,0,0,0,9,0,0,0,0,0,0,9,17.934,2.101,1.315,0.6026,0.0274,0.993,0.811,2.166,0.431,0,9,0,3.066,9,9.004,1.297,0,0,0,0.46,0.023,0,9,0,0.3,1.701,1.03,0.579,0,0,0,0.095,0,2.093,0,0,9,0,0,0,9,0,1.09,2.679,0,0.113,0.004,0,0.408,0,0,0,0.284,0.029,0.914,0.111,0,0.006,0,0.649,0.029,2.867,2.4736,6.859,0,52.443,9,0,0,0,0,0.115,0,0,0,0.04,0,0,2.123,0,0,2.18,0,9,9,0.51,0.197,9,9,0,0,0,0,9,0,0,0,0,9,0.2,13.459,2.026,0,0.325,0.01,0,0,0,0,0.01,0,0,9,0.151,1.082,0,0,1.565,0,1.215,0.075,0
"South Africa",373.6,90,0.11,0,0,9,0.003,0,0,0.011,6.4,0.135,0.212,4.992,0.116,0.065,0.484,1.55,0,0,0.013,0.64,2.87,8.362,0,0.251,8.3,7.89,3.528,146.4,5.41,92.3,129.0354,5.8645,167.9,120.8,80.99,9.82,0,0,0,1.8,0,0,420.9,1.93,0,0,15.96,0.006,0,0,0,19.36,57.3,14.65,8.78,0.688,0,0,0.221,0,9,0,0,9,0,9,0,0,0,0,0,0,0,0,0,0,1.857,0,4.054,49.6,0,0,0,0,9,0,9,0,0,47.4022,0,52.443,0,0,0,0,0,0.2,29.584,11.8,0,0,9,9,0,107.8,3.81,9,0,9,0,0,12.74,0.1,9,0,0,0.95,0,0.5,0,0.137,0,0,0,0,13.3,53.8,0,0,0.02,9,0.289,16.069,0,0,16.42,0,0,0,11.02,0,0,0.3,44.94,9.038,3.78,0.488,0.035
"Lesotho",14,0,0,0,0,0,0,0,0,0,0,9,0,0,0,9,0,9,0,0,0,0,0,0,9,0,0,0,0,0.8,9,9.3,0.6696,0.0304,0.1,0.3,0.08,9,0,0,0,0,0,0,0.1,0,0,0,0,0,0,0,0,0,9.1,9,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.288,9,0,0,0,0,0,0,0,0,0,0,0,0,9,9,0,0,0,0,0.0255,0,9,0,0,0,0,0,0,9,0,0,0,0,9,9,0,9,0,0,0,0,0,0,0.1,0,9,0,0,0,0,9,0,0,0,0,0,0,0,0.23,0,10.91,9,0,0,0,0,0,0,0,0,0,0,0,0,0.02,9,9,0,0
"Botswana",51,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0.124,0,9,0,0,0,0,9,9,9,0,0,0,0,43.6,0,9,9.5739,9.0261,0.3,0.3,0.11,0,0,0,0,9.1,0,0,9.9,0,0,4.65,0,9,0,0,0,9,9,9,0.17,0,0,0,0,0,0,0,9,0,0,0,0,0,0,9,9,3.279,0,0,0,0.181,0,0,0,0,0,0,0,0,0,0,9,0,0,0.2935,0,0,0,0,0,0,9,9,0.013,9,0,0,0,10,0,0,9,10.3,0,0,0,9,0,0.3,0,0,0,0.02,9,1.7,0,0,0,0,0,0,0,2.2,0.3,0,0.27,9,0,0,0,0,0,0,0,0,0,0,9,0,0,9,9.2,0,0
"Swaziland",9,0,0,0,0,0,0,0.32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,9,0,54.2,0.16,0.3,0.3826,0.0174,9.9,0.5,1.31,9.01,0,0,0,9,0,0,13.7,9,0,3.77,9,0,0,0,0,7.17,0.7,0.01,0.13,0.003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.023,0,0,9,0,0,0,0,0,9.044,1.068,0.005,0,0,0,0,0,0,1.9115,0,0,0,0,0,0,9,0,9,9,3.18,0,0,0,0,0,9,9,0,0,0,0,0,3,9,0,3.3,9,9,1.6,0,0,0,0,0,0,9,36.3,0.61,0,1.27,0.02,0,0,0,0,0.32,0,0,0,0,0,2.27,0,0.12,0,0.04,0,0
"Madagascar",51.265,1.617,0,9,0.044,9,0.001,0.02,0.013,9,9,0.001,0.001,0,0,0,9,0,0,0,9,9.01,0.02,0.679,9,0,0,0.01,0,0.448,0.03,3.943,0.4113,0.0187,13.968,2.017,3.069,1.62,0,2.022,2.182,0.1,0.016,0,8.483,0.05,0,0.911,0.52,0.008,0,0.871,2.866,0.13,0.16,0.07,1.77,0,0,0,0,9,9,0,0,0,0,0.002,0.057,0,0,0.002,9,0,0,0.007,0.1,0,0,9,0.003,0,0,2.249,0.038,9,0.001,0,0.01,9,0,0,0,0,0,0,9,9,0,2.459,0.221,0,0.313,0.779,0.064,0.6,0,0.494,0.03,9.295,0.05,0,0,0,0.25,12.268,9.424,0,1,0.07,27.044,0,0,0,10.427,0,0,0,0.2,23.644,0.298,0,0.482,0.55,0,0,0,9,8.419,9,9,0,2.356,4.63,0,4.417,0.15,9,0.01,0.015,0
"Comoros",1.4,0,0,9,9,0,0,0,0,0,9,0,0,0,0,0,0,9,0,0,0,0,0,0.72,0,0,0,0,0,0.1,0,0.1,0,0,1.7,0.2,0,0,0,0,0,0,9,9,0.3,0,0,0,0,0,9,9,9,0,0.2,0.3,0.07,0,0,0,0,0,0,0,0,0,0,0,9,0,9,9,0,0,0,0,0,9,0,0,0,0,0,1.5,0.4,0,0,9,9,0,0,9,9,0,0.2,0,9,0,2.459,0,0.205,9,0.1,0,0,0,0,0,9,0,0,0,9,0,9,0.1,0,9,1.5,9,0,9,0,0,0,0,0,0,0,0.1,0,0,1.4,9,9,0,0,0,0.4,0,0,0,9,0,0,0,0.68,0,0,0,0
"Mauritius",7.736,0.721,0.001,9,0,0,0.008,0.003,0,0,0.009,0,0,0,0,0,0,0.003,0,0,0.002,0,0,1.024,0,0,0.001,0.41,0,121.099,0.28,4.513,0.7557,0.0343,14.482,2.522,0.32,0.171,0,0.009,0.024,0.597,0.194,0.17,5.919,0.008,9,0.038,0.042,0.057,0.001,0.012,0.307,0.191,0.647,0.178,0.735,0.002,0,0,0,0,0.002,0,0.002,0,0,0.073,0.093,0,0,0,0,0.002,0,0,0.1,0,0.001,9,0.068,0.016,0.004,8.38,0.02,0,0,0.001,1.92,9,0.117,0.0329,0,0.115,29.584,9,0.013,9,0.221,0.205,0,0.475,0.439,0.003,0,0.016,0,22.961,0.237,0.131,0.008,0,0,2.097,2.05,2.5,2.869,0,1.153,3.219,0,0,0,0,10.206,0,4.325,0.004,1.175,29.004,13.632,0,1.911,0.008,7.018,0.174,9.875,0.002,9.716,0,9,0.001,3.265,5.082,0.066,0.3,16.497,0,4.641,0,0
"Seychelles",0.6,0,9,0,0,0,0.001,0,0,0,0,0,0,0,0,0,0,9,0,9,0,0,0,0.034,0,0,0,0,9.004,11.3,0.03,0.9,0.0957,0.0043,1,0,0,0,0,9,0,0,0,9,0.6,0,0,0,0.03,0.033,0,0,0,0,0,0.07,0.2,0,0,0,0,0,0,9,9,0,9,9,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0.003,6.241,0.034,9,0,0,0,0,9,0,0,0,11.8,0,9,9,0,9,0.475,0,9,0,0,0,0,9,9,0,0,0,0,0,0,9,2.7,0,0,0,9,0,9,0,0.4,0,0,9,0,2.1,0.5,0,0.59,0,0,0,9,9,0.3,0,0,0,0,2.1,0,9,1.95,0,0.07,0,0
"Morocco",205.96,0.5,0,60.48,0.02,8.37,0.009,0.07,0,9,1.93,19.09,0.484,0.076,2.691,1.372,0.438,2.4,0.57,0.257,0.368,3.74,0,2.326,0,0,0,3.96,0.225,3.37,4.7,2.86,29.6715,1.3485,360.3,37.76,74.37,4.43,0,0.43,8.61,8.18,1.01,3.71,86.52,0.05,2.23,29.9,5.63,0.047,6.39,27.37,13.37,0.84,27.19,3.05,2.49,0.146,0,0,0,0,0.01,0.225,4.35,0.036,2.73,0.189,14.98,1.34,0.398,0.595,0.024,0.523,0.192,0.545,12.81,2.941,0.048,0.57,0.068,3.5,1.02,0.01,0.91,9,0,0,0,2.63,6.77,0.0164,0,0,0,0,0,3.18,0.313,0.1,0.439,9,0,2.45,6.9,2.19,0,10.13,5.25,132.02,3.94,0.26,1.16,1.44,9,35.4,9,0,0.89,0.03,0.48,0.3,0,0,17.47,0,14.47,9,1.13,9.94,6.94,0,0.07,0.05,2.93,0.24,0,0.25,22.34,0,9,0,2.98,1.16,0.36,2.43,0.38,0,2.71,0.074,0
"Algeria",1711.86,26.76,12.64,8.9,0,0.97,0,0,0,0,3.5,0,0,0,0.42,0,0,2.38,5.21,20.636,0,0.02,2.78,94.394,0,22.787,0,26.35,0,98.17,7.74,56.14,58.2716,2.6484,751.57,35.9,0.31,2.12,0,18.09,6.5,12.7,10.42,5.13,163.64,0.39,0,4.49,18.04,8.77,0.58,34.22,27.76,5.41,123.49,0.99,7.98,0.171,0,0,0.414,0,0,0.025,0,8.191,0.35,7.268,20.39,0.64,0,0,0,0.41,0.062,3.217,2.2,0.155,0.009,0,0.626,16.5,0,0.07,0.057,0,0,0,0,15.52,0,0,0,0,0,0,0,0,0.779,0,0.003,0,2.45,0,20.83,1.9,0.26,1.42,11.53,0,11.79,0.04,0.8,0,0,1.3,0,0,0,0,0,0,0,0,16.51,0,0,1.25,0.1,275.36,4.43,0,2.34,0.14,0,0,0,0,1.36,0,0,7.04,4.73,6.47,0.85,0.73,8.41,9,3.51,0,0
"Tunisia",35.86,21.54,0,0.03,0,14.66,0,0,0.001,0,0.26,0,0,0,0,0.21,0.81,0.05,0.35,0,0,0.25,0,10.149,0,0.158,0.49,11.27,0.173,40.93,3.02,12.78,29.0593,1.3207,346.95,14.41,25.72,4.39,0,0.54,0.26,13.07,2.73,0.63,39.92,0.15,0,13.77,77.03,0.03,4,4.36,8.37,11,32.93,0.06,4.24,0.723,0,0,0,0,0,0.01,0.49,0.095,0,0.03,1.58,0.04,0,0,0,0.071,0.01,2.797,2.02,0.433,0.341,0,0.853,3.62,0,0,0,0,0.004,0.004,0.3,0,0,0.84,0,0.04,9,0,0,0,0.064,0,0,0,6.9,20.83,0,8.58,1.84,0.53,13.34,53.93,3.22,0,0.1,0.03,0,54.73,0,0,0.04,0,0.05,0.2,0,0,1.36,0,0.1,0,0.1,20.29,9.66,0,0.18,1.27,0,8.19,0,0,0.84,0,0,0,0.18,1.89,0,2.62,2.45,0,1.86,0,0
