"","United States of America","Canada","Cuba","Haiti","Dominican Republic","Mexico","Guatemala","Honduras","El Salvador","Nicaragua","Costa Rica","Panama","Colombia","Venezuela","Ecuador","Peru","Brazil","Bolivia","Paraguay","Chile","Argentina","Uruguay","United Kingdom","Ireland","Netherlands","Belgium","Luxembourg","France","Switzerland","Spain","Portugal","German Federal Republic","German Democratic Republic","Poland","Austria","Hungary","Czechoslovakia","Italy","Albania","Yugoslavia","Greece","Cyprus","Bulgaria","Romania","Russia","Finland","Sweden","Norway","Denmark","Iceland","Mali","Senegal","Benin","Mauritania","Niger","Ivory Coast","Guinea","Burkina Faso","Liberia","Sierra Leone","Ghana","Togo","Cameroon","Nigeria","Gabon","Central African Republic","Chad","Congo","Democratic Republic of the Congo","Tanzania","Somalia","Ethiopia","South Africa","Madagascar","Morocco","Tunisia","Libya","Sudan","Iran","Turkey","Iraq","Egypt","Syria","Lebanon","Jordan","Israel","Saudi Arabia","Yemen Arab Republic","Kuwait","Afghanistan","China","Mongolia","Taiwan","North Korea","South Korea","Japan","India","Pakistan","Myanmar","Sri Lanka","Nepal","Thailand","Cambodia","Laos","Vietnam","Republic of Vietnam","Malaysia","Philippines","Indonesia","Australia","New Zealand"
"Yugoslavia",136.1,0.8,2.7,0,0,0,0,0,0,0,0,0.8,0.1,0.3,0,0.3,0.95,1.7,0,0.4,10,0.8,6.1,0.1,5.7,8.5525,0.4475,13.8,10,1.2,0.1,0,9,11.1,8.6,12.59,3.4,57.2,0.2,0,5,1.2,1.1,5.38,15.6,0.3,3.8,0.8,3.7,0,0,0,0,0,0,0,1.6,0,0,0.1,2.1,0,0,0,0,0,0,0,0,0.2,0,1,1.9,0.1,1.4,1,1.3,0.5,1.7,1.2,1.8,14.3,1.7,0.8,1.6,2.3,0.1,0,0.6,0,0,0,0,0,0,4.4,5.5,0.4,1.4,1,0,0.6,0.3,0,0,0,0,0.1,0.6,11.28,0.09
"Greece",36,10.1,12.4,0,0,0,0,0.1,0,0,0,0,0,0.1,0.2,0,0.59,0,0.2,0.1,8.4,0.3,54.6,0.4,25.4,20.241,1.059,33,6.3,1.6,1.2,0,3.9,2.5,7.5,1.62,1.2,34.8,0,5,0,2.5,1.6,1.43,1.1,3.8,16.8,0.4,4.5,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1.1,0,0,0,0,0,0.4,0,1.2,1.2,0.3,0.8,4.7,0.7,1.3,16.8,0.7,0.6,1.2,0,0.9,0,1.5,8.8,0,0.2,0,0.1,0,0,0,0,52.1,0.5,1.1,0,0.2,0,0.2,0,0,0.9,0,0,0,0.3,1.61,1.7
"Cyprus",5.5,0.1,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0.6,0,0.1,0,0.1,0,17.7,0.1,2.7,2.8508,0.1492,4.4,0.8,1.6,1.4,0,0,0,0.7,0.2,0.4,5.7,9,1.2,2.5,0,0,0.18,0.3,0.2,1.2,0.1,1,0,0,0,0,0,0,0,0,0,0,0.3,0.1,0,0,0,0,9,0,0,0.1,0,0,0,0.1,0,0.1,0,0.3,0,0.3,0.6,0.1,0.3,0.2,0.7,0.1,2.4,0.4,9,0,0,0,0,0,0,0,0.5,1.1,0.2,0,0.1,9,0.2,9,9,0,0,0,0,0,0.9,0.17
"Bulgaria",1,0.3,0,9.022,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0.2,0.2,3.9,0,1,1.1403,0.0597,7.6,1,0.3,0.1,0,0,0,6.1,0,0,7.3,0,1.1,1.6,0,0,6.42,0,0,0.4,1.9,0.4,0,0,0,9,0,0,0,0,0,0,9,0.2,0,0,0,0,0,9,0,0,0,9,0,0,0,0.3,0.6,0.4,0.8,9.6,0.8,1.7,0.5,1.4,0,1.6,0.1,0,9,0,9,0,0,0,0,0,1.1,0.4,0,0,0,0,0,0,9,0,0,0,9,0,0.6,0
"Romania",3.42,0.84,10.85,0.005,0,3.26,0,0,0,0,0,0,0,0,0,0,0.95,0,9,0,1.85,0.28,39.48,0,0.83,1.4254,0.0746,10.81,9.1,0.09,0.93,0,11.52,10.57,4.78,7.34,27.13,15.59,0.86,5.38,1.43,0.18,6.42,0,22.51,1.42,3.8,0.84,0.65,0.1,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,3.4,0,0.4,0.06,0,0.59,2.16,8.57,0.02,2.74,0.72,1.27,0,0,0,9,12.42,0.05,0,2.25,0,3.41,4.33,1.7,0.1,1.76,0,0,0,0,0,0,0,0,0.42,0.6,0
"Russia",21,21.7,0,0,0,0.3,0,0,0,0,0,0,0,0,0,0,1.72,0,9,0,0.9,0,58.5,3.9,19.5,7.6022,0.3978,12.7,2,1.6,1.6,0,0,0,2.6,0,0,60.6,0,15.6,1.1,0.3,0,22.51,0,23.2,20.1,7,22.7,5.9,1.4,0,0,0,0,0,0,0,0,9,2.4,0,0,0,0,0,9,0,0,0,0,0.7,0,0,0.5,0.2,0.9,1,18.3,3.9,19.2,6.4,5,1.9,0,0.1,0,0,0,16.7,0,0,9,0,0,80,14.2,0.4,4.5,7.5,9,2.7,1.1,9,9,0,0,0,20.1,15.16,5.29
"Finland",23.4,3.8,0.1,0.049,0.22,2.9,0.9,0.6,0.2,0,0.1,0.3,1,2,0.01,1.2,4.11,0.1,0,1.1,9.7,0.3,112.1,11.8,27.6,13.589,0.711,6.9,11.5,1,0.2,0,1.6,5.5,6.2,0.82,0.9,10.5,0,0.3,3.8,0.2,0,1.42,23.2,0,75.9,7.9,3.4,0.8,0,0.2,0,0,0.1,0.2,0.1,0,0,0.1,0,0,0,0.7,0,0,0,0,0.1,0.1,0,0.1,3.4,0,0.8,0.8,0.1,0.5,7.7,3,2,5.8,1.4,3.2,0.2,6.4,0.3,0,0.1,0,4,9,0,0,0,2.6,9.1,0.1,0.4,0.8,9,0.2,0,9,0.4,0,0,1.5,1.6,9.88,0.15
"Sweden",181.1,6.8,0.9,0.11,1.78,13.9,4.1,0.8,0.7,0,0.6,0.79,0.2,22,0.79,4.8,6.64,1.6,0.579,9.5,20.6,2,40.2,8.5,56.1,27.3681,1.4319,23.2,4,2.5,5.7,0,4.5,4.4,12.3,0.14,3.8,6.7,0,3.8,16.8,1.2,0.4,3.8,20.1,75.9,0,145.7,72.8,2.8,0,1.7,0.1,0,0.2,0.4,0.6,0.1,2.9,0.5,2.4,0.2,0,1,0.2,0,0.1,0,0.8,0.1,0,0.1,15.8,0.6,0.1,1.7,0.3,1.5,9.7,1.3,11,6.4,2.4,3.1,1.3,2.2,18,0,0.9,0.1,4.1,0,0.6,0,1.2,13.8,26.9,0.8,0.6,0.9,9,1.5,0.2,9,0.6,0,0,9.7,0.6,33.77,4.22
"Norway",30.8,64.6,2.1,0.45,2.18,0.3,0.9,0.2,0.1,0.1,0.1,0.01,1.7,30.7,0.13,0.6,2.86,0.2,0.1,0.3,0.3,0.4,43.1,1.6,55.2,23.4719,1.2281,18.6,15.1,6.3,0.7,0,2.5,0.2,4.3,0.02,2.2,3.9,0,0.8,0.4,0.1,1.9,0.84,7,7.9,145.7,0,1.8,2.1,0,1.1,0,0,0,0.3,3.5,0,4.5,0.1,5,0,0.6,15.7,0,0,0,0.1,0.9,0.2,0,0.7,5,0.1,1.3,0,0.1,1,0.7,0.3,1.7,1.3,0.2,1.5,0.1,1,0.3,0,0,0,3.7,0,0.1,0,0.1,27.6,1.7,0.9,0.1,0.6,9,1.2,0,0,1,0,0,0.5,1.4,4.59,1.32
"Denmark",42,10.1,0.8,0.31,0.12,1.5,0.7,0.4,0.6,0.5,0.3,6.54,1,12.7,0.89,0.5,15.74,0.4,0,6.7,1,0,58.5,4.7,85,51.8853,2.7147,44,23.3,6.9,1.4,0,3.5,5.6,2.9,0.27,1.4,4.6,0,3.7,4.5,1,0.4,0.65,22.7,3.4,72.8,1.8,0,3.7,0.1,0.4,0.2,0.1,0.1,0.4,0.1,0,0.7,0.4,1.4,0,0.1,0.8,0.7,0,0.2,0.1,0.4,1.8,0,0.4,3,0.1,1.3,0.4,0.9,1.1,2.4,1,2.5,0.8,0.4,2.4,0.7,0.6,1.5,0,1.3,0.3,2.4,0,0.1,0,0.6,7.5,0.7,0.7,2.1,1,0,6.4,0.2,0.3,0.3,0,0,1.8,7,5.47,0.42
