"","United States of America","Canada","Bahamas","Cuba","Haiti","Dominican Republic","Jamaica","Trinidad and Tobago","Barbados","Dominica","Grenada","St. Lucia","St. Vincent and the Grenadines","Antigua & Barbuda","St. Kitts and Nevis","Mexico","Belize","Guatemala","Honduras","El Salvador","Nicaragua","Costa Rica","Panama","Colombia","Venezuela","Guyana","Suriname","Ecuador","Peru","Brazil","Bolivia","Paraguay","Chile","Argentina","Uruguay","United Kingdom","Ireland","Netherlands","Belgium","Luxembourg","France","Switzerland","Spain","Portugal","German Federal Republic","German Democratic Republic","Poland","Austria","Hungary","Czechoslovakia","Italy","Malta","Albania","Yugoslavia","Greece","Cyprus","Bulgaria","Romania","Russia","Finland","Sweden","Norway","Denmark","Iceland","Cape Verde","Sao Tome and Principe","Guinea-Bissau","Equatorial Guinea","Gambia","Mali","Senegal","Benin","Mauritania","Niger","Ivory Coast","Guinea","Burkina Faso","Liberia","Sierra Leone","Ghana","Togo","Cameroon","Nigeria","Gabon","Central African Republic","Chad","Congo","Democratic Republic of the Congo","Uganda","Kenya","Tanzania","Burundi","Rwanda","Somalia","Djibouti","Ethiopia","Angola","Mozambique","Zambia","Zimbabwe","Malawi","South Africa","Lesotho","Botswana","Swaziland","Madagascar","Comoros","Mauritius","Seychelles","Morocco","Algeria","Tunisia","Libya","Sudan","Iran","Turkey","Iraq","Egypt","Syria","Lebanon","Jordan","Israel","Saudi Arabia","Yemen Arab Republic","Yemen People's Republic","Kuwait","Bahrain","Qatar","United Arab Emirates","Oman","Afghanistan","China","Mongolia","Taiwan","North Korea","South Korea","Japan","India","Bhutan","Pakistan","Bangladesh","Myanmar","Sri Lanka","Maldives","Nepal","Thailand","Cambodia","Laos","Vietnam","Malaysia","Singapore","Brunei","Philippines","Indonesia","Australia","Papua New Guinea","New Zealand","Vanuatu","Solomon Islands","Fiji","Samoa"
"Djibouti",4.349514,0.1969379,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0099999998,0,0,0,0,0,9.1379185,0.53454572,6.2738786,3.9222541,0.20774581,56.560562,0.59644049,0.65833527,0.31,0,0,0,1.3673117,0,0.93395597,14.584658,0.050000001,0,2.2450919,0.21944508,0.204,0,0,0.033760782,0,0.30000001,0.039999999,2.0425274,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.84401953,0.03938758,0,0,0.12378953,0,20.982327,0,0,0,0.003,0,0,0,0,0,0.096000001,0,0.003,0,0,0,0.02,0,0,0,0,0,0.033760782,0,0.095655553,0,0,8.406435,0.29259345,3.6800001,0,5.5367684,0,0.51766533,0,0,4.2313514,0,2.3182404,0.20819148,6.093821,8.6258802,1.2322686,0,0.83839273,0,0,0.257,0,0,4.1750836,0,0,0,0.090000004,3.1960208,0,0.0099999998,0,1.1478666,0,0.0099999998,0,0,0,0
"Ethiopia",177.91425,34.771103,0,1.0219256,0,0,0,0,0,0,0,0,0,0,0,0.04569133,0,0.0112,0,0,0,0,0,0,0,0,0,0,0,0.44242582,0,0,0,0.28,0,95.990799,6.4669948,31.333109,10.11429,0.5357126,35.814201,21.910666,2.2789946,0.0044576908,0,15.65541,2.1853828,7.5669303,3.274174,4.5212131,88.391548,0.22,0,18.000156,2.3046262,0.071323052,1.463237,1.1088506,191.84119,8.0450172,34.005493,3.4513671,8.7437611,0,0,0,0,0,0,0,0.0019289379,0,0,0,0,0,0,1.524,0,0.0044576908,0,0.0060000001,0.035661526,0,0,0,0,0,0.023402877,4.3596215,0.0078009591,0,0.017000001,0,1.9781003,0,0,0,0.19390956,5.1059999,0,0,0,0,0,0.001,0,0.0089999996,0,0,0,0,2.4483867,0.36441621,0,1.3451083,0,0.011144227,0,0.017830763,0,7.3340158,9.765686,0.19279513,0.62519115,0.79681224,1.9714004,0,0,0.0052358499,0,4.3707657,0,2.6590126,0.81687182,27.853882,66.563354,4.9658675,0,0.13373072,2.0899999,0,2.040508,0,0,0.10587016,0,0,0,0.15267591,2.0895426,0,14.05,0.1,17.737152,0,0,0,0,0,0
"Angola",91.410004,1.1,4.7465,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,102.421,0,0,0,10.307,4.1778002,49.389999,0.25299999,61.709999,44.7118,2.368202,149.71001,14.74,49.401001,101.068,0,71.496696,1.2089,2.4200001,4.4439998,5.0633755,75.459999,0.121,0,24.673,0.68199998,0.0066,0,1.8862883,0,0.88,34.759998,2.431,5.533,0,0,0,0.0006675662,0,0,0,0,0,0,0,0,0,0,0,0,0.086639449,0,0.8987,0.77844995,0,0,0,2.4083424,0,0,0,0,0,0,0,0,0,0,0,0.69529891,2.4574001,0,0,0,0,0,0,0,0,0,0,0,0.066,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.0799999,0,0.11,0,43.23,20.459999,0,0,0,0,0,0,0,0,5.0489998,0,0,0,0.098999999,0,0,0,0,0.38499999,0,0.022,0,0,0,0
"Mozambique",25.74,5.0599999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.9629998,0,0,0,0,0,21.23,0.484,18.26,2.1938031,0.1161968,29.809999,5.3899999,3.223,22.638,0,13.365,0,0,0.40700001,0.88058704,38.060001,0,0,0,0,0,0,0,0,3.355,22,5.8080001,3.8280001,0.095700003,0,0,0,0,0,0,0.028962366,0,0,0,0,0,0,0,0,0,0,0,0.0062695104,0,0,0,0,0,0,7.2242346,0,0,0,0,0,0,0,0,0.66465092,34.276001,10.4808,0,0,0,0,0.064900003,0,0.0022,0,0,0,1.595,0,0,0,0.23100001,0,0.1925,0,0,0,0,44.77,0,0,5.1109672,0,0,16.532795,0.014398587,0,6.1599998,0,0.44,0,1.21,20.459999,0,0,0,9.2399998,0,0.0066,0,0,31.735001,0,0,0,12.595,2.75,0,2.97,0.55044115,1.419,0,1.562,0,0,0,0
"Zambia",58.591896,7.008584,0,0,0,0,0.0041086483,0,0,0,0,0,0,0,0,0.0017975337,0,0,0,0,0,0,0,0,0,0,0,0,0,2.7585723,0,0,0,0.083585314,0,93.612343,0.31931904,4.8419137,11.55783,0.61217111,9.8530531,8.577446,1.0218979,0.026192633,0,0.0460939,0.00038518579,3.1815064,0.038133394,0.77127033,12.924781,0.0029530912,0,4.1460114,1.3378787,0.1221039,0.00012839526,0.92187798,0,2.0070748,8.5643492,4.1384363,6.7178969,0.079000004,0,0,0,0,0,0,0.0010271621,0,0.00012839526,0,0,0,0,0,0,0.00077037158,0,0.010785202,0.0010271621,0,0.0010271621,0.095397681,0.00038518579,0.17063731,0,1.5008123,0.73185301,0.0021827195,0.059999999,0.001,0,0,0.034153141,0.013866689,0,17.049223,3.0156195,99.881248,0.0012839526,2.3976531,3.806021,0.025550658,0,0.0040000002,0,0,0,0,0,0.035950676,0,0,0.00038518579,0.016819781,0,0.091417432,0.013866689,0.75676167,99.302307,0,0.0037234628,0.0059061823,2.2370307,0,0.0016691384,0.078537747,0,0.56789225,0.71734434,1.4050294,0.15818296,0.27810416,49.294025,4.147809,0,0.1708941,2.9989283,0,0.032869186,0,0,0.0011555573,0,0,0,2.5315695,2.03866,0,0.0079605067,0.00077037158,0.27412391,0.10682486,0.36194625,0,0,0,0
"Zimbabwe",89.281998,12.585,0.059,0.0020000001,0,0.001,0.014,0.039000001,0,0.18099999,0,0,0,0.003,0,0.048,0.013,0,0,0,0,0.0070000002,0,0,0,0,0,0.044,0,2.783,0,0,0.368,0.461,0,118.684,1.296,17.58,11.21594,0.59406251,35.858002,31.122999,2.1989999,0.38699999,0,10.219,0.32300001,12.965,0.93400002,5.164,46.216,0.001,0,1.304,0.764,0.001,0.0070000002,3.3510001,0.60500002,8.9759998,12.203,5.7280002,6.724,0.0099999998,0,0,0,0,0,0.0099999998,0.0077966047,0,0.0099999998,0.029999999,0.12,0,0,0,0.001,0.0020626839,0,0.016000001,0.018999999,0.054000001,0,0,0.147,0.56999999,0.0020000001,2.6760001,0.28400001,0.287,0.015,0,0.0020000001,0.013,0.02,0.426,27.684,0,4.5149999,231.75,0.090000004,51.362999,1.448,0,0,0.079000004,0,0,0.113,0,0,0.003,0.903,0.046,0.463,0.0099999998,0,0,0,6.1370001,0,0,0,0,4.9957075,1.005,0.44600001,0,0,7.9650002,0,10.267,0.107,2.5610001,46.846001,4.9879999,0,1.301,2.8840001,0.0070000002,0.149,0,0.001,0.016000001,0,0,0,3.0409999,0.80199999,0,0.030999999,0.17299999,10.449,0.012,0.935,0.016000001,0,0,0
"Malawi",8.7539997,0.93800002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0049999999,0,0,0,0,0,0,0,0,0,0,0,0,0.31999999,0,0,0,0.20999999,0,63.455002,0.205,5.2480001,2.0988331,0.1111667,6.2150002,2.441,0.76700002,0.178,0,0,0,0.801,0,0,3.724,0,0,0,0.034000002,0,0,0,0,1.01,0.69999999,1.72,4.7350001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00084076793,0,0,0,0,0,0,0,0,0,0.55000001,0.199,0,0,0,0,0,0,0.449,3.842,12.08,0,74.500999,0,1.082,0,0.039000001,0,0.015,0,0,0,0,0,0,0,0,0,0,0,0,0,0.833,0,0,0,0,0,0,0,0.0078537753,0,0,0,2.6400001,0,3.1719999,23.639,1.817,0,0.211,0.050000001,0,0.0070000002,0,0,0.090000004,0,0,0,0,0.491,0,0,0,1.342,0,2.54,0,0,0,0
"South Africa",1158.4,108,0.097999997,0,0,0,0,0.02,0,0,0,0,0,0,0,0,0,0,0.0099999998,0,0,0.40000001,0,0.44,0,0,0,0.20999999,1.2,48.459999,0,1.3940001,29.299999,46.529999,2.559,1247.4,40.939999,253.10001,199.1517,10.54826,405.29999,242.60001,90.239998,15.82,0,0,0,75.199997,0,0,352.39999,0.37,0,0,2.4100001,0.0060000001,0,0,0,2.47,107.3,45.209999,52.34,0.066,0,0,0,0,0,0,0.206,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00086628943,0.37314525,0,1.861728,0,0,0,0,0,0,0,0,3.246731,130.342,17.725,0,0,0,0,0,0,1.964,0,0,0,0,0,0,0,4.8400002,0,1.7690001,0,0,0,63.799999,0,0,0,0,0,0,0,0,0,0,0,0,0,0.40000001,1249.4,0,0,0,0,0,10.724,0,0,0.02,0,0.35765254,0,0.36000001,0,0,0,0.1,97.900002,0.0060000001,10.44,0,0,0,0
"Lesotho",8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.26699999,0,0,0,0,0,0,0,0,0,0,0,0,0,3.0999999,0,1,0,0,0.1,0,0,0,0,0,0,0,0,0,0.30000001,0,0,0,0,0,0,0,0,0.23999999,2.4000001,1.34,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.5589452,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.020800034,0.169,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.30000001,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0.01585938,0,1.42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.17,0,0,0,0,0,0
"Botswana",20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.96,0,12.5,0.16,0.69999999,5.3183112,0.28168929,3.4000001,0.1,0.2,0.0099999998,0,0,0,0,0,0.20013343,0,0,0,0,0,0,0,0,0,0.20999999,10.4,0.31999999,2.8099999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.021657236,0,0,0,0,0,0,0,0,0,0,0,0.75547773,43.855,2.444,0,0,0,0,0,0,0.003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.30000001,0,0,0,0.40000001,0.60000002,0.23789071,0,0.54000002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.94,0,0,0,0,0,0
