"","United States of America","Canada","Cuba","Dominican Republic","Mexico","Guatemala","Honduras","El Salvador","Nicaragua","Costa Rica","Panama","Colombia","Venezuela","Ecuador","Peru","Brazil","Bolivia","Paraguay","Chile","Argentina","Uruguay","United Kingdom","Ireland","Netherlands","Belgium","Luxembourg","France","Switzerland","Spain","Portugal","Germany","Poland","Austria","Hungary","Czechoslovakia","Italy","Albania","Yugoslavia","Greece","Bulgaria","Romania","Russia","Estonia","Latvia","Lithuania","Finland","Sweden","Norway","Denmark","Liberia","Ethiopia","South Africa","Iran","Turkey","Iraq","Saudi Arabia","Yemen Arab Republic","Afghanistan","China","Mongolia","Japan","Nepal","Thailand","Australia","New Zealand"
"United States of America",0,174,58.330002,1.9,37,3.97,9.6700001,0.94999999,2.9000001,3.3499999,1.92,51.610001,19.58,4.46,4,82,0.63,0.1,12,16,1.08,75,0.36000001,22.43,22,0,44.73,12,11,1.63,73.57,1.11,2.0899999,0.54000002,13.02,42,0.19,0.47,7.5500002,0.19,0.34,9,0.41,0.54000002,0.059999999,6.9200001,24,10.43,1.3200001,0,0.22,1.71,4.5,5.73,0,0,0,0,26,0,134.00999,0,0.079999998,5,0.28999999
"Canada",197.85001,0,0.58999997,0.090000004,0.059999999,0,0,0,0,0,0,2.8599999,0.34999999,0.0014,2.77,0.17,0,0.0099999998,0,0.75999999,0,73.610001,0.079999998,3.1400001,3.0599999,0,6.5500002,2.1300001,0.23,0.059999999,7.7399998,0.07,0.13,0.029999999,1.53,2.3800001,0,0.007675,0.0099999998,0,0,0.41999999,0.000161,0.0040569999,0.001257,0.23,0.73000002,0.44,0.1,0,0.0099999998,4.1599998,0,0,0,0,0,0,1.36,0,3.3099999,0,0,5.02,0.85000002
"Cuba",27.629999,1.0700001,0,0.0051500001,0.82999998,0.002538,0.0078389999,0.004402,0.000128,0.000002,0.00073799997,0.039999999,0.44,0.07,0.000596,0.0079100002,0,0.0071510002,0.12,0.059999999,0.0099999998,2.98,0.15000001,0.75,0.72000003,0,1.6799999,0.16,2.97,0.0089170001,2.1199999,0.000742,0.02,0.001664,0.079999998,0.41999999,0,0.000228,0.00069100002,0.00038300001,0.029999999,0.1,0,0,0,0.050000001,0.34999999,0.56,0.1,0,0,0,0.0020659999,0.0050010001,0.00013,0,0,0,0.1,0,0.5,0,1.03,0,0
"Dominican Republic",4.5900002,0.25999999,0.029999999,0,0.00012700001,0,0,0,0,0,0,0,0,0,0.000029999999,0,0,0,0.000108,0.000045000001,0,0.38,0,0.2,0.090000004,0,0.19,0,0.002687,0.0000060000002,0.31999999,0,0,0,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Mexico",36.75,0.19,0.02,0.02,0,0.029999999,0,0,0,0,0,0,0,0,0,0,0,0.000033,0.079999998,0.090000004,0,4.5500002,0,0.77999997,0.5,0,3.1900001,0.85000002,1.5599999,0,6.54,0.02,0.079999998,0,0.11,0.56999999,0.000004,0.001312,0.001164,0,0,0,0.000036000001,0.0017190001,0.0055209999,0,0,0.12,0.029999999,0,0,0,0,0,0,0,0,0,0.029999999,0,0.2,0,0,0,0
"Guatemala",2.98,0,0.0099999998,0.0000060000002,0.18000001,0,0.0060000001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.61000001,0,0.07,0.11,0,0.19,0,0.059999999,0,0.69999999,0.000040999999,0.0078110001,0,0.006236,0,0,0,0,0,0,0,0,0,0,0,0,0.002418,0.0073179998,0,0,0,0,0,0,0,0,0,0,0,0.14,0,0,0,0
"Honduras",4.6399999,0.0020000001,0.0099999998,0,0.0060000001,0.02,0,0.0099999998,0.1,0,0.0089999996,0,0,0,0,0,0,0,0,0,0,0.31999999,0,0.050000001,0.02,0,0.0047929999,0,0.02,0,0.28,0,0.00078200002,0,0,0.079999998,0,0.000058000001,0,0,0,0,0,0,0,0,0,0.001145,0,0,0,0,0,0,0,0,0,0,0.0099999998,0,0.059999999,0,0,0,0
"El Salvador",2.46,0,0.0072829998,0,0,0,0.12,0,0,0.0049999999,0,0,0,0,0,0,0,0,0,0,0,0.55000001,0,0.039999999,0.02,0,0.25,0,0.079999998,0,0.46000001,0,0.0030100001,0,0,0.12,0,0.000039999999,0,0,0,0,0,0,0,0,0.12,0,0,0,0,0,0,0,0,0,0,0,0,0,0.13,0,0,0,0
"Nicaragua",2.1300001,0,0.0099999998,0,0,0,0.02,0,0,0.00068180001,0,0,0,0,0.17,0,0,0,0,0,0,0.34,0,0.004245,0,0,0.0026070001,0,0.0099999998,0,0.039999999,0,0.00089899998,0,0,0.050000001,0,0,0,0,0,0,0,0,0,0,0,0.000741,0,0,0,0,0,0,0,0,0,0,0.0068601002,0,0,0,0,0,0
"Costa Rica",2.8699999,0,0.0099999998,0,0,0,0,0,0.1,0,0,0,0,0,0.07,0,0,0,0,0,0,0.58999997,0,0.079999998,0.02,0,0.14,0,0.090000004,0,0.63999999,0.000149,0.002746,0,0.0098820003,0.15000001,0,0.0053929999,0,0,0,0,0,0,0,0,0,0.029999999,0.02,0,0,0,0,0,0,0,0,0,0,0,0.07,0,0,0,0
