"","United States of America","Canada","Cuba","Haiti","Dominican Republic","Mexico","Guatemala","Honduras","El Salvador","Nicaragua","Costa Rica","Panama","Colombia","Venezuela","Ecuador","Peru","Brazil","Bolivia","Paraguay","Chile","Argentina","Uruguay","United Kingdom","Ireland","Netherlands","Belgium","Luxembourg","France","Switzerland","Spain","Portugal","German Federal Republic","German Democratic Republic","Poland","Austria","Hungary","Czechoslovakia","Italy","Albania","Yugoslavia","Greece","Bulgaria","Romania","Russia","Finland","Sweden","Norway","Denmark","Iceland","Guinea","Liberia","Ghana","Ethiopia","South Africa","Morocco","Tunisia","Libya","Sudan","Iran","Turkey","Iraq","Egypt","Syria","Lebanon","Jordan","Israel","Saudi Arabia","Yemen Arab Republic","Afghanistan","China","Mongolia","Taiwan","North Korea","South Korea","Japan","India","Pakistan","Myanmar","Sri Lanka","Nepal","Thailand","Cambodia","Laos","Vietnam","Republic of Vietnam","Malaysia","Philippines","Indonesia","Australia","New Zealand"
"Taiwan",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"North Korea",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.1800001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"South Korea",236.89999,4.3000002,0.60000002,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,7.5999999,0,3.4000001,4.8817978,0.2182017,0.89999998,2.7,0,0,18.299999,0,0,1.8,0,0,13.3,0,0,0,0,0,0,0.2,1.5,0.5,0.69999999,0,0,0,0,0,0.89999998,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47.5,1.4,0,0,0,0,1,0,0,0,0,0,5.9000001,1.7,5.5,0
"Japan",1057.7,121.4,48.400002,0,6.6999998,93.599998,3.3,1.6,13,9.6999998,0.5,1.4,1.8,3.3,2.3,14.8,27.1,0.69999999,0.60000002,2.3,26.799999,0.80000001,59.400002,0.1,17.299999,10.05076,0.44923869,20.799999,25.1,8.8000002,1.8,90.300003,1.2,0.5,1.8,0,1,9.8999996,0,0,3.8,0,0,22.200001,0.5,8.6000004,0.69999999,2.7,0,0,0.2,0.80000001,1.3,16,1.5,0.89999998,0,3.5999999,35.299999,0.2,27.5,30,3.5999999,1.6,0,0.2,144.8,0.30000001,0.30000001,54.400002,0,0,0,11,0,74.400002,34.200001,12.3,7.3000002,0,21.700001,1.4,0,0,1.3,0,99.800003,37,225.60001,18.9
"India",355.60001,73.5,0,0,0,0.1,0,0,0,0,0,0,0,2.4000001,0,0.2,0.40000001,0.1,0,0.40000001,0.1,0,356.79999,0.1,20.9,35.034081,1.565918,36,20.4,1.1,0.69999999,198.39999,2.3,4.9000001,4.9000001,1.3,13.6,54.299999,0,5,0.2,0.1,0.80000001,46.700001,4.0999999,18.9,7.0999999,7,0,0,0,0.89999998,0,1,0.69999999,0,0,15.7,69.599998,0,4.5,13.2,0,0.30000001,0.89999998,0,41.299999,1.6,10.5,11.1,0,0,0,0,83.900002,0,13.2,96.300003,9,0,0.89999998,0,0,0,0.5,0,0.40000001,7,33.799999,2.4000001
"Pakistan",108.1,14.7,1.2,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0,0,0.40000001,0,0,70.199997,0.2,5.3000002,14.16679,0.63321269,9.5,2.4000001,0.2,0.1,35.299999,0,2.5,2,0.1,1.1,8.6000004,0,2.5,0.1,0.1,0,2,2.5999999,2.3,1.1,1.1,0,0,0,0,0,0.30000001,0,0,0,0.1,10.8,0,0.2,0.40000001,0,0,0,0,3.0999999,0.1,6.1999998,10.3,0,0,0,0,22.4,18.700001,0,16.9,1.8,0,3.8,0,0,0,0,0,0,0.1,3.5999999,0.1
"Myanmar",8.6999998,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0,37.599998,0.30000001,6.5,2.680203,0.119797,1.5,0.69999999,0.1,0.1,9.8999996,2.2,0.40000001,0.5,0.89999998,6.8000002,1.2,0,0.80000001,0,0.1,0.30000001,4.0999999,0.1,1.3,0.60000002,3.4000001,0,0,0,0,0,0.80000001,0,0,0,0,1.8,0,0,0,0,0,0,0.80000001,0,0,0,16.6,0,0,0,0,45.400002,21.1,4.6999998,0,0.1,0,0.2,0,0,0,0,0,0,1.7,4.1999998,0.30000001
"Sri Lanka",16.1,5.0999999,5.4000001,0,0.89999998,0,0,0,0,0,0,0,0,0,0,0.80000001,1.8,0,0,0,0,0,87.400002,0.1,6.5999999,3.1588111,0.14118931,9.5,2.5999999,0.40000001,0.30000001,11,0.1,0.1,0.30000001,0.1,1.3,3.3,0,0.1,0,0,0.2,0.2,1.3,1.7,0.69999999,1.3,0,0,0,0,1.6,1.4,0.30000001,0.1,0,0.1,15.1,0,0.30000001,4.6999998,1.1,1.3,0,0.1,3.0999999,0.89999998,0,31.9,0,0,0,0,32.700001,46.299999,1.3,21.299999,0,0,1.3,0,0,0,1.1,0,0,1.5,11.9,0.5
"Nepal",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Thailand",69.699997,1.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41.599998,0.1,19.9,2.584481,0.1155185,6.1999998,5.1999998,0.1,0.2,25.799999,0,0.2,1.1,0,1.7,4.1999998,0,0,0,0,0,1.2,0.1,2.0999999,0.5,5.0999999,0,0,0,0,0,0.2,0,0,0,0,0.1,0,0,0,0,0,0,0,0.2,0,0,0,0,0,0,0.1,90.400002,5.1999998,0,0.5,0.1,0,0,0.60000002,1.5,0,0,0,0.2,14.3,4.3000002,0
"Cambodia",6.6999998,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.4,0,1.2,0.67005068,0.029949199,20.9,0.2,0,0,3.4000001,0,0,0.1,0,0.5,0.80000001,0,0,0,0,0,0.2,0,0.1,0,0.30000001,0,0,0,0,0,0,0.1,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,4.6999998,0,0,0,0,13.1,1.7,0.1,0,0,0,0.2,0,0,0,2.0999999,0,0.1,1.2,0.1,0
"Laos",3.5999999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.3,0,0.1,0.095721498,0.0042785001,4.5,0,0,0,1.9,0,0,0,0,0,0.1,0,0,0,0,0,0,0,0.2,0,0.1,0,0,0,0,0,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0,0,0,4.5,0.1,0,0,0,0,3.5999999,0,0,0,0.5,0,0,2.0999999,0.1,0
"Vietnam",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Republic of Vietnam",54.799999,0.1,2.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.3000002,0,1.3,0,0,58.799999,0.5,0,0.1,13.1,0,0,1.8,0,0,5.3000002,0,0.5,0,0,0,0,0.1,1.7,1.2,0.30000001,0,0,0,0,0,0.30000001,0.30000001,1.4,0,0,0.30000001,0,0,0.2,0,0.1,0,0,0,0,0,0,0,0,0,0,45,4.1999998,0.60000002,0,0,0,0.40000001,2.5999999,0.1,0,0,0,0.1,14.5,0.69999999,0
"Malaysia",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Philippines",331.70001,13.3,0,0,0,0.1,0,0,0,0,0,0,0.1,0,0.5,0,0.60000002,0,0,0,4.5,0.60000002,21.799999,0.30000001,13.3,5.8390141,0.2609863,4.5999999,2.5999999,0.30000001,0.69999999,29.700001,0,0,0.30000001,0,0,3.7,0,0,0,0,0,0,0.1,2.2,0.5,0.5,0,0,0,0,0,7.0999999,0,0,0,0,0.5,0,0,0.1,0,0,0,0,4.0999999,0,0,0,0,0,0,0,93.099998,2.5,1.7,1,0.69999999,0,9.5,0.89999998,0,0,3.5,0,0,45.200001,11.8,0.69999999
"Indonesia",72,1.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.3000002,0,0,0,0,0,21.799999,0.1,36.200001,6.6047859,0.295214,9.8000002,3.4000001,2.8,0.1,43,0,0,0,0,0,25,0,0,0,0,0,0,1.4,3,1.3,1.9,0,0,0,0,0,0,0,0,0,0,0,0,32.299999,13.3,0,0,0,0,0,0,0,0,0,0,0,0,49,6,0.1,24.9,0,0,16.700001,0,0,0,3.4000001,0,0.1,0,4.5,0.1
"Australia",258.06,57.639999,0.11,0,0,4.73,0,0,0,0,0,0,0,4.0700002,0,0.33000001,2.0899999,0,0,0.88,1.21,0,782.42999,0.22,27.389999,15.89935,0.71065289,26.84,25.629999,2.0899999,2.2,104.06,1.87,0.55000001,7.2600002,0.99000001,5.8299999,25.299999,0,0.11,0.33000001,0,0.029999999,0,6.9299998,28.6,10.78,4.29,0,0,0,6.8200002,0.11,14.19,0.2,0,0,0.55000001,48.290001,0.33000001,0.55000001,0.22,0,0,0,0.44,14.08,1.6,0,9.0200005,0,0,0,0,69.080002,53.02,3.52,0.11,23.98,0,0.44,0,0,0,0,0,0.44,93.940002,0,30.58
"New Zealand",52.91,18.26,0,0,0,0.11,0,0,0,0,0,0,0,0.33000001,0,0.99000001,0.22,0,0,0.22,0,0,408.98001,0.11,9.6800003,5.6858592,0.25414079,5.6100001,5.3899999,0.66000003,0.76999998,23.43,0.44,0,1.3200001,0,1.4299999,4.6199999,0,0,0.11,0,0,0.22,0.33000001,6.0500002,2.53,1.1,0,0,0,1.54,0.11,3.6300001,0,0,0,0.11,4.1799998,0.22,0.33000001,0,0,0,0,0,1.98,0.22,0,1.3200001,0,0,0,0,8.6899996,18.48,0.22,0.1,6.8200002,0,0.11,0,0,0,0,0,0.22,9.5699997,134.53,0
