"","United States of America","Canada","Cuba","Haiti","Dominican Republic","Mexico","Guatemala","Honduras","El Salvador","Nicaragua","Costa Rica","Panama","Colombia","Venezuela","Ecuador","Peru","Brazil","Bolivia","Paraguay","Chile","Argentina","Uruguay","United Kingdom","Ireland","Netherlands","Belgium","Luxembourg","France","Switzerland","Spain","Portugal","German Federal Republic","German Democratic Republic","Poland","Austria","Hungary","Czechoslovakia","Italy","Albania","Yugoslavia","Greece","Bulgaria","Romania","Russia","Finland","Sweden","Norway","Denmark","Iceland","Guinea","Liberia","Ghana","Ethiopia","South Africa","Morocco","Tunisia","Libya","Sudan","Iran","Turkey","Iraq","Egypt","Syria","Lebanon","Jordan","Israel","Saudi Arabia","Yemen Arab Republic","Afghanistan","China","Mongolia","Taiwan","North Korea","South Korea","Japan","India","Pakistan","Myanmar","Sri Lanka","Nepal","Thailand","Cambodia","Laos","Vietnam","Republic of Vietnam","Malaysia","Philippines","Indonesia","Australia","New Zealand"
"Romania",0.75,1.1900001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.17,0,0,0,4.46,0.28,8.1800003,0,4.1799998,1.3209569,0.0590428,17.290001,2.9200001,0.17,0.15000001,24.610001,39.75,14.05,6.27,16.469999,42.849998,8.9300003,0.56999999,3.9100001,3.8099999,3.6300001,0,279.23999,2.3299999,0.62,1.65,0.81,0,0,0,0,0,0,0,0,0,0,0,1.74,0,11.68,1.23,0.090000004,0,2.75,0,0,0,18.26,0.07,0,0.40000001,0,0.02,1.21,0.89999998,0,0.11,0,0,0,0,0,0,0,0,0,0.73000002,0
"Russia",3,19.5,0,0,0,0,0,0,0,0,0,0,1.8,0,0,0,0,0,0,0,16.1,16.299999,145.5,0,10.8,16.942711,0.75728822,75.900002,2.3,0.69999999,1.9,72,0,0,0,0,0,31.1,0,36.599998,16.799999,0,235.38,0,133.7,27.6,14.7,13.1,10.8,0,0,1.1,0.2,8.3999996,1.5,0.69999999,0.2,0,0,11.4,0,82.099998,18.6,1.4,0,0,0,0,12.5,0,0,0,0,0,18.1,49,6.5999999,0,4.1999998,0,0,0,0,0,0,0,0,0,0,1.9
"Finland",41.099998,2.5999999,0,0,0,0.2,0.1,0,0.30000001,0,0.1,0,2.3,0.1,0,0.30000001,26.9,0,0,0.1,2.7,0.5,97.099998,0.2,29.6,19.718639,0.88136357,31.700001,11.5,3.3,0.30000001,120.4,12.8,24.4,3.4000001,2.8,8.6000004,11.5,0,1.8,2.9000001,0.30000001,5.0999999,129.2,0,57.700001,9.1000004,16.9,2.5,0,0,0,0,2.3,1.5,0.5,0,0.30000001,12,1.3,0.1,1,0,0,0,4.1999998,0,0,0,3.9000001,0,0,0,0,1.3,1,0.40000001,0.1,0.40000001,0,0,0,0,0,0,0,0.89999998,1.5,3.5,1.8
"Sweden",251.3,13.1,5.4000001,0.40000001,1.1,3.4000001,5.6999998,2.2,1.1,0.5,1,0.2,12.4,41.700001,2.9000001,3.5,50,0,0.30000001,7.3000002,19.4,3,331.89999,0.80000001,179.3,84.234947,3.765048,86.900002,50.200001,12.8,7.1999998,551.5,15.2,16.5,16.9,4.3000002,8.5,83.300003,0,7.5999999,1.4,0.40000001,0.80000001,35.599998,24.700001,0,78.400002,94.800003,3.5,0,0,5.5999999,1.4,7.4000001,4.9000001,0.60000002,0,0.40000001,20.5,3.7,0.30000001,1.1,0.30000001,0.5,0,5,15.2,0.1,0.1,3.8,0,0,0,0.2,22.9,5.1999998,2.8,1,3.0999999,0,1.5,0,0,0,0,0,10,4.1999998,10.1,3.9000001
"Norway",90.400002,59.299999,0.40000001,1.8,0.60000002,0.80000001,0.30000001,0.40000001,0,0,0,13.2,0.2,4,0.5,0.40000001,24.799999,0,0.2,0.30000001,4.4000001,0.1,202.5,0.89999998,90.300003,37.714291,1.685715,43.099998,18.1,12.2,2.5,264.10001,7,4.0999999,5.5,1.3,9.5,25.9,0.1,0.5,2.0999999,0.2,1.4,19,4.1999998,208.3,0,58,0.89999998,0,0.69999999,7.5,1.7,5,1.8,0.2,0,0.1,0.80000001,1,0.1,0.5,0,0,0,3.5999999,1.1,0,0,2.7,0,0,0,0,7.3000002,3.7,0.40000001,0.5,0.5,0,0.89999998,0,0,0,0,0,3,1.9,2.2,0.5
"Denmark",121.9,3.3,0.30000001,0.30000001,0.1,0.2,0,0,0.2,0.1,0,2.2,1.9,0.60000002,0,2.2,30.799999,0,0.1,0.40000001,16.1,0.5,303.20001,0.1,98.400002,48.817982,2.1820171,45.799999,29.6,9,4.4000001,269.70001,14.2,16.9,7.5,2.2,7,22.700001,0,1.4,0.5,0.1,0.40000001,16.5,24.1,135.39999,47.5,0,1.5,0,0,0.30000001,0,0.5,1.1,1.3,0,0.2,0.69999999,2,2.7,0.60000002,0.89999998,0.40000001,0,2.9000001,0,0.1,0,4,0,0,0,0,19.700001,3.2,0.30000001,0.60000002,0.69999999,0,2,0,0,0,0.1,0,0.80000001,0.1,0.40000001,0.69999999
"Iceland",11.9,0.1,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,1.6,0,0,0,0,0,9.1999998,0.1,2.8,1.052937,0.047063101,0.30000001,1,1.7,0,8.1000004,3.9000001,2,0,0.1,6.5999999,1.3,0,0,0.1,0,0,15,4.0999999,2,2.2,8.3000002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.30000001,0,0,0,0,0,0,0,0,0.5,0.1,0,0,0,0,0,0,0,0,0,0,0.2,0,0,0
"Guinea",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Liberia",48,0.60000002,0,0,0,0.30000001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25.4,0,11.8,0,0,1.9,0.40000001,0.2,0,19,0,0,0,0,0,7.4000001,0,5.0999999,0,0,0,0,0.2,16.6,3.4000001,0.40000001,0,0,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0,0,0,0,0,0,0,2,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Ghana",12.1,2.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0,1.5,0.30000001,102.6,0.69999999,20,3.541697,0.1583032,4.3000002,1.8,2.2,0.89999998,13.5,1.6,0.5,0.40000001,0.30000001,3.7,3.5999999,0,0.1,0,0,0,0,0.1,0.80000001,0.60000002,1.7,0,0,0,0,0,4.3000002,0,0,0,0,1.5,0,0,0,0,0.1,0,0.69999999,0,0,0,0,0,0,0,0,19,2.5,0,0,0,0,0,0,0,0,0,0,0,0,0.60000002,0.30000001
"Ethiopia",12.1,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.1999998,0,1.9,1.818709,0.081290796,2,0.5,0,0,7.5999999,0,0,0.30000001,0,1.2,11.9,0,0.60000002,0.2,0.1,0,0,0,0.69999999,0.30000001,0.2,0,0,0,0,0,0,0,0,0,2.0999999,0,0,0,0.2,0.30000001,0,0,0.2,4.5999999,1,0,0,0,0,0,0,8.3000002,6.6999998,0,0,0.40000001,0,0,0,0,0,0,0,0,0,0.1,0
"South Africa",253,51.700001,0,0,0,1.4,0,0,0,0,0.1,0,0.1,1,0,0.69999999,5.5,0,0,0,2.5,0.40000001,539.5,0.2,29.299999,26.993469,1.206527,24.5,19.4,0.60000002,3,156,0,0,9,1,4,29.6,0,0.1,0,0,0,0.30000001,5,29.6,11.5,5.0999999,0.30000001,0,0,3.5999999,0,0,4.6999998,0.40000001,0,0.2,63,0,0.30000001,2.3,0,0,0,0.89999998,13,7,0,4,0,0,0,0,39.099998,0.1,11.1,0.60000002,18.1,0,0.2,0,0,0,0,0,1.5,2,9.6999998,1.9
"Morocco",36.299999,1.1,16.299999,0,0.30000001,0,0,0,0,0,0,0,0.1,0.30000001,0,0.80000001,4.8000002,0,0,0,3.3,0,14.5,0,11,10.62509,0.47490951,177.5,2.2,6,7.8000002,21.4,0.1,2.5,3.3,0.5,1.7,12,0,0.80000001,0.2,0.2,0,1.2,1.5,5.6999998,0.89999998,2.4000001,0,0,0,0,0,0.30000001,0,1.5,0,0,0.80000001,0,0,0.30000001,0,0,0,0,0,0,0,16,0,0,0,0,1.7,1.3,0.5,0,0.69999999,0,0,0,0,0,0,0,0.1,0.60000002,0,0.30000001
"Tunisia",5.3000002,0,0,0.1,0.1,0.5,0,0,0,0,0,0,0.1,0,0,0,0.80000001,0,0,0,0,0,4.5999999,0,1.8,1.148659,0.051341601,110.4,0.69999999,0.5,0.60000002,3.0999999,0.1,0.2,0.5,0.2,0.60000002,5.6999998,0,1,0.30000001,0.40000001,0.1,0.60000002,0.1,0.60000002,0.1,0.5,0,0,0,0,0,0,0.89999998,0,0.2,0,0.1,0.2,0,0.30000001,0,0.30000001,0,0,0,0,0,0,0,0,0,0,0.5,0.1,0,0,2.7,0,0,0,0,0,0,0,0,0.30000001,0,0
"Libya",20.700001,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21.4,0,3.7,0.86149383,0.038506199,7.3000002,0.40000001,0,0.30000001,7.6999998,0,0,0.69999999,0,0.80000001,21.6,0,0.5,0.30000001,0,0,0.2,0,0.2,0,0.5,0,0,0,0,0.1,0,0.1,0.69999999,0,0,0,0.2,0,2.0999999,0.1,0.2,0.1,0,0,0,0,0,0,0,0,0,0.89999998,0.89999998,0,0,2.3,0,0,0,0,0,0,0,0,0,0,0
"Sudan",4.6999998,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.6,0,0,0,0,0,55,0.1,5.6999998,5.9347348,0.26526469,4.1999998,1.5,0,0.1,9.8999996,0.1,2.4000001,0.80000001,0.40000001,2.7,4.0999999,0,0.2,0.30000001,0,0,0.5,0.1,1.4,1.2,0.69999999,0,0,0,0,2.2,1.4,0,0,0,0,8.3999996,0,0.1,10,0.2,0.1,0,0,1.6,0.69999999,0,1.5,0,0,0,0,7.0999999,19,0.89999998,0.1,0.60000002,0,0.60000002,0,0,0,0,0,0,0.1,0.40000001,0.1
"Iran",72.199997,0.2,1.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0,54.900002,0.1,8.1999998,7.46628,0.33372021,13.3,9.3000002,0.1,0.1,86.400002,0,1.3,1.9,2.3,7.4000001,12.3,0,0.60000002,0,0.2,0,27.9,0.30000001,5.3000002,0.60000002,2.2,0,0,0,0,0,0.30000001,0,0.2,0,0,0,0.1,1.1,0.1,0.2,1.1,0.1,0.30000001,0,0.1,0,0,0,0,0,0,38.599998,13.4,3.2,0,10.7,0,0,0,0,0,0,0,0.80000001,0.1,1,0
"Turkey",87.800003,1.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.89999998,0.1,22.6,0,5.0999999,3.637418,0.16258159,9,3.5999999,1.6,0.1,48.900002,19.6,10.8,4.9000001,5,12.2,35.099998,0,1.8,0.1,1.5,1.3,6.9000001,2.2,1.3,3.2,1.2,0,0,0,0.1,0,0,0,0.1,0,0,0.1,0,0,3.0999999,0,0,0,3.5,6.5999999,2.9000001,0,0,0,0,0,0,0.80000001,3.9000001,0.2,0,0.60000002,0,0,0,0,0,0,0,0,0,0.1,0.2
"Iraq",42.599998,0.60000002,1.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0,84.5,0.30000001,9.3000002,18.665701,0.83430052,6.5,3.3,0.1,0.89999998,36,0.40000001,0.60000002,2.0999999,1.3,2.9000001,10.4,0,0.2,1,0.2,0.5,0,0.40000001,6.5,1.2,1.5,0,0,0,0,0.2,0.30000001,0,0,0,1.5,1.9,0,0,0.80000001,5.1999998,3.4000001,0.80000001,0,0,0.1,0,0,0,0,0,0,24.1,3.8,0.60000002,0,16,0,1.3,0,0,0,0,0,0,0.2,3.0999999,0
"Egypt",50.700001,0.80000001,0,0,0,0,0,0.1,0,0,0,0,0,0,0,0,5.8000002,0,0,3.4000001,0.69999999,0.1,29.700001,0.2,20,19.14431,0.85569268,12.8,12,20.1,0.40000001,78,26.1,12.4,10.1,13.6,29.1,60.799999,0,23.9,4.3000002,4.5,12.6,83.599998,8.1000004,4,3.2,3.4000001,0.2,0,0,0,1.6,4.5999999,0.2,0.5,2.8,7.8000002,0.2,1.9,1.2,0,0,2.5999999,0.2,0,9.3999996,0.1,0,25.1,0,0,0,0,10.6,25.700001,1.1,0,4.0999999,0,0,0,0,0,0,0,0,1.6,0.60000002,0.5
"Syria",17.5,1,2.3,0.2,0.80000001,0,0,0,0,0,0,0,1.1,0.60000002,0.1,0.40000001,1.1,0,0,0.30000001,0.40000001,0,23.1,0.1,5.8000002,9.2849884,0.41501099,15.4,4.5999999,0.2,0.40000001,23.4,2.4000001,0.40000001,4.5999999,2.0999999,9.8999996,10.9,0,2,0.5,1.1,4,3.5999999,1.3,3.5,0.30000001,1.3,0,0,0,0.30000001,0.30000001,0.30000001,0,0.2,0,0.30000001,1.1,1,6.8000002,0,0,10.4,2.9000001,0,5.3000002,0.40000001,0,0,0,0,0,0,7.9000001,3.7,0.1,0,2.2,0,0.1,0,0,0,0,0,0.30000001,0.1,0.1,0
"Lebanon",30.6,1,1.1,0,0,0.30000001,0,0,0,0,0,0,0,0.69999999,0,0,1.4,0,0,0.30000001,0.5,0,39.599998,0.1,4.9000001,7.46628,0.33372021,21.799999,5.0999999,0.5,0.5,17.6,0.80000001,0.30000001,2.8,0.69999999,2.3,14.6,0,2.2,0.40000001,0.5,1.9,1.2,1.1,5.4000001,0.30000001,2.0999999,0,0,0,0.2,0.30000001,0.2,0.30000001,0.30000001,0.30000001,0.60000002,1,1.7,9.8999996,4,25.1,0,1.8,0,11,0.2,0,0,0,0,0,0,2.5999999,0.5,0.1,0,0.5,0,0,0,0,0,0,0,0.69999999,1.1,0.1,0
"Jordan",8.1999998,1.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,11.8,0,3.3,2.48876,0.1112401,2.0999999,0.60000002,0.1,0.30000001,10.5,0.89999998,1.9,1.5,0,2.5,3.9000001,0,0.40000001,0.1,0,0.34999999,0,0.1,1.5,0.1,0.80000001,0,0,0,0,0,0,0,0.1,0,0.30000001,0,1.6,3.5999999,2.9000001,7.9000001,3.4000001,0,0,2.0999999,0,0,0,0,0,0,0,3.8,0,0,0,1.2,0,0,0,0,0,0,0,0,0,0,0
"Israel",122.9,4.6999998,1.1,0,0,1.9,0,0,0,0,0,0,0,0,0,0.2,6.3000002,0,0,0,1.8,0.30000001,49.799999,0.2,15,6.9876719,0.31232789,16.299999,11.4,0,2.5999999,64.199997,0,2.7,1.6,1.1,0,8.6000004,0,3.5,3.0999999,1.1,2.2,0.60000002,8.6999998,5.5999999,3.3,2.9000001,0.69999999,0,0,0.60000002,2.3,4.8000002,0,0,0,0,0.1,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.3,0.2,0,0.40000001,0,0,0,0,0,0,0,0,1.2,0.1,0.2,0.60000002
"Saudi Arabia",67,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22.5,0.2,9.6000004,8.4234953,0.37650481,5.4000001,3.0999999,0.30000001,0.1,21,0,0,0,0,0,12.4,0,0.5,0.80000001,0,0,0,0.1,1.4,1,0,0,0,0,0,2.9000001,0,0,0,0.1,4.0999999,0,0,2.8,8.6000004,7,4.1999998,0.69999999,0,0,2.9000001,0,0,0,0,0,0,15.4,8.5,0.1,0,3.5,0,5.9000001,0,0,0,0,0,0,0,2.2,0
"Yemen Arab Republic",1.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17.9,0,3,0,0,0.1,2.4000001,0,0.1,4.5999999,0,0.69999999,0.40000001,0.1,1.7,2.9000001,0,0.5,0,0.1,0,0,0,0.1,0.1,0.60000002,0,0,0,0,0.2,0.5,0,0,0,0.1,20.200001,0,36.900002,0.1,0,0,0,0,5.1999998,0,0,0.1,0,0,0,0,0.1,16.5,0.2,0.1,1.2,0,1.9,0,0,0,0,0,0,0.1,11.9,0
"Afghanistan",11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.7,0,0.40000001,0.095721498,0.0042785001,0,0.30000001,0,0,2.4000001,0,0,0,0,3.2,1,0,0,0,0,0,30.299999,0,0.1,0,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0,0,0,0,0,0,0,0,0,11.2,6.8000002,3.8,0,0,0,0,0,0,0,0,0,0,0,0,0
"China",0,7.3000002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.5,0,0,0,0,0,76.300003,0,11.9,49.870918,2.22908,44.400002,0,0,0,162,0,0,14.3,0,0,32.700001,0,0,0.1,0,25.860001,0,8.3999996,17.6,4.8000002,4.3000002,0,0,0,0,0,7,3.0999999,0,0,2.0999999,0,0,0,34.900002,0,0,0,0,0,0.1,0,0,0,0,0,0,50.599998,7.1999998,7.5999999,3,16.299999,0,3.0999999,0,0,0,0,0,0,0,27.1,2.7
"Mongolia",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.079999998,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
