"","United States of America","Haiti","Mexico","Guatemala","El Salvador","Colombia","Venezuela","Ecuador","Peru","Brazil","Bolivia","Paraguay","Chile","Argentina","Uruguay","United Kingdom","Netherlands","Belgium","France","Switzerland","Spain","Portugal","Germany","Austria-Hungary","Italy","Yugoslavia","Greece","Romania","Russia","Sweden","Denmark","Morocco","Iran","Turkey","China","Korea","Japan","Thailand"
"United States of America",0,3.2,33.549999,3.1800001,2.3299999,4.1100001,10.32,0.80000001,0.58999997,118.63,0,0,3.48,5.3400002,2.48,156.3,10.88,10.27,68.550003,13.19,5.1999998,1.96,82.900002,7.71,22.16,0.0099999998,1.3,0,4.9200001,3.75,0.22,0,0,2.02,20.48,0.00060799997,23.790001,0
"Haiti",5.2800002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Mexico",18.889999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.02,0,0,3.1400001,0,1.45,0,1.89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Guatemala",1.85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"El Salvador",1.29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Colombia",3.1300001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.8299999,0,0,0,0,0,0,1.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Venezuela",4.04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Ecuador",0.81,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Peru",1,0,0,0,0,0,0,0,0,0,0,0,0.92000002,0,0,4.1500001,0,0.18000001,0,0,0,0,2.6400001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Brazil",14.29,0,0,0,0,0,0,0,0,0,0,0,0.039999999,4.1300001,4.6199999,25.129999,0,3.6300001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Bolivia",0.0099999998,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Paraguay",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Chile",1.78,0,0,0,0,0,0,0,0.99000001,0.16,0,0,0,2.24,0,13.26,0,2.28,2.6199999,0,0,0,8.1400003,0,0.17,0,0,0,0,0,0,0,0,0,0,0,0,0
"Argentina",2.9100001,0,0,0,0,0,0,0,0,0,0,0,0.090000004,0,3.05,14.09,0,2.6300001,4.0900002,0,0,0,4.1700001,0,3.3,0,0,3.8900001,0,0,0,0,0,0,0,0,0,0
"Uruguay",1.13,0,0,0,0,0,0,0,0,1.34,0,0,0,1.09,0,5.7800002,0,0.85000002,2.3099999,0,1.8099999,0,2.1400001,0,2.0599999,0,0,0,0,0,0,0,0,0,0,0,0,0
"United Kingdom",521.12,0.19,2.1900001,0,0,2.2,1.23,0.61000001,7.5799999,16.91,0,0,18.639999,21.870001,1.38,0,138.82001,81.949997,209.62,22.42,52.580002,16.57,123.92,5.96,15.82,0.0055378,8.8000002,14.32,72.839996,56.869999,38.73,3.6300001,1.17,2.6500001,17.26,0,3.8699999,0.25
