"","United States of America","Canada","Cuba","Haiti","Dominican Republic","Mexico","Guatemala","Honduras","El Salvador","Nicaragua","Costa Rica","Panama","Colombia","Venezuela","Ecuador","Peru","Brazil","Bolivia","Paraguay","Chile","Argentina","Uruguay","United Kingdom","Ireland","Netherlands","Belgium","Luxembourg","France","Switzerland","Spain","Portugal","German Federal Republic","German Democratic Republic","Poland","Austria","Hungary","Czechoslovakia","Italy","Albania","Yugoslavia","Greece","Bulgaria","Romania","Russia","Finland","Sweden","Norway","Denmark","Iceland","Guinea","Liberia","Ghana","Ethiopia","South Africa","Morocco","Tunisia","Libya","Sudan","Iran","Turkey","Iraq","Egypt","Lebanon","Jordan","Israel","Saudi Arabia","Yemen Arab Republic","Afghanistan","China","Mongolia","Taiwan","North Korea","South Korea","Japan","India","Pakistan","Myanmar","Sri Lanka","Nepal","Thailand","Cambodia","Laos","Vietnam","Republic of Vietnam","Malaysia","Philippines","Indonesia","Australia","New Zealand"
"Liberia",20.200001,0.1,0,0,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.0999999,0,2.3,0.57441008,0.0255899,0.40000001,0.1,0.1,0,4.5,0,0,0,0,0,0.80000001,0,2.7,0,0,0,0,0,1.5,0.30000001,0.5,0,0,0,0,0,0,0,0,0,0,0,0,1.3,0,0,0,0.2,0,0,0,0,0,0,0,0,2.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Ghana",17.5,4.9000001,0,0,0,0,0,0,0,0,0,0,0,5.5999999,0,0,0.80000001,0,0.1,0,1,0,126.8,1.1,25.799999,5.648366,0.25163379,5.1999998,2.5999999,2.9000001,1.3,27.700001,2.0999999,1.1,0.30000001,0.40000001,4.5,6,0,0.2,0,0,0,0,0.30000001,1.3,0.89999998,2.3,0,0,0,0,0,6.1999998,0,0,0,0,0.60000002,0,0,0,0.1,0,2.0999999,0,0,0,2.2,0,0,0,0,24,3,0,0,0,0,0,0,0,0,0,0,0,0,0.89999998,0.30000001
"Ethiopia",8.6000004,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,1.7,1.436025,0.063974701,1.7,0.69999999,0,0,9.1999998,0,0,0.30000001,0.30000001,1.2,15.2,0,0.80000001,0.2,0,0,0.60000002,0.1,1,0.5,0.30000001,0,0,0,0,0,0,0,0,0,4.0999999,0.60000002,0,0.5,0.1,0,0,0.40000001,5.8000002,1.2,0,0,0,0,0,0,9.3000002,6.5,0,0,0.40000001,0,0,0,0,0,0,0,0,0,0,0
"South Africa",224,53.700001,0,0,0,1.5,0,0,0,0.1,0,0,0.1,1.4,0,0.69999999,4.5999999,0,0,0,1.6,0.60000002,442.5,0.30000001,35.5,17.902451,0.79755121,27.799999,19.4,0.89999998,2,148,0,1,7,1,3,31.9,0,0.1,0,0,0,0.30000001,5.9000001,23,7.0999999,4,0,0,0,2.9000001,0,0,3.8,0.5,0,0.2,49,0,0.30000001,0.30000001,0,0,0.89999998,10,13.1,0,2,0,0,0,0,51.900002,0.1,17.5,0.2,16.799999,0,2.7,0,0,0,0.89999998,0,1.4,3,16.700001,2.5999999
"Morocco",24,0.69999999,15.7,0,0.1,0,0,0,0,0,0,0,0,0.40000001,0,0.69999999,5.5,0,0,0,1,0.1,11.2,0.1,8.1999998,6.6057172,0.2942836,155.39999,1.8,5,5.8000002,18.799999,0,2.0999999,2.3,0,0,11.5,0,0.60000002,0.2,0,0,2.4000001,1.2,5.1999998,0.89999998,3.0999999,0,0,0,0,0,0.2,0,0.69999999,0,0,0,0,0,0.2,0,0,0,0,0,0,7.4000001,0,0,0,0,1.2,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0
"Tunisia",6.5999999,0.1,0.2,0,0,0,0,0,0,0,0,0,0.2,0,0,0,2.3,0,0,0,0,0,7.5,0,2,1.34029,0.059709702,100.2,0.40000001,0.69999999,0.80000001,4.3000002,0.2,0.5,1,0.2,0.80000001,6.9000001,0,1.5,0.2,0.30000001,0,1,0.40000001,0.60000002,0.1,0.30000001,0,0.1,0,0,0,0,1,0,0.2,0.1,0.2,0.5,0,0.1,0.1,0,0,0,0,0,1.4,0,0,0,0,0.1,0.30000001,0,0,2.7,0,0,0,0,0,0.2,0,0,0.1,0,0
"Libya",23.6,0.5,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24.6,0.30000001,3.9000001,1.6274951,0.072504602,8.8999996,0.40000001,0,0.30000001,11,0,0,0.89999998,0,0.60000002,24.4,0,0.30000001,0.60000002,0,0,0.60000002,0.1,0.1,0,0.80000001,0,0,0,0,0.1,0.1,0.1,1.1,0,0,0,0.30000001,0,1.1,0.30000001,0,0,0,0,0,0.2,0,0,0,0,1.3,0.89999998,0.1,0,2.8,0,0,0,0,0,0,0,0,0,0,0
"Sudan",3,0.30000001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.7,0,0,0,0,0,40.799999,0,2.8,3.3507259,0.1492743,6.5999999,0.60000002,0,0,10.5,0,1.2,0.60000002,2.2,3.5999999,5.8000002,0,1.2,0.30000001,0,0.88,2.9000001,0.30000001,3,0.5,0.5,0,0,0,0,5.3000002,0.30000001,0,0,0,0,8.6000004,0,0.1,13.1,0.5,0,0,1.4,1,0,2.5999999,0,0,0,0,1.8,25.4,0.2,0,0.1,0,0,0,0,0,0,0,0,0,0.1,0
"Iran",88.699997,0.2,0.30000001,0,0,0.69999999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,76,0,11.1,11.39247,0.50753248,18.200001,7.9000001,0.2,0.1,129.60001,1.6,0.69999999,3.3,4.5,9.3000002,18,0,1.4,0,0.2,0,20.799999,1.6,9.8999996,0.5,2,0,0,0,0,0,0.80000001,0,0,0,0.1,0,0,0.89999998,0.2,1.5,0,0.60000002,0,0.2,0,0,0,0,0,0,56.900002,11.7,2.0999999,0,9.8999996,0,0,0,0,0,0,0,0,0.2,1.4,0
"Turkey",96.199997,0.40000001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.69999999,0,0,0,0.60000002,0.60000002,51.5,0,14.2,8.0417414,0.35825819,17.200001,6.6999998,1.6,0.69999999,83.800003,11.1,6,15.5,3.9000001,12.5,33.5,0,1.8,0.40000001,0.69999999,1.5,6.5999999,2.2,9.5,1.9,3.0999999,0,0,0,0.1,0,0.30000001,0,0.2,0,0,3,0,0,0.2,0.1,0,8.6000004,9.1000004,3,0,0,0,0,0,0,1.8,7.5,0.69999999,0,1.8,0,0,0,0,0,0,0,0,0,5.4000001,0
"Iraq",33.200001,2.3,0.80000001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0,100.9,0,10.8,15.22187,0.6781317,0.80000001,4.1999998,0.30000001,0.80000001,27.9,1.6,0.80000001,2.2,2.5,5.0999999,4.1999998,0,1.1,1.3,0.69999999,0.69999999,4,0.89999998,6.9000001,1.1,2.2,0,0,0,0,0.40000001,0.40000001,0,0,0,1.8,1.9,2.5999999,0,0.5,5.5,0.30000001,0,0,0.1,0,4,0,0,0,0,23.700001,5.3000002,4,0,17.9,0,2.3,0,0,0,0,0,0,0.2,8.1999998,0
"Egypt",86,1.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.5999999,0,0,2.5999999,0.2,0,44.400002,0.30000001,11.9,8.6161518,0.38384819,16.6,14.9,20.6,0.2,80.099998,25.5,7.6999998,5.3000002,9.6999998,23.200001,31.200001,0,15,3.9000001,3.5999999,12.9,77.099998,4.0999999,6.0999999,1.6,1.3,0,0,0,0,1.4,1.6,0.60000002,0.1,4,5.1999998,0.30000001,2.2,0.80000001,0,2.0999999,0.2,0,16.9,0.5,0,23.700001,0,0,0,0,8.5,15.8,1.3,0,4.6999998,0,0,0,0,0,0,0,0,1.1,0.60000002,0.30000001
"Lebanon",36,1.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,1.6,0,0,0,1.2,0,22.1,0.1,6.6999998,6.892921,0.30707851,23.299999,4.5,1.3,1.5,25.5,1.3,0.60000002,3.4000001,0,2.7,14.6,0,1.7,0.80000001,0,1.8,2.5,0,4.3000002,0.60000002,3,0,0,0,0,1,0,0,0.5,0,1,1.1,9,7.0999999,5.5,0,2.0999999,0,15.1,0.60000002,0,0,0,0,0,0,4.4000001,0.69999999,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Jordan",8.8999996,0.1,0,0,0,0,0,0,0,0,0.2,0,0,0,0,0,0.5,0,0,0,0.1,0,13.4,0,3.5999999,2.201905,0.098094501,2.0999999,0.69999999,0.30000001,0.2,13.7,2.2,1.3,1.3,0,1.1,9.3000002,0,1,0.1,0,0.47999999,0,0,1.3,0.1,0.60000002,0,0,0,0,0,0,0,0.1,0,0,0,2.0999999,0.60000002,2.0999999,4.8000002,0,0,1.5,0,0,0,0,0,0,0,4.9000001,0,0,0,1.5,0,0,0,0,0,0,0,0,0,0,0
