"","United States of America","Canada","Cuba","Haiti","Dominican Republic","Mexico","Guatemala","Honduras","El Salvador","Nicaragua","Costa Rica","Panama","Colombia","Venezuela","Ecuador","Peru","Brazil","Bolivia","Paraguay","Chile","Argentina","Uruguay","United Kingdom","Ireland","Netherlands","Belgium","Luxembourg","France","Switzerland","Spain","Portugal","German Federal Republic","German Democratic Republic","Poland","Austria","Hungary","Czechoslovakia","Italy","Albania","Yugoslavia","Greece","Bulgaria","Romania","Russia","Finland","Sweden","Norway","Denmark","Iceland","Guinea","Liberia","Ghana","Ethiopia","South Africa","Morocco","Tunisia","Libya","Sudan","Iran","Turkey","Iraq","Egypt","Lebanon","Jordan","Israel","Saudi Arabia","Yemen Arab Republic","Afghanistan","China","Mongolia","Taiwan","North Korea","South Korea","Japan","India","Pakistan","Myanmar","Sri Lanka","Nepal","Thailand","Cambodia","Laos","Vietnam","Republic of Vietnam","Malaysia","Philippines","Indonesia","Australia","New Zealand"
"India",482.79999,49.799999,0,0,0,1.2,0,0,0,0,0,0,0.1,1.2,0,0.60000002,0.40000001,0.1,0.2,1.7,0.1,0,375.20001,0.1,28.6,27.858891,1.241109,41.700001,16.799999,0.5,0.80000001,254.10001,6.5999999,9.3999996,5.6999998,5,7.8000002,56.900002,0,6.3000002,0.2,0.5,2.8,39.799999,5.5,23.1,4.3000002,4.0999999,0,0,0,1.1,0,0.1,1.5,0,0,22.4,75.699997,0,4.1999998,17.5,0.89999998,0.30000001,0,42.099998,2.4000001,12,10.2,0,0,0,0,88.599998,0,11.4,30.9,12.7,0,1.2,0,0,0,0,0,0.5,8,31.9,2.2
"Pakistan",83.699997,19.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,62.200001,0.40000001,7.5999999,8.5204163,0.37958321,7.9000001,2.3,0.1,0.30000001,38.599998,0,0.69999999,2.0999999,0,2.0999999,9.1000004,0,1.1,0,0,0,0.80000001,0.1,2.4000001,0.89999998,0.89999998,0,0,0,0,0,2.4000001,0,0,0,0.1,22.1,0,0.2,0.1,0.1,0,0,4,0,9.3000002,4.1999998,0,0,0,0,20.5,14.3,0,7.6999998,2.8,0,0.2,0,0,0,0,0,0,1.3,3.5,0
"Myanmar",9.8999996,0.80000001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0,42.799999,0.1,6.8000002,1.72323,0.076769598,2.5,1.2,0.30000001,0.30000001,9.8000002,0.80000001,0.2,0.30000001,0.1,3.9000001,1,0,2,0,0,0,3.9000001,0.30000001,1.3,0.60000002,2.8,0,0,0,0,0,1.4,0,0,0,0,1.2,0,0,0,0,0,0.30000001,0,0,0,16.4,0,0,0,0,50.5,29.700001,7,0,0.30000001,0,0.40000001,0,13.5,0,0,0,0,1,6,0.40000001
"Sri Lanka",28.9,4.1999998,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.8000002,0,0,0,0,0,104,0.5,7.1999998,5.3611612,0.2388389,6.4000001,4.3000002,0.60000002,0.1,15.6,0,1.6,0,0.1,2.5,4.3000002,0,0.1,0.1,0,0.2,0.5,0.89999998,1.7,0.69999999,0.80000001,0,0,0,0,1.7,1.1,0,0,0,0,14.6,0,0.2,2.5,0,0,0.1,0,0,0,31.5,0,0,0,0,31,51.799999,5.4000001,27.799999,0,0,1.2,0,0,0,0,0,0,0.80000001,20.299999,0
"Nepal",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Thailand",70.199997,1.9,0,0,0,0,0,0,0,0,0,1.9,0,0,0,0,0,0,0,0,0,0,43.299999,0.2,23.9,3.6379311,0.1620692,12.1,5,0.1,0.2,29.1,0,0.30000001,0.89999998,0,1.9,3.9000001,0,0.1,0.2,0,0,0.69999999,0.30000001,2.8,0.40000001,4.5999999,0,0,0,0,0,0.40000001,0,0,0,0,0.2,0,0,0,0,0,0,0.2,0,0,0,0,0,0,0.1,105.8,5.9000001,0.5,0.40000001,0.1,0,0,0.69999999,0.80000001,0,0,0,0.30000001,13.7,4.1999998,0.1
"Cambodia",4.8000002,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.80000001,0,0.5,0.19147,0.0085300002,20,0.1,0,0,1.5,0,0,0,0,0.69999999,0.30000001,0,0,0,0,0,1.1,0,0.1,0,0.1,0,0,0,0,0,0,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0,4.3000002,0,0,0,0,8.8999996,1.9,0,0,0,0,0.30000001,0,0,0,0.1,0,0,1.6,0,0
"Laos",1.7,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.5,0,0.2,0,0,1.6,3.4000001,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.3,0.1,0,0,0,0,1.4,0,0,0,0.30000001,0,0,1.9,0.1,0
"Vietnam",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Republic of Vietnam",58.5,0.40000001,2,0,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.9000001,0,1.7,0,0,40.5,0.5,0,0.1,13.2,0,0,0.80000001,0,0,5.1999998,0,1.1,0,0,0,0,0.69999999,1.3,1.3,0.69999999,0,0,0,0,0,0.1,0,0,0,0,0.60000002,0,0.1,0.2,0,0,0,0,0,0,0,0,0,0,0.1,47.700001,4,1.5,0,0,0,0.30000001,0.1,0.1,0,0,0,1.4,15.7,0.5,0
"Malaysia",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Philippines",262.29999,15.8,0,0,0,1.1,0,0,0,0,0,0.80000001,0,0,0.60000002,0,1,0,0.1,0,2.3,0.2,24.299999,0.30000001,15.2,6.7971859,0.3028135,5,3.8,0.5,0.60000002,26.799999,0,0,0.2,0,0,4.5999999,0,0.2,0,0,0,0,1,2.5,1.4,0.80000001,0,0,0,0,0,3.0999999,0,0.1,0,0,0.30000001,0,0,0.60000002,0,0,0.1,6.1999998,0,0,0,0,0,0,0,101.8,2.4000001,2.9000001,0,0.89999998,0,0.1,0,0,0,0,0,0,49.5,11.7,0.69999999
"Indonesia",75,1.9,0,0,0,0.30000001,0,0,0,0,0,0,0,0.60000002,0,0,1.1,0,0,0,0,0,31.9,0.2,32.700001,7.4673319,0.33266839,10.4,3.5999999,0,0.1,48,0,0,0,0,0,6,0,14.3,0,0,0.34999999,0,5,3.3,2.5,2.3,0,0,0,0,0,0,0,0.1,0,0,0,0,23.5,0.30000001,0,0,0,0,0,0,0,0,0,0,0,73,8,0.40000001,35.599998,0,0,7.3000002,0,0,0,0.80000001,0,0,0,7.1999998,0
"Australia",300.29999,58.959999,0,0,0,7.48,0,0,0,0,0,0,0,4.6199999,0,0.22,2.0899999,0,0,0.22,1.21,0,744.59003,0.11,43.779999,16.428129,0.73187047,30.360001,26.950001,2.75,1.98,116.49,1.65,0.44,6.5999999,0.88,5.6100001,25.41,0,0.11,0.44,0,0,1.1,8.4700003,31.57,8.0299997,4.5100002,0,0,0,5.2800002,0.11,15.73,0.11,0,0,0.66000003,44.330002,0.55000001,0.55000001,0.22,0,0,0.66000003,12.65,2.9000001,0,9.2399998,0,0,0,0,84.370003,47.189999,7.5900002,0,25.299999,0,0.66000003,0,0,0,0,0,0.44,76.559998,0,34.759998
"New Zealand",52.25,14.63,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0.80000001,0,0,0,0.1,0,0,298.87,0.1,7.48,4.4229579,0.197042,3.96,5.0599999,0.2,0.5,19.030001,0,0,0,0,0,4.5100002,0,0,0,0,0,0,0.30000001,7.1500001,2.0899999,0.89999998,0,0,0,0.69999999,0,3.3,0,0,0,0,5.1700001,0,0,0,0,0,0,0,0,0,1.1,0,0,0,0,11,13.2,0.44,0,6.8200002,0,0.1,0,0,0,0,0,0.2,6.4899998,114.4,0
