"","United States of America","Canada","Cuba","Haiti","Dominican Republic","Mexico","Guatemala","Honduras","El Salvador","Nicaragua","Costa Rica","Panama","Colombia","Venezuela","Ecuador","Peru","Brazil","Bolivia","Paraguay","Chile","Argentina","Uruguay","United Kingdom","Ireland","Netherlands","Belgium","Luxembourg","France","Switzerland","Spain","Portugal","German Federal Republic","German Democratic Republic","Poland","Austria","Hungary","Czechoslovakia","Italy","Albania","Yugoslavia","Greece","Bulgaria","Romania","Russia","Finland","Sweden","Norway","Denmark","Iceland","Liberia","Ethiopia","South Africa","Libya","Iran","Turkey","Iraq","Egypt","Syria","Lebanon","Jordan","Israel","Saudi Arabia","Yemen Arab Republic","Afghanistan","China","Mongolia","Taiwan","North Korea","South Korea","Japan","India","Pakistan","Myanmar","Sri Lanka","Nepal","Thailand","Cambodia","Laos","Vietnam","Republic of Vietnam","Philippines","Indonesia","Australia","New Zealand"
"Colombia",420.60001,17.1,0.89999998,0.1,0.1,0.89999998,0,0,0,0.1,2.5999999,7.5999999,0,1.4,6.0999999,3.5,0,0,0,0.5,0.30000001,1,28.9,0,10.9,15.13886,0.66114098,20.200001,10.2,1.4,0.30000001,64.400002,0,0,1.7,0,1.2,6.8000002,0,0,0,0,0,0,1.1,13.3,0.30000001,2,0,0,0,0.69999999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.9000001,0,0,0,0,0,0,0,0,0,0,0.89999998,0,0.80000001,0.2
"Venezuela",639.09998,38.799999,1.5,0.1,0.69999999,4.1999998,0.1,1.2,0.2,0.60000002,0.1,0.1,1.9,0,0,0,0.40000001,0,0,0,3.0999999,0,79.099998,0,23.5,21.07942,0.92057598,39.200001,16.299999,3.7,1.8,95.599998,0,0,2.4000001,0,0,29.700001,0,0,0,0,0,0,1.5,9.5,1.3,7.3000002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.6,0,0,0,0,0,0,0,0,0,0,4.0999999,0,0,0
"Ecuador",51.700001,4.73,0.1,0,0,0.11,0,0,0.22,0,0,1.1,1.21,0.11,0,3.52,0.99000001,0,0,0.99000001,0,0.11,6.1599998,0,2.8599999,5.3752532,0.2347469,1.3200001,0,0.33000001,0.11,11,0,0,0,0,0,2.0899999,0,0,0,0,0,0,0.11,1.76,0.22,0.44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.3200001,0.11,0.11,0,0.11,0,0,0,0,0,0,0,0,0,0
"Peru",150.2,6.6999998,0.30000001,0.1,0,0.60000002,0.1,0,0,2.2,0.1,0.1,0.40000001,0.89999998,0.2,0,0.1,0.1,0,3.8,14.2,3.9000001,26.6,0,9.1999998,5.7489338,0.25106621,7.8000002,7.6999998,0.5,0.5,26.700001,0,0,0.89999998,0,0.2,5,0,0.1,0,0,0,0,1.5,6.5999999,1.2,2,0,0,0,0,0,0.1,0,0,0,0,0,0,0,0,0,0,0.1,0,0,0,0,5.1999998,3.7,0.2,0,0.40000001,0,0,0,0,0,0,0.1,0.30000001,0.1,0.1
"Brazil",339.67999,13.64,0.22,0,0,0.99000001,0,0,0,0,0,0.76999998,0.55000001,102.19,0,0.76999998,0,2.2,0.22,12.54,167.09,32.009998,19.469999,0,37.400002,25.927691,1.132308,78.650002,21.23,32.450001,4.1799998,96.800003,0,11.33,6.4899998,7.1500001,23.540001,53.57,0,16.17,0.66000003,0,0,0,31.459999,35.970001,27.719999,30.139999,2.97,0,0,0,0,0,4.9499998,0,0,0,0,0,0,15.84,0,0,0,0,0,0,0,49.610001,0.22,0,0,0,0,0.66000003,0,0,0,0,0,22,0.11,0
"Bolivia",31.200001,3.5,0,0,0,0.60000002,0,0,0,0,0,0.2,0,0,0.2,5.5,1.9,0,0,0.80000001,8.3999996,1,6.0999999,0,3.4000001,2.2995739,0.1004265,1.5,1.5,0.1,0,7.9000001,0,0,0,0,0.1,0.40000001,0,0,0,0,0,0,0,2.4000001,0.2,0.69999999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.89999998,0.1,0,0,0,0,0,0,0,0,0,0,0,0.2,0
"Paraguay",5,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0,0,0,0,14.2,0.5,1.8,0,0.5,0.28744671,0.0125533,1.1,1.7,0.60000002,0,0,0,0,0.2,0,0,0.1,0,0.1,0,0,0,0,0,1.2,0,0.1,0,0,0,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0.30000001,0,0,0,0,0,0,0,0,0,0,0,0,0
"Chile",161.8,3.5999999,7.6999998,0,0,0.80000001,0,0,0.1,0,0,0.40000001,0.1,0.1,1.8,29.299999,11.1,0.5,0,0,39.799999,0.40000001,20.6,0,4.6999998,3.7368071,0.163193,7.4000001,3.4000001,6.8000002,1.2,42.200001,0,0,0.40000001,0.2,1.1,7.1999998,0,0.69999999,0,0,0,0,0.80000001,6.5999999,0.89999998,2,0,0,0,0,0,0,0,0,1.3,0,0,0,0,0,0,0,1.2,0,0,0,0,2.3,1.8,0.1,0,0.2,0,0,0,0,0,0,0,0,0,0
"Argentina",154.3,7.5999999,0.2,0,0,0.60000002,0,0,0,0,0,0,0,55.400002,4.5999999,8.1999998,110.1,2.5999999,19.700001,49,0,0,76.300003,0,37.799999,22.89992,1.00008,68,14.4,0.60000002,6.8000002,69.5,0,32.5,13.2,9.8999996,25.1,65.599998,0,5.0999999,0,0,3.5999999,39.099998,22.200001,20.200001,2.7,6,0,0,0,0.69999999,0,0,0,0,1.7,0,0,0,1.3,0,0,0,0,0,0,0,0,75.300003,23.6,3.4000001,0,0,0,0,0,0,0,0,0.30000001,0,0.1,0.2
"Uruguay",43.599998,3,0.80000001,0,0.2,0.2,0,0,0,0,0,0,0.89999998,12.3,1.1,2.0999999,38.299999,0,1.5,2.8,1.2,0,24.700001,0,8.3000002,5.9405651,0.25943509,11.2,6.0999999,0.69999999,0.1,17.6,0.2,0,0.89999998,0.69999999,1.5,9.1999998,0,0.1,0.60000002,0,0,0.1,1.6,9.1000004,0.60000002,2,0.1,0,0,0.2,0,0,0.30000001,0,0.1,0,0,0,0,4.1999998,0,0,0,0,0,0,0,1.7,3.8,0.2,0,0.40000001,0,0,0,0,0,0,0,0,0.1,0.1
"United Kingdom",1177.2,962.5,19.700001,1.1,30.799999,19.299999,1,0.80000001,2.0999999,2.3,0.60000002,1.3,5.6999998,89,0.5,35.400002,88.800003,30.6,2.9000001,65.699997,242.60001,30.200001,0,272.5,372.10001,177.3546,7.7453918,382.20001,81,122.9,50.799999,255.60001,7.0999999,82.300003,26.700001,6.5,12.1,154.89999,0,21,21.700001,1,9.8000002,175.39999,210.7,391,146.7,343.79999,3.2,0,3.4000001,250.3,0,47,24.700001,91.400002,27.1,13.7,5.4000001,0.1,21.6,8.8000002,13.4,2.5999999,34.400002,0,3.6670001,0,0.1,66.900002,445.10001,77.5,23,116.2,0,7.0999999,0.80000001,0,0,4,5.3000002,31.6,738.90002,503.79999
"Ireland",49.900002,18.9,3.3,0,0,0.5,0,0,0,0,0,0,0,0,0,1.1,3.3,0,0,0.30000001,3.3,0.69999999,301,0,14.7,10.73134,0.4686569,8.6000004,3.5999999,5.0999999,2.3,26.700001,0.1,0.1,1.4,0.1,0.69999999,5,0,0.1,1.2,0,2.8,0.89999998,9.8000002,10.2,1.6,2.2,0.40000001,0,0,1.8,0,0.1,0.30000001,0,0.2,0.1,0,0,0.89999998,0,0,0,0.2,0,0,0,0,5.0999999,16.9,1.7,0.1,2.9000001,0,0.1,0,0,0,0,0.30000001,1.4,9.8000002,2.9000001
"Netherlands",435.10001,39.099998,12.5,0.5,4.9000001,11.9,3.4000001,0.1,2.5999999,7.4000001,1.2,0.1,13.9,59.799999,1.1,7.0999999,17.299999,0.69999999,0.89999998,3.0999999,23.4,16.200001,273.39999,1.1,0,556.0177,24.28228,127.1,48.799999,14.4,5.3000002,564.5,12.2,2.0999999,30.1,2.7,22.5,33.299999,0,3.7,6.6999998,0.30000001,0.69999999,30.200001,36.099998,110.3,22.1,19.9,0.60000002,0,1.3,18.299999,0,17.6,8.3999996,6.0999999,7.6999998,7.4000001,43.700001,0,3.0999999,2.0999999,0.2,0,8.1000004,0,1.091,0,0,17.700001,13.2,4.4000001,2.7,3.0999999,0,9.5,0,0,0,0,17,98,6.1999998,9.5
"Belgium",300.66919,47.620331,0.57489341,4.982409,3.7368071,17.15099,3.066098,0.19163109,1.437233,4.2158852,0.95815557,0.19163109,9.7731876,11.49787,3.545176,10.25226,21.5585,0.67070901,2.8744669,3.353545,23.379,4.0242529,231.1071,4.7907782,360.45819,0,0,339.09131,54.614868,17.53425,10.4439,377.6091,6.1321959,4.0242529,12.74347,3.2577291,6.7070889,41.96722,0,2.2995739,2.0121269,0.47907779,1.533049,28.169781,29.319559,86.713081,19.35474,11.49787,0.095815599,0,0.57489341,41.296501,0,9.0066624,6.3238268,31.33169,5.4614868,3.2577291,23.570629,0,3.832623,6.6112738,0,0,1.820496,0,0,0,0,10.34808,23.666439,20.791981,1.341418,1.341418,0,3.2577291,0,0,0,0,4.694963,7.6652451,62.66338,13.03092
"Luxembourg",13.13076,2.0796649,0.0251066,0.2175907,0.163193,0.74901408,0.133902,0.0083689,0.0627665,0.1841152,0.041844402,0.0083689,0.4268125,0.50213242,0.1548242,0.44773471,0.94149822,0.029291101,0.1255331,0.1464553,1.021003,0.17574631,10.09286,0.2092218,15.74185,0,0,14.80872,2.385129,0.76575178,0.45610359,16.49086,0.26780391,0.17574631,0.55653012,0.1422708,0.29291049,1.832783,0,0.1004265,0.087873198,0.020922201,0.066950999,1.230224,1.2804379,3.7869151,0.84525621,0.50213242,0.0041844002,0,0.0251066,1.803492,0,0.39333701,0.27617279,1.368311,0.2385129,0.1422708,1.029371,0,0.1673775,0.28872609,0,0,0.079504304,0,0,0,0,0.45191911,1.033556,0.90802282,0.058582101,0.058582101,0,0.1422708,0,0,0,0,0.2050374,0.33475491,2.7366209,0.56908339
"France",458.5,59.900002,6.3000002,7,0.80000001,6.8000002,0.5,0.1,0.80000001,0.1,0.5,0.1,3.7,20.6,2.2,11,67.400002,0.1,0.80000001,7.5999999,37,8.8999996,183.7,1.3,138.39999,250.84509,10.95485,0,93.699997,44.5,17.1,440.10001,2.3,9.6000004,25,3.2,12.7,105.2,0,8.1000004,14.5,0.89999998,6.9000001,49.099998,44.700001,98.5,29.1,27.6,1,0,1.7,52.099998,0.1,36.200001,24.5,226.39999,38.599998,31.9,3.2,0,2.2,63.700001,0,0,12.1,0,0.477,0,0,11.6,23.799999,31.799999,1.3,6,0,0.5,0,0,0,0,1.4,12.7,174.2,54.299999
"Switzerland",194,36.200001,3.2,1.1,0.40000001,11.5,3.2,0,1.5,0.80000001,2.0999999,0,3.9000001,3.5,1.2,12.4,12.4,2.5999999,0.69999999,7.4000001,9.3000002,3.9000001,77.599998,0.2,68.300003,64.004799,2.7952039,196.8,0,14.1,3.2,350.70001,7.3000002,6.6999998,29.9,7.8000002,13.3,142.7,0,5.4000001,2.5,1.1,1.8,8.3999996,10.1,21.799999,5,16.299999,0.1,0,1.5,4,0.1,3.2,5.4000001,0,11.3,1.5,0.60000002,0,1.8,0.1,0,0,15.8,0,0,0,0,9.1000004,5.5,0.69999999,0.1,3.2,0,0.2,0,0,0,0,5.0999999,4.3000002,4.9000001,1.5
"Spain",114.6,3,12.7,0,2.0999999,0.69999999,0,0,0,0,0,0.30000001,3,8.6000004,0.89999998,0,28.799999,0,0.1,8.3000002,1,0.2,62.799999,2,20.200001,19.642191,0.85780948,67,20.6,0,1.6,62.599998,0,0,2.5999999,0,0,14.9,0,0,0.30000001,0,0,0,6.1999998,16.200001,10.6,9.8000002,2.5999999,0,0,3.5999999,0,0.40000001,3.0999999,0.2,8.1999998,0,0,0,0,52.200001,0,0,0.2,0,0,0,0,1.4,2.2,4.1999998,0,0.30000001,0,0,0,0,0,0,2.4000001,0.80000001,1.9,0.40000001
"Portugal",38.299999,2.4000001,0.1,0,0,0.1,0,0,0,0,0,0,0,2.5,0,0.5,8.1999998,0,0,1.3,0.40000001,0.1,56.200001,0.2,10.1,28.9363,1.2637,30.5,11.7,2.3,0,57.900002,0.1,0.1,3.0999999,0.30000001,0.89999998,10.4,0,0,0.40000001,0,0,0.1,0.69999999,9.6000004,3.8,1.5,2.9000001,0,0,2.5,0,1.3,0.1,15.4,1.2,0,0,0,0,6.0999999,0.40000001,0,0.1,0,0,0,0,0.2,0.60000002,3.2,0,0.1,0,0,0,0,0,0,0.1,0.2,3.2,0.2
"German Federal Republic",764,117,22,0.89999998,2,91,7,5,21,19,24,4,49,32,15,31,112,2,2,84,107,16,206,4,421,315.23318,13.7668,504,201,97,25,0,136.39999,28,166,21,28,248,0,38,45,4,11,36,86,263,83,172,3,0,1,75,0,26,67,57,32,9,2,0,2,62,1,0,46,0,1.156,0,0,22,64,32,4,19,0,5,1,0,0,1,26,86,98,36
"German Democratic Republic",5.9000001,2.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19.1,0,32.299999,12.26439,0.53560787,8.3000002,8,0,0.30000001,144.2,0,125.1,14.2,64.900002,79.699997,11.6,0,2.0999999,2.2,33.5,0,478.70001,17.200001,14.3,9,16.6,1.2,0,0,0,0,0,12.2,0,4,0,0,0,0,0,0,0,0,0,0,0,0,3.2,0.1,0,4.8000002,0,0,0,0,0,0,0,0,0,0.1,0
"Poland",3,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.9,0,0,0,31.35,2.3,45.869999,0,7.5,12.64765,0.55234557,37.84,7.0999999,0,0.1,25.959999,133.98,0,19.58,33.66,87.669998,9.2399998,0,0,0,7.6999998,13.09,344.95999,16.940001,16.610001,0,0,0,0,0,0,0,0,13.64,0,0,0,0,0,0,0,0,0,38.720001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31.02,0
"Austria",93.5,9.3000002,1.2,0.1,0.2,1.2,0.80000001,0,0,0.60000002,0.69999999,0,0.30000001,0.40000001,1,1.3,5.8000002,0,0,0.69999999,14.4,1.5,39.799999,0.1,24.299999,16.09701,0.70298529,39.799999,38.5,2,2,314.39999,11.9,24.4,0,19.4,15.2,70.599998,0,14.8,7.0999999,2.5999999,5.9000001,4.0999999,1.5,12.2,7.3000002,5,0,0,0.1,2.2,0,0.80000001,11.1,0,5.5999999,1.7,0,0,0.40000001,0,0,0,1.2,0,0,0,0,2,4.8000002,2.5999999,0.5,1.6,0,0.30000001,0,0,0,0,0,1.8,7.6999998,0.89999998
"Hungary",0.2,0.1,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0,6.1999998,0,0,0,3.0999999,1.2,15.4,0,26.9,11.40205,0.4979479,30.9,10.5,0,0.69999999,38.299999,49.5,26.6,27.6,0,56.299999,11.6,0,2.5,0,10.2,18.6,99.099998,5.6999998,8,1.2,2.0999999,0,0,0,0,0,0.89999998,9.6999998,0,12.2,0,0,0,0,0,0,0,29,0,0,0,0,0,0.2,0.1,0.60000002,0,0,0,0,0,0,0,0,8.5,1,0
"Czechoslovakia",0.66000003,2.0899999,0.60000002,0,0,0,0,0,0,0,0,0,0.40000001,0,0.1,0,23.65,0,0,0.30000001,22.879999,2.4000001,30.91,0.1,13.42,8.3263721,0.36362749,8.1400003,22,0,1.6,18.15,107.69,83.709999,10.7,18.370001,0,9.3500004,2.0899999,8.1400003,0,26.73,45.869999,401.94,9.0200005,0,0,0,0,0,0,0,0,0,22.66,0,23.1,0,1,0.60000002,0,0,0,0,66.769997,0,0,0,0,4.5,0,0.60000002,2.2,0,0,0,0,0,0,0,0,0,15.4,0
"Italy",405.5,29,1,5.3000002,1.6,5.0999999,0.40000001,0.2,1.1,0.1,0.69999999,0.30000001,2.8,11.7,3.0999999,2.2,49,0,0.2,23.1,68.599998,4.8000002,144.89999,0.89999998,66,57.776779,2.5232151,178.10001,91.699997,9.1999998,12.4,343.60001,6,6.8000002,112.4,9.6000004,10,0,0.1,39.099998,23.1,4.5,6.9000001,23.1,9.1999998,52.099998,15.3,42,4.8000002,0,13.8,43.799999,0,15.1,29.299999,150.2,20.799999,11,3.9000001,0,0.80000001,87.099998,1.3,0,4.0999999,0,0,0,0.1,5.5999999,15.8,17.799999,1.3,8.6999998,0,0.40000001,0,0,0,0,0.5,10.8,88.300003,13.9
"Albania",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.6999998,0.40000001,0,0.2,0,0,0,15.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Yugoslavia",144.2,0.1,0.80000001,0,0,0,0,0,0,0,0,0,0,0,0,0,13.5,0,0,0.60000002,2.9000001,3.2,21.4,0,13.3,8.240139,0.35986161,11,10.4,0,0,55.400002,2.2,4.1999998,19.5,2.8,7.3000002,43,0,0,5.0999999,1.3,0.69999999,14.4,0.60000002,4.0999999,0.60000002,1.5,0,0,0,0.60000002,0,0,9,6.4000001,4.6999998,0.40000001,0,0,3.2,0,0,0,0,0,0,0,0,11.7,0.40000001,2.2,0.30000001,0,0,0.1,0,0,0,0,0,0.80000001,2.4000001,0.1
"Greece",69.900002,4.0999999,5,0,0.69999999,0.40000001,0,0,0,0,0,3.7,0,0,0.1,0.40000001,5.6999998,0.1,0.1,0.40000001,0.89999998,0.60000002,42.400002,0,11.9,14.56397,0.63603431,23.700001,4.8000002,0.89999998,1.2,64.199997,1.5,0.30000001,8.8999996,1.3,2.4000001,43.799999,0,5.1999998,0,0.5,5.0999999,1.9,4,13.9,0.89999998,2.5,0.69999999,0,1.2,0.5,1,2.8,2.3,0.1,1.1,0.89999998,0.60000002,0,0.89999998,0.69999999,0,0,0.1,0,0,0,0,1.4,0.60000002,1.3,0,0.2,0,0.30000001,0,0,0,0,0,0.5,2,1.8
"Bulgaria",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.1700001,0,0.44,0.63238281,0.0276173,1.4299999,1.54,0,0,6.8200002,23.76,10.89,6.0500002,8.8000002,26.290001,1.1,0,0.66000003,0.33000001,0,11.33,97.900002,1,0,0,0,0,0,0,0,0,0,1.3200001,0.60000002,0.22,0.2,0.1,0,1.1,0,0,0,4.73,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Romania",0,0.40000001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.9000001,0,8.3999996,0,1.7,3.4493599,0.1506397,7.4000001,2.5999999,0,0.69999999,13,0,12.6,3.7,19.4,37.5,5.5999999,0,0.80000001,0.89999998,9.3000002,0,267.70001,5.1999998,0.1,0.5,0.60000002,0,0,0,0,0,0,4.1999998,0,11.6,0,0,0,0.60000002,0,0,0,0,0,0,0,0,0,0.1,0,0,0,0,0,0,0,0,0,0,0,1.1,0
"Russia",0.69999999,2.9000001,39.400002,0,0,0.40000001,0,0,0,0,0,0,0.80000001,0,0,0,2.0999999,0,0,0,31,11,78.199997,0,36.700001,16.0012,0.69880092,39.700001,4.5,0,3.9000001,26.200001,557,315.39999,39.200001,161.2,425.20001,17.9,6.0999999,19.299999,2.5999999,133.5,230.8,0,140.60001,18.700001,16.6,11,11,0,0,10.5,0,21,5.5999999,0,16.9,0,1,0,2.0999999,0,0,12,707.90002,0,0,0,0,2.0999999,4.8000002,0,18.5,0,0,0,0,0,0,0,0,4.0999999,0.30000001,4.5
"Finland",44.599998,2.5999999,4,0,0,1,0.1,0,0.1,0,0.1,0,2.0999999,0.1,0.1,0.2,32,0,0,1,23.299999,1.2,131.5,0.40000001,27.700001,21.75013,0.94986713,43.799999,7.6999998,6.5999999,0.30000001,68.599998,22.799999,39.299999,3.3,6.8000002,20.700001,8.3000002,0,0.89999998,3.3,0.60000002,26.799999,87,0,36,15.6,27.5,2.8,0,0,1.3,0,0,4,0.1,3.5999999,0.1,0,0,7.3000002,0,0,0,4.0999999,0,0,0,0,0.89999998,1.1,0.2,0,1,0,0.1,0,0,0,0,0.1,1,4.4000001,3
"Sweden",195.2,8.5,6.1999998,0.40000001,0.2,9.3000002,5.0999999,0.69999999,1.2,0.60000002,0.5,0.30000001,15.1,27.200001,4,2.9000001,52.599998,0,0.2,6.3000002,5.1999998,3.9000001,273,0.5,141.2,92.749474,4.0505352,96.900002,42.299999,16.1,8.1999998,436.70001,13.8,23.5,11.5,3.8,7,56.299999,0,1.7,1.6,0.1,5,31.9,12.4,0,63.700001,73.5,2.4000001,0,0.89999998,9.5,0,8.1999998,4.3000002,3.5999999,1.9,0.5,0.40000001,0,3.0999999,14.4,0.60000002,0,2.3,0,0,0,0.1,14.2,4.9000001,2.7,0.60000002,2.5,0,1.1,0,0,0,0,7.8000002,7.6999998,11,3
"Norway",93.400002,44,0.5,0.60000002,0.30000001,1.5,0,0,0,0,0,9,1.2,5.6999998,0.30000001,0.30000001,25,0,0.30000001,0.2,2.2,0.89999998,221,0.1,58.200001,37.847149,1.6528521,38.099998,11.5,13.2,3.2,152.10001,7.3000002,3.3,3.7,1.1,9,13.8,0,0.2,0.5,0.1,0.80000001,17.6,11.9,176.39999,0,41.299999,1.8,0,1,1.7,0,0.80000001,1,0,1,0,0,0,2.8,0,0,0,1.9,0,0,0,0,2.8,2.5,0.80000001,0.2,0.40000001,0,0.5,0,0,0,0,5.9000001,2.3,2.0999999,0.40000001
"Denmark",91.900002,2.0999999,0.2,0.1,0,0.69999999,0,0,0.1,0,0,1.5,0.89999998,3.7,0.1,3.2,31.700001,0,0.1,0.69999999,12.7,4.5,293.20001,0.1,73.800003,58.255859,2.544137,63.900002,19.6,8.3999996,4.0999999,227.3,15.2,12.4,5.1999998,2,5.4000001,18,0,0.89999998,0.40000001,0,0.2,8.3999996,25.1,104.5,38.700001,0,1,0,0,0.80000001,0,0.60000002,0.69999999,0.40000001,1,1.6,0.89999998,0,1.8,0,0.40000001,0,0.2,0,0,0,0,5.5999999,2.5999999,0.40000001,0.2,0.60000002,0,1.3,0,0,0,0,7.0999999,0.69999999,0.80000001,0.40000001
"Iceland",17.700001,0.2,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,1.6,0,0,0,0,0.1,8.3999996,0,3.5,1.1497869,0.050213199,0.80000001,0.30000001,2.2,0,7.8000002,1.6,1.7,0.1,0.1,3.2,1.2,0,0,0.1,0,0,10.6,2.5999999,3.4000001,1.8,4.6999998,0,0,0,0,0,0,0,0,0,0,0,0,0.80000001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0,0
"Liberia",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
