"","United States of America","Canada","Bahamas","Cuba","Haiti","Dominican Republic","Jamaica","Trinidad and Tobago","Barbados","Dominica","Grenada","St. Lucia","St. Vincent and the Grenadines","Mexico","Guatemala","Honduras","El Salvador","Nicaragua","Costa Rica","Panama","Colombia","Venezuela","Guyana","Suriname","Ecuador","Peru","Brazil","Bolivia","Paraguay","Chile","Argentina","Uruguay","United Kingdom","Ireland","Netherlands","Belgium","Luxembourg","France","Switzerland","Spain","Portugal","German Federal Republic","German Democratic Republic","Poland","Austria","Hungary","Czechoslovakia","Italy","Malta","Albania","Yugoslavia","Greece","Cyprus","Bulgaria","Romania","Russia","Finland","Sweden","Norway","Denmark","Iceland","Cape Verde","Sao Tome and Principe","Guinea-Bissau","Equatorial Guinea","Gambia","Mali","Senegal","Benin","Mauritania","Niger","Ivory Coast","Guinea","Burkina Faso","Liberia","Sierra Leone","Ghana","Togo","Cameroon","Nigeria","Gabon","Central African Republic","Chad","Congo","Democratic Republic of the Congo","Uganda","Kenya","Tanzania","Burundi","Rwanda","Somalia","Djibouti","Ethiopia","Angola","Mozambique","Zambia","Zimbabwe","Malawi","South Africa","Lesotho","Botswana","Swaziland","Madagascar","Comoros","Mauritius","Seychelles","Morocco","Algeria","Tunisia","Libya","Sudan","Iran","Turkey","Iraq","Egypt","Syria","Lebanon","Jordan","Israel","Saudi Arabia","Yemen Arab Republic","Yemen People's Republic","Kuwait","Bahrain","Qatar","United Arab Emirates","Oman","Afghanistan","China","Mongolia","Taiwan","North Korea","South Korea","Japan","India","Bhutan","Pakistan","Bangladesh","Myanmar","Sri Lanka","Maldives","Nepal","Thailand","Cambodia","Laos","Vietnam","Malaysia","Singapore","Philippines","Indonesia","Australia","Papua New Guinea","New Zealand","Solomon Islands","Fiji","Samoa"
"German Federal Republic",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,607.71,27.1931,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"German Democratic Republic",319,21.9,0,0,0,0.03,0.008,0.15,0.015,0,0.024,0,9.014,3.9,0,0.357,0,0.006,0.259,0.053,1.34,0,0.163,0,10.58,57.09,31.295,0,9,6.1,39.44,3.624,113.8,10.87,72.2,36.181,1.619,144.4,13.5,13.61,5.26,0,0,309.01,51.4,0.85,0,1.7,0.01,0,72.59,20.85,1.544,0,196.56,0,27.89,27.6,16.76,0.27,1.561,0,0,3.779,0,0.862,0.524,2.416,1.655,0,1.273,0,0,9.809,9.07,9,0.468,0.182,1.909,13.2,0.93,0.011,0,0.2336,0.2,0,0.009,0.294,0.633,0,0,0,17.386,0,0,1.986,0,9,0,0,0,0,1.168,0,1.114,9,3.9,42.35,3.49,10.9,11.845,24,21.43,0,8.13,43.59,0,3.32,0,8.8,1.795,0,9.6,0.25,9,3.8,9.18,0,0.3,0,0,0,1.8,238.1,12.46,0,3.56,2.27,0.398,0.081,0,0,4.63,0,0,0,16.83,3.57,0.62,1.4,3.07,9,2.06,0,0.114,9
"Poland",366.96,130.67,0,21.91,0.821,0.08,1.013,0.45,0.376,0,0.322,0,9.019,22.5,0,0.075,0.027,0.013,1.07,1.068,23.59,7.2,0,0,28.63,18.3,361.224,0,9,0,45.5,3.936,348.1,59.79,150.43,75.76,3.39,157.99,276.05,68.15,9.16,0,309.01,0,445.29,197.31,43.98,74.81,4.08,2.11,69.69,3.92,2.426,37.33,42.84,303.1299,167.4,107.24,48.59,151.84,5.037,0,9,9,9,2.732,0.562,0.383,0.27,0,0.133,2.43,0,10.612,2.591,0,8.656,9.085,3.002,77.1,7.988,0.044,9,0.2571,0,0,0.665,0.155,0.076,0.038,0,0,1.889,13.22,0,0.1509,0,0,0,0,0,0,0.21,0,0.018,0,22.71,38.42,12.48,53.38,0.712,62.41,8.05,184.12,7.28,27.08,24.7,12.46,0,35.5,11.707,0,27.4,1.24,10.46,13.4,9.1,0,54.59,0,0,9.19,0.8,237.38,15.81,0,4.61,2.31,0.167,13.987,0,0,13.63,0,0,22.69,7.68,24.84,6.26,1.01,121.24,0,14.87,0,0.127,9
"Austria",253.6,14.6,0.48,0.3,0.088,0.15,0.116,1.84,0.089,0,0,0,0.005,4.8,12.028,12.382,18.709,12.388,15.383,7.697,30.13,1.7,0.267,0.072,12.7,4.13,108.345,2.5,4.268,26.3,32.69,4.144,145.4,2.41,161.4,226.9449,10.1551,283.6,123.3,23.18,4.72,0,51.4,445.29,0,214.16,102.5,363.4,4.77,0.8,277.09,47.97,12.652,56.3,231.84,259,49.62,38.6,95.05,84.09,2.351,0,0,0.08,0,3.3,0.128,3.9,2.157,0,0.446,0.03,2.2,0.343,12.167,0.8,5.126,2.838,11.116,5.6,0.406,0.047,0,0.1979,3.4,0.387,5.9,1.453,0.864,0.575,0.8,0.4,1.834,2.4,0,2.4164,0,1.852,24.8,0,9,9,0.804,0,0.975,0.1,6.69,2.9,71.24,85,0.844,82.4,46.3,337.7,59.35,54.53,43.3,14.73,11.4,11.9,7.97,0.3,8.6,3.64,4.13,25.9,1.61,0.7,45.7,0.9,36.6,5.2,43.6,248.4,10.17,0,5.72,0.39,0.622,2.284,0,0,1.26,0,9,21.5,42.68,11.01,12.19,3.8,9.63,1,0.39,0,0.149,0
"Hungary",40.45,16.95,0.08,0.72,0.266,0.03,0.003,0.23,0.212,0,9.035,0,9.041,2.1,0,0.437,0.159,0.025,1.282,0.148,5,1.3,0,0.265,32.15,12.41,183.931,0,9,0,7.46,1.017,56.71,1.13,15.84,51.4,2.3,36.8,44.88,0.1,2.63,0,0.85,197.31,214.16,0,97.31,84.2,1.37,0.72,53.19,23.93,3.698,14.88,150.81,321.76,13.33,23.76,3.63,4.38,1.719,0,0,0,0,2.622,0,0.187,9.736,0,0.343,9.72,5.35,9,1.534,0,0.012,0.9,0.249,4.88,0.062,0.032,0,0.0395,0,5.817,0.841,0.183,2.947,0.158,0,0,2.156,0,0,0.0727,0,9,0,0,0,0,10.093,9,0.587,0,1.4,34.24,14.86,36.85,10.101,12.95,29.83,22.41,13.48,35.08,30.28,7.66,5.46,43.7,9.018,0,18.24,0.26,9,3.5,0.05,0,19.25,1.51,0,6.77,3.3,55.03,11.54,0,5.19,1.02,0.039,2.924,0,0,3.62,0,0,20.38,22.56,3.05,0.68,1,44.29,9,0.31,0,0.12,9
"Czechoslovakia",222.2,32.4,0,0,0.706,0.19,0.045,10.7,9.573,0,0.077,0,9.028,21.8,1.475,1.622,0.086,0.076,0.731,1.207,0.33,8.6,0.075,0.254,3.88,16.74,62.622,0,9,0,2.31,4.18,48.5,14.11,43,9.2845,0.4155,15.4,16.1,0.21,10.21,0,0,43.98,102.5,97.31,0,78.8,0.49,0,154.14,9.25,8.38,0,88.68,0,24.89,2.9,17.16,28.86,2.824,0,0,0.001,0,0.983,0.113,1.347,10.206,0,0.764,0,0,9,0,0,1.634,9.911,1.341,21.3,0.594,0.047,0,0.1156,0,0,4.619,0.295,0.481,0.162,0,0,2.696,0,0,3.6273,0,9.212,0,0,0,0,0.901,0,0.157,9,1.15,26.27,10.83,9.5,0.159,73,25.01,0,11.85,30.02,0,12.05,4.2,60.7,3.058,0,20.1,0.41,9,11.6,9.68,3.483,49,0,0,0,5.2,20.9,1.37,0,1.13,1.08,8.622,0.694,0,0,10.67,0,0,0,25.28,1.19,3.97,8.2,6.03,9,5.98,0,0.551,9
"Italy",105.8999,149.9,3.82,10.8,10.906,8.71,2.226,4.68,3.69,0,0.317,0,0.353,142,45.208,12.78,2.265,32.847,16.623,31.525,18.25,107.4,5.359,3.449,38.23,96.63,403.709,4.51,102.092,125.7,329.06,16.451,2114,111.91,809.8001,306.582,13.7186,107.4,256.7,324.37,104.45,0,1.7,74.81,363.4,84.2,78.8,0,150.04,10.7,293.5,337.8,108.176,74.9,34.44,848.1,14.64,115.5,78.7,101.23,17.346,0,1,4.478,1,7.098,3.579,18.367,1.545,28.7,38.897,273.99,24.1,0.737,70.151,6.7,11.838,0.106,26.829,128.2,8.032,7.158,1,121.161,112.9,16.619,12.366,12.642,1.937,2.265,105.9,8.8,9.64,44.5,6.6,97.7945,0,4.581,1353.9,0.1,16.5,16.4,9.191,3.8,11.459,1,86.04,524.99,38.99,1186.4,43.284,135.6,174.14,2210.8001,753.17,29.48,335.1,123.35,131.3,2271.8,80.988,24.7,1218.9,50.05,42.85,31.1,26.86,8.4,87.3,2.2,124.1,0.8,48.9,98.4,103.42,0,65.48,45.81,0.905,14.947,0.4,10.2,15.52,2.2,1.9,51.9,196.31,90.23,9.76,257.9,56.58,1.3,85.38,0,1.963,0
"Malta",37.89,2,0.09,0.05,0,0,0.129,0,0.001,0,0,0,0,0.01,0.02,0,0.004,1.06,0.036,0,0.11,0,0.05,0,0.96,0.12,2.954,0,0.01,0.08,5.47,0.003,47.95,0.11,7.17,0.3063,0.0137,25.83,0.36,11.27,0.05,0,0.01,4.08,4.77,1.37,0.49,150.04,0,9,0.15,3.22,1.645,0.25,1.79,2.41,0.53,2.74,0.4,12.33,0.046,0,0,0,0,0,0,0.066,0,0,0,1.2,9,0,0.001,0.3,1.839,0,1.023,1.24,0.01,0.001,0,0.0047,0,0,0.02,0.02,0,0,0.07,0,0.001,0,0.01,0.0209,0,0.08,2.91,0,0,9,0.01,0,0.041,0,0,1.53,0.01,25.96,0.495,0.04,2.69,0.03,2.3,0.07,0.43,0.17,2.59,2.99,0.083,1.16,0.82,0.26,0.12,1.5,0.08,0.38,5.48,0,3.28,9.02,0.43,21.68,1.72,0,1.2,0,0.03,0.297,0.03,0,0.05,0,0,9.06,0.01,1.93,1.04,5.41,5.08,0,6.57,0,0,0
"Albania",0.6,9.1,0,0,0,9,0,0,0,0,0,0,0,0,9,0,0,9,0.429,9,0.01,9,0,0,9,0,9.85,0,0,0,9.57,0,1.4,0,0.7,0.2872,0.0128,1.7,0.7,4.44,0.16,0,0,2.11,0.8,0.72,0,10.7,9,0,2.14,4.34,9,0,7.06,0,0.46,15.7,0.88,0.05,0,0,0,0,0,0,0,9.001,9,0,0.002,9,0,0,9,0,0,0,0.047,9,0,0,0,0,0,0,0,0,9,9,0,0,0,0,0,0.0009,0,0,0,0,0,0,0,0,9,0,0,2.73,0,11.4,0,9,2.98,0,0.72,0,0,0,0,4.9,9,0,0,9.01,9,0,0,0,0,0,0,0,0,1.6,9,0,0,0,0,0,0,0,0,0,0,0,0.1,9.03,0,0,0.01,9,9,0,0,0
"Yugoslavia",630.79,22.81,0,2.85,0.004,0.13,2.988,0.1,0.074,0,0,9,9.031,37.05,18.757,2.173,17.83,0.267,1.145,3.963,17.21,1.32,0.003,0.003,65.49,71.01,35.761,3.83,5.957,25.99,4.07,5.695,227.49,11.98,75.74,65.4704,2.9296,401.77,56.31,31.25,2.95,0,72.59,69.69,277.09,53.19,154.14,293.5,0.15,2.14,0,59.09,0.548,53.32,21.36,392.08,4.54,160.82,27.74,56.25,10.09,0,0,0.002,0,0.703,0.045,3.162,0.04,1.23,0.043,6.01,1.56,0.07,1.979,0.04,3.962,25.62,22.859,90.84,7.095,1.299,0,0.0987,0.52,2.87,4.17,0.929,0.619,7.615,5.45,0,15.087,33.31,0.95,23.1982,0,0.07,0,0,11.06,0.99,3.081,0,0.077,0,3.14,42.16,7.12,65.4,39.918,37.46,30.36,609.75,20.47,9.7,22.16,8.46,7.6,31.58,0.81,0.66,21.69,0.36,1.91,6.8,1,1.51,4.95,0.34,0,3.56,3.22,104.44,61.15,0,17.83,2.57,0.245,1.557,0,0.02,2.66,0,0.07,1.05,17.62,22.21,1.09,19.63,79.18,0.06,12.86,9,0.012,0
