"","United States of America","Canada","Bahamas","Cuba","Haiti","Dominican Republic","Jamaica","Trinidad and Tobago","Barbados","Dominica","Grenada","St. Lucia","St. Vincent and the Grenadines","Antigua & Barbuda","Mexico","Belize","Guatemala","Honduras","El Salvador","Nicaragua","Costa Rica","Panama","Colombia","Venezuela","Guyana","Suriname","Ecuador","Peru","Brazil","Bolivia","Paraguay","Chile","Argentina","Uruguay","United Kingdom","Ireland","Netherlands","Belgium","Luxembourg","France","Switzerland","Spain","Portugal","German Federal Republic","German Democratic Republic","Poland","Austria","Hungary","Czechoslovakia","Italy","Malta","Albania","Yugoslavia","Greece","Cyprus","Bulgaria","Romania","Russia","Finland","Sweden","Norway","Denmark","Iceland","Cape Verde","Sao Tome and Principe","Guinea-Bissau","Equatorial Guinea","Gambia","Mali","Senegal","Benin","Mauritania","Niger","Ivory Coast","Guinea","Burkina Faso","Liberia","Sierra Leone","Ghana","Togo","Cameroon","Nigeria","Gabon","Central African Republic","Chad","Congo","Democratic Republic of the Congo","Uganda","Kenya","Tanzania","Burundi","Rwanda","Somalia","Djibouti","Ethiopia","Angola","Mozambique","Zambia","Zimbabwe","Malawi","South Africa","Lesotho","Botswana","Swaziland","Madagascar","Comoros","Mauritius","Seychelles","Morocco","Algeria","Tunisia","Libya","Sudan","Iran","Turkey","Iraq","Egypt","Syria","Lebanon","Jordan","Israel","Saudi Arabia","Yemen Arab Republic","Yemen People's Republic","Kuwait","Bahrain","Qatar","United Arab Emirates","Oman","Afghanistan","China","Mongolia","Taiwan","North Korea","South Korea","Japan","India","Bhutan","Pakistan","Bangladesh","Myanmar","Sri Lanka","Maldives","Nepal","Thailand","Cambodia","Laos","Vietnam","Malaysia","Singapore","Philippines","Indonesia","Australia","Papua New Guinea","New Zealand","Vanuatu","Solomon Islands","Fiji","Samoa"
"United States of America",0,46791.699,1085.8,1.6,325.60001,668.79999,323.20001,1666.8,109.2,1.502,0.43200001,0,2.8833334,0,15770.3,38.400002,364.60001,425.60001,333.10001,98.199997,420.5,289.39999,882.90002,4956.5,103,67.699997,1226.9,1150.1,4643.2002,113.4,41.200001,729.09998,1222.3,264.89999,13541.1,582.20001,2651.6001,2388.905,112.8951,5815.1001,2394,1639,308.20001,0,58.799999,229.10001,515,145.39999,67.599998,5655.7998,15,3.2,391.60001,260.20001,4.3000002,30.9,380.20001,247.10001,447.10001,2091.8,2047.2,955.90002,196.39999,0,0,0,0,0.1,1.2,1.3,1.5,0.40000001,0.69999999,325.70001,165.39999,0.1,114.6,37.200001,370.60001,10.7,821.70001,7273.6001,635.20001,5.0999999,0.1,675.79999,423.89999,166.8,76.699997,31.799999,44.299999,35,1,0.1,109.9,723.90002,56.400002,30.6,86.900002,33.5,2047.6,0,18.799999,29.299999,66,5.6999998,33.299999,32.099998,51.299999,2791.8999,61.799999,533.20001,17.299999,611.79999,290.10001,41.599998,568.90002,10.7,19.700001,6.8000002,1208.8,7860.2998,0.5,0.69999999,42.799999,32.400002,110.3,2138.8999,351.79999,12.4,2502.3999,2.8,9586.7998,0,6011.3999,39931.301,1522.2,0,180.7,88,17.9,194.5,0,2,956.20001,0,1.6,0,1958.7,2273.8,1955.5,4508.5,2551.8999,19.299999,869.79999,5.8249998,0.54000002,27.097,3.2
"Canada",42371.699,0,67.199997,84.699997,7.8000002,16.4,111.8,16.200001,6.0999999,0.338,0.42399999,0,0.11666667,0,886.5,5,20.5,25.1,18.5,23.799999,28.4,16.299999,82.099998,1618.2,21.4,6.5,45.400002,29.6,428.79999,6.9000001,0.69999999,107.7,52.099998,9.6000004,1687.5,114.9,248.8,224.3,10.59999,786.29999,383.5,169.60001,39.200001,0,8.3000002,38.900002,81.800003,22.700001,54.400002,644.79999,2.5,0,21.299999,27.299999,0.1,4.0999999,27.200001,38.200001,86.099998,327.70001,81.800003,115.3,4.3000002,0,0,0,0,0,0,0.109,0,0,0.0040000002,11,21.1,0.015,2.277,0,4,0.1,0.1,56.599998,6.6999998,0,0,0.2181951,13.1,0.89999998,12.4,2.4000001,0.0070000002,0,0.30000001,0,2.0999999,0,0.89999998,1.7,2.5999999,0.80000001,195,0,0,0,0.1,0,2.4000001,0,13.9,230.39999,0.30000001,20.1,0.69999999,102.9,10.3,0.5,2,0.1,0.2,0.1,35.599998,613.90002,0,0,0.60000002,0.89999998,0,30.799999,0,0.30000001,181.8,0,590.40002,0,522.5,3149,81,0,14.3,4.4000001,0.21558431,14.9,0,0,30.200001,0,0,0,79.699997,146.39999,73.400002,26.9,386.70001,0.23899999,124.8,0,0,6.9000001,0
"Bahamas",648.66998,26.51,0,0,0.28850487,0.352,1.1418,2.3099999,0.91409999,0.011,0,0,0,0,14.96,0.31130001,0,0,0,0,0.31900001,0.1089,8.3710003,0,0.0198,0,0,0.25299999,33.264,0,0,0,0.85799998,0.24420001,49.610001,4.6420002,9.6800003,4.7266278,0.2233714,81.290001,21.559999,0.99000001,0.56099999,0,0,0,0.22,0,0,3.1900001,0,0,0,0.132,0,0,0,0,0.011,3.6300001,0,20.548,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0011,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,141.55313,0,0,0,0,18.788,0,0,0,0,50.27,0,0,0,0,16.980579,139.03999,0,0,0.11,0,1.1,0,0.1,68.75,0.093071148,0,0,0,0,0.0022,0,0,0.055,0,0,0,0.055,0,0.121,272.25,17.864,0,1.243,0,0,0,0
"Cuba",0.99000001,289.85001,0,0,0,34.375,0.1716,0,0.084700003,0,0.0451,0,0,0,28.82,0,0,0,0,1.3992,0.0363,0.50269997,4.895,22,0.0132,0,0,0,0,0,0,0,52.712002,0,125.73,27.917999,65.669998,16.17557,0.76442683,62.040001,19.360001,120.736,4.5539999,0,0,58.112999,7.04,77.924004,118.21331,42.459999,0,0,7.1279998,0,0,0,165.06599,0,2.97,22.549999,1.4299999,6.6659999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.092,0.23100001,0,0,0,0,0.30000001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,128.81,0,0,0,0,138.82001,0.12797283,0,0,0,0,0.0253,0,0,7.0180001,0,0,0,0.176,2.596,0,0,0.53899997,0,0,0,0,0,0
"Haiti",328.45999,20.9,0.352,0,0,5.6430001,0.96359998,26.631001,0.40149999,0,0,0,0.0011111111,0,0.11,0.0022,0.34979999,0.0033,0.0583,0,1.3673,0.033,0.59399998,0,0,0,0,0.37400001,4.6750002,0,0,0,0.29699999,0,7.2600002,0.25299999,10.01,3.7813029,0.1786972,15.4,2.97,1.067,0.11,0,0,0,0.88,0,0.81035,7.48,0,0,0.176,0.022,0,0,0,0,0.23100001,1.65,2.3759999,0.78100002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2101,0,0,0,0,0,0,0,0.0055,0,0,0,0,0,0,0,0,0,0,0,0,0,0.11,0,0,0,0,0,0,0,0,0,0,0,7.6999998,0,4.4000001,28.16,0,0,0.022,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.88,0,0,0,0
"Dominican Republic",534.70001,35.700001,0.02,0.0099999998,2.6600001,0,1.85,1.13,0,0,0,0,0,0,187.74001,0.88999999,8.0699997,2.74,1.72,0,2.1099999,12.57,4.2399998,243.14,0,0.66000003,0.0099999998,0.15000001,16.49,0,0.11,4.9299998,1.12,0.059999999,15.78,0.23,9.5699997,10.32219,0.48780721,15.23,4.7800002,51.189999,0.33000001,0,0.090000004,0.02,0.63,0.059999999,0.050000001,11.56,0,0,0.18000001,0.0099999998,0,0,0,0,0.85000002,1.98,2.6500001,3.04,0.039999999,0,0.0099999998,0,0,0,0,0,0,0,0,0,0,0,0.0099999998,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.77,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0,0,0,0.18000001,0,0,0,0,0,0,0,0,0,0.050000001,0.0099999998,15.92,0.029999999,5.0500002,70.769997,0.090000004,0,0.02,0.33000001,0,0,0,0,0.090000004,0,0,0,0.0099999998,0.33000001,0.059999999,0,0.12,0,0.64999998,0,0,0,0
"Jamaica",490.00101,60.561001,0.048999999,2.6129999,0.064000003,0.94,0,58.118999,9.2320004,8.9259996,0.354,4.914,0.061999999,0.67699999,7.125,2.1559999,0.57800001,1.563,0.003,0,0.52200001,1.188,0.69099998,198.35001,6.6259999,0,0,0.093999997,20.497999,0.0020000001,0,0.102,1.4960001,0.0040000002,107.691,1.127,16.309999,4.115509,0.1944911,14.322,4.0710001,0.949,0.58399999,0,2.642,0.043000001,0.69400001,0.34599999,0.0080000004,7.7579999,0,0,0.0070000002,0.27500001,0.017999999,0,0.013,0.25299999,0.23,6.0440001,10.461,2.29,0.012,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0089999996,0,0,0.0040000002,0,0,0.077,0.097999997,0,0,0.001,0,0.0060000001,0,0,0,0.037,0,0,0,0.116,0,0,0,0.124,0,0,0,0.012,0,0,0,0.016000001,0,0,0.398,0,0.0020000001,0.58700001,0,0,0,0,0,0,0,0,0.017000001,0.86500001,0,4.8660002,0,5.1240001,55.646999,0.373,0,0.041999999,0,0,0.055,0,0,3.3729999,0.001,0,0,0.396,0.616,0.736,0.278,5.6880002,0.017000001,7.1529999,0,0,0,0
"Trinidad and Tobago",1257.98,133.28,0.22,0.18000001,0.56999999,4.0900002,58.41,0,44.639999,1.249,3.97,0,10.033704,0,10.14,8.7200003,0.56999999,23.639999,0.11,0.02,1.8,1.9400001,30.26,13.21,32.549999,1.8,57.060001,1.25,38.75,0,0,0.1,11.3,0.029999999,301.76001,3.23,30.85,17.03496,0.8050397,47.630001,6.04,8.3599997,2.3699999,0,0.79000002,0.37,10.74,0.43000001,1.64,84.57,0.17,0,0.31,0.63,0,0,0.22,0.63999999,1.95,10.04,5.5999999,12.34,0,0,0,0,0,0,0,0,0,0,0,0.07,0,0,70.150002,0.2,0.029999999,0,0,0,0,0,0,0,0,0,0.20999999,0.050000001,0,0,0,0,0,0,0.16,0.02,0.0020000001,0,0,0,0,0.0099999998,0,0,0,0,1.04,0,0,0.050000001,0,0,0.85000002,0,68.32,0,0,0,0.30000001,428.82999,0,0,0,0.0099999998,0,0.1,0,0,11.78,0,44.93,2.78,18.07,264.26999,4.3000002,0,0.079999998,0.029999999,0,0.11,0,0,0.55000001,0,0,0,0.91000003,5.4699998,0.64999998,212.52,28.43,0,19.549999,0,0,0,0
"Barbados",211.91901,33.775002,0.088,2.8800001,0.146,0.89200002,12.643,58.049999,0,0.44600001,0.39199999,0,1.6140741,0,0.55800003,0.245,0.71100003,1.75,0.0049999999,0.0020000001,0.331,0.178,1.38,31.031,3.1500001,0.40099999,0,0.081,6.434,0,0,0.016000001,0.90399998,0.25999999,53.485001,0.92400002,5.2670002,3.7526569,0.1773434,4.2490001,3.3659999,1.226,0.27000001,0,0.016000001,0.847,5.1199999,0.041000001,0.36300001,4.0869999,0.02,0.046,0.027000001,0.066,0.0040000002,0.001,0.034000002,0.30700001,0.050000001,19.219999,2.4760001,1.521,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.011,0,0,0,0,0,0,0,0.0040000002,0,0.054000001,0.011,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.003,0,0,0,0.214,0,0.001,0.001,0.001,0.0060000001,0.0020000001,0.0070000002,0,0,0.001,0,0.182,0,0,0,0,0,0,0,0,0,0.97399998,0,4.7360001,0.001,1.373,18.448,0.69199997,0,0.0020000001,0.023,0.016000001,0.131,0,0,0.324,0,0,0,0.32100001,0.215,1.52,0.30700001,6.3460002,0,5.5549998,0,0,0,0
"Dominica",14.904,1.9529999,0.022,0,0.001,1.26,0.94999999,3.839,1.3609999,0,0.273,2.7880001,1.762,1.201,0.0089999996,0.030999999,0.001,0.104,0.001,0,0.048,0.003,0.0020000001,0.050999999,0.53399998,0.88,0,0.0099999998,0.066,0,0,0,0.0020000001,0,7.8930001,0.0060000001,0.83999997,0.0668412,0.0031588001,0.229,0.22400001,0.016000001,0.001,0,0.0080000004,0.0020000001,0.041999999,0.0020000001,0.028000001,0.14,0,0,0,0,0,0,0.0070000002,0.023,0.1,0.041999999,0.012,0.35100001,0,0,0,0,0,0,0,0,0,0,0,0.001,0,0,0,0,0.001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.109,0,0,0,0,0.001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.017000001,0,0,0,0,0,0,0,0,0,0.273,0,0.155,0.0020000001,0.0080000004,2.0220001,0.012,0,0,0,0,0.0049999999,0,0,0.0099999998,0,0,0,0.02,0.015,0,0,0.030999999,0,0.071000002,0,0,0,0
