"","United States of America","Canada","Cuba","Haiti","Dominican Republic","Jamaica","Trinidad and Tobago","Barbados","Mexico","Guatemala","Honduras","El Salvador","Nicaragua","Costa Rica","Panama","Colombia","Venezuela","Guyana","Ecuador","Peru","Brazil","Bolivia","Paraguay","Chile","Argentina","Uruguay","United Kingdom","Ireland","Netherlands","Belgium","Luxembourg","France","Switzerland","Spain","Portugal","German Federal Republic","German Democratic Republic","Poland","Austria","Hungary","Czechoslovakia","Italy","Malta","Albania","Yugoslavia","Greece","Cyprus","Bulgaria","Romania","Russia","Finland","Sweden","Norway","Denmark","Iceland","Gambia","Mali","Senegal","Benin","Mauritania","Niger","Ivory Coast","Guinea","Burkina Faso","Liberia","Sierra Leone","Ghana","Togo","Cameroon","Nigeria","Gabon","Central African Republic","Chad","Congo","Democratic Republic of the Congo","Uganda","Kenya","Tanzania","Burundi","Rwanda","Somalia","Ethiopia","Zambia","Zimbabwe","Malawi","South Africa","Lesotho","Botswana","Madagascar","Morocco","Algeria","Tunisia","Libya","Sudan","Iran","Turkey","Iraq","Egypt","Syria","Lebanon","Jordan","Israel","Saudi Arabia","Yemen Arab Republic","Yemen People's Republic","Kuwait","Afghanistan","China","Mongolia","Taiwan","North Korea","South Korea","Japan","India","Pakistan","Myanmar","Sri Lanka","Maldives","Nepal","Thailand","Cambodia","Laos","Vietnam","Republic of Vietnam","Malaysia","Singapore","Philippines","Indonesia","Australia","New Zealand"
"Brazil",629.53003,20.129999,0,0.0089999996,0,0,3.74,0,19.799999,0,0,0,0,0,3.1900001,1.3200001,60.060001,0.2,0.33000001,7.48,0,0.44,0.88,17.709999,135.63,5.8299999,63.689999,0.33000001,28.709999,30.81735,1.412653,48.509998,31.790001,22.99,9.0200005,0,17.49,15.84,12.98,6.71,11.33,57.09,0,0,4.0700002,0.44,0,11.22,6.8200002,18.15,15.51,42.02,20.9,15.51,0.88,0,0,0.0080000004,0,0,0,0,0,0,0,0,0.33000001,0,0,10.12,0,0,0,0,1.3200001,0,0,0,0,0,0,0,7.6999998,0,0,1.1,0,0,0,0.76999998,2.0899999,0,0,0,0.99000001,0.55000001,34.759998,0,0,0.050000001,0,1.87,78.209999,0,0,12.65,0,0,0,0,0,0,55.880001,1.1,0,0,0,0,0,0,0,0,0,0,2.8599999,1.1,0.30000001,0,16.940001,0
"Bolivia",62.200001,2,0,0,0,0,0,0,0.60000002,0,0,0,0,0,1.4,0.30000001,0.1,0,0.1,1.7,3,0,0.69999999,2.0999999,9,0.1,7,0,3.5999999,2.4860411,0.113959,2.2,2.2,2,0.30000001,0,0.2,0.1,0.5,0.1,1.8,2.2,0,0,0,0,0,0,0,0,0.2,2.3,0.40000001,1.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.60000002,0,0,0,0.1,0,0,0,0,0.1,0,0,0,0,0,0,0.2,0,0,0,0,0,0,0,0.30000001,0,0,18.299999,0.60000002,0,0,0.40000001,0,0,0,0,0,0,0,0,0,0,0,0.1,0
"Paraguay",12.246,0.083999999,0,0,0,0,0,0,0.156,0,0,0,0,0,0,0.079000004,0.011,0,0.045000002,0.017999999,1.807,0.70099998,0,0.118,13.451,0.76800001,3.3340001,0.003,0.73900002,0.7171272,0.0328728,1.84,0.37900001,5.118,0.022,0,0,0,0.236,0,0,5.8940001,0,0,0.0089999996,0.0040000002,0,0,0,0,0.044,1.446,0.059,0.081,0.0020000001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.023,0,0,0,0,2.398,0,0,0,0,0,0,0,0,0,0,0.1,0,0,0,0,0,0,0,0.30199999,0,0.026000001,3.3469999,0.14300001,0.018999999,0,0.003,0,0,0,0,0,0,0,0,0,0.0020000001,0,0,0
"Chile",257.97,10.16,0,0,0.07,0,0,0,23.48,1,0,0,0,0,3.1099999,2.3900001,42.720001,0,7.3099999,7.3299999,22.780001,1.36,1.3,0,77.150002,2.1400001,48.68,0.1,12.98,8.7298288,0.40017131,17.940001,11.17,9.3299999,0.62,0,0,1.34,1.5,0,1.22,13.12,0,0,0.02,0.1,0,0,0,0,1.63,10.42,1.01,4.1999998,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0,0,0,0,0.20999999,0,0,0,0,8.8800001,0.75999999,2.3,0,0,0,0,0,0,0,0,0,1.96,0,0,0,6.6500001,0
"Argentina",242.89999,26.799999,0,0,0,0,0.30000001,0.001,10.7,0,0,0,0,0,3.2,8.1999998,35.5,0.60000002,3.5,10.5,124.1,6,14.7,37.200001,0,3.2,68.800003,0.5,21.700001,21.13135,0.96865118,35.200001,19.4,35.5,1.1,0,0.30000001,4.3000002,5,0.5,2.9000001,79.300003,0,0,0.30000001,1,0,3.5,2.5999999,7.1999998,20.9,24.700001,4.1999998,2.0999999,0,0,0,0,0,0.046,0,0,0,0,0,0,1,0,0,2.4000001,0,0,0,0,0,0,0.2,0,0,0,0,0,0,0,0,1.8,0,0,0,0,0.60000002,0,0,0,5.5,0.2,0,0,0,0,0,0.40000001,8.3000002,0,0,2.9000001,0,0.30000001,0,0,0,0,41.5,2,2.4000001,0,0.1,0,0,0.1,0,0,0,0,7.0999999,6.3000002,0.1,0,0.89999998,0.1
"Uruguay",23.9,4.5999999,0.30000001,0,0.2,0,0,0,2.3,0,0,0,0,0,0,0.1,2.7,0,0.1,1.4,20.799999,0.2,4.1999998,3.9000001,11.3,0,14.1,0.2,2,4.1115289,0.1884706,4.8000002,6.3000002,1.5,0.2,0,0.5,2.0999999,0.30000001,0.1,1.3,5,0,0,0.1,0,0,0.1,0.40000001,0.60000002,0.69999999,1.7,0.2,0.30000001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0,0,0,5.8000002,0.1,0.89999998,1.6,0,0,0,2.0999999,0,0,0,0,0.30000001,1.8,0,0.2,10.1,0,0.1,0,0,0,0,0.89999998,0.80000001,1.7,0,0.2,0,0,0,0,0,0,0,1.1,0.1,0.30000001,0,1.5,0.1
"United Kingdom",2234.3999,1260.4,13,0.40000001,2.2,80.400002,64.900002,17.200001,31.9,2.0999999,0.60000002,0.5,2,1.1,5.5999999,27,188,30.200001,0.69999999,21.1,73.5,65.400002,6.4000001,128.5,200.39999,38.099998,0,616.20001,905.20001,383.13721,17.56283,701.70001,332.10001,254.8,154.60001,0,33.5,154.89999,114.7,26.5,56.5,538.79999,9.5,0,43.200001,34.5,40.200001,17.200001,71.400002,337,358.29999,680.79999,351.10001,598.5,23.9,9.8999996,0.1,3.5,0.1,19.1,0,12.6,0.5,0.2,22.9,62.900002,67.099998,0.89999998,4.0999999,220.8,7.4000001,1.1,0.2,8.6999998,32.099998,37.900002,54.400002,66.599998,3.2,0.30000001,0.40000001,4.0999999,196.10001,0.40000001,25.6,692.59998,0,0,1.9,33.799999,42.200001,6.5,182,18.1,382,37.299999,64.400002,21.200001,1.2,8.5,0.40000001,89.800003,171.60001,0.1,29.6,201.8,8.3000002,81.599998,0.60000002,5.5,1.5,7.3000002,251,345.79999,89.900002,9,109,0,0.30000001,15,1.9,0,2.8,0,78.199997,49.099998,14.2,13.8,480.89999,509.10001
"Ireland",87.400002,24.9,0.2,0,0.2,1.2,0.1,1,1,0.60000002,0,0,0,0.1,0,0.1,1.6,2.4000001,1,1.6,2.8,0,0,0.40000001,10.7,0.30000001,542.20001,0,33.400002,15.68118,0.71881813,25.1,4.6999998,8.1000004,2.2,0,4.6999998,10.4,1.4,0.60000002,2.2,14.6,0.30000001,0,1,0.60000002,0.40000001,0.2,1.5,6.8000002,14.2,19,4.5999999,9,0.5,0,0,0.1,0,0,0,0.69999999,0,0,0,0.2,6.5,0,0.1,2,0,0,0,0.1,0.2,0.80000001,0.80000001,1.2,0,0,0,0,0,0,0.5,5.1999998,0,0,0,6.4000001,1.3,1.8,1.8,0.69999999,12.1,1.1,14.4,0.2,0.1,0.2,0,4.4000001,13.1,0,0,2.7,0,1.8,0,0.1,0,0,11.5,8,3.2,0.1,3.0999999,0,0,0.2,0,0,0,0,1.9,0.1,0.40000001,0.40000001,9.6000004,2.7
"Netherlands",886,66.699997,4.9000001,0.2,0.69999999,0.30000001,3.8,0.030999999,26.4,4.1999998,0.40000001,2.2,2.3,2.5999999,0.69999999,23.5,37.200001,0.5,5.1999998,26.6,80.599998,2.0999999,1.9,8.8000002,96.199997,6.5,462.29999,11.3,0,1470.2061,67.393578,530.40002,122.4,52.900002,13.2,0,35.599998,19.5,65.400002,11.9,26.5,358.89999,0.60000002,0,13.1,12.7,1.9,2.4000001,11.2,51.5,80.900002,194.89999,49.599998,57.5,2.3,5.0999999,0.2,0.89999998,0.2,0.80000001,0,12.4,0.40000001,0.1,9.1000004,9.8999996,9.1999998,5.0999999,25.1,51.200001,3.2,0.1,0,2.5999999,10.7,6.8000002,9.1000004,9,0,0.1,0,1.3,4.1999998,2.4000001,3,23.5,0,0,0.60000002,13.8,4.9000001,5.1999998,92,6.5,45.299999,14.6,18.700001,7.1999998,41.900002,17.1,0.60000002,15.8,92.300003,0,0.69999999,140,1.1,27.799999,0,4.9000001,1.9,1.8,87.099998,13.7,9.3999996,1.7,5,0,0.1,19.1,0.89999998,0,0.30000001,0,6.8000002,11.5,20.299999,97.900002,17,10.2
"Belgium",564.04449,86.628967,2.6772749,2.4860411,2.4860411,0.2868509,2.6772749,0,21.513821,2.294807,0.3824679,0.4780848,1.721105,1.529871,0.3824679,14.91625,35.473888,0.5737018,6.5019541,33.752789,32.509769,2.1991899,1.4342541,26.294661,79.553307,7.9362078,480.18839,20.8445,1033.619,0,0,1016.504,90.262413,30.406191,28.971939,1452.422,26.294661,14.53378,18.167219,7.4581232,14.62939,309.22531,0.2868509,0,7.840591,13.57761,0.76493567,2.8685091,7.7449741,56.89209,39.107342,151.74409,35.282661,42.836399,2.4860411,0.95616961,0,0.2868509,0.1912339,9.7529297,0,7.1712718,0.1912339,0.2868509,16.159269,0.86055273,5.4501672,2.294807,4.8764648,9.2748451,0.95616961,0.1912339,2.6772749,1.625488,244.3013,0.3824679,1.912339,0,1.051787,3.15536,0,0.66931868,13.38637,1.912339,0.95616961,73.911919,0,0,0.1912339,17.4979,11.95212,12.43021,74.00753,3.15536,54.979759,13.86446,32.318531,5.832634,1.2430201,1.147404,0,25.051649,8.7967606,0,6.023869,42.645161,0,12.43021,0.5737018,2.8685091,0.4780848,0.76493567,58.70882,29.06756,20.2708,1.2430201,0.66931868,0,2.4860411,7.6493568,0.1912339,0,0,0,7.1712718,2.5816579,6.6931872,18.454069,54.88414,15.87242
"Luxembourg",25.855539,3.9710319,0.122725,0.113959,0.113959,0.0131491,0.122725,0,0.9861834,0.1051929,0.017532101,0.021915199,0.078894697,0.070128597,0.017532101,0.68375379,1.626107,0.026298201,0.2980465,1.547212,1.4902329,0.1008099,0.0657456,1.205335,3.646687,0.36379209,22.01161,0.95550209,47.38063,0,0,46.596069,4.1375871,1.393806,1.32806,66.578339,1.205335,0.66622168,0.83277708,0.34187689,0.67060471,14.17474,0.0131491,0,0.359409,0.62239128,0.035064299,0.13149109,0.35502601,2.6079071,1.792662,6.9558802,1.617341,1.963601,0.113959,0.043830398,0,0.0131491,0.0087660998,0.44706979,0,0.32872781,0.0087660998,0.0131491,0.74073333,0.0394473,0.24983311,0.1051929,0.2235349,0.4251546,0.043830398,0.0087660998,0.122725,0.074511603,11.19866,0.017532101,0.0876607,0,0.0482134,0.14464021,0,0.030681301,0.61362523,0.0876607,0.043830398,3.388088,0,0,0.0087660998,0.80209577,0.54787958,0.56979477,3.3924711,0.14464021,2.520247,0.63554043,1.481467,0.26736531,0.0569795,0.052596401,0,1.148356,0.4032394,0,0.27613139,1.9548351,0,0.56979477,0.026298201,0.13149109,0.021915199,0.035064299,2.691185,1.332443,0.92920393,0.0569795,0.030681301,0,0.113959,0.35064301,0.0087660998,0,0,0,0.32872781,0.118342,0.30681261,0.84592623,2.5158629,0.72758418
"France",1220,103.5,15.7,5.0999999,1.2,0.30000001,0.89999998,0.0070000002,33.299999,1.8,0.60000002,0.1,1,2.2,2.0999999,9.3999996,49.900002,1.6,4.5999999,24.6,88.099998,0.40000001,2.3,55.200001,89.400002,7.9000001,592.79999,24,646.20001,1109.157,50.843231,0,317.79999,168.10001,33.5,0,25.799999,44.900002,45.5,24.200001,26.299999,1074.7,0.1,0.30000001,27.700001,47.099998,2.9000001,13.1,39.299999,187.10001,76.800003,244.7,51.200001,68.300003,2,0.36700001,1.6,110.6,7.5999999,17.5,35.200001,148.7,1.6,2.2,10.9,0.89999998,3.9000001,15.8,75.599998,73.699997,60.400002,11.6,11.5,9.8000002,58.200001,2.5,2.9000001,2.2,0.30000001,0.5,0.40000001,4.3000002,49.5,1.1,0.80000001,69.300003,0,0,42.200001,212.8,530.90002,48.700001,149.3,13,71.800003,34.900002,250.89999,16.6,10.5,4.9000001,0.30000001,22.1,78.800003,0.40000001,0.60000002,146.60001,0.40000001,48.099998,0.69999999,0.89999998,0.40000001,3.4000001,89.300003,31.799999,25,1.3,5.5999999,0,0.40000001,12.3,6.5999999,0.1,7.9000001,0,49.900002,0,6.1999998,23.799999,128.3,37.599998
"Switzerland",338.70001,33.200001,5.1999998,1.5,0.1,0.5,0.80000001,0,11.2,5.1999998,7.3000002,1.4,1,3.0999999,0.2,6.8000002,1.5,0.69999999,6.5,11.1,16.700001,0.1,0.5,5.6999998,28.299999,6.0999999,320,3.7,151.60001,140.2701,6.429915,569,0,35.799999,14,0,9,11.7,145.5,20.6,27.1,408.60001,0.2,0.1,13.2,5.8000002,0.1,3.8,6.1999998,11.3,16.700001,108.6,17.6,59.900002,0.30000001,0.60000002,0.2,0.1,0.1,0.0020000001,0,2.0999999,2.0999999,0,0,0.2,2.5999999,0,0.80000001,14.9,0.5,0,0,1,1.3,1.6,1.1,0.30000001,0,0,0.30000001,0.60000002,9.6999998,4,0.1,7.9000001,0,0,0.1,3.8,41.599998,6.5,16.299999,3.4000001,10.1,11.1,0,6.9000001,0.40000001,1.3,0,13.6,4.5999999,0,0.30000001,3.8,2,17.5,0,4.0999999,0.30000001,1.8,64.900002,12.9,1.4,0.5,2.4000001,0,0,2.8,0,0,0,0,4,0.1,2,6.5,10.1,3.3
"Spain",584.5,39.400002,37.700001,0.059,4,0,0.30000001,0,11.2,1.5,0.5,0,0,0.89999998,0,24.6,47.900002,0,0.30000001,19.299999,30.5,0,0.94099998,15,127.4,16.700001,300.5,3.5,107.2,65.975708,3.024296,399.10001,102.3,0,14.8,0,4.5999999,13.1,16.299999,2.8,7,228.2,0.76999998,0,3.5999999,7.8000002,3.9000001,3.5,13.3,17.700001,21.700001,81.900002,21.299999,28.200001,2.7,0.003,0,0.30000001,0.025,3.3540001,0,7.5,0,0.1,0.60000002,0,1.6,0,4.3000002,15.8,0.89999998,0,0,0.1,2.2,5.8000002,1.5,2.3,0,0,0,1,6.1999998,0.30000001,0.69999999,27.4,0,0,1.4,19.9,8.3999996,2,57,2.3,8.1999998,8.6999998,47.599998,8.6999998,0.30000001,0.80000001,0,8.1000004,141.10001,0,1.85,25.9,0,1.1,0,0.80000001,0,0,34.099998,3,10.6,0.40000001,2.0999999,0,0,4.5999999,0.80000001,0,0.30000001,0,16.700001,0.30000001,5.0999999,0.89999998,16,3.7
"Portugal",71.199997,5.6999998,0,0,0,0,0,0,2.5999999,3.0999999,0,0,3.0999999,0,0,0.60000002,5.3000002,0,0,1.3,7.5999999,0,0,0.2,8.1000004,0.30000001,139.5,0.40000001,31,27.44207,1.2579319,69.099998,37.299999,46.200001,0,0,0.30000001,3.8,9.8000002,0.5,2.5999999,59,0.1,0,0.30000001,3.4000001,0,2.0999999,1.6,0.5,4.1999998,25.5,7.6999998,12.4,4,4.3000002,0,3,0,1.1,1.3,0.1,0,0.1,0,0,0,0,0,15.2,0,0,0,0.30000001,0.1,0,0,0,0,0,0,0,1.8,5.4000001,0.1,5.6999998,0,0,0.1,5.0999999,0,0,0.69999999,1.5,4.8000002,6.5999999,17.9,1.2,0,0.1,0,1,3.4000001,0,0.2,0.2,0,0.2,0,0,0,0,4.9000001,0.2,4.9000001,0,0.30000001,0,0.1,1.5,0,0,0,0,2.5,0,0.1,0.5,2.7,2.5
"German Federal Republic",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1299.4351,59.565479,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"German Democratic Republic",26,5.0999999,0,0,0,0,0,0,1.8,0,0,0,0,0,0,8,0,0,0.18000001,7.0999999,18,0,0,0,6.8000002,0.5,47.400002,0.1,38.599998,23.90424,1.095759,34.299999,12.9,9.5,0.60000002,0,0,0,29.799999,0,0,24.700001,0,0,62.900002,9.1999998,2,0,69.779999,0,10.9,35.599998,6.6999998,25,1.2,0,0.30000001,0,0,0,0,0,0,0,0,0,3.5,0,0,0.1,0,0,0,0,0,0.30000001,0,0.89999998,0,0,0,0,0,0,0,0,0,0,0,3.0999999,2.0999999,0.60000002,0,0.5,3.8,12.7,0.30000001,26,1.7,1.67,0,0.30000001,0,0,0,0,0,0,0,0,0,0,3.0999999,26.299999,1.3,1.3,1.7,0,0,0,0,0,0,0,0,0,0,0,0.60000002,0
"Poland",61,24,0,0,0,0,0,0,0.69999999,0,0,0,1.8,0,0,4.4000001,0,0,2.96,6.5,15.4,0,0,1.9,13.9,2.4000001,133.39999,0.69999999,18.200001,18.167219,0.83277708,61.700001,19.299999,15.1,1.3,0,0,0,40,0,0,68,0.0099999998,0,46,11.1,0.60000002,0,49.540001,0,22,33.400002,11.5,32.200001,2.2,0,0,0.2,0,0,0,0.5,0,0,0,0,8.5,0,0,0.89999998,0.30000001,0,0,0.30000001,0,0.5,0.60000002,2.9000001,0,0,0,0,3.7420001,0,0.1,0,0,0,0,5.5,0.89999998,3.7,0,2.7,3.4000001,10,0.2,13.1,2.0999999,0.41999999,0,3.5,0,0,0.28,0,0,0,0,0,0,0,5.9000001,24.9,9.8999996,0,2.5999999,0,0,0.69999999,0,0,0,0,9.6700001,0,0,0,24.5,1.8
"Austria",80.599998,11.8,0.1,0.1,0,0,0.1,0,2,1.8,4,0.89999998,0.80000001,1.4,0.2,2.0999999,0.1,0,6.4000001,4.3000002,15.4,0,0.30000001,2.5,7.3000002,4.8000002,139,0.69999999,75.5,38.05555,1.744449,93.199997,168.8,7.6999998,11.3,0,22.6,36.799999,0,34,37.400002,181.39999,0.1,0.60000002,46.200001,7.1999998,0.5,12.6,16.299999,48.900002,7.5,55.200001,9.1000004,30.799999,0.30000001,0,0,0,0.30000001,0,0,0.80000001,3.5,0.2,0,0,3.3,0,0.30000001,2.7,0.69999999,0.30000001,0.2,0.1,0.1,2.0999999,0.89999998,0,0,0,0,0.5,2.2,0.40000001,0.1,11.3,0,0,0,1.9,0.2,0.30000001,0,0.89999998,3.8,11.2,0,3.2,0.5,1.3,0,5.5,0,0,0,0,0.5,8.3999996,0,0.80000001,0,1.5,12.7,2.2,1.2,0.2,1.2,0,0,2.4000001,0,0,0,0,2.3,0.1,2.8,2.7,7.3000002,1.2
"Hungary",8,3.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0.89999998,0,0,0.31999999,0.60000002,10.5,0,0,0,9.6000004,1,33.799999,0.1,10.4,10.32663,0.47336799,26.5,18.799999,9.5,0.60000002,0,0,0,48.200001,0,0,43.400002,0,0,30.200001,12.1,0.2,0,37.869999,0,5.5999999,14.1,3.9000001,8.3999996,0,0,0,0,0,0,0,0.69999999,0,0,0,0,1.1,0,0.89999998,2.5,0.30000001,0,0,0.30000001,0,0.40000001,0.60000002,1.6,0,0,0,0.30000001,2.25,0,0,0,0,0,0.69999999,2.5,0,0.1,0,3.5,3.2,16.299999,0.1,12.5,4.1999998,0.039999999,0,6.4000001,0,0,0,0,0,0,0,0,0,0,3.5999999,15.6,2.0999999,0,0.2,0,0,0,0,0,0,0,0,0,0,0,4.9000001,0
"Czechoslovakia",19,10.4,0,0,0,0,0,0,0.2,0,0,0.2,0,0.2,0,1.4,0.40000001,0,0.47,3.5,9.3999996,0,0,0,7.5999999,2,41.299999,0.2,21.200001,15.2031,0.69690287,41.799999,20.5,8.8999996,2.2,0,0,0,41.200001,0,0,44.200001,0,0,50.099998,11.6,0.69999999,0,87.029999,0,7,22,7.5999999,8.5,1,0.69499999,0,0,0,0,0,0,0,0,0,0,2.4000001,0,0.2,2.3,0,0,0,0.1,0,0.2,1.2,0.2,0,0,0,0,3.24,0,0,0,0,0,0,5.5999999,1.3,2.2,0,3.4000001,6.8000002,10.6,0.1,42.099998,1.9,1.97,0.69999999,0.2,0,0,0,0,2.2590001,0,0,0,0,0,6.3000002,41.099998,5,0.1,0.5,0,0,0.5,3.9000001,0,0,0,0.029999999,0,0,0,11.5,1.5
"Italy",1029.5,143.7,5,3.8,2,0.60000002,1,0.012,39.5,6.5,10.3,0.2,2.3,2.3,2.4000001,5.5,45.099998,0.80000001,20.299999,24.6,111.8,0.1,1.1,58,256.39999,12,432.79999,5.1999998,367.29999,276.0462,12.65383,1046,227.3,69.300003,22.6,0,36.400002,76.199997,203.8,83.599998,54.799999,0,1.6,3.2,225.39999,41.799999,4.9000001,57.5,100.7,273.70001,55.299999,167.7,51.799999,92.900002,3.7,2,0.1,4.0999999,0.80000001,12.8,1.8,44.299999,0.30000001,0.60000002,24.299999,4.1999998,8.8999996,2.0999999,6.6999998,34.900002,1.8,1.1,0.89999998,3.5,64.599998,4.3000002,4.0999999,6,0.69999999,0,15.2,7.9000001,50.099998,0.2,1.8,66.300003,0,0,2.5,21.1,39.400002,23.5,231.2,22.1,86.400002,61.400002,152.2,29.9,6.8000002,7.9000001,2.9000001,10.4,256.39999,0.5,3.0999999,370.79999,1,57.700001,0,6.9000001,0,1.2,68.300003,22.6,13.8,2.9000001,7.0999999,0,0,15,1.9,0,1.5,0,48.200001,1.3,8.8000002,12.9,135.7,25.299999
"Malta",3.5799999,1.7,0.23999999,0,0,0.029999999,0.0099999998,0,0,0,0,0,0,0,0,0.12,0.079999998,0,0,0.079999998,0.1,0,0.039999999,0,0.33000001,0,43.650002,0.17,4.8899999,1.625488,0.074511603,3.5599999,0.81,0.83999997,0.02,0,0.2,0.23,0.85000002,0.41999999,0.86000001,17.709999,0,0.079999998,0.14,0.97000003,0.12,1.66,1.9,0.44999999,0.40000001,0.44,0.37,1.6900001,0,0,0,0,0,0,0,0.0099999998,0,0,0,0,0.11,0,0,0.0099999998,0,0,0,0,0,0,0.0099999998,0,0,0,0.0099999998,0.029999999,0.0099999998,0,0.029999999,0.13,0,0,0,0.090000004,0.0099999998,0.23999999,0.38,0.0099999998,0,0.88999999,0,0.13,0.52999997,0.34999999,0,0.81999999,0,0,0.49000001,0,0,1.03,0,0.07,0,0.02,2.5799999,0.40000001,0.02,0,0.16,0,0,0,0,0,0,0,0,0.15000001,0,0.41,4.4299998,0.27000001
"Albania",0,5.3000002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.2,0,0,0.80000001,0.40000001,0,0,0,0,0,0.30000001,0,0,4.1999998,0,0,3,0,0,0,3.0799999,0,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.60000002,0,0,0,0.60000002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Yugoslavia",124,2.9000001,4,0,0,0,0,0,0.30000001,0,0,0,0,0,0.2,1.9,1.6,0,2.5999999,5.8000002,20.5,0,0.1,4.3000002,11.5,1.3,91.400002,0.1,30.9,30.023729,1.376274,80.800003,33.599998,3.5999999,1.2,0,68.900002,41.599998,58.599998,31.799999,94.199997,227.8,0.0099999998,1.9,0,30.700001,0.1,20.1,22.1,163.8,1.5,18.4,4.3000002,5.4000001,0.2,0,0.5,0,0,0,0,0.5,3,0,0,0,4.6999998,0,0,1.3,0,0.1,0.89999998,0,0,0,0.1,0.5,0,0,0,1.1,0.82300001,0,0,0.69999999,0,0,0.80000001,1.4,3.2,6.0999999,6.9000001,0.2,6.9000001,1.9,8.3000002,18.1,0.1,1.2,2.3,9.1000004,0,0,0,0.80000001,0,14.4,0.1,0,0,0,18.4,22.1,6.5,0.60000002,0.5,0,0,2,0,0,0,0,7.0999999,0,0,0.1,21.1,1.6
"Greece",100.1,7.1999998,0,1.3,0,0,0,0,0.2,0,0,0,0.30000001,0,0,0.60000002,0.1,0,1.2,0.40000001,8,0,0,0.30000001,22.6,6.5,108.9,0.5,43.299999,40.541599,1.858408,94.5,21.700001,4.4000001,3,0,10.4,7.4000001,21.4,8.6000004,13.5,122.8,0.30000001,0,30.200001,0,0.2,8.1000004,5.1999998,37.5,12.2,36,8.6000004,15.3,1.2,0,0,1.4,0,0.1,0,1.2,0,0,1,0,1.8,0,0,1.4,1.5,0,0,1,2.5999999,0.1,0.80000001,0.30000001,0,0,0.5,1.2,6.6079998,0,0,8.1000004,0,0,0.30000001,3.4000001,2.0999999,4.0999999,3.4000001,0.89999998,8.5,4.0999999,12.1,8.1000004,0.30000001,1.9,0,4,23,0,0.60000002,0,0,1.1,0,0.40000001,0,0.2,31.9,1.5,1.5,0,0.30000001,0,0,0.60000002,0,0,0,0,2.0999999,0,0.2,0.1,5.8000002,5.3000002
"Cyprus",8.8000002,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.80000001,0,0,0,1,0.1,51.200001,0.60000002,5.3000002,3.920295,0.1797045,7.8000002,1.2,0.69999999,1.9,0,1.5,0.60000002,1.3,0.40000001,1.7,15.5,0.079999998,0,1.9,6.8000002,0,0.40000001,2.5999999,3.7,1.1,2.5999999,0.5,2.5999999,0,0,0,0,0,0,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0.2,0.2,0,0,0,0.1,0,0,0.1,0,0,0,0,0.1,0,0,0,0.1,0.1,0.80000001,0,0.40000001,0.30000001,1.8,0,2.8,0,0,0.2,0,0,0,0,0,0,0,5.5999999,1.2,0.60000002,0,0.1,0,0,0.1,0,0,0,0,0.2,0.1,0,0,0.5,1.1
"Bulgaria",4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.69999999,14.1,0,0,0,1.7,1.4,16.9,0,13.9,16.06365,0.73635018,36,10.3,9.6000004,1.5,0,0,0,30.799999,0,0,54.400002,0,0,19.1,9.3000002,0.60000002,0,20.67,0,2.5,9.6999998,0.30000001,4.0999999,0,0,0,0,0,0,0,0,0,0,0,0,1.4,0,0.30000001,1.4,0,0,0,0,0,0,0,0,0,0,0,0.2,0,0,0,0,0,0,0,5.5999999,4.5,6,0,1.3,1.6,3.8,0.30000001,7.6999998,2.7,0.07,0,2,0,0,0,0,0,0,0,0,0,0,24.5,5.4000001,2.0999999,0,0.2,0,0,0,0.2,0,0,0,1.86,0,0,0,0.2,0
