"","United States of America","Canada","Bahamas","Cuba","Haiti","Dominican Republic","Jamaica","Trinidad and Tobago","Barbados","Dominica","Grenada","St. Lucia","St. Vincent and the Grenadines","Antigua & Barbuda","St. Kitts and Nevis","Mexico","Belize","Guatemala","Honduras","El Salvador","Nicaragua","Costa Rica","Panama","Colombia","Venezuela","Guyana","Suriname","Ecuador","Peru","Brazil","Bolivia","Paraguay","Chile","Argentina","Uruguay","United Kingdom","Ireland","Netherlands","Belgium","Luxembourg","France","Switzerland","Spain","Portugal","German Federal Republic","German Democratic Republic","Poland","Austria","Hungary","Czechoslovakia","Italy","Malta","Albania","Yugoslavia","Greece","Cyprus","Bulgaria","Romania","Russia","Finland","Sweden","Norway","Denmark","Iceland","Cape Verde","Sao Tome and Principe","Guinea-Bissau","Equatorial Guinea","Gambia","Mali","Senegal","Benin","Mauritania","Niger","Ivory Coast","Guinea","Burkina Faso","Liberia","Sierra Leone","Ghana","Togo","Cameroon","Nigeria","Gabon","Central African Republic","Chad","Congo","Democratic Republic of the Congo","Uganda","Kenya","Tanzania","Burundi","Rwanda","Somalia","Djibouti","Ethiopia","Angola","Mozambique","Zambia","Zimbabwe","Malawi","South Africa","Lesotho","Botswana","Swaziland","Madagascar","Comoros","Mauritius","Seychelles","Morocco","Algeria","Tunisia","Libya","Sudan","Iran","Turkey","Iraq","Egypt","Syria","Lebanon","Jordan","Israel","Saudi Arabia","Yemen Arab Republic","Yemen People's Republic","Kuwait","Bahrain","Qatar","United Arab Emirates","Oman","Afghanistan","China","Mongolia","Taiwan","North Korea","South Korea","Japan","India","Bhutan","Pakistan","Bangladesh","Myanmar","Sri Lanka","Maldives","Nepal","Thailand","Cambodia","Laos","Vietnam","Malaysia","Singapore","Brunei","Philippines","Indonesia","Australia","Papua New Guinea","New Zealand","Vanuatu","Solomon Islands","Fiji","Samoa"
"United States of America",0,69427.398,652.20001,0,405.89999,1030.9,292.39999,1303.9,205.5,1.348673,0.71899998,0,0,0,0,19391.801,49.400002,447.70001,432.5,413.20001,49.599998,570.09998,466.89999,1456.2,6830.2002,53.799999,64.300003,1975.4,1152,8146.7002,101.4,25.4,857.5,1167.2,570.79999,15573,942,4368.2998,3396.0991,170.9007,9959.5,3578.7,2773.3999,598,0,102.3,248.39999,889.29999,241.2,85.199997,10380.8,35.200001,3.7,600.59998,427.5,15.9,39,951.09998,442.70001,976,4338.8999,1248.6,1796.4,263,0,0,0,0,0.2,6.1999998,5.3000002,0.2,0.40000001,10,557.70001,139.8,0.80000001,103.6,19.299999,94.800003,12.2,338.29999,3107.8999,523.20001,0.60000002,0.40000001,645.70001,414.60001,118.9,99.599998,10.7,1.2,6.8000002,2.2,0.2,46.099998,1094.5,17.4,59,54.400002,29.200001,2179.5,0,29.5,16.5,54.700001,6.5,77.599998,10.2,43.700001,2426.3,13.5,47.200001,9,762.59998,645,491.10001,84.300003,2.7,19.799999,14.7,2200.7,2026.8,0.69999999,1,198,90,18.1,721.5,50.599998,7.0999999,4224.2002,3.7,17761.199,0,10712.5,72380.102,2478.5,0,298.79999,227.2,14.6,313,5.5900002,52.299999,1542.6,0.30000001,0.5,0,2399.3999,4412.3999,2,2334.1001,4933.2002,3066.6001,36,968.5,0.0037724578,1.676,11.175,24.799999
"Canada",59464.898,0,31.299999,35,7.9000001,14.7,124.9,24.299999,5.5,0.32395038,0.37400001,0,0,0,0,1073.5,4.0999999,21.1,16.9,28.700001,20.799999,33.200001,18.9,73.199997,863,18.799999,0.5,57.599998,54.299999,650.20001,6.6999998,2.5,106.5,73.300003,6.6999998,2656,173.3,501,406.63699,20.463039,1105.3,392.89999,294.79999,70.300003,0,9.1999998,48.599998,146.8,27.4,53.799999,1071.2,4.6999998,0,34.799999,38.299999,0.5,7.3000002,36.299999,22.700001,161,549.79999,149.5,184.89999,2.5999999,0,0,0,0,0,0,0.30000001,0.0022258763,0,0.066998877,14.2,7.6999998,0.60321248,1.2,0,0.40099999,1.9,3.5999999,187.5,27.6,0,0,0.15937275,13,1.4,11.5,3.0999999,0,0,0.1,0,1.1,0.80000001,0.2,0.025799122,4.0999999,0.69999999,182.89999,0,0,0,0.80000001,0,5.3000002,0,10.9,257.89999,81.800003,29.9,0.010385179,114.7,29.1,0.30000001,24.9,0.1,0.60000002,0.1,74.699997,18.9,0,0.40000001,0.57854736,0.0089959893,0.1,1.6,0.2,0.1,325.5,0,1036.7,0.30000001,1293.8,4922.7002,135.39999,0,24.200001,13.1,0.40000001,26.4,1.822,0.80000001,87.699997,0,0.2,1.8,117.8,171.39999,0,88.099998,65.900002,297,41,129.10001,0,0,6,0
"Bahamas",867.19598,28.179001,0,0.20999999,0.56999999,0.068000004,10.021,8.8599997,0.98400003,0.39300001,0.003,0,0,0.029999999,0,237.11301,0,0.38299999,0.001,0.0099999998,0,0.057999998,20.365,40.578999,22.179001,0.035,0,14.953,21.356001,1.579,0,0,0.015,6.9549999,0.050999999,61.369999,3.358,12.725,0.62837839,0.031621601,11.735,11.721,1.9299999,0.0020000001,0,0,0,0.88800001,0.257,0.0089999996,5.0250001,0,0,0,0.20900001,0,0.0020000001,0,0.018999999,0.011,1.1339999,0.097000003,2.7420001,0.013,0,0,0,0,0,0,0.0020000001,0,0,0,20.812,0,0,0,0,3.9909999,0,0,1082.429,151.8,0,0,0,0,0,7.1560001,0,0,0,0,0,0,171.048,0,0,0,0.001,0.0020000001,0,0,0,0,0,0,0,0,0.0049999999,0,16.881001,0,0,8.7489996,18.49,0.086999997,0,0,0,0.153,51.689999,0,0,0,0,8.6308641,105.42555,0,0,0.028999999,0,1.552,0.082000002,0.414,42.785,0.119,0,0.048999999,0,0,0.001,0,0,0.23899999,0,0,0.003,0.044,0.093999997,0,0.117,88.973,0.21799999,0,0.87199998,0,0,0,0.0020000001
"Cuba",1.1,270.82001,5.8080001,0,0,0,0.27169999,0,0,0,0,0,0,0,0,76.669998,0,0,0,0,1.1121609,0,1.2661,5.0819998,467.5,1.5983,0,0,0.022,0,0,0,0,311.76199,0,83.489998,0,32.779999,28.277031,1.422974,115.61,31.129999,320.04501,7.678,0,206.6339,41.07946,18.040001,83.643997,103.96733,69.300003,0,0,76.747002,0,0,0,92.455002,0,2.9920001,32.889999,1.375,10.043,0.0044,0,0,0,0,0,0,0,0,0.27500001,0,0,0,0,0,0,0,0,0,0,0,0,0,0.091817401,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.9489999,0,0,0,0.29699999,0,0.37400001,0,0,0,0,0,0,0,0,0,0,0,0,0,128.48,0,0,0,0,333.41,5.3804951,0,0,0,0,1.2000999,0,0,14.256,0,0,13.6,0.671,1.793,0,0,0,5.335,0,20.823,0,0,0,0
"Haiti",373.30347,23.366219,0.39438981,0,0,6.9899797,1.2830646,5.2404327,0.30732486,0,0,0,0,0,0,1.3034178,0,0.35173738,0,0.036321707,0,0.52816802,0.62566155,1.6192193,10.496848,0,0.097907886,0,0.13891429,7.0383687,0,0,0.010409746,5.9138246,0,5.970161,0.396,12.75738,2.513514,0.1264866,21.422577,3.4488826,1.5860749,0.055,0,0.00165,0.064810961,0.67688066,0.025321005,0.91384917,12.710225,0,0,0,0.01069109,0.0077,0,0.074556291,0,0.27565107,0.61921644,2.0881693,0.96402311,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.20059863,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.077369735,0,0,0,0,0,0.2,0,0,0,0,0,0,0,0,0,1.5310596,0,11.22,0,5.4257593,37.499939,0.026165038,0,0,0,0,0,0,0,0.099397302,0,0,0,0,0.12744905,0,0,0,0.22,0,1.3051553,0,0,0,0
"Dominican Republic",518.57001,20.040001,0.050000001,0,6.5300002,0,1.6,1.42,0.0020000001,0,0,0,0,0,0,111.99,0.93000001,5.77,0.46000001,1.5700001,0,2.45,14.7,16.540001,365.5,0.0099999998,0.5,0.059999999,0.86000001,24.82,0,0.15000001,5.7800002,18.09,0.02,14.87,0.28,13.1,9.7684269,0.49157301,9.4799995,3.48,23.5,0.69999999,0,0.30000001,0.02,0.44,0.029999999,0.12,14.38,0.47,0,0.07,0.38999999,0,0,0,0.029999999,0.52999997,1.6799999,6.02,1.02,0.0099999998,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0099999998,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.03,0,0.11,0,0,0,0,0,0,0,0,0,0,0,0.059999999,0.050000001,0,0,0,0,1.03,0.22,0,0,0,0,0,0,0,0.029999999,0.13,0,16.809999,0.14,9.5600004,86.25,0.73000002,0,0.059999999,0,0,0,0,0,0.029999999,0,0,0,0.0099999998,0.41,0,1.84,0.11,0.07,0,10.14,0,0,0,0
"Jamaica",483.685,41.613998,0.082999997,0.0049999999,0.032000002,0.94999999,0,33,3.753,3.9489999,0.011,0.219,0.49399999,0.059999999,0.001,50.164001,0.47799999,2.5239999,0.83700001,0.011,0,0.68199998,7.0910001,6.2490001,139.01401,1.01,0.028999999,8.9020004,0.059,6.9089999,0.015,0,0.068000004,0.34099999,0.186,59.700001,0.91500002,15.294,6.1124082,0.30759251,9.5120001,4.0830002,3.8410001,0.26300001,0,0.403,0.081,3.846,0.116,0.28099999,7.9819999,0.012,0,3.6919999,0.49200001,0,0,0.0080000004,3.4530001,0.49700001,3.003,4.4250002,1.276,0.0070000002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.061999999,0.0055830665,0,0,0,0,0.012,0,0.164,0,0,0,0.0040000002,0,0,0,0,0,0,0,0,0,0.018999999,0,0,0,0,0.055,0.0080000004,0,0,0,0,0.001,0,0.015,12.591,0,0,0,1.483,0,0,0,0,0,0,0,0.015,0,1.1720001,0,3.829,0.101,3.4530001,80.787003,0.46700001,0,0.093999997,0.046,0,0.37400001,0,0,0.898,0,0,0,0.2,0.60500002,0,0.025,0.41299999,0.55900002,0,2.3570001,0,0,0.0089999996,0
"Trinidad and Tobago",599.08002,114.8,0.1,0,0.059999999,6.2800002,18.98,0,20.629999,1.2111511,4.3099999,0,0,0,0,2.48,5.0500002,2.46,15.89,0.5,0,1.63,0.83999997,3.3299999,15.3,17.219999,0.74000001,19.969999,0.46000001,38.93,0,0,0.039999999,70.32,0.43000001,146.28,8.3900003,25.870001,13.84337,0.69663459,15.59,5.3299999,8.6000004,1.65,0,0.12,0.23,2.5899999,0.090000004,1.04,11.1,0.13,0,0.090000004,0.38999999,0.02,0,0.07,0.18000001,2.3499999,9.04,17.940001,12.48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.77,0.050000001,0,0,0,0.039999999,0,0,0,0,0,0,0.029999999,0.050000001,0,0.0099999998,0,0,0,0,0,0.02,0,0,0,0,0,0,0,0,0,0,2.95,0,0,0,0,0,0.36000001,0.029999999,0,0,0,0,1.0700001,0.0099999998,0,0,0,0,0,0.083406292,0,0,6.1599998,0,31.299999,0.25999999,11.12,152.39,4.1100001,0,0.050000001,0.050000001,0,0.27000001,0,0,2.02,0,0,0,0.52999997,2.54,0,0.81999999,0.039999999,19.25,0.0099999998,14.26,0,0,0.018999999,0
"Barbados",251.63,30.947001,0.28799999,0.125,0.237,0.25600001,18.709,62.618999,0,1.135,0.248,0,0,0,0,0.419,0.0070000002,0.648,3.408,1.905,0,0.235,0.114,0.57599998,27.635,2.7449999,0.089000002,0.072999999,0.184,6.9289999,0.024,0.0099999998,0.91600001,2.1589999,0.22499999,55.217999,3.1889999,8.2510004,3.1038079,0.1561918,5.8610001,3.5420001,2.3959999,0.34799999,0,0.025,0.108,1.11,0.022,0.198,4.375,0.030999999,0,0.050000001,0.048,0.067000002,0.011,0.079999998,0.046,2.4719999,1.039,2.5710001,1.512,0.028000001,0,0,0,0,0,0,2.8759999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.052000001,0,0,0,0,0,0,0,0,0.001,0,0.0020000001,0,0,0,0,0,0,0.001,0,0.001,0,0,0,0,0,0.013,0,0.012,0,0,0,0.141,0,0,0.001,0,0,0,0,0,0,0.78500003,0,6.5650001,0.0049999999,3.096,27.448999,0.66799998,0,0.037,0,0.096000001,0.31799999,0,0,0.92900002,0,0,0,0.38800001,0.56800002,0,1.8609999,4.9619999,2.615,0,7.1810002,0,0,0,0
"Dominica",15.079603,2.6137345,0.00007962963,0.00014444445,0.0007011111,0.30828777,1.0178133,5.4164586,1.2642137,0,0.27561629,3.1545494,1.8073696,0.37528852,0.13937667,0.0076214815,0,0,0,0,0,0.072267778,0.010477408,0.010918519,0.055872221,0.24466333,0.27426964,0,0,0.3246837,0,0,0,0.095507041,0.071999997,9.2092915,0.0073981481,1.9026374,0.19041771,0.0095822997,0.50741929,0.58639997,0.032351851,0.024895925,0,0.0099470373,0,0.012505926,0.0048062964,0.026200742,0.12945186,0,0,0.00028925925,0.0021692594,0.0011425926,0,0,0.0010537037,0.0089807408,0.064224817,0.11694592,0.28873184,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.006494815,0,0,0,0,0,0,0,0,0,0.0016737037,0.026897037,0,0,0.00068851851,0,0,0,0.0099951848,0,0.054102592,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000018518518,0,0,0,0,0,0,0.0041122222,0,0,0.0007785185,0,0,0,0.0000055555556,0,0,0.46539816,0,0.29448038,0.0073051853,0.14775519,4.0665951,0.01477037,0,0.00050777779,0.00054555555,0,0.0024462964,0,0,0.0003074074,0,0,0,0.0034362962,0.088527039,0,0,0,0.011837407,0,0.068032593,0,0,0,0
