"","United States of America","Canada","Cuba","Dominican Republic","Mexico","Guatemala","Honduras","El Salvador","Nicaragua","Costa Rica","Panama","Colombia","Venezuela","Ecuador","Peru","Brazil","Bolivia","Paraguay","Chile","Argentina","Uruguay","United Kingdom","Ireland","Netherlands","Belgium","Luxembourg","France","Switzerland","Spain","Portugal","Germany","Poland","Austria","Hungary","Czechoslovakia","Italy","Albania","Yugoslavia","Greece","Bulgaria","Romania","Russia","Estonia","Latvia","Lithuania","Finland","Sweden","Norway","Denmark","Liberia","Ethiopia","South Africa","Iran","Turkey","Saudi Arabia","Yemen Arab Republic","Afghanistan","China","Mongolia","Japan","Nepal","Thailand","Australia","New Zealand"
"United States of America",0,475.01999,256.78,11.02,137.81,14.46,17.639999,1.55,4.9699998,5.9400001,3.55,88.68,19.879999,5.8899999,20.09,203.02,3.6600001,0.91000003,64.379997,97.239998,7.54,357.92999,1.59,87.239998,72.230003,0,167.8,45.860001,34.349998,1.39,200.55,2.1500001,10.61,0.67000002,29.959999,108.97,0.34,0.88999999,17.309999,0.49000001,0.41,12.13,0.33000001,1.05,0.51999998,8.5799999,47.889999,22.23,4.1399999,0,0.02,7.9200001,7.8299999,0,0,0,0,151.67999,0,402.10001,0,0.25999999,36.619999,13.04
"Canada",718.34998,0,5.5799999,4.3000002,0.43000001,0,0.25999999,0,0,0,0,0,0.0099999998,0.72000003,5.3699999,0.62,0,0.1,0,9.8299999,0,185.61,0.02,8.7799997,9.8800001,0,26.43,8.0100002,2.73,0,17.030001,0.07,0.61000001,0,2.1400001,4.23,0,0.0099999998,0.25,0,0,0,0.0034970001,0.0062739998,0.001732,0.059999999,0,1.11,0.14,0,0.029999999,0.40000001,0,0,0,0,0,2.5599999,0,12.48,0,0,5.29,8.1099997
"Cuba",159.75,6.02,0,0.83999997,2.97,0.19,0.16,0.30000001,0.079999998,0.0099999998,0.0064659999,0.50999999,0.13,0.34,0.25999999,0.47999999,0,0,0.54000002,1.45,3.9000001,11.73,0.97000003,2.8800001,3.54,0,12.47,0.79000002,10.72,0.039999999,7.8000002,0,0.1,0,0.000049999999,2.26,0,0,0.000018000001,0,0.050000001,0,0,0,0,0,0.52999997,2.54,0.56999999,0,0,0,0.001478,0.000095000003,0,0,0,0.69999999,0,0.93000001,0,0.41999999,0,0
"Dominican Republic",18.870001,0.43000001,0.039999999,0,0.000059000002,0,0,0,0,0,0,0.000018999999,0.001433,0,0,0,0,0,0,0.004038,0,6.9499998,0,0.19,0.63,0,0.02,0,0.0041040001,0,0.31999999,0,0.000932,0,0,0.41999999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Mexico",116.41,2.3900001,0.02,0.13,0,0.0020000001,0.02,0,0,0,0,0,0,0,0,0.0099999998,0,0.039999999,0,0.2,0.001,11.26,0,0.66000003,2.8800001,0,8.0699997,1.53,2.9200001,0,13.91,0.029999999,0.38999999,0,0.69999999,1.25,0,0.0058180001,0.0063689998,0,0,0,0,0,0.029999999,0,0,0.28,0.090000004,0,0,0,0,0,0,0,0,0,0,0.61000001,0,0,0,0
"Guatemala",13.68,0,0.0059019998,0.00132,0.63999999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.75,0,0.23,0.46000001,0,0.5,0,0.33000001,0,3.51,0,0.0099999998,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0099999998,0.003237,0,0,0,0,0,0,0,0,0,0,0.70999998,0,0,0,0
"Honduras",10.02,0,0.0071680001,0,0.02,0,0,0,0.11,0,0,0,0,0,0,0,0,0,0,0,0,0.73000002,0,0.0059159999,0,0,0.27000001,0,0,0,0.5,0.000013,0.00035700001,0,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"El Salvador",8.9399996,0.0099999998,0.0040170001,0,0,0,0,0,0,0.02,0,0,0,0,0.16,0,0,0,0.0094526997,0,0,2.3800001,0,0.16,0.70999998,0,0.02,0,0.20999999,0,0.19,0,0.001407,0,0.16,0.5,0,0,0,0,0,0,0,0,0,0,0.17,0.090000004,0.0059702001,0,0,0,0,0,0,0,0,0.0099999998,0,0.37,0,0,0,0
"Nicaragua",6.7199998,0,0,0,0,0,0.23,0,0,0.02,0,0,0,0,0.18000001,0,0,0,0,0,0,1.16,0,0,0,0,0.31,0,0.029999999,0,0.68000001,0,0.00035700001,0,0,0.14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0099999998,0,0.059999999,0,0,0,0
"Costa Rica",0,0,0.0099999998,0,0,0,0,0.02,0.47999999,0,0.41999999,0.0097500002,0,0,0.31,0,0,0,0,0,0,8.1899996,0,0.30000001,0.14,0,0.28,0,0.22,0,2.51,0,0.000159,0,0.0023419999,0.43000001,0,0,0,0,2.4300001,0,0,0,0,0,0,0.0099680005,0.0099999998,0,0,0,0,0,0,0,0,0,0,0.079999998,0,0,0,0
