"","United States of America","Canada","Cuba","Haiti","Dominican Republic","Mexico","Guatemala","Honduras","El Salvador","Nicaragua","Costa Rica","Panama","Colombia","Venezuela","Ecuador","Peru","Brazil","Bolivia","Paraguay","Chile","Argentina","Uruguay","United Kingdom","Ireland","Netherlands","Belgium","Luxembourg","France","Switzerland","Spain","Portugal","Poland","Hungary","Czechoslovakia","Italy","Albania","Yugoslavia","Greece","Bulgaria","Romania","Russia","Finland","Sweden","Norway","Denmark","Iceland","Liberia","Ethiopia","South Africa","Iran","Turkey","Iraq","Egypt","Syria","Lebanon","Jordan","Israel","Saudi Arabia","Yemen Arab Republic","Afghanistan","China","Mongolia","Taiwan","North Korea","South Korea","India","Pakistan","Myanmar","Sri Lanka","Nepal","Thailand","Philippines","Indonesia","Australia","New Zealand"
"United States of America",0,1743,387.54001,19.780001,24.370001,274,49,17,45,7,26,12,272,313,19,45,620,54,5.6799998,172,109,60,255,2,59.279999,0,0,61.48,104,28,15,3.3299999,2,20.870001,80,0,14.85,15.72,2,1,44,31,61,30.73,6.5799999,2,0,8.3299999,131,18,62,6,9.3999996,3.8099999,0,0,7,22,0,0,123,0,0,0,0,269,31,1,39,0,54,230,135,109,28
"Canada",2101.2,0,6.0900002,0.94999999,4.1999998,26.799999,6.1999998,7.5,1.1,0.1,2.2,2.5999999,13.4,98.5,1.2,2.5,22.4,2.0999999,0.34,0.69999999,3.5,1.1,331.39999,0,6.21,0,0,12.36,11.6,2.5,1.4,0.1,0,5.9400001,9.6999998,0,0.039999999,0.12,0,0,0,0,3.5999999,1.12,2,0,0,0.039999999,4.0999999,0.2,1.3,1.4,0.1,0.38999999,0,0,0.40000001,12.8,0,0,3.5999999,0,0,0,0,28.200001,1.2,0,12.5,0,0,4.4000001,1.5,29.200001,9.6000004
"Cuba",380.26001,13.3,0,0,0.11,6.4899998,0,0.66000003,0,0.11,0.029999999,0,0.22,0.33000001,0.99000001,0.001041,0.33000001,0,0.22,4.6199999,0.66000003,0.55000001,23.790001,0,1.1,0,0,0,1.45,0,0.66000003,0,0,0,2.6400001,0,0,0,0,0,0,0,0.36000001,0.43000001,0,0,0,0,0.27000001,0,0,0,0,0,0,0,0,0,0,0,0.11,0,0,0,0,12.21,0,0,0,0,0,0,0,0,0.11
"Haiti",23.83,1.48,0.1,0,0,0,0,0,0,0.0044999998,0,0,0,1.1,0,0.00079000002,0.003217,0,0,0,0,0,1,0,0.1,0,0,0,0.039999999,0,0.000068000001,0,0,0,0.30000001,0,0,0,0,0,0,0,0,0.004313,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0,0,0,0,0,0.1,0,0
"Dominican Republic",38.330002,2.02,0.11,0.1,0,0.22,0,0,0,0.002776,0.00056399999,0,0,0,0,0.00051500002,0,0,0,0,0,0,2.3099999,0,0.11,0,0,0,0.11,0,0.001238,0,0,0,0.55000001,0,0,0,0,0,0,0,0.11,0.001116,0,0,0,0,0.0024359999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.88,0,0,0,0,0,0,0,0,0.000029000001
"Mexico",397.89999,12.8,0.66000003,0,0.001136,0,0.1,0,0,0,0,0,0,0,0,0,0.2,0,0.039999999,0.40000001,0.89999998,0.2,10.2,0,1.11,0,0,2.76,6.4000001,1.7,0.60000002,0.000505,0,0.60000002,2.4000001,0,0.001641,0.0099999998,0,0,0,0.69999999,5.1999998,0.51999998,0.2,0,0,0,0,0,0,0,0.31999999,0.000379,0,0,0,0,0,0,0.2,0,0,0,0,0,0,0,0.5,0,0,0,0,2.7,0
"Guatemala",49.900002,1.5,0,0,0,3.3,0,0.2,1.6,0.30000001,0,0,0,0,0,0.30000001,0,0,0,0.30000001,0,0,1.6,0,0.2,0,0,0,0.80000001,0.2,0,0,0,0,0.60000002,0,0,0,0,0,0,0,0.30000001,0.0054660002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.40000001,0,0,0,0,0,0,0,0,0
"Honduras",33.330002,0.44,0.22,0,0.11,0.66000003,0,0,2.0899999,0,0,0.11,0,0,0,0.22,0,0,0,0.33000001,0,0,0.66000003,0,0,0,0,0,0.11,0,0,0,0,0,0.22,0,0,0,0,0,0,0,0,0.0019710001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"El Salvador",28.4,1,0,0,0,0.80000001,0.1,1.6,0,0.1,0,0,0,0,0,0.40000001,0,0,0,0.2,0,0,1.1,0,1.1,0,0,0,0.5,0,0,0,0,0,0.80000001,0,0,0,0,0,0,0,0.40000001,0.0030489999,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Nicaragua",18.48,0.22,0.0099999998,0,0.000095000003,0.33000001,0,0,0.22,0,0.11,0.22,0,0,0,0.33000001,0,0,0,0,0,0,0.33000001,0,0.090000004,0,0,0.090000004,0,0,0,0,0,0.02,0,0,0,0,0,0,0,0,0,0.000168,0.0081940005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.11,0,0,0,0,0,0,0,0,0
"Costa Rica",31.6,2,0.12,0.000008,0.00093400001,0.40000001,0,0.1,0.5,0.40000001,0,0.1,0,0,0,0.40000001,0,0,0.0000070000001,0.30000001,0,0,1.8,0,0.13,0,0,0.2,0.2,0,0,0.0000070000001,0,0.039999999,0.40000001,0,0.000203,0,0,0,0,0,0.2,0.059999999,0.0099999998,0,0,0,0,0,0,0,0.000080999998,0.000051999999,0,0,0,0,0,0,0,0,0,0,0,0.2,0,0,0,0,0,0,0,0,0
"Panama",52.360001,1.4299999,0.33000001,0,0.22,0.76999998,0,0.11,0.11,0.11,0.33000001,0,0.55000001,0,0,0,0,0,0,1.21,0.22,0,1.76,0,0.22,0,0,0.33000001,0.33000001,0,0,0,0,0,0.44,0,0,0,0,0,0,0,0.55000001,0.039999999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.11,0,0,0,0,0,0,0,0,0,0,0.22,0,0,0
"Colombia",195.5,4,0.17,0.19,0.004001,0.60000002,0,0,0,0,0.89999998,0.80000001,0,0.2,1.7,5.6999998,1.1,0,0.000029000001,0.60000002,1.7,0.1,14.3,0,1.2,0,0,4.1999998,5.3000002,0.30000001,0.30000001,0,0,0.28,2.2,0,0.0068890001,0.001,0,0,0,0.89999998,5.9000001,0.12,0.43000001,0,0,0,0,0,0,0,0,0.000111,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.80000001,0,0,0
"Venezuela",543,19.9,4.1999998,0.0038040001,0.1,4,0,0.1,0.1,0.30000001,0.30000001,0,1.4,0,1.5,2.8,1.8,0,0.090000004,0.40000001,6.8000002,0.80000001,59,0.2,6.8000002,0,0,15.8,6.0999999,1.2,1,0.029999999,0.1,2.3,14.3,0,0.02,0.02,0,0,0,0.1,5,0.2,1.7,0,0,0,0,0.1,0.1,0,0.001922,0.02,0,0,0,0,0,0,0.1,0,0,0,0,0,0,0,0.30000001,0,0,0.80000001,0.40000001,0,0
"Ecuador",35.970001,1.65,0,0,0,0,0,0,0,0,0,0,0.11,0,0,0.66000003,0.33000001,0,0,0.55000001,0,0,4.1799998,0,0.11,0,0,0,0.76999998,0.11,0,0,0,0,0.99000001,0,0,0,0,0,0,0,0.88,0.0047220001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.33000001,0,0,0,0,0,0,0,0,0
"Peru",105.3,6.5,0.14,0.000065,0.000029000001,0.5,0,0,0,0.5,0,0,0,0,0.30000001,0,0.30000001,0,0.0099999998,2.5999999,7.9000001,0,15.5,0,0.98000002,0,0,1.78,3.9000001,0,0.30000001,0.0099999998,0,0.75999999,2.0999999,0,0.00033000001,0.0000090000003,0,0,0,0.1,3.5999999,0.31999999,0.090000004,0,0,0,0,0,0,0,0,0.00059900002,0,0,0,0,0,0,0.30000001,0,0,0,0,4.0999999,0,0,0.30000001,0,0,0,0,1.4,0
"Brazil",521.40002,15.84,0.0099999998,0,0,1.65,0,0,0,0,0,0,0,9.1300001,0,1.87,0,0.11,0.029999999,16.719999,129.14,18.26,158.39999,0,9.04,0,0,20.620001,35.09,6.4899998,7.6999998,3.0699999,0,12.97,19.139999,0,0.11,0.37,0,0,0,5.6100001,36.959999,9.4799995,3.51,0,0,0,2.2,0,0.33000001,0,0.66000003,0.00038099999,0,0,0,0,0,0,0,0,0,0,0,4.9499998,0.88,0,0,0,0,0,0,0.33000001,0
"Bolivia",44.990002,0.33000001,0,0,0,0.33000001,0,0,0,0,0,0.11,0,0,0.11,6.9299998,1.21,0,0,3.8499999,13.64,0.33000001,4.6199999,0,0.33000001,0,0,0,1.65,0.66000003,0,0,0,0,0.99000001,0,0,0,0,0,0,0,1.4299999,0.004797,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.33000001,0,0,0,0,0,0,0,0,0
