"","United States of America","Canada","Cuba","Haiti","Dominican Republic","Mexico","Guatemala","Honduras","El Salvador","Nicaragua","Costa Rica","Panama","Colombia","Venezuela","Ecuador","Peru","Brazil","Bolivia","Paraguay","Chile","Argentina","Uruguay","United Kingdom","Ireland","Netherlands","Belgium","Luxembourg","France","Switzerland","Spain","Portugal","Poland","Hungary","Czechoslovakia","Italy","Albania","Yugoslavia","Greece","Bulgaria","Romania","Russia","Finland","Sweden","Norway","Denmark","Iceland","Liberia","Ethiopia","South Africa","Iran","Turkey","Iraq","Egypt","Syria","Lebanon","Jordan","Saudi Arabia","Yemen Arab Republic","Afghanistan","China","Mongolia","Nepal","Thailand","Philippines","Australia","New Zealand"
"Argentina",0,0,0.34999999,0.0099999998,0.0030370001,0,0,0,0,0,0,0,0,0,0,0,0,0,2.8299999,0,0,0,72.809998,0,1.1900001,0,0,2.8,0,0,0,0.17,0,0.14,0,0,0.000089000001,0.029999999,0,0,0,0,0,4.3400002,0.16,0,0,0.000029999999,0,0,0,0,0.0099999998,0.001667,0,0,0,0,0,0,0,0,0,0,0,0
"Uruguay",0,0,4.5500002,0,0.11,0,0,0,0,0,0,0,0,0,0,0,0,0,2.5999999,0,0,0,0,0,0.36000001,0,0,0.82999998,0,0,0,0,0,0.029999999,0,0,0,0.02,0,0,0,0,0,0.34,0.0099999998,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"United Kingdom",0,0,82.660004,2.02,32.810001,0,0,0,0,0,0,0,0,0,0,0,0,0,9.1300001,0,207.32001,0,0,0,46.950001,0,0,57.290001,0,0,0,0.37,0,2.1800001,0,0.000004,0.18000001,5.4699998,0,0,0,0,0,29,83.120003,0,0,0.2,0,0,0,0,61.5,0,0,0,0,0,0,0,0,0,0,0,0,0
"Ireland",0,0,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.079999998,0,0,0,0,0,2.77,0,0,3.48,0,0,0,0,0,1,0,0,0.029999999,0.02,0,0,0,0,0,1.13,0.93000001,0,0,0,0,0,0,0,0.16,0,0,0,0,0,0,0,0,0,0,0,0,0
"Netherlands",202.17,0,7.7399998,0,0,0,0,0,0,0,0,0,0,0,0,0,14.58,0,0,0,30.219999,0,131.42,0,0,0,0,36.459999,23.360001,0,0,0,0,13.25,3.3099999,0,0,0,0,0,0,5.04,51.48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.46,0
"Belgium",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Luxembourg",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"France",1870.2001,195.68311,31.012285,0.029999999,6.4722123,10.69389,0.14,0.07,0.029999999,0.059999999,0.000244,0,3.4371097,62.315968,0.059999999,17.702944,44.818085,0.55000001,2.0755575,50.034698,275.07724,18.183653,336.63089,2.395272,43.976337,0,0,0,160.8172,4.8685551,17.8752,24.536686,0.07,15.741391,52.379169,0.003734,1.7229036,0.44,5.1092997,0.00148,124.55774,14.98963,103.37627,44.378078,24.459257,0,0,0,56.893085,23.145227,14.176271,37.893219,49.767483,0,0,0,0,0,0.0099999998,9.1491747,0,0,0.0099999998,2.4342551,205.89073,29.835035
"Switzerland",0,0,11.13,0.74000001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.6900001,0,0,0,0,0,19.799999,0,0,82.93,0,0,0,6.73,0,38.830002,0,0,1.42,0.38999999,0,0,0,0,0,1.84,16.139999,0,0,0.16,0,0,0,0,6.7199998,0,0,0,0,0,0,0,0,0,0,0,0,0
"Spain",0.0000144,0,2.5899999,0,0.079999998,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0099999998,0,0,0,0,0,0.44,0,0,0.41,0,0,0,0,0,0.059999999,0,0,0,0.00063899998,0,0,0,0,0,1.72,0.87,0,0,0,0,0,0,0,0.56999999,0,0,0,0,0,0,0,0,0,0,0,0,0
