"","United States of America","Haiti","Mexico","Guatemala","Colombia","Venezuela","Ecuador","Peru","Brazil","Bolivia","Chile","Argentina","United Kingdom","Netherlands","Belgium","France","Switzerland","Spain","Portugal","Germany","Austria-Hungary","Italy","Greece","Russia","Sweden","Denmark","Morocco","Tunisia","Iran","Turkey","Egypt","China","Japan"
"United States of America",0,0,0,0,1.22,0,0,0,0,0,0,4.1700001,222.85001,2.04,2.6500001,62.889999,0,5.3800001,0.20999999,0,0,5.0900002,0,0,2.3299999,0,0,0,0,0,0,4.6999998,0
"Haiti",0,0,0,0,0,0,0,0,0,0,0,0,3.0599999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Mexico",0,0,0,0,0,0,0,0,0,0,0,0,4.3600001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Guatemala",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Colombia",0,0,0,0,0,0,0,0,0,0,0,0,15.41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Venezuela",0,0,0,0,0,0,0,0,0,0,0,0,2.6500001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Ecuador",0,0,0,0,0,0,0,0,0,0,0,0,0.43000001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Peru",0,0,0,0,0,0,0,0,0,0,0,0,13.93,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Brazil",0,0,0,0,0,0,0,0,0,0,0,0.97000003,37.77,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Bolivia",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Chile",0,0,0,0,0,0,0,0,0,0,0,0,16.35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Argentina",3.0999999,0,0,0,0,0,0,0,3.2,0,0,0,15.53,0,1.51,0,0,17.469999,0,1.74,0,0,0,0,0,0,0,0,0,0,0,0,0
"United Kingdom",265.35001,1.89,2.1500001,0,4.9400001,0.58999997,1.1799999,20.440001,45.869999,0,27.139999,9.2299995,0,44.509998,64.129997,202.92,0,45.220001,19.99,93.349998,4.4200001,23.719999,9.6899996,92.639999,44.130001,17.559999,3.3199999,0,0,26.41,0,65.309998,0.88999999
"Netherlands",8.9799995,0,0,0,0,0,0,0,0,0,0,0,89.830002,0,39.610001,0,0,0,0,46.139999,0,0,0,9.3900003,1.65,0,0,0,0,0,0,0,0
"Belgium",15.35,0,0,0,0,0,0,0,0,0,0,14.6,43.610001,31.280001,0,59.919998,0,0,0,32.040001,0,0,0,11.94,0,0,0,0,0,0,0,0,0
"France",38.720001,0,0,0,0,0,0,0,0,0,0,0,125.79,0,83.099998,0,0,23.42,0.41999999,67.620003,0,70.830002,0,14.25,4.8800001,0,0,0,0,0,0,0,0
"Switzerland",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30.92,0,0,0,0,0,0,0,0,0,0,0
"Spain",11,0,0,0,0,0,0,0,0,0,0,1.7,29.6,0,0,23.4,0,0,1.91,0.23999999,0,0,0,0,0,0,0,0,0,0,0,0,0
"Portugal",1.27,0,0,0,0,0,0,0,0,0,0,0,15.96,0,0,4.04,0,2.98,0,0.52999997,0,0,0,0,0,0,0,0,0,0,0,0,0
"Germany",0,0,0,0,1.8200001,0,0,0,0,0,0,0.57999998,209.46001,82.080002,45.5,77.440002,0,1.51,0.74000001,0,0,1.4,0,49.880001,4.0700002,0,0,0,0,0,0,0,0
