"","United States of America","Canada","Cuba","Mexico","Guatemala","Honduras","El Salvador","Nicaragua","Costa Rica","Panama","Colombia","Venezuela","Ecuador","Peru","Brazil","Bolivia","Paraguay","Chile","Argentina","Uruguay","United Kingdom","Ireland","Netherlands","Belgium","Luxembourg","France","Switzerland","Spain","Portugal","Germany","Poland","Austria","Hungary","Czechoslovakia","Italy","Albania","Yugoslavia","Greece","Bulgaria","Romania","Russia","Estonia","Latvia","Lithuania","Finland","Sweden","Norway","Denmark","Liberia","Ethiopia","South Africa","Iran","Turkey","Afghanistan","China","Mongolia","Japan","Nepal","Thailand","Australia","New Zealand"
"United States of America",0,364.01999,267.82999,132.08,7.8800001,4.6900001,3.74,5.5,4.0300002,2.1600001,31.940001,7.4299998,4.4400001,15.87,120.38,6.6700001,1.26,59.709999,85.669998,11.05,356.92001,0,63.790001,53.900002,0,142.8,38.919998,28.66,1.62,117.49,1.9400001,2.95,0,11.55,63.93,0.02,0,21.23,0.74000001,0.16,0.25999999,0.75999999,0.27000001,0.079999998,6.2800002,33.349998,14.72,4.1599998,0,0.0099999998,8.7700005,4.7199998,0,0,134.60001,0,354.29001,0,0.15000001,35.779999,13
"Canada",502.84,0,11.21,4.5300002,0,0,0,0,0,0,0,0,0,1.33,0.36000001,0,0,0,0,0,131.37,0,1.58,4.6399999,0,11.4,7.7600002,0,0,2.3800001,0,0.000004,0,0,1.48,0,0,0.43000001,0,0,0,0,0,0,0,0,0.41,0,0,0,0.059999999,0,0,0,0.94999999,0,6.6999998,0,0,1.35,2.1700001
"Cuba",120.53,6.1399999,0,3.73,0.079999998,0.0099999998,0.81,0.050000001,0.005812,0.004216,0.0091169998,0.059999999,0.07,0.72000003,0.11,0,0,0.30000001,0.76999998,1.39,9.0600004,0.14,1.35,0,0,5.9299998,0.34,8.3199997,0.029999999,3.53,0,0.029999999,0,0,0.36000001,0,0,0,0,0.0099999998,0,0,0,0,0,0.23,1.1900001,0.36000001,0,0,0,0.00055200001,0.00051099999,0,1.47,0,0.52999997,0,0.22,0,0
"Mexico",96.489998,0.56,0.2,0,0.30000001,0,0,0,0,0,0,0,0,0,0,0,0.00075299997,0,0.14,0,11.59,0,0.64999998,1.27,0,9.8599997,1.74,4.0100002,0,18.33,0.0052129999,0.30000001,0,0.67000002,1.2,0,0.000018999999,0.0099999998,0,0,0,0.0047769998,0,0.0054680002,0,0,0.12,0.059999999,0,0.00020900001,0,0,0,0,0,0,0.30000001,0,0,0,0
"Guatemala",6.6399999,0,0.0071470002,0.07,0,0.0099999998,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.59,0,0.090000004,0.0089999996,0,0.34999999,0,0.13,0,1.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.15000001,0,0,0,0
"Honduras",10.85,0,0.007524,0,0.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.55000001,0,0,0,0,0.23999999,0,0.07,0,0.54000002,0,0,0,0,0.090000004,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.17,0,0,0,0
"El Salvador",4.8699999,0,0.0020000001,0,0,0,0,0.1,0.0099999998,0.003,0,0,0,0,0,0,0,0,0,0,1.23,0,0.0099999998,0,0,0.20999999,0,0.059999999,0,0.16,0,0,0,0,0.079999998,0,0,0,0,0,0,0,0,0,0,0.0070000002,0.0049999999,0.0020000001,0,0,0,0,0,0,0,0,0,0,0,0,0
"Nicaragua",4.04,0,0,0,0,0,0.0099999998,0,0.02,0,0,0,0,0,0,0,0,0,0,0,0.47,0,0,0,0,0.07,0,0.0099999998,0,0.07,0,0,0,0,0.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0029412,0,0.007677,0,0,0,0
"Costa Rica",2.5899999,0,0.0083670001,0,0,0,0.1,0.14,0,0.2,0.0063828002,0,0,0.0099999998,0,0,0,0,0,0,0.58999997,0,0.039999999,0.0099999998,0,0.07,0,0.090000004,0,0.17,0,0,0,0,0.029999999,0,0,0.00037200001,0,0,0,0,0,0,0,0,0.002197,0.001916,0,0,0,0,0,0,0,0,0.0099999998,0,0,0,0
"Panama",7.02,0,0.050000001,0,0,0,0.090000004,0,0.15000001,0,0.090000004,0,0,0.28,0,0,0,0,0,0,0.94999999,0,0,0.0099999998,0,0.30000001,0,0.079999998,0,0.30000001,0,0,0,0,0.059999999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.50999999,0,0.16,0,0,0,0
"Colombia",16.559999,0,0.090000004,0,0,0,0,0,0.029999999,0,0,0.28,0.23999999,0,0,0,0,0,0,0,7.4200001,0,0.68000001,0.17,0,1.58,0,1.0700001,0,2.04,0,0,0,0,1.05,0,0,0,0,0,0,0,0,0,0,0,0.0057089999,0.090000004,0,0,0,0,0,0,0,0,0.029999999,0,0,0,0
"Venezuela",9.2799997,0,0.0099999998,0,0,0,0,0,0,0,0.0099999998,0,0,0,0,0,0,0,0,0,3.8099999,0,0.58999997,0.039999999,0,1.02,0,0.79000002,0,0.98000002,0,0.00036400001,0,0,0.41,0,0,0,0,0,0,0,0,0,0,0,0.0099999998,0.13,0,0,0,0,0,0,0,0,0.000122,0,0,0,0
"Ecuador",3.78,0,0.00012500001,0,0,0,0,0,0,0,0.02,0,0,0.31,0,0,0,0.02,0,0,2.3399999,0,0.059999999,0.18000001,0,0.31999999,0,0.22,0,0.61000001,0,0,0,0,0.079999998,0,0,0,0,0,0,0,0,0,0,0.0099999998,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Peru",2.01,0.0038600001,0.0092369998,0,0,0,0,0,0.02,0,0,0,0.17,0,0,0.02,0,1.5700001,1.6,0,7.7800002,0,0.41999999,0.66000003,0,1.24,0,0.55000001,0,4.4200001,0,0.002416,0,0,1.16,0,0,0,0,0,0,0,0,0,0,0,0.14,0.050000001,0,0,0,0,0,0,0,0,0.73000002,0,0,0.99000001,0
"Brazil",49.049999,1.49,0.0099999998,0,0,0,0,0,0,0,0,0,0,0,0,0.20999999,0.0082869995,0.0099999998,29.82,3.3,55.529999,0,3.27,6.8699999,0,12.81,2.6800001,2.3499999,5.21,19.07,0.029999999,0.30000001,0,0.52999997,8.3500004,0,0.050000001,0.003237,0,0,0,0,0,0,0.56999999,1.96,2.1500001,1.26,0,0,0.02,0,0,0,0,0,0.34,0,0,0,0
"Bolivia",2.0799999,0,0.0099999998,0,0,0,0,0,0,0,0,0,0,0.64999998,0.15000001,0,0,1.8200001,0.54000002,0,1.89,0,0.0099999998,0,0,0.20999999,0,0.12,0,0.47999999,0,0,0,0,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Paraguay",0.94999999,0.000024999999,0,0.001701,0,0,0,0,0,0,0,0,0,0,0.002996,0,0,0,1.4299999,0.090000004,1.05,0,0.00062399998,0.029999999,0,0.07,0,0.12,0,0.30000001,0,0,0,0,0.07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Chile",23.190001,0,0.16,0,0,0,0.11,0,0,0,0,0,0.41999999,7.1199999,1.87,0.1,0.000022,0,3.0899999,0,20.809999,0,0.76999998,2.76,0,4.3299999,0,1.39,0,12.07,0,0.0099999998,0,0.00136,1.74,0,0.000589,0.00090400001,0,0,0,0,0,0,0,0,2.4927857,0.22,0,0,0,0,0,0,0,0,0.17,0,0,0.11,0
"Argentina",119.21,0,1.5599999,18.540001,0,0,0,0,0,0,0,0,0,4.21,38.16,0.40000001,5.73,2.78,0,4.3499999,126.31,0,5.77,22.780001,0,27.389999,5.1300001,20.52,0.18000001,72.43,0.02,0.22,0,0.30000001,30.77,0,0.050000001,0.059999999,0,0,0,0,0,0,0.89999998,15.67,2.1099999,0.91000003,0,0,0.22,0,0,0,0,0,4.3699999,0,0,0,0
"Uruguay",17.049999,0,0.31,0,0,0,0,0,0,0,0,0,0,0,6.3800001,0,0.43000001,0,7.5900002,0,10.66,0,0.20999999,1.55,0,1.3,0,2.5899999,0.079999998,3.4400001,0,0.0026980001,0,0,1.7,0,0,0,0,0,0,0,0,0,0,0,0.02,0.0040520001,0,0,0,0,0,0,0,0,0.079999998,0,0,0,0
"United Kingdom",937.70001,234.42999,46.68,24.190001,0.27000001,0.059999999,0.2,0.22,2.51,0.13,3.0999999,0.69,0.73000002,25.35,29.52,8.6499996,0.0023437999,13.52,238.67999,17.35,0,0,148.67,102.51,0,189.22,80.849998,79.300003,5.6900001,150.73,12.67,6.75,0,23.110001,45.599998,0.0071410998,2.8399999,13.96,0.20999999,2.3099999,30.200001,5.02,7.8600001,4.9400001,35.689999,83.989998,45.779999,173.60001,0,0.02,41.75,14.64,13.87,0,29.139999,0,33.040001,0,1.42,200.37,193.92999
"Ireland",0,0,0.0024900001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.05,0,0,0.050000001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.079999998,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Netherlands",98.129997,9.2399998,4.0599999,3.6099999,0.94,0,1.58,0.15000001,0.16,0,1.39,1.5,1.11,0.07,8,0,0.039999999,2.95,27.549999,0.72000003,118.98,0.11,0,68.110001,0,20.75,6.2800002,6.2600002,0.47,220.64,2.74,2.55,0.31,5,4.0500002,0,0.23,4.9200001,0.13,1.74,1.98,0.25,0.63,0.43000001,7.9899998,12.06,2.53,5.5300002,0.029999999,0.0099999998,3.8800001,0,0.13,0.0099999998,3.45,0,5.9699998,0,0.029999999,2.3599999,0.059999999
"Belgium",101.53,11.64,0,0.68000001,0.0099999998,0,0,0,0.001182,0,0.15000001,0.050000001,0.15000001,0.76999998,8.5699997,0,0.000000078100001,0.49000001,36.330002,2.3699999,110.81,0,63.099998,0,0,325.42999,9.1400003,0,1.4400001,0,0,0,0,3.6500001,0,0,0,0.82999998,1.21,10.04,0.13,1.01,4.1599998,0,6.7600002,8.5100002,4.3400002,8.1700001,0,0,5.4499998,0,0,0,1.76,0,0.89999998,0,0.19,20.92,0.029999999
"Luxembourg",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"France",298.35999,13.2,7.7600002,8.6099997,0.0099999998,0.0099999998,1.47,1.26,0.07,0.0060000001,1.86,3.0899999,0.94999999,0.31,37.650002,0.41,0.059999999,12.47,76.870003,8.3400002,253.98,1.4,51.299999,145.89999,0,0,37.869999,28.389999,17.49,112.21,3.3900001,3.6300001,2.4000001,10.76,60.029999,0.0071410998,6.7199998,4.1199999,2.1700001,10.37,9.3699999,0.76999998,1,0,9.8900003,28.709999,9.6400003,7.96,0,0,7.75,0,9.4799995,0,55.919998,0,29.110001,0,0.19,60.240002,0.28999999
"Switzerland",36.290001,13.08,0,0,0,0,0,0,0,0,0,0,0,0,3.24,0,0,0,10.4,0,33.16,0,7.9200001,15.93,0,57.700001,0,8.8900003,0.000066699999,69.709999,1.8200001,4.71,0,6.8899999,42.799999,0,4.21,0.60000002,1.16,3.1900001,1.66,0,0.000772,0,0,2.4200001,0.56,6.3600001,0,0,0,0,0,0,1.53,0,4.6700001,0,0,3,0
"Spain",70.93,0,3.1199999,1.33,0.003,0,0.34999999,0.0099999998,0.0099999998,0,0.38999999,2.74,0.62,0.0099999998,1.24,0.001925,0.029999999,0.81,6.3299999,0.72000003,52.939999,0,8.21,0,0,40.200001,11.35,0,0.99000001,43.150002,0,0.88,0,0.66000003,0,0,0.11,0.17,0,0.1,0,0,0,0,0.28999999,9.1800003,3.49,3.6199999,0,0.001722,0,0,0,0,0,0,0.57999998,0,0,0,0
"Portugal",7.75,0,0,0,0,0,0,0,0,0,0,0,0,0,6.0599999,0,0,0,5.8400002,0.15000001,29.120001,0,1.52,6.6799998,0,6.7600002,0.75,3.0599999,0,8.4399996,0,0.02,0,0,1.14,0,0,0,0,0,0.0031353999,0,0,0,0,0.38999999,0.050000001,0.20999999,0,0,0,0,0.0014677,0,0,0,0,0,0,0,0
"Germany",316.10001,9.2399998,0.58999997,1.4400001,1.91,0.039999999,1.37,0.02,0.07,0.12,0.30000001,1.1,1.4,1.5,18.6,0.059999999,0.003125,0.11,41.279999,7.0599999,142.14,0,39.119999,0,0,152.85001,36.720001,1.03,1.2,0,0.059999999,0.15000001,0.000040999999,42.25,46.16,0.00096500001,0.059999999,17.389999,5.02,5.7199998,6.9000001,1.79,2.54,0,8.3800001,27.01,13.36,16.76,0,0,13.21,0.029999999,0,0,7.3800001,0,1.78,0,1.21,20.370001,1.0599999
"Poland",0.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001226,0,0,0.00028000001,0.000887,0,61.805649,0,0.0027010001,0,0,0.0068430002,0.0019789999,0,0.000047000001,0.050000001,0,0.0099999998,0.001244,0.0099999998,0.0028248001,0,0.000059999998,0,0,0.00065539998,0.00053680001,0,0.000071000002,0.000023000001,0.000118,0.00042200001,0.001669,0.00079700002,0,0,0,0,0.00069900003,0,0.00030700001,0,0.000095000003,0,0,0,0
"Austria",42.142422,0.16,0.029999999,0.0048709,0,0,0,0,0,0,0,0.0042340001,0,0.0028220001,2.01,0,0,0.050000001,8.4276085,0.0036289999,0.039999999,0,0.02,0,0,0.02,26.156017,0.25,0.0007338,0.38,0.079999998,0,0.19,0.40000001,25.92729,0,21.021906,0.94999999,0.02,0.02,0.31999999,0,0.00080600003,0,0.050000001,0.17,0.54000002,0.81,0,0,0,0.039999999,1.5599999,0,0.31,0,0.14,0,0,4.2504187,0
"Hungary",5.2800002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.6900001,0,0.0099999998,0,0,0.0099999998,3.75,0,0,0.079999998,0.02,71.379997,0,0.11,6.8699999,0,0.0099999998,0,0,17.74,0.85000002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Czechoslovakia",28.35,0,0,0,0,0,0,0,0,0,0,0,0,0,3.3499999,0,0,1,5.5100002,0,8.0799999,0,10.34,2.8199999,0,5.5100002,4.0799999,0.91000003,0,85.400002,7.8299999,12.23,8.4700003,0,7.1399999,0,6.46,0,0.73000002,5.3299999,0,0,0.0021230001,0,0,1.12,0.75,4.29,0,0,0,0,0,0,0,0,0,0,0,0,0
"Italy",208.91,11.22,0.039999999,0.75,0,0,1.14,0.02,0.0030731999,0.0099999998,0.079999998,0.13,0.67000002,0.02,16.57,0,0.16,0.44,36.610001,2.02,96.029999,0,5.23,0,0,54.68,15.72,0,0.61000001,59.18,0.00041850001,15.48,0,8.1000004,0,0.80000001,17.440001,6.79,3.6800001,7.8499999,0.63,0,0,0,0,2.3,3.5599999,1.99,0,0,0,0,0,0,0,0,8.7399998,0,0,28.950001,0
"Albania",0.029999999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.079999998,0,0,0,0,0,0,0,0,0.0099999998,0,0.07,0,0,0.039999999,0,0.11,0.27000001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.12,0,0,0,0,0,0,0,0
"Yugoslavia",3.04,0.000642,0,0,0,0,0,0,0,0,0,0.000379,0,0,0.050000001,0,0,0.00069000002,0.12,0,6.1999998,0,1.29,0,0,2.6400001,0.50999999,0.02,0.029999999,6.2399998,0.33000001,25.17,2.28,9.6899996,13.32,0.11,0,2.45,0.88,3.29,0.0099999998,0,0,0,0.001067,0.008688,0.07,0.050000001,0,0,0,0.0033160001,0.050000001,0,0.02,0,0.005872,0,0,0,0
"Greece",22.4,6.1300001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.72,0,1.88,3.3399999,0,6.6399999,0,0,0,6.0999999,0,0.27000001,0,0,9.1300001,0.1,0,0,2.5,3.79,0.039999999,0,0,0,0,0,0,0,0,0,0,0,2.97,0,0,0,0,0,0,0,0
"Bulgaria",0.51999998,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.2600002,0,0.30000001,1.0599999,0,1.96,0.14,0,0,6.1300001,0.039999999,2.3900001,0,1.09,3.5,0,0.19,0.88999999,0,3.5,0.090000004,0,0,0,0,0,0.0099999998,0.0036889999,0,0,0,0,2.1099999,0,0,0,0,0,0,0,0
"Romania",2.8499999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.6399999,0,1.14,0.95999998,0,5.0700002,0.66000003,0.090000004,0,16.870001,10.57,13.71,5.77,8.0500002,5.0700002,0,0.36000001,1.09,0.5,0,0.0024111001,0,0,0,0,0,0.050000001,0,0,0,0,0,4.0700002,0,0,0,0,0,0,0,0
"Russia",70.790001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27.379999,0,2.1199999,0.36000001,0,2.8499999,0.17,0,0,58.41,5.0599999,0.000114,0,0,1.54,0,0,0.00099309999,0.85000002,1.9299999,0,3.6300001,11.01,0,5.6399999,6.7800002,5.4099998,0.02,0,0,0,0.49000001,0.76999998,0,0.059999999,0,0.000231,0,0,0,0
"Estonia",3.0999999,0.38999999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.029999999,0,27.18,0,0.16,0.16,0,0.15000001,0,0,0,8.9899998,0,0.000029000001,0,0,0,0,0,0,0,0,0.23999999,0,0.73000002,0,1.04,0.2,0.029999999,0.56999999,0,0,0,0,0,0,0,0,0,0,0,0,0
