"","United States of America","Cuba","Haiti","Dominican Republic","Mexico","Guatemala","Honduras","El Salvador","Nicaragua","Panama","Colombia","Venezuela","Ecuador","Peru","Brazil","Bolivia","Paraguay","Chile","Argentina","Uruguay","United Kingdom","Netherlands","Belgium","France","Switzerland","Spain","Portugal","Germany","Austria-Hungary","Italy","Yugoslavia","Greece","Romania","Russia","Sweden","Denmark","Ethiopia","Morocco","Iran","Turkey","China","Korea","Japan","Thailand"
"Russia",19.64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,93.24,85.46,38.49,43.43,10.61,6.45,0,78.86,8.73,34.34,0.1293,5.71,0.47,0,2.81,15.84,0,0,0.13,6.1,7.96,0,0.42,0
"Sweden",6.14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28.57,2.2,6.46,5.93,0,4.37,0,19.52,0,0,0,0,0,2.81,0,3.88,0,0,0,0,0,0,0,0
"Denmark",16.62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,55.27,3.49,2.05,3.26,0,0,0,31.79,0,0,0,0,0,15.84,3.88,0,0,0,0,0,0,0,0,0
"Ethiopia",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Morocco",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Iran",0.07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.18,0,0,0.76,0,0,0,0.24,9.94,0.28,0,0,0,0.13,0,0,0,0,0,0.97,0.61,0,0,0
"Turkey",14.69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.68,0,0,0,0,0,0,0,5.97,11.96,0.05,1.71,0.22,6.1,0,0,0,0,0.97,0,0,0,0,0
"China",13.14,0,0,0,0,0,0,0,0,0,0,0,0,9.3,0,0,0,0,0,0,18.75,0,2.83,0,0,0,0,0,0,0,0,0,0,7.96,0,0,0,0,0.61,0,0,0,8.77,0
"Korea",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.43,0
"Japan",24.03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.37,0.29,3.54,14.58,0.96,0,0,10.88,1.34,5.35,0,0,0,0.42,0,0,0,0,0,0,8.77,1.43,0,1.83
"Thailand",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.77,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.83,0
