"","United States of America","Haiti","Mexico","Guatemala","El Salvador","Colombia","Venezuela","Ecuador","Peru","Brazil","Bolivia","Paraguay","Chile","Argentina","Uruguay","United Kingdom","Netherlands","Belgium","France","Switzerland","Spain","Portugal","Germany","Austria-Hungary","Italy","Yugoslavia","Greece","Romania","Russia","Sweden","Denmark","Morocco","Iran","Turkey","China","Korea","Japan","Thailand"
"United States of America",0,0.73000002,33.549999,2.55,1.35,3.5699999,3.6199999,0.95999998,0.81,76.220001,0.0054759998,0,3.99,5.23,1.62,182.85001,17.440001,11.16,76.07,16.01,5.6900001,2.6800001,96.209999,10.05,26.25,0.02,1.28,0,5.73,4.1700001,0.23,0,0,2.21,20.629999,0.000078999998,27.450001,0
"Haiti",5.4699998,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Mexico",9.3299999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.74,0,0,2.8299999,0,1.26,0,1.74,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Guatemala",1.76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"El Salvador",1.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Colombia",3.1500001,0,0,0,0,0,0,0.1,0,0,0,0,0,0,0,4.6500001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Venezuela",4.1999998,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Ecuador",1.67,0,0,0,0,0.02,0,0,0.50999999,0,0,0,0.30000001,0,0,2.47,0,0,1.6799999,0,0.19,0,1.36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Peru",0.63,0,0,0,0,0,0,0.25999999,0,0,0,0,0.69,0,0,3.8399999,0,0.13,0,0,0,0,1.0700001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Brazil",12.38,0,0,0,0,0,0,0,0,0,0,0,0.07,4.25,5.6700001,37.77,0,3.45,14.49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
