"","United States of America","Cuba","Haiti","Dominican Republic","Mexico","Guatemala","Honduras","El Salvador","Nicaragua","Panama","Colombia","Venezuela","Ecuador","Peru","Brazil","Bolivia","Paraguay","Chile","Argentina","Uruguay","United Kingdom","Netherlands","Belgium","France","Switzerland","Spain","Portugal","Germany","Austria-Hungary","Italy","Yugoslavia","Greece","Bulgaria","Romania","Russia","Sweden","Norway","Denmark","Ethiopia","Morocco","Iran","Turkey","China","Japan","Thailand"
"Italy",79.309998,0,0,0,0,0,0,0,0.07,0,0,0.14,0,0,9.6099997,0,0,0.36000001,13.23,1.65,97.459999,9.1999998,12.81,62.490002,14.9,5.71,0,105.11,55.23,0,0.85000002,0.76999998,0.77999997,9.7299995,0.02,0,2.55,0,0,0.49000001,1.01,32.779999,6.1700001,8.8500004,0
"Yugoslavia",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.84,0,0.38999999,1.08,0,0,0,6.0300002,9.1400003,0.94999999,0,0,0.13,0.28999999,0.66000003,0,0,0,0,0,0,0.72000003,0,0,0
"Greece",0.76999998,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.9699998,0.029999999,0.02,1.9400001,0.0026179999,0,0,2.53,4.6700001,1.36,0,0,2.48,0.02,6.6100001,0,0.0099999998,0,0,0,0,1.75,0,0,0
"Bulgaria",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.8899999,0,0.99000001,4.9000001,0,0,0,7.8499999,9.4200001,1.76,0.52999997,0.0028029,0,0,1.37,0,0,0,0,0,0,3.1400001,0,0,0
"Romania",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.58,0,4.6599998,6.75,0,0,0,35.490002,26.42,5.5999999,1.16,0.17,0,0,2.7,0,0,0,0,0,0,2.6400001,0,0,0
"Russia",21.51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,79.059998,7.23,12.87,29.07,0.0036681001,0,0,248.92,19.33,0.0089298002,0.0099999998,0.57999998,0,1.36,0,0.0049979999,3.1700001,4.23,0,0,25.34,4.1900001,41.82,2.8,0
"Sweden",15.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44.450001,5.2399998,2.4400001,8.5600004,0,1.01,0,66.269997,0,0,0,0,0,0,0.0045607998,0,5.52,12.7,0,0,0,0,0,0,0
"Norway",8.3800001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34.34,4.5900002,3.3800001,3.24,0.40000001,1.13,0.38999999,40.02,0.61000001,1.02,0,0.13,0,0,9.5600004,8.3800001,0,5.9400001,0,0,0,1.03,0,0,0
"Denmark",17.17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31.35,4.6799998,2.72,4.6300001,0,0,0,72.519997,0,0,0,0,0,0,14.31,18.26,2.1800001,0,0,0,0,0,0,0,0
"Ethiopia",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Morocco",0.14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.4200001,0,0.72000003,10.92,0,3.8199999,0,1.8200001,0.61000001,0.14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Iran",0.059999999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.37,0.14,0.97000003,1.12,0.07,0,0,5.3499999,0.88,0.20999999,0,0,0,0,23.92,0,0,0,0,0,0,2.0999999,0.050000001,0,0
"Turkey",5.4099998,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43.939999,0,0,17.4,0,0,0,22.799999,30.209999,0.0099999998,2.26,0.97000003,5.6900001,4.1199999,13.43,0,0.11,0,0,0,3.71,0,0,0,0
"China",27.17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,59.639999,0,9.4099998,1.99,0,0,0,14.58,0,0.44,0,0,0,0,13.26,0,0,0,0,0,0.67000002,0,0,53.009998,9.8299999
"Japan",40.07,0,0,0,7.54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,54.919998,0.57999998,3.8199999,2.72,1.14,0,0,27.700001,1.52,0.31999999,0,0,0,0,0.50999999,0,0,0,0,0,0,0,41.060001,0,0.11
"Thailand",0.60000002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.8099999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.1799998,0.82999998,0
