"","United States of America","Canada","Cuba","Haiti","Dominican Republic","Mexico","Guatemala","Honduras","El Salvador","Nicaragua","Costa Rica","Panama","Colombia","Venezuela","Ecuador","Peru","Brazil","Bolivia","Paraguay","Chile","Argentina","Uruguay","United Kingdom","Ireland","Netherlands","Belgium","Luxembourg","France","Switzerland","Spain","Portugal","Germany","Poland","Austria","Hungary","Czechoslovakia","Italy","Albania","Yugoslavia","Greece","Bulgaria","Romania","Russia","Estonia","Latvia","Lithuania","Finland","Sweden","Norway","Denmark","Liberia","South Africa","Iran","Turkey","Iraq","Egypt","Saudi Arabia","Yemen Arab Republic","Afghanistan","China","Mongolia","Japan","Nepal","Thailand","Australia","New Zealand"
"United States of America",0,260,105.69,2.96,5.7399998,49,12,8.9399996,6.75,3.96,4.6199999,5,49,20,4.73,13,98,1,1.33,28,40,5,118,1,31.440001,42,0,54,23,9,5,64.550003,13.41,1.27,4,26.17,41,0.15000001,3.8499999,14.87,2,2,24,1.24,0.55000001,0.92000002,18,45,15.68,3.3199999,0,4,3,19,3,4.77,0,0,0,44,0,126.76,0,0.20999999,9,6
"Canada",423,0,0.43000001,0.059999999,0.00033899999,1,0.079999998,0,0,0,0.039999999,0,7,2,0,3,1,0,0.050000001,0.0099999998,2,0,119,0,3.73,6,0,6.0599999,3,1,1,9.8699999,0.25,0.079999998,0,2.51,3,0.00214,0.059999999,0.02,0,0,0,0.0099999998,0.0099999998,0.000382,0,2,0.72000003,0.17,0,2,0,1,0,0.54000002,0,0,0,2,0,4.6100001,0,0,9,5
"Cuba",74.019997,0.81,0,0.0015069999,0.02,0.72000003,0.0047220001,0.029999999,0.000002,0.000229,0.00043399999,0.002567,0.0099999998,0.23999999,0.079999998,0.0074709998,0.0099999998,0.000012,0.02,0.99000001,0.20999999,0.02,4.48,0.13,0.58999997,1,0,2.77,0.54000002,1.59,0.14,4.6700001,0.050000001,0.07,0.17,0.54000002,0.67000002,0,0.0099999998,0.00046800001,0.0032899999,0.00074599998,0.00088499999,0.000079999998,0,0,0.059999999,0.94999999,0.47999999,0.039999999,0,0,0.00096600002,0.0099999998,0,0.0021500001,0,0,0,0.029999999,0,0.5,0,2.9400001,0.050000001,0.0099999998
"Haiti",3.6400001,0.11,0.0041109999,0,0,0.000040999999,0,0,0,0,0,0,0.000001,0.000002,0,0,0.000016,0,0,0.000037999998,0.003574,0,4.73,0,0.039999999,0.20999999,0,0.0081390003,0.0052880002,0,0.000024000001,0.11,0.000179,0,0,0.07,0.07,0,0,0,0,0,0,0,0,0,0,0.02,0.00333,0.0099999998,0,0,0,0,0,0,0,0,0,0.02,0,1,0,0,0.050000001,0
"Dominican Republic",5.6900001,0.28999999,0.090000004,0,0,0.00012899999,0,0,0,0,0,0,0.000072000003,0.000039999999,0,0.0000030000001,0,0,0,0.000033,0.0018110001,0,2.24,0.039999999,0.039999999,0.15000001,0,0.0081860004,0,0,0.000037000002,0.38999999,0.000179,0,0,0,0.2,0,0,0,0,0,0,0,0,0,0,0,0.001788,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.0099999998
"Mexico",63,1,0.02,0.00056199997,0.0039869999,0,0,0,0,0,0,0,0,0,0,0,0.0099999998,0,0,1.14,0,0.15000001,4,0,1.04,1,0,4.4099998,2,0.46000001,1,20.67,0.44,0,0.17,0.60000002,2,0,0.000207,0.02,0,0,0,0.001288,0.0099999998,0.0099999998,0.039999999,3,0.28,0.23,0,0,0,0,0,0.13,0,0,0,0,0,1.9400001,0,0,1,0
"Guatemala",10,0.039999999,0.0061619999,0,0,0.14,0,0,0.1,0,0,0,0,0,0,0,0,0,0.000139,0,0,0,1,0,0.2,1,0,0.25,0,0.029999999,0,5.8800001,0.0041160001,0.0099999998,0,0.14,0.22,0,0.000155,0,0,0,0,0.00023600001,0.00019799999,0,0,0.23,0.02,0.02,0,0,0,0,0,0,0,0,0,0,0,0.029999999,0,0,0,0
"Honduras",7,0,0.0099999998,0,0,0,0,0,0.47,0,0,0,0,0,0,0.050000001,0,0,0,0,0,0,1,0,0.0099999998,0,0,0.0039570001,0,0,0,0.38999999,0.000143,0,0,0,0.039999999,0,0,0,0,0,0,0,0,0,0,0,0.00086299999,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"El Salvador",4,0,0.003611,0,0,0,0.079999998,0.25,0,0,0,0,0,0,0,0.14,0,0,0,0,0,0,1,0,0.02,0.12,0,0.0080279997,0,0.02,0,0.52999997,0.000179,0,0,0.22,1,0,0.00023400001,0,0,0,0,0,0,0,0.02,0.059999999,0.0022809999,0.0099999998,0,0,0,0,0,0,0,0,0,0,0,0.003,0,0,0,0
"Nicaragua",3,0,0,0,0,0,0,0,0,0,0.0099999998,0.050000001,0,0,0,0.17,0,0,0,0,0,0,1,0,0,0.079999998,0,0.1,0,0,0,0.50999999,0.000179,0,0,0.079999998,0.029999999,0,0,0,0,0,0,0,0,0,0,0,0.005101,0.0099999998,0,0,0,0,0,0,0,0,0,0,0,0.079999998,0,0,0,0
