"","United States of America","Canada","Bahamas","Cuba","Haiti","Dominican Republic","Jamaica","Trinidad and Tobago","Barbados","Dominica","Grenada","St. Lucia","St. Vincent and the Grenadines","Antigua & Barbuda","Mexico","Belize","Guatemala","Honduras","El Salvador","Nicaragua","Costa Rica","Panama","Colombia","Venezuela","Guyana","Suriname","Ecuador","Peru","Brazil","Bolivia","Paraguay","Chile","Argentina","Uruguay","United Kingdom","Ireland","Netherlands","Belgium","Luxembourg","France","Switzerland","Spain","Portugal","German Federal Republic","German Democratic Republic","Poland","Austria","Hungary","Czechoslovakia","Italy","Malta","Albania","Yugoslavia","Greece","Cyprus","Bulgaria","Romania","Russia","Finland","Sweden","Norway","Denmark","Iceland","Cape Verde","Sao Tome and Principe","Guinea-Bissau","Equatorial Guinea","Gambia","Mali","Senegal","Benin","Mauritania","Niger","Ivory Coast","Guinea","Burkina Faso","Liberia","Sierra Leone","Ghana","Togo","Cameroon","Nigeria","Gabon","Central African Republic","Chad","Congo","Democratic Republic of the Congo","Uganda","Kenya","Tanzania","Burundi","Rwanda","Somalia","Djibouti","Ethiopia","Angola","Mozambique","Zambia","Zimbabwe","Malawi","South Africa","Lesotho","Botswana","Swaziland","Madagascar","Comoros","Mauritius","Seychelles","Morocco","Algeria","Tunisia","Libya","Sudan","Iran","Turkey","Iraq","Egypt","Syria","Lebanon","Jordan","Israel","Saudi Arabia","Yemen Arab Republic","Yemen People's Republic","Kuwait","Bahrain","Qatar","United Arab Emirates","Oman","Afghanistan","China","Mongolia","Taiwan","North Korea","South Korea","Japan","India","Bhutan","Pakistan","Bangladesh","Myanmar","Sri Lanka","Maldives","Nepal","Thailand","Cambodia","Laos","Vietnam","Malaysia","Singapore","Philippines","Indonesia","Australia","Papua New Guinea","New Zealand","Vanuatu","Solomon Islands","Fiji","Samoa"
"Bulgaria",247.13,7.56,0,0,9,0.01,0,0,0,0,9,0,9,0,0,9.027,0,0.001,0.003,2.2051,0.012,0.017,2.107,0.2,0.0002,0,0.18,11.51,7.821,9,0.786,4.7,3.059,1.0008,48.67,5.024,16.85,29.0562,1.3238,86.12,76.27,22.501,2.196,0,0,125.619,85.77,23.199,39.4227,42.73,0.08,0,20.119,24.647,1.4245,0,35.157,0,6.251,115.13,2.439,4.165,0.1482,0,0,0,0,9,0.004,0.0184,9,0,0.005,0,0,0,9.039,9,0.018,0,0.439,29,0,0,9,0.0758,0,0,0.3274,0.2481,0,0,0.005,0,0.313,0,9,0.2445,2.3491,0,0,0,0,0,0,9,0.01,0,19.998,16.783,0.441,166.36,0.945,180,47.068,0,34.581,91.494,0,42.428,4.2,35.1,9.5525,0,13.5,0,9.11,0.66,9,0,9.76,0,0,0,1.21,103.87,68.813,0,15.28,6.459,0,0.2285,0,0,11.57,0,9,0,1.672,12.766,1.6,0.54,0.898,0,0.81,0,0,0,0
"Romania",329.35,20.89,0,69.091,0.265,0,0.006,0.27,0.012,0,0,0,9,0,4.8,0.004,0,0.053,2.4,0.095,2.941,0.244,1.41,12.3,0.058,0.01,0.06,0.47,70.365,0,9.082,51.81,36.04,0.285,192.34,1.39,105.12,42.1497,1.9203,2.94,88.67,84.46,5.96,0,5.473,31.15,106.41,60.43,78.3556,216.35,0.42,7.646,9.34,46.83,8.806,35.157,0,23.958,1.48,8.89,6.28,2,0.299,0,0,0,9,0,0.121,6.54,0.947,0,0.792,7.44,0.11,9.085,7.977,0.7526,0.483,0,1.175,177.41,0.491,0.055,9,0.3923,3.67,0,1.405,1.312,0.459,0.652,0.4274,0,0.481,24.227,0,0,7.152,9,0,0,0,0,0.066,9,0.051,0,39.21,47.55,7.09,273.7,2.219,553.72,319,669.84,163.62,25.23,231.67,38.91,28.37,353.84,6.4424,4.741,193.56,0,9.39,49.4,3.47,9,51.51,0.046,0,5.779,0,156.14,50.31,0,27.64,5.21,15.246,0.414,0,0,7.3,0,0,17.937,32.03,2.39,5.88,1.36,8.82,3.432,1.57,9,0,0.268,9
"Russia",2297.96,1573.18,0,0,0,15.308,14.9533,0.39,1.377,0,1.578,0,9.0826,0,12.24,0.012,0,1.064,0.04,4.8798,0.0126,1.287,7.334,0.8,0.6443,0.063,1.103,10.475,658.878,0,9.072,0,3227.151,70.4085,69.74,8.088,1081.67,305.6834,13.9266,1307.8401,657.68,63.682,173.592,0,0,2361.521,767.97,584.3479,841.9257,1659.52,2.85,0,1041.9138,247.442,12.6343,0,23.958,0,479.7969,59.01,40.615,178.959,17.0297,0,0,2.075,9,3.521,0,10.3812,3.145,1.7876,0.122,93.943,0,0.247,1.9155,14.0242,67.1195,0.5842,10.0624,63.59,2.3274,0.016,9,1.6085,0,0,6.8915,7.4514,0.275,2.17,0.0297,0,148.0711,9,0,0,0.2037,0,0,9,0,0,4.2725,9,1.0504,0.1,19.884,67.85,36.127,32.3,42.6528,194,49.774,0,82.911,52.706,0,36.93,0.1,47.5,7.8216,0,15.5,0,9.66,8.1,9,88.8985,19.14,0,9,0,1.54,1558.8,368.254,0,16.721,3.27,5.6124,24.5647,0,9,335.597,0,9,9,260.211,133.377,186.151,50.29,772.243,0.064,255.043,9,0,0.066,0
"Finland",506.3899,10.38,0.044,40.038,0.236,0.62,0.243,0.78,0.077,0.298,0.008,0.011,0.0237,0,53.89,0.005,22.273,4.959,1.964,2.086,33.476,3.332,49.48,38.75,0.194,0.02,3.78,10.99,23.895,0.02,0.104,1.42,45.03,3.675,553.12,59.92,57.87,36.9659,1.6841,167.16,65.51,38.32,22.88,0,8.696,155.21,71.92,8.22,37.8498,7.25,2.53,0.034,0.49,65.26,7.967,6.251,1.48,479.7969,0,301.59,332.43,348.86,2.912,0,0.17,0,0,0.011,0.055,8.593,0.42,1.89,0.011,1.43,0.077,0,0.391,0.3298,1.727,0.914,0.836,60.75,0.117,0.01,0,0.0945,4.01,1.375,13.064,2.231,1.82,2.386,0.048,0.011,1.617,5.808,0.052,9.0664,7.942,0.28,34.64,0.01,9.01,0.06,0.08,0,0.032,0.1,11.3,83.85,20.63,33.9,2.519,4.05,17.45,143.168,105.16,31.99,19.956,14.89,18.98,453.33,0.0298,0.11,16.69,12.84,37.94,10.68,5.12,0.05,51.14,0.352,8.82,1.738,21.31,390.44,37.82,0,1.9,2.94,0.455,0.59,9,0.066,8.46,0.286,0,5.049,10.28,7.85,28.31,32.7,140.06,0.123,3.51,0,0,0.01,0
"Sweden",585.6999,186,51.96,44.45,0.237,5.84,13.54,6.94,2.22,0.11,0.167,0.11,0.1752,0,138.6,0.334,8.187,8.811,0.492,8.078,15.854,2.78,29.93,144.1,0.348,3.358,2.63,73.48,27.521,24.121,4.529,8.1,72.18,4.8,366.6999,67.3,87.1,22.763,1.0371,643,67.4,43.02,18.92,0,144.2,106.61,13,42.93,20.727,98.2,2.7,12.77,188.65,64.04,9.383,115.13,8.89,59.01,301.59,0,794.44,269.59,70.053,0,0,6.409,0,0.99,0.703,4.903,0.088,11.1,1.048,8.67,4.47,0.1,13.033,0.9722,0.529,0.896,6.035,223.4,0.91,0.084,0.11,0.1139,0.5,2.87,8.521,28.898,0.236,6.131,0.131,0.11,18.046,41.08,24.66,14.3,5.282,2.605,152.6,9,9.2,1.1,9.961,0.1,0.877,0.4,30.16,87.96,51.58,80,8.84,249.9,40.28,625.69,92.08,54.36,23.32,28.59,17.7,1218.1,7.3407,3.08,78,5.7,19.51,138.5,15.62,0.6,4.7,0,70.7,6.12,53.8,718.7,44.41,0,24.3,9.18,3.947,11.142,0,0.77,52.87,0.11,2.2,24.55,72.08,145.54,15.79,54.3,331.42,0.099,26.22,0.091,1.9,1.212,0.064
"Norway",1087.28,146.99,0,2.026,1.582,5.24,80.762,6.34,3.669,0,0.042,0,0.0637,0,12.67,1.32,3.066,5.106,2.814,1.326,5.137,4.973,6.71,5.52,0.307,75.259,17.79,1.32,63.887,0.36,0.03,0.71,3.34,6.622,1780.5898,0.88,413.51,169.6318,7.7282,740.49,141.06,36.09,34.31,0,63.207,15.22,104.26,2.7,6.9471,123.71,0.44,2.421,41.68,11.52,2.384,2.439,6.28,40.615,332.43,794.44,0,195.02,84.417,0,0.055,0.02,0,2.663,0.002,64.117,1.03,0.23,0.096,25.14,4.082,0.08,6.052,0.1841,7.384,0.263,0.815,190.21,8.632,0.001,0,0.3217,0.27,0.287,2.523,12.315,0,0.125,0.0047,0.264,1.317,8.448,2.557,3.72,1.345,0.854,36.26,9.26,9,0.29,0.36,0.176,0.716,0.02,14.92,1.33,11.24,15.63,2.665,28.06,19.79,20.823,5.32,5.35,5.738,1.69,24.64,136.29,0.5707,0.774,13.71,1.41,4.83,19.36,62.45,0.21,3.39,0.039,11.6,0.483,41.42,800.46,19.61,0,6.73,11.39,16.518,0.888,0,0.033,26.02,0.022,0,2.42,6.76,55.42,2.83,15,38.28,0.934,2.29,0,0,0.106,0
"Denmark",646.09,44.64,8.389,5.772,0.463,0.97,0.983,12.59,1.497,0.396,0.774,0.353,0.6411,0,7.94,2.603,7.49,7.24,0.119,3.273,3.782,2.386,16.47,25.99,0.749,1.171,8.28,1.62,151.655,3.82,5.386,30.2,65.58,1.954,270.3398,28.54,544.45,342.4485,15.6016,55.9,5.2,25.26,25.9,0,89.834,52.33,47.98,6.09,19.0041,302.3,10.56,0.155,44.79,85.06,8.915,4.165,2,178.959,348.86,269.59,195.02,0,88.225,0,0,0.214,0,0.979,1.48,1.308,13.93,1.29,0.902,16.06,0.039,9.466,1.69,2.2466,1.731,4.434,0.023,19.55,0.335,0.159,1.058,1.3953,2.78,0.045,6.303,6.288,0.473,1.937,1.73,1.672,1.443,21.089,2.361,3.1082,2.756,4.551,108.13,9.73,0.55,0.1,1.87,0.058,0.559,0.5,9.5,93.91,19.08,34.38,5.938,110.66,15.28,174.766,40.87,10.89,18.005,24.92,4.76,124.88,6.3149,17.556,65.77,18.88,20.72,14.7,19.93,0.48,9.51,0.124,15.3,0.449,26.1,135.87,65.57,0,1.54,16.43,3.915,2.963,0,0.427,7.2,0.11,0,2.044,11.12,43.11,2.12,22.57,57.12,2.828,2.25,0.091,0.16,0.575,0.01
"Iceland",128.555,5.63,0.041,0.4655,0.001,0.01,0.037,8,0,0,9,0,0,0,0.006,0,0.062,0.528,0,0.002,0.441,0.436,0.903,4.127,0.149,0,0.002,0.001,7.871,0.003,0,0.105,0.04,0,70.575,1.48,69.92,14.4133,0.6567,4.001,7.011,24.623,53.331,0,2.6713,6.57,4.203,0.13,1.494,4.08,0.027,0,10.262,10.628,0.121,0.1482,0.299,17.0297,2.912,70.053,84.417,88.225,0,0,0,0,0,0,0.009,0.002,0,0,0.004,0.023,5.735,9,0.003,0,0.025,0,0.011,58.574,0,0,0,0,47.9,0,0.021,0,0,0,0,0,0.03,0,0,0.0591,0,0,1.214,0,0,0,0,0,0.01,0,18.6,2.49,0.78,0.006,0.054,1.845,0.005,0.06,4.23,0.006,0,0,0.993,1.9,0,0,0,0,0,0.807,0.04,0.016,1.874,9.001,4.585,0,2.185,28.551,1.729,0,0.057,0.003,0.059,0.044,0,0,0.091,0,0,0,0.121,0.661,0.331,0.05,26.33,0.005,6.87,0,0.013,0.001,9
"Cape Verde",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0521,0.0479,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Sao Tome and Principe",0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0.17,0,0.53,1.1668,0.0532,0.58,0.5,0.295,12.238,0,0,9,0.5,0,0,0.3,0,0,0,0.1,0,0,0,0,0.17,0,0.055,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0.071,9,0,0,0,9,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,9,0,0,0,9,0.44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,9,0,0,0,0,0
"Guinea-Bissau",3.887,0.003,0,0.706,0,0,9,0,0,0,0,0,0,0,9,0,0,0,0,0,0,9,9,0,0,0.649,0,0,2.693,0,0,0,0,0,0.287,0,2.526,0.1722,0.0078,0.765,0.855,3.122,11.722,0,0.366,9,0,0,0.002,1.889,0,0,0.03,0,0,0,0,2.075,0,6.409,0.02,0.214,0,0,0,0,0,0.0946,0,2.599,9,0,0.001,0,0.0122,0,0,9,9,0,0,0.396,0,0,9,0,0,0,0,0,0,9,9,0,9,0.0022,0.269,0,9,0.023,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,9,0,0,0,0,0,9,0,1.139,0,0,9,0.004,0.039,0.01,0,0,0,2.026,0,0,0,0,0,0,0,0,9,0,0,0,9,0,0,0,0,0
"Equatorial Guinea",0.57,0,0,0,0,0,0,0,0.002,0,0,0,0,0,0,0,0,0,0,0,9,9,0,0,0,0,0,0,9,0,0,0,0,0,0.33,0,5.9,0.6312,0.0288,2.73,0.46,19.065,0.011,0,0,9,0,0,0,6.32,0,0,0,0.01,0,0,9,9,0,0,0,0,0,0,0,0,0,0,9,0.0011,0,0,0,0,0,0,0,0,0,0,0.0995,0,0,0,9,0.0983,0,0,0.1309,0,0,9,0,0,0,0,0,0,9,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,1.76,0,0.11,0,0,0,0.033,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Gambia",3.43,0,9,9,0,0,0.058,3.234,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,9,0,0.352,0,0,0,0,0,7.85,0.308,9.52,0.0096,0.0004,7.24,4.7,2.055,0.055,0,0.503,0,0.44,0,0.759,1.8,0,0,0.162,0.7,0,9,0,3.521,0.011,0.99,2.663,0.979,0,0,0,0.0946,0,0,0.001,6.6796,0,0,0,0,2.865,0,0.0182,0.0937,10.0511,0,0,1.1,0,9,0,9,9,0,0.0033,9,0,0,0,0,0,0,0,0,0,0,9,0,0,0,9,0,0.0011,0,0.275,2.871,0,0,0,9,9,0,0,0,0,0,9,0,9,0,0,0,0,0,0,0,17.71,0,0.22,0,0.11,3.63,0.198,0,0.396,0,3.0426,0.0109,0,0,4.565,9,0,0,9,9,0,9,0,9,0,0,0,0,0
"Mali",5.787,3.713,9,0.001,0,0,0,9.156,0.001,0,0,0,0,0,9,9,0,9.001,0,0,0,0,0,0,9,0,19.245,0.025,0.677,0,9.034,0,0.008,9,4.446,1.85,1.941,32.4133,1.4767,55.667,1.284,0.565,1.597,0,0,0,0.1,0.117,0,0.328,0,0,0.94,0.67,0.119,0.004,0.121,0,0.055,0.703,0.002,1.48,0.009,0,0,0,9,0.001,0,38.953,0.232,0.081,4.267,57.613,0,0.332,0.394,0.0006,0.064,0.401,0.003,3.495,0,0,0,0.5498,0.067,0,0.019,9,0,0,0.001,9,9,0,0,0,0.514,0,0,0,0,0,0.011,0,0.014,9,0.132,0.394,0,0.352,9,0,0,0.002,0,0,0,0.001,0,0.148,9.214,9,9,0,0.022,9.027,0,0,3.024,0,0,0,0.205,4.021,0.14,0,0.007,0,9,0,0,0,0.375,9,0,0,2.397,9,0,0.212,0.003,0.001,0.001,0,0,0,0
"Senegal",48.225,3.037,0,9.15,0.001,12.628,0,10.57,0.001,0,9,0,0,0,0.029,9,9,0,0,0.313,0,0.447,0.004,6.468,0.675,2.512,0.001,0.671,4.327,9,0.307,0.069,8.27,4.05,0.567,0.756,33.699,14.7959,0.6741,214.446,2.547,17.294,6.734,0,1.1534,2.448,2.463,1.416,1.571,23.573,0.01,9,7.291,4.958,0,0.0184,6.54,10.3812,8.593,4.903,64.117,1.308,0.002,0,0,2.599,0.0011,6.6796,38.953,0,4.21,17.2383,4.679,14.675,13.149,2.848,0.026,0.6004,0.412,4.61,1.985,27.304,10.906,0.611,0.1012,1.8197,0.854,9.0022,0.037,0.428,0.001,0,0,0.001,0.018,0,0,0.041,0.002,0.033,0,0,9,0,0.333,0.007,0,9.005,2.886,31.777,17.928,0.448,0,0,1.523,0.1952,0.012,13.652,0.2916,0.002,0.144,16.39,9,0,0.046,0,0.001,13.186,0.6,16.654,20.672,0,2.219,0.001,2.041,0.038,3.194,0,16.695,7.304,0,4.252,0,0,72.65,0.0473,0.002,0.001,0.007,0.031,0.116,1.309,0.028,9,0.005,0,0,0,0
"Benin",35.167,0.259,0,9,9,9,0,0.03,0,0,0,0,9.0026,0,0,9,0,0.002,0,9,0,0,0,0,0,0,9,0,2.113,0,0,9,0,9,53.152,0.34,40.518,27.5355,1.2545,95.258,2.324,4.599,0,0,2.514,0,3.141,9,1.736,14.184,0,9,0.21,0.062,0,9,0.947,3.145,0.42,0.088,1.03,13.93,0,0,0,9,0,0,0.232,4.21,0,0,1.34,8.163,9,0.152,0.015,0,3.441,0.784,0.281,9.717,0,0.031,9,0.4711,0,0,0.001,0,0,0,0,0,0,9,0,0,9,10.369,9,0,0,0,0,0,0,0,0.619,10.194,0,0,9,0,0,0,0.01,9,0,0,0.2,0,9,9,9,9,0,0,0,0,28.211,0,8.241,9,2.3,27.097,49.242,0,0,0.12,9,0,0,9,6.76,0,0,0,0,9,0.35,9,0.326,0,0,0,0,0,0
"Mauritania",29.1858,2.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,9.04,0,0,0,0,0,1.15,0,0,0,0,9,0.7369,0.05,6.36,30.1657,1.3743,21.4274,1.3,79.8171,3.31,0,0,0,0.1,0,0,55.6488,0,0,6.66,1.64,0,0,0,1.7876,1.89,11.1,0.23,1.29,0,0,0,0,0,0,0.081,17.2383,0,0,0,0.76,0,0,0.001,0,0,0,0.457,2.7,0,0.005,0,0.5934,1.6132,0,0.008,0,9,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,9,0.89,1.43,0,0,0,0,0,0,1.66,0.02,0,0,0,0,9,9,0,0,0,0,0,0,6.7268,0,0,0,8.6,51.126,2.36,0,2.07,0,9,0.002,0,0,11.37,9,9,0,0,0,0,0,0.01,9.298,0.05,0,0,0,0
"Niger",18.798,1.335,0,0.037,9,0,9,0,0,0,0,0,0,0,0.007,0,0,0,0,0,0.001,0,0.002,1.059,0.001,0.001,0,0,2.604,0,0,0.002,0.014,0.265,2.919,0.308,13.791,3.5101,0.1599,57.502,2.645,2.214,0.17,0,0.581,0.04,0.324,0.127,0.562,10.141,0.059,0,0.114,0.096,0.349,0.005,0.792,0.122,0.011,1.048,0.096,0.902,0.004,0,0,0.001,0,0,4.267,4.679,1.34,0,0,23.617,0.0003,5.342,0.173,0.01,0.388,1.377,1.245,67.437,0.023,0,0.0066,0.0029,0.002,9,0.009,0,0.001,0.001,0,0,0,0,0,0,0,0,9,0,0,0,0.007,0.105,0.001,9,0.398,34.221,0.009,67.643,0,0,0.271,10.0419,0.013,0,0.0176,0.003,0.006,0.015,0,0,9,0,0,0,0,0,6.716,0,6.663,9,0.792,10.425,1.429,0,22.33,4.76,3.364,0.003,0,0,8.321,9,0,0,0.009,0.149,0,0.076,0.006,0,0,0,0,0,0
"Ivory Coast",241.4,7.27,0,0,0,9,0,6.33,0,0,0,0,0,0,0.3,0,0,9,9,0,0.162,0,0,200.55,0,0,0,0.02,75.115,0,0.29,0,3.42,0.232,64.78,12.62,95.23,16.6036,0.7564,193.31,9.19,50.42,67.79,0,0,1.94,17.23,29.74,1.72,218.33,3.15,9,22.34,22.36,1.839,0,7.44,93.943,1.43,8.67,25.14,16.06,0.023,0,0,0,0,0,57.613,14.675,8.163,0.76,23.617,0,0,72.153,4.925,0.4474,19.105,3.806,0.446,66.96,3.331,0.268,0,1.931,0,0,0.442,0,0,0.005,0,9,0,0,0,0,0.185,0,0,0,0,0,0.1,9,0.155,0,16.45,16.5,0.06,0,1.161,0.35,0,0.01,1.12,0,2.2,0,1.96,36.61,9,0,0,0,9.08,19.8,0,9,9.79,0,37.03,0,4.1,66.13,9.9,0,44.19,0.94,0,0.006,0,0,16.59,0,0,0,9.22,2.03,1.84,15.8,7.55,0,0.75,9,0,0,0
"Guinea",72.59,18.25,0,9,9,0,0,42.889,0.0044,0,0,0,9,0,9,9,0,0,0,0,0,0,0.06,0,0,0,0,0,9.834,9,0,0,0,0,14.49,0.341,10.28,14.7959,0.6741,58.04,4.55,55.77,1.087,0,0,0,2.65,0.033,0,11.81,0,0,32.838,0.749,0,0,0.11,0,0.077,4.47,4.082,0.039,5.735,0,0,0.0122,0,2.865,0,13.149,9,0,0.0003,0,0,0,1.7941,0.2536,0.0011,0,33.1757,0,2.8248,9,0,0,0,0,0.0308,0,0,0,0,0,9,0,0,0,0,9,0,0,0,0,0,0,0.0029,9,1.026,0.341,0,0,0,0,0,0,0.12,9,0,0,0.11,0.5,9,0,0,0,0,0,0,0,16.28,0,1.3582,0,0.49,4.18,0.022,0,3.103,0.132,0,0,0,0,0,0,0,0,0,9,0,0,0.01,9,0,0,0,0,0
"Burkina Faso",36.157,4.012,0,9,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,10.145,9,9,0,0,9.24,0,9.4,9,0,9,1.181,0.011,10.822,9.7173,0.4427,98.809,0.541,4.595,0.01,0,9.18,9.107,0.073,9,0,3.371,0,0,0.17,0.356,0,0,9.085,0.247,0,0.1,0.08,9.466,9,0,0,0,0,0,0.332,2.848,0.152,0,5.342,72.153,0,0,0.007,9,0.347,3.186,0.081,1.235,0,0,0,0.0004,9,0,0.028,0,0,0,0,0,9,0,9,0,9,0,0,0,0,0,0,9,0,0,0.136,0,0,0,0,9,0,9,0,0,0.0044,0,0,0,0,0,9,9,0,0,0,9,1.469,0,8.888,0,0.059,0.66,0.832,0,11.013,9.04,9,0.001,0,0,0.01,0,0,9,0,0,0,0,0.003,0,0,0,0,0,0
"Liberia",5.657,8.758,0,0,0,0,0,7.81,0.006,0,0,0,9,0,4.7,0,0,0,0,0,0.065,9,0,0,0.001,9.001,0.023,0,4.714,0,9,0.012,0.064,0.001,11.339,0.223,16.004,66.969,3.051,66.569,2.583,23.047,3.889,0,0.142,1.412,0.216,0.321,0.568,120.918,0.02,9,4.428,133.658,0.056,9.039,7.977,1.9155,0.391,13.033,6.052,1.69,0.003,0,9,0,0,0.0182,0.394,0.026,0.015,0.001,0.173,4.925,1.7941,0.007,0,0.9283,7.198,0.017,3.266,14.341,0,0.004,0,0.0817,0.113,0,0.033,0.009,0,0,0.002,0,0,0,0,0.01,0,0.575,0,0,9,0,0.014,9,0,0.001,0.435,0.002,0.036,2.691,9,0,1.87,0,0.127,0.049,0.4894,0,0.126,91.048,9,9,0,0.002,0,9,0.25,0,8.496,0,3.126,9,49.265,285.476,0.19,0,7.346,1.1,0,0.781,0,0,2.26,0,0,0,0.665,223.08,10.84,1.6,0.008,0,0,0,9,0,0
"Sierra Leone",18.8679,0.6702,0.0032,9,0,9.0565,0.0646,0.0016,0.001,0,0,0,0,0,0,0,0,9.2374,0,0,0,0,0.0339,0,0,0,0,0,1.4955,9,0,0,0.0081,0,32.8998,1.8992,1.6605,4.4952,0.2048,9.2295,1.953,1.3674,0.5022,0,0.2972,1.5762,0.323,4.5494,2.5178,2.5163,3.1322,0,0.0854,0.7203,0.1017,9,0.7526,14.0242,0.3298,0.9722,0.1841,2.2466,0,0,0,9,0,0.0937,0.0006,0.6004,0,0,0.01,0.4474,0.2536,9,0.9283,0,0.037,0,0.0727,75.8394,0.1841,9,9,0.0016,0.0016,9.0032,0.0178,9.105,0,0,0,9,9,0,9,0,0.004,4.0891,0,9.0032,9,0,9,0,0.0016,0,0.1147,0,0,0,0,0.0016,0.0048,9.0016,0.2665,9.0484,0.1324,0,0.0097,0,9,0,9,0,0,0,0.06,9,12.5178,0,2.332,9.0113,1.9994,20.453,4.0708,0,4.2846,9.4151,0,0.0596,9,0,3.1428,9,0,0,0.5281,4.53,0.4974,0.0178,0.6848,0,0.0675,0,0,0,0
"Ghana",114.298,16.512,0,0,0,0,55.143,0.021,0.001,0,0,0,0.0004,0,0,9,0,0.065,0,0.649,0,0,0,0,0.001,0,0,0,1.666,0,0,0.001,5.226,4.229,80.556,7.596,12.965,2.0181,0.0919,17.474,1.896,19.205,0.176,0,12.263,1.302,3.448,1.416,1.53,18.467,1.85,0,0.335,3.167,0.624,0.018,0.483,67.1195,1.727,0.529,7.384,1.731,0.025,0,0,9,0,10.0511,0.064,0.412,3.441,0,0.388,19.105,0.0011,0.347,7.198,0.037,0,34.236,0.002,308.613,9,9,0,0.002,0.032,0.011,0.062,0.013,0,0,0.003,9,0.054,0.0196,0.0133,0.042,2.635,0,0.002,0,0.024,0.002,0,0,0.038,0,0.017,16.257,0.001,0.139,0.413,0.109,1.827,0.001,4.365,0.07,0.9603,0.002,1.092,0.001,9,0.008,0,0,9.99,0,9,0,6.298,0,11.881,0.073,0.826,74.052,20.13,0,0.041,0.937,0,0.024,0,0,8.809,0,0,9,0.979,7.49,3.001,1.928,11.374,0,11.77,0,0,0,0
"Togo",8.326,8.675,0,0,0,9,0.001,1.653,0,0,0,0,0,0,0,9,9,0,0,0,0,0,0,9.173,9,0,0,0,0.387,0,0,9,0.02,0.995,44.555,0.056,4.572,9.2486,0.4214,78.742,0.447,2.172,0.88,0,0.003,0.323,1.1,1.106,0.376,1.784,0,0,45.03,3.761,0,0,0,0.5842,0.914,0.896,0.263,4.434,0,0,0,0,0,0,0.401,4.61,0.784,0,1.377,3.806,0,3.186,0.017,0,34.236,0,2.305,2.503,0.847,0.036,0,0.136,6.005,0,0.014,9,9,0,9,0,0,0,9,9,9,0.161,0,0,0,0,0,0,0,0,2.388,0.007,0,0.072,0,0.846,0,0,0,9,0.8767,0,0.2,10.025,0,9,0,0,0,0,9,9,13.771,0,1.496,0,6.3,21.284,0.544,0,6.407,0.93,9,0,0,0,1.63,9,9,0,0,0,0.36,0,0,9,0,0,0,0,0
"Cameroon",562.616,24.245,0,0.004,0,0.033,0,13.067,0,0,0,0,0,0,0.229,0.276,0,0.241,0,0,0.025,0,0.04,2.467,0,0,0.012,0.174,14.919,0,0.05,0,0.047,0.354,1.662,2.487,224.373,1.9511,0.0889,185.883,5.821,29.549,6.59,0,4.715,2.64,4.723,0.827,0.963,45.297,0.723,0.015,8.308,4.308,0.244,0.439,1.175,10.0624,0.836,6.035,0.815,0.023,0.011,0,0,0,0.0995,0,0.003,1.985,0.281,0.457,1.245,0.446,33.1757,0.081,3.266,0.0727,0.002,2.305,0,3.016,25.597,10.993,3.887,13.54,0.045,0,0.036,0.01,0.12,0.017,0,0,0.014,0.1243,0,0.0001,0.899,0.451,0,0,0,0,0.237,0,0.001,0,2.152,0.919,0.248,0.004,0.256,0.004,2.844,0,2.63,0,0.004,0,0.421,0.459,0,0,0,0,0,0.27,0,0,29.783,0,23.41,0.1576,3.215,45.744,3.149,0,6.508,1.1,0.03,0.352,0.3905,0.059,0.072,0,0,0.004,0.85,0,0.244,0.284,0.324,0,0.201,0,0,0,0
