"","United States of America","Canada","Bahamas","Cuba","Haiti","Dominican Republic","Jamaica","Trinidad and Tobago","Barbados","Dominica","Grenada","St. Lucia","St. Vincent and the Grenadines","Antigua & Barbuda","Mexico","Belize","Guatemala","Honduras","El Salvador","Nicaragua","Costa Rica","Panama","Colombia","Venezuela","Guyana","Suriname","Ecuador","Peru","Brazil","Bolivia","Paraguay","Chile","Argentina","Uruguay","United Kingdom","Ireland","Netherlands","Belgium","Luxembourg","France","Switzerland","Spain","Portugal","German Federal Republic","German Democratic Republic","Poland","Austria","Hungary","Czechoslovakia","Italy","Malta","Albania","Yugoslavia","Greece","Cyprus","Bulgaria","Romania","Russia","Finland","Sweden","Norway","Denmark","Iceland","Cape Verde","Sao Tome and Principe","Guinea-Bissau","Equatorial Guinea","Gambia","Mali","Senegal","Benin","Mauritania","Niger","Ivory Coast","Guinea","Burkina Faso","Liberia","Sierra Leone","Ghana","Togo","Cameroon","Nigeria","Gabon","Central African Republic","Chad","Congo","Democratic Republic of the Congo","Uganda","Kenya","Tanzania","Burundi","Rwanda","Somalia","Djibouti","Ethiopia","Angola","Mozambique","Zambia","Zimbabwe","Malawi","South Africa","Lesotho","Botswana","Swaziland","Madagascar","Comoros","Mauritius","Seychelles","Morocco","Algeria","Tunisia","Libya","Sudan","Iran","Turkey","Iraq","Egypt","Syria","Lebanon","Jordan","Israel","Saudi Arabia","Yemen Arab Republic","Yemen People's Republic","Kuwait","Bahrain","Qatar","United Arab Emirates","Oman","Afghanistan","China","Mongolia","Taiwan","North Korea","South Korea","Japan","India","Bhutan","Pakistan","Bangladesh","Myanmar","Sri Lanka","Maldives","Nepal","Thailand","Cambodia","Laos","Vietnam","Malaysia","Singapore","Philippines","Indonesia","Australia","Papua New Guinea","New Zealand","Vanuatu","Solomon Islands","Fiji","Samoa"
"Poland",404.52,205.26,0,20.868,0.116,0,0.441,0.33,0.822,0,0.044,0,0.0163,0,7.2,0.002,0,0.07,0.036,0,0.421,0.872,10.17,6.9,0.001,0.122,1.75,10.06,437.366,0,11.083,0,20.39,0.368,163.01,18.69,43.86,6.4942,0.2959,270.19,144.19,29.15,4.71,0,165.03,0,169.39,198.99,2.0581,72.68,0.57,7.573,110.56,38.89,1.828,125.619,31.15,2361.521,155.21,106.61,15.22,52.33,6.57,0,9,9,9,0,0,2.448,0,0,0.04,1.94,0,9.107,1.412,1.5762,1.302,0.323,2.64,59.3,2.569,0.042,9,0.4427,0,0,2.051,3.222,0,0.004,0.014,0,2.29,33.913,0,1.6404,0.344,0,0,0,0,0,0.002,0,0.021,0,19.47,51.71,26.12,38.8,0.569,37.13,56.53,176.162,15.36,22.83,28.413,4.54,0,33.8,10.1476,0,22,0,9.41,4.2,23.64,0.327,8.43,9.63,0,11.86,0.3,112.6,38.95,0,18.3,5.36,0.087,6.097,0,0,12.72,0,9,3.937,9.47,4.9,1.92,18.4,76.86,2.386,6.47,0,0,0.148,9
"Austria",457.6,20.2,0.4,6.34,0.05,0.69,0.252,5.56,0.483,0,0,0,0.003,0,7.7,0.27,7.226,7.421,15.311,8.906,14.691,13.389,18.47,11.7,0.137,0.035,0.76,8.92,107.619,2.9,0.225,9.6,30.37,5.328,200.4,7.43,130.7,208.5966,9.5034,193.2,151.7,26.36,4.4,0,72.28,169.39,0,214.98,79.2727,98,7.31,2.26,404.24,32.77,19.001,85.77,106.41,767.97,71.92,13,104.26,47.98,4.203,0,0.5,0,0,0.44,0.1,2.463,3.141,0.1,0.324,17.23,2.65,0.073,0.216,0.323,3.448,1.1,4.723,39.1,0.242,0.019,1.8,0.1027,0.2,0.58,8.993,2.828,0.2,0.345,0.049,0.99,0.611,1.23,0.94,7.8645,12.153,0.602,16.7,0,9.6,9,0.9,0,0.47,1.4,5.97,67.14,38.69,143.2,14.279,242,18.71,175.58,6.94,66.56,30.85,24.29,10.8,632.3,6.9723,3.04,42.9,4.35,10.19,16.3,8.74,1.5,190,2.45,50.5,18.72,81.2,428.6,5.52,0,8.13,1.38,1.296,1.194,0,0.11,30.76,0,0,0.93,37.58,9.86,18.43,6.6,25.5,0.814,2.99,0,0,1.296,0
"Hungary",89.58,13.08,0,17.872,0.09,0.1,0.572,0.33,0.059,0,9.026,0,9.0063,0,2.8,0.068,0,0.225,0.077,0.881,0.143,0.044,25.43,2.5,0.041,0.098,12.55,7.73,240.233,0,9.094,0,3.51,3.991,125.43,1.04,58.39,58.0455,2.6445,48.84,98.64,15.7,1.88,0,46.099,198.99,214.98,0,443.9132,2.6,5.13,0.829,13.91,2.14,3.66,23.199,60.43,584.3479,8.22,42.93,2.7,6.09,0.13,0,0,0,0,0,0.117,1.416,9,0,0.127,29.74,0.033,9,0.321,4.5494,1.416,1.106,0.827,34.34,0.272,0.03,0,0.0114,0.3,0.022,1.156,0.615,0,3.066,0,0,3.829,0,0,0.0982,0.595,9,0,0,0,0,0,9,0.317,0,11.76,44.6,16.85,65.22,0.701,36.52,25.86,237.574,1.97,41.14,36.618,7.62,2.57,36,9.0767,0,23.67,0,9.55,0,0.1,0,7.27,2.34,0,0.904,2,107.12,5.81,0,26.85,3.92,0.001,0.367,0,0,4.51,0,0,30.681,23.37,8.81,0.23,0.1,13.46,9.18,1.26,0,0,0.031,9
"Czechoslovakia",105.4925,13.9002,0,39.7771,0.691,0.39,0.016,1.52,0.598,0,0.08,0,9.0722,0,2.8377,0.088,1.791,1.378,0.356,0.159,6.687,1.335,12.4781,18.3,0.017,0.316,0.89,1.35,184.6856,13.4079,0.662,0,15.0386,11.2368,169.8009,9.67,59.0514,81.7648,3.7251,27.4279,383.5541,19.0763,12.15,0,166.7273,2.0581,79.2727,443.9132,0,51.9493,0.82,10.9747,3.5319,9.1661,9.835,39.4227,78.3556,841.9257,37.8498,20.727,6.9471,19.0041,1.494,0,0,0.002,0,0.759,0,1.571,1.736,0,0.562,1.72,0,0,0.568,2.5178,1.53,0.376,0.963,56,0.144,0.011,0,0.0169,0.1,0,4.727,1.373,0.391,0.315,0.0015,0,4.769,0,0,5.0461,0.457,9,0,0,0,0,0,0,0.178,9,3.4757,45.41,2.7,23.9,2.938,12.2836,19.4703,0.8256,53.5465,59.2226,53.716,10.93,0,105.7,2.3327,0,16.7,0,1.24,6.3,0.01,13.7528,56.0572,7.3725,0,3.9613,1.7,63.4,42.2664,0,7.1731,2.8087,23.639,3.95,0,0,1.21,0,0,36.2385,38.3678,6.3,2.49,26.3658,17.9158,0.014,9.3851,9,0,0.847,9
"Italy",587.3999,234,71.42,10.04,10.913,14.45,2.547,211.83,4.021,0.88,0.385,0.24,0.4426,0,87.2,0.318,25.381,2.509,0.596,9.975,19.249,39.164,102.33,858.5,4.09,9.291,39.46,27.67,236.094,6.455,13.117,67.2,69.46,21.205,1140.2002,52.31,1812.6,702.3041,31.9962,585.8,114,165.07,323.07,0,23.18,72.68,98,2.6,51.9493,0,201.86,19.05,556.18,419.52,108.35,42.73,216.35,1659.52,7.25,98.2,123.71,302.3,4.08,0,0.3,1.889,6.32,1.8,0.328,23.573,14.184,55.6488,10.141,218.33,11.81,3.371,120.918,2.5163,18.467,1.784,45.297,210.1,52.06,4.082,2.29,178.4718,96,0.72,3.666,21.822,0.768,2.067,95.696,14.2,93.061,62.85,28.39,82.55,8.462,15.247,997.2,0.8,26,14.6,11.157,0.9,0.46,1.9,69.53,308.3199,78.34,802.6001,23.261,14.9,88.34,636.65,1447.77,233.03,474.28,183.74,188,5680.6001,85.1558,5.94,34.3,5.04,421.98,246.2,43.06,4.4,56.5,1.15,138.8,8.81,88.7,416.4,14.06,0,74.29,24.05,0.385,4.172,0.1,1.65,21.55,0.33,0.66,17.59,78.41,134.42,4.12,177.9,3.63,1.116,28.55,2.22,0,2.761,0
"Malta",50.09,0.41,0.04,0.05,0,0,0.163,0.01,0.001,0,0,0,0,0,0.02,0,0.94,0.198,0,0,0.02,0.006,0.36,0.03,0,0,0.52,0.02,8.46,0.1,0.02,0.07,3.18,0.045,75.93,6.07,10.9,14.5855,0.6645,17.98,13.49,9.33,1.77,0,0.703,0.57,7.31,5.13,0.82,201.86,0,12.8,1.92,6.1,2.088,0.08,0.42,2.85,2.53,2.7,0.44,10.56,0.027,0,0,0,0,0,0,0.01,0,0,0.059,3.15,0,0,0.02,3.1322,1.85,0,0.723,0.17,0,0.001,0,0,0.47,0,0.04,0.05,0,0,2.7674,0.033,0,0.74,0,0,0.006,0.16,0.27,0,0,9,0.02,0,0.015,0,0.04,0.4,0.13,54.91,1.711,0.25,0.43,2.202,0.16,0.02,0.055,0.1,0.02,4.5,0.18,0,0.72,0.8,0.77,0.94,0.13,0.17,3.05,0,2.92,9.13,0.43,44.82,6.85,0,0.99,0.01,0.01,0.112,0,0,0.26,0,0,0,0.93,2.67,0.41,4.77,5.17,0,2.74,0,0,0,0
"Albania",2.21,0,0,0,0,9,0,0,0,0,0,0,9,0,0,0,9,0.013,0,9,3.575,9.014,0.044,9,0,0,9,0,9.792,0,0,0,9,0,6.06,0.03,5.35,1.3294,0.0606,11.32,0.87,1.757,0.297,0,0,7.573,2.26,0.829,10.9747,19.05,12.8,0,22.609,7.902,9,0,7.646,0,0.034,12.77,2.421,0.155,0,0,0,0,0,0,0,9,9,0,0,9,0,0,9,0,0,0,0.015,9,0,0,0,0,0,0,0,0,9,9.001,0,0,0,0,0,0.0064,0,0,9,0,0,0,0,0,9.022,0,0,0.449,0,10.7,0.582,9,1.842,0,0.566,0,0,0,0,15.1,9,0,0,9,9,0,0,0,0.11,0,0,0,0,2.85,9,0,0.14,0.056,0,0,0,0,0.01,0,9,0,0,9,0,0,1.68,0.1177,9,0,0,0,0
"Yugoslavia",489.44,44.18,0.55,0.812,0,0.04,0.639,0.13,0.053,0,0,9,0.0256,0,36.61,0.001,0.899,4.838,6.205,0.06,3.284,17.529,11.65,7.61,0.001,0.011,21.23,95.4,53.557,3.49,3.633,25.58,19.53,13.131,367.32,11.66,208.1,104.4035,4.7565,468.16,294.54,132.92,2.47,0,52.35,110.56,404.24,13.91,3.5319,556.18,1.92,22.609,0,114.13,2.792,20.119,9.34,1041.9138,0.49,188.65,41.68,44.79,10.262,0,0,0.03,0,0.162,0.94,7.291,0.21,6.66,0.114,22.34,32.838,0.17,4.428,0.0854,0.335,45.03,8.308,62.62,12.075,3.451,0,1.0678,9.95,1.465,3.012,9.064,1.44,3.98,0.0877,0.649,15.496,33.969,0.484,59.4,6.553,0.04,0.02,0.67,10.34,0.01,1.993,0.1,0.081,0,22.21,117.02,19.57,169.71,10.345,87.11,27.65,249.928,9.26,13.46,18.376,6.48,7.92,30.17,2.4195,1.034,88.55,0.48,2.39,51.03,1.75,0.66,26.65,1.52,0.61,6.883,6.68,138.77,16.11,0,34.03,0.19,1.673,3.937,0,0.132,1.96,0.002,0,2.083,37.18,1.47,2.18,8.06,72.7,0.244,21.85,9,9,0.002,0
"Greece",66.2,10.79,0.081,0.02,0.028,0.05,0.633,0.34,0.03,0,0.003,0,0.0007,0,13.75,0.003,14.911,0.088,0,0.07,0.024,27.013,0.09,0.41,0.08,0,0.83,1.63,60.581,1.62,0.045,11.05,22.59,6.173,114.66,19.74,235.95,152.5978,6.9522,5.62,89.42,9.45,6.73,0,22.73,38.89,32.77,2.14,9.1661,419.52,6.1,7.902,114.13,0,78.823,24.647,46.83,247.442,65.26,64.04,11.52,85.06,10.628,0,0.1,0,0.01,0.7,0.67,4.958,0.062,1.64,0.096,22.36,0.749,0.356,133.658,0.7203,3.167,3.761,4.308,101.96,9.772,0.22,0,3.6823,7.75,0.086,2.141,4.77,0.222,0.027,3.819,1.024,0.601,0.002,0.066,16.0509,0.13,0.24,14.48,0,0.01,9.23,0.3,0.219,2.32,0.03,1.1,56.5,114,149.09,9.595,79.37,1.19,11.795,309.13,19.24,59.02,50.02,19.52,124.55,36.5138,2.057,35.45,5.49,10.1,19.95,3.42,5.18,9.84,0,37.36,0.118,20.18,387.66,36.84,0,2.51,0.3,0.022,0.692,0.011,0.22,0.46,0,0,17.55,10.41,20.01,2.85,1.47,8.81,0.013,35.88,0,0,0.005,9
"Cyprus",80.139,1.2,0,0.309,0,0,0.034,0,0.017,0,0,0,9.0019,0,0.278,0,0,0.077,0,0,0,0.042,0,0,0.002,0,0,0,9.282,0,0,0,1.394,0.327,2.499,2.132,17.956,8.5983,0.3917,48.109,7.554,15.861,4.905,0,1.8112,1.828,19.001,3.66,9.835,108.35,2.088,9,2.792,78.823,0,1.4245,8.806,12.6343,7.967,9.383,2.384,8.915,0.121,0,0,0,0,0,0.119,0,0,0,0.349,1.839,0,0,0.056,0.1017,0.624,0,0.244,3.807,0,0.002,0,0,0,0,0.436,0,0,0.03,0,10.9459,4.933,0,0,0.2007,0.096,0.267,0,0,9.292,0,0,0,0.001,0,0.094,26.633,0.213,8.994,0.028,2.808,1.8,37.6098,2.219,34.38,37.4665,10.478,18.752,43.023,2.3627,0.0088,14.889,7.042,3.3,11.32,4.039,0,2.921,0,11.525,0,3.554,79.716,3.199,0,0.343,0.398,0,0.032,0,9,0.304,9,9,0,1.45,3.057,0.275,0.027,1.427,0,5.92,0,0,0.044,0
