"","United States of America","Canada","Cuba","Haiti","Dominican Republic","Jamaica","Trinidad and Tobago","Mexico","Guatemala","Honduras","El Salvador","Nicaragua","Costa Rica","Panama","Colombia","Venezuela","Ecuador","Peru","Brazil","Bolivia","Paraguay","Chile","Argentina","Uruguay","United Kingdom","Ireland","Netherlands","Belgium","Luxembourg","France","Switzerland","Spain","Portugal","German Federal Republic","German Democratic Republic","Poland","Austria","Hungary","Czechoslovakia","Italy","Malta","Albania","Yugoslavia","Greece","Cyprus","Bulgaria","Romania","Russia","Finland","Sweden","Norway","Denmark","Iceland","Mali","Senegal","Benin","Mauritania","Niger","Ivory Coast","Guinea","Burkina Faso","Liberia","Sierra Leone","Ghana","Togo","Cameroon","Nigeria","Gabon","Central African Republic","Chad","Congo","Democratic Republic of the Congo","Uganda","Kenya","Tanzania","Zanzibar","Burundi","Rwanda","Somalia","Ethiopia","Zambia","Malawi","South Africa","Madagascar","Morocco","Algeria","Tunisia","Libya","Sudan","Iran","Turkey","Iraq","Egypt","Syria","Lebanon","Jordan","Israel","Saudi Arabia","Yemen Arab Republic","Kuwait","Afghanistan","China","Mongolia","Taiwan","North Korea","South Korea","Japan","India","Pakistan","Myanmar","Sri Lanka","Nepal","Thailand","Cambodia","Laos","Vietnam","Republic of Vietnam","Malaysia","Philippines","Indonesia","Australia","New Zealand"
"Paraguay",4.09,0,9,0,0,0,0,0.1,0,0,0,0,0,0,0,0.3,0,0.3,1.524,0,0,0.7,2.925,3.824,3.974,0,0.733,1.4637,0.0763,1.885,0.694,2.504,0,0,9,9,0.3,9,9,3.075,0,0,0,0.6,0,0,9,9,0,0.383,0,0,0,9,0,0,0,0,0,0,9,9,0,0,0,0,0,0,0,0,0,0,0,9,0,0,9,0,0,0,9,0,0,0,0.1,0,0,0,0,0,0,9,0,9,9,0,0,0,0,0,0,0,0,0,9,0,1.742,0.1,0,9,0,0,0,0,9,0,0,0,0,0,0,0
"Chile",16.5,8.7,0.6,0,0.84,0,0,14,0,0,0,0,0,2.67,1.1,4.6,2.59,26.8,15.3,1.4,0.7,0,38.3,0.4,42.2,0.3,1.6,9.8847,0.5153,8.4,6.1,5.5,0.1,0,0,1.1,1.1,0,2.2,5.7,0,0,0.9,0,0,0,0,0,0.2,19.8,3.6,6.3,0,0,0,9,0,0,0,0,9,0,0,0,9,0,9,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0.1,0,0,0,0,0,0,0,0.3,0,0.2,0,0,0,9,0,0,0,0,0,0,0,83.4,2.2,0.9,0,0,0,0,0,0,9,0,0,0,0,0.16,0
"Argentina",135.5,21.2,1.7,0,0.3,0.4,0.4,3.6,0.3,0.1,0.1,0.2,0.1,1.47,5.6,16.5,0.91,25.3,27.43,1.9,2.925,38.3,0,13.7,138.1,5,66.8,46.3821,2.4179,48.6,0.9,14.4,1.6,0,10.1,9,0.9,9.4,1.5,153.1,0.2,9,17.5,10.4,0,1.1,2.14,12.2,6.1,3.9,5.5,10.3,0,0,0.1,0,0.1,0,0,0,0,0,0.1,0.4,0,0,0,0,0,0,0,0,0.5,0.1,0.3,0,0,0,0,0,0,0,0.8,0,0,0.1,0.4,0,0.1,3.4,0.1,1.6,0.4,0.3,0.6,0.1,4.8,0,0,1.2,0,91.5,0,0.5,0,0.1,32.4,27.2,4.6,0,0.2,0,0.1,0,0,9.7,0,0,2.7,0,0.04,0
"Uruguay",15.6,4.9,2.6,0,0.1,0.1,0,2,0.1,0.1,0,0,0,0.2,5.9,9.5,0.09,1.8,16.16,0.2,3.824,0.4,13.7,0,24.7,0,8.5,1.0455,0.0545,1.7,1.9,8,1.6,0,1.3,5.4,2.3,2.1,1.7,13,0.1,0,2.9,2.7,0,0,0.4,0.1,0.9,1.2,0.1,2.3,0,9,0,9,9,0,0,0,9,0,0,0.1,0.3,0,0,0,0,0,0,0,0.1,0,0,0,9,0,9,9,0,9,1.2,0,0.1,1.8,0,0,0,0,0.4,0,0.8,9,0,0,1,4.2,9,6.6,9,0,9,0.2,0,0,2.1,2.2,0.6,9,0.6,9,0,0,0,9.1,0,0,0.3,0.1,0.3,0
"United Kingdom",580.2,697.8,1.7,1.5,0.1,14.2,24.8,26.5,2.9,2.5,7.1,0.5,6.2,1.41,24.2,139.9,6.08,25.8,43.27,37.8,3.974,42.2,138.1,24.7,0,7.1,162.8,131.6378,6.8622,20.3,42.1,3.4,15.3,0,12.1,64.8,26.1,3.8,10.8,24.8,30.3,0.4,17.6,67.8,2.2,4.5,20.84,160.2,130.9,5.4,17.2,76.7,4.7,0.4,1,0.6,16,0.4,10.7,2.7,0,8.2,32.9,38.9,3.6,8.6,27.4,1.9,0.4,2.3,7,20.8,15.8,11.6,19.5,0,0.2,0.1,6.9,7.1,132.2,7.36,98.4,1.6,15.8,2.4,2.5,126.8,38.8,13.3,3.5,172,40.8,17.2,24.6,17.7,96.7,7.7,0.1,288.2,8.7,18.9,0.5,2.5,0,3,21.6,31.3,58.3,0.1,48.8,1.4,46.3,2.2,2.5,1.2,0,0,23.8,25.5,168.91,216.58
"Ireland",34.7,15.7,0.1,0,0,1.9,0.4,0.2,0.2,0,0,0.5,0.1,0.3,0,0.2,0.1,1.3,2.1,0,0,0.3,5,0,7.1,0,21.1,12.546,0.654,6.6,1.5,3.7,1.7,0,2.8,3.5,0.8,0,0.6,1.3,0.1,0,0.4,0.4,0.2,0,0.4,2.2,14.7,14.4,2.7,6.5,1.1,0,1.1,0,0.1,0,0.3,0.3,0,4.2,0.4,2.3,0,0.1,2.7,0.1,0,0,0.2,0,0.3,1.3,1.6,0,0,0,0,0.1,0,0.3,2.6,0,3.8,1.5,0.5,0.1,0.4,16,0.8,12.9,0.3,0.2,0.9,0,2.1,5.6,9,0.3,0,0.9,0,0.1,0,0.1,11.4,7.2,2,0.1,1.8,9.1,0.3,0,0,0.2,0,0,0.7,0.9,9.85,2.9
"Netherlands",541.2,9.8,12.9,1,2.9,11.4,3.2,7,0.4,0.8,7.2,0.5,1,1.59,9.1,4.6,2.02,18,33.2,1.4,0.733,1.6,66.8,8.5,162.8,21.1,0,455.8375,23.7626,120.9,22.6,28.8,10.9,0,14.7,3.5,3.3,1.3,15.6,37.1,4.9,0,17.5,20.8,2,1.4,4.76,20.8,45.8,25,56.1,84.3,4.2,0.3,2.4,0,1.6,1.4,6.4,0.5,0.4,0.8,3.6,1.7,0.5,16.5,11.8,2.9,0.5,0.9,1.2,5.2,5.8,0.6,5.7,0,0.5,0.1,0.3,2,15.2745,0.67,28.3,2,5.5,0.2,10.6,44.1,3.5,24.6,4.5,4,0,85.7,51.8,4.2,22,13,0.2,88.4,0.9,14.1,0,0.4,4.8,3.2,12.2,11,4.7,13.3,5.9,0.1,2.6,1.4,0,0.8,0,0,3.8,88.1,31.76,3.72
"Belgium",64.6308,15.5874,4.8473,2.2811,1.8059,3.0415,0.4752,12.7361,2.186,0.9505,5.3225,2.7563,0.4752,1.131,3.8969,1.0455,5.218,19.4843,23.8849,0.095,1.4637,9.8847,46.3821,1.0455,131.6378,12.546,455.8375,0,0,83.735,36.8776,11.3104,8.6491,90.958,13.4964,1.4257,12.0708,4.5622,1.9009,12.9261,1.2356,0,4.087,26.8978,1.8059,1.4257,2.8419,33.0758,20.5298,38.5884,25.9474,54.0808,1.4257,0.2851,1.996,0.2851,0.9505,0.1901,0.3802,1.2356,0.1901,7.7937,0.9505,6.368,1.1405,1.3306,5.9879,0.1901,0.5703,1.2356,0.5703,90.198,1.0455,0.8554,1.996,0,0.9505,1.4257,0.095,1.1405,0.7223,0.2091,20.8149,1.0455,7.9838,1.9009,13.7816,17.6784,1.3306,80.5984,8.459,18.6289,5.4176,4.277,3.0415,3.0415,11.0253,1.1405,0.095,26.4226,0.1901,5.8928,9.6653,0.1901,0.095,1.0455,12.641,0.5703,13.3063,1.4257,3.6117,0.2851,3.5167,0,0,0,0,0,0.6653,10.2649,49.7372,29.3975
"Luxembourg",3.3692,0.8126,0.2527,0.1189,0.0941,0.1585,0.0248,0.6639,0.114,0.0495,0.2775,0.1437,0.0248,0.059,0.2031,0.0545,0.272,1.0157,1.2451,0.005,0.0763,0.5153,2.4179,0.0545,6.8622,0.654,23.7626,0,0,4.3651,1.9224,0.5896,0.4509,4.7416,0.7036,0.0743,0.6292,0.2378,0.0991,0.6738,0.0644,0,0.2131,1.4022,0.0941,0.0743,0.1481,1.7242,1.0702,2.0116,1.3526,2.8192,0.0743,0.0149,0.104,0.0149,0.0495,0.0099,0.0198,0.0644,0.0099,0.4063,0.0495,0.332,0.0595,0.0694,0.3121,0.0099,0.0297,0.0644,0.0297,4.702,0.0545,0.0446,0.104,0,0.0495,0.0743,0.005,0.0595,0.0377,0.0109,1.0851,0.0545,0.4162,0.0991,0.7184,0.9216,0.0694,4.2016,0.441,0.9711,0.2824,0.223,0.1585,0.1585,0.5747,0.0595,0.005,1.3774,0.0099,0.3072,9.0347,0.0099,0.005,0.0545,0.659,0.0297,0.6937,0.0743,0.1883,0.0149,0.1833,0,0,0,0,0,0.0347,0.5351,2.5928,1.5325
"France",599.8,39.2,17.5,3.4,1.9,3,15.7,11.2,2.7,0.4,1.9,4.1,1.5,1.14,6.8,19.9,4.74,19,32.87,0.2,1.885,8.4,48.6,1.7,20.3,6.6,120.9,83.735,4.3651,0,304.6,147.3,26.7,0,12.1,8.8,46.9,12.5,6.8,79.5,4.9,0.7,27.8,45.6,3,13,20.91,77.1,2.4,44.4,12.4,43.6,0.2,8.5,15.2,6.6,4.2,3.6,15.2,6.1,13.2,19.3,2.7,6.4,5.1,23.1,5.8,30.1,2.3,3.1,29.5,25.1,2.1,1,0.1,0,1.3,0.2,1.2,1.1,33.5864,0.27,4.6,37.6,51.7,113.9,41.6,32,1,49.1,1.3,145.8,1.9,3.2,34.7,3.2,59,35.2,0.8,168.1,0.1,18.8,0.4,2.4,0,1.1,22.7,4.9,12.5,7.4,7.7,0.2,0.5,1.3,1.1,4,0,0,1,3.3,97.49,70.11
"Switzerland",39.2,0.8,6.3,1.6,2.1,0.5,0.1,20.1,4.1,2.5,0.9,0.3,0.9,1.01,6.1,22.9,0.5,0.5,0.02,1.9,0.694,6.1,0.9,1.9,42.1,1.5,22.6,36.8776,1.9224,304.6,0,35,16.9,0,0.9,0.9,1.1,9,0.6,158.7,0.3,0,10.5,11.9,0.6,1.8,4.43,1.8,26.1,6.1,18,20.4,1.5,0,0.4,0,0.5,0.4,0.9,1.4,0,3,0.3,4.3,0.2,0.4,10.4,0.4,0.1,0.1,1.1,0.3,0.1,0.5,0.3,0,0,0,0.1,1,6.32,0.01,28.3,0,0,2.9,0.2,8.5,0.5,6.1,0.1,6,12.1,3.7,7.5,1.2,14.3,0.2,0,5.4,0.4,0.1,0,0.5,0,0.7,29.1,8.9,8.4,1.1,1.7,0,9.8,0.5,0.1,1,0,0,1.3,5.5,32.28,7.94
"Spain",226.9,12.1,34.2,0.2,0.5,0.1,0,0.7,0.5,0.2,0.3,0.1,0.1,0.36,4.6,28.7,0.44,3.2,0.29,0,2.504,5.5,14.4,8,3.4,3.7,28.8,11.3104,0.5896,147.3,35,0,2.8,0,2.3,2.6,4.9,0.4,1.4,58.8,0.1,0,0.6,1.9,3.6,2,2.96,0.3,5.7,29.4,10.4,7.2,1.5,0,0.9,0.1,0.2,0.1,2.9,2.3,0,5,0,0.9,0.4,1.1,1.5,0,0.4,0.5,0,2.9,6.6,0.8,0.5,0,0.1,0,0.2,0.4,3.2582,0.6,9.6,1.2,15.2,6.1,1.1,29,2.2,15,9.5,46,4.1,3.2,2.6,0.5,1.9,70.2,0,20.1,0,0.2,0,0.1,0,0,0.2,4.5,7.3,0.3,2.1,0,3.8,0.6,0,0.7,0,0,5.2,0.1,4.29,4.6
"Portugal",16.6,5.7,0,0,2.8,0,0.1,0.6,0.7,0.1,0,4.2,0,0.11,0.3,1.3,0.44,0.1,3.65,0.2,0,0.1,1.6,1.6,15.3,1.7,10.9,8.6491,0.4509,26.7,16.9,2.8,0,0,1,2.8,1.6,0.7,0.2,19.6,0.48,0,0,0.8,1.9,0.8,0.03,0,1.6,3.8,0.5,7.3,3.1,0,0,0,0,0,0,0,0,0,0,0,0,0,3.4,0,0.3,0.1,0.4,2.6,0,0,0,0,0,0,0,0,0.789,0.19,0.7,0.1,0.4,1.5,0,0,1,2.2,12.3,18.9,1,0.7,0.9,0.9,3.8,0.5,0,0.1,0,0,0,0,0,0,4.7,0.2,2.1,0.3,0,9,1.7,0,0,3.9,0,0,0.9,0.4,0.34,3.9
"German Federal Republic",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,90.958,4.7416,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"German Democratic Republic",13,9.3,0,0,9,0,0,0.2,0,0.1,0,0,0,0.11,0.2,1,0.1,3.6,1.61,0.1,9,0,10.1,1.3,12.1,2.8,14.7,13.4964,0.7036,12.1,0.9,2.3,1,0,0,0,2.3,0,0,3.4,1,0,9,0.5,0,0,4.32,0,2.1,5.3,6.1,2.4,2,0,0,0,0,0.1,0,0,0,0,1.1,1.8,0,0,3.3,0,0,0,0,0,0.9,1.6,0.3,0,0,0,0,0,0,9,0,0,0.2,9.1,1.5,0,1.2,10.3,3.3,3.4,4.1,0.8,1.7,2.5,0.1,0,0,9,0,0,0,0,0,0,3.2,5.3,1.4,0.2,0.6,0,0,0,9,0,0,0,0,0,0.63,0
"Poland",79,48.6,0,0.3,9,0,9,16.1,0,0.8,0,0,0,0.44,0.9,1.3,0.1,5.1,3.22,0.1,9,1.1,9,5.4,64.8,3.5,3.5,1.4257,0.0743,8.8,0.9,2.6,2.8,0,0,0,16.4,0,0,21.7,0.1,0,20.5,3.9,1.3,0,16.1,0,3.9,10.9,1.1,20.5,0.7,9.6,0,0.1,0.1,9,0.6,0,0,0,9.1,2,0.3,0,1.6,0,0,9,0.2,0,0.3,0.2,2.2,0,0,0,9,0.6,5.698,0,0,0,1.9,19.2,3.5,1.4,0.8,1,1.5,8.1,0.5,0.5,1.8,1.3,4,1.5,9,12.7,0,0,0,0,0,0,0.4,9.4,3.1,0.3,5.7,0,1.5,1.2,9,0,0,0,0,0,16.89,4.5
"Austria",33.2,0,0.5,0.1,0.9,0.3,0,0.2,2,0.9,0.7,1,1.2,0.02,0.7,3.4,2.4,3.2,11.26,0.2,0.3,1.1,0.9,2.3,26.1,0.8,3.3,12.0708,0.6292,46.9,1.1,4.9,1.6,0,2.3,16.4,0,16.1,0.8,30.3,0.6,0,8.5,9.1,0.8,9.9,8.54,5.6,7.3,7.5,4.6,3.4,0.1,0,0.5,0,0,0,0.3,3.8,0,0.1,0.1,3.7,0,0.2,0.8,0.7,0,0.1,0,0.4,0.2,0,0.6,0,0,0,0.1,1,0.3387,0.11,3,0,4.2,0.7,1.7,1,1.2,4.8,1.8,3.2,0.8,1.9,3.7,1.1,1.9,1.5,0,1.5,0.3,2.5,0,0,0.2,0.8,3.4,11,0.8,0.7,1.5,0.1,0.9,0.1,0,0.1,0,0,1.5,0.9,0.21,0.4
"Hungary",12,1,0,0.4,9,0,9,0,0,0.4,0,0,0,0.11,0.3,0.7,0,1.8,3.3,9,9,0,9.4,2.1,3.8,0,1.3,4.5622,0.2378,12.5,9,0.4,0.7,0,0,0,16.1,0,0,11,0.5,0,11.1,0.1,0.2,0,6.08,0,0.7,0.3,1.1,2.6,0,0.1,0,9,0,0,0.8,0,0,0,9.1,4.7,0,0.5,2.3,0,0,0.2,0.3,0,0.1,1,0.2,0,0,0,9,0.7,0.199,9,0,0.4,1.9,9.4,0.2,1.5,0.1,1.2,2.1,4.5,6.5,0.1,2.9,1.3,1.1,0,9,9,0,0,0,0,0,0,3.5,2.6,0.3,1.6,0.4,0,0.1,9,0,0,0,0,9,0,0.86,0
"Czechoslovakia",3,37.1,0,0.6,9,0.2,9.6,2.4,0,0.5,0.4,0,0.2,0.22,1.5,4,0,0.2,0.96,1.3,9,2.2,1.5,1.7,10.8,0.6,15.6,1.9009,0.0991,6.8,0.6,1.4,0.2,0,0,0,0.8,0,0,0.2,0.9,0,36.8,4.5,1.2,0,30.94,0,4,6.4,3.4,5.2,1,0.4,0.1,9,0,0,0.1,0,0,0,10,10.9,9.1,0,6.9,0,0,9.1,0.1,0,0.3,0.6,0.4,0,0,0,0.3,2.3,1.6018,9.11,0,0.4,3.2,11,1.5,2.7,0.9,1.3,1.4,8.4,26.2,1.9,11.3,2.2,0.1,0.8,0,9,2.1,0,0,0,0,0,3.3,8.4,0.1,2.3,3.4,0,0.5,0.6,9,0,0,0,0,0,11.62,3.4
"Italy",413.3,1.1,11.5,3.6,3.9,1.7,0,1.2,3,0.6,1.8,0.9,0.5,1.08,6.9,25.1,0.18,18.6,53.05,1,3.075,5.7,153.1,13,24.8,1.3,37.1,12.9261,0.6738,79.5,158.7,58.8,19.6,0,3.4,21.7,30.3,11,0.2,0,10.2,0.5,40.2,51.3,4.9,7.8,2.11,56.5,7.1,4.4,7.4,32.6,3.8,0.1,5.2,0.6,8,0.3,18.5,0.1,0.2,4.8,1.4,8.3,1.8,3.7,14.8,0.4,0.6,0.7,0.5,28.7,1.6,1.4,1.7,0,0.2,0.1,0.8,14.7,27.5973,0.03,1,0.3,5.4,1.8,10.2,14.9,13.1,5.8,7.3,99,3.9,3.8,26.6,3.8,25.8,145.6,0.6,277.8,1.3,5.3,0,2.1,0.1,3.5,25.7,30.2,9.3,0.5,4.7,9,3.1,0.9,0.1,5.2,0,0,1.9,4.2,73.16,28.18
"Malta",2.4,2.9,0,0,0,0,0.1,0.2,0,0,0,0,0,0,0,0.1,0,0.3,0.1,0,0,0,0.2,0.1,30.3,0.1,4.9,1.2356,0.0644,4.9,0.3,0.1,0.48,0,1,0.1,0.6,0.5,0.9,10.2,0,9,0.14,0,0.1,0.4,0.9,0,0.2,0.2,0.3,2.2,0,0,0,0,0,0,0,9,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0,0,0,0.18,0,0.5,0.5,0.1,0,0,0,0.5,0.8,0.7,0,0.4,0,0,0,0,0.3,0,0,9,0,1,0.5,0,0,0.3,0,0,0,0,9,0,0,0,0.4,3.58,0
"Albania",0,19.1,0,0,0,0,0,0,9,0,0,9,0,9,0,9,9,0,9,0,0,0,9,0,0.4,0,0,0,0,0.7,0,0,0,0,0,0,0,0,0,0.5,9,0,0.8,0.3,9,0,0.48,0,0,0,0,0,0,0,9,9,0,0,9,0,0,0,0,0,0,0,9,0,0,0,9,0,0,0,0,0,0,9,0,0,0,0,0,0,0,9,0,9,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2,9,0.3,0,0,0,0,0,9,0,0,0,0,0,0,9
"Yugoslavia",108.6,0.6,3.6,1.3,0,0,0,2.9,0,0,0.2,0,0.5,0.2,0.1,1.4,0,4.4,1.9,0.1,0,0.9,17.5,2.9,17.6,0.4,17.5,4.087,0.2131,27.8,10.5,0.6,0,0,9,20.5,8.5,11.1,36.8,40.2,0.14,0.8,0,3.4,0.3,6.8,1,16.3,4.2,8,1,0.4,0.1,0.6,0,0,0,0,0.2,0.7,0,6.3,0,0.6,0.5,0,0.4,0,0.1,0.5,0,0.4,1.9,0.9,0.4,0,0,0,0,2.3,0.0064,0,0,0.4,3.8,1,0.5,1.8,0.4,0.3,0.2,1.9,4.7,1.2,1.5,1.1,0.2,1.1,1,1.4,0,0.1,0,0,0,0.1,6.8,4.9,6.8,2.6,1,0,0.1,1.5,0,0,0,0,0.4,2.5,21.04,2.5
"Greece",41,6.3,9,0,0,0,0,0.3,0,0,0,0.4,0,0.1,0,0,0.3,0.4,4.45,0,0.6,0,10.4,2.7,67.8,0.4,20.8,26.8978,1.4022,45.6,11.9,1.9,0.8,0,0.5,3.9,9.1,0.1,4.5,51.3,0,0.3,3.4,0,3.2,3.5,1.13,3.2,6,22.6,3.8,8.1,1.1,0,0.1,0,0,0,0.2,0,0,0.3,0,1.6,0.1,0,0,0.2,0,0,0.1,1.6,0.1,0.6,0.5,0,0,0,0.2,1.3,2.5376,0,2,0.6,0.7,0.5,2.6,2.4,0.1,4.8,2.1,0.8,2.3,0.1,1.1,0.2,0.4,14.1,0,1.8,0,0.1,0,0.4,0,0.2,23.1,2.3,1.1,0,0.1,0,0.3,0,0,0.7,0,0,0.1,0.3,5.43,6.9
"Cyprus",5.2,0.4,9,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0,0.6,0,0,0,0,0,2.2,0.2,2,1.8059,0.0941,3,0.6,3.6,1.9,0,0,1.3,0.8,0.2,1.2,4.9,0.1,9,0.3,3.2,0,0.2,0,1,0.5,1.2,0,0.9,0,0,0,0,0,0,0,0,0,0,0.2,0.1,0,0,0.1,0,0,0,0,0,0,0.2,0.1,0,0,0,0,0.1,0,0,0.1,0,0.1,0,0,0.3,0.1,0.2,0.4,0,0.3,0.7,1.9,0.1,1.7,0,9,0,0,0,0,0,0,0,1.8,1.2,0.2,0,0.1,9,0.6,9,9,0,0,0,0,0,0.3,1.4
"Bulgaria",4,17.7,0,9.2,9,9,0,0,0,0,0,0,0,0,0,0,0,0.2,1.07,9,0,0,1.1,0,4.5,0,1.4,1.4257,0.0743,13,1.8,2,0.8,0,0,0,9.9,0,0,7.8,0.4,0,6.8,3.5,0.2,0,8.38,0,6.5,0.4,0.2,1.2,0.1,9.1,0,9.1,0,0,0,0,0,0,9,0.4,0.1,0,0.4,0,9,9,0,9,9,0,0,0,0,9,0.1,0.1,9,0,0,0,0.2,9.8,1.6,0.8,0.4,0.6,1,2.8,2.9,3.3,1.9,0.4,0.4,0,9,9,0,0,0,0,0,0,1.8,1.5,0.2,0,0.2,0,0,0.7,9,0,0,0,9,0,0.35,0
"Romania",4.72,0.32,5.94,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0.6,3.94,0,9,0,2.14,0.4,20.84,0.4,4.76,2.8419,0.1481,20.91,4.43,2.96,0.03,0,4.32,16.1,8.54,6.08,30.94,2.11,0.9,0.48,1,1.13,0,8.38,0,120.54,0.34,4.1,0.6,1.03,0.49,0,0,0,0,0,0.3,0,9,0,0,0.4,0,0,0.3,0,0,9,0,0,0,0,0,0,0,0,0,0,0,9,0,0.2,1.3,3.5,0,2.4,1.26,0.4,1.09,3.48,6.06,2.55,3.94,1.6,1.91,1.2,0,0.88,9,3.83,0.32,0,0.53,0,8.55,4.01,0.3,1.4,1.37,0,0.1,0,0,0,0,0,0,10.16,0.03,0
"Russia",123,290.3,0,0,9,0,9,0,0,0,0,0,0,0,0,0.1,0,0,6.63,0,9,0,12.2,0.1,160.2,2.2,20.8,33.0758,1.7242,77.1,1.8,0.3,0,0,0,0,5.6,0,0,56.5,0,0,16.3,3.2,1,0,120.54,0,91.7,17.4,8.8,8.9,0.9,6.2,0.2,0,0.1,0,2.6,0,0,0,9,1,0.1,0,4.4,0,0,9,0,0,0,0.1,0.7,0,0,0,6.1,0.6,0.652,0,0,0,5.3,19,2.7,3.3,0.9,10.9,1,19.1,22.6,12.1,1.9,10.7,0.4,1,0,9,42.7,0,0,0,0,0,44.8,3.9,8.3,8.6,7,0,2,1.2,9,0,0,0,0,9.5,118.1,3.3
"Finland",10.9,2.8,13.1,0.1,2.2,0,0,3,1.8,0.5,1.2,0,1.9,0.4,0.4,0.4,0.18,0.4,18.42,0.1,0,0.2,6.1,0.9,130.9,14.7,45.8,20.5298,1.0702,2.4,26.1,5.7,1.6,0,2.1,3.9,7.3,0.7,4,7.1,0.2,0,4.2,6,0.5,6.5,0.34,91.7,0,98.2,10.2,23,1.7,0,0.2,0,0,0,0.5,0.2,0,0,0.1,0.3,0,0,1.4,0,0,0,0,0.1,0.5,0.7,0.2,0,0,0,0,0,2.999,0.12,4.2,0.2,1.7,0.8,0.8,0.3,0.1,7.8,0.3,1.3,8.5,0.8,2.5,0.6,4.5,0.3,0,0.2,0,0.2,9,0,0,0.3,9.2,4.4,0.1,0.2,0.1,9,0.7,0,0,1,0,0,1.5,0,16.16,0.5
"Sweden",167.8,3.1,1.6,1,0.3,3.8,12.6,13.8,2.8,0.1,0.2,0.8,1.1,0.55,4.4,60.4,0.42,5.6,33.45,1.3,0.383,19.8,3.9,1.2,5.4,14.4,25,38.5884,2.0116,44.4,6.1,29.4,3.8,0,5.3,10.9,7.5,0.3,6.4,4.4,0.2,0,8,22.6,1.2,0.4,4.1,17.4,98.2,0,193,108.3,1.7,0,1,0,0.1,0.2,0.5,0.1,0.4,5.6,1.1,2.1,0.2,0.1,2.1,0.6,0.1,0,0.1,0.8,0.1,0.8,1.4,0,0.3,0.1,0,1,9.43,0.12,27.6,0.5,0.1,0.6,5.6,0.3,2.6,1.8,0,1,11.9,1.9,4.9,1.8,3.2,7.4,0,1.7,0.4,1.8,0,0.7,0,0.1,13.7,18,3.4,2.8,2.6,9,4.2,0.2,0,0.3,0,0,4.7,5.6,51.97,3.52
"Norway",22.2,42.7,3.5,0.4,0.9,9.2,0.5,1,2.3,0.4,0.4,0.1,0,0.23,3.2,9,1.24,2.5,11.66,0.3,0,3.6,5.5,0.1,17.2,2.7,56.1,25.9474,1.3526,12.4,18,10.4,0.5,0,6.1,1.1,4.6,1.1,3.4,7.4,0.3,0,1,3.8,0,0.2,0.6,8.8,10.2,193,0,23.5,4.4,0,0.6,0.6,0,0,0.5,7.8,9,13.7,0.1,5.2,0.4,0.5,10.2,0,0,0,0.1,0.7,0.2,1,1,0,0,0,0,0.5,0.3027,2.4,2,0.1,1.3,0.8,0.2,13.8,0.2,3.2,0.6,8.5,0.2,0.5,0.5,0.2,2.1,18.8,0,0.5,0,2.7,0,0.8,0,0.1,46,1.7,0.8,0,0.5,9,0.5,0.1,0,0.1,0,0,0.9,2.3,1.88,0.43
"Denmark",65.8,11.4,2.5,0.4,0.9,0.6,0.8,0.7,0.7,0.8,1,0.3,1.4,9.31,1,9.1,1,0.3,20,0.3,0,6.3,10.3,2.3,76.7,6.5,84.3,54.0808,2.8192,43.6,20.4,7.2,7.3,0,2.4,20.5,3.4,2.6,5.2,32.6,2.2,0,0.4,8.1,0.9,1.2,1.03,8.9,23,108.3,23.5,0,4.8,0.1,0.6,0.1,0,0.1,2.2,0.1,0,7.2,0.2,0.6,0.1,0.1,2.1,0.8,0.2,0.3,0,0.3,0.6,0,2,0,0,0,0.1,0.9,0.2239,0.09,11.6,0.2,3,0.2,0.2,1.1,1.3,3.9,3.4,0.1,1.6,1.8,7.2,1.3,0.6,4.9,0,22.2,0.1,6.5,0,0.5,0,0.1,14.5,0.9,2.6,6.2,1.6,0.1,3.6,0.2,0,0.2,0,0,0.9,0.2,5.34,0
"Iceland",4.4,10.4,0,0,0,0,0,0,0,0,0,0,0,0.2,0,0.7,0.2,0,0.93,0,0,0,0,0,4.7,1.1,4.2,1.4257,0.0743,0.2,1.5,1.5,3.1,0,2,0.7,0.1,0,1,3.8,0,0,0.1,1.1,0,0.1,0.49,0.9,1.7,1.7,4.4,4.8,0,0,0.2,0,0,0,0,9,9,0.2,0,0,0,0.1,6.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0,0,0,0,0,0,0,0.2,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,3.6,0.1,0,0.1,0,0,0,0,0,0,0,0,0.1,0,0,0
